[2026-03-06 09:32:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-05
正在获取论文...
[arXiv] 2026-03-05 | FaceCam: Portrait Video Camera Control via Scale-Aware Conditioning
[arXiv] 2026-03-05 | Lagrangian formulation of the Darboux system
[arXiv] 2026-03-05 | Theories of the Glass Transition Based on Local Excitations
[arXiv] 2026-03-05 | Diffusion LLMs can think EoS-by-EoS
[arXiv] 2026-03-05 | Discrete \texorpdfstring{$θ$}{theta} Projection: A Gauge-Protected Solution to the Strong CP Problem Without Axions
[arXiv] 2026-03-05 | An efficient and accurate numerical method for computing the ground states of three-dimensional rotating dipolar Bose-Einstein condensates under strongly anisotropic trap
[arXiv] 2026-03-05 | Small Changes, Big Impact: Demographic Bias in LLM-Based Hiring Through Subtle Sociocultural Markers in Anonymised Resumes
[arXiv] 2026-03-05 | Introduction to holography
[arXiv] 2026-03-05 | Regularization of the superposition principle: Potential theory meets Fokker-Planck equations
[arXiv] 2026-03-05 | Trainable Bitwise Soft Quantization for Input Feature Compression
[arXiv] 2026-03-05 | Machine Learning the Strong Disorder Renormalization Group Method for Disordered Quantum Spin Chains
[arXiv] 2026-03-05 | New Berry-Esseen bounds for parameter estimation of Gaussian processes observed at high frequency
[arXiv] 2026-03-05 | Revitalizing AR Process Simulation of Non-Gaussian Radar Clutter via Series-Based Analytic Continuation
[arXiv] 2026-03-05 | SSR-GS: Separating Specular Reflection in Gaussian Splatting for Glossy Surface Reconstruction
[arXiv] 2026-03-05 | Integrated Microcomb-Driven Vortex Electromagnetic Waves for Broadband Forward-looking Sensing
[arXiv] 2026-03-05 | The Minkowski problem of $p$-affine dual curvature measures
[arXiv] 2026-03-05 | Recurrent Graph Neural Networks and Arithmetic Circuits
[arXiv] 2026-03-05 | New Improved Schwarzschild Black Hole and Its Thermodynamics and Topological Classification
[arXiv] 2026-03-05 | Crystal growth and magnetic properties of spin-$1/2$ distorted triangular lattice antiferromagnet CuLa$_2$Ge$_2$O$_8$
[arXiv] 2026-03-05 | Analysis of the Riemann Zeta Function via Recursive Taylor Expansions
[arXiv] 2026-03-05 | FedBCD:Communication-Efficient Accelerated Block Coordinate Gradient Descent for Federated Learning
[arXiv] 2026-03-05 | Trajectory Tracking for Uncrewed Surface Vessels with Input Saturation and Dynamic Motion Constraints
[arXiv] 2026-03-05 | UniPAR: A Unified Framework for Pedestrian Attribute Recognition
[arXiv] 2026-03-05 | Altermagnetic Metal-Organic Frameworks
[arXiv] 2026-03-05 | Simultaneous Misalignment and Mode Mismatch Sensing in Optical Cavities Using Intensity-Only Measurements
[arXiv] 2026-03-05 | The effect of fluorine or chlorine substitution on mesomorphic properties of ferroelectric nematic liquid crystals
[arXiv] 2026-03-05 | Quantitative Error Estimates for Learning Macroscopic Mobilities from Microscopic Fluctuations
[arXiv] 2026-03-05 | PromptTuner: SLO-Aware Elastic System for LLM Prompt Tuning
[arXiv] 2026-03-05 | MI-DETR: A Strong Baseline for Moving Infrared Small Target Detection with Bio-Inspired Motion Integration
[arXiv] 2026-03-05 | Jagarin: A Three-Layer Architecture for Hibernating Personal Duty Agents on Mobile
[arXiv] 2026-03-05 | Strong breaking of black-hole uniqueness from coexisting scalarization mechanisms
[arXiv] 2026-03-05 | Deep Learning-Driven Friendly Jamming for Secure Multicarrier ISAC Under Channel Uncertainty
[arXiv] 2026-03-05 | Renormalisation of Chiral Gauge Theories with Non-Anticommuting $γ_5$ at the Multi-Loop Level
[arXiv] 2026-03-05 | Ab initio quasi-harmonic thermoelasticity, piezoelectricity, and thermoelectricity of polar solids at finite temperature and pressure: Application to wurtzite ZnO
[arXiv] 2026-03-05 | CLIP-driven Zero-shot Learning with Ambiguous Labels
[arXiv] 2026-03-05 | NeuronMoE: Neuron-Guided Mixture-of-Experts for Efficient Multilingual LLM Extension
[arXiv] 2026-03-05 | Enhanced Third-Order Optical Nonlinearity in a Dipolar Carbene-Metal-Amide Material with Two-Photon Excited Delayed Fluorescence
[ACM] 2026-3-5 | Swarm Learning: A Survey of Concepts, Applications, and Trends
[IEEE] 2026-3-5 | Temperature-Compensated Bragg Grating Sensor for Curvature and Strain Measurement in a Configurable Rectangular Optical Fiber
[IEEE] 2026-3-5 | A Flexible Cross-chain Payment Channel Network
[IEEE] 2026-3-5 | Fully Physical BTI Analysis Tool (BAT) for Modeling of NBTI Architecture, Materials, Process, and Dimension Dependence
[IEEE] 2026-3-5 | A Reputation-Based Evaluation Method to Defend Against Massive SSDF Attacks
[IEEE] 2026-3-5 | XOR-TOPK : Efficient Top-K Selection Hardware Engine Based on Bitwise XOR Operation
[IEEE] 2026-3-5 | Modeling Passenger Flow Congestion Propagation in Urban Rail Transit Network with An Epidemic Approach
[IEEE] 2026-3-5 | Front Matter
[IEEE] 2026-3-5 | Morphology-Guided Muscle Cell Detection &amp; Counting based on Transfer Learning, FFD Augmentation and Density-Aware Loss Optimization
[IEEE] 2026-3-5 | SPBNet-YOLO: Improving Small Object Detection in UAV Imagery Under Diverse Conditions
[IEEE] 2026-3-5 | Research on Intelligent Perception and Prediction of Enterprise Operational Risk Based on Transformer-Driven Fusion
[IEEE] 2026-3-5 | Cooperation of Converter-Interfaced Devices: Application on Low-Emission Offshore Oil and Gas Platforms
[IEEE] 2026-3-5 | Solution to Last Month’s Enigma [Enigmas, etc.]
[IEEE] 2026-3-5 | An End-to-End Detection and Segmentation Model for Container Surface Damage Based on YOLOv11
[IEEE] 2026-3-5 | Case Studies and Real-World Applications of AI-Generated Content in User Interface Design in Smartphones
[IEEE] 2026-3-5 | A Hybrid Informer-LightGBM Framework for Enhanced Carbon Emission Forecasting in Industrial Parks
[IEEE] 2026-3-5 | An Efficient FPGA-Based AES Encryption Design for IoT Terminals: Low-Power Optimization with a BRAM-Based S-Box
[IEEE] 2026-3-5 | Depression Detection in Social Media Comments Based on BiGRU-CapsNet
[IEEE] 2026-3-5 | Local Flexibility Markets: Coordination of Distributed Flexibility Resources: European and U.S. Experiences and Innovations in Distributed Energy Resources
[IEEE] 2026-3-5 | The Effect of Different Learning Rates on the Performance of Face Recognition
[IEEE] 2026-3-5 | Ethical and Security Challenges of Large Language Models in Public Health Systems: A Survey
[IEEE] 2026-3-5 | Mixed-Signal Modulation Recognition Based on Feature Fusion Convolutional Neural Networks
[IEEE] 2026-3-5 | Glacier Melt Time Series Prediction Model Based on LSTM Neural Network
[IEEE] 2026-3-5 | Application of Natural Language Processing in the Analysis of Emotional Logs in Music Therapy
[IEEE] 2026-3-5 | Application of Deep Reinforcement Learning in FPGA Multi-Frequency Clock Phase-Shifting Adaptive Measurement
[IEEE] 2026-3-5 | Extending Cyber Threat Modeling with Physical Dependency Analysis in DC Microgrids
[IEEE] 2026-3-5 | Secure Storage Strategies for Massive Data in Network Computing Environments
[IEEE] 2026-3-5 | GNN-ETF: A Graph Neural Network-Based Framework for Modeling Inter-Sector Relationships in ETFs
[IEEE] 2026-3-5 | Autonomous Systems - Digitalization, Education and Innovation in the engineering education
[IEEE] 2026-3-5 | Analysis of User-Privacy, Third-Party Data Sharing and Consent Mechanism on Online Pharmacy Websites in Ontario
[IEEE] 2026-3-5 | CTD-YOLO: An Efficient Object Detection Algorithm for Tiny Surface Defects on Cranes
[ACM] 2026-3-5 | Health Degree Prediction of DCS Equipment Based on WOA-BP Neural Network
[ACM] 2026-3-5 | DyVertexGAT: A Novel GNN-based Target Assignment Policy for Multi-Aircraft Combat Decision
[ACM] 2026-3-5 | Can LLMs Hack Enterprise Networks? — RCR Report
[ACM] 2026-3-5 | Whether the Blockchain Applications Will Empower Our Country Tax Revenue Divergence from Tax Source-Empirical Evidence from Chinese Cities
[ACM] 2026-3-5 | AI Acceptance, Job Insecurity, and Resistance to Change: Impacts on Innovative Work Behavior
[IEEE] 2026-3-5 | ICHBC 2025 TOC
[IEEE] 2026-3-5 | Adjustable-Error-Based Adaptive Neural Network Tracking Control for Uncertain Nonlinear Systems
[IEEE] 2026-3-5 | Interference Free Multi-User Coded ISAC with Physical Layer Security
[IEEE] 2026-3-5 | Tx Coaxial Stepped Impedance Resonator Filters With Distinct Transmission Zeros
[IEEE] 2026-3-5 | A Proton Irradiation Damage Compact Model of HfO
                    <sub>
                      <i>x</i>
                    </sub>
                    /TiO
                    <sub>
                      <i>x</i>
                    </sub>
                    Heterojunction Memristive Synapses for Hardening Design of Convolutional Neural Network Hardware
[IEEE] 2026-3-5 | The Electromagnetic Properties of Multi-filaments MgB
                    <sub>2</sub>
                    Wires
[IEEE] 2026-3-5 | Spectral Koopman-Hopf Formula
[IEEE] 2026-3-5 | Powering Reliability, Engineering Resilience: A Unified Vision for the Modern Grid [Editor’s Voice]
[IEEE] 2026-3-5 | Biodegradable Nanorobots Meet Edge Computing: Sustainable Intelligence in the Soil
[IEEE] 2026-3-5 | Investigation of Load Parameters of a Hybrid Stepper Motor
[IEEE] 2026-3-5 | Real-Time Grasping Detection Algorithm Based on Improved YOLO11
[IEEE] 2026-3-5 | An Improved Typhoon Track Prediction Method Based on Conditional Diffusion Model
[IEEE] 2026-3-5 | Performance Evaluation of Plant Leaf Disease Detection using Structural Modification of the Traditional Convolutional Neural Networks
[IEEE] 2026-3-5 | A Cross-Language Information Retrieval and Knowledge Graph Construction Method for Chinaafrica Economic and Trade Cooperation
[IEEE] 2026-3-5 | The Impact of Gamification and Blended Learning Platform on Engagement: The Mediating Role of Course Satisfaction
[IEEE] 2026-3-5 | Application Process of Intelligent Target Detection Algorithm in Complex Background for Skywave Over-the-Horizon Radar
[IEEE] 2026-3-5 | LLM-driven Task Dispatching Heuristic Design for Multi-Agile Earth Observing Satellites Scheduling
[IEEE] 2026-3-5 | Optimization of the Semantic Matching Module of the Automatic English Composition Correction System
[IEEE] 2026-3-5 | Application of Supercapacitors to Extend the Critical Clearing Time by Time Domain Equal Area Criterion
[IEEE] 2026-3-5 | Brain Tumor Detection Using Advanced Deep Learning Models - Vision Transformer and EfficientNetV2
[IEEE] 2026-3-5 | MGACMR: Multi-Granularity Feature Adversarial Cross-Modal Retrieval Model
[IEEE] 2026-3-5 | Intrusion Event Recognition in Distributed Fiber-Optic Sensing Systems via Domain Adaptation Learning
[IEEE] 2026-3-5 | Analysis of spectral responses in soybean crops with different levels of phytonematode infestation at different phenological stages using MSI/Sentinel-2 sensor imagery
[IEEE] 2026-3-5 | Design and Application of an Evaluation System for Large Language Models
[IEEE] 2026-3-5 | Enhanced Text Extraction from Low-Quality Legacy Documents Using TrOCR Assisted by Line Detection
[IEEE] 2026-3-5 | Boost or Block? Exploring the Impact Mechanisms of Deep Learning in GenAI Interactions
[IEEE] 2026-3-5 | Experimental Characterization of Soft Materials for Robotic Applications
[IEEE] 2026-3-5 | AI-Enabled Application Mode of Automated Assessment for Online Collaborative Learning Based on Knowledge Graphs
[IEEE] 2026-3-5 | An Optimization Method for LLM-Based Retrieval-Augmented Generation System on OpenWebUI
[IEEE] 2026-3-5 | Research on Scientific Paper Writing for Graduate Students Based on Group Case-Based Practice
[IEEE] 2026-3-5 | Research on tamper-proof and privacy protection scheme of industrial MQTT data based on AES key dynamic derivation
[ACM] 2026-3-5 | The Impact of RCEP on Member Countries' Digital Services Exports: An Empirical Analysis Based on a Two-Way Fixed Effects Model
[IEEE] 2026-3-5 | A Multimodal Privacy Filtering System using Deep Learning for Visual-Audio Input Streams
[IEEE] 2026-3-5 | Dynamics-Based Adaptive Scheduling for Large-Scale Edge Computing Networks in Smart Cities
[IEEE] 2026-3-5 | A Lithium Niobate Piezoelectric Micromachined Ultrasonic Transducer Operating in Thickness-Field-Excitation ModeWith Enhanced Acoustic Emission
[IEEE] 2026-3-5 | IEEE Feedback
[IEEE] 2026-3-5 | Chapter Chair Meeting During IMAS 2025 in Nairobi, Kenya [Around the Globe]
[IEEE] 2026-3-5 | Adaptive Clustering Convexification Mapping-Planning System for UAVs in Unknown Environments
[IEEE] 2026-3-5 | Real-Time Deep Reinforcement Learning Policy Controller for Magnetically Levitated Robots
[IEEE] 2026-3-5 | PES Meetings [Calendar]
[IEEE] 2026-3-5 | A Unified Framework for Group Delay Flattening: Stable and Hardware-Efficient All-Pass Networks
[IEEE] 2026-3-5 | Learning Category-Invariant Disentangled Features for Domain Generalization in Machine Fault Diagnosis
[ACM] 2026-3-5 | Differentiated Task Design and Feedback of SOLO Classification Method Based on Large Language Model-A Case Study of Parabola Teaching in High School
[IEEE] 2026-3-5 | Method for Extracting Dynamic Human Body Contour Features from Yoga Teaching and Training Videos
[IEEE] 2026-3-5 | A Deep Learning-Based Inverse Design Framework for Microscale FGM Pressure Sensor Diaphragms
[IEEE] 2026-3-5 | How Generative Artificial Intelligence Empowers Teaching: A Systematic Literature Review of Empirical Evidence from China
[IEEE] 2026-3-5 | Dynamic Beam Hopping Management for the LEO Satellite Communications Using the LNN
[IEEE] 2026-3-5 | Research on the Pathways and Impacts of Reforming Legal Practice Education Empowered by Artificial Intelligence
[IEEE] 2026-3-5 | Research on Deep Reinforcement Learning Optimization Methods in State Perception and Fault Location of Power Distribution Network Equipment
[IEEE] 2026-3-5 | The Technology Capital Accumulation and Dissemination Model Based on Complex Networks in the Digital Background
[IEEE] 2026-3-5 | Sequential Cooperative Multi-Agent Online Learning and Adaptive Coordination Control in Dynamic and Uncertain Environments
[IEEE] 2026-3-5 | Optimized Image-Based Disease Detection: Evaluating the Effects of Preprocessing, Annotation Methods, and Dataset Variability
[IEEE] 2026-3-5 | Personalized Recommendation of Human Resource Education and Training Content Based on Deep Improvement Neural Networks
[IEEE] 2026-3-5 | An Accurate Recommendation Method for Online Educational Resources in Sports Based on User Profiles
[IEEE] 2026-3-5 | Construction of a Korean Semantic Dependency Analysis Algorithm for Large-Scale Corpora
[IEEE] 2026-3-5 | Deep Learning on UAV Imagery: Applications Across Civil and Military Domains
[IEEE] 2026-3-5 | A Disciplining Method for VC-TCXO in Embedded Systems
[IEEE] 2026-3-5 | Multi-Object Tracking Algorithm for Infrared Images Based on Multi-Scale Large-Kernel Attention
[IEEE] 2026-3-5 | AFCNN-BiLSTM: A Model of Teaching Emotional Interaction Recognition Based on Multi-Modal Interactive Features
[IEEE] 2026-3-5 | Research and Design of Fault Protection for EVPN VPWS and EVPN VPLS Bridge
[IEEE] 2026-3-5 | An Assisted Medical Diagnosis Question Answering System Based on Knowledge Graphs
[IEEE] 2026-3-5 | Electromagnetic Transient Simulations for Large-Scale Power Grids: A Utility Perspective
[IEEE] 2026-3-5 | Research on Lightning Protection Filters for Aircraft Power Supply Equipmentaper
[ACM] 2026-3-5 | Reconfiguring Human Subjectivity in the Age of Generative Artificial Intelligence: A Philosophical Reflection and Evidence-Informed Framework
共写入 200 条记录，保存到 papers/paper2026-03-05.json。
论文获取成功，文件路径: papers/paper2026-03-05.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | FaceCam: Portrait Video Camera Control via Scale-Aware Conditioning
[NO] 2/200 | POET-X: Memory-efficient LLM Training by Scaling Orthogonal Transformation
[NO] 3/200 | Calculating trace distances of bosonic states in Krylov subspace
[NO] 4/200 | cuRoboV2: Dynamics-Aware Motion Generation with Depth-Fused Distance Fields for High-DoF Robots
[NO] 5/200 | Towards Multimodal Lifelong Understanding: A Dataset and Agentic Baseline
[NO] 6/200 | SurvHTE-Bench: A Benchmark for Heterogeneous Treatment Effect Estimation in Survival Analysis
[NO] 7/200 | Finding Short Paths on Simple Polytopes
[NO] 8/200 | Quantum Simulation of Coupled Harmonic Oscillators: From Theory to Implementation
[NO] 9/200 | Thresholds for colouring the random Borsuk graph
[NO] 10/200 | Obata's rigidity theorem in free probability
[NO] 11/200 | HALP: Detecting Hallucinations in Vision-Language Models without Generating a Single Token
[NO] 12/200 | Heuristics for Shuttling Sequence Optimization for a Linear Segmented Trapped-Ion Quantum Computer
[NO] 13/200 | EdgeDAM: Real-time Object Tracking for Mobile Devices
[NO] 14/200 | Equilibrium for max-plus payoff
[NO] 15/200 | Beyond Scattered Acceptance: Fast and Coherent Inference for DLMs via Longest Stable Prefixes
[NO] 16/200 | Accelerating Feynman Integral Evaluation by Avoiding Contour Deformation
[NO] 17/200 | On-Policy Self-Distillation for Reasoning Compression
[NO] 18/200 | An interpretable prototype parts-based neural network for medical tabular data
[NO] 19/200 | Decay Rates in Interleaved Benchmarking with Single-Qubit References
[NO] 20/200 | Dissociating Direct Access from Inference in AI Introspection
[NO] 21/200 | Resolving the sub-parsec circumnuclear density profiles of quiescent galaxies: Evidence for Bondi accretion flows in tidal disruption event hosts
[NO] 22/200 | Soliton dynamics in the Ostrovsky equation with anomalous dispersion
[NO] 23/200 | PhysiFlow: Physics-Aware Humanoid Whole-Body VLA via Multi-Brain Latent Flow Matching and Robust Tracking
[NO] 24/200 | Controlled fields, rough stochastic calculus, and Itô-Wentzell-Alekseev-Gröbner identities
[NO] 25/200 | Evidence for Vortex Rings with Multiquantum Circulation in He II
[NO] 26/200 | MQED-QD: An Open-Source Package for Quantum Dynamics Simulation in Complex Dielectric Environments
[NO] 27/200 | Connecting Flavor and Baryon Asymmetry via Leptogenesis in Effective Froggatt-Nielsen Theory
[NO] 28/200 | Radiation Hydrodynamics at Scale: Comparing MPI and Asynchronous Many-Task Runtimes with FleCSI
[NO] 29/200 | Detection of C3 in Titan with VLT-ESPRESSO
[NO] 30/200 | PACE: A Personalized Adaptive Curriculum Engine for 9-1-1 Call-taker Training
[NO] 31/200 | A Shift-Invariant Deep Learning Framework for Automated Analysis of XPS Spectra
[NO] 32/200 | Impact of scissors-correction schemes on second-harmonic generation in ultraviolet nonlinear-optical crystals
[NO] 33/200 | Building AI Coding Agents for the Terminal: Scaffolding, Harness, Context Engineering, and Lessons Learned
[NO] 34/200 | Observation of Superfluidity and Meissner Effect of Composite Bosons in GaAs Quantum Hall System
[NO] 35/200 | Bayes with No Shame: Admissibility Geometries of Predictive Inference
[NO] 36/200 | FairFinGAN: Fairness-aware Synthetic Financial Data Generation
[NO] 37/200 | Comparison of data-driven symmetry-preserving closure models for large-eddy simulation
[NO] 38/200 | Designing for Adolescent Voice in Health Decisions: Embodied Conversational Agents for HPV Vaccination
[NO] 39/200 | Simplified circuit-level decoding using Knill error correction
[NO] 40/200 | Dyson Brownian motion on a Jordan curve
[NO] 41/200 | Latent-Mark: An Audio Watermark Robust to Neural Resynthesis
[NO] 42/200 | HD 188101: A Spotted B Star with Abundance Anomalies
[NO] 43/200 | The eV-Scale Sterile Neutrino and Neutrinoless Double Beta Decay
[NO] 44/200 | SLICE: Speech Enhancement via Layer-wise Injection of Conditioning Embeddings
[NO] 45/200 | Besov regularity of solutions to the Dirichlet problem for the Bessel $(p,s)$-Laplacian
[NO] 46/200 | Dynamic Wettability Modulation of Textured, Soft and LIS Interfaces Using Electrowetting
[NO] 47/200 | Latent Policy Steering through One-Step Flow Policies
[NO] 48/200 | STRUCTUREDAGENT: Planning with AND/OR Trees for Long-Horizon Web Tasks
[NO] 49/200 | Drone Air Traffic Control: Tracking a Set of Moving Objects with Minimal Power
[NO] 50/200 | Probing vacuum birefringence in an Ultrastrong Laser Field via High-energy Gamma-ray Polarimetry
[NO] 51/200 | Extensions to the Wealth Tax Neutrality Framework
[NO] 52/200 | Whispering to a Blackbox: Bootstrapping Frozen OCR with Visual Prompts
[NO] 53/200 | VietJobs: A Vietnamese Job Advertisement Dataset
[NO] 54/200 | Extreme Value Analysis for Finite, Multivariate and Correlated Systems with Finance as an Example
[NO] 55/200 | Wiki-R1: Incentivizing Multimodal Reasoning for Knowledge-based VQA via Data and Sampling Curriculum
[NO] 56/200 | CATNet: Collaborative Alignment and Transformation Network for Cooperative Perception
[NO] 57/200 | Algebraic Characterization of Reversible First Degree Cellular Automata over $\mathbb{Z}_d$
[NO] 58/200 | ICHOR: A Robust Representation Learning Approach for ASL CBF Maps with Self-Supervised Masked Autoencoders
[NO] 59/200 | Estimates of eigenvalues of elliptical differential problems in divergence form
[NO] 60/200 | GCAgent: Enhancing Group Chat Communication through Dialogue Agents System
[NO] 61/200 | Multi-fidelity Machine Learning Interatomic Potentials for Charged Point Defects
[NO] 62/200 | Boosting ASR Robustness via Test-Time Reinforcement Learning with Audio-Text Semantic Rewards
[NO] 63/200 | Implicit Bias and Loss of Plasticity in Matrix Completion: Depth Promotes Low-Rankness
[NO] 64/200 | KARL: Knowledge Agents via Reinforcement Learning
[NO] 65/200 | Lagrangian formulation of the Darboux system
[NO] 66/200 | Theories of the Glass Transition Based on Local Excitations
[NO] 67/200 | Diffusion LLMs can think EoS-by-EoS
[NO] 68/200 | Discrete \texorpdfstring{$θ$}{theta} Projection: A Gauge-Protected Solution to the Strong CP Problem Without Axions
[NO] 69/200 | An efficient and accurate numerical method for computing the ground states of three-dimensional rotating dipolar Bose-Einstein condensates under strongly anisotropic trap
[NO] 70/200 | Small Changes, Big Impact: Demographic Bias in LLM-Based Hiring Through Subtle Sociocultural Markers in Anonymised Resumes
[NO] 71/200 | Introduction to holography
[NO] 72/200 | Regularization of the superposition principle: Potential theory meets Fokker-Planck equations
[NO] 73/200 | Trainable Bitwise Soft Quantization for Input Feature Compression
[NO] 74/200 | Machine Learning the Strong Disorder Renormalization Group Method for Disordered Quantum Spin Chains
[NO] 75/200 | New Berry-Esseen bounds for parameter estimation of Gaussian processes observed at high frequency
[NO] 76/200 | Revitalizing AR Process Simulation of Non-Gaussian Radar Clutter via Series-Based Analytic Continuation
[NO] 77/200 | SSR-GS: Separating Specular Reflection in Gaussian Splatting for Glossy Surface Reconstruction
