[2026-07-02 11:28:39] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-01
正在获取论文...
[arXiv] 2026-07-01 | A Model-based Testing Technique for Amazon Lex Task-based Chatbots
[arXiv] 2026-07-01 | Tighter bounds for weighted and unweighted shortest cycle approximation
[arXiv] 2026-07-01 | On the Extended 1-2-3 Conjecture of Pilz
[arXiv] 2026-07-01 | First-principles calculations of spin-split bands in chiral hybrid organic-inorganic perovskites ($R$/$S$-PEA)PbI$_3$ and ($R$/$S$-NEA)PbI$_3$
[arXiv] 2026-07-01 | Graph-Native Reinforcement Learning Enables Traceable Scientific Hypothesis Generation through Conceptual Recombination
[arXiv] 2026-07-01 | Fundamental Limits of Random Downlink Integrated Sensing and Communication over Rician Channels
[arXiv] 2026-07-01 | The effect of 20th century industrialization: Power station, acid rains, over-pumping, on an erstwhile uniform freshwater dune aquifer in Haifa Bay, Israel
[arXiv] 2026-07-01 | DeWorldSG: Depth-Aware 3D Semantic Scene Graph Generation via World-Model Priors
[arXiv] 2026-07-01 | How Ethos and Pathos Appeals Resonate in Reader Interpretations of Social Media Messages
[arXiv] 2026-07-01 | Self-Evolving Agents with Anytime-Valid Certificates
[arXiv] 2026-07-01 | From Single to Multiple Attributes: Experimental Insights on Sampling-Based Distinct Combination Estimation in GROUP-BY Queries
[arXiv] 2026-07-01 | CAT: Confidence-Adaptive Thinking for Efficient Reasoning of Large Reasoning Models
[arXiv] 2026-07-01 | Shapley in Context: Explaining Financial Language with Domain Expertise
[arXiv] 2026-07-01 | Investigating Driver Behavior in Complex Traffic Situations While Driving Partially Automated Vehicles
[arXiv] 2026-07-01 | GADA: Geometry-Aware Deformable Aggregation for Image-Based Gaussian Splatting
[arXiv] 2026-07-01 | Character sums over smooth numbers
[arXiv] 2026-07-01 | From Real-Time Planning to Reliable Execution:Scalable Coordination for Heterogeneous Multi-Robot Fleets in Industrial Environments
[arXiv] 2026-07-01 | (Non-)Hyperuniformity of Second Order Statistics of Point Processes
[arXiv] 2026-07-01 | Optimal control on a heterogeneous SI epidemic model
[arXiv] 2026-07-01 | EPO: Boosting 3D Foundation Models with Edge-based Pose Optimization
[arXiv] 2026-07-01 | HK and GL
[arXiv] 2026-07-01 | Dual-Confidence Contrastive Decoding for Retrieval-Augmented Generation
[arXiv] 2026-07-01 | [Preprint] Dynamic Modeling, Gait Synthesis, and Control of a Novel Subsurface Bore Propagator
[arXiv] 2026-07-01 | FS-domains are not always RB-domains
[arXiv] 2026-07-01 | Effective Color Dipole Approach to Color Transparency in \texorpdfstring{$ρ^0$}{rho^0} Electroproduction
[arXiv] 2026-07-01 | A multilevel stochastic-gradient neural solver for boundary integral equations
[arXiv] 2026-07-01 | Talking Politics with Artificial Intelligence
[arXiv] 2026-07-01 | ECoSim: Data Efficient Fine-Tuning for Controllable Traffic Simulation
[arXiv] 2026-07-01 | GEAR-Seg: A Grounded Explainable Agent for Reasoning Segmentation and Data Engine
[arXiv] 2026-07-01 | SPHEREx 0.75 to 5 $μ$m Spectra for a Sequence of Nearby Brown Dwarfs
[arXiv] 2026-07-01 | AI Native Games: A Survey and Roadmap
[arXiv] 2026-07-01 | Geometric Shape Optimization for Limbless Locomotion
[arXiv] 2026-07-01 | Harish-Chandra theories, Ennola $d$-ality and Rouquier blocks for spetses
[arXiv] 2026-07-01 | Large Language Models for Multi-Lingual Equivalent Mutant Detection: An Extended Empirical Study
[arXiv] 2026-07-01 | AnF-DiffPET: Anatomy- and Frequency-Guided Diffusion for PET/CT Denoising
[arXiv] 2026-07-01 | When RAG Meets Query Planning: Logical Query Trees for Resolving Exploratory Reasoning Problems
[arXiv] 2026-07-01 | How optimistic inflow forecasts distort dispatch, prices, and contracts in hydro-dominated power systems: evidence from Brazil
[arXiv] 2026-07-01 | GPU-accelerated spectrum reweighting for new-physics searches in solar neutrino--electron scattering
[arXiv] 2026-07-01 | PAPA: Online Personalized Active Preference Alignment
[arXiv] 2026-07-01 | Know When to Stop: Segment-Level Credit Assignment for Reducing Overthinking
[arXiv] 2026-07-01 | Beyond the Prompt: Jailbreaking Function-Calling LLMs via Simulated Moderation Traces
[arXiv] 2026-07-01 | Neural Network-Based Estimation of Time-Dependent Parameters in AR(p) Processes
[arXiv] 2026-07-01 | Bridging quantum mechanics and nonlinear optics in Raman scattering
[arXiv] 2026-07-01 | Agri-SAGE: Simulation-Grounded Multi-Agent LLM for Context-Aware Agricultural Advisory Generation
[arXiv] 2026-07-01 | An Inner-Outer Iteration Algorithm with Optimal Parameters for Stochastic Lyapunov Matrix Equation
[arXiv] 2026-07-01 | Slow heat-driven flow in a gas of hard disks
[arXiv] 2026-07-01 | Social Popularity of GitHub Projects: A Lifeline or a Liability?
[arXiv] 2026-07-01 | Heavy element dust explains the late-time spectra of kilonovae
[arXiv] 2026-07-01 | Timesynth: A Temporal Fidelity Framework for Health Signal Digital Twins
[arXiv] 2026-07-01 | A Recurrence Based Summation Method for Ultra-Rapid Divergent Series and Renormalon Type Expansions
[arXiv] 2026-07-01 | When Self-Protection Backfires: Adaptive Contact Behavior Expands the Endemic Basin in an Addiction Model with Nonlinear Relapse
[arXiv] 2026-07-01 | Speech Playground: An Interactive Tool for Speech Analysis and Comparison
[arXiv] 2026-07-01 | Spin Femtoscopy: A Framework for Revealing Genuine Spin Correlations
[arXiv] 2026-07-01 | MindAU: EEG-Conditioned Facial Action Unit Editing via Dual-Stream Manifold Alignment
[arXiv] 2026-07-01 | Sums of units in finite rings and applications to Cayley graphs
[arXiv] 2026-07-01 | The Illusion of High Utility in Safety Alignment of Text-to-Image Diffusion Models
[arXiv] 2026-07-01 | Efficient LCE Queries and Lexicographic Minimizers on Sliding Suffix Trees
[arXiv] 2026-07-01 | From Objectives to Applications: Aligning Architectural Biases in Audio Self-Supervised Learning
[arXiv] 2026-07-01 | Regularized Model Predictive Control via Contractivity and Implicit Lur'e Analysis
[arXiv] 2026-07-01 | SAOT: Self-Supervised Continual Graph Learning with Structure-Aware Optimal Transport
[arXiv] 2026-07-01 | Enhancing Prostate Cancer Segmentation for Multi-Domain Generalization using a novel Parallel-Route Coherent Mixup Regularization Training
[arXiv] 2026-07-01 | Enhancing Flow Matching with A Unified Guidance Framework for Efficient and Robust Speech Synthesis
[arXiv] 2026-07-01 | Submodular Maximization over Many Matroids via Ordered Local Search
[arXiv] 2026-07-01 | Simulating generic single-qubit open-dynamics via polarization-frequency coupling in a photonic interferometer
[arXiv] 2026-07-01 | Petrify: Petri-net Based Analysis of Concurrency Properties in Java Bytecode
[arXiv] 2026-07-01 | Axion Polarimetric Experiment (APE)
[arXiv] 2026-07-01 | Training-Free Debiasing of Diffusion Models via CLIP-Guided Denoising Optimization
[arXiv] 2026-07-01 | Local Motion Matters: A Deconstruct-Recompose Paradigm for Reinforcement Learning Pre-training from Videos
[arXiv] 2026-07-01 | Hierarchy of hidden nonlocality: A genuine activation of Incompletability
[arXiv] 2026-07-01 | Proxy-surface-based fast direct solver for TE-mode scattering problems on distributed memory systems
[ACM] 2026-7-1 | Balancing Learning and Targeting in Predictive Allocation
[ACM] 2026-7-1 | Fast Byzantine Total Order Broadcast
[ACM] 2026-7-1 | Algorithmic Delegated Choice: An Annotated Reading List
[IEEE] 2026-7-1 | Selfie Capture Using Smile Detection
[IEEE] 2026-7-1 | Code-Flow: Leveraging AI-Assisted Visualization and Knowledge-Graph Integration for Enhanced Code Understanding Within the IDE
[IEEE] 2026-7-1 | Heterogeneous UAV Coordination using MARL and Lazy Theta* Path Planning
[IEEE] 2026-7-1 | Designing Transport-Level Encryption for Datacenter Networks
[IEEE] 2026-7-1 | Parent-Seeding Pheromone-Guided Subgraph Extraction for Clinical Question Answering Over FHIR Knowledge Graphs
[IEEE] 2026-7-1 | An Agentic Framework for Robust and Explainable Natural Language to SQL Generation
[IEEE] 2026-7-1 | Quantum Potential Clustering for Interpretable Risk Stratification in Type 2 Diabetes
[IEEE] 2026-7-1 | TOPOS: Topological Profiling of On chain Subgraphs for Cross Chain Forensics
[IEEE] 2026-7-1 | Data Inclusion Proofs for Account-based Blockchains Storage Nodes
[IEEE] 2026-7-1 | PumpSense: Real-Time Detection and Target Extraction of Crypto Pump-and-Dumps on Telegram
[IEEE] 2026-7-1 | Shared Spotlight Meridian: Distributed Sparse Pseudorandom Functions for Scalable Federated Learning
[IEEE] 2026-7-1 | Chain Reactions: How Nonce Collisions in ECDSA Compromise Polygon MEV Searchers
[IEEE] 2026-7-1 | Factors Influencing the Performance of Hybrid Models for Anomaly Detection in Blockchain Transactions
[IEEE] 2026-7-1 | Reduced-State ZK-STARK Verification for Granular NFT Metadata Privacy
[IEEE] 2026-7-1 | GHost in the Shell: A GPU-to-Host Memory Attack and its Mitigation
[IEEE] 2026-7-1 | LLMs in the SOC: An Empirical Study of Human-AI Collaboration in Security Operations Centres
[IEEE] 2026-7-1 | DocuGenAI: An End-to-End Multi-Modal System for Automated Micro-Documentary Generation
[IEEE] 2026-7-1 | Smart Contract Vulnerability Detection Empowered by LLM: Can It Really Work?
[ACM] 2026-7-1 | A Technology-Readiness Evaluation of Private Set Intersection
[ACM] 2026-7-1 | SBFT Tool Competition 2026 – UAV Testing Track
[IEEE] 2026-7-1 | Seismic Horizon Tracking Based on Linear-Enhanced Deep Learning
[IEEE] 2026-7-1 | Adaptive Demodulation-Inspired Network for Non-stationary Signal Decomposition
[IEEE] 2026-7-1 | Optimal Constrained sc-LTL Planning in MDPs via Switching Policies
[IEEE] 2026-7-1 | Soft Everting Robots for Medical Applications: A Review
[IEEE] 2026-7-1 | An Efficient Adaptive Spectral Transformer Network for Human Activity Recognition
[IEEE] 2026-7-1 | EEGLite: Fast, Accurate, and Energy-Efficient CNN–Attention Framework for MI-EEG Classification in IoT-Based BCI Systems
[IEEE] 2026-7-1 | Projection Packet Collaborative Denoising: A Vital Sign Signal Reconstruction Solution for UWB Health Monitoring
[IEEE] 2026-7-1 | Two-Stage NAS for On-Device Privacy Preservation Across Heterogeneous Computational Resources
[IEEE] 2026-7-1 | ADMM for Block-Structured Large-Scale Quadratic Programs
[IEEE] 2026-7-1 | IEEE Sensors Council
[IEEE] 2026-7-1 | Dynamic Rescheduling for Aircraft Pulsed Assembly Lines: A Distributed Multi-Agent Approach
[IEEE] 2026-7-1 | Adaptive PMLSM Control via Hybrid Extended State Observer Repetitive Control Optimized by Improved Deep Reinforcement Learning
[IEEE] 2026-7-1 | A Four-Arm Modular Energy Storage Converter with High Power Density and Battery-Friendly Integration
[IEEE] 2026-7-1 | Short Paper Session 2
[IEEE] 2026-7-1 | Short Paper Session 1
[IEEE] 2026-7-1 | Performance Analysis of SIMO-FSO Systems with Coupled Pointing Errors and Correlated Lognormal Turbulence
[IEEE] 2026-7-1 | DPSSX: Detecting and Preventing SQLi and Stored XSS Induced by Expressions in Web Application SQL Statements via Static-Dynamic Analysis
[IEEE] 2026-7-1 | Compact Model for Accurate Decoupling of Interface and Buffer Traps in HEMTs
[IEEE] 2026-7-1 | AI and Edge Computing-based Deep Learning Framework for Early Detection of Chronic Kidney Disease and Kidney Stones
[IEEE] 2026-7-1 | Livelihood Vulnerability in Rural India: Agricultural Stressors and Technological Interventions from the Semponkudi Study
[IEEE] 2026-7-1 | Recovering and Rehosting Mobile Local LLM Conversations and Contexts via Memory Forensics
[IEEE] 2026-7-1 | Comparative Analysis of Machine Learning Algorithms for Early-Stage Diagnosis of Prion Diseases Using Explainability and Calibration
[IEEE] 2026-7-1 | Interpreting Respiratory Sounds for Robust Disease Detection Using Machine Learning
[IEEE] 2026-7-1 | Security and Threat Modelling for OtA Updates in Classic AUTOSAR Systems
[IEEE] 2026-7-1 | A Secure and Scalable Real-Time Stock Price Monitoring and Intelligent Alert Notification System using MERN Stack
[IEEE] 2026-7-1 | Explainable Ensemble Deep Learning Framework for Multiclass Skin Lesion Classification
[IEEE] 2026-7-1 | A Local AI Assistant Developed in Python with OpenAI Tools to Facilitate PEMFC Research
[IEEE] 2026-7-1 | ReSort: Edge-Optimized Mobile Recycling Classification with Cloud-Assisted Geolocation Guidance
[IEEE] 2026-7-1 | Secure IPFS-based File Storage with Blockchain-Enabled Authentication, Access Control, and Secure Data Transfer
[IEEE] 2026-7-1 | Neural Network Pipeline for Kidney Stone Detection and Segmentation from CT Images
[IEEE] 2026-7-1 | Feature-Level Information Fusion of Dietary and Lifestyle Variables for Machine Learning–Based Prediction of Colorectal Cancer Risk
[IEEE] 2026-7-1 | Skin Disease Detection and Classification Using Deep Learning
[IEEE] 2026-7-1 | AI-Enhanced Phishing Email Detection Using Hybrid Feature Engineering and Ensemble Learning
[IEEE] 2026-7-1 | Cooperative SWIPT-Enabled Subsurface Soil Sensor Network for Sustainable Smart Agriculture
[IEEE] 2026-7-1 | From Individual to Central Storage: Towards Minimizing Grid Interaction in Energy Communities
[IEEE] 2026-7-1 | EVMAuth: Decentralized Authorization as Programmable Assets for Web3 APIs and Autonomous Agents
[IEEE] 2026-7-1 | SIGHSAGE: Smart Scene Narrator for Visually Impaired Using YOLOv11
[IEEE] 2026-7-1 | AI-Assisted Dermoscopic Skin Lesion Analysis using Ensemble Deep Learning with Uncertainty Quantification and Fairness-Aware Clinical Reporting
[IEEE] 2026-7-1 | Explainable Trend–Residual Corrected XGBoost for Global Air Quality Prediction
[IEEE] 2026-7-1 | NextStep AI - AI Powered Smart Intelligence And Career Guidance Assistance Platform
[IEEE] 2026-7-1 | Explainable AI based Multi-Organ Diagnosis using ROIs and Augmented Reality Visualization
[IEEE] 2026-7-1 | Privacy-Preserving NFT Access Control with Threshold Cryptography and Offline Wallet Integration
[ACM] 2026-7-2 | Autonomous Mobile Robot Navigation Using Double Deep Q-Network: Efficient Goal-Seeking and Obstacle Avoidance
[ACM] 2026-7-2 | RL to Control Agile Dynamics of a Single Legged Hopping Robot
[ACM] 2026-7-2 | TO-SoFiT: Topology Optimization of Hydraulic Soft Fish Tail Design for programmable undulating locomotion
[ACM] 2026-7-2 | Information Asymmetry and Governance Failure: Insider Trading in Family Firms and the Implications for Disclosure Systems
[ACM] 2026-7-1 | Reaching Univalency with Subquadratic Communication
[IEEE] 2026-7-1 | Power State Management of Bus-Mounted Edge Servers towards Elastic Computation Offloading: A Reinforcement Learning Approach
[IEEE] 2026-7-1 | Messages
[IEEE] 2026-7-1 | Multi Parameter Identification and Battery Charging Control of UWPT System Based on Primary Measurement
[IEEE] 2026-7-1 | Optimal Low-Carbon Scheduling of Integrated Energy Microgrid: A Two-layer Four-level Stochastic Robust Optimization Method
[IEEE] 2026-7-1 | Global–Local Coupling Formation Cooperative Obstacle Avoidance Method for Multirobot Systems
[IEEE] 2026-7-1 | Proceedings
[IEEE] 2026-7-1 | ICSploit: A Fuzzing Framework for Proprietary Industrial Control System Protocols Driven by Function Codes
[IEEE] 2026-7-1 | Modeling Partial and Total Support of Left Ventricular Assist Device for Discrete Hemodynamic Control Framework
[IEEE] 2026-7-1 | Matrixed-Spectrum Decomposition Accelerated Linear Boltzmann Transport Equation Solver for Fast Scatter Correction in Multi-Spectral CT
[IEEE] 2026-7-1 | Diffusion-Based Channel Inpainting for Robust SRS-Based CSI Acquisition
[IEEE] 2026-7-1 | Frequency-enhanced and Multimodal Fusion Visual State Space Model for Tree Crown Segmentation Using UAV Remote Sensing Images
[IEEE] 2026-7-1 | Bayesian-Optimized Model Predictive Control With Modulator for Rotor Current Control Under Parameter Uncertainties in Doubly-Fed Induction Generator Systems
[IEEE] 2026-7-1 | Patient-specific Biomechanical Investigation of Percutaneous Pulmonary Valves: Towards the Integration of Routinely Acquired Clinical Data and Fluid-structure Interaction Simulations
[IEEE] 2026-7-1 | A Scenario-based Two-stage Optimal Sequential Operation of Green-Hydrogen-Integrated Island Hybrid Energy System Network
[IEEE] 2026-7-1 | Improved epoxy composites for GIS insulation rods using hyperbranched network structure
[IEEE] 2026-7-1 | DPSFusion: Dynamic Pseudo-Supervision and Semantic Guidance for Multi-Modality Image Fusion
[IEEE] 2026-7-1 | A Multidimensional Statistical Feature-Extraction Framework Employing Transconductance as a Sensing Metric for Detection of VOC Biomarkers for Fatty Liver Disease Using a Pd-MoS-rGO Hybrid Channel FET_supp1-3706769.docx
[IEEE] 2026-7-1 | A capillary-driven textile electrochemical device enabling rapid and continuous uric acid monitoring in sweat
[IEEE] 2026-7-1 | AccSI: Accelerating Serverless Inference via Edge-Assisted Pipelined Model Fetching
[IEEE] 2026-7-1 | RGB-Guided Infrared Fixed-Pattern Noise Estimation via Sequential Adaptive Fusion
[IEEE] 2026-7-1 | Numerical and Experimental Investigations on Geometrically Optimized Piezoelectric Cantilever Sensors for Density and Viscosity Measurements
[IEEE] 2026-7-1 | AoI and Latency-Aware Air-Ground Vehicular Crowdsensing by Sequential Multi-Agent Deep Reinforcement Learning
[IEEE] 2026-7-1 | MobileSplat: Real-Time Streaming and Rendering of City-Scale 3D Scenes for Mobile Platforms
[IEEE] 2026-7-1 | City-wide Traffic Prediction Using Aggregated Mobile Network Activity Data
[ACM] 2026-7-1 | A Timed Petri Net Model and Renderer for Typesetting Pre-Mensural Polyphony
[ACM] 2026-7-1 | Bridging Piano Pedagogy and Digital Music Libraries
[ACM] 2026-7-1 | Autonext: Optimised Recurrent and Context-Aware Statistical Models for Predictive Text Input in Low-Resource Indic Languages
[IEEE] 2026-7-1 | Concretely-Efficient Multi-Key Homomorphic Secret Sharing and Applications
[IEEE] 2026-7-1 | COSSETER: GitHub Actions Permission Reduction Using Demand-Driven Static Analysis
[IEEE] 2026-7-1 | Improved Breast Ultrasound Classification using CLAHE-based Enhancement and Deep Ensemble Learning
共写入 200 条记录，保存到 papers/paper2026-07-01.json。
论文获取成功，文件路径: papers/paper2026-07-01.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | A Model-based Testing Technique for Amazon Lex Task-based Chatbots
[NO] 2/200 | LongVQUBench: Benchmarking Long-Term Video Quality Understanding of Vision-Language Models
[NO] 3/200 | Fisher Glasses: Tail-Certified Quantum Metrology in Quenched Environments
[NO] 4/200 | Can Agents Generalize to the Open World? Unveiling the Fragility of Static Training in Tool Use
[NO] 5/200 | Balancing Expressivity and Learnability in Quantum Kernel Bandit Optimization
[NO] 6/200 | Where Am I? Semantic Map Grounding via Vision-Language Models for Multi-Modal Localization
[NO] 7/200 | Bounds for the maximal and Riesz potential operators with variable fractionality
[NO] 8/200 | Fair Allocation under Conflict Constraints via Strong Colorability
[NO] 9/200 | Bridging the gap between SLSNe and SE-SNe. Multi-wavelength analysis of the SLSN-Ib SN 2024jlc
[NO] 10/200 | Foreground Characterization and Mitigation in the Observations of the CD/EoR with the SKA
[NO] 11/200 | Conversable Complexity: Agentic LLM Collectives as Interpretable Substrates
[NO] 12/200 | Studying Ionosphere Using SKA-Low and SKA-Mid
[NO] 13/200 | Behavior-Adaptive Conversational Agents: Toward a Fluid Personality Framework
[NO] 14/200 | Evidence-Supported Credit Risk Report Generation Using News-Centric Financial Knowledge Graphs
[NO] 15/200 | Approximating Peak Prevalence in Multistage SIR Epidemics
[NO] 16/200 | Function-Counting Theory for Low-Dimensional Data Structures
[NO] 17/200 | Phase diagram of a double-occupancy cell model of a fluid with Curie-Weiss interaction
[NO] 18/200 | KnowledgeDebugger -- an Exploration Tool for Knowledge Localization and Editing in Transformers
[NO] 19/200 | Magnon-polaron mediated spin Seebeck effect in altermagnets
[NO] 20/200 | Automatic Detection of Stress from Speech in the Trier Social Stress Test
[NO] 21/200 | Substrate-dependent electrical transport in individual single-walled carbon nanotubes grown across SiO$_2$ and hexagonal boron nitride
[NO] 22/200 | Visualizing Engineering Fundamentals: Design of Mixed Reality and Physical Toolkits for Effective Learning
[NO] 23/200 | TRCGL-Net: A Long-Tailed Multi-Label Chest X-Ray Classification Framework with Generative Data Augmentation and Label Co-Occurrence Modeling
[YES] 24/200 | QuaMoE-DRF: Proactive Beam and Rate Adaptation via Multimodal Dynamic Radio Map Forecasting in ISAC Networks
[NO] 25/200 | Bayesian Uncertainty Propagation for Agentic RAG Pipelines: A Proof-of-Concept Study on Multi-Hop Question Answering
[NO] 26/200 | Svarna: An Open Corpus Workbench for Modern Greek
[NO] 27/200 | Obstructions to coarse universality for finitely generated groups
[NO] 28/200 | GaussianEmoTalker: Real-Time Emotional Talking Head Synthesis with Audio-Driven and Blendshape-Based 3D Gaussian Splatting
[NO] 29/200 | Gromov boundary of the Grand Arc graph
[NO] 30/200 | Native-resolution retrievals of VHS 1256-1257 b spanning the JWST/NIRSpec wavelength range: Chemical composition of a partially cloudy atmosphere
[NO] 31/200 | Dataset Biases and Shortcut Learning in Motion-Based AI-Generated Video Detection
[NO] 32/200 | Tighter bounds for weighted and unweighted shortest cycle approximation
[NO] 33/200 | On the Extended 1-2-3 Conjecture of Pilz
[NO] 34/200 | First-principles calculations of spin-split bands in chiral hybrid organic-inorganic perovskites ($R$/$S$-PEA)PbI$_3$ and ($R$/$S$-NEA)PbI$_3$
[NO] 35/200 | Graph-Native Reinforcement Learning Enables Traceable Scientific Hypothesis Generation through Conceptual Recombination
[YES] 36/200 | Fundamental Limits of Random Downlink Integrated Sensing and Communication over Rician Channels
[NO] 37/200 | The effect of 20th century industrialization: Power station, acid rains, over-pumping, on an erstwhile uniform freshwater dune aquifer in Haifa Bay, Israel
[NO] 38/200 | DeWorldSG: Depth-Aware 3D Semantic Scene Graph Generation via World-Model Priors
[NO] 39/200 | How Ethos and Pathos Appeals Resonate in Reader Interpretations of Social Media Messages
[NO] 40/200 | Self-Evolving Agents with Anytime-Valid Certificates
[NO] 41/200 | From Single to Multiple Attributes: Experimental Insights on Sampling-Based Distinct Combination Estimation in GROUP-BY Queries
[NO] 42/200 | CAT: Confidence-Adaptive Thinking for Efficient Reasoning of Large Reasoning Models
[NO] 43/200 | Shapley in Context: Explaining Financial Language with Domain Expertise
[NO] 44/200 | Investigating Driver Behavior in Complex Traffic Situations While Driving Partially Automated Vehicles
[NO] 45/200 | GADA: Geometry-Aware Deformable Aggregation for Image-Based Gaussian Splatting
[NO] 46/200 | Character sums over smooth numbers
[NO] 47/200 | From Real-Time Planning to Reliable Execution:Scalable Coordination for Heterogeneous Multi-Robot Fleets in Industrial Environments
[NO] 48/200 | (Non-)Hyperuniformity of Second Order Statistics of Point Processes
[NO] 49/200 | Optimal control on a heterogeneous SI epidemic model
[NO] 50/200 | EPO: Boosting 3D Foundation Models with Edge-based Pose Optimization
[NO] 51/200 | HK and GL
[NO] 52/200 | Dual-Confidence Contrastive Decoding for Retrieval-Augmented Generation
[NO] 53/200 | [Preprint] Dynamic Modeling, Gait Synthesis, and Control of a Novel Subsurface Bore Propagator
[NO] 54/200 | FS-domains are not always RB-domains
[NO] 55/200 | Effective Color Dipole Approach to Color Transparency in \texorpdfstring{$ρ^0$}{rho^0} Electroproduction
[NO] 56/200 | A multilevel stochastic-gradient neural solver for boundary integral equations
[NO] 57/200 | Talking Politics with Artificial Intelligence
[NO] 58/200 | ECoSim: Data Efficient Fine-Tuning for Controllable Traffic Simulation
[NO] 59/200 | GEAR-Seg: A Grounded Explainable Agent for Reasoning Segmentation and Data Engine
[NO] 60/200 | SPHEREx 0.75 to 5 $μ$m Spectra for a Sequence of Nearby Brown Dwarfs
[NO] 61/200 | AI Native Games: A Survey and Roadmap
[NO] 62/200 | Geometric Shape Optimization for Limbless Locomotion
[NO] 63/200 | Harish-Chandra theories, Ennola $d$-ality and Rouquier blocks for spetses
[NO] 64/200 | Large Language Models for Multi-Lingual Equivalent Mutant Detection: An Extended Empirical Study
[NO] 65/200 | AnF-DiffPET: Anatomy- and Frequency-Guided Diffusion for PET/CT Denoising
[NO] 66/200 | When RAG Meets Query Planning: Logical Query Trees for Resolving Exploratory Reasoning Problems
[NO] 67/200 | How optimistic inflow forecasts distort dispatch, prices, and contracts in hydro-dominated power systems: evidence from Brazil
[NO] 68/200 | GPU-accelerated spectrum reweighting for new-physics searches in solar neutrino--electron scattering
[NO] 69/200 | PAPA: Online Personalized Active Preference Alignment
[NO] 70/200 | Know When to Stop: Segment-Level Credit Assignment for Reducing Overthinking
[NO] 71/200 | Beyond the Prompt: Jailbreaking Function-Calling LLMs via Simulated Moderation Traces
[NO] 72/200 | Neural Network-Based Estimation of Time-Dependent Parameters in AR(p) Processes
[NO] 73/200 | Bridging quantum mechanics and nonlinear optics in Raman scattering
[NO] 74/200 | Agri-SAGE: Simulation-Grounded Multi-Agent LLM for Context-Aware Agricultural Advisory Generation
