[2026-06-12 12:13:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-11
正在获取论文...
[arXiv] 2026-06-11 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[arXiv] 2026-06-11 | Navigating the Safety-Fidelity Trade-off: Massive-Variate Time Series Forecasting for Power Systems via Probabilistic Scenarios
[arXiv] 2026-06-11 | Exploring Exotic Spin-Dependent Interactions Beyond the Standard Model: Theoretical Foundations and Experimental Investigations
[arXiv] 2026-06-11 | ReSum: Synergizing LLM Reasoning and Summarization with Reinforcement Learning
[arXiv] 2026-06-11 | Discrete Fourier Transform Approach to Cyclically Covering Subspaces of $\mathbb{F}^n_q$
[arXiv] 2026-06-11 | DuET: Dual Expert Trajectories for Diffusion Image Editing
[arXiv] 2026-06-11 | Automatic detection of Flare Ribbon Fine Structures as Proxies for Plasmoid Dynamics in Flare Reconnection
[arXiv] 2026-06-11 | See Selectively, Act Adaptively: Dual-Level Structural Decomposition for Bimanual Robot Manipulation
[arXiv] 2026-06-11 | Zero-Shot Captioning for Cultural Heritage: Automated Image Analysis of Traditional Indonesian Clothing
[arXiv] 2026-06-11 | Monotonicity of the rank functions for concave compositions
[arXiv] 2026-06-11 | TimeLens: On-Device Artifact Recognition with Retrieval-Augmented Question Answering for the Grand Egyptian Museum
[arXiv] 2026-06-11 | Selective stabilization of antiferromagnetic orders in FeTe films via local strain engineering
[arXiv] 2026-06-11 | Kubo-Martin-Schwinger conditions for non-Hermitian systems
[arXiv] 2026-06-11 | Reliability of Probabilistic Emulation of Physical Systems
[arXiv] 2026-06-11 | Structured Testbench Generation for LLM-Driven HDL Design and Verification-Oriented Data Curation
[arXiv] 2026-06-11 | From Prompts to Preferences: An Open-Source Platform for Generative AI-Enhanced Conjoint Analysis
[arXiv] 2026-06-11 | Predicting Cognitive Load from Speech and Interaction Dynamics in Dyadic Conversations
[arXiv] 2026-06-11 | Design and optimization of an AZO-based plasmonic metasurface-driven optical solar reflector for thermal management
[arXiv] 2026-06-11 | Data-Driven Frequency-Selective Output Regulation of Nonlinear Systems under Almost Periodic Exosignals
[arXiv] 2026-06-11 | Testing Theory of Truly Concurrent Processes
[arXiv] 2026-06-11 | Multi-Turn Reasoning When Context Arrives in Pieces: Scalable Sharding and Memory-Augmented RL
[arXiv] 2026-06-11 | Self-Guidance: Enhancing Neural Codecs via Decoder Manifold Alignment
[arXiv] 2026-06-11 | On perfect flag-rank metric codes
[arXiv] 2026-06-11 | Conditional spinodal decomposition in Li-Mg anodes for lithium metal batteries
[arXiv] 2026-06-11 | MAStrike: Shapley-Guided Collusive Red-Teaming on Multi-Agent Systems
[IEEE] 2026-6-11 | Reinforcement Learning-Based Hybrid Control Approach for a Class of Underactuated Mechanical Systems
[IEEE] 2026-6-11 | A Bayesian game framework for service function chaining in NFV with incomplete information
[IEEE] 2026-6-11 | Spectral State Fusion Tree Mamba for Hyperspectral Image Classification
[IEEE] 2026-6-11 | PIVOT: A Framework for High-Fidelity Facade PV Layouts via Generative Seeding and Differentiable Optimization_supp1-3701997.pdf
[IEEE] 2026-6-11 | Rotor-Angle Stability Enhancement Control for MMC-MTDC Systems Without Sending-End Power Reserves
[IEEE] 2026-6-11 | The Primary-Side Regulation of Active-Clamp Forward Converter with On-the-Fly Output Voltage Variation
[IEEE] 2026-6-11 | Steganographic Optical Camera Communication: A Framework for Secure Wireless Data Transfer
[IEEE] 2026-6-11 | How much warmer are floating Sargassum mats than surrounding waters? A systematic assessment using Landsat observations
[IEEE] 2026-6-11 | Table of Contents
[IEEE] 2026-6-11 | Frequency-Aware Domain Generalization_supp1-3689419.pdf
[IEEE] 2026-6-11 | Lightweight Coprime Array Virtualization Method Based on Polynomial Interpolation
[IEEE] 2026-6-11 | Model Predictive Control for an Integrated Power-Pulsation Buffer Four-Cell Flying-Capacitor PFC Converter
[IEEE] 2026-6-11 | Table of Contents
[IEEE] 2026-6-11 | Deep Learning-Driven Aspect-Based Sentiment Analysis of Bangladeshi Hotel Reviews
[IEEE] 2026-6-11 | GRU: A Robust Sequential Learning Model for Appliance Energy Forecasting
[IEEE] 2026-6-11 | Deep Learning Driven Respiratory Sound Analysis for Early Chronic Obstructive Pulmonary Disease Detection
[IEEE] 2026-6-11 | Research on Hub Location Problem Based on the Integration of Deep Ranking and Genetic Algorithms
[IEEE] 2026-6-11 | Computer Aided Design Tool for Multiple-Impedance Matching Network
[IEEE] 2026-6-11 | Performance and Fault Analysis of LCC Versus VSC Back-to-Back HVDC Systems for India-Bangladesh Interconnection
[IEEE] 2026-6-11 | Design and Application of Deep Learning-Based Massive Text Classification Algorithms
[IEEE] 2026-6-11 | Novel Self-aligned Flat Source Contact Architecture for Low On-resistance SiC Trench MOSFETs
[IEEE] 2026-6-11 | Detecting Stress Levels using Physiological Signals
[IEEE] 2026-6-11 | High Thermal Stability of Threshold Voltage in p-Cr
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Gated AlGaN/GaN HEMTs
[IEEE] 2026-6-11 | Comprehensive Review of Advancements in Near-Infrared Imaging Techniques for Vein Detection
[IEEE] 2026-6-11 | Extremely Low On-Resistance AlN-based SBDs with Distributed Polarization Doping Drift Layer
[IEEE] 2026-6-11 | Hybrid LSTM and SVM Framework for Uncertainty Reduction in Renewable Energy Forecasting
[IEEE] 2026-6-11 | Cache-Aware Generative NLP: Reducing Latency in Large-Scale Multilingual Systems
[IEEE] 2026-6-11 | Bridging the accuracy-latency gap in PCB inspection via Response Knowledge Distillation
[IEEE] 2026-6-11 | RF Link Budget Sensitivity Analysis of Bangladesh Satellite-1 for Reliable Coastal and Maritime Communication
[IEEE] 2026-6-11 | A Real-Time Multi-Modal Conversational Agentic AI Framework for Automated Demographic Data Collection and Analytical Visualization
[IEEE] 2026-6-11 | Low-Power Ultra-Broadband Supercontinuum Generation in a Compact AlGaAs Rib Waveguide with Three Zero-Dispersion Wavelengths
[IEEE] 2026-6-11 | Influence of p-GaN Cap Layer Engineering and Thermal Effects on the Electrical Performance of AlGaN/GaN HEMTs
[IEEE] 2026-6-11 | Estimating Technical Debt with Machine Learning: Leveraging Code Complexity and Developer Interactions
[IEEE] 2026-6-11 | Exploring Learner Perceptions in Job-Oriented Online Courses Using Review Sentiment Analysis
[IEEE] 2026-6-11 | Impact of Integrated Substrate Potential Control (SPC) Circuits and Dual Field-Plates on Dynamic ON-Resistance in GaN Monolithic Bidirectional Switches
[IEEE] 2026-6-11 | An Explainable Stacking Ensemble Model Combining Advanced DL Techniques for Depression Detection in Social Media Posts
[IEEE] 2026-6-11 | Diff-AS: Diffusion-Augmented Strategy for Chrysanthemum Leaf Classification
[IEEE] 2026-6-11 | Mamba-Based Time and Frequency Fusion Network
[IEEE] 2026-6-11 | ISAR Neural 3D Reconstruction of Space Target with Cross-Frame Attention
[IEEE] 2026-6-11 | Hate Speech Classification using Hybrid Deep Learning Framework and Explainable AI
[IEEE] 2026-6-11 | FeatherTrust-EM: An Ensemble Deep Learning Framework for Continuous Zero-Trust Authentication via Keystroke Dynamics
[IEEE] 2026-6-11 | Multi-Modal Machine Learning for Sentiment and Emotion Recognition in Social Media Data
[IEEE] 2026-6-11 | Path-HGT: A Hierarchical Graph Transformer Framework for Gigapixel Pathology Image Analysis
[IEEE] 2026-6-11 | Comprehensive Study of Distinct TID Mechanisms in Hardened SGT MOSFET under On /Off State and Annealing Recovery
[IEEE] 2026-6-11 | An IoT-Based Qr-Code-Enabled Smart Medicine Box for Reducing Prescription Errors and Improving Medication Adherence
[IEEE] 2026-6-11 | Explainable Multi-Model Prediction of Suicide Mortality Rates using TabNet, SVM, and HistGradientBoosting with Demographic Stratification
[IEEE] 2026-6-11 | Comparative Study of Nanobots in Nano medicines
[IEEE] 2026-6-11 | Uncertainty-Aware and Explainable Feature-Level Ensembles for CT-Based Kidney Stone Detection
[IEEE] 2026-6-11 | Small-Sample Cropland Extraction From Multi-Temporal SAR Based on Temporal Difference
[IEEE] 2026-6-11 | AI-Driven Cognitive Framework for Predictive Social Behaviour Dynamics Analysis
[IEEE] 2026-6-11 | A Hybrid Taxonomy-Aware Efficient Framework for Protein Function Prediction
[IEEE] 2026-6-11 | On the SiC/SiO
                    <sub>2</sub>
                    Interface and SiO
                    <sub>2</sub>
                    Gate Reliability of Planar and Trench SiC MOSFETs
[IEEE] 2026-6-11 | Design and Comparison of a 180° Differential Phase Shifter Using Direct and Impedance-Transformed 100Ω Microstrip Lines
[IEEE] 2026-6-11 | Early Prediction of Autism Spectrum Disorder Using an Ensemble Voting Classifier
[IEEE] 2026-6-11 | A Hybrid YOLO-EfficientNet Framework for Fine-Grained Vegetable Recognition in Dense Multi-Object Images
[IEEE] 2026-6-11 | AirMOS: A Global Optical-SAR Multimodal Benchmark for Airport Detection
[IEEE] 2026-6-11 | Multi-Domain Feature-based Analysis EMG framework for Neuropathy vs Myopathy Characterization and Rehabilitation Assessment
[IEEE] 2026-6-11 | A Gate Protection Interface Enabling Robust and User-Friendly Gate Driving of GaN/SiC HyFET
[IEEE] 2026-6-11 | Multimodal Deep Learning Framework for Blood Test Diagnosis Integrating Medical Imaging and Clinical Parameters
[IEEE] 2026-6-11 | Federated Learning Enhancing Fraud Detection Across Multiple Financial Institutions
[IEEE] 2026-6-11 | Growgreen: A Machine Learning-Based Crop Recommendation and Whatsapp-Controlled Smart IoT Greenhouse
[IEEE] 2026-6-11 | ⊓-ideals and ⊔-filters in double Boolean algebras : To the memory of Prof. Tonga Marcel, 11.04.1951 – 15.09.2025
[IEEE] 2026-6-11 | OvFusionX-Net: An Explainable Deep Learning Model with Attention Mechanism for Early-Stage Ovarian Cancer Classification
[IEEE] 2026-6-11 | Selectively Generating High-Purity Vortex Beams by a Planar Filtenna with a Compact Integration of Spiral SSPP and HMSIPW
[IEEE] 2026-6-11 | Congratulations on 10 Years of Power Electronics
[ACM] 2026-6-11 | LoopHint: A Compiler-Assisted Loop Branch Predictor for Embedded DSPs
[ACM] 2026-6-11 | Proceedings of the 15th ACM SIGPLAN International Workshop on the State Of the Art in Program Analysis
[ACM] 2026-6-11 | On the Effectiveness of Modular Testing in EvoSuite
[ACM] 2026-6-11 | RAPO: Retrieval-Augmented Phase Ordering
[IEEE] 2026-6-11 | Research on Medical Text Information Fusion and Cerebral Infarction Auxiliary Diagnosis Based on Large Language Models
[IEEE] 2026-6-11 | Distribution-Agnostic Idle-Age-Aware Joint Channel and Packet-Size Learning in Cognitive Radio Networks
[IEEE] 2026-6-11 | Towards Heterogeneous Multimodal Sentiment Analysis with ASR Errors via Multi-Granularity Contrastive Coordination_supp1-3702501.pdf
[IEEE] 2026-6-11 | Non-Orthogonal Multiple Access Based
                    <i>M</i>
                    -Ary CDMA Systems
[IEEE] 2026-6-11 | Vehicle-Side Lightweight Conditional Anonymous Double Authentication Framework with Password Robustness in VANETs
[IEEE] 2026-6-11 | Administrative Committee Information
[IEEE] 2026-6-11 | A Compact 132.5–142-GHz ×6 Frequency Multiplier With 2.4-dBm Output Power and 2.1% DC-RF Efficiency in 65-nm CMOS
[IEEE] 2026-6-11 | Dispatch Strategy Against Typhoon-Induced Wind Farm Cut-Outs Considering Resilience: An Adaptive Robust Stochastic Optimization Approach
[ACM] 2026-6-11 | MET: Electric Toothbrushing Activity Recognition Based on Magneto-Inductive Sensing
[ACM] 2026-6-11 | Proceedings of the 2026 ACM SIGPLAN International Workshop on Principles of Agentic Engineering
[IEEE] 2026-6-11 | Enhancing Representation Inversion and Alignment for Zero-Shot Composed Image Retrieval
[IEEE] 2026-6-11 | Unique Ferroxplana Ferrites Impedance Matched to Free Space at HF to VHF Frequencies and Beyond
[IEEE] 2026-6-11 | Lightweight and Interpretable Deep Learning for Automated Waste Classification
[IEEE] 2026-6-11 | Escaping Stability-Plasticity Dilemma in Online Continual Learning for Motion Forecasting via Synergetic Memory Rehearsal
[IEEE] 2026-6-11 | Field Measurement-Based Modeling and Validation of Electric Arc Furnace Loads
[IEEE] 2026-6-11 | A DC-DC Converter for Electric Vehicle Charging Station
[ACM] 2026-6-11 | Online Advertisements with LLMs: Opportunities and Challenges
[IEEE] 2026-6-11 | Data-Driven Psychological Stress Classification Among Higher Education Students: A Machine Learning Approach
[IEEE] 2026-6-11 | Power MOSFETs With Super Safe-Operating-Area
[IEEE] 2026-6-11 | A Transformer-Based Perspective to Bangla-English Code-Mixed Sentiment Analysis
[IEEE] 2026-6-11 | Investigation of SVD-Based Speech Emotion Recognition
[IEEE] 2026-6-11 | Enhancing Security in Multicasting Using Reconfigurable Intelligent Surface and Selection Combining Diversity Technique
[IEEE] 2026-6-11 | An Intelligent Student Management System Using Temporal Stability-Aware Adaptive Learning
[IEEE] 2026-6-11 | AI-Powered Hybrid Management Framework for Autonomous Vendor Evaluation and Procurement Optimization
[IEEE] 2026-6-11 | Predicting Genre Crossovers in Book Recommendations Using Hybrid Machine Learning Models
[IEEE] 2026-6-11 | Research on Power Domain Anti-Jamming Methods Based on Reinforcement Learning
[IEEE] 2026-6-11 | Energy-Efficient Green Computing Techniques for Edge Devices Using Attention-Guided Federated Learning
[IEEE] 2026-6-11 | A Comprehensive Hybrid Deep Learning Approach for Bone Fracture Detection in X-Ray Images Using Optimized CNNs and Transfer Learning
[IEEE] 2026-6-11 | An Ensemble Learning-Based Artificial Intelligence Framework for Postpartum Depression and Suicidal Risk Prediction
[IEEE] 2026-6-11 | Dynamic Reinforcement Learning-Driven Event-Aware Adaptive for Education Management System
[IEEE] 2026-6-11 | A Comparative Analysis of YOLO Variants with Improved YOLOv12m Model for Students' Classroom Behavior Detection
共写入 200 条记录，保存到 papers/paper2026-06-11.json。
论文获取成功，文件路径: papers/paper2026-06-11.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Multi-Field Hybrid Retrieval-Augmented Generation for Maritime Accident Root Cause Analysis
[NO] 2/200 | Excited-state Properties Beyond the Excitation Energy from Orbital-Optimized Density Functional Calculations II: Absorption Spectra
[NO] 3/200 | Thickness-Independent Quantum Geometric Responses Driven by Interlayer Antiferroic Coupling
[NO] 4/200 | Switching Hamiltonian Monte Carlo for sampling from mixture distributions
[NO] 5/200 | ReSET: Accurate Latency-Critical NVFP4 Reasoning via Step-Aware Temperature Scaling
[NO] 6/200 | Historical Seismic Monitoring of EGS and Conventional Geothermal Fields: LBNL Efforts and Lessons Learned
[NO] 7/200 | Absorption cross section of a Schwarzschild black hole for a massive vector field
[NO] 8/200 | Polar Decoding Tree Pruning Based on Soft Output Extraction
[NO] 9/200 | Calibrating simplified vine copulas with a noise contrastive estimation approach
[NO] 10/200 | Twist deformations for Hopf coquasigroups
[NO] 11/200 | Duty-cycle modulation of the self-sustaining process by spanwise wall oscillation
[NO] 12/200 | A Dual-Mode Faust-to-CLAP Compilation System
[NO] 13/200 | A Context-Aware Dataset for Stance Detection in Bioethical Controversies on Reddit
[NO] 14/200 | Ultrashort Pulse Train Generation on a 100TW Laser Beamline Using a Delay Mask After the Final Focusing Optics
[NO] 15/200 | Loss-Shift Transfer via Bayes Quotients
[NO] 16/200 | Mental-R1: Aligning LLM Reasoning for Mental Health Assessment
[NO] 17/200 | Detecting Explanatory Insufficiency in Learned Representations: A Framework for Representational Vigilance
[NO] 18/200 | Redesigning Regularization for Effective Policy Smoothing
[NO] 19/200 | Thermodynamics of polymerized vacuum regular black holes in anti-de Sitter spacetime
[NO] 20/200 | Entropic Generation of Binary Words
[NO] 21/200 | Iterative Visual Thinking: Teaching Vision-Language Models Spatial Self-Correction through Visual Feedback
[NO] 22/200 | Computing Joins in the Weak Order of Type B Coxeter Groups: an Algorithmic Approach
[NO] 23/200 | Scaling limits of the single-curve interface and outermost loops in the planar random field Ising model
[NO] 24/200 | A first-principles approach for predicting infrared optical properties of solids
[NO] 25/200 | HyPE: Category-Aware Hypergraph Encoding with Persistent Edge Embeddings for Persona-Grounded Dialogue
[NO] 26/200 | Cascade Classification of Dermoscopic Images of Skin Neoplasms with Controllable Sensitivity and External Clinical Validation
[NO] 27/200 | Including the Cost of Irreducible Uncertainty in the Policy Compression Framework
[NO] 28/200 | NaturalFlow: Reducing Disruptive Pauses for Natural Speech Flow in Simultaneous Speech-to-Speech Translation
[NO] 29/200 | Model structures and electron transfer properties of conductive nickel-organic nanoribbons in cable bacteria
[NO] 30/200 | Invariance of the Initial Coefficient Differences of Ma-Minda Convex Functions
[NO] 31/200 | PP-OCRv6: From 1.5M to 34.5M Parameters, Surpassing Billion-Scale VLMs on OCR Tasks
[NO] 32/200 | The Invisible Ink of the Android Malware World: A Longitudinal Study on the Usage of Covert Communication Channels
[NO] 33/200 | LEDGER: A Long-Context Benchmark of Corporate Annual Reports for Grounded Financial Retrieval and Extraction
[NO] 34/200 | The Graviton Propagator in Asymptotically Safe Gravity with Non-Local Form Factors
[NO] 35/200 | Equilibrium Computation in Extensive-Form Games with Stochastic Action Sets
[NO] 36/200 | Scale Buys Interpolation, Structure Buys a Horizon: Certified Predictability for Equivariant World Models
[YES] 37/200 | Inverse Learning assisted V2I Communication for Intent Based 6G ISAC Vehicular Networks
[NO] 38/200 | The Emergence of Autonomous Penetration Capabilities in Large Language Model-Powered AI Systems
[NO] 39/200 | A generalised-$k_t$ jet algorithm for Deep Inelastic Scattering
[NO] 40/200 | "Is This Not Enough?": Asymmetries in Institutional Accountability and Collective Sensemaking in the Case of Canada's Algorithmic Visa Triage System
[NO] 41/200 | Ricci solitons as critical points of quadratic curvature functionals
[NO] 42/200 | TWLA: Achieving Ternary Weights and Low-Bit Activations for LLMs via Post-Training Quantization
[NO] 43/200 | EA-WM: Event-Aware World Models with Task-Specification Grounding for Long-Horizon Manipulation
[NO] 44/200 | SeamEdit: A Black-Box VLM-Agnostic Pipeline for Large-Image Semantic Editing
[NO] 45/200 | DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities
[NO] 46/200 | GeoCFNet: Geometry-Aware Confidence Field Network for Robot-Assisted Endoscopic Submucosal Dissection
[NO] 47/200 | Comparing Commercial Depth Sensor Accuracy for Medical Applications
[NO] 48/200 | Exploring fair access to quantum computing
[NO] 49/200 | Democracy in the Era of Artificial Intelligence
[NO] 50/200 | Diagnostics-guided variance-inflated Fay-Herriot estimation from non-probability samples
[NO] 51/200 | Enhanced Target Interaction Area of Helical Plasma Plumes in a Pulsed RF Atmospheric Plasma Jet
[NO] 52/200 | Insitu X Ray Photoemission Study of Nb Surface Under Plasma Cleaning During MID T BAKING For SRF Cavities
[NO] 53/200 | NavWAM: A Navigation World Action Model for Goal-Conditioned Visual Navigation
[NO] 54/200 | The ultra low-frequency spectral properties of bright extended radio galaxies in the 3CRR catalogue
[NO] 55/200 | Power-weighted Hardy type integral inequalities with additional terms on finite intervals
[NO] 56/200 | Exploring Systems-Thinking Approaches to Loss of Control Risk
[NO] 57/200 | Khovanov homology: pro-tangles, derived colimits and spectral sequences
[NO] 58/200 | $W-δ-μ$ dual codes and LCD codes
[NO] 59/200 | A symmetry theorem for localizable steady solutions of the 3D Euler equations
[NO] 60/200 | Symmetric Cooperative Motion in Higher Dimensions
[NO] 61/200 | Real-Time Visualization of the Spatiotemporal Dynamics of 3D Solitons
[NO] 62/200 | Clustering Node Attributed Networks with Graph Neural Networks and Self Learning
[NO] 63/200 | S-GBT: Smooth Growth Bound Tensor for Certified Robustness Against Word Substitution Attacks in NLP
[NO] 64/200 | Numerical Hints for Dyon Condensation at $θ=2π$ via Wilson-'t Hooft Loops in $SU(2)$ Yang-Mills Theory
[NO] 65/200 | Dopant-induced modifications of the optical properties of GaSe
[NO] 66/200 | On the class-breadth conjecture for $p>2$ -groups
[NO] 67/200 | Kerr-induced nonreciprocal transparency and group delay in a hybrid cavity magnomechanical system
[NO] 68/200 | Optimizing Appliance Scheduling for Solar Energy Management Using Metaheuristic Algorithms
[NO] 69/200 | Geometry of non-Hermitian Yang--Mills moduli spaces
[NO] 70/200 | Enhanced Photocurrent Response in Epitaxial 0.5PZT-0.5PFN Multiferroic Thin Films
[YES] 71/200 | The Influence of Gain and Phase Mismatches on Beam Patterns in Phased Arrays
