[2026-08-19 09:26:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-18
正在获取论文...
[arXiv] 2026-08-18 | Quantum simulation of slow analytic time-dependent Hamiltonians
[arXiv] 2026-08-18 | Finite Time Type I Singularities of the Kähler Ricci Flow
[arXiv] 2026-08-18 | EATR-Stereo: Embodiment-Aware Routing of Paired Stereo Evidence for Humanoid Vision-Language-Action Control
[arXiv] 2026-08-18 | FESC: Remodeling Long-Context Private Inference with Encrypted State-Space Models
[arXiv] 2026-08-18 | The Long-Term Effects of British and French Colonization in Africa on Trust in Traditional Leaders
[arXiv] 2026-08-18 | Task-Aware Harness Provisioning for LLM Agents in Mission-Critical Infrastructure Operations
[arXiv] 2026-08-18 | SemComp-Bench: Benchmarking Semantic Task Completion in Video Generation
[arXiv] 2026-08-18 | Fiber Nonlinearity Compensation of Coherent Signals Using Deep Photonic Reservoir Computer
[arXiv] 2026-08-18 | Bi-Layer Ant Colony Optimization for Multi-Robot Task Allocation and Routing in Delivery Applications
[arXiv] 2026-08-18 | Motivic nearby functors on perverse Nori motives
[arXiv] 2026-08-18 | A higher-derivative model predicts a smoothness vs duration relationship in head-pointing movements
[arXiv] 2026-08-18 | The Zonotopic Mixture Filter
[arXiv] 2026-08-18 | Suslin's cancellation conjecture on smooth real affine varieties with few real points
[arXiv] 2026-08-18 | VisDocAgentBench: Benchmarking Agents for Visually Rich Document Retrieval
[arXiv] 2026-08-18 | CFB-GBM v2.0: An Augmented Longitudinal Dataset for Multi-Modal Glioblastoma Segmentation, Radiomics, and RANO Progression Tracking
[arXiv] 2026-08-18 | Area-Preserving Parameterization: Variational Principle, Gradient Flow, and Discrete Approximation
[arXiv] 2026-08-18 | A note on definable endomorphisms of ordered abelian groups
[arXiv] 2026-08-18 | Limiting eigenvalue distribution and entropy of multi-Toeplitz matrices
[arXiv] 2026-08-18 | Graph-Adaptive Horseshoe for Compositional Regression
[arXiv] 2026-08-18 | Rerootable Hypertree Decompositions
[arXiv] 2026-08-18 | Efficient Resource Optimization for Split Federated Learning
[arXiv] 2026-08-18 | Duality-Based $\textit{A Posteriori}$ Error Identities for Subgradient Flows Based on the Brézis-Ekeland-Nayroles Principle
[arXiv] 2026-08-18 | Investigation of the Asymptotic Properties of Active Impedance in Large Finite Array Antennas
[arXiv] 2026-08-18 | Encoded but Not Actionable: Auditing the Decode-Generate-Steer Gap in Frozen LLMs for Geometric Constraints
[arXiv] 2026-08-18 | Elliptic spin Ruijsenaars-Schneider integrable models from 5d $\mathcal{N}=1$ gauge theories
[arXiv] 2026-08-18 | Leveraging Association Context Retrieval in Knowledge Edit- ing to Build White-Box Attacks on LLMs
[arXiv] 2026-08-18 | Variational r-Adaptive Cloth Simulation
[arXiv] 2026-08-18 | MotoSafety: Edge-AI with Learned Temporal Importance for Two-Wheeler Collision Risk Assessment Under Time Pressure
[arXiv] 2026-08-18 | Witt rings, Pfister forms, and equivariant birational geometry
[arXiv] 2026-08-18 | Effector-Centric NMPC of Tiltable-Multirotors for Offset-Free Omnidirectional Aerial Manipulation
[arXiv] 2026-08-18 | Second-pole wall periods for Witten zeta functions in the classical families
[arXiv] 2026-08-18 | Self-Consistent Adjoint Policy Iteration for Constrained Dynamic Portfolio Choice
[arXiv] 2026-08-18 | Threat Aware Task Offloading and Caching for Secure UAV Assisted Vehicular Consumer Electronics
[arXiv] 2026-08-18 | Deformations and homotopy theory of Rota-Baxter Lie algebras
[arXiv] 2026-08-18 | Polarization-Dependent Raman Selection Rules in Sb$_2$S$_3$ from First Principles and Experiment
[arXiv] 2026-08-18 | Preference Is Not Intervention: The Structure and Stability Boundaries of Reader-Specific Evidence Utility
[arXiv] 2026-08-18 | Strict Monotonicity of Numerical Invariants for the Submodules $[(z-w)^k]$ in $H^2(\mathbb D^2)$
[arXiv] 2026-08-18 | Entropy mapping under uniaxial pressure utilizing the elastocaloric effect
[arXiv] 2026-08-18 | Electromagnetic World Model for 6G: A Unified Framework for Joint Environment Reconstruction and Channel Prediction
[arXiv] 2026-08-18 | Stationary periodic solutions for nonlinear Dirac equations with non-coercive nonlinearity II: splitting
[arXiv] 2026-08-18 | Rheology and Dynamic Arrest in Colloidal Depletion Gels Mediated by Surface Brush Density
[arXiv] 2026-08-18 | Study of Existence and Stability of Fixed Points of Hypotenuse Contracting Mappings with Applications to Parabolic PDE
[arXiv] 2026-08-18 | Advancing Inclusivity in Cybersecurity Education: Integrating Intersectionality to Enhance Student Engagement in Australian Higher Education Curriculums Strategies, Barriers, and Future Directions
[arXiv] 2026-08-18 | Depth and Krull dimension of Binomial edge ideals
[arXiv] 2026-08-18 | On the Expressive Power of the Transverse-Field Ising Model for Graph Learning
[arXiv] 2026-08-18 | A strongly compact cardinal yields a left and right coherent ring with $\mathcal{PGF}(R)\subsetneq\mathcal{GP}(R)$
[arXiv] 2026-08-18 | A $5/8$ Lower Bound on the Banach-Mazur Distance to the Cross-Polytope
[arXiv] 2026-08-18 | Active learning molecular beam epitaxy of complex quantum materials
[arXiv] 2026-08-18 | The Roman Coronagraph Community Participation Program: Using the Zernike wavefront sensor for a full characterisation of the Roman Space Telescope and the Coronagraph Instrument
[arXiv] 2026-08-18 | Offline Multi-Agent Reinforcement Learning with a Physics-Informed World Model for Cooperative Mixed Traffic Control
[arXiv] 2026-08-18 | Vacancy-Driven Electronic Reconstruction in Monolayer PtSe$_2$: Formation Thermodynamics and Charge States
[arXiv] 2026-08-18 | Communicating Credit Risk with Large Language Models: Evaluation of Explanations from Standard and Alternative Data-Based Models
[arXiv] 2026-08-18 | Newton Support Functions and Metric Completion of Singular Conformal Metrics at Corners
[arXiv] 2026-08-18 | A Leakage-Proof Benchmark and Conformal Selective Triage for Electrohysterogram-Based Preterm Birth Prediction
[arXiv] 2026-08-18 | Big categorification on towers of classical groups and wreath product groups
[arXiv] 2026-08-18 | Neutron Interferometers from Stacked Holographic Photopolymer Gratings
[arXiv] 2026-08-18 | Influence of the ectonic emission mechanism on the collisionless expansion of a multicomponent cathode plasma
[arXiv] 2026-08-18 | On the p-adic Wirsing problem
[arXiv] 2026-08-18 | Statistical Characterization and Block-EM Estimation of Frequency-Domain NSI for OFDM Systems in Bursty Impulsive Noise
[ACM] 2026-8-18 | Post-Quantum Cryptography Transition Influencing Factors: A Case Study of Philippine Banks
[ACM] 2026-8-18 | On Mixed-Precision Iterative Methods and Analysis for Nearly Completely Decomposable Markov Processes
[ACM] 2026-8-18 | Generating and Evaluating Sustainable Procurement Criteria for the Swiss Public Sector using In-Context Prompting with Large Language Models
[IEEE] 2026-8-18 | QoS-Aware Self-Adaptive Random Early Detection for Congestion Control in Networks with Multiple Classes of Traffic
[IEEE] 2026-8-18 | ICSCAI 2026 Cover Page
[IEEE] 2026-8-18 | A Heterogeneously Integrated Balanced Doherty Power Amplifier With Reconfigurable Adaptive Bias for 5G-Advanced Power Class 1 Terminals
[IEEE] 2026-8-18 | Electromagnetic Environment Knowledge Construction and Channel Prediction: A Model-Data Dual-Driven Approach Toward 6G Digital Twin Channel
[IEEE] 2026-8-18 | Front Cover
[IEEE] 2026-8-18 | Title Page
[IEEE] 2026-8-18 | Ninth-Fold Frequency Multiplication in a Relativistic K-Band Gyrotron
[IEEE] 2026-8-18 | Scalar-Metric-Based Digital Predistortion Model Extraction Using Out-of-Band Power-Driven Stochastic Optimization
[IEEE] 2026-8-18 | Design and Stabilization of a High-Power mm-Wave Enlarged Coaxial Cavity Extended Interaction Oscillator
[IEEE] 2026-8-18 | Progress and Perspectives on Flexible Polyaniline Structures for EMI Shielding and Microwave Absorption
[IEEE] 2026-8-18 | Impact Analysis and Suppression of APC Deviation on High-resolution Spaceborne SAR Imaging
[ACM] 2026-8-18 | Proceedings of the 2026 11th International Conference on Intelligent Information Technology
[IEEE] 2026-8-18 | Author Index
[IEEE] 2026-8-18 | A Monocular Depth Estimation Framework for Improved Underwater Fish Biomass Assessment
[IEEE] 2026-8-18 | Controllability Analysis for Vision State Space Models: A Structural Interpretability Framework
[IEEE] 2026-8-18 | Machine Learning System for Real-Time Customer Churn Forecast in Subscription Businesses
[IEEE] 2026-8-18 | Unbalance Control for Interconnection Distribution Areas Based on Generalized $\mathrm{i}_{\mathrm{p}}-\mathrm{i}_{\mathrm{q}}$ Decomposition
[IEEE] 2026-8-18 | Prompt Engineering for Cohesive and Factually Reliable Neural Text Generation: a 2025–2026 Structured Review with Gherkin-Inspired Prompt Design
[IEEE] 2026-8-18 | A Novel Verification Method for Debug Tracing-in Close Chassis System
[IEEE] 2026-8-18 | Correlation Analysis of Body Mass Index With Atrial Depolarization Amplitude using Atrial Lead System
[IEEE] 2026-8-18 | Application of Linear Algebra and Matrix Theory in Designing Efficient Machine Learning Algorithms and Neural Networks
[IEEE] 2026-8-18 | An IoMT-Enabled Early Warning Framework for Real-Time Maternal and Neonatal Risk Prediction
[IEEE] 2026-8-18 | Graph Neural Networks for Threat Intelligence and Cyber-Attack Path Prediction
[IEEE] 2026-8-18 | PQC-Based Secure Access Manager for IJTAG Network
[IEEE] 2026-8-18 | Semantic and Normal Constrained Point Cloud Registration and Parametric BIM Updating Method for High-Rise Curtain Walls
[IEEE] 2026-8-18 | Design and Preliminary Experimental Validation of a 3D-Printed Resistive Pressure Sensor for Embedded Aerospace Monitoring
[IEEE] 2026-8-18 | DFT-Enhanced Spare Cell Architecture for Scan-Integrated ECO and Leakage Optimization in SoCs
[IEEE] 2026-8-18 | Multi-source Feature Fusion and GNN-Ensemble Learning Framework for Internet Financial Fraud Detection
[IEEE] 2026-8-18 | A Blockchain-Enabled Start-up AYUSH Portal using Smart Contract–based Data Security and Federated Access Control
[IEEE] 2026-8-18 | An Algorithm for Converting Fuzzy Queries in Natural Language into JSON Format Using Vectorization Technology
[IEEE] 2026-8-18 | Agentic Multi-Layer Synergistic Architecture for Financial-Business Integration: A Large Language Model and Multi-Agent System Approach
[IEEE] 2026-8-18 | IoT based RFID-Enabled Smart System for Energy Efficiency and Security in Classrooms and Laboratories
[IEEE] 2026-8-18 | Design and Experimental Verification of 5G RF Interference Suppression Structure for Power-Communication Shared Tower
[IEEE] 2026-8-18 | Integrating AI Technologies in Literacy Instruction: Benefits and Challenges
[IEEE] 2026-8-18 | Multi-Strategy Optimization for Coordinated Smoke Screen Deployment in UAV Countermeasure Systems
[IEEE] 2026-8-18 | Comprehensive Optimization Control of Nonlinear Losses in PMSM Direct Drive Systems
[IEEE] 2026-8-18 | Ethical Considerations and Regulatory Challenges of AI in Financial Accounting
[IEEE] 2026-8-18 | Federated Learning: Collaborative Training Models for Privacy-Preserving Machine Learning
[IEEE] 2026-8-18 | Rethinking RTL DFT: A Discrete RTL Flow for Parallel DFT Integration
[IEEE] 2026-8-18 | An Early Warning Model for Thermal Runaway of New Energy Vehicle Batteries Based on Edge Intelligence
[IEEE] 2026-8-18 | SARGASSIA System Prototyping: From Hardware Specification to Laboratory Validation
[IEEE] 2026-8-18 | Digital Dystopias: Examining AI’s Portrayal in Contemporary Literature
[IEEE] 2026-8-18 | Research on the Application of Quantum Cryptography in Protecting Smart Meter Data in Power Systems
[IEEE] 2026-8-18 | Using Binary Neural Networks for fast Image Classification in Resource-Constrained Environments
[IEEE] 2026-8-18 | NGram-MoSE: Efficient Remote Sensing Super-Resolution via N-Gram Context and Mixture-of-Experts
[IEEE] 2026-8-18 | Adaptive Fusion Algorithm of Unmanned Aerial Vehicle Lidar and Visual Data for Quantifying Damage to Old Building Structures
[IEEE] 2026-8-18 | Thermal Analysis and Design Study for the GENESIS Passive Laser Retroreflector (P-LRR) Unit
[IEEE] 2026-8-18 | Battery Management Systems for Electric Vehicles: Architectures, Estimation Techniques, and Emerging Trends
[IEEE] 2026-8-18 | The Weight of Emotions: Investigation on How Narrative Storytelling Can Influence Emotions in Obesity Awareness Animations
[IEEE] 2026-8-18 | Design of Pet Automatic Feeding System Based on Single Chip Microcomputer
[IEEE] 2026-8-18 | Deep Learning Approaches for Identifying Cybersecurity Risks in IoT Systems
[IEEE] 2026-8-18 | Radiation Shielding Properties of Synthetic Lunar Regolith Analog: Gamma Attenuation Tests for ISRU-Based Habitat Design
[IEEE] 2026-8-18 | Handling Class Imbalance in Diabetic Readmission Prediction Using SMOTified-GAN and Guided Neural Networks
[IEEE] 2026-8-18 | Artificial Intelligence–Driven Cultural Heritage Preservation through Deep Learning and Data Analytics for Sustainable Tourism and Folklore Management
[IEEE] 2026-8-18 | Verbatim-Anchored Knowledge Graph Construction via Semantic Functional Segmentation for Power Marketing Policy Documents
[IEEE] 2026-8-18 | A $3.3 \mu$ Vrms Noise, 0.4 ppm/°C TC Bandgap Reference with Chopper Technique and Linear Current Compensation
[IEEE] 2026-8-18 | Pulse Loss Problem and Solution in Phase Shift Control of Dual Active Bridge Based on DSP
[ACM] 2026-8-19 | Rapid Deployment of Nodal Seismometers Based on a Stepwise Optimization Model
[ACM] 2026-8-19 | Image-Based Domain Adaptive Vulnerability Detection via Graph Centrality Representation
[ACM] 2026-8-19 | Explosive Yield Inversion Based on Transformer Model with Blast Wave Physical Constraints
[ACM] 2026-8-18 | Adaptive Query Optimization with Artificial Intelligence in PostgreSQL
[ACM] 2026-8-18 | Patient Acuity Monitoring System for Improved Nurse-to-Patient Staffing and Assignment
[ACM] 2026-8-18 | Automatic Test Case Generation from Verified Event-B Models for Smart Contract Access Control Policies
[ACM] 2026-8-18 | Prompt Programming for Cultural Bias and Alignment of Large Language Models
[IEEE] 2026-8-18 | Control Gain Distribution among Driver Nodes as a Hidden Degree of Freedom in Pinning Control of Complex Networks
[IEEE] 2026-8-18 | Dissolved Gas Patterns in Oil-Breaking On-Load Tap-Changers
[IEEE] 2026-8-18 | Front Cover
[IEEE] 2026-8-18 | IEEE Technology and Engineering Management Society
[IEEE] 2026-8-18 | HRWKV-Net: A Hybrid Receptance Weighted Key–Value Network for Remote Sensing Image Super-Resolution
[IEEE] 2026-8-18 | Optimizing Few-Shot Novel View Synthesis with Human-Perceptual Preferences
[IEEE] 2026-8-18 | Distributed Stochastic Optimization of Strategic Contracting and Spot Bidding in Sequential Electricity Markets_supp1-3724253.pdf
[IEEE] 2026-8-18 | A CNN-RNN Hybrid Network Model for Atrial Fibrillation Risk Prediction Based on Cohort Follow-up Data
[IEEE] 2026-8-18 | A Unified Fault Detection and Repair Framework for Memristor-Based Non-Volatile Memories
[IEEE] 2026-8-18 | Multi-Agent Reinforcement Learning Based on Weak-Tie Topology Reconstruction and Three-Branch Feature Fusion
[IEEE] 2026-8-18 | Dual-Quaternion-Based Multiplicative Unscented Kalman Filtering (DQ-MUKF) for Relative Navigation in Small Groups of Interacting Objects
[IEEE] 2026-8-18 | Global Knowledge Service and Intelligent Decision Support Architecture for Industry Education Integration Platform Based on Knowledge Graph
[IEEE] 2026-8-18 | Machine Learning Algorithms for Advanced Threat Detection in Cloud Environments
[IEEE] 2026-8-18 | Multimodal AI-Driven Adaptive Assessment System for Personalized E-Learning Environments
[IEEE] 2026-8-18 | A Multi-Index Evaluation Approach for Theoretical Line Loss Estimation in Distribution Station Areas with Distributed Photovoltaic Integration
[IEEE] 2026-8-18 | Copy-move Forgery Detection Based on Trust Density Clustering
[IEEE] 2026-8-18 | Bibliometrics analysis on AI and Marketing
[IEEE] 2026-8-18 | Research on a Security Assessment Model for Symmetric Cryptographic Algorithms Based on Machine Learning
[IEEE] 2026-8-18 | The effect of cloud assistance in developing efficient wearable device with high level communication
[IEEE] 2026-8-18 | Research on the Construction and Analysis of a Customer Call Corpus in Mobile Customer Service
[IEEE] 2026-8-18 | The Future of Infrastructure: Advancing Civil Engineering Through Artificial Intelligence Solutions
[IEEE] 2026-8-18 | Quantum Machine Learning for Ultra-Fast Cryptography and Network Security
[IEEE] 2026-8-18 | A Methodology for Automatic Test Case Generation in Intelligent Connected Vehicle Cybersecurity Testing Based on Large Language Models
[IEEE] 2026-8-18 | Movable-Signals and Movable Antennas for Multiuser Covert Communications
[IEEE] 2026-8-18 | Enabling Flow Automation for HBM Testing Using A Plug-n-Play DFT Interface
[IEEE] 2026-8-18 | A Comparative Study of AI-Driven Decision-Making Models in Strategic Business Management and Operations
[IEEE] 2026-8-18 | Supply Chain Multi-level Inventory Collaborative Optimization Algorithm Based on Graph Convolutional Network
[IEEE] 2026-8-18 | Reconstruction and Practice of Cloud Computing Teaching Mode for Engineering Ability Training
[IEEE] 2026-8-18 | Contribution of Simple and Complex Spikes of Purkine Cells to the Formation of the Bold Response of the Cerebellum: Energy Modeling of Neurovascular Conjugation
[IEEE] 2026-8-18 | A Comprehensive Analysis of Machine Learning Techniques for Optimizing and Personalizing Gym Workouts and Fitness Regimens
[IEEE] 2026-8-18 | A Power Grid "Wartime" Emergency Repair Site Safety Monitoring System Based on Parallel Supervision Mode and Machine Vision
[IEEE] 2026-8-18 | Exploring Differential Evolution Algorithm with Fitness-and Position-Based Selection in Search of Best Test Pattern for Combinational ATPG
[IEEE] 2026-8-18 | Space Activities at the ENEA Calliope Gamma Irradiation Facility
共写入 200 条记录，保存到 papers/paper2026-08-18.json。
论文获取成功，文件路径: papers/paper2026-08-18.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Quantum simulation of slow analytic time-dependent Hamiltonians
[NO] 2/200 | An Emulation Anchored Digital Twin Testbed for Cyberattack and Defense Analysis in Hospital IT OT Environments
[NO] 3/200 | LLM-Derived Preference Judgments Are Not Self-Consistent
[NO] 4/200 | Iterative Grasp Pose Refinement: A Deep Reinforcement Learning Approach for 2D Vision
[NO] 5/200 | Quantized Spin Hall Effect in Three-Dimensional Nodal-Ring Semimetal: Geometric Scaling and Symmetry-Engineered Spin Response
[NO] 6/200 | On the Probability of Network States with Gaussian Connectivity Functions
[NO] 7/200 | Irradiation-Induced Spin Bath Evolution and as-Grown Hydrogen Defects in CVD Diamond Revealed by NV-Based DEER Spectroscopy
[NO] 8/200 | Once Generated, Ranked: End-to-End Generative Slate Recommendation with Unified Semantic-Collaborative IDs
[NO] 9/200 | Operational thresholds of Bell mixtures with complex X noise
[NO] 10/200 | Tasty Chocolate Games
[NO] 11/200 | HarnessRisk: A Lifecycle-Oriented Benchmark for Agent Harness Safety
[NO] 12/200 | Complex morphology and kinematics at the heart of the very low luminosity object IRAM 04191+1522
[NO] 13/200 | Communication Reduction via Semantic-Based Encoding in DMPC Using LSTMs
[NO] 14/200 | Auditing Exposure to Harmful Content on TikTok using Multimodal Language Models: A Cross-National, Age-Stratified Study
[NO] 15/200 | Parallel single-pixel imaging based on modulation region expansion and overlapping reconstruction
[NO] 16/200 | Mixed Finite Element Methods for a Dirac Source: Divergence-Form Splitting and L^p Error Analysis
[NO] 17/200 | No extension of the Quantum Tensor Product admits a Superposition principle
[NO] 18/200 | Homogenization of a relaxed compressible viscous two-phase fluid model in a domain with very tiny holes
[NO] 19/200 | Reflex-Guard: A Low-Latency Guardrail for LLM Prompt Safety Using Dense Semantic Embeddings
[NO] 20/200 | Field deployment of a laser wakefield accelerator for on-site application
[NO] 21/200 | Code as Representation: A Compilable Parsing Paradigm for Academic Documents
[YES] 22/200 | Channel2World: A Wireless Foundation Model for RF Environment Representation
[NO] 23/200 | From Variability to SED Modeling: A Multiwavelength Study of the Neutrino Blazar TXS 0506+056
[NO] 24/200 | Shape Theory of $\infty$-Topoi: Inverse Limits, Products, and (Co)homology
[NO] 25/200 | Explainable AI-Powered Framework for Video-Based Skill Assessment in Cataract Surgery
[NO] 26/200 | Operator-based data embedding for data-driven control of continuous-time systems from noisy data
[NO] 27/200 | Growth of Altermagnetic α-MnTe Films: Substrate Variation and Surface Modification
[NO] 28/200 | Conditional-path Monte Carlo for rare stochastic dynamics on networks: Details and derivations
[NO] 29/200 | Modelling mountains on accreting magnetized neutron stars
[NO] 30/200 | Engineering of Dual Wavelength, Polarization Selective Metalenses in Silicon Carbide
[NO] 31/200 | Unconventional Pressure Evolution of Spin-Density-Wave State in La$_{3}$Ni$_{2}$O$_{7}$
[NO] 32/200 | Agentic Porting, Construction and Initial Verification and Validation of Libraries within the Open Source Unified TRAnsient Multi-Phase Advanced Reactor simulation Kit (Outram Park) Part I: Thermal Hydraulics
[NO] 33/200 | Predict Before Replay: Joint FEC and Flight Control for Reliable Scale-Up Links
[NO] 34/200 | SGHA: Evidence-Grounded Research Problem Discovery with Local Language Models
[NO] 35/200 | Towards Better Agents for Multi-Turn User Interaction: The Next User Turn Is More Than Context
[NO] 36/200 | KeyPooling: Measuring Where LLM API Relay Paths Collapse Prompt Cache Isolation
[NO] 37/200 | Modelling s-process chemical clocks: insights from high-precision Kepler data
[NO] 38/200 | Impact of Upstream Clumpiness on Supernova Remnant Forward Shock Evolution in Molecular Cloud Environments
[NO] 39/200 | S$^3$AM: A Single-Stream SAM with Reliability-Calibrated Frequency Adapter for Multi-modal Salient Object Detection
[NO] 40/200 | Propagation phenomena in KPP-bistable periodic patchy environments
[NO] 41/200 | Absorption-emission quantum repeater using diamond quantum memories
[NO] 42/200 | Ejecta clumps revealed by study of reverse-shocked ejecta through MUSE integral field spectroscopy of SNR 0509-67.5
[NO] 43/200 | Finite Time Type I Singularities of the Kähler Ricci Flow
[NO] 44/200 | EATR-Stereo: Embodiment-Aware Routing of Paired Stereo Evidence for Humanoid Vision-Language-Action Control
[NO] 45/200 | FESC: Remodeling Long-Context Private Inference with Encrypted State-Space Models
[NO] 46/200 | The Long-Term Effects of British and French Colonization in Africa on Trust in Traditional Leaders
[NO] 47/200 | Task-Aware Harness Provisioning for LLM Agents in Mission-Critical Infrastructure Operations
[NO] 48/200 | SemComp-Bench: Benchmarking Semantic Task Completion in Video Generation
[NO] 49/200 | Fiber Nonlinearity Compensation of Coherent Signals Using Deep Photonic Reservoir Computer
[NO] 50/200 | Bi-Layer Ant Colony Optimization for Multi-Robot Task Allocation and Routing in Delivery Applications
[NO] 51/200 | Motivic nearby functors on perverse Nori motives
[NO] 52/200 | A higher-derivative model predicts a smoothness vs duration relationship in head-pointing movements
[NO] 53/200 | The Zonotopic Mixture Filter
[NO] 54/200 | Suslin's cancellation conjecture on smooth real affine varieties with few real points
[NO] 55/200 | VisDocAgentBench: Benchmarking Agents for Visually Rich Document Retrieval
[NO] 56/200 | CFB-GBM v2.0: An Augmented Longitudinal Dataset for Multi-Modal Glioblastoma Segmentation, Radiomics, and RANO Progression Tracking
[NO] 57/200 | Area-Preserving Parameterization: Variational Principle, Gradient Flow, and Discrete Approximation
[NO] 58/200 | A note on definable endomorphisms of ordered abelian groups
[NO] 59/200 | Limiting eigenvalue distribution and entropy of multi-Toeplitz matrices
[NO] 60/200 | Graph-Adaptive Horseshoe for Compositional Regression
[NO] 61/200 | Rerootable Hypertree Decompositions
[NO] 62/200 | Efficient Resource Optimization for Split Federated Learning
[NO] 63/200 | Duality-Based $\textit{A Posteriori}$ Error Identities for Subgradient Flows Based on the Brézis-Ekeland-Nayroles Principle
[NO] 64/200 | Investigation of the Asymptotic Properties of Active Impedance in Large Finite Array Antennas
[NO] 65/200 | Encoded but Not Actionable: Auditing the Decode-Generate-Steer Gap in Frozen LLMs for Geometric Constraints
[NO] 66/200 | Elliptic spin Ruijsenaars-Schneider integrable models from 5d $\mathcal{N}=1$ gauge theories
[NO] 67/200 | Leveraging Association Context Retrieval in Knowledge Edit- ing to Build White-Box Attacks on LLMs
