[2026-06-02 12:36:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-01
正在获取论文...
[arXiv] 2026-06-01 | FocusDiT: Masking Queries in Diffusion Transformers for Fine-grained Image Generation
[arXiv] 2026-06-01 | Stress-energy tensor of quantized scalar fields in thermal states on a zero-tidal wormhole
[arXiv] 2026-06-01 | Molecular-to-polymeric crossover in ion diffusion in glyme-based electrolytes: from vehicular to hopping transport
[arXiv] 2026-06-01 | Demonstrating CBM Capabilities by $Λ$ Baryon Reconstruction in Ni+Ni Collisions with the mCBM Experiment at SIS18 of GSI/FAIR
[arXiv] 2026-06-01 | Contrastive Augmented Transformer with Domain-specific Enhancement for Robust Multi-scenario Metal Surface Defect Detection
[arXiv] 2026-06-01 | Quantum resonance encryption for secure data storage and communication with quantum kicked top
[arXiv] 2026-06-01 | Quantum secure blind decryption with two users
[arXiv] 2026-06-01 | SAVMap: Structure-Aided Visual Mapping of Large-Scale 2.5D Manhattan Wireframes from Panoramic Video
[arXiv] 2026-06-01 | A note on SG points for reduced plane curves
[arXiv] 2026-06-01 | The 1/2-Conjecture for $q$-Binomial Coefficients with Fractional Index
[arXiv] 2026-06-01 | Power Semigroups and Two Rigidity Theorems for Groups
[arXiv] 2026-06-01 | Three-scale singular limits with applications to rapidly rotating fluids and the hyperbolization of dispersive systems
[arXiv] 2026-06-01 | Residual Decoder Adapter: ID-Preserving Tokenizer Adaption for Autoregressive Text Rendering
[arXiv] 2026-06-01 | Infinite-dimensionality of the rational homotopy groups of the space of long embeddings of codimension 2
[arXiv] 2026-06-01 | Auto formalisation of Goedel's Second Incompleteness Theorem in Binary Recursive Arithmetic
[arXiv] 2026-06-01 | EVA-Net: Subject-Independent EEG Motor Decoding with Video-Derived Motor Priors
[arXiv] 2026-06-01 | Can the root cluster remain largest forever in random recursive tree percolation?
[arXiv] 2026-06-01 | Distribution and Evolution of the Debris Cloud from the Fragmentation of Intelsat 33E
[arXiv] 2026-06-01 | Deep Learning for Generating Computational PIN-4 Immunohistochemistry Staining from Prostate Biopsy H&E Images
[arXiv] 2026-06-01 | The Lie We Tell: Correcting the Euclidean Fallacy in Vision Language Action Policies via Score Matching on Tangent Space
[arXiv] 2026-06-01 | Mos-Gen: A Generative Molecular Framework for Mosquito Insecticide Design
[arXiv] 2026-06-01 | Higher-order exceptional points and enhanced quantum squeezing in a pseudo-Hermitian semiconductor optomechanical system
[arXiv] 2026-06-01 | Connectivities for k-knitted graphs and for minimal counterexamples to Hadwiger's Conjecture
[arXiv] 2026-06-01 | Mid-Infrared Single-Photon Edge Enhanced Imaging based on Nonlinear Vortex Filtering
[arXiv] 2026-06-01 | FLAME: Physics-Guided Neural Operators for Onboard Satellite Methane Detection in Hyperspectral Imagery
[arXiv] 2026-06-01 | Deformable Wiener Filter for Future Video Coding
[arXiv] 2026-06-01 | Boom, Bubble, or Buildout? A Multi-Method Evaluation of Whether Artificial Intelligence Is in an Ongoing Financial Bubble
[arXiv] 2026-06-01 | Intrinsic Subgroups and the $\ell$-adic Galois image
[arXiv] 2026-06-01 | Tandem Exclusion Process
[arXiv] 2026-06-01 | MomentKV: Closing the Directional Gap in KV Cache Eviction for Long-Context Inference
[arXiv] 2026-06-01 | Making Aggregations Reliable: Realizability Guarantees for Battery Fleets with Heterogeneous Power and Energy Limits
[arXiv] 2026-06-01 | Structural Change Detection in High-Dimensional Transformed Factor Models via Canonical Correlation Analysis
[arXiv] 2026-06-01 | CRePE: Convolution-aware Relative Importance in Post-training Pruning with Efficient Search
[arXiv] 2026-06-01 | Self-Conditioned Positional HNSW for Overlap-Aware Retrieval in Chunked-Document RAG Systems: Method and Industrial Evidence-Quality Audit
[arXiv] 2026-06-01 | Scalable Counterfactual Risk Estimation for Rare Events in Longitudinal Data
[arXiv] 2026-06-01 | Inexact Proximal Point and Tseng Algorithms with Nonsummable Errors to Solve Monotone Inclusions
[arXiv] 2026-06-01 | On the ends of Willmore surfaces with curvature decay
[arXiv] 2026-06-01 | Multilinear extrapolation of compactness on mixed-norm spaces
[arXiv] 2026-06-01 | High moments of random multiplicative functions twisted by Fourier coefficients of modular forms
[arXiv] 2026-06-01 | Evaluation of Baseline Methods for IDD-based SSD External Memory Search
[arXiv] 2026-06-01 | Observation, Not Prediction: Conversation-Level Disaggregated Scheduling for Agentic Serving
[arXiv] 2026-06-01 | LayerRoute: Input-Conditioned Adaptive Layer Skipping via LoRA Fine-Tuning for Agentic Language Models
[arXiv] 2026-06-01 | Learning Implicit Bias in Generative Spaces for Accelerating Protein Dynamics Emulation
[arXiv] 2026-06-01 | CAPF: Guiding Search-Agent Rollouts with Credit-Attenuated Privileged Feedback
[arXiv] 2026-06-01 | "I've Seen How This Goes": Characterizing Diversity via Progressive Conditional Surprise
[arXiv] 2026-06-01 | Token Predictors Are Not Planners: Building Physically Grounded Causal Reasoners
[arXiv] 2026-06-01 | A Near-Optimal Offline Algorithm for Dynamic All-Pairs Shortest Paths in Planar Digraphs
[arXiv] 2026-06-01 | MOSS-Audio Technical Report
[arXiv] 2026-06-01 | On the product of cross-intersecting families with small covering number
[arXiv] 2026-06-01 | Structure-Guided Adaptive Propagation for Protein-Protein Interaction Site Prediction
[arXiv] 2026-06-01 | Night-Window Batching versus Carbon-Aware Scheduling for Clinical AI GPU Workloads
[arXiv] 2026-06-01 | Polaron Transport in TiO$_{2}$ from Machine Learning Molecular Dynamics
[arXiv] 2026-06-01 | A note on the Ratio and Inertia Bounds for the $k$-Independence Number
[arXiv] 2026-06-01 | TriAlign: Towards Universal Truth Consistency in Personalized LLM Alignment
[arXiv] 2026-06-01 | Stress relaxation in fiber networks via force-dependent stochastic severing
[arXiv] 2026-06-01 | SparseX: Efficient Segment-Level KV Cache Sharing for Interleaved LLM Serving
[arXiv] 2026-06-01 | Role of System-Bath Interaction in Non-Markovian Quantum Brownian Otto Cycles
[arXiv] 2026-06-01 | FlatVPR: Plug-and-play Geo-linear Residual Adapter for Geometric Rectification of Foundation Model Feature Manifolds
[arXiv] 2026-06-01 | Post-Deterministic Distributed Systems: A New Foundation for Trustworthy Autonomous Infrastructure
[arXiv] 2026-06-01 | An Upper Bound For Hausdorff Distance Between Finite-Dimensional Hyperbolic Space and Its Medianization
[arXiv] 2026-06-01 | Density-Aware Translation of Spurious Correlations in Zero-Shot VLMs
[arXiv] 2026-06-01 | Large ephemeral regions and their tilt angles
[arXiv] 2026-06-01 | Breaking-induced energy dissipation of surface gravity waves at varying scales and co-flowing wind stresses
[arXiv] 2026-06-01 | JenBridge: Adaptive Long-Form Video Soundtracking across Scene Transitions
[arXiv] 2026-06-01 | Understanding Identity Continuity in Thermal Video through Scene-Level Consistency
[arXiv] 2026-06-01 | Sharp median testing and sparse criteria for generalized \(BMO\) spaces
[arXiv] 2026-06-01 | Information and voting: Evidence from Peru's 2026 presidential election
[arXiv] 2026-06-01 | Encoded but Not Routed: Explaining the Table-Chart Gap in Scientific Claim Verification
[arXiv] 2026-06-01 | Why Do Self-Harm Prediction Models Struggle to Generalise? Lexical and Semantic Variations in Emergency Department Triage Notes
[arXiv] 2026-06-01 | DOT-MoE: Differentiable Optimal Transport for MoEfication
[arXiv] 2026-06-01 | Quantifying the Energy Floor: Direct Measurement and Replay Buffer Bias in SAC-Based HVAC Control on sbsim
[arXiv] 2026-06-01 | Feature leakage and the identifiability of direct-dependency entropy models of neural activity
[arXiv] 2026-06-01 | Dynamic Breaking of Mirror Symmetry in Spin-Dependent Electron Transport through Chiral Media Causes Enantiomeric Excesses
[arXiv] 2026-06-01 | PhyScene3D: Physically Consistent Interactive 3D Tabletop Scene Generation
[arXiv] 2026-06-01 | A Noetherian Hopf algebra is affine iff its Hopf coradical is affine
[arXiv] 2026-06-01 | An agent-based model of outer membrane biogenesis in Gram-negative bacteria
[arXiv] 2026-06-01 | E4GEN: Event-level Explainable Extreme-Enhanced Time-series Generation
[arXiv] 2026-06-01 | An alternating learning-based collocation method for solving inverse elliptic problems
[arXiv] 2026-06-01 | Exploiting Semantic and Pixel Representations for Ultra-Low Bitrate Image Compression
[arXiv] 2026-06-01 | Regularized joint reconstruction and slab combination for accelerated three-dimensional multi-slab diffusion-weighted imaging using multi-scale energy models
[ACM] 2026-6-1 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[ACM] 2026-6-1 | Evaluating the Role of Context Representations in the Behavioral Fidelity of LLM-based Personas for Food Preferences
[ACM] 2026-6-1 | Personalizing Font Size Normalization: Linguistic Background Shapes Which Font Attributes Matter
[ACM] 2026-6-1 | Reproducibility of LLM-based Recommender Systems Research: Worrying Observations from an Initial Analysis
[ACM] 2026-6-1 | Leveraging Artist Catalogs for Cold-Start Music Recommendation
[ACM] 2026-6-1 | GMAP 2026: 5th Workshop on Group Modeling, Adaptation and Personalization
[ACM] 2026-6-1 | Toward Intelligent Wearables: Sensing, Interaction, and LLM EDA Automation
[ACM] 2026-6-1 | Towards Trustworthy AIoT Systems: An Interaction-Centric Perspective
[ACM] 2026-6-1 | Toward Practical Integrated Sensing and Communication upon Commodity Wi-Fi
[IEEE] 2026-6-1 | Reliable Receiver Design for Frequency-Selective Channels under Bursty Impulsive Noise
[IEEE] 2026-6-1 | Split Learning-Enabled Framework for Secure and Lightweight Internet of Medical Things Systems
[IEEE] 2026-6-1 | On-Orbit SWIR Imagery MTF Compensation for the Geology-1 Satellite Using Cross-Spectral Structural Priors
[IEEE] 2026-6-1 | Semantic Noise Decomposition and Saliency-Weighted Mutual Information in Task-Oriented Communication
[IEEE] 2026-6-1 | Periodically Poled Piezoelectric Lithium Niobate Resonator for Piezoelectric Power Conversion
[IEEE] 2026-6-1 | Author Index
[IEEE] 2026-6-1 | A Holistic Remote Fork Strategy Toward Fast Function Scaling in Serverless Edge Computing
[IEEE] 2026-6-1 | Coupled Phase-Shift STAR-RIS Enabled Integrated Over-the-Air Computation and Communications
[IEEE] 2026-6-1 | Machine Learning Pipelines for Image-based Classification of Rice Grain Varieties: A Systematic Literature Review
[IEEE] 2026-6-1 | Comprehensive Multi-View Clustering via Low-Dimensional Subspace Representation
[IEEE] 2026-6-1 | TCSC: Time-Consistent Synchronization and Completion for Bridging the Temporal Sim-to-Real Gap in Embodied Intelligence
[IEEE] 2026-6-1 | Decentralized Resilient Synchronization for Cyber-Physical Microgrids with FDI Attacks and Uncertainties
[IEEE] 2026-6-1 | Profitability and Cost-Effectiveness Analysis of Wireless and Conductive Charging Infrastructure for Autonomous Fleets: Insights From Real-World Data
[IEEE] 2026-6-1 | Emergency Dispatch Strategy for Electric Vehicles Based on Spatio-Temporal Distribution Characteristics and User Response Willingness
[IEEE] 2026-6-1 | Structure-Aware Matrix Pencil for Estimating the Number of Damped Complex Exponentials_supp1-3698108.pdf
[IEEE] 2026-6-1 | Transferability Reinforcement of Adversarial Attacks for Remote Sensing Image Classification via Hierarchical Transformation Composition
[IEEE] 2026-6-1 | Oscillation-Based Locomotion of a Spherical Robot Driven by Flywheels With Low Control Torque*
[IEEE] 2026-6-1 | ORION: Option-Regularized Deep Reinforcement Learning for Cooperative Multi-Agent Online Navigation
[IEEE] 2026-6-1 | An Overwriting Vulnerability in IoT Authentication Protocols: Attacks and Countermeasures
[ACM] 2026-6-1 | MigMate: A VS Code Extension for LLM-based Library Migration of Python Projects
[IEEE] 2026-6-1 | Blockchain and Ai for Smart Cities Energy Systems
[IEEE] 2026-6-1 | The Potential of Thermal Sand Based Storage for Renewables in Saudi Arabia
[ACM] 2026-6-2 | Does the Digital Transformation of Enterprises Promote Green Transformation——Based on the Dual Perspectives of External Pressure and Internal Attention
[ACM] 2026-6-2 | AHP-BIM Collaborative Approach for Multi-Objective Optimization Design of Eco-Hotels
[IEEE] 2026-6-1 | Design of Quarter Mode SIW Self Diplexing Slotted Antenna
[IEEE] 2026-6-1 | Leveraging Cross-Modal Information to Reduce Gender Bias in Facial Analysis Systems
[IEEE] 2026-6-1 | Deepfake Detection in Solar Panel Imagery Using Hybrid Vision Transformer Architecture
[IEEE] 2026-6-1 | Testing Method for Language Model Evaluation: A Case Study on a Localized Question Bank
[IEEE] 2026-6-1 | TransFM: Visible-to-Infrared Image Translation via Flow Matching
[IEEE] 2026-6-1 | An Agentic System for Schema Aware NL2SQL Generation
[IEEE] 2026-6-1 | Study of Factors Influencing the Energy Characteristics of Electromechanical Systems
[IEEE] 2026-6-1 | High-fidelity 3D reconstruction for planetary exploration
[IEEE] 2026-6-1 | Graph Neural Networks for Class Imbalance Learning and Detecting Fraud Transactions
[IEEE] 2026-6-1 | Energy-Efficient Federated Learning for Space Observation via Neuromorphic Computing: a Use Case
[ACM] 2026-6-2 | Analysis of Current Research Status and Hot Trends in Preventive Healthcare Management Based on Cite Space
[ACM] 2026-6-2 | Optimizing Dual-Resource Scheduling for Rice Drying via Branch-and-Price: A Digital Management Approach
[IEEE] 2026-6-1 | Design of a Cable-Driven, Self-Aligning Knee Exoskeleton to Eliminate Joints' Misalignment Across Users With Varying Leg Dimensions
[IEEE] 2026-6-1 | Unlocking High-Frequency Temporal Visual Cues for Personality Traits Recognition
[IEEE] 2026-6-1 | Target Tracking in Cell-Free Multi-Static ISAC Systems with Network-Assisted Full-Duplex
[IEEE] 2026-6-1 | Photonics Breakthroughs 2025: Three-Dimensional Holographic Incoherent Imaging Through Scattering Media
[IEEE] 2026-6-1 | VBT-MPC: Vision-Based Tactile MPC for Contour Following_supp1-3698362.mp4
[IEEE] 2026-6-1 | Self-supervised Representation Learning for Dynamic Functional Connectivity with Subject-wise and Temporal Contrasts_supp1-3698236.pdf
[IEEE] 2026-6-1 | Access Point Deployment for Robust Line-of-Sight Coverage Under Stochastic Obstacles
[IEEE] 2026-6-1 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp4-3697140.mp4
[IEEE] 2026-6-1 | Co-seismic ionospheric disturbances detection with multi-GNSS Case study: Turkey double earthquakes on February 6, 2023
[IEEE] 2026-6-1 | A GAN-Based Method for Mountain Shadow Restoration in Optical Remote Sensing Image
[IEEE] 2026-6-1 | A Tiny Neuromorphic Processor Enabling On-Chip Spike-Based Learning for Edge Intelligent System
[IEEE] 2026-6-1 | HMSA-Net: Hierarchical Modality-Speaker Adaptive Network for Audio-Visual Speaker Diarization
[IEEE] 2026-6-1 | Numerical Modeling of Tidal Current Patterns for Anchorage Channel Planning at Amborawang Laut Port
[IEEE] 2026-6-1 | Towards Automated Discovery of Asymmetric Mempool DoS in Blockchains
[IEEE] 2026-6-1 | Improving the cyber security of IEC 61850 based transmission line protection (128)
[IEEE] 2026-6-1 | Landfill Site Allocation Multi-Objective Optimization with NSGA-II: A Case Study on Fogo Island, Cape Verde
[IEEE] 2026-6-1 | Bounds on Maximum Hermitian Hull Dimension of MDS Codes and MDS Codes with Explicit Hermitian Hulls
[IEEE] 2026-6-1 | Consistency-based Semi-supervised Evidential Active Learning Framework for Robust Classification of Radiology Images_supp1-3696868.pdf
[IEEE] 2026-6-1 | Generalized Bayesian Linearized AVO Inversion using Box–Cox Transform
[ACM] 2026-6-1 | Using Anti-Personas to Model Children: How to Represent User-System Mismatches
[ACM] 2026-6-1 | Productively Wrong: How Auditing Open Profiles Enhances Interest Awareness and Reflection in Movie Recommenders
[ACM] 2026-6-1 | How Humans and LLMs Differ in Processing Uncertainty in Polarized Discourse
[ACM] 2026-6-1 | User-Conditioned Personalized Side-Information in Sequential Recommendation
[ACM] 2026-6-1 | Trustworthy and Adaptive LLMs for Mental and Physical Wellbeing in Recommendations
[ACM] 2026-6-1 | Student Web Search Behaviour: A Comparative Study of AI-Assisted and Traditional Search Styles and Performance
[IEEE] 2026-6-1 | Intelligent Spectrum Sensing and Access Using Deep Learning for Cognitive Communication Systems
[IEEE] 2026-6-1 | Energy Efficient Control of Electric Heaters in Biogas Reactors
[IEEE] 2026-6-1 | A Minimal Brain–Computer Interface for Efficient Mission-Level Control in Industrial Human–Robot Interaction
[IEEE] 2026-6-1 | Suite of Ingestible Devices Opens Window to the Gut Nervous System, Microbiome
[IEEE] 2026-6-1 | SAFE-GUARD: Audio Emotion Recognition System for Real-Time Public Place Abuse Detection
[IEEE] 2026-6-1 | Generative AI-driven Group Emotion Recognition: A Comparative Analysis of Holistic and Compositional Strategies
[IEEE] 2026-6-1 | Impact of Renewable Integration on Day-Ahead and Real-Time Market Prices under One- and Two-Price Imbalance Settlements
[IEEE] 2026-6-1 | Mathematical Modeling of Negative Environmental Consequences Due to Thermal Radiation
[IEEE] 2026-6-1 | Dynamic Event-Triggered MPC for Nonlinear Systems: Application to Vehicle Active Suspensions
                    <sup>*</sup>
[IEEE] 2026-6-1 | The Impact of Quality Control, Curated Gene Sets, and Statistical Frameworks on Alzheimer’s Disease Gene Expression Analysis in Single-Cell Data
[IEEE] 2026-6-1 | A Containerized Multimodal Architecture for On-Device Driver-State Feedback with ROS 2 and Edge AI Services
[IEEE] 2026-6-1 | Perception and Acceptance of Quadruped Robots Based on Indirect Exposure
[IEEE] 2026-6-1 | Modern Trends in the Use of Hydrogen as a Motor Fuel: Analysis, Recent Advancementsand Prospects
[IEEE] 2026-6-1 | Disaster Response Gross Motor, Fine Motor and Tactile Workload Prediction Using Multi-layer Perceptrons
[IEEE] 2026-6-1 | Automated Detection of Hip Replacements and Fiducial Markers in Pelvic CT Scans: A Comparative Study of Rule-Based vs Deep Learning Approaches
[IEEE] 2026-6-1 | Lightweight LLM Adaptation for Intrusion Detection via Token-Efficient Flow Representation
[IEEE] 2026-6-1 | Intelligent Safe Optimal Control Towards Koopman Operator-Driven Nonlinear Systems with Asymmetric State and Input Constraints
[IEEE] 2026-6-1 | From Episodic Screening to Continuous Insight: AI Architectures for Colorectal Care
[ACM] 2026-6-2 | Demographic Bias in Generative Data Augmentation: A Study of Makeup and Hairstyle Transfer Models
[ACM] 2026-6-2 | Lightweight and Highly Scalable Campus Service WeChat Mini Program Architecture Design and Practice for Private Universities
[ACM] 2026-6-2 | Dual-Feature Shop Scheduling Based on Heterogeneous Cooperative Subpopulation Algorithm
[ACM] 2026-6-2 | Traffic Estimation Methods for Intelligent Transport
[IEEE] 2026-6-1 | Fuzzy Logic Optimization of Electrode Geometry in a Microfluidic Device for Malaria Cell Separation
[IEEE] 2026-6-1 | HeuRiskUNet: UAV Navigation in Risk Maps through Improved Path Planning Heuristics
[IEEE] 2026-6-1 | SKYWALKER: Dual-Agent Reinforcement Learning for Autonomous Crawling in a Planar Microgravity Analog : Sim-to-Real Evaluation at ESA’s Orbital Robotics Lab
[IEEE] 2026-6-1 | Synthesize, Adapt, Steal: A Few-Shot Domain Adaptive Model Stealing Attack for Tabular Data
[IEEE] 2026-6-1 | Efficient Disruption of Criminal Networks through Multi-Objective Genetic Algorithms
[IEEE] 2026-6-1 | Design and Simulation of a Battery Electric Vehicle Model for Underground Mining Applications with Synthetic Data Generation for Machine Learning Model
[IEEE] 2026-6-1 | LLM-Augmented Feature Engineering for Machine Learning Pipelines
[IEEE] 2026-6-1 | Privacy-Preserving and Coercion-Resistant E-Voting via Unlinkable Biometric Credentials on a Hybrid Permissioned Blockchain
共写入 200 条记录，保存到 papers/paper2026-06-01.json。
论文获取成功，文件路径: papers/paper2026-06-01.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | FocusDiT: Masking Queries in Diffusion Transformers for Fine-grained Image Generation
[NO] 2/200 | $p$-Robust Trace Liftings for Discrete Harmonic Extensions and Boundary-Preserving $hp$ Interpolation on Tetrahedral Meshes
[NO] 3/200 | Search for a leptoquark in events with a hadronically decaying $τ$-lepton and missing transverse momentum using $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector
[NO] 4/200 | Inverting Poisson-Laguerre tessellations
[NO] 5/200 | SPOCK*: A simple program for simulating knotted and concatenated polymer rings off-lattice
[NO] 6/200 | ICCDesign: An R Package for the Design and Analysis of ICC-Based Reliability Studies with Continuous Responses
[NO] 7/200 | Topological texture analysis of microscopy images of dynamic casein gelation and its relation to rheological properties
[NO] 8/200 | Generalized almost disjoint families and injective Banach spaces
[NO] 9/200 | Self-intersection local times for Volterra Gaussian processes in stochastic flows with interaction
[NO] 10/200 | OpenWebRL: Demystifying Online Multi-turn Reinforcement Learning for Visual Web Agents
[NO] 11/200 | The Completion-Threshold Framework for Obligatory-Test Scheduling on Multiple Machines
[NO] 12/200 | Jordan types for pairs of commuting nilpotent matrices: A survey
[NO] 13/200 | Ranking vs. Assignment: The Metric Mismatch in Multi-View Object Association
[NO] 14/200 | PliableBVS: A flexible Bayesian variable selection method for modeling interactions with mandatory modifying variables
[NO] 15/200 | PlanarBench: Evaluating LLM Spatial Reasoning via Planar Graph Drawing
[NO] 16/200 | Provable Data Scaling Law for Meta Learning via Complexity Minimization
[NO] 17/200 | Higher-Order Multifractional Stable Motion: Definition and Fundamental Properties
[NO] 18/200 | Second-Order Optimality Conditions for Sparse Differentiable Optimization Problems via Limiting Second-Order Subdifferentials
[NO] 19/200 | SafeMCP: Proactive Power Regulation for LLM Agent Defense via Environment-Grounded Look-Ahead Reasoning
[NO] 20/200 | Dielectric-Anisotropy-Induced Quasi-BIC Activation for Spatial Differentiation in All-Dielectric Metasurfaces
[NO] 21/200 | Generalization Limits in Vehicle Re-Identification
[NO] 22/200 | Stress-energy tensor of quantized scalar fields in thermal states on a zero-tidal wormhole
[NO] 23/200 | Molecular-to-polymeric crossover in ion diffusion in glyme-based electrolytes: from vehicular to hopping transport
[NO] 24/200 | Demonstrating CBM Capabilities by $Λ$ Baryon Reconstruction in Ni+Ni Collisions with the mCBM Experiment at SIS18 of GSI/FAIR
[NO] 25/200 | Contrastive Augmented Transformer with Domain-specific Enhancement for Robust Multi-scenario Metal Surface Defect Detection
[NO] 26/200 | Quantum resonance encryption for secure data storage and communication with quantum kicked top
[NO] 27/200 | Quantum secure blind decryption with two users
[NO] 28/200 | SAVMap: Structure-Aided Visual Mapping of Large-Scale 2.5D Manhattan Wireframes from Panoramic Video
[NO] 29/200 | A note on SG points for reduced plane curves
[NO] 30/200 | The 1/2-Conjecture for $q$-Binomial Coefficients with Fractional Index
[NO] 31/200 | Power Semigroups and Two Rigidity Theorems for Groups
[NO] 32/200 | Three-scale singular limits with applications to rapidly rotating fluids and the hyperbolization of dispersive systems
[NO] 33/200 | Residual Decoder Adapter: ID-Preserving Tokenizer Adaption for Autoregressive Text Rendering
[NO] 34/200 | Infinite-dimensionality of the rational homotopy groups of the space of long embeddings of codimension 2
[NO] 35/200 | Auto formalisation of Goedel's Second Incompleteness Theorem in Binary Recursive Arithmetic
[NO] 36/200 | EVA-Net: Subject-Independent EEG Motor Decoding with Video-Derived Motor Priors
[NO] 37/200 | Can the root cluster remain largest forever in random recursive tree percolation?
[NO] 38/200 | Distribution and Evolution of the Debris Cloud from the Fragmentation of Intelsat 33E
[NO] 39/200 | Deep Learning for Generating Computational PIN-4 Immunohistochemistry Staining from Prostate Biopsy H&E Images
[NO] 40/200 | The Lie We Tell: Correcting the Euclidean Fallacy in Vision Language Action Policies via Score Matching on Tangent Space
[NO] 41/200 | Mos-Gen: A Generative Molecular Framework for Mosquito Insecticide Design
[NO] 42/200 | Higher-order exceptional points and enhanced quantum squeezing in a pseudo-Hermitian semiconductor optomechanical system
[NO] 43/200 | Connectivities for k-knitted graphs and for minimal counterexamples to Hadwiger's Conjecture
[NO] 44/200 | Mid-Infrared Single-Photon Edge Enhanced Imaging based on Nonlinear Vortex Filtering
[NO] 45/200 | FLAME: Physics-Guided Neural Operators for Onboard Satellite Methane Detection in Hyperspectral Imagery
[NO] 46/200 | Deformable Wiener Filter for Future Video Coding
[NO] 47/200 | Boom, Bubble, or Buildout? A Multi-Method Evaluation of Whether Artificial Intelligence Is in an Ongoing Financial Bubble
[NO] 48/200 | Intrinsic Subgroups and the $\ell$-adic Galois image
[NO] 49/200 | Tandem Exclusion Process
[NO] 50/200 | MomentKV: Closing the Directional Gap in KV Cache Eviction for Long-Context Inference
[NO] 51/200 | Making Aggregations Reliable: Realizability Guarantees for Battery Fleets with Heterogeneous Power and Energy Limits
[NO] 52/200 | Structural Change Detection in High-Dimensional Transformed Factor Models via Canonical Correlation Analysis
[NO] 53/200 | CRePE: Convolution-aware Relative Importance in Post-training Pruning with Efficient Search
[NO] 54/200 | Self-Conditioned Positional HNSW for Overlap-Aware Retrieval in Chunked-Document RAG Systems: Method and Industrial Evidence-Quality Audit
[NO] 55/200 | Scalable Counterfactual Risk Estimation for Rare Events in Longitudinal Data
[NO] 56/200 | Inexact Proximal Point and Tseng Algorithms with Nonsummable Errors to Solve Monotone Inclusions
[NO] 57/200 | On the ends of Willmore surfaces with curvature decay
[NO] 58/200 | Multilinear extrapolation of compactness on mixed-norm spaces
[NO] 59/200 | High moments of random multiplicative functions twisted by Fourier coefficients of modular forms
[NO] 60/200 | Evaluation of Baseline Methods for IDD-based SSD External Memory Search
[NO] 61/200 | Observation, Not Prediction: Conversation-Level Disaggregated Scheduling for Agentic Serving
[NO] 62/200 | LayerRoute: Input-Conditioned Adaptive Layer Skipping via LoRA Fine-Tuning for Agentic Language Models
[NO] 63/200 | Learning Implicit Bias in Generative Spaces for Accelerating Protein Dynamics Emulation
[NO] 64/200 | CAPF: Guiding Search-Agent Rollouts with Credit-Attenuated Privileged Feedback
[NO] 65/200 | "I've Seen How This Goes": Characterizing Diversity via Progressive Conditional Surprise
