[2026-08-15 09:19:22] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[NO] 86/100 | A Theory of the Learnable
[NO] 87/100 | Locally Distributed Estimation With Binary Sensors: A Dissipativity-Based Approach
[NO] 88/100 | Reconfigurable Graphene-Metasurface Analysis via an Eigenmode-Free Method-of-Lines Formulation
[NO] 89/100 | EGA-DTA: An Energetic-Geometric Augmented Graph Neural Network With Target-Conditional Gating for DTA Prediction
[NO] 90/100 | Adaptive Multi-interpolation and Multi-dimensional Feature Weighting for Binocular 3-D Visible Surface Reconstruction
[NO] 91/100 | Synchronization of Directed Multi-Level Complex Networks With Multiple Delays
[NO] 92/100 | Mixture of Experts Learning-based Accurate Surrogate for Evolutionary Expensive Optimization_supp1-3723213.pdf
[NO] 93/100 | Current Rating and Sheath Loss Assessment of Underground Power Cables Using Electro-Thermal Finite Element Modeling
[NO] 94/100 | Switch Open-Circuit Fault Detection and Compensation System for LLC Resonant Converters in LDC Applications of Electric Vehicles
[NO] 95/100 | Inversion of Particle Size Distribution and Abundance of Phytoplankton Species from Their Backscattering Coefficients in Visible Light
[NO] 96/100 | Optimized Design of Electrode using Multi-Frequency Bioelectrical Impedance Analyser for Glucose Monitoring in Healthcare Applications
[NO] 97/100 | RAD-AI: Rethinking Architecture Documentation for AI-Augmented Ecosystems
[NO] 98/100 | Artificial Intelligence in Broadband Oscillation Modeling: A Review
[NO] 99/100 | Perception of Safety Risks in Construction based on Dynamic Safety Perception Index-Artificial Neural Network
[NO] 100/100 | Improvement of Adaptive Resistance Design for Metal Clamping Points in Common Grounding Electrode
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-08-14.json。
邮件发送成功！
[2026-08-15 09:39:33] 任务执行成功！
