[2026-09-04 13:04:00] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-03
正在获取论文...
[arXiv] 2026-09-03 | Data-Based Clustering and Control of Similar Biological Systems
[arXiv] 2026-09-03 | Cross-Dataset Transfer and Reliability of Explainable Artificial Intelligence for RhythmFormer Remote Photoplethysmography
[arXiv] 2026-09-03 | Local Updates, Global Learning (LUGL): Playing Games with non-incremental Learners
[arXiv] 2026-09-03 | PL-SCEA: Reconfiguring Pretrained Attention for Few-Shot Industrial Anomaly Detection
[arXiv] 2026-09-03 | The Impact of Synthetic Data Augmentation on Discourse-Pragmatic Function Classification
[arXiv] 2026-09-03 | Prospects for probing dark matter with filamentary 21cm emission
[arXiv] 2026-09-03 | Relative Prime Factorization and Finite-State Presentations under Fixed Finite-Monoid Observation
[arXiv] 2026-09-03 | Local Path Planning and Obstacle Avoidance for an Omnicopter Platform
[arXiv] 2026-09-03 | ToolDF: Tool-Integrated Reasoning for Mixed-Authenticity Audio Deepfake Detection
[arXiv] 2026-09-03 | Remember and Reweight: Enhancing Multi-Agent Debate with Experience Memory and Confidence Estimation
[arXiv] 2026-09-03 | Change-point analysis: a new perspective for unstable financial markets
[arXiv] 2026-09-03 | Dynamical (non-)recurrence of escaping exponential maps
[arXiv] 2026-09-03 | ReRoom: Blending Virtual and Physical Contexts for In Situ Room Planning in Mixed Reality
[arXiv] 2026-09-03 | Code Transformation Rule Synthesis using LLMs: Potential and Limits
[arXiv] 2026-09-03 | Scaling Bimanual Household Manipulation from 1,500 hours of Demonstrations to On-Policy Corrections
[arXiv] 2026-09-03 | From Prior-Guided Heuristics to Deployable Agents: Accelerating Demonstration-Driven Reinforcement Learning for Deadline-Constrained Network Control
[arXiv] 2026-09-03 | The Greedy Bump Bias: Local Profiling Geometry and the Look-Elsewhere Effect
[arXiv] 2026-09-03 | Improved algorithm for counting spanning trees by $\ell_1$-regularized resistance
[arXiv] 2026-09-03 | Diffeomorphism Group Actions on Para-Kähler Structures: Lifts and Induced Dynamics on 3-Webs
[arXiv] 2026-09-03 | Combinatorial Search for Strong Shift Equivalence
[arXiv] 2026-09-03 | Spectral Function Method and Janus Quantum Numbers in Quasiperiodic Systems
[arXiv] 2026-09-03 | GPS-Bench: A Governance Policy Benchmark for Automating Policy Analysis
[arXiv] 2026-09-03 | Dalek: A Constructive Agent Machine
[arXiv] 2026-09-03 | Airy limit for the Jack process and topological expansion
[arXiv] 2026-09-03 | Topics in Kadyshevsky Field Theory
[arXiv] 2026-09-03 | Center-twisted Gribov spectra and the finite-volume Gaussian response in the refined Gribov--Zwanziger framework
[arXiv] 2026-09-03 | The Identification of Biological Stains at Crime Scenes: A Promising Role for Proteomics and Machine Learning
[arXiv] 2026-09-03 | Stratification of Artin motives over local fields
[arXiv] 2026-09-03 | On graphs with equal domination and total domination numbers
[arXiv] 2026-09-03 | Interplay of B-Site Off-Centering and Molecular Orientations in the Mixed Hybrid Perovskite MAGe1xSnxI3
[arXiv] 2026-09-03 | LongCounsel-8: A Benchmark Suite for Longitudinal Depression Tracking from Multi-Session Counseling Dialogues
[arXiv] 2026-09-03 | Restricted Eigenvalues Beyond Gaussian Width: Threshold Occupancy under Heavy Tails
[arXiv] 2026-09-03 | BRIDGE: An Open-Source Humanoid Platform via Morphology-Control Co-Design for Physical AI
[arXiv] 2026-09-03 | Spectral characteristics of autoencoder parameters as a vector representation of data
[arXiv] 2026-09-03 | Weakly Driven and Finite Detuning Boundary Time Crystals Enabled by Low-Dissipation Dynamical Channels
[arXiv] 2026-09-03 | Pattern Over-Generalization of Knowledge Graph Embedding
[arXiv] 2026-09-03 | Air-Ground Collaborative Vision-and-Language Navigation via Shared Bird's-Eye Maps
[arXiv] 2026-09-03 | Dynamical Selection of Horizon-BMS Goldstone Modes in Evaporating Black Holes
[arXiv] 2026-09-03 | Granular Rods Fall Faster in Denser Obstacle Fields
[arXiv] 2026-09-03 | Override and Update in Restriction Categories
[arXiv] 2026-09-03 | FlowTT: Exploiting Computation Flow Reuse in Irregular Tensor-Train Embedding
[arXiv] 2026-09-03 | OCR-EDR: Rendering-Aware Diagnosis and Repair for Closed-Loop OCR Improvement
[arXiv] 2026-09-03 | The Jet Properties and Accretion Regime for the Blazar Sequence
[arXiv] 2026-09-03 | Decoupled Analysis-Judging: An Automated Creativity Evaluator Using LLMs in Complex Multi-step Creativity Tasks
[arXiv] 2026-09-03 | Random Attention: Rethinking KV Cache Eviction for Efficient Reasoning
[arXiv] 2026-09-03 | Reconstruction of Shower-like Events in NEON Using Likelihood and Graph Neural Network Methods
[arXiv] 2026-09-03 | Caught in the Story: Narrative Captivity in Multi-turn LLMs Conversation
[arXiv] 2026-09-03 | Hyperpositive functions, sector bounded functions and a trace formula
[arXiv] 2026-09-03 | A thickness boundary and modular obstructions for two-set radial projections
[arXiv] 2026-09-03 | Exploring millicharged particles in laboratory and astrophysical strong-field regimes
[arXiv] 2026-09-03 | TIGPO: Temporal Instance-Graph Policy Optimization for Long-Horizon LLM Agents
[arXiv] 2026-09-03 | Evolution of Virial Clouds - II: From the Formation of First Stars up to their Explosion
[IEEE] 2026-9-3 | Transmitter Noise Propagation in Millimeter-Wave and Sub-Terahertz: From Limits to Design Guidelines
[IEEE] 2026-9-3 | Generalizable Multi-Agent Planning From Signal Temporal Logic Specifications Via Diffusion_supp1-3730215.mp4
[IEEE] 2026-9-3 | Member Get-a-Member (MGM) Program
[IEEE] 2026-9-3 | Bayesian Risk-Based Sequential Detection for Fast Color-Sequence Identification in Optical Camera Communication
[IEEE] 2026-9-3 | Automated Robotic Vascular Cannulation With Bi-Rotational Insertion and Multimodal Monitoring and Feedback_supp1-3730293.mp4
[IEEE] 2026-9-3 | Emotion Induction through AffectMachine: Testing Subjective and Physiological Responses to Generative Music
[IEEE] 2026-9-3 | Technical Program Calender
[IEEE] 2026-9-3 | Physics-Guided Invariant Causal Representation Learning for Blind Domain Generalization in Bearing Fault Diagnosis
[IEEE] 2026-9-3 | Less Is More: Minimal Components for Contrastive Learning Delivering Superior Accuracy and Efficiency
[IEEE] 2026-9-3 | Secure-Oriented Gain-Scheduling for IT-2 Fuzzy Active Vehicle Suspension Systems Under Malicious Attacks: Polynomial-Driven Relaxation and Experimental Validation
[ACM] 2026-9-4 | A Novel Method for Professional Book Recommendation Based on Fusion of Dynamic User Profile and Bert-Faiss
[ACM] 2026-9-4 | Breath-Gaze Coordination for AR Inspection: Reducing False Triggers While Supporting Physiological Regulation
[ACM] 2026-9-4 | Architecture Design of Knowledge Graph for Fault Diagnosis
[ACM] 2026-9-4 | Design Methodology for Immersive Red Culture Experience Based on Multimodal Interaction and the Construction of Emotional Models
[ACM] 2026-9-4 | A Deep Learning-Enabled Framework for Intelligent Identification of Urban Linear Green Space Usage Challenges Using Social Media Data.
[IEEE] 2026-9-3 | Interface Tracking Characteristics between Epoxy Resin Modified by ZrW
                    <sub>2</sub>
                    O
                    <sub>8</sub>
                    and Silicone Rubber at Low Interface Pressure
[IEEE] 2026-9-3 | A New Way to Benchmark Low-Dimensional Optoelectronic Synapses
[IEEE] 2026-9-3 | Study of the Behavior of Motor Winding Wire Insulation in the Presence of Electrical Discharges and Organic Vapors
[IEEE] 2026-9-3 | Design and Control Methods of TSAW Acoustic Tweezers System for Cellular Sorting
[IEEE] 2026-9-3 | Inception Model for Dielectric Breakdown of Gases
[IEEE] 2026-9-3 | Generator Bearing Condition Interpretation Through Vibration and Temperature Forecasting Using LSTM Priok Power Plants
[IEEE] 2026-9-3 | Enhanced Power Decoupling and Independent MPPT in a Cascaded Boost Three-Leg Inverter PV System: Validation under Resistive and Inductive Loads
[IEEE] 2026-9-3 | Mechanism and Optimization Study of Pulse Voltage Parameters on Acoustic Wave Propagation in the Pulsed Electroacoustic Method
[IEEE] 2026-9-3 | Development of Soft Embedded Electrode Systems for Electrical Treeing Experiments
[IEEE] 2026-9-3 | Ester-Based Impregnates Molecular Gas Absorption and Fluidity Structure-Activity Relationship Models Established Through DFT and Molecular Dynamics
[IEEE] 2026-9-3 | Characterization of Gaseous Helium Discharge in a Non-Uniform Electric Field
[IEEE] 2026-9-3 | Low Frequency Resistance Measurement on HVDC Aeronautical Components for Space Charge Characterization
[IEEE] 2026-9-3 | Thickness-Dependent Radiation Response of PTFE Films under Gamma Irradiation: Structural and Mechanical Analysis
[IEEE] 2026-9-3 | Lifetime Evaluation of SiN
                    <sub>x</sub>
                    Films Under Electrical Aging
[IEEE] 2026-9-3 | Energy Storage in Epoxy Composites Filled with Modified Carbon Nanotubes
[IEEE] 2026-9-3 | Block-Copolymer Compatibilizer-Assisted COC/PP Blending for Enhancing the Dielectric Performance of Polypropylene
[IEEE] 2026-9-3 | Study of Polypropylene with Ethylene Propylene Diene Terpolymer for Recyclable Cable Insulation
[IEEE] 2026-9-3 | Condition Assessment of Discharge Space Based on Transfer Function Estimated from Partial Discharge Waveform
[ACM] 2026-9-4 | Design of TextRank-BERT Fusion Model for Multi-source Review Sentiment Analysis and Optimization Decision-making in Grand Canal Tourism
[ACM] 2026-9-4 | Research on Security Governance and Monitoring Technology for API Digital Assets under Microservices Architecture
[ACM] 2026-9-4 | A Dual-Stream Spatiotemporal Attention Hybrid Learning Framework for Construction Cost Prediction
[ACM] 2026-9-4 | Research on Industry-LLM Fault Diagnosis and Decision-Making with Knowledge Augmentation and Multimodal Alignment
[ACM] 2026-9-3 | Games of Diplomacy: Eliciting Spite Against Automated Opponents Through Structured Game Environments
[IEEE] 2026-9-3 | A Multi-Agent Reinforcement Learning Congestion Control Protocol for Wireless Networks
[IEEE] 2026-9-3 | Instant Response Keyword Spotting via Early Prediction in Streaming Speech
[IEEE] 2026-9-3 | Table of Contents
[IEEE] 2026-9-3 | An Adaptive Masking-Guided Conditional Diffusion Model for Multi-scenario FHR Time Series in the Internet of Medical Things
[ACM] 2026-9-4 | Design and Analysis of Multi-Agent Cooperative Evolutionary Game Algorithm Integrating Social Network Dual-Dimensional Embedding
[ACM] 2026-9-4 | Optimization of Medical Refrigerator Scheduling Under Resource Constraints
[ACM] 2026-9-4 | Proceedings of the 2026 5th International Conference on Cyber Security, Artificial Intelligence and Digital Economy
[ACM] 2026-9-4 | Terminal Security Protection Method Based on Self-Explanatory Constraint Verification of Terminal Operation
[ACM] 2026-9-4 | Research on network traffic anomaly detection method based on causal Reasoning ESN
[ACM] 2026-9-4 | Intelligent Identification Method and System for Power IoT Terminals Based on Edge Collaborative Learning
[IEEE] 2026-9-3 | Predefined-Time Adaptive Fault-Tolerant Attitude Tracking Control on SO(3) for Spacecraft With Unknown Time-Varying Inertia
[IEEE] 2026-9-3 | Index of Authors
[IEEE] 2026-9-3 | Frequency-Dependent Uncertainty Analysis of Bioimpedance in Engineered and Native Muscle
[IEEE] 2026-9-3 | On the In
                    <sub>x</sub>
                    Ga
                    <sub>1−x</sub>
                    As channel noise in InP HEMTs from 4 K to 300 K
[IEEE] 2026-9-3 | Assessing the Feasibility of Insect Density Quantification by Single-Polarization Weather Radar
[IEEE] 2026-9-3 | scGFormer: A Multi-Scale Graph-Transformer for Cell Type Annotation in Single-Cell RNA Sequencing
[IEEE] 2026-9-3 | A Lightweight Authentication and Key Agreement Scheme for PIoT Devices Based on the SM9 Algorithm
[IEEE] 2026-9-3 | Robust Classification of Incomplete Industrial Time Series via Game-Routed Dual Evidence Coordination_supp1-3725412.pdf
[IEEE] 2026-9-3 | Repeat-Free Codes with Local Constraints
[IEEE] 2026-9-3 | A Decoupled Dual-teacher Collaborative Semi-supervised Framework for High-resolution Remote Sensing Image Semantic Segmentation
[IEEE] 2026-9-3 | A Physics-Constrained, Design-Driven Methodology for Defect Dataset Generation in Optical Lithography
[IEEE] 2026-9-3 | Front Cover Page
[ACM] 2026-9-4 | Modeling Analysis and Optimization of Rating and Voting Mechanism of Dance Reality Shows: A Case Study of Dancing with the Stars
[ACM] 2026-9-4 | Generation of Visual Flow Paths for Spatial Arrangement of Paintings in Virtual Exhibition Halls
[ACM] 2026-9-4 | Methods for the Digital Presentation of Fabric Texture in Clothing Based on Virtual Reality
[ACM] 2026-9-4 | The Impact of Visual Language Strategies in Public Art Creation on Community Spatial Perception and Public Behavior
[ACM] 2026-9-4 | Deep Learning-Based Sentiment Analysis of Fan Communities for Game Realism and Collectible Toys: An Integrated SEM-Machine Learning Pipeline for Brand Loyalty and Engagement Forecasting
[ACM] 2026-9-4 | Development of Python-Based Thermal Analysis and Visualization Software
[ACM] 2026-9-4 | Design Method and Application Research of Mobile Bathing Cabin for Disabled Elderly Based on AHP-QFD-TRIZ Model
[ACM] 2026-9-4 | Research on Optimizing AI-Assisted Film and Television VFX Production
[ACM] 2026-9-4 | Deep Learning-Based Multi-Source Data Fusion Methods for Intelligent Information Processing
[ACM] 2026-9-4 | Transformer and Contrastive Learning Based Cross-Modal Retrieval System Optimization for Rural Intangible Heritage Images and Texts
[ACM] 2026-9-4 | An Interactive Healing Device Based on ASMR Audio
[ACM] 2026-9-4 | Role-Playing Simulation in Epilepsy Education: Multimodal Hybrid Ensemble Analysis of Communication Skills, Self-Efficacy and Knowledge
[ACM] 2026-9-4 | AIGC-Assisted Fashion Content Creation and Communication in New Media
[ACM] 2026-9-4 | Text-to-3D Generative Model-Driven Dynamic Construction of Interactive Forms for VR Installation Art
[IEEE] 2026-9-3 | Electrical Aging Mechanisms of $\text{SiN}_{\mathrm{x}}$ Films Under Bipolar Electric Field Bias
[IEEE] 2026-9-3 | Analysis of the Charge Trap Distribution of Space Used Dielectric Materials
[IEEE] 2026-9-3 | Influence of Short Time Disturbances on PD Characteristics in Hairpin Motor Insulation
[IEEE] 2026-9-3 | Impact of Thermal Aging on the Dielectric Properties and Breakdown Strength of Perfluoroalkoxy (PFA) Insulated High-Voltage Cables for Hybrid/Electric Aircraft
[IEEE] 2026-9-3 | Simulation of a New PEA Cell for Cable Specimens
[IEEE] 2026-9-3 | Computational Investigation of Quantum Memory Logic Implemented with Electron Spins in Silicon Devices
[IEEE] 2026-9-3 | Mixed-Precision Floating-Point Arithmetic for Highly Accurate Artificial Neural Networks
[IEEE] 2026-9-3 | How Geometric and Atomistic Asymmetries Affect Entangled Light Generation in InGaN/GaN Quantum Dots
[IEEE] 2026-9-3 | A Two-Stage Hybrid GA-PSO Algorithm for Adaptive Overcurrent Protection in Dynamic Distribution Systems
[IEEE] 2026-9-3 | The Influence of Antioxidants on the Thermooxidative Aging Characteristics of XLPE
[IEEE] 2026-9-3 | Diagnosis Method for Cable Shield Break Defects Based on Combined Phase-to-Ground and Phase-to-phase Frequency Domain Reflectometry
[IEEE] 2026-9-3 | High-Temperature Dielectric and AC Breakdown Properties of Alicyclic Epoxy Resins and Silica-Filled Composites
[IEEE] 2026-9-3 | Analysis of Degraded Features on Silicone Rubber Due to Environmental Factors
[IEEE] 2026-9-3 | Effect of Crystallization Property on Electrical Properties of PP/SEBS Composites as Nuclear Cable Insulation
[ACM] 2026-9-3 | Kizuna: An Affective Virtual Agent for Strengthening Resilience in Children
[IEEE] 2026-9-3 | Advanced Circuit Architectures and Systems for Distributed Intelligence
[IEEE] 2026-9-3 | Defending against Adversarial Malware Attacks on ML-based Android Malware Detection Methods_supp1-3729519.pdf
[IEEE] 2026-9-3 | Bias-Corrected Inference for Post-CFAR Left-Truncated Radar Amplitude Statistics
[IEEE] 2026-9-3 | Distributed Learning for Resilient LEO Satellite Access under Adversarial Jamming
[IEEE] 2026-9-3 | Performance Evaluation of a Hybrid RF/FSO SWIPT Relay System with IRS-Assisted RF Link and UAV-Based Relaying under Pointing Error Constraints
[IEEE] 2026-9-3 | Joint RIS-RSMA Optimization for Asynchronous Multi-user Cell-Free MIMO
[IEEE] 2026-9-3 | Impact of IC package Edge-Bonding on Contamination Deposition at Ball Grid Array Joints in a Two-Phase Immersion Cooling Environment
[IEEE] 2026-9-3 | Smoothing Traffic Flow Through Automated Vehicle Control With Optimal Parameter Selection
[IEEE] 2026-9-3 | WE-DETR: Wavelet-Enhanced Multi-Scale Feature Compensation Detection Transformer for Remote Sensing Small Objects
[IEEE] 2026-9-3 | Seeing Through Threats: (ADEx) Adversarial Detection through Explainability_supp1-3727133.pdf
[ACM] 2026-9-3 | Learning-Based Entanglement Generation for Quantum Routing
共写入 200 条记录，保存到 papers/paper2026-09-03.json。
论文获取成功，文件路径: papers/paper2026-09-03.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Data-Based Clustering and Control of Similar Biological Systems
[NO] 2/200 | OctWorld: Long-Range World-Consistent Video Generation with Octree-Based 3D Mapping
[NO] 3/200 | Grounding GUI Design in Computational Psychology
[NO] 4/200 | RuleMem: Active Rule Memory for Long-Term Conversational Agents
[NO] 5/200 | Electromechanical Domain Wall Propagation in Dielectric Elastomers: An Exact Geometric Resolution via Conformal Mapping
[NO] 6/200 | CROCODIL: Cross-Model Code Editing with LLMs
[NO] 7/200 | FWBC-VLA: Force-Aware Whole-Body Compensation for Contact-Rich Loco-Manipulation
[NO] 8/200 | Beyond Shallow Alignment: How Post-Training Methods Determine Refusal Circuits And Steering Robustness
[NO] 9/200 | Interferometric Survey of Stellar Parameters: Mass of the metallic A-type binary $β$ Aur
[NO] 10/200 | Properties of Seasonal Ice at Sisyphi Cavi and Implications for Current Modification of Martian Gullies
[NO] 11/200 | Measure theory without infinities
[NO] 12/200 | Bioinfoysis Technical Report
[NO] 13/200 | GazeFS: Target-Centered Gaze-Trajectory Forecasting and Stabilization from Gaze-Head History
[NO] 14/200 | Adapting to Evolving Requirements: Agentic AI for Retail Supply Chain Operations
[NO] 15/200 | A Fejér--Riesz inequality for Dirichlet series
[NO] 16/200 | Universal Driven Critical Dynamics of Entanglement Entropy
[NO] 17/200 | Bridging Formal and Perceived Fairness: Development of an Interdisciplinary Framework in Algorithmic Decision-Making
[NO] 18/200 | The mean-field limit of the Schrödinger-Lohe model and emergent dynamics
[NO] 19/200 | EF1-Constrained Nash Social Welfare with Identical Additive Valuations: Complexity, Guarantees, and Experiments
[NO] 20/200 | Flip, Don't Shuffle: Watermarking LLMs at the Speed of Inference
[NO] 21/200 | On flows generated by square-integrable vector fields
[NO] 22/200 | Parabolic Poincaré inequalities and maximal function estimates for systems of partial differential equations
[NO] 23/200 | The impact of phase information for few-shot fine-grained image classification
[NO] 24/200 | Energetic Costs of Subspace Quantum Error Correction
[NO] 25/200 | Optimisation of importance sampling implementation in rare-event shielding simulations using Geant4
[NO] 26/200 | Select, Compress, Reinvest: A Controlled Study of Visual-Token Allocation in Long-Video MLLMs
[NO] 27/200 | Is Collision-Free Backoff Worth It in Wi-Fi?
[NO] 28/200 | VisCAD: A Foundation Model Suite with Multimodal Industrial CAD Intelligence
[NO] 29/200 | Free Pause Tokens
[NO] 30/200 | Auditing Contextual Bias in Human Ball-Strike Calls Using KBO's Automated Umpiring Transition
[NO] 31/200 | Rethinking World Models for Safety-Critical Embodied Systems
[NO] 32/200 | Effects of the Direct Space Charge on Transverse Coupled-Bunch Instabilities
[NO] 33/200 | OBER+: Continuity-Aware Reporting and Traceable Continuous Improvement in Outcome-Based Education
[NO] 34/200 | Lifetime Profit-Maximising Co-optimisation of Multi-Service Stacking for Battery Storage
[NO] 35/200 | Ground-State Phase Diagram, Higher-Winding Topology, and Lifshitz Criticality in an Anisotropic Four-Spin XX Chain
[NO] 36/200 | Coherent interaction of WS$_2$ and quasi-2D perovskite excitons over micrometer distances via a cavity field
[NO] 37/200 | Robot Aware Computational Design of Object Specific Passive Grippers for Additive Manufacturing
[NO] 38/200 | Ion-Engineered Insulator-to-Semiconductor Transition in Natural 2D Biotite
[NO] 39/200 | Rent-a-RAG: Embedding-Space Watermarks for Auditing Third-Party RAG
[NO] 40/200 | Beyond BLEU: A Case for Redefining Sign Language Translation Benchmarks
[NO] 41/200 | Proactive Service Agents: A Unified Decision Framework, Methods, and Evaluation
[NO] 42/200 | Fractalizing spacetime: Floquet codes with fractonic excitations that are immobile in space and time
[NO] 43/200 | On the Finiteness of Anosov flows on $3$-manifolds via Contact Geometry
[NO] 44/200 | Synchronization of directed hypergraphs with heterogeneities via dynamic coupling
[NO] 45/200 | Symmetries and Causality: Causal Effect Identification Beyond IID Data
[NO] 46/200 | ToPO: Token-Conditioned Preference Routing for Attention-Based Latent Diffusion Models
[NO] 47/200 | Hidden Magnetic Octupolar Order driven by Spin-Orbit coupling in KFeF$_3$
[NO] 48/200 | Convolution Sum-Product Queries
[NO] 49/200 | PlanePivoting: Exploration and Optimization of Gaze-Mouse Cursor Alignment for Spatial Object Translation
[NO] 50/200 | Cross-Dataset Transfer and Reliability of Explainable Artificial Intelligence for RhythmFormer Remote Photoplethysmography
[NO] 51/200 | Local Updates, Global Learning (LUGL): Playing Games with non-incremental Learners
[NO] 52/200 | PL-SCEA: Reconfiguring Pretrained Attention for Few-Shot Industrial Anomaly Detection
[NO] 53/200 | The Impact of Synthetic Data Augmentation on Discourse-Pragmatic Function Classification
[NO] 54/200 | Prospects for probing dark matter with filamentary 21cm emission
[NO] 55/200 | Relative Prime Factorization and Finite-State Presentations under Fixed Finite-Monoid Observation
[NO] 56/200 | Local Path Planning and Obstacle Avoidance for an Omnicopter Platform
[YES] 57/200 | ToolDF: Tool-Integrated Reasoning for Mixed-Authenticity Audio Deepfake Detection
[NO] 58/200 | Remember and Reweight: Enhancing Multi-Agent Debate with Experience Memory and Confidence Estimation
[NO] 59/200 | Change-point analysis: a new perspective for unstable financial markets
[NO] 60/200 | Dynamical (non-)recurrence of escaping exponential maps
[NO] 61/200 | ReRoom: Blending Virtual and Physical Contexts for In Situ Room Planning in Mixed Reality
[NO] 62/200 | Code Transformation Rule Synthesis using LLMs: Potential and Limits
[NO] 63/200 | Scaling Bimanual Household Manipulation from 1,500 hours of Demonstrations to On-Policy Corrections
[NO] 64/200 | From Prior-Guided Heuristics to Deployable Agents: Accelerating Demonstration-Driven Reinforcement Learning for Deadline-Constrained Network Control
[NO] 65/200 | The Greedy Bump Bias: Local Profiling Geometry and the Look-Elsewhere Effect
[NO] 66/200 | Improved algorithm for counting spanning trees by $\ell_1$-regularized resistance
[NO] 67/200 | Diffeomorphism Group Actions on Para-Kähler Structures: Lifts and Induced Dynamics on 3-Webs
[NO] 68/200 | Combinatorial Search for Strong Shift Equivalence
[NO] 69/200 | Spectral Function Method and Janus Quantum Numbers in Quasiperiodic Systems
[NO] 70/200 | GPS-Bench: A Governance Policy Benchmark for Automating Policy Analysis
[NO] 71/200 | Dalek: A Constructive Agent Machine
[NO] 72/200 | Airy limit for the Jack process and topological expansion
[NO] 73/200 | Topics in Kadyshevsky Field Theory
[NO] 74/200 | Center-twisted Gribov spectra and the finite-volume Gaussian response in the refined Gribov--Zwanziger framework
[NO] 75/200 | The Identification of Biological Stains at Crime Scenes: A Promising Role for Proteomics and Machine Learning
[NO] 76/200 | Stratification of Artin motives over local fields
[NO] 77/200 | On graphs with equal domination and total domination numbers
