[2026-08-25 09:28:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-24
正在获取论文...
[arXiv] 2026-08-24 | Counterexamples to Escobar's conjecture
[IEEE] 2026-8-24 | Lightweight Gossip Learning Model for Energy-Constrained Continuous Diabetes Monitoring System
[IEEE] 2026-8-24 | Real-Time FPGA-Based Adaptive Control for Robust FSO Quantum Key Distribution
[IEEE] 2026-8-24 | Illumination-Adaptive Part Detection for Automated FDM 3D Printing Dataset Collection
[IEEE] 2026-8-24 | Distributed Fairness-Aware Joint Sensing and Communication in UAV Swarms via Hybrid MARL-ADMM
[IEEE] 2026-8-24 | AI-Driven Failure Management in CI/CD Pipelines: From Prediction to Remediation
[IEEE] 2026-8-24 | Simulation on Thermal Field and Ampacity of Cable Groups Under Different Laying Methods
[IEEE] 2026-8-24 | Assessing Lower Limb Muscle Fatigue Under Different Inner Pressures of Air Insoles Using Electromyography
[IEEE] 2026-8-24 | Design Optimization of a Dual-Shoe Piezoelectric Energy Harvesting System for Low-Power Wearable Electronics
[IEEE] 2026-8-24 | Multi-Timescale Source-Load-Storage Coordinated Optimization of Distribution Networks Considering Photovoltaic Output Fluctuations
[IEEE] 2026-8-24 | From Voxel Masks to Pulmonary Vascular Graphs: Explainable Reconstruction and Morphometric Analysis from Low-Resolution Chest CT
[IEEE] 2026-8-24 | A Lightweight Hash-Based Mutual Authentication Protocol for Mobile RFID Systems
[IEEE] 2026-8-24 | An Improved Cycle-by-Cycle Current Limiting Strategy for Active Neutral-Point-Clamped Inverters
[IEEE] 2026-8-24 | Hybrid Multiple Access Scheme Based on Interference-Aware Switching Between MU-MIMO and Band-Splitting NOMA-MRT
[IEEE] 2026-8-24 | Multimodal Emotion Recognition Via Integrated Facial, Speech, and Textual Features
[IEEE] 2026-8-24 | Testing Motion Measurement Devices with Accelerometers
[IEEE] 2026-8-24 | Data Fusion of Cameras attached on Dual UAVs for Real-Time Human Detection and Localization
[IEEE] 2026-8-24 | Orchestrating High-Performance Quantum Applications in Distributed Environments
[IEEE] 2026-8-24 | Multiphase Electrical Drive
[IEEE] 2026-8-24 | Attention-Guided Deep Learning for Multi-Stage Liver Fibrosis Staging from Ultrasound Imaging
[IEEE] 2026-8-24 | AI-Driven Visual Intelligence for Disaster Damage Assessment and Emergency Response
[IEEE] 2026-8-24 | Scenario-Adaptive Weighted K-Means++ Clustering Algorithm for Flexible Load Resource Classification in Distribution Networks
[IEEE] 2026-8-24 | AIoT Edge-Cloud Collaborative Authentication Based on Palmprint and Palm Vein Dual Features
[IEEE] 2026-8-24 | Supervised and Unsupervised approach of Machine Learning: A Comparative Study for Credit Card Fraud Detection Across Diverse Datasets
[IEEE] 2026-8-24 | Pre-Correction Optimal Dispatching Method for Generators Considering Frequency Stability Constraints
[IEEE] 2026-8-24 | IntelliBand: An AI Productivity and Research Assistant Tool
[IEEE] 2026-8-24 | Enhanced Microstrip Antenna with Four Modified Circular Elements for High-Gain Operation at 5.8 Ghz
[IEEE] 2026-8-24 | Look-Up Table Based PMSM Control Method Using Low Memorized Data for Electric Vehicle
[IEEE] 2026-8-24 | Toward Fully Interoperable Digital Twins: A Review of Technologies and Frameworks in Industry 4.0
[IEEE] 2026-8-24 | GazeHawkAI: Context-Aware Entropy-Guided Adaptive Fusion for Multi-Branch Anti-Spoofing Face Recognition
[IEEE] 2026-8-24 | Trustworthy Workforce Compensation Intelligence using Fairness-Aware Explainable Artificial Intelligence
[IEEE] 2026-8-24 | AI-Driven Hotel Resource Optimization Before and During COVID-19
[IEEE] 2026-8-24 | Few-Shot Fault Diagnosis for Circuit Breakers Using WGAN-GP-Augmented BiGRU
[IEEE] 2026-8-24 | Relation-Aware Multi-View Representation Learning for Cross-KG Relation Prediction
[IEEE] 2026-8-24 | Enhancing Narrative-Based Learning Experiences Through a Human–Generative AI Co-Creation Support Framework
[IEEE] 2026-8-24 | A Virtual Reality Based Analysis of Visual Search Strategies in Elite and Novice Table Tennis Players
[IEEE] 2026-8-24 | Intelligent Warehousing using IoT and Multi-Agent Reinforcement Learning for Dynamic Storage and Resource Optimization
[IEEE] 2026-8-24 | Security Rule Embedding and Static-Analysis-Guided Repair for LLM-Based Intelligent Multimedia UI Code Generation
[IEEE] 2026-8-24 | Evaluation of Early Fault Detection Algorithms for DC Circuits Using Trend Analysis in Embedded Systems
[IEEE] 2026-8-24 | Research on Probabilistic Scenario Generation and Reduction Methods for Wind and Solar Uncertainty
[ACM] 2026-8-24 | Perceptual Study of Vibro-Thermal Stimulations Interactions Across the Hand Using a Modular Haptic Stylus
[ACM] 2026-8-24 | Modulation of the Pleasantness of Brush-Stroking Stimuli with an External Virtual Agent Expressing Pleasant Affect in VR
[IEEE] 2026-8-24 | JCC 2026: Message From the General Chairs
[IEEE] 2026-8-24 | Cover Page
[IEEE] 2026-8-24 | Preface
[IEEE] 2026-8-24 | Smart Home-security System based on High-performance Garlic-peel Biowaste-derived Triboelectric Nanogenerator_supp2-3726055.mp4
[IEEE] 2026-8-24 | Robust Safety Tracking Control of UAHs via Control Barrier Function-based Self-Adjustable Prescribed Performance and Disturbance Observer
[IEEE] 2026-8-24 | An Interactive Zero-Shot Compound Fault Diagnosis Framework Based on Fuzzy Semantics and Fuzzy Neural Networks
[IEEE] 2026-8-24 | Standard-Compliant AI-Orchestrated Task Scheduling for 6G Healthcare in Vehicular Edge Networks
[IEEE] 2026-8-24 | Phys-TriBEV: A Physics-Informed Tri-Modal BEV Fusion for Robust 3-D Object Detection in Degraded Underground Coal Mine
[IEEE] 2026-8-24 | Integrated Channel Estimation and Localization in ISAC with Spatially Distributed Targets: A Parametric Approach
[IEEE] 2026-8-24 | Physics-Informed Unsupervised Inversion of Range-Dependent Evaporation Ducts from Uncalibrated Radar Sea Clutter_supp1-3724246.docx
[IEEE] 2026-8-24 | DRL-Based AoI Minimization for RSMA in Finite-Blocklength MU-MISO
[IEEE] 2026-8-24 | Effect of Sternal Sensor Location on Seismocardiography for Severe Aortic Stenosis Detection
[IEEE] 2026-8-24 | Copyright Page
[IEEE] 2026-8-24 | Efficiently Architecting VQAs: Expressibility–Trainability–Resources Pareto-Optimality
[IEEE] 2026-8-24 | Multiscale Fusion of Heterogeneous SAR and Radiometer Data for Robust Maritime Target Enhancement
[IEEE] 2026-8-24 | Unlocking Optical Prior: Spectrum-Guided Knowledge Transfer for SAR Generalized Category Discovery
[IEEE] 2026-8-24 | Privacy-enhanced mechanisms in AI- and digital twins-based health applications: Trade-off between privacy and measurement accuracy
[IEEE] 2026-8-24 | A dynamic DAG-Based Scheduling Strategy for Cross-Chain Transaction Management
[IEEE] 2026-8-24 | Modulating Transformers with Explicit Degradation Information for Real-World Light Field Image Super-Resolution
[IEEE] 2026-8-24 | Leakage-Controlled High-(d33) Prediction and Uncertainty-Aware Candidate Prioritization in Lead-Free KNN-Based Piezoelectric Ceramics Using PGU-RNet
[IEEE] 2026-8-24 | TASTE: Trait-like and State-like Two-stream Framework for EEG Imputation
[IEEE] 2026-8-24 | An Intelligent Machine Learning Approach for Early Chronic Kidney Disease Detection Using Hybrid Optimization Techniques
[IEEE] 2026-8-24 | A Dual Uncertainty Framework for Trustworthy Brain Tumor Segmentation on BraTS 2021
[IEEE] 2026-8-24 | Optimal Design of PID Controller for Poultry House System Using Butterfly Optimization Algorithm
[IEEE] 2026-8-24 | Wireless Charging Systems for EVs: A Comprehensive Review of Systems and Control Strategies
[IEEE] 2026-8-24 | Real-Time Fault Diagnosis of Induction Motors Based on Stator Current Analysis and Embedded Machine Learning on a Cost-Effective Testing Platform
[IEEE] 2026-8-24 | Robust Joint Sensing and Task Inference for Resource-Constrained IoT Agents
[IEEE] 2026-8-24 | The Semantic Proximity Trap: Investigating Contrastive Learning for Open Set Radar Activity Recognition
[IEEE] 2026-8-24 | A New Technique Based on the Conjugate Gradient Method for a Simple Extraction of the PV Generator Electrical Parameters
共写入 200 条记录，保存到 papers/paper2026-08-24.json。
论文获取成功，文件路径: papers/paper2026-08-24.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Counterexamples to Escobar's conjecture
[NO] 2/200 | tse_tick: A Python Library for Parsing and Querying Nikkei NEEDS Tick Data from the Tokyo Stock Exchange
[NO] 3/200 | AutoSaddler: Automatic Harness Optimization with Durable Updates from Agent Execution Traces
[NO] 4/200 | RoboRacer Arena: Scaling High-Fidelity Autonomous Racing in Isaac Sim
[NO] 5/200 | MobilePA-Bench: Benchmarking Mobile Planner Agents on Complex Real-World Tasks
[NO] 6/200 | ST$^2$U: Stateful Test-Time Unlearning via Restricted Knowledge Boundary Control
[NO] 7/200 | Signed Sound-Speed Deformations of BSk24-Anchored Barotropes: Neutron-Star Response
[NO] 8/200 | Centralized RAN for Future Low-Power Wide-Area Networks: A LoRa Case Study
[YES] 9/200 | Simultaneous Indoor and Outdoor Coverage with Conformal Intelligent Omni-Surface
[NO] 10/200 | AnaDiffusion: Anatomically CompositionalLatent Diffusion for Controllable 3D Brain MRI Generation
[NO] 11/200 | Coarse Indexing, Fine Evidence: Decoupling Temporal Granularity in Long-Video RAG
[NO] 12/200 | An improved upper bound for Tuza's conjecture via 2-colorable triangle families
[NO] 13/200 | The Hamburger Criterion for Matrix Nevanlinna--Pick Interpolation
[NO] 14/200 | PatchWrite: One Line, Not One Section -- Compile-Gated, Validity-Preserving Editing for AI-Drafted Manuscripts
[NO] 15/200 | Positive Mass Theorem with Arbitrary Ends and Noncompact Boundary
[NO] 16/200 | Channel-Token Attention for Reliable Dynamic Spectrum Access under Bursty Primary-User Traffic
[NO] 17/200 | Discovery of New Zintl Films and Nanowires Grown by Topotaxy Conversion of III-V Semiconductors
[NO] 18/200 | The Anonymity Gap: Understanding Real Privacy in Shielded UTXO-based Protocols for DeFi
[NO] 19/200 | SA-RSQ: A Versatile Sparse Representation Framework for Multi-modal Recommender Systems
[NO] 20/200 | Toward Effective and Reliable LLM Agents via Dynamic Ontology
[NO] 21/200 | Closed-Loop Bayesian Molecular Inverse Design with Semantic LLM Surrogates
[NO] 22/200 | Fundamental Algebras and Varieties with Quadratic Codimension Growth
[NO] 23/200 | Exploring spectral element methods on the Tenstorrent RISC-V accelerator
[NO] 24/200 | WildHandBench: A Benchmark for Handwritten Text Understanding that Challenges MLLMs and Humans
[NO] 25/200 | Identification and Inference for Causal Effects in Extremes under General Conditions
[NO] 26/200 | Stochastic gradient descent with initial regularization
[NO] 27/200 | A Massively Parallel Three-Grid Preconditioner for the High-Frequency Helmholtz Equation
[NO] 28/200 | Extensive Air Showers Parameters Estimation Using Machine Learning Techniques with Simulations of the FAST Telescope
[NO] 29/200 | Composition- and Ordering-Dependent Evolution of Simulated Kikuchi Patterns of Au-Ni Alloys
[NO] 30/200 | Importance-Reweighted Fock-Space Variational Monte Carlo
[NO] 31/200 | HelaBERT: Enhancing Sinhala Language Understanding with Dual Pooling Classification Head
[NO] 32/200 | Geometric Phases of a Driven Qubit: Comparing Berry and Uhlmann Holonomies
[NO] 33/200 | Unsupervised Speech Recognition at the Syllable Level
[NO] 34/200 | Pre-Disclosure Experiment Menus: Oracle-Relative Risk and Joint Sample--Menu Asymptotics
[NO] 35/200 | React or Predict? A Spectral Rule for Wireless Threshold Detection
[NO] 36/200 | CDEG: Learning Decision-Critical Evidence for Long-Horizon Diagnostic Agents
[NO] 37/200 | A particle method for the Boltzmann equation via amortized sampling from Green's function of the lifted linear operator
[NO] 38/200 | The Mask Is Not the Model: Auditing Prefix Invariance in Attention, State-Space, and Hybrid Sequence Models
[NO] 39/200 | AgentFlow: A Flow-Centric Policy Language and Framework for Securing LLM Agent Systems
[NO] 40/200 | Toward Sub-1 kB Identity-Preserving Face Compression: A Benchmark of Codecs, a Custom Learned Codec, and Studies of Resolution, Demographic Fairness, Recompression, and Adversarial Robustness
[NO] 41/200 | Following Motion for Sequential Modeling in Video Frame Interpolation
[NO] 42/200 | Semileptonic Decay of $Λ_b \rightarrow N(1520)\ell^-\barν_{\ell}$ from QCD Light-cone Sum Rules
[NO] 43/200 | Implementation of nonlocal multi-photon interference by mode swapping
[NO] 44/200 | Favourable Missingness in Semi-Supervised Classification for Exponential Mixture Models
[NO] 45/200 | FinixDoc: Rethinking Financial Document Parsing Beyond Saturated Benchmarks
[NO] 46/200 | Entropy of Bernoulli Measures Conditioned on Affine Subspaces and a Problem of Ancheta--Massey
[NO] 47/200 | Mirror descent algorithms with logarithmic barriers
[NO] 48/200 | Minimal Local Simulation Foundations for LLM- and VLM-Driven Agents in 2D and 3D Environments
[NO] 49/200 | Efficient Separation of the Isomeric State $^{26\text{m}}\text{Al}$ from the Intense Ground State Background via Sequential Optical Pumping in Collinear Laser Spectroscopy
[NO] 50/200 | Frame definability in second-order arithmetic
[NO] 51/200 | SiZeUp: Fast 3D Proxy from Aerial Images via Depth Ordinal Loss
[NO] 52/200 | A Cap-Move Reformulation of Ling's Proof of Samuels' Conjecture
[NO] 53/200 | Nuclear excitation by radiative electron-ion recombination
[NO] 54/200 | Exchange and core-polarization effects on Rydberg-transition electric-dipole matrix elements in Rb and Cs
[NO] 55/200 | Performance of a domain-specific large language model in answering patient questions in psychiatry
[NO] 56/200 | DiaScriber: A Speech LLM for Joint Diarization and Transcription in Multi-Speaker Scenarios
[NO] 57/200 | $C^1$-robust strong pluripotency for blender-horseshoes
[NO] 58/200 | Neural Operator based Multi-Field Reconstruction of Inner Solar Boundary State
[NO] 59/200 | Real-analytic finitely forcible kernels
[NO] 60/200 | A Two-month, Galaxy-targeted NIR Follow-up of the Sub-solar-mass Gravitational Wave Candidate S251112cm: Probing Electromagnetic Counterpart Scenarios
[NO] 61/200 | SPOC-SQL: Stage-wise Preference Optimization for Controllable Text-to-SQL
[NO] 62/200 | The Retriever Should Remember: Experience-Amortized Reranking for Long-Term Agent Memory
[NO] 63/200 | A Novel Decoupling Method for Investigating Distinct Domain Evolution in Ferroelectric Film
[NO] 64/200 | Beyond Factual Knowledge: Benchmarking and Learning Step-Level Procedural Rule Reasoning in Large Language Models
[NO] 65/200 | Categorical Equivalences of Finite W-Superalgebras and Clifford Twists
[NO] 66/200 | Generative Neural Networks for Sinkhorn Distributionally Robust Hypothesis Testing
[NO] 67/200 | DiaRelay: Relaying Dialogue Context with a Constant-Size Memory for Emotion Recognition in Conversation
[NO] 68/200 | Tidal disruption of stellar binaries as a pathway to exotic transients
[NO] 69/200 | Symmetric Taylor--Hood elements for the linear stress gradient problem
