[2026-03-25 09:47:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-24
正在获取论文...
[arXiv] 2026-03-24 | First Detection of the Glycine Isomer Glycolamide in Hot Molecular Core
[arXiv] 2026-03-24 | Hyper-Kähler varieties: Lagrangian fibrations, atomic sheaves, and categories
[arXiv] 2026-03-24 | Generative Event Pretraining with Foundation Model Alignment
[arXiv] 2026-03-24 | Heart Failure's First Shock and Nurse-Led Chronic Care
[arXiv] 2026-03-24 | On the equivalence of Brantner's and Chu--Haugseng's approaches to enriched $\infty$-operads
[arXiv] 2026-03-24 | Connection-topology--dependent energy transport and ergotropy in quantum battery networks with reciprocal and nonreciprocal couplings
[arXiv] 2026-03-24 | AgentRAE: Remote Action Execution through Notification-based Visual Backdoors against Screenshots-based Mobile GUI Agents
[arXiv] 2026-03-24 | Multi-User Multi-Key Image Steganography with Key Isolation
[arXiv] 2026-03-24 | Dynamical Evolution of Quantum Correlations and Decoherence in Coupled Oscillators Interacting with a Thermal Reservoir
[arXiv] 2026-03-24 | Backward Arcs in Hamilton Oriented Cycles and Paths in Directed Graphs with Independence Number Two
[arXiv] 2026-03-24 | VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models
[arXiv] 2026-03-24 | A Top-Down Scale Approach for Multiscale Geographically and Temporally Weighted Regression
[arXiv] 2026-03-24 | Beyond Hate: Differentiating Uncivil and Intolerant Speech in Multimodal Content Moderation
[arXiv] 2026-03-24 | Cosmic Ray Boosted Dark Matter in COSINUS: Modeling and Constraints
[arXiv] 2026-03-24 | Relativistic quantum mechanics of massive neutrinos in a rotating frame
[arXiv] 2026-03-24 | FCL-COD: Weakly Supervised Camouflaged Object Detection with Frequency-aware and Contrastive Learning
[arXiv] 2026-03-24 | Cooperation in Public Goods Games over Uniform Random Hypergraphs with Game Transitions
[arXiv] 2026-03-24 | Set-Valued Prediction for Large Language Models with Feasibility-Aware Coverage Guarantees
[arXiv] 2026-03-24 | Charge Transport Modeling of CdSe/ZnS core/shell Quantum Nanorod Light-Emitting Diodes
[arXiv] 2026-03-24 | Sovereign risk mitigation mechanism in emerging markets
[arXiv] 2026-03-24 | MAGIC observations of NGC 4278. The first low-luminosity radio galaxy with compact jets detected at TeV energies
[arXiv] 2026-03-24 | Relativistic Virial Operators
[arXiv] 2026-03-24 | SoK: The Attack Surface of Agentic AI -- Tools, and Autonomy
[arXiv] 2026-03-24 | Direct Numerical Simulation of MILD Combustion: Mixing and Autoignition from Non-Premixed Streams
[arXiv] 2026-03-24 | $p$-adic multiple zeta values of integer indices
[arXiv] 2026-03-24 | Non-Hermitian skin effect in periodic, random, and quasiperiodic systems
[arXiv] 2026-03-24 | Multilingual KokoroChat: A Multi-LLM Ensemble Translation Method for Creating a Multilingual Counseling Dialogue Dataset
[arXiv] 2026-03-24 | From the AI Act to a European AI Agency: Completing the Union's Regulatory Architecture
[arXiv] 2026-03-24 | ForestPrune: High-ratio Visual Token Compression for Video Multimodal Large Language Models via Spatial-Temporal Forest Modeling
[arXiv] 2026-03-24 | Transition fronts of combustion reaction-diffusion equations in domains with multiple cylindrical branches
[arXiv] 2026-03-24 | Separating Diagnosis from Control: Auditable Policy Adaptation in Agent-Based Simulations with LLM-Based Diagnostics
[arXiv] 2026-03-24 | Task-Aware Positioning for Improvisational Tasks in Mobile Construction Robots via an AI Agent with Multi-LMM Modules
[arXiv] 2026-03-24 | $\mathbb{Z}_2$-Thurston norm in Sol manifolds and embeddability of non-orientable surfaces
[arXiv] 2026-03-24 | Balancing Safety and Efficiency in Aircraft Health Diagnosis: A Task Decomposition Framework with Heterogeneous Long-Micro Scale Cascading and Knowledge Distillation-based Interpretability
[arXiv] 2026-03-24 | Template-Based Feature Aggregation Network for Industrial Anomaly Detection
[arXiv] 2026-03-24 | A Lavrentiev phenomenon in the neo-Hookean model
[arXiv] 2026-03-24 | Designing to Forget: Deep Semi-parametric Models for Unlearning
[arXiv] 2026-03-24 | Who Sits Where? Automated Detection of Director Interlocks in Indian Companies
[arXiv] 2026-03-24 | Secure Two-Party Matrix Multiplication from Lattices and Its Application to Encrypted Control
[arXiv] 2026-03-24 | The Benjamin-Feir instability in KdV-like equations with general dispersion and monomial nonlinearity
[arXiv] 2026-03-24 | Probing the Bias of Large-Scale Structure with Unlocalized Fast Radio Bursts
[arXiv] 2026-03-24 | Option pricing model under the G-expectation framework
[arXiv] 2026-03-24 | Improving Safety Alignment via Balanced Direct Preference Optimization
[arXiv] 2026-03-24 | RadTimeline: Timeline Summarization for Longitudinal Radiological Lung Findings
[arXiv] 2026-03-24 | When AI Shows Its Work, Is It Actually Working? Step-Level Evaluation Reveals Frontier Language Models Frequently Bypass Their Own Reasoning
[arXiv] 2026-03-24 | Focus, Don't Prune: Identifying Instruction-Relevant Regions for Information-Rich Image Understanding
[arXiv] 2026-03-24 | Well-posedness of mean curvature flow
[arXiv] 2026-03-24 | A Residual-Attention Physics-Informed Neural Network for Irregular Interfaces and Multi-Peak Transport Fields
[arXiv] 2026-03-24 | Exponential Separation of Quantum and Classical One-Way Numbers-on-Forehead Communication
[arXiv] 2026-03-24 | Typography-Based Monocular Distance Estimation Framework for Vehicle Safety Systems
[arXiv] 2026-03-24 | Curve resampling based high-quality high-order unstructured quadrilateral mesh generation
[arXiv] 2026-03-24 | AgriPestDatabase-v1.0: A Structured Insect Dataset for Training Agricultural Large Language Model
[arXiv] 2026-03-24 | From Overload to Convergence: Supporting Multi-Issue Human-AI Negotiation with Bayesian Visualization
[arXiv] 2026-03-24 | Reconstruction-Guided Slot Curriculum: Addressing Object Over-Fragmentation in Video Object-Centric Learning
[arXiv] 2026-03-24 | KALAVAI: Predicting When Independent Specialist Fusion Works -- A Quantitative Model for Post-Hoc Cooperative LLM Training
[arXiv] 2026-03-24 | CIPL: A Target-Independent Framework for Channel-Inversion Privacy Leakage in Agents
[arXiv] 2026-03-24 | Standing-Wave Optical Trap Based on Retro-Reflection Photonic Nanojet
[arXiv] 2026-03-24 | Algorithmic warm starts for Hamiltonian Monte Carlo
[arXiv] 2026-03-24 | Modification of the k-omega0 model for roughness
[arXiv] 2026-03-24 | SOUPLE: Enhancing Audio-Visual Localization and Segmentation with Learnable Prompt Contexts
[arXiv] 2026-03-24 | The Interspeech 2026 Audio Encoder Capability Challenge for Large Audio Language Models
[arXiv] 2026-03-24 | First-Principles Theory of Chirality-Induced Spin Selectivity at Molecule-Metal Interfaces in Photoemission
[arXiv] 2026-03-24 | A Frequency-Domain Approach for Integrating Multiple Functional Time Series
[arXiv] 2026-03-24 | Wilson Surface One-Point Functions: A Case Study
[arXiv] 2026-03-24 | Why Database Manuals Are Not Enough: Efficient and Reliable Configuration Tuning for DBMSs via Code-Driven LLM Agents
[arXiv] 2026-03-24 | Topological Pumping Through a Localized Bulk in a Photonic Hofstadter System
[arXiv] 2026-03-24 | HI Gas and Star Formation in Major Galaxy Pairs from the FAST All-Sky HI Survey (FASHI)
[arXiv] 2026-03-24 | Think 360°: Evaluating the Width-centric Reasoning Capability of MLLMs Beyond Depth
[arXiv] 2026-03-24 | The family of all local maximum independent sets is an augmentoid
[arXiv] 2026-03-24 | Deterministic quantum master equation for non-Markovian signal processing
[arXiv] 2026-03-24 | Peeling-violating coefficients in classical gravitational scattering
[arXiv] 2026-03-24 | Dynamic Light Spanners in Doubling Metrics
[arXiv] 2026-03-24 | DiSCo: Diffusion Sequence Copilots for Shared Autonomy
[arXiv] 2026-03-24 | Edge density expansions for the classical Gaussian and Laguerre ensembles
[arXiv] 2026-03-24 | Metastability, chaos and spectrum tomography for Bose-Hubbard rings and chains
[arXiv] 2026-03-24 | From Morality Installation in LLMs to LLMs in Morality-as-a-System
[arXiv] 2026-03-24 | FixationFormer: Direct Utilization of Expert Gaze Trajectories for Chest X-Ray Classification
[arXiv] 2026-03-24 | Ran Score: a LLM-based Evaluation Score for Radiology Report Generation
[arXiv] 2026-03-24 | Limit Values of Character Sums in Frobenius Formula of Three Permutations
[IEEE] 2026-3-24 | Steering Committee and Organizing Committee
[IEEE] 2026-3-24 | ICEMD 2025 Cover Page
[IEEE] 2026-3-24 | FAS-RSMA: Can Fluid Antennas Elevate RSMA Performance?
[IEEE] 2026-3-24 | Resource Allocation for Multi-LEO Satellite-Enabled Integrated Communication and Positioning System
[IEEE] 2026-3-24 | MrcPunc: Modulation and Rate Compatible Puncturing for Few-Iteration 5G LDPC Decoding
[IEEE] 2026-3-24 | A Unified Viscoelastic Solver for Multiphase Fluid Simulation Based on a Mixture Model
[IEEE] 2026-3-24 | Author Index
[IEEE] 2026-3-24 | Enabling ISAC on Low-Cost Devices via Spatial Channel Estimation with a Single RF Chain
[IEEE] 2026-3-24 | Exploring Pre-Service Teachers’ Intention to Use Artificial Intelligence in Education: A Structural Equation Modeling Approach Based on UTAUT2
[IEEE] 2026-3-24 | FilmShots: A Fast Film Shot Boundary Detection Based on Dilated Conv3D and Attention
[IEEE] 2026-3-24 | Incomplete Multimodal Federated Learning via Masking and Contrasting Prototypes_supp1-3658522.pdf
[IEEE] 2026-3-24 | Simultaneous Reflection and Transmission in Metasurfaces: A Comprehensive Review
[IEEE] 2026-3-24 | Quantum Federated Gradient Aggregation using the Parameter-Shift Rule
[IEEE] 2026-3-24 | Independent PPO-based Robust and Scalable Three-dimensional Configuration for Green Massive MIMO Networks
[IEEE] 2026-3-24 | DiffPixelFormer: Differential Pixel-Aware Transformer for RGB-D Indoor Scene Segmentation
[IEEE] 2026-3-24 | Adversarial Bandit Learning Assisted Online Optimization for Digital Twin Placement and Update in End-Edge-Cloud Collaboration
[IEEE] 2026-3-24 | Rethinking Cross-Layer Dependency in MPQ: Sparsification with PSD Framework
[ACM] 2026-3-24 | Visual Privacy: The Impact of Privacy Labels on Privacy Behaviors Online
[IEEE] 2026-3-24 | Constraint-Scheduled Bayesian Optimization for Software-Hardware Co-Optimization on HDnn-PIM
[IEEE] 2026-3-24 | EASNet: An Adaptive Edge-Aware 3D Medical Image Segmentation Network Based on the Swin Architecture
[ACM] 2026-3-24 | Wi-ProgramIoT: A Scenario-Based Wireless IoT System for Enhancing Computer Programming Labs
[ACM] 2026-3-24 | From Fidgets to Widgets: Hands-On Approach to Exploring How We Learn and Work
[IEEE] 2026-3-24 | Intrusion Detection System To Secure AI-powered E-Learning Platforms Against Various Cyberattacks
[IEEE] 2026-3-24 | Human Factors In Cyber Incident Response: Mitigating Biases, Enhancing Communication, And Optimizing Tool Usability
[IEEE] 2026-3-24 | Architectural Analysis of a Lightweight Autonomous Vehicle Simulator: A Case Study of gym-donkeycar’s Modularity, Flexibility, and Adaptability for Aerial Robotics
[IEEE] 2026-3-24 | Disentangling EV Charging Behavior: An Integrated and Explainable Framework for Predicting Session Duration and Energy
[IEEE] 2026-3-24 | Prediction Model of Tobacco Purity Combining Hyperspectral Technology and Machine Learning
[IEEE] 2026-3-24 | Research on Intelligent Modeling and Complex Relation Reasoning Algorithm of Large-scale Heterogeneous Data Based on Graph Neural Network
[IEEE] 2026-3-24 | Construction of an Intelligent UAV-Based Non-Contact Check the Electric Path Planning and Recognition Model for High-Voltage Transmission Environments
[IEEE] 2026-3-24 | Real-Time Offline Edge AI Framework for Sensor Integrated Precision Agriculture
[IEEE] 2026-3-24 | DeepGynScan: AI-Powered Cervical Lesion Detection from Colposcopy Images for Early Cervical Cancer Screening
[IEEE] 2026-3-24 | Efficient Reinforcement Corrosion Detection via Lightweight YOLO with Dual-Branch Cross-Scale Feature Modulation
[IEEE] 2026-3-24 | Research on Image Recognition and Data Optimization of Intelligent Management System of Power Warehouse Driven by Meta-Universe
[IEEE] 2026-3-24 | SLAM Technology Based on Multi-View 3D Reconstruction
[IEEE] 2026-3-24 | A Lightweight Attention Dual-Branch Network for Low-Elevation DOA Estimation
[IEEE] 2026-3-24 | Enhanced Deep Learning Framework for Diagnosing Rare Genetic and Dermatological Disorders using Fine-Tuned EfficientNetB1
[IEEE] 2026-3-24 | Design, Simulation, and Performance Evaluation of a D77 DC Traction Motor Converted to AC Operation
[IEEE] 2026-3-24 | Research on Bipolar Short-Circuit Fault Current Clearing Method for T-type DC Transformers
[IEEE] 2026-3-24 | Higher Order Sliding Robust Control Design for Single-Stage Plugin Electric Vehicle
[IEEE] 2026-3-24 | XGBoost for Type 2 Diabetes Prediction with Precision-Recall Thresholding
[IEEE] 2026-3-24 | High-Resolution Processing and Feature Extraction of Logging Curves Based on Wavelet Transform and Principal Component Analysis
[IEEE] 2026-3-24 | A Review of Medium Access Control Protocols for Wireless Body Area Networks
[IEEE] 2026-3-24 | Federated Explainable Transformer for Early Cancer Diagnosis using MRI Data
[IEEE] 2026-3-24 | ST-MSHT-Net: A Soft-Thresholding Multi-Stream Hybrid Temporal Network for Automatic Modulation Recognition
[IEEE] 2026-3-24 | Construction and Optimization of Image Recognition Fusion Model for Multi-Device Collaboration
[IEEE] 2026-3-24 | Semantic Resume Screening using Transformer Networks and Learning-to-Rank Models
[IEEE] 2026-3-24 | MetaWeave: Interpretable Fusion of Text and Fraud Detection for E-commerce Review Systems
[IEEE] 2026-3-24 | Design of Anomaly Attribution Algorithms for Network Anomalies Under Multi-source Heterogeneous Data Fusion
[IEEE] 2026-3-24 | Multi-Objective Design Optimization of a Flux-Switching Permanent Magnet Motor: A Comparative Study of Metaheuristic Algorithms
[IEEE] 2026-3-24 | A Heterogeneous Easy Ensemble with Soft Voting for Robust Sleep Disorder Classification
[IEEE] 2026-3-24 | Research on Fault Diagnosis and Predictive Maintenance Algorithm of Complex Industrial System Based on Graph Neural Network
[IEEE] 2026-3-24 | Pattern Recognition of Lower Limb EMG Signals Based on Hyperparameter - Optimized Random Forest
[IEEE] 2026-3-24 | Molecular simulation calculation of electrical properties of transformer insulation materials and expansion of cross-scale model application
[IEEE] 2026-3-24 | Analyzing the Relationship Between Academic Performance and Enrollment Patterns Using Machine Learning
[IEEE] 2026-3-24 | An Auction-based Matching Game for Cognitive Radio Heterogeneous Relay Networks
[IEEE] 2026-3-24 | Identification and Early Warning Technology for Price Fluctuation Risk in the Electricity Spot Market
[IEEE] 2026-3-24 | Partial offloading algorithm for edge computing based on MAPPO
[IEEE] 2026-3-24 | A Systematic Review of YOLO Architectures for Real-Time Object Detection
[IEEE] 2026-3-24 | The Transformer as a Parametric Filter for Sequence MIMO Equalization
[IEEE] 2026-3-24 | Utilization of Meteorological Data in Site Diversity Technique for Optical Satellite Communications
[IEEE] 2026-3-24 | Fast Charging Techniques for Lithium-Ion Batteries: A Comparative Analysis and Algorithmic Innovations for Safety and Degradation Mitigation
[IEEE] 2026-3-24 | Security Integration and Risk Management in Modern DevOps: Tools, Frameworks, and Emerging Trends
[IEEE] 2026-3-24 | A Review of IoMT-based Sleep Apnea Monitoring Systems using Wearable Sensors
[IEEE] 2026-3-24 | Impact of Augmented Reality on Retail Shopping
[IEEE] 2026-3-24 | Optimizing Coding Strategies for BB84-Based Quantum Key Distribution
[IEEE] 2026-3-24 | Daily Rainfall Forecasting using LSTM-MLP with Spatial Embeddings
[IEEE] 2026-3-24 | Optimizing System Design Performance and its Accuracy using Feature Importance
[IEEE] 2026-3-24 | Integration of Blockchain Technologies and Artificial Intelligence in Modern Education: Prospects for Digital Transformation of the Learning Process
[IEEE] 2026-3-24 | Soil quality classification using deep learning
[IEEE] 2026-3-24 | Distributed Carrier Frequency Offset Compensation for Secure Wireless Communication
[IEEE] 2026-3-24 | Open-set 3D Semantic Segmentation via Transductive Adversarial Prototype Framework
[IEEE] 2026-3-24 | An Adaptive Large-Model Framework for Named Entity Recognition in Knowledge-Sparse Scenarios
[IEEE] 2026-3-24 | Commutation Failure Prediction for LCC-HVDC Based on CNN-LSTM-Attention Neural Network
[IEEE] 2026-3-24 | Industrial Processes Fault Diagnosis Method Based on Expert System-Guided Neural Network Decision-Space Sparsification
[IEEE] 2026-3-24 | A Comprehensive Study on GDPR-Oriented Analysis of Privacy Policies: Taxonomy, Corpus and GDPR Concept Classifiers
[IEEE] 2026-3-24 | Robust and Accurate LiDAR SLAM in Complex Environments via Intensity-Enhanced Features
[IEEE] 2026-3-24 | Smartphone Applications in Environmental, Biological, and Pharmaceutical Colorimetric Analysis: A Review
[IEEE] 2026-3-24 | IEEE Transactions on Sustainable Energy Publication Information
[IEEE] 2026-3-24 | A Tri-Band Frequency Selective Surface based on Multilayer Concentric Slot Geometries
[IEEE] 2026-3-24 | Table of Contents
[IEEE] 2026-3-24 | ICSGE 2025 Copyright Page
[IEEE] 2026-3-24 | ICSGE 2025 Cover Page
[IEEE] 2026-3-24 | Cover Page
[IEEE] 2026-3-24 | ICSOS 2025 Author Index
[IEEE] 2026-3-24 | ADA-Net: Avalanche Differential Attention Network with Covariance Correlation Differential Transformer for Multimodal Snow Avalanche Susceptibility Mapping_supp1-3676659.docx
[IEEE] 2026-3-24 | Information-Theoretic Bounds on Transmission Rates for Integrated Communication and Navigation Systems
[IEEE] 2026-3-24 | Understanding the Effects of Projectors in Knowledge Distillation
[IEEE] 2026-3-24 | 2025 IEEE International Conference on Space Optical Systems and Applications (ICSOS)
[ACM] 2026-3-24 | EventChat: Implementation and user-centric evaluation of a large language model-driven conversational recommender system for exploring leisure events in an SME context
[ACM] 2026-3-24 | PI-adaptDiv: an adaptive algorithm to prevent and escape online filter bubbles
[IEEE] 2026-3-24 | Triptych AI - Innovation - Cybersecurity: Challenges and Opportunities for Financial Services: The Case of Moroccan Banks
[IEEE] 2026-3-24 | FOP: A Personalized Federated Learning Framework for CLIP Integrating LoRA and Differential Privacy
[IEEE] 2026-3-24 | A Forged Speech Detection Method Based on a Hybrid Attention Mechanism
[IEEE] 2026-3-24 | Multi-Modal Medical Image Fusion using Guided Filtering and Multi-Scale Anisotropic Diffusion
[IEEE] 2026-3-24 | Application of Machine Learning-Based Multi-Source Heterogeneous Information Fusion in Moving Target Tracking
[IEEE] 2026-3-24 | Research on Accurate Traceability and Prediction Method of Power Failure Events of Smart Meters Based on Spatio-Temporal Big Data
[IEEE] 2026-3-24 | Resource Slicing for Co-existence of eMBB and URLLC in Multi-RIS Aided Networks
[IEEE] 2026-3-24 | Efficient and Precise Cheat Detection with Deep Learning
[IEEE] 2026-3-24 | Advanced Deep Learning Algorithms: Architectures, Mathematics, Applications and Open Challenges
[IEEE] 2026-3-24 | Visualization Analysis of Sound Wave Interference through Computer Simulation
共写入 200 条记录，保存到 papers/paper2026-03-24.json。
论文获取成功，文件路径: papers/paper2026-03-24.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | First Detection of the Glycine Isomer Glycolamide in Hot Molecular Core
[NO] 2/200 | Pre-Patterned Superconducting Contacts for Clean Superconductor-Topological Material Interfaces Enabling Long-Range Josephson Coupling
[NO] 3/200 | The relief distribution problem with trucks and drones under incomplete demand information
[NO] 4/200 | Agentic Verifier-in-the-Loop Solver Orchestration for Cell-Free Massive MIMO Downlink Power Control
[NO] 5/200 | From Questions to Trust Reports: A LLM-IR Framework for the TREC 2025 DRAGUN Track
[NO] 6/200 | Compressing Dynamic Fully Indexable Dictionaries in Word-RAM
[NO] 7/200 | SMSP: A Plug-and-Play Strategy of Multi-Scale Perception for MLLMs to Perceive Visual Illusions
[NO] 8/200 | Automatic Segmentation of 3D CT scans with SAM2 using a zero-shot approach
[NO] 9/200 | Active Robotic Perception for Disease Detection and Mapping in Apple Trees
[NO] 10/200 | Network Analysis of the Egyptian Reddit Community
[NO] 11/200 | A numerical study on the coefficient of restitution of wet collisions
[NO] 12/200 | Policy-based Tuning of Autoregressive Image Models with Instance- and Distribution-Level Rewards
[NO] 13/200 | AirSimAG: A High-Fidelity Simulation Platform for Air-Ground Collaborative Robotics
[NO] 14/200 | A High-frequency Geodetic VLBI Experiment for Optical Clock Comparison
[NO] 15/200 | Good for the Planet, Bad for Me? Intended and Unintended Consequences of AI Energy Consumption Disclosure
[NO] 16/200 | Can an LLM Detect Instances of Microservice Infrastructure Patterns?
[NO] 17/200 | MLLM-HWSI: A Multimodal Large Language Model for Hierarchical Whole Slide Image Understanding
[NO] 18/200 | Minibal: Balanced Game-Playing Without Opponent Modeling
[NO] 19/200 | Prompt Amplification and Zero-Shot Late Fusion in Audio-Language Models for Speech Emotion Recognition
[NO] 20/200 | Eigenvalue stability of Hermitian and normal matrices
[NO] 21/200 | DBAutoDoc: Automated Discovery and Documentation of Undocumented Database Schemas via Statistical Analysis and Iterative LLM Refinement
[NO] 22/200 | PCR: A Prefetch-Enhanced Cache Reuse System for Low-Latency RAG Serving
[NO] 23/200 | Hyper-Kähler varieties: Lagrangian fibrations, atomic sheaves, and categories
[NO] 24/200 | Generative Event Pretraining with Foundation Model Alignment
[NO] 25/200 | Heart Failure's First Shock and Nurse-Led Chronic Care
[NO] 26/200 | On the equivalence of Brantner's and Chu--Haugseng's approaches to enriched $\infty$-operads
[NO] 27/200 | Connection-topology--dependent energy transport and ergotropy in quantum battery networks with reciprocal and nonreciprocal couplings
[NO] 28/200 | AgentRAE: Remote Action Execution through Notification-based Visual Backdoors against Screenshots-based Mobile GUI Agents
[NO] 29/200 | Multi-User Multi-Key Image Steganography with Key Isolation
[NO] 30/200 | Dynamical Evolution of Quantum Correlations and Decoherence in Coupled Oscillators Interacting with a Thermal Reservoir
[NO] 31/200 | Backward Arcs in Hamilton Oriented Cycles and Paths in Directed Graphs with Independence Number Two
[NO] 32/200 | VLA-IAP: Training-Free Visual Token Pruning via Interaction Alignment for Vision-Language-Action Models
[NO] 33/200 | A Top-Down Scale Approach for Multiscale Geographically and Temporally Weighted Regression
[NO] 34/200 | Beyond Hate: Differentiating Uncivil and Intolerant Speech in Multimodal Content Moderation
[NO] 35/200 | Cosmic Ray Boosted Dark Matter in COSINUS: Modeling and Constraints
[NO] 36/200 | Relativistic quantum mechanics of massive neutrinos in a rotating frame
[NO] 37/200 | FCL-COD: Weakly Supervised Camouflaged Object Detection with Frequency-aware and Contrastive Learning
[NO] 38/200 | Cooperation in Public Goods Games over Uniform Random Hypergraphs with Game Transitions
[NO] 39/200 | Set-Valued Prediction for Large Language Models with Feasibility-Aware Coverage Guarantees
[NO] 40/200 | Charge Transport Modeling of CdSe/ZnS core/shell Quantum Nanorod Light-Emitting Diodes
[NO] 41/200 | Sovereign risk mitigation mechanism in emerging markets
[NO] 42/200 | MAGIC observations of NGC 4278. The first low-luminosity radio galaxy with compact jets detected at TeV energies
[NO] 43/200 | Relativistic Virial Operators
[NO] 44/200 | SoK: The Attack Surface of Agentic AI -- Tools, and Autonomy
[NO] 45/200 | Direct Numerical Simulation of MILD Combustion: Mixing and Autoignition from Non-Premixed Streams
[NO] 46/200 | $p$-adic multiple zeta values of integer indices
[NO] 47/200 | Non-Hermitian skin effect in periodic, random, and quasiperiodic systems
[NO] 48/200 | Multilingual KokoroChat: A Multi-LLM Ensemble Translation Method for Creating a Multilingual Counseling Dialogue Dataset
[NO] 49/200 | From the AI Act to a European AI Agency: Completing the Union's Regulatory Architecture
[NO] 50/200 | ForestPrune: High-ratio Visual Token Compression for Video Multimodal Large Language Models via Spatial-Temporal Forest Modeling
[NO] 51/200 | Transition fronts of combustion reaction-diffusion equations in domains with multiple cylindrical branches
[NO] 52/200 | Separating Diagnosis from Control: Auditable Policy Adaptation in Agent-Based Simulations with LLM-Based Diagnostics
[NO] 53/200 | Task-Aware Positioning for Improvisational Tasks in Mobile Construction Robots via an AI Agent with Multi-LMM Modules
[NO] 54/200 | $\mathbb{Z}_2$-Thurston norm in Sol manifolds and embeddability of non-orientable surfaces
[NO] 55/200 | Balancing Safety and Efficiency in Aircraft Health Diagnosis: A Task Decomposition Framework with Heterogeneous Long-Micro Scale Cascading and Knowledge Distillation-based Interpretability
[NO] 56/200 | Template-Based Feature Aggregation Network for Industrial Anomaly Detection
[NO] 57/200 | A Lavrentiev phenomenon in the neo-Hookean model
[NO] 58/200 | Designing to Forget: Deep Semi-parametric Models for Unlearning
[NO] 59/200 | Who Sits Where? Automated Detection of Director Interlocks in Indian Companies
[YES] 60/200 | Secure Two-Party Matrix Multiplication from Lattices and Its Application to Encrypted Control
[NO] 61/200 | The Benjamin-Feir instability in KdV-like equations with general dispersion and monomial nonlinearity
[NO] 62/200 | Probing the Bias of Large-Scale Structure with Unlocalized Fast Radio Bursts
[NO] 63/200 | Option pricing model under the G-expectation framework
[NO] 64/200 | Improving Safety Alignment via Balanced Direct Preference Optimization
[NO] 65/200 | RadTimeline: Timeline Summarization for Longitudinal Radiological Lung Findings
[NO] 66/200 | When AI Shows Its Work, Is It Actually Working? Step-Level Evaluation Reveals Frontier Language Models Frequently Bypass Their Own Reasoning
[NO] 67/200 | Focus, Don't Prune: Identifying Instruction-Relevant Regions for Information-Rich Image Understanding
[NO] 68/200 | Well-posedness of mean curvature flow
[NO] 69/200 | A Residual-Attention Physics-Informed Neural Network for Irregular Interfaces and Multi-Peak Transport Fields
[NO] 70/200 | Exponential Separation of Quantum and Classical One-Way Numbers-on-Forehead Communication
[NO] 71/200 | Typography-Based Monocular Distance Estimation Framework for Vehicle Safety Systems
[NO] 72/200 | Curve resampling based high-quality high-order unstructured quadrilateral mesh generation
[NO] 73/200 | AgriPestDatabase-v1.0: A Structured Insect Dataset for Training Agricultural Large Language Model
[NO] 74/200 | From Overload to Convergence: Supporting Multi-Issue Human-AI Negotiation with Bayesian Visualization
