[2026-05-10 10:08:17] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-09
正在获取论文...
[ACM] 2026-5-9 | An NRBO-Enhanced CNN-BiLSTM Framework for Multivariate Photovoltaic Power Forecasting
[ACM] 2026-5-9 | Design of Functional Community Intelligent Management System Based on Computer Vision: A Case Study of Binyang Beili Community, Miyun District, Beijing
[ACM] 2026-5-9 | Dynamic structural change detection and its effect on dynamic stability in segment synergy during sit-to-stand transition with healthcare robot assistance
[ACM] 2026-5-9 | Construction and Application of Intelligent Production Line System Based on Digital Twin Technology
[ACM] 2026-5-9 | Cosine Oscillation-based Quantum-behaved Particle Swarm Optimization for Path Planning
[ACM] 2026-5-9 | Research on Hierarchical Path Planning System for Unmanned Vehicles Based on Depth Vision in Complex Off-Road Scenarios
[ACM] 2026-5-9 | High-fidelity model of a permanent magnet synchronous motor via a physics-informed motor fault deep operator network
[ACM] 2026-5-9 | A Systematic Framework for Motion Planning and Energy Optimization of Humanoid Robots Based on Analytical Inverse Kinematics
[ACM] 2026-5-9 | Intrusion detection method with hybrid attention mechanisms and spatial-temporal feature extraction
[ACM] 2026-5-9 | Power Smoothing for New Energy Grids by Large-Capacity Pumped Storage under Multi-Source Input Scenarios
[ACM] 2026-5-9 | Research on the Newly Launched Product Multimodal Recommendation Method Based on Model Distillation: Efficiency Optimization and Parameter Tuning
[ACM] 2026-5-9 | ST-HPP: A Spatio-Temporal Hybrid Privacy Protection Mechanism for Federated Learning
[ACM] 2026-5-9 | The TCN-LSTM Deep Learning Model for Real-Time Prediction of Ship Motions
[ACM] 2026-5-9 | Hybrid-Metric Clustering for Enhanced Collaborative Filtering
[ACM] 2026-5-9 | Design and Experiment of an Intelligent Cooling Tower Based on BLDC
[ACM] 2026-5-9 | ICP Collision Avoidance Optimization Method for Manned and Unmanned Vehicle Mixed Formation for Flight Area Operation Safety
[ACM] 2026-5-9 | Steel Surface Defect Detection Algorithm Based on SYNERA-YOLO
[ACM] 2026-5-9 | MBFFNet: A Multi-Branch Feature Fusion–Based Method for Classroom Behavior Recognition
[ACM] 2026-5-9 | Research on Influencing Factors of Manned-Unmanned Collaborative Logistics and Equipment Support Capability Based on DEMATEL-ISM-MICMAC Method
[ACM] 2026-5-9 | MFFENet: Multi-scale Frequency Feature Enhancement Network for Clothing Semantic Segmentation
[ACM] 2026-5-9 | Research on Performance Improvement of Remote Sensing Object Detection Based on RTDETR
[ACM] 2026-5-9 | Enhanced Cross-Modal Retrieval: Multi-Label Hierarchical Semantic Alignment Using Mamba
[ACM] 2026-5-9 | A Robust Adaptive Unscented Kalman Filter Based Method for Real-Time State-of-Health Estimation of Solid Oxide Fuel Cells
[ACM] 2026-5-9 | An Enhanced Object Detection Framework Combining Model Architecture Optimization and Dataset-Specific Augmentation Strategies for Safety-Critical Visual Applications
[ACM] 2026-5-9 | Design of Object Detection System for Composite Robots Based on YOLOv5
[ACM] 2026-5-9 | Research on Financial Early Warning of Supply Chain Finance Risks Based on Machine Learning
[ACM] 2026-5-9 | Research on Energy-saving Control Strategy Optimization of Cabinet-level Refrigeration System in Data Center
[ACM] 2026-5-9 | Identification and Information Question-Answering System for Traditional Chinese Medicine Herbs: Construction of an Intelligent Platform Based on Python
[ACM] 2026-5-9 | DFAB-Net: A Dynamically Fused Attentional Biomarker Network for EEG-Based Attention Level Classification
[ACM] 2026-5-9 | Implementation of an Autonomous Control System for Unmanned Aerial Vehicles Based on Deep Reinforcement Learning
[ACM] 2026-5-9 | The Implementation of Railway Signal Indication System Based on FPGA
[ACM] 2026-5-9 | Federated Generative AI for Privacy-Preserving Industrial Fault Diagnosis An Adaptive Heterogeneity-Aware Framework
[ACM] 2026-5-9 | MDFENet: Multi-Decomposition Frequency-Domain Feature Enhancement Network for Skin Lesion Classification
[ACM] 2026-5-9 | Surround Vision Autonomous Driving Based on Swin-Transformer and Trajectory Prediction Network
[ACM] 2026-5-9 | Building The Human Remains Digital Library (HRDL)
[ACM] 2026-5-9 | Adaptive Fault-Tolerant Control for Multi-Agent Systems Based on Dynamic Threshold Event-Triggering
[ACM] 2026-5-9 | Design and research of inter station communication device for 64D type semi automatic block system training equipment
[ACM] 2026-5-9 | Design of smart farm crop monitoring system with IoT based on STM32
[ACM] 2026-5-9 | Escaping the Swamping Zone: Fully Low-Precision Training via Relative ULP Noise Injection
[ACM] 2026-5-9 | Proceedings of the 2026 International Conference on Artificial Intelligence and Control
[ACM] 2026-5-9 | Pyramid Convolution and Bidirectional Graph Attention for Cyber Threat Detection from Unstructured Text
[ACM] 2026-5-9 | Research on Depth Control of Underwater Vehicle in Inverse Velocity Zone Based on Dynamic Equilibrium and Sliding Mode-Predictive Composite Control
[ACM] 2026-5-9 | Quality-Guided Sample-Efficient Domain Adaptation for Large Language Models
[ACM] 2026-5-9 | Communication Emitter Identification Method Based on Joint Optimization of Deep Clustering and Autoencoder
[ACM] 2026-5-9 | A Hybrid Data-Driven Assessment Framework for Industrial Safety Resilience Integrating Panel Econometrics and Machine Learning
[ACM] 2026-5-9 | Fuzzy Nonlinear Active Disturbance Rejection Control for Quadrotor UAVs under Extreme Operating Conditions
[ACM] 2026-5-9 | Federated Learning-Based Hyper-Heuristic for Distributed Permutation Flow-Shop Scheduling
[ACM] 2026-5-9 | Investigation of a Multi-Information Fusion-Based UAV Defense System
[ACM] 2026-5-9 | Identifying the Drivers of Energy Intensity for Green Growth: A Dual-Structure Analysis of Economic and Energy Systems
[ACM] 2026-5-9 | Integrating Pre-trained Model and Ensemble Learning for Biomedical Multi-label Topic Classification
共写入 100 条记录，保存到 papers/paper2026-05-09.json。
论文获取成功，文件路径: papers/paper2026-05-09.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | An NRBO-Enhanced CNN-BiLSTM Framework for Multivariate Photovoltaic Power Forecasting
[NO] 2/100 | Enhanced cross-modal representation method for multi-modal rumor detection: A fusion framework based on DeBERTa-V3 and ViT-Large
[NO] 3/100 | A Study on YOLOv11 Clothing Image Segmentation Method Based on Lightweight Group Attention (LWGA)
[NO] 4/100 | Research on Tea Polyphenol Detection Model Based on Residual Attention Convolutional Neural Network
[NO] 5/100 | Multi-Region Temporal–Spatial Attention Network for Motor Imagery EEG Decoding
[NO] 6/100 | Innovative Structural Design and Performance Analysis of Autonomous Planet Exploration Robot
[NO] 7/100 | Research on Stability Control and Optimization of Parallel Operation of Multiple Chiller Units
[NO] 8/100 | A Multi-Agent Large Language Model Framework for Marketing Decision-Making with Auditable Attribution Analysis
[NO] 9/100 | Safety Inspection and Assessment of Metal Structures for the Arc Gate System at Jiaomutang Hydropower Station
[NO] 10/100 | An Improved RT-DETR Method for Surface Defect Detection of Small Targets on Steel Plates
[NO] 11/100 | Equivariance and AttentionFlow for Pose-Adaptive Virtual Try-On in Latent Diffusion Models
[NO] 12/100 | LLM-Guided Monocular 3D Human Pose Estimation via Structured Semantic Priors
[NO] 13/100 | AGISNet: Axis Adaptive Gated Inception Network with Cross Gated Skip Fusion
[NO] 14/100 | Few-Shot Emergency Response Equipment Fault Diagnosis for Coal Electricity Integrated Enterprises Based on Structure-Aware Neural Processes
[NO] 15/100 | Ground-based Cloud Detection with an Efficient Parallel Dilated Convolutional Network
[NO] 16/100 | Path Planning Based on Topological Maps and Particle Swarm Optimization
[NO] 17/100 | Fault Diagnosis of Chillers Based on CNN-Transformer Cross-Attention Fusion
[NO] 18/100 | Fault Diagnosis of Chillers Based on CNN-WOA-SVM
[NO] 19/100 | Simulated Annealing Driven Particle Swarm Optimization for 3D UAV Path Planning in Urban Environments from the Perspective of Industrial Design
[NO] 20/100 | CoViMem: Co-Visibility Memory Network for Lifelong Embodied Scene Understanding
[NO] 21/100 | MAS-DPD: Multi-Agent System for Dark Pattern Detection Using Large Vision-Language Models
[NO] 22/100 | Adaptive Anomaly Detection in Microservice Systems via Meta-Learning
[NO] 23/100 | CalibJudge: Calibrated LLM-as-a-Judge for Multilingual RAG with Uncertainty-Aware Scoring
[NO] 24/100 | Benchmarking the DeepResearch Agent in the Game Domain
[NO] 25/100 | Robust Obstacle Avoidance Control for Dynamically Adaptive Unmanned Vehicle Formations Under Cyber Attack Perturbations
[NO] 26/100 | Generative-enhanced Proximal Policy Optimization for Intelligent Traffic Signal Control
[NO] 27/100 | EFBA: Efficient Fine-grained Backdoor Attack Against Image Captioning
[NO] 28/100 | Trust the Similar Ones: Belief-Based Q-Learning with Embedding Proximity
[NO] 29/100 | Research on Posture Control of a Bionic Wheel-legged Robot
[NO] 30/100 | An Improved Mask-only Transformer Framework for Rainfall-induced Landslide Segmentation using Deep Learning: A Case Study of Zixing Area, China
[NO] 31/100 | Semi-Automatic Annotation Method for Targets in UAV Optical Sequence Images
[NO] 32/100 | Multimodal Prediction of Student Bullying Risk Based on a Hierarchical Attention Heterogeneous Graph Neural Network
[NO] 33/100 | Research on Network Performance and EtherCAT Cycle Matching Optimization for Cloud-based PLC
[NO] 34/100 | Federated UAV Object Detection via Multi-Dimensional Distillation
[NO] 35/100 | Emergency Resource Recommendation for Coal Electricity Integrated Enterprises based on Heterogeneous Graphs
[NO] 36/100 | Low-Altitude Security UAV Detection: Fusing Generative Augmentation with Hypergraph Computing
[NO] 37/100 | Development and Application of Boiler AI Genie Based on Digital Human and Large Model
[NO] 38/100 | Lightweight Mining Truck Target Segmentation Method for Mining Environments
[NO] 39/100 | Small Target Detection for Floating Objects on Water Surface Based on Enhanced RT-DETR
[NO] 40/100 | An Adaptive Sparrow Search Algorithm Fused with Tent Chaotic Mapping and Cauchy Mutation
[NO] 41/100 | Real-time Safety Assessment for Deep-sea Manned Submersibles Based on Cloud Model
[NO] 42/100 | FSGTN: A Fused Spectral–Graph–Temporal Network for EEG-Based Attention Recognition
[NO] 43/100 | Day-ahead optimal dispatch of a wind-PV-hydrogen-battery integrated energy system
[NO] 44/100 | A Dual-Agent Collaboration-Based Zero-Shot Model for Rice Disease and Pest Question Intent Recognition
[NO] 45/100 | An End-to-end Autonomous Driving Framework with Images and Point Clouds Fusion
[NO] 46/100 | Neural network-based inversion study of thermal plasma jet characteristic parameters
[NO] 47/100 | Design and Implementation of an Integrated Communication Diagnostic Software for Modern Vessels Network Communication
[NO] 48/100 | Enhancing Stock Sequence Prediction with Attention Mechanism and Parrot Optimizer Algorithm
[NO] 49/100 | Rover Localization on Extraterrestrial Surfaces Based on Aerial-Ground Obstacle Distribution Pattern Matching
[NO] 50/100 | Two-Stage Cross-Lingual Supervised Transfer for Low-Resource Tibetan Rumor Detection
[NO] 51/100 | Robust Face Anti-Spoofing via Multi-Scale Feature-Guided Wavelet Transform
[NO] 52/100 | Design of Functional Community Intelligent Management System Based on Computer Vision: A Case Study of Binyang Beili Community, Miyun District, Beijing
[NO] 53/100 | Dynamic structural change detection and its effect on dynamic stability in segment synergy during sit-to-stand transition with healthcare robot assistance
[NO] 54/100 | Construction and Application of Intelligent Production Line System Based on Digital Twin Technology
[NO] 55/100 | Cosine Oscillation-based Quantum-behaved Particle Swarm Optimization for Path Planning
[NO] 56/100 | Research on Hierarchical Path Planning System for Unmanned Vehicles Based on Depth Vision in Complex Off-Road Scenarios
[NO] 57/100 | High-fidelity model of a permanent magnet synchronous motor via a physics-informed motor fault deep operator network
[NO] 58/100 | A Systematic Framework for Motion Planning and Energy Optimization of Humanoid Robots Based on Analytical Inverse Kinematics
[NO] 59/100 | Intrusion detection method with hybrid attention mechanisms and spatial-temporal feature extraction
[NO] 60/100 | Power Smoothing for New Energy Grids by Large-Capacity Pumped Storage under Multi-Source Input Scenarios
[NO] 61/100 | Research on the Newly Launched Product Multimodal Recommendation Method Based on Model Distillation: Efficiency Optimization and Parameter Tuning
[NO] 62/100 | ST-HPP: A Spatio-Temporal Hybrid Privacy Protection Mechanism for Federated Learning
[NO] 63/100 | The TCN-LSTM Deep Learning Model for Real-Time Prediction of Ship Motions
[NO] 64/100 | Hybrid-Metric Clustering for Enhanced Collaborative Filtering
[NO] 65/100 | Design and Experiment of an Intelligent Cooling Tower Based on BLDC
[NO] 66/100 | ICP Collision Avoidance Optimization Method for Manned and Unmanned Vehicle Mixed Formation for Flight Area Operation Safety
[NO] 67/100 | Steel Surface Defect Detection Algorithm Based on SYNERA-YOLO
[NO] 68/100 | MBFFNet: A Multi-Branch Feature Fusion–Based Method for Classroom Behavior Recognition
[NO] 69/100 | Research on Influencing Factors of Manned-Unmanned Collaborative Logistics and Equipment Support Capability Based on DEMATEL-ISM-MICMAC Method
[NO] 70/100 | MFFENet: Multi-scale Frequency Feature Enhancement Network for Clothing Semantic Segmentation
[NO] 71/100 | Research on Performance Improvement of Remote Sensing Object Detection Based on RTDETR
[NO] 72/100 | Enhanced Cross-Modal Retrieval: Multi-Label Hierarchical Semantic Alignment Using Mamba
[NO] 73/100 | A Robust Adaptive Unscented Kalman Filter Based Method for Real-Time State-of-Health Estimation of Solid Oxide Fuel Cells
[NO] 74/100 | An Enhanced Object Detection Framework Combining Model Architecture Optimization and Dataset-Specific Augmentation Strategies for Safety-Critical Visual Applications
[NO] 75/100 | Design of Object Detection System for Composite Robots Based on YOLOv5
[NO] 76/100 | Research on Financial Early Warning of Supply Chain Finance Risks Based on Machine Learning
[NO] 77/100 | Research on Energy-saving Control Strategy Optimization of Cabinet-level Refrigeration System in Data Center
[NO] 78/100 | Identification and Information Question-Answering System for Traditional Chinese Medicine Herbs: Construction of an Intelligent Platform Based on Python
[NO] 79/100 | DFAB-Net: A Dynamically Fused Attentional Biomarker Network for EEG-Based Attention Level Classification
[NO] 80/100 | Implementation of an Autonomous Control System for Unmanned Aerial Vehicles Based on Deep Reinforcement Learning
[NO] 81/100 | The Implementation of Railway Signal Indication System Based on FPGA
[NO] 82/100 | Federated Generative AI for Privacy-Preserving Industrial Fault Diagnosis An Adaptive Heterogeneity-Aware Framework
[NO] 83/100 | MDFENet: Multi-Decomposition Frequency-Domain Feature Enhancement Network for Skin Lesion Classification
[NO] 84/100 | Surround Vision Autonomous Driving Based on Swin-Transformer and Trajectory Prediction Network
[NO] 85/100 | Building The Human Remains Digital Library (HRDL)
[NO] 86/100 | Adaptive Fault-Tolerant Control for Multi-Agent Systems Based on Dynamic Threshold Event-Triggering
[NO] 87/100 | Design and research of inter station communication device for 64D type semi automatic block system training equipment
[NO] 88/100 | Design of smart farm crop monitoring system with IoT based on STM32
[NO] 89/100 | Escaping the Swamping Zone: Fully Low-Precision Training via Relative ULP Noise Injection
[NO] 90/100 | Proceedings of the 2026 International Conference on Artificial Intelligence and Control
[NO] 91/100 | Pyramid Convolution and Bidirectional Graph Attention for Cyber Threat Detection from Unstructured Text
[NO] 92/100 | Research on Depth Control of Underwater Vehicle in Inverse Velocity Zone Based on Dynamic Equilibrium and Sliding Mode-Predictive Composite Control
[NO] 93/100 | Quality-Guided Sample-Efficient Domain Adaptation for Large Language Models
[NO] 94/100 | Communication Emitter Identification Method Based on Joint Optimization of Deep Clustering and Autoencoder
[NO] 95/100 | A Hybrid Data-Driven Assessment Framework for Industrial Safety Resilience Integrating Panel Econometrics and Machine Learning
[NO] 96/100 | Fuzzy Nonlinear Active Disturbance Rejection Control for Quadrotor UAVs under Extreme Operating Conditions
[NO] 97/100 | Federated Learning-Based Hyper-Heuristic for Distributed Permutation Flow-Shop Scheduling
[NO] 98/100 | Investigation of a Multi-Information Fusion-Based UAV Defense System
[NO] 99/100 | Identifying the Drivers of Energy Intensity for Green Growth: A Dual-Structure Analysis of Economic and Energy Systems
[NO] 100/100 | Integrating Pre-trained Model and Ensemble Learning for Biomedical Multi-label Topic Classification
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-05-09.json。
邮件发送成功！
[2026-05-10 10:25:34] 任务执行成功！
