[2026-03-24 09:50:50] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[IEEE] 2026-3-23 | Fluid Reconfigurable Intelligent Surface (FRIS) Enabling Secure Wireless Communications
[IEEE] 2026-3-23 | Reliable Multi-Modal Semantic Communication via AI-Oriented Residual Encoding
[IEEE] 2026-3-23 | 2026 30th International Conference on Information Technology (IT)
[IEEE] 2026-3-23 | A Multiple Fourier Series-Based Multi-frequency Coupled Dynamic Phasor Model for Resonant Dual-Active-Bridge Inverters
[IEEE] 2026-3-23 | A Modular Framework with an Adaptive Momentum-based Evolutionary Strategy for Physics-Informed Neural Networks
[IEEE] 2026-3-23 | Biomedical Named Entity Recognition and Relation Extraction: Methodologies, Challenges &amp; Opportunities
[IEEE] 2026-3-23 | SEU Cross-Section Predictions in 3nm FinFET using an Advanced Charge Transport Model
[IEEE] 2026-3-23 | Carbon-Aware Multi-Energy Load Forecasting: A Hybrid KAN-Autoformer Approach with Adaptive Feature Extraction and Intelligent Residual Correction
[IEEE] 2026-3-23 | LSDN: A Lightweight Dual-Domain Attention Network with Adaptive Anchors for Ship Detection in Remote Sensing Scenarios
[IEEE] 2026-3-23 | ADMamba: A Spatio-Temporal Mamba-Inspired Model for Anomaly Detection in Satellite Videos
[IEEE] 2026-3-23 | Modeling User Intention in Mandatory Digital Systems: The Roles of Privacy, Security, and Trust
[IEEE] 2026-3-23 | Evaluating Human AI Collaboration Through Survey Based Random Forest Approach
[IEEE] 2026-3-23 | Energy-Efficient Learning-Based Control of a Legged Robot in Multiple Gravity Environments
[IEEE] 2026-3-23 | DRL-MPC: A Hybrid Control Strategy Based on Deep Reinforcement Learning and Model Predictive Control for Radiant Cooling Systems
[IEEE] 2026-3-23 | Optimizing Load and Energy Efficiency in Cloud Computing with Bird Swarm Optimization: A Theoretical Approach Towards Green IT
[IEEE] 2026-3-23 | A Rule-Based Decision-Support Prototype for Digital Maturity Assessment
[IEEE] 2026-3-23 | A Zero-Shot Approach to Multilingual Spam Detection Using mBERT
[IEEE] 2026-3-23 | Towards Role-Based Multi-Agent LLM Systems for Software Requirements Analysis
[IEEE] 2026-3-23 | RAG-X: Density-Adaptive Path Sampling for Enhanced Knowledge Graph-Based Retrieval Augmented Generation
[IEEE] 2026-3-23 | Combined Heat and Power Dispatch Considering Flow Direction-Adaptive Heating Networks
[IEEE] 2026-3-23 | Deep LSTM with Hybrid Feature Reduction for Cardiac Arrhythmia Classification Using Pyramid Learning
[IEEE] 2026-3-23 | Continuous Inertia Estimation and Frequency Response Prediction Using Ambient Measurements
[IEEE] 2026-3-23 | Multi-Scale Geographical Identification of Synchrophasor Sources for Enhancing Cyber-Physical Resilience in Distribution Networks
[IEEE] 2026-3-23 | Enhancing Diabetic Retinopathy Diagnosis with Deep Neural Networks
[IEEE] 2026-3-23 | Identification of Diabetic Retinopathy Stages using Swin Transformers
[IEEE] 2026-3-23 | Design of a Golden Angle-inspired Multi-Element Yagi-Uda Antenna Array for Low-correlation 5G Lower band Applications
[IEEE] 2026-3-23 | Optimal Coordination of Hydrogen-enabled Integrated Energy Systems Considering Dynamic Zoning Operation of Ground Heat Exchangers
[IEEE] 2026-3-23 | Artificial Intelligence Integrated Innovations in Surgery: A Comprehensive Review
[IEEE] 2026-3-23 | Quantitative Analysis and Intelligent Prediction of Defect Hazards in Power Transmission Equipment Health Management
[IEEE] 2026-3-23 | Convergence Optimized Adaptive Multigrid Iterative Equalization for OTFS
[IEEE] 2026-3-23 | Design of Converter Load Test Energy Feedback System Based on STM32
[IEEE] 2026-3-23 | IoT-Machine Learning Based Predictive Maintenance Framework for Industrial Machinery
[IEEE] 2026-3-23 | Optimizing Microservices Performance with AI-Driven Load Balancing
[IEEE] 2026-3-23 | Reducing Software's Carbon Footprint Through Performance Testing
[IEEE] 2026-3-23 | FibroLiteKD: A Novel Leak-Safe Knowledge Distillation Framework for Compact Ultrasound-based Liver Fibrosis Staging
[IEEE] 2026-3-23 | Browser Extension for Secure Session Parameter Handling and Hyperlink Modification
[IEEE] 2026-3-23 | Computationally Efficient Laplacian CL-colME
[IEEE] 2026-3-23 | A Physics-Informed Learning Approach for Demand Response Potential Assessment of EV Charging Stations
[IEEE] 2026-3-23 | Hybrid Neuro-Symbolic AI for Context-Aware Decision-Making Systems
[IEEE] 2026-3-23 | A Hybrid Framework for the Design and Pricing of Weather Options for Photovoltaic Risk Management
[IEEE] 2026-3-23 | Impact of Different Baffle Configurations on Natural Convection in a Square Enclosure
[IEEE] 2026-3-23 | Multi-Modal Data Integrity Using the Selfattention Based Ensemble GNN for IIot
[IEEE] 2026-3-23 | Exploiting Voltage Variations in Load Redistribution Attacks to Compromise Power System Stability
[IEEE] 2026-3-23 | Socio-Economic Co-Driven Post-Hurricane Resilient Restoration of Urban Distribution Networks
[IEEE] 2026-3-23 | Auto Sentinel: Deep Learning System for Real Time Vehicle Fire Prediction
[IEEE] 2026-3-23 | Design of an Improved Model for Financial Decision Transparency using D-BAFE FEA-BO and HBC-EC Techniques
[IEEE] 2026-3-23 | Blockchain-IoT Model for Secure Data Management in Remote Physiotherapy Systems
[IEEE] 2026-3-23 | Optimized Capture-Per-Clock Logic Bist with Hybrid Test-Point Insertion for Efficient VLSI Testing
[IEEE] 2026-3-23 | Optimal Configuration of Electro-Hydrogen Storage for Voltage Stability and Cross-Cycle Balancing in Renewable-Rich Distribution Networks
[IEEE] 2026-3-23 | Leveraging Spatial Relationships for SelfSupervised Road Barrier Detection in StreetLevel Imagery
[IEEE] 2026-3-23 | An Efficient Digital Prototyping with Thermal Comfort Model and Green Environmental Benefit Index for Urban Heat Application
[IEEE] 2026-3-23 | From Aerial Imagery to Label-Conditioned Disaster Reports
[IEEE] 2026-3-23 | OSCAR: Operational System Context Acquisition and Representation
[IEEE] 2026-3-23 | Research on Multi-Agent Guidance Control Strategy in EMS High Speed Maglev Vehicle Based on Virtual Leader-Follower Communication Topology
[IEEE] 2026-3-23 | Acoustic Noise Rejection Mode of Atomic Force Microscope Imaging: A Data-Driven Control Approach
[IEEE] 2026-3-23 | Real-Time Remote Monitoring of Correlated Markovian Sources
[IEEE] 2026-3-23 | Camera Trajectory Planning in Immersive 3-D Human Motion-Based Entertainment Contents
[IEEE] 2026-3-23 | DFCNet: A Dynamic Cross-Modal Transformer for Fashion Recommendation
[IEEE] 2026-3-23 | NEXA-NET: Advancing Knowledge-Driven Autonomy in AI-Native 6G and Beyond Wireless Networks
[IEEE] 2026-3-23 | No Evidence of Phase-Amplitude Coupling in Auditory Steady-State Responses
[IEEE] 2026-3-23 | Decoding taVNS Effects via Neural and Autonomic Biomarker Sensing for Stress, Depression, Anxiety, and Emotion Regulation: A Review_supp1-3673727.doc
[IEEE] 2026-3-23 | Spatiotemporal Feature Learning for Real-Time Human Fall Detection System using TCNs and FMCW Radar Point Clouds
[IEEE] 2026-3-23 | Sub-terahertz scattering-type scanning near-field optical microscopy for biological cell imaging
[IEEE] 2026-3-23 | Dual-Mode Time-Sharing-Based Buck and Boost Inverter With Reactive Power Injection Capability
[IEEE] 2026-3-23 | Fingerprint Presentation Attack Detection with Fixed Prototype Contrastive Learning and Anomaly Detection
[IEEE] 2026-3-23 | ICIPCN 2026 TOC
[IEEE] 2026-3-23 | Machine Learning-Enhanced Optimization for Resilient PV Placement Under Multiple Distribution Network Hazards
[IEEE] 2026-3-23 | A Multi-Hazard Resilient Power Distribution System Planning with Enhanced Column-and-Constraint Generation Implementation
[IEEE] 2026-3-23 | An Innovative Design of Energy-Efficient Digital Twin Model for Enhanced Wind Farming and Multimodal Behaviour Recognition using Deep Learning
[IEEE] 2026-3-23 | CNN Based Optimization for High Gain Converter for Renewable Applications
[IEEE] 2026-3-23 | Impact of GRI-linked ESG Requirements on Energy Strategy of Listed Companies
[IEEE] 2026-3-23 | Decentralized and Intelligent Hybrid Cognitive Academic Systems: Blockchain and AI-Driven Approaches to Personalized Learning
[IEEE] 2026-3-23 | Urban Digital Twins for Adaptive Water Quality Monitoring in Smart Cities: A Robotics-Based Approach
[IEEE] 2026-3-23 | Review of Frequency Control Strategies for Renewable Power Systems under Extreme Weather Conditions
[IEEE] 2026-3-23 | Resource Optimization in Edge Networks with Game Theory Model
[IEEE] 2026-3-23 | Bachelors Buddy
[IEEE] 2026-3-23 | Development of a Rapidly Frequency-Agile Microwave Source for Nitrogen-Vacancy Center-Based Quantum Current Sensors
[IEEE] 2026-3-23 | Multi-Criteria Evaluation of Mobile Navigation Applications for Non-SOLAS Vessels in Confined Coastal Waters
[IEEE] 2026-3-23 | Ensemble Learning Method for Brain Tumor Classification: Techniques, Applications, and Frontiers in Glioma Analysis
[IEEE] 2026-3-23 | Generalized Inertia:An Index to Evaluate the Small Signals Stability in Droop Controlled Microgrids
[IEEE] 2026-3-23 | A novel fast-turn-on DTSCR ESD protection device for low-voltage applications
[IEEE] 2026-3-23 | Energy Management for Renewable-Colocated Artificial Intelligence Data Centers
[IEEE] 2026-3-23 | Epilepsy Detection Using an Adaptive Network-Fuzzy Inference System
[IEEE] 2026-3-23 | A Study on Battery SOC Estimation Method Based on TAM-PSO Optimised UKF
[IEEE] 2026-3-23 | NETex-CAD: A Novel Neural Essence Transfer Explainable Framework via Knowledge Distillation for Lightweight Coronary Artery Disease Prediction
[IEEE] 2026-3-23 | Deep Learning Ensemble Framework for Real-Time Traffic Accident Detection in Smart Cities with AMSE - ADM Data Augmentation
[IEEE] 2026-3-23 | Approach Guidance and Control for Tumbling Uncooperative Target Using Adaptive Artificial Potential Field
[IEEE] 2026-3-23 | An Efficient Privacy-Preserving Authentication Scheme for VANETs Using Bilinear Pairing
[IEEE] 2026-3-23 | Research Status, Challenges, and Future Trends of Deep Reinforcement Learning in Microgrid Optimization Scheduling
[IEEE] 2026-3-23 | Real-Time Identification of Laryngeal Carcinoma Using Enhanced Endoscopic Imaging and Convolutional Models
[IEEE] 2026-3-23 | Automated Real-Time Epileptic Seizure Detection and Alert System
共写入 200 条记录，保存到 papers/paper2026-03-23.json。
论文获取成功，文件路径: papers/paper2026-03-23.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[NO] 2/200 | The fragility of the Uranian moons during the giant planet instability
[NO] 3/200 | Nonlinear Control Synchronization Method for Fractional-order Time Derivatives Chaotic Systems
[NO] 4/200 | Prophets Inequalities with Uncertain Acceptance
[NO] 5/200 | Temporal analysis and control of Raman scattering dynamics
[NO] 6/200 | Hausdorff Dimension of Union of Lines that Cover a Function Graph: Applications to PDEs
[NO] 7/200 | LSAI: A Large Small AI Model Codesign Framework for Agentic Robot Scenarios
[NO] 8/200 | Characteristic Operators and Spectral Properties of Periodic Evolutionary Systems
[NO] 9/200 | Exploring self-driving labs for optoelectronic materials
[NO] 10/200 | MIND: Multi-agent inference for negotiation dialogue in travel planning
[NO] 11/200 | RefracGS: Novel View Synthesis Through Refractive Water Surfaces with 3D Gaussian Ray Tracing
[NO] 12/200 | Reasoning Provenance for Autonomous AI Agents: Structured Behavioral Analytics Beyond State Checkpoints and Execution Traces
[NO] 13/200 | Strategic Infrastructure Design via Multi-Agent Congestion Games with Joint Placement and Pricing
[NO] 14/200 | AI Token Futures Market: Commoditization of Compute and Derivatives Contract Design
[NO] 15/200 | CoNBONet: Conformalized Neuroscience-inspired Bayesian Operator Network for Reliability Analysis
[NO] 16/200 | Optimizing Multi-Agent Weather Captioning via Text Gradient Descent: A Training-Free Approach with Consensus-Aware Gradient Fusion
[NO] 17/200 | Convex function through Doob-Meyer decomposition
[NO] 18/200 | HumanOmni-Speaker: Identifying Who said What and When
[NO] 19/200 | TAMTRL: Teacher-Aligned Reward Reshaping for Multi-Turn Reinforcement Learning in Long-Context Compression
[NO] 20/200 | A Comparative Analysis of LLM Memorization at Statistical and Internal Levels: Cross-Model Commonalities and Model-Specific Signatures
[NO] 21/200 | TrustFed: Enabling Trustworthy Medical AI under Data Privacy Constraints
[NO] 22/200 | Quantitative Dynamic Phase Mapping via Single-Arm Field-Correlation Ghost Imaging
[NO] 23/200 | Complexity of Linear Subsequences of Fibonacci-Automatic Sequences
[NO] 24/200 | Gate-based Readout and Cooling of Neutral Atoms
[NO] 25/200 | Auditing MCP Servers for Over-Privileged Tool Capabilities
[NO] 26/200 | Engineering Distributed Governance for Regional Prosperity: A Socio-Technical Framework for Mitigating Under-Vibrancy via Human Data Engines
[NO] 27/200 | No Dense Tensors Needed: Fully Sparse Object Detection on Event-Camera Voxel Grids
[NO] 28/200 | On the transitivity of Gilbert graphs and their complements
[NO] 29/200 | A Multi-Level Visual Analytics Approach to Artist-Era Alignment in Popular Music
[NO] 30/200 | Efficient Zero-Shot AI-Generated Image Detection
[NO] 31/200 | AdaEdit: Adaptive Temporal and Channel Modulation for Flow-Based Image Editing
[NO] 32/200 | Theoretical proof of the constancy of the speed of light in a vacuum
[NO] 33/200 | Towards Multimodal Time Series Anomaly Detection with Semantic Alignment and Condensed Interaction
[NO] 34/200 | SARe: Structure-Aware Large-Scale 3D Fragment Reassembly
[NO] 35/200 | An algorithm to detect and rigorously verify blenders
[NO] 36/200 | Benchmarking Message Brokers for IoT Edge Computing: A Comprehensive Performance Study
[NO] 37/200 | In-network Attack Detection with Federated Deep Learning in IoT Networks: Real Implementation and Analysis
[NO] 38/200 | Higher-order derivative estimates for the parabolic Lamé system on a smooth bounded domain
[NO] 39/200 | Cohen-Macaulay approximations over generically Gorenstein rings
[NO] 40/200 | HACMatch Semi-Supervised Rotation Regression with Hardness-Aware Curriculum Pseudo Labeling
[NO] 41/200 | Chemical Abundance Ratios of Nitrogen Rich Galaxies Identified at $z\sim 6-12$: Observational Demographics and Models
[NO] 42/200 | Kolmogorov Complexity Bounds for LLM Steganography and a Perplexity-Based Detection Proxy
[NO] 43/200 | Bayesian inference for ordinary differential equations models with heteroscedastic measurement error
[NO] 44/200 | IF-CPS: Influence Functions for Cyber-Physical Systems -- A Unified Framework for Diagnosis, Curation, and Safety Attribution
[NO] 45/200 | Resonance-Suppression Principle for Prethermalization beyond Periodic Driving
[NO] 46/200 | Stochastic Trajectory Influence Functions for LQR: Joint Sensitivity Through Dynamics and Noise Covariance
[NO] 47/200 | SynSym: A Synthetic Data Generation Framework for Psychiatric Symptom Identification
[NO] 48/200 | SafePilot: A Framework for Assuring LLM-enabled Cyber-Physical Systems
[NO] 49/200 | Generalizable Self-Evolving Memory for Automatic Prompt Optimization
[NO] 50/200 | Triangulating Temporal Dynamics in Multilingual Swiss Online News
[NO] 51/200 | Jet quenching and its substructure dependence due to color decoherence
[NO] 52/200 | Ultra-high THz-field-confinement at LaAlO3 twin walls
[YES] 53/200 | Asymptotically Ideal Hierarchical Secret Sharing Based on CRT for Integer Ring
[NO] 54/200 | Bollobás-Meir TSP Conjecture Holds Asymptotically
[NO] 55/200 | A plug-and-play approach with fast uncertainty quantification for weak lensing mass mapping
[NO] 56/200 | STENet: Superpixel Token Enhancing Network for RGB-D Salient Object Detection
[NO] 57/200 | Fabrication and study of femtosecond laser micromachined few-mode elliptical core waveguides
[NO] 58/200 | StreamSampling.jl: Efficient Sampling from Data Streams in Julia
[NO] 59/200 | Correction exponents in the chiral Heisenberg model at $1/N^2$: singular contributions and operator mixing
[NO] 60/200 | Hyperloss from coherent spatial-mode mixing in quantum-correlated networks
[NO] 61/200 | Spin Elasticity
[NO] 62/200 | Non-Hermiticity induced thermal entanglement phase transition
[NO] 63/200 | Unified Spatiotemporal Token Compression for Video-LLMs at Ultra-Low Retention
[NO] 64/200 | First Limits on Axion Dark Matter from a DALI Prototype
[NO] 65/200 | Look, Listen and Segment: Towards Weakly Supervised Audio-visual Semantic Segmentation
[NO] 66/200 | Disengagement Analysis and Field Tests of a Prototypical Open-Source Level 4 Autonomous Driving System
[NO] 67/200 | Collision-Free Velocity Scheduling for Multi-Agent Systems on Predefined Routes via Inexact-Projection ADMM
[NO] 68/200 | Self-Heating and Parasitic Effects in Multi-Tier CFET Design
[NO] 69/200 | olLOSC: Unified and efficient density functional approximation to correct delocalization error in molecules and periodic materials
[NO] 70/200 | SHAPE: Structure-aware Hierarchical Unsupervised Domain Adaptation with Plausibility Evaluation for Medical Image Segmentation
[NO] 71/200 | Adaptive Federated Fine-Tuning of Self-Supervised Speech Representations
[NO] 72/200 | SmaAT-QMix-UNet: A Parameter-Efficient Vector-Quantized UNet for Precipitation Nowcasting
[NO] 73/200 | Does Anxiety Improve Economic Decision-Making?
