[2026-06-05 11:57:48] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-04
正在获取论文...
[arXiv] 2026-06-04 | Phenomenology of Inflaton-Driven Early QCD Confinement and Solution to Axion Isocurvature Problem
[arXiv] 2026-06-04 | PAMF: Prior-Aware Multimodal Fusion for Incomplete Time Series Data
[arXiv] 2026-06-04 | AIS-Based Vessel Trajectory Prediction Using Memory-Augmented Neural Networks
[arXiv] 2026-06-04 | RedZeD: Computing persistent homology by Reduction to Zero Differentials
[arXiv] 2026-06-04 | A micronova burst in the intermediate polar IGR J17014-4306
[arXiv] 2026-06-04 | Tangram: Unlocking Non-Uniform KV Cache for Efficient Multi-turn LLM Serving
[arXiv] 2026-06-04 | The density of $k$-cacti via excluding minors
[arXiv] 2026-06-04 | Optical Signature of Moiré Superlattices Formed by Twisted SrTiO$_3$ Membranes
[arXiv] 2026-06-04 | ToolChoiceConfusion: Causal Minimal Tool Filtering for Reliable LLM Agents
[arXiv] 2026-06-04 | Diffusion of multiple conserved charges from entropy production
[arXiv] 2026-06-04 | Second order splitting dynamics for stochastic monotone inclusions with closed loop distribution
[arXiv] 2026-06-04 | From Self to Other: Evaluating Demographic Perspective-Taking in LLM Hate Speech Annotation
[arXiv] 2026-06-04 | RadiusFPS: Efficient Farthest Point Sampling on CPUs and GPUs via Spherical Voxel Pruning
[arXiv] 2026-06-04 | Wasserstein Exponential Smoothing
[arXiv] 2026-06-04 | Optical chirality of membrane metasurfaces with broken in-plane symmetry
[arXiv] 2026-06-04 | AffordanceVLA: A Vision-Language-Action Model Empowering Action Generation through Affordance-Aware Understanding
[arXiv] 2026-06-04 | Post-processed frozen-flow methods for the long time sampling of ergodic dynamics on Riemannian manifolds
[arXiv] 2026-06-04 | WorldFly: A World-Model-Based Vision-Language-Action Model for UAV Navigation
[arXiv] 2026-06-04 | RedEdit: Agentic Red-Teaming of Image Safety Classifiers via MCTS-Guided Photo-Editing
[arXiv] 2026-06-04 | MotionDisco: Motion Discovery for Extreme Humanoid Loco-Manipulation
[arXiv] 2026-06-04 | TLA-Prover: Verifiable TLA+ Specification Synthesis via Preference-Optimized Low-Rank Adaptation
[arXiv] 2026-06-04 | Aging Time dependent Static Friction between Soft and Hard Solid Interfaces
[arXiv] 2026-06-04 | Rigidity of complete non-compact generalized $m$-quasi-Einstein manifolds
[arXiv] 2026-06-04 | Deterring Searches for Child Sexual Abuse Material on Google Search and Promoting Help-Seeking
[arXiv] 2026-06-04 | Ensemble Kalman Inversion as an Inertial Interacting Particle System
[arXiv] 2026-06-04 | On a conjecture on Romanoff type sumsets
[arXiv] 2026-06-04 | Towards Healthy Evolution: Exploring the Role and Mechanisms of Human-Agent Interaction in Self-Evolving Systems
[arXiv] 2026-06-04 | A Sliced-Wasserstein Framework on Correlation Matrices for EEG Decoding
[arXiv] 2026-06-04 | HyperVis: Continuous Latent Visual Relational Graphs on the Lorentz Hyperboloid for Compositional Reasoning
[arXiv] 2026-06-04 | OrderGrad: Optimizing Beyond the Mean with Order-Statistic Policy Gradient Estimation
[arXiv] 2026-06-04 | Integrating Mechanistic and Data-Driven Models for Neurological Disorders through Differentiable Programming
[arXiv] 2026-06-04 | The Dignity-Centric Stack: A Commons-Governed, Horizontally Federated Architecture for Human-Dignity AI
[arXiv] 2026-06-04 | On Advantage Estimates for Max@K Policy Gradients
[arXiv] 2026-06-04 | FontFusion: Enhancing Generative Text in Diffusion Models with Typographic Conditioning
[arXiv] 2026-06-04 | Multi-task Learning is Not Enough: Representational Entanglement in Dual-output Second Language Speech Recognition
[arXiv] 2026-06-04 | A Two-Graph Refinement of Paulsen's Lollipop Bounds
[arXiv] 2026-06-04 | Barbell Codes: qLDPC Codes for Superconducting Quantum Hardware
[arXiv] 2026-06-04 | Residual-based Kaczmarz methods for tensor linear equations with t-product
[arXiv] 2026-06-04 | IA-RAG: Interval-Algebra-Driven Temporal Reasoning for Dynamic Knowledge Retrieval
[arXiv] 2026-06-04 | Adaptive Learning Rates with Surrogate Probability for Follow-the-Perturbed-Leader
[arXiv] 2026-06-04 | LoomVideo: Unifying Multimodal Inputs into Video Generation and Editing
[arXiv] 2026-06-04 | Modified augmented Lagrangian preconditioning for mixed-dimensional beam-solid coupling
[arXiv] 2026-06-04 | An Erdős-Ko-Rado Theorem for Tilings
[arXiv] 2026-06-04 | Recent Progress around Cohen-Lenstra Heuristics
[arXiv] 2026-06-04 | ReSAGE-PAR: Representational Similarity Assessment for Generative Expansion in Pedestrian Attribute Recognition
[arXiv] 2026-06-04 | Leveraging MTG-FCI fire observations for event-based fire behavior monitoring from near-real-time operation to seasonal analysis
[arXiv] 2026-06-04 | Weighted topological entropy and intersecting random translates of Bedford--McMullen carpets
[arXiv] 2026-06-04 | Adaptive Oscillatory-State Alignment for Time Series Forecasting
[arXiv] 2026-06-04 | Preventing $L^p$ blow-up by local anisotropy of signal production in the Keller-Segel system with strongly differing diffusion rates
[arXiv] 2026-06-04 | Beyond Vector Similarity: A Structural Analysis of Graph-Augmented Retrieval for Industrial Knowledge Graphs
[arXiv] 2026-06-04 | Resolving room temperature microscale fracture and plasticity of iron oxides along the cascade of iron ore reduction via nanoindentation and microcantilever bending
[arXiv] 2026-06-04 | ATT-CR: Adaptive Triangular Transformer for Cloud Removal
[arXiv] 2026-06-04 | Quantifying Uncertainty In Wide Two-Layer Neural Networks: On The Law Of The Limiting Fluctuation Process
[arXiv] 2026-06-04 | The Self-Correction Illusion: LLMs Correct Others but Not Themselves
[arXiv] 2026-06-04 | The quenching time and timescale distribution of z~2 quiescent galaxies from precise colour distribution analysis
[arXiv] 2026-06-04 | Combining diffuse and sharp interface methods in shape optimisation
[arXiv] 2026-06-04 | Edit-R2: Context-Aware Reinforcement Learning for Multi-Turn Image Editing
[arXiv] 2026-06-04 | Exploring the connection between coding habits and cognitive styles in malware developers
[arXiv] 2026-06-04 | Simulations of interaction between outflow and surrounding broken power-law circumnuclear medium: implications for different radio light curves of TDEs
[arXiv] 2026-06-04 | Epistemic Injustice in Language Models: An Audit of Pretraining Filters and Guardrails
[arXiv] 2026-06-04 | Hessian-informed, Coordinate Friendly Hamiltonian Monte Carlo in Linear Time
[arXiv] 2026-06-04 | Towards World Models in Biomedical Research
[arXiv] 2026-06-04 | DBHN-Net: Dual-Branch Hybrid Neural Network For Low-Complexity Monaural Speech Enhancement
[arXiv] 2026-06-04 | ACE-SQL: Adaptive Co-Optimization via Empirical Credit Assignment for Text-to-SQL
[arXiv] 2026-06-04 | Metric Facility Assignment with Partial Information
[arXiv] 2026-06-04 | Non-equilibrium quantum thermodynamics of a memory-bearing open-system process
[arXiv] 2026-06-04 | PriSrv+: Privacy and Usability-Enhanced Wireless Service Discovery with Fast and Expressive Matchmaking Encryption
[arXiv] 2026-06-04 | The Analysis of the Influence of Coordinate Error of Observation Station On the Construction Accuracy of Pulsar Time
[arXiv] 2026-06-04 | Retry Policy Gradients in Continuous Action Spaces
[arXiv] 2026-06-04 | Polylogarithmic Structure of Bragg Diffraction in Finite-Coherence Lattices
[arXiv] 2026-06-04 | TAGA: Terrain-aware Active Gaze Learning for Generalizable Agile Humanoid Locomotion
[arXiv] 2026-06-04 | An Ultra-Low-Bitrate Neural Speech Codec with Plain-to-Pseudo Synergistic Vector Quantization
[ACM] 2026-6-4 | Proceedings of the 1st International Workshop on Data FORMATS for Modern Architectures and Workloads
[ACM] 2026-6-4 | Purified Distillation Slimming (PDS) for Robust Backdoor Defense
[ACM] 2026-6-4 | CoCoRADE: Introducing Replay Protection for Data-at-Rest of Confidential Virtual Machines
[ACM] 2026-6-4 | PHANTOM: Physics-Aware Adversarial Attacks against Federated Learning-Coordinated EV Charging Management System
[ACM] 2026-6-4 | Cloud-Powered Federated Learning for Global Healthcare Diagnostics: Privacy Preserving Multi-Cloud Architecture
[ACM] 2026-6-4 | From Algorithms to Accountability: Navigating AI's Ethical and Legal Challenges
[ACM] 2026-6-4 | Enhanced Cloud-Based Hybrid Learning System for Remote Monitoring and Optimization of E-Waste Recycling Operations
[IEEE] 2026-6-4 | Spatiotemporal Gap-Filling of GOCI-II Chlorophyll-a Using Attention-Based Partial Convolution Model
[IEEE] 2026-6-4 | A relation-geometry enhanced network for stereo matching of optical satellite stereo images
[IEEE] 2026-6-4 | OCR-3D: Occlusion-Robust Context-Guided Relative Depth for Monocular 3D Object Detection
[IEEE] 2026-6-4 | Feature Transformation Effects in PolSAR Images Based on a Time-Varying Active Polarization Conversion Metasurface
[IEEE] 2026-6-4 | How to Ask the AI: A User Perspective Survey for Large Language Model Prompting
[IEEE] 2026-6-4 | Effects of Environmental Factors on Photovoltaic Module Temperature Monitoring Using BOTDR
[IEEE] 2026-6-4 | Outsmarting the Smart: Intelligent Jamming Strategies Against AI-Empowered Anti-Jamming Frameworks
[IEEE] 2026-6-4 | Identifying Critical Breakpoints and Latency Effects During Remote Backup Driving_supp2-3691492.pdf
[IEEE] 2026-6-4 | Huygens Dipole-Enabled Broadside and Endfire Beam-Switching Transparent Antenna
[IEEE] 2026-6-4 | Virtual DC Motor Driving Synchronous Generator Control for Dual-Port Inertia Support Based on Flying-Capacitor Three-Level Inverter
[IEEE] 2026-6-4 | Co- and Cross-Polarized RCS Imitation Based on Amplitude and Phase Controlled Metasurface
[IEEE] 2026-6-4 | Design and Validation of a Crate-Independent 1GbE DAQ Backend for Medium-Scale Detector Readout
[IEEE] 2026-6-4 | Efficient and Effective Personalized In-Context Learning for On-device Large Model Services_supp1-3697569.pdf
[IEEE] 2026-6-4 | Performance Analysis for Rate Splitting Multiple Access Enhanced Pinching-Antenna Assisted Integrated Sensing and Communication Systems
[IEEE] 2026-6-4 | BRR: A Multi-Armed Bandit-Based Relay Selection Algorithm for Post-Disaster DTNs
[IEEE] 2026-6-4 | Design of Airport Low-Altitude Traffic Control System Architecture Based on Cloud-Edge Collaboration and Deep Learning
[IEEE] 2026-6-4 | Attention-Augmented BiGRU for Mental Health State Classification from Reddit Conversational Data
[IEEE] 2026-6-4 | Conditional GAN Based HF Channel Modeling with Historial Continuous Wave Signals
[IEEE] 2026-6-4 | Spatiotemporal Feature Aggregation for Radar AMC: A Comparative Study of Stacked GRU and Optimized CNN-GRU Hybrid Architectures
[IEEE] 2026-6-4 | An Innovative Approach for Aircraft Damage Detection via FasterNet-Modified YOLO11
[IEEE] 2026-6-4 | Research on The Method of Train Insulator Stain Detection Based on Deep Learning
[IEEE] 2026-6-4 | Implementation of a Lightweight and Customized Signal processing system based on RFSoC
[IEEE] 2026-6-4 | Research on Intelligent Strategy and Digital Operation of Automobile Industry Based on Artificial Intelligence
[IEEE] 2026-6-4 | Evaluating Forecasting Accuracy of Artificial Intelligence Models for Smart Grid and Building Energy Demand
[IEEE] 2026-6-4 | Distribution Network Topology Identification Using Graph Neural Networks
[IEEE] 2026-6-4 | Community Driven Optimization for Fair Impact Maximization
[IEEE] 2026-6-4 | Tourist Flow Computational Modeling and ABM Simulation Framework for Smart Tourism Big Data Analysis
[IEEE] 2026-6-4 | TADAM: An Artificial Intelligence Based Sustainability Assessment Framework with Community Engagement
[IEEE] 2026-6-4 | GCAF-Net: A Gated Cross-Attention Framework for Multimodal Retinal Disease Classification
[IEEE] 2026-6-4 | PanCo-SLAM: A Robust Dynamic RGB-D SLAM System via Panoptic Semantics and Depth Residual Collaboration
[IEEE] 2026-6-4 | Parallel CNN for Accurate Classification of Aquatic Crab Species
[IEEE] 2026-6-4 | Lightweight Object Detection Model for Early Fish Disease Identification in Aquaculture
[IEEE] 2026-6-4 | Alignment-Aware Dual-Stream YOLO for RGB-IR Oriented Object Detection in UAV Traffic Scenes
[IEEE] 2026-6-4 | Improved Mamba-DetectNet with Lightweight Attention and Feature Fusion for Weld Defect Detection
[IEEE] 2026-6-4 | Machine Learning Model Design for Two-Dimensional Photonic Crystals with Point Defects
[ACM] 2026-6-4 | Evaluating Lightweight GAN- Generated Synthetic Data for Privacy Preservation in Mobile Crowd Sensing.
[ACM] 2026-6-4 | Evaluating the Performance of Deep Learning Models Using Explainable AI Approaches for Reliable Skin Cancer Detection and Diagnosis
[ACM] 2026-6-4 | A Hybrid Generative–Adaptive Deep Learning Framework for Robust Heart Disease Prediction
[ACM] 2026-6-4 | Evaluating Human- and AI-Generated Code Quality Based on Code Smell
[ACM] 2026-6-4 | Formal Verification of EDHOC-PSK: A Symbolic Approach with SAPIC+
[IEEE] 2026-6-4 | Numerical Simulation of Dharali Cloudburst August 2025 Based on WRF Model
[IEEE] 2026-6-4 | Simulation Study on FBG Spectrum Peak Detection and Anomaly Detection Based on Gradient Boosted Regression Trees
[IEEE] 2026-6-4 | Time and Event-Triggered Fault Detection for the Networked Control System Under DoS Attacks
[IEEE] 2026-6-4 | Latent Preference Inference and Expert–Crowd Aggregation in Sequential Elimination
[IEEE] 2026-6-4 | Explainability-Driven Insights into LSTM-Based Sentiment Classification Across Domains
[IEEE] 2026-6-4 | Stability-Aware and Phase-Aware Identification of Hallucination-Associated Neurons in LLMs
[IEEE] 2026-6-4 | Uncertainty-Aware Dynamic-Temperature Distillation for Efficient Biomedical Sentence Classification
[IEEE] 2026-6-4 | An Efficient Cross-Frequency Feature Aggregation Network for Single Image Super-Resolution
[IEEE] 2026-6-4 | A Review of the Development of Key Technologies of Embodied Intelligence in the Field of Workplace Safety and Emergency Response
[IEEE] 2026-6-4 | Research on Safe Path Planning for UAV in Unknown Dynamic Environments
[IEEE] 2026-6-4 | Adaptability Over Accuracy: Strengthening Intrusion Detection Systems for Zero-Day Attacks
[IEEE] 2026-6-4 | An End-to-End AI-Powered Symptom Checker Using Machine Learning, NLP, and Geolocation for Real-Time Doctor Recommendation
[IEEE] 2026-6-4 | Training Privacy Is Not Inference Privacy: Evaluating Embedding Leakage in Private Federated LLM Fine-Tuning
[IEEE] 2026-6-4 | Learning Detailed Representations via Parallel Attention and Local Enhancement for Image Super-Resolution
[IEEE] 2026-6-4 | Emotional Participation Modeling and System Optimization of College Students Using Generative AI Chat Robot
[IEEE] 2026-6-4 | Structured Hybrid-Parallel Normal-Equation Solving for Large-Scale LEO Crosslink Orbit Determination
[IEEE] 2026-6-4 | Preface
[IEEE] 2026-6-4 | A 4.19-M Pixels Colloidal Quantum Dot-Based SWIR Image Sensor With High-Linearity Multistep Single-Slope ADCs
[IEEE] 2026-6-4 | A Novel Physics-Informed Transformer Algorithm (PITA) for Near–Real-Time Synergistic Multi-Parameter Aerosol Retrieval From FY-4B/AGRI Geostationary Satellite
[IEEE] 2026-6-4 | A Lightweight WiFi-based Human Activity Recognition Method for Unknown Domains
[IEEE] 2026-6-4 | Exploring Basic Expression Representation for Compound Facial Expression Recognition
[IEEE] 2026-6-4 | Digital Transformation with Metaverse-Based Services: An Exploratory Managerial Framework Using AI-Simulated Stakeholder Dialogues
[IEEE] 2026-6-4 | Comparative Study of Avalanche and Short-Circuit Reliability in 1.2-kV SiC MOSFETs
[IEEE] 2026-6-4 | Simultaneous Estimation of Nonlinear Functionals of a Quantum State
[IEEE] 2026-6-4 | Enhancing Weather Forecasting through CrIS and IASI Imagery
[IEEE] 2026-6-4 | MLPerf Power: Addressing the AI Power Wall
[IEEE] 2026-6-4 | Novel Resonance Degree Discrimination Algorithm for Enhanced Systematic Compact Neuro-TF Parametric Modeling of Microwave Components
[ACM] 2026-6-4 | Sensing Censorship and Censuring Censors with Censorship-Evident Publishing Systems
[ACM] 2026-6-4 | How Tough Is Location Anonymization? Re-identifying 100K Real-User Trajectories in Japan
[ACM] 2026-6-4 | Ex-ASE 2025: The 1st International Workshop on ExplainableAutomated Software Engineering
[ACM] 2026-6-4 | Skeletal Sentinel for the Detection of Osteoporosis Empowered by Machine Learning and Transfer Learning
[ACM] 2026-6-4 | A Comparative Analysis of Machine Learning Models for Periodontal Disease Classification
[ACM] 2026-6-4 | Secure Implementation of Salesforce Health Cloud for Patient Data Management in Multi-Tenant Environments
[ACM] 2026-6-4 | Research on Library Book Spine Segmentation and Recognition Based on Deep Learning
[ACM] 2026-6-4 | Heterogeneous Effects of Human Resource Management on Firm Performance under Digital Transformation: A Causal Machine Learning Approach
[ACM] 2026-6-4 | Indoor Semantic Map Prediction for Object Search Based on Relationship Reasoning and Active Training
[ACM] 2026-6-4 | Research on the Optimization Decision of Cold Chain Logistics Delivery Vehicles in Low-Carbon Cities
[ACM] 2026-6-4 | SysDiver: Lightweight and Fast Static Analysis for Windows Kernel Drivers
[ACM] 2026-6-4 | A New Construction Method for More Efficient Quadratic One-Time Noisy Multi-Client Functional Encryption Schemes
[ACM] 2026-6-4 | Data Flows in You: Benchmarking and Improving Static Data-flow Analysis on Binary Executables
[ACM] 2026-6-4 | Attack from Shadows: Unsupervised Side-channel Transfer Learning across Devices and Modalities
[ACM] 2026-6-4 | ZEEP: Zone Encryption with Enhanced Privacy for Vehicular Communication
[ACM] 2026-6-4 | <i>BarkBeetle:</i>
                    Stealing Decision Tree Models with Fault Injection
[ACM] 2026-6-4 | CCA-Droid: Context-Aware Cryptographic API Misuse Detection in Android Apps
[ACM] 2026-6-4 | Deep Learning Backdoor Defense via Adaptive Trigger Collisions in Latent Space
[IEEE] 2026-6-4 | Design Space Exploration of RISC-V Vector Extension targeting Embedded Processors
[IEEE] 2026-6-4 | A Wormlike Robot for Ferromagnetic Surface Inspection: A Novel System Inspired by Caterpillars
[IEEE] 2026-6-4 | Filtering Multibeam Antenna Arrays Based on Substrate Integrated Waveguide Filtering Crossovers: A Proof of Concept
[IEEE] 2026-6-4 | Hyperspectral Unmixing Under Endmember Variability: A Variational Inference Framework
[IEEE] 2026-6-4 | Copyright Page
[IEEE] 2026-6-4 | The Asymptotic Capacity of Private Information Retrieval with Secure Storage Under Disjoint Colluding Sets
[IEEE] 2026-6-4 | 2025 International Conference on Low-Altitude Airspace and Artificial Intelligence (LAAI)
[IEEE] 2026-6-4 | Research on Nonlinear Vibration Suppression Optimization of Gear Transmission System Based on Deep Learning Fine-Tuning
共写入 200 条记录，保存到 papers/paper2026-06-04.json。
论文获取成功，文件路径: papers/paper2026-06-04.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Phenomenology of Inflaton-Driven Early QCD Confinement and Solution to Axion Isocurvature Problem
[NO] 2/200 | Pretraining Recurrent Networks without Recurrence
[NO] 3/200 | Self-Augmenting Retrieval for Diffusion Language Models
[NO] 4/200 | How abundant are good interpolators?
[NO] 5/200 | You Only Index Once: Cross-Layer Sparse Attention with Shared Routing
[NO] 6/200 | Superconducting triode effect in a quantum-dot Josephson junction with a biased top gate
[NO] 7/200 | Will the Agent Recuse Itself? Measuring LLM-Agent Compliance with In-Band Access-Deny Signals
[NO] 8/200 | Quantum element-wise transforms
[NO] 9/200 | USAD 2.0: Scaling Representation Distillation for Universal Audio Understanding
[NO] 10/200 | Revising Context, Shifting Simulated Stance: Auditing LLM-Based Stance Simulation in Online Discussions
[NO] 11/200 | Nanostructure modelling with early fault tolerant quantum computers
[NO] 12/200 | Leveraging External Controls for Treatment Switching in Randomized Controlled Trials: A Weighted Causal Inference Framework for Overall Survival
[NO] 13/200 | Recovering stable kernels from exterior measurements
[NO] 14/200 | RiskFlow: Fast and Faithful Safety-Critical Traffic Scenario Generation
[NO] 15/200 | Quantitative eigenvector universality for generalized Wigner matrices
[NO] 16/200 | Double Preconditioning (DoPr): Optimization for Test-Time Performance, not Validation Loss
[NO] 17/200 | Doubly Totally-Umbilical Statistical Submanifolds in the Probability Simplex
[NO] 18/200 | Wave-Tide Locking in Thin Stellar Streams: A Phenomenological Mass Spectrometer for an Intermediate Ultralight Axion
[NO] 19/200 | Proper Scoring Rules for Right-Censored Survival Data
[NO] 20/200 | On GPU Implementation for Multi-Precision Integer Division
[NO] 21/200 | Rethinking Infrastructure Inspection as Image Difference Classification: A Traffic Sign Case Study
[NO] 22/200 | Visual Commonsense Driven Knowledge Refinements for Scene Graph Generation
[NO] 23/200 | A framework for low-overhead quantum fault tolerance via spacetime lifting
[NO] 24/200 | GMBFormer: An NDVI-Guided Global Memory Bank Transformer for Urban Green-Space Extraction from Ultra-High-Resolution Imagery
[NO] 25/200 | Physics in 2-Steps: Locking Motion Priors Before Visual Refinement Erases Them
[NO] 26/200 | Maximising the Set-Piece Return: Optimising Football Corner Tactics with Graph Reinforcement Learning
[NO] 27/200 | "Chi nas dal soch el sent de legn" -- Auditing Text Corpora for Lombard
[NO] 28/200 | Bilateral and multilateral international scientific collaboration of EU member states: OpenAlex vs Scopus (2000-2024)
[NO] 29/200 | Subspace-Aware Sparse Autoencoders for Effective Mechanistic Interpretability
[NO] 30/200 | PAMF: Prior-Aware Multimodal Fusion for Incomplete Time Series Data
[NO] 31/200 | AIS-Based Vessel Trajectory Prediction Using Memory-Augmented Neural Networks
[NO] 32/200 | RedZeD: Computing persistent homology by Reduction to Zero Differentials
[NO] 33/200 | A micronova burst in the intermediate polar IGR J17014-4306
[NO] 34/200 | Tangram: Unlocking Non-Uniform KV Cache for Efficient Multi-turn LLM Serving
[NO] 35/200 | The density of $k$-cacti via excluding minors
[NO] 36/200 | Optical Signature of Moiré Superlattices Formed by Twisted SrTiO$_3$ Membranes
[NO] 37/200 | ToolChoiceConfusion: Causal Minimal Tool Filtering for Reliable LLM Agents
[NO] 38/200 | Diffusion of multiple conserved charges from entropy production
[NO] 39/200 | Second order splitting dynamics for stochastic monotone inclusions with closed loop distribution
[NO] 40/200 | From Self to Other: Evaluating Demographic Perspective-Taking in LLM Hate Speech Annotation
[NO] 41/200 | RadiusFPS: Efficient Farthest Point Sampling on CPUs and GPUs via Spherical Voxel Pruning
[NO] 42/200 | Wasserstein Exponential Smoothing
[NO] 43/200 | Optical chirality of membrane metasurfaces with broken in-plane symmetry
[NO] 44/200 | AffordanceVLA: A Vision-Language-Action Model Empowering Action Generation through Affordance-Aware Understanding
[NO] 45/200 | Post-processed frozen-flow methods for the long time sampling of ergodic dynamics on Riemannian manifolds
[NO] 46/200 | WorldFly: A World-Model-Based Vision-Language-Action Model for UAV Navigation
[NO] 47/200 | RedEdit: Agentic Red-Teaming of Image Safety Classifiers via MCTS-Guided Photo-Editing
[NO] 48/200 | MotionDisco: Motion Discovery for Extreme Humanoid Loco-Manipulation
[NO] 49/200 | TLA-Prover: Verifiable TLA+ Specification Synthesis via Preference-Optimized Low-Rank Adaptation
[NO] 50/200 | Aging Time dependent Static Friction between Soft and Hard Solid Interfaces
[NO] 51/200 | Rigidity of complete non-compact generalized $m$-quasi-Einstein manifolds
[NO] 52/200 | Deterring Searches for Child Sexual Abuse Material on Google Search and Promoting Help-Seeking
[NO] 53/200 | Ensemble Kalman Inversion as an Inertial Interacting Particle System
[NO] 54/200 | On a conjecture on Romanoff type sumsets
[NO] 55/200 | Towards Healthy Evolution: Exploring the Role and Mechanisms of Human-Agent Interaction in Self-Evolving Systems
[NO] 56/200 | A Sliced-Wasserstein Framework on Correlation Matrices for EEG Decoding
[NO] 57/200 | HyperVis: Continuous Latent Visual Relational Graphs on the Lorentz Hyperboloid for Compositional Reasoning
[NO] 58/200 | OrderGrad: Optimizing Beyond the Mean with Order-Statistic Policy Gradient Estimation
[NO] 59/200 | Integrating Mechanistic and Data-Driven Models for Neurological Disorders through Differentiable Programming
[NO] 60/200 | The Dignity-Centric Stack: A Commons-Governed, Horizontally Federated Architecture for Human-Dignity AI
[NO] 61/200 | On Advantage Estimates for Max@K Policy Gradients
[NO] 62/200 | FontFusion: Enhancing Generative Text in Diffusion Models with Typographic Conditioning
[NO] 63/200 | Multi-task Learning is Not Enough: Representational Entanglement in Dual-output Second Language Speech Recognition
[NO] 64/200 | A Two-Graph Refinement of Paulsen's Lollipop Bounds
[NO] 65/200 | Barbell Codes: qLDPC Codes for Superconducting Quantum Hardware
[NO] 66/200 | Residual-based Kaczmarz methods for tensor linear equations with t-product
[NO] 67/200 | IA-RAG: Interval-Algebra-Driven Temporal Reasoning for Dynamic Knowledge Retrieval
[NO] 68/200 | Adaptive Learning Rates with Surrogate Probability for Follow-the-Perturbed-Leader
[NO] 69/200 | LoomVideo: Unifying Multimodal Inputs into Video Generation and Editing
[NO] 70/200 | Modified augmented Lagrangian preconditioning for mixed-dimensional beam-solid coupling
[NO] 71/200 | An Erdős-Ko-Rado Theorem for Tilings
[NO] 72/200 | Recent Progress around Cohen-Lenstra Heuristics
[NO] 73/200 | ReSAGE-PAR: Representational Similarity Assessment for Generative Expansion in Pedestrian Attribute Recognition
[NO] 74/200 | Leveraging MTG-FCI fire observations for event-based fire behavior monitoring from near-real-time operation to seasonal analysis
[NO] 75/200 | Weighted topological entropy and intersecting random translates of Bedford--McMullen carpets
[NO] 76/200 | Adaptive Oscillatory-State Alignment for Time Series Forecasting
[NO] 77/200 | Preventing $L^p$ blow-up by local anisotropy of signal production in the Keller-Segel system with strongly differing diffusion rates
