[2026-05-20 11:44:52] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-19
正在获取论文...
[arXiv] 2026-05-19 | Large-space and large-time asymptotics for the mKdV soliton gas with any odd genus
[arXiv] 2026-05-19 | Graph Neural Planning and Predictive Control for Multi-Robot Communication-Constrained Unlabeled Motion Planning
[arXiv] 2026-05-19 | MMGS: 10$\times$ Compressed 3DGS through Optimal Transport Aggregation based on Multi-view Ranking
[arXiv] 2026-05-19 | DEFLECT: Delay-Robust Execution via Flow-matching Likelihood-Estimated Counterfactual Tuning for VLA Policies
[arXiv] 2026-05-19 | What Makes Synthetic Data Effective in Image Segmentation
[arXiv] 2026-05-19 | Are Rationales Necessary and Sufficient? Tuning LLMs for Explainable Misinformation Detection
[arXiv] 2026-05-19 | Frequency-dependent stress response under thermal cycle: A thermal-crystal plasticity and dynamic mode decomposition study
[arXiv] 2026-05-19 | Universal Cycles on Affine Lines
[arXiv] 2026-05-19 | OpenCompass: A Universal Evaluation Platform for Large Language Models
[arXiv] 2026-05-19 | FormalASR: End-to-End Spoken Chinese to Formal Text
[arXiv] 2026-05-19 | MuMuTestUp: Mutation-based Multi-Agent Test Case Update
[arXiv] 2026-05-19 | AQuaUI: Visual Token Reduction for GUI Agents with Adaptive Quadtrees
[arXiv] 2026-05-19 | ERFSL: An Efficient Reward Function Searcher via Language Models for Custom-Environment Multi-Objective Optimization (Student Abstract)
[arXiv] 2026-05-19 | A C implementation of the Smith massager algorithm
[arXiv] 2026-05-19 | Example-Driven Intent Synthesis for Constrained Data Bundle Retrieval: Focused Text Snippet Extraction and Beyond
[arXiv] 2026-05-19 | Robust Mitigation of Age-Dependent Confounding Effects via Sample-Difficulty Decorrelation
[arXiv] 2026-05-19 | Can Large Language Models Revolutionize Survey Research? Experiments with Disaster Preparedness Responses
[arXiv] 2026-05-19 | Spin asymmetry for the elastic scattering of polarized electrons from Zn, Cd, and Hg
[arXiv] 2026-05-19 | Taking Inventory of the Most Promising Lensed Radio Sources for Constraining Fundamental Properties of Dark Matter
[arXiv] 2026-05-19 | Not all uncertainty is alike: volatility, stochasticity, and exploration
[arXiv] 2026-05-19 | The Full Pareto Frontier as Kantian Equilibria
[arXiv] 2026-05-19 | On the Hyperelastic Behavior of the Boar Diaphragmatic Tendon Membrane by Inflation Tests and Modeling
[arXiv] 2026-05-19 | Top Pair Threshold Revisited
[arXiv] 2026-05-19 | Quantum-enhanced distributed network sensing using multiple quantum resources
[arXiv] 2026-05-19 | Towards inertial-mode helioseismology: Direct sensing of solar rotation at 75 deg latitude and 0.8 Rsun
[arXiv] 2026-05-19 | Dual-Prompt CLIP with Hybrid Visual Encoders for Occluded Person Re-Identification
[arXiv] 2026-05-19 | SafeAlign-VLA: A Negative-Enhanced Safe Alignment Framework for Risk-Aware Autonomous Driving
[ACM] 2026-5-19 | Dual-Path Holographic Laser-Excited Volumetric Display
[IEEE] 2026-5-20 | From Few-Shot to Zero-Shot: Towards Generalist Graph Anomaly Detection_supp1-3691902.pdf
[IEEE] 2026-5-19 | Enabling Frictionless and Continuous Authentication for Edge Computing via Privacy-Preserving Behavioral Modeling_supp1-3688247.pdf
[IEEE] 2026-5-19 | Nano-Bio Systems for Intra-body Sensing, Actuation, and Communication in the Terahertz Band and Beyond
[IEEE] 2026-5-19 | A Wideband Directional Coupler With Stable Coupling Factor Based on Spoof Surface Plasmon Polaritons
[IEEE] 2026-5-19 | Preface
[IEEE] 2026-5-19 | ICEIT 2026 Copyright Page
[IEEE] 2026-5-19 | Improved Method for Electromagnetic Analysis of Axial Flux Permanent Magnet Motor with 3D Leakage Flux in Overhang Structures
[IEEE] 2026-5-19 | Design of N-S-Iron Interleaved Asymmetric Pole Arc Coefficient 24-slot/20-pole CPPM Machine with Rotor Inner Slots
[IEEE] 2026-5-19 | Robust Multi-Stream Massive MIMO Satellite Systems Based on Statistical CSI
[IEEE] 2026-5-19 | MAPLE: Self-Supervised Learning-Enhanced Nonlinear Dimensionality Reduction for Visual Analysis_supp1-3694000.pdf
[IEEE] 2026-5-19 | Sensing Performance Optimization for ISAC with ITS and IRS
[IEEE] 2026-5-19 | IEEE Industry Applications Society Information
[IEEE] 2026-5-19 | Block-MariAuth: Blockchain and PUF Based Authentication Protocol for NTN Assisted Telemedicine Drones in Medical Healthcare 5.0
[IEEE] 2026-5-19 | CAC-Net: Convolutional Additive Cross-Modal Fusion for Real-Time RGB-T Object Detection
[IEEE] 2026-5-19 | Design and Performance Assessment of a Virtualized IED for Digital Substations
[IEEE] 2026-5-19 | Structured Time-Frequency Feature Driven Meta Learning for Fall Detection with mmWave Radar
[IEEE] 2026-5-19 | Multi-Tier Hierarchical Intelligence for Joint RIS–NOMA Optimization in O-RAN-Enabled 6G Networks
[IEEE] 2026-5-19 | Reduced graphene oxide-based electrochemical sensors to detect Rhodamine B molecules: A Review
[IEEE] 2026-5-19 | 3D-Printed Folded Transmitarray with Gain-Filtering Response and Low Cross-Polarization_supp1-3692666.pdf
[IEEE] 2026-5-19 | Hyperchaotic Privacy-Preserving Cooperative Adaptive Control With Application to Multimotor Systems
[IEEE] 2026-5-19 | Transformer-Based Modeling of Global Microwave Land Surface Emissivity Using GPM
[IEEE] 2026-5-19 | Toward Automatic GI Tract Intervention With a Novel Shape-Aware Robotic Endoscope_supp1-3684235.mp4
[IEEE] 2026-5-19 | DrlGoFPGA 2.0: FPGA Global Placement Based on Multi-Agent Graph Transformers and Nonlinear Placement Co-Optimization
[IEEE] 2026-5-19 | RGS: A Unified Representation-Generation-Selection Framework for Knowledge-Based Visual Question Answering_supp1-3689433.pdf
[IEEE] 2026-5-19 | MFS-VQ-VAE: Synthesizing 7T-like MR images from 1.5T MR images with Prompt Attention in VQ-VAE
[IEEE] 2026-5-19 | Phase Compensator Placement and Design for Subsynchronous Oscillation Damping of Multi-loop Grid-Forming Converters
[IEEE] 2026-5-19 | Colored Traveling Salesman Problems: Models, Solutions, and Applications_supp1-3686623.pdf
[IEEE] 2026-5-19 | Gain-scheduling Offline MPC for Air Path qLPV System Control in Spark Ignition Engine using Electric Supercharger
[IEEE] 2026-5-19 | Teachers’ Continuance Use of AIGC in Practice-Oriented Courses—Evidence from E-commerce Live Streaming Teaching
[IEEE] 2026-5-19 | AR for Cultural Heritage: Insights from a Moroccan Educational Study
[IEEE] 2026-5-19 | Research on Multi-dimensional CIM Dynamic Modeling and Lightweight Fusion Algorithm for Facility Operation and Maintenance
[IEEE] 2026-5-19 | Smart Shoe for Gaming: An Integrated Wearable Shoe for Motion-Based Interaction and Physical Activity Enhancement
[IEEE] 2026-5-19 | A Boundary-Aware Attention Mechanism For Accurate Skin Lesion Segmentation And Classification Using ABR-Net
[IEEE] 2026-5-19 | Model-Based Analysis and Evaluation of an Origami Encounter-type Wearable Device
[IEEE] 2026-5-19 | High-Precision Positioning Control of Piezoelectric Inertial Driver Based on High-Voltage Sawtooth Wave and Segmented PID
[IEEE] 2026-5-19 | BoxCall AI: An Intelligent Predictive Inventory Management System for Automotive Spare Parts Using XGBoost Regression and Advanced Time-Series Feature Engineering
[IEEE] 2026-5-19 | Teleoperated Robotic Mission for Sensor Calibrations in Hazardous Environments
[IEEE] 2026-5-19 | Quantum-Ready Education: Preparing Students for Post-Quantum Computing Societies
[IEEE] 2026-5-19 | Exploration of Optimizing Graduate Curriculum System Based on the Concept of Personalized Learning Using Particle Swarm Optimization Algorithm
[IEEE] 2026-5-19 | Generative AI-Driven Multi-Vector Phishing, Vishing, and Smishing Emulation with Adaptive Defense Training Framework
[ACM] 2026-5-20 | Federated Learning as REINFORCE Learning
[IEEE] 2026-5-19 | Eagle-Eye Based Pain and Myocardial Infarction Monitoring and Control System Using Hierarchical Neuro-Physiological Intelligence
[IEEE] 2026-5-19 | Ageing Monitoring for Commercial Microcontrollers Based on Timing Windows
[IEEE] 2026-5-19 | The Application of the Improved AES Algorithm in Information Security of Embedded Systems
[IEEE] 2026-5-19 | A Multi-Fusion Multi Staged Transfer Learning in Classification of Lung Disease Images with Applied CLAHE Algorithm
[IEEE] 2026-5-19 | Quantum-Enhanced AI Framework for Classification of Encryption Techniques in Medical Image ROIs for Secure Transmission
[IEEE] 2026-5-19 | Research on Railway Track Foreign Object Detection of Lightweight Model Based on YOLOv11 with Fusion Attention
[IEEE] 2026-5-19 | A Study of Enhancing C Programming Education through AIGC-Integrated Hybrid Learning
[IEEE] 2026-5-19 | A Review of Control Interfaces for Telepresence Robots: Trends, Challenges, and Opportunities
[IEEE] 2026-5-19 | Agentic Fuzzy Control: A Dual-Loop Framework for Self Adaptive IoT Systems
[IEEE] 2026-5-19 | Deep-learning Architecture for Malaria Detection from Blood Cell Images: An Analysis
[IEEE] 2026-5-19 | A Framework on Automatic Speech Recognition Systems Using Natural Language Processing
[IEEE] 2026-5-19 | Real-Time Signal Quality Monitoring and Interference Detection Using RTL-SDR: A Hybrid PSD Thresholding and PSO-Adaptive Line Enhancement Approach
[IEEE] 2026-5-19 | Graph Contrastive Learning for Function-Level Code Vulnerability Detection
[IEEE] 2026-5-19 | An IoT-Enabled Smart Electricity Meter Integrating Advanced Analytics and Voice-Based Mobile Interaction
[IEEE] 2026-5-19 | Optimizing Retinal Vessel Segmentation Performance Through a Systematic Comparison of Modified U-Net Variants
[ACM] 2026-5-20 | Measuring Privacy vs. Fidelity in Synthetic Social Media Datasets
[ACM] 2026-5-19 | AI Regulation in U.S. States: Lessons Learned and Key Takeaways
[IEEE] 2026-5-19 | ICEIT 2026 TOC
[IEEE] 2026-5-19 | Distributed and Crowdsourced Artificial Intelligence: Enabling a Robust and Scalable 6G Network Architecture
[IEEE] 2026-5-19 | ICEIT 2026 Content Announcement Page
[ACM] 2026-5-19 | Bita: A Conversational Assistant for Fairness Testing
[IEEE] 2026-5-19 | Multi-Point Simultaneous Tactile Force and Location Sensing through Soft Acoustic Waveguides
[IEEE] 2026-5-19 | IEEE Women in Engineering
[IEEE] 2026-5-19 | Opportunistic Transmission Empowered Rate-Splitting Multiple Access for Military Communications: Approaches and Challenges
[IEEE] 2026-5-19 | Toward Energy Efficiency in O-RAN: A Digital Twin for Carbon-Aware 6G Networks
[IEEE] 2026-5-19 | An Air-Jet Continuum Robot for Industrial Integrated Fluidic Circuit Inspection_supp7-3682403.mp4
[IEEE] 2026-5-19 | A Novel Causal Robust Soft Sensor for Industrial Processes With Data Distribution Drift
[IEEE] 2026-5-19 | An Air-Jet Continuum Robot for Industrial Integrated Fluidic Circuit Inspection_supp2-3682403.pdf
[IEEE] 2026-5-19 | Hybrid Modeling and Simulation for Urban Mobility: A Systematic Review and Future Research Agenda
[IEEE] 2026-5-19 | Unlinkable and Decentralized Credential Management for Agentic AI
[IEEE] 2026-5-19 | Fine-Grained Fashion Feature Embedding for Global, Local, and Contextual Analysis in Fashion Social Media Popularity Prediction_supp1-3694039.pdf
[IEEE] 2026-5-19 | STATE: Safe and Threatening Adversarial Trajectory Engine_supp1-3694239.pdf
[IEEE] 2026-5-19 | Boosting Trimmed Tree With Inner Boundary for Network Resilience-Oriented Connectivity Improvement
[IEEE] 2026-5-19 | Tensor Product-Based Fractional Order Sliding Mode Control for Biological Pest Regulation in Agroecosystems
[IEEE] 2026-5-19 | A Multi-Faceted Performance Evaluation of Metaheuristic Optimization Techniques in Radial and Meshed Distribution Networks
[IEEE] 2026-5-19 | Vector-Guided Embezzler: A Reconstruction Attack Against Retrieval-Augmented Generation in Agentic AI Communication
[IEEE] 2026-5-19 | Heat Transfer Modeling of MHPA-Cooled Electrical Machines Using Modular 3D LPTN with Parameter Calibration
[IEEE] 2026-5-19 | Millimeter Wave Inverse Pinhole Imaging
[IEEE] 2026-5-19 | Trust-Aware Intrusion Detection Framework for AI-Augmented Vehicular Digital Twin
[IEEE] 2026-5-19 | VOLE-PDRAA: An Efficient Privacy-Preserving Data Retrieval Protocol with Anonymous Authorization Based on Vector-OLE
[IEEE] 2026-5-19 | Processing-in-Memory Architecture for In-Storage Information Retrieval on 3-D NAND Flash Solid-State Drives
[IEEE] 2026-5-19 | Agentic Artificial Intelligence Framework for Automated Adverse Drug Reaction Detection and Analysis
[IEEE] 2026-5-19 | Semantic Intention-Driven Service Composition in SOA: A Context-Aware Case Study in Smart Buildings
[IEEE] 2026-5-19 | Research on the Investigation and Improvement Path of College English Teachers' Digital Intelligence Literacy Based on the Use of Digital Intelligence Platform
[IEEE] 2026-5-19 | Building an Inclusive Framework for Chinese Language Learning Supported by Generative AI: A Case-Based Analysis
[IEEE] 2026-5-19 | Digital Era Insights into Online Technical Readiness and Teaching Effectiveness: The Mediating Role of Teaching Presence
[IEEE] 2026-5-19 | Modeling of Fundamental Manufacturing Process Based on Multi-Level Directed Acyclic Graph
[IEEE] 2026-5-19 | Aero-Engine Remaining Useful Life Prediction Based on Temporal Attention-Augmented Dual-Stream Feature Fusion
[IEEE] 2026-5-19 | Gen-PBL in Vocational Big Data Education: Exploring Cognitive Offloading Behaviors via Structured GenAI Scaffolding
[IEEE] 2026-5-19 | AI-Empowered Heterogeneity Response in Remote Classrooms: A Qualitative Study on the Mechanism of Human-AI Collaborative Assessment and the Construction of a Dynamic Ecological Model
[IEEE] 2026-5-19 | MST-DeepLabV3+: An Integrated Deep Learning System for Real-Time Satellite-Based Flood Extent Mapping With Production-Grade Deployment
[IEEE] 2026-5-19 | Inverting the Cross-Modal Experience of a Soft Haptic Display for Virtual Touch Interactions at a Science Festival
[IEEE] 2026-5-19 | HERMES: An FPGA-Based Multi-Cipher HSM for Resource-Constrained IoT Systems
[IEEE] 2026-5-19 | Integrate Augmented and Virtual Reality Settings for Digital Twins: Coordinated Representation and Management of Continuous Manufacturing Operations
[IEEE] 2026-5-19 | Contrastive Regularization for Spectral Graph Networks in Hyperspectral Image Classification
[IEEE] 2026-5-19 | Learning Adaptive Rules and Confidence-Based Engine for Finding Security Incidents by Pattern Correlation
[IEEE] 2026-5-19 | Predictive Maintenance Framework for Utility-Scale Solar Farms Using Wireless Networks, UAV Inspection, and Robotic Cleaning
[IEEE] 2026-5-19 | AIGC-Driven Intelligent Teaching Transformation of Urban and Rural Planning Design Courses
共写入 200 条记录，保存到 papers/paper2026-05-19.json。
论文获取成功，文件路径: papers/paper2026-05-19.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Large-space and large-time asymptotics for the mKdV soliton gas with any odd genus
[NO] 2/200 | JAXenstein: Accelerated Benchmarking for First-Person Environments
[NO] 3/200 | Scattering and absorption of a charged massive scalar field by a Reissner-Nordström black hole surrounded by perfect fluid dark matter
[NO] 4/200 | Reconfigurable Nonlinear Photonic Networks for In-Situ Learning and Memory Formation via Driven-Dissipative Dynamics
[NO] 5/200 | Non-Hermitian thermoelectric transport in graphene: Tunable anomalous transmission through complex barriers
[NO] 6/200 | Orbital Stability of Smooth Traveling Solitary Waves to the Fornberg-Whitham Equation
[NO] 7/200 | Realization of a parity-violating antiferromagnetic state in LaMnSi
[NO] 8/200 | GoTTA be Diverse: Rethinking Memory Policies for Test-Time Adaptation
[NO] 9/200 | GELATO: Multi-Material Topology Optimization of Programmable Gel-Elastomer Structures
[NO] 10/200 | A Hardware-Based Multi-Stage Dynamic Power Management Architecture for Autonomous Low-Light Operation
[NO] 11/200 | The first IXPE view of the eclipsing ADC source 4U 1822-37
[NO] 12/200 | Landscape-Awareness for Geometric View Diffusion Model
[NO] 13/200 | Divisibility of Trace Codes
[NO] 14/200 | A Framework for Evaluating Zero-Shot Image Generation in Concept-based Explainability
[NO] 15/200 | Unveiling Energetic Advantage in Superconducting Cat-Qubits Quantum Computation
[NO] 16/200 | Are Tools Always Beneficial? Learning to Invoke Tools Adaptively for Dual-Mode Multimodal LLM Reasoning
[NO] 17/200 | Coherent All-Optical Radio Frequency Phase Sensing Using Multiphoton Dressing and Interference
[NO] 18/200 | Auditing Privacy in Multi-Tenant RAG under Account Collusion
[NO] 19/200 | Domain-wall Quintessence
[NO] 20/200 | A Closed-loop, State-centric, Multi-agent Framework for Passenger Load Estimation from Heterogeneous Data Streams
[NO] 21/200 | Set-Valued Policy Learning
[NO] 22/200 | Spin Hall effect and Berry curvature of gravitons from quantum field theory
[NO] 23/200 | Performance of low vision individuals when selecting a target with head-pointing in virtual reality
[NO] 24/200 | Radiative depolarization of high-energy electron beams in wakefield accelerators
[NO] 25/200 | $φ^6$ at $6$ (and some $8$) loops in $3d$
[NO] 26/200 | Stitched Value Model for Diffusion Alignment
[NO] 27/200 | Proof of the absence of local conserved quantities in the Holstein model
[NO] 28/200 | Tweedie's Formulae and Diffusion Generative Models Beyond Gaussian
[NO] 29/200 | Swimming with Whales: Analysis of Power Imbalances in Stake-Weighted Governance
[NO] 30/200 | PiG-Avatar: Hierarchical Neural-Field-Guided Gaussian Avatars
[NO] 31/200 | Atoms of Thought: Universal EEG Representation Learning with Microstates
[NO] 32/200 | Band Structure and topology of a periodically deformed Kitaev honeycomb model
[NO] 33/200 | Long-term Power Grid Planning via Answer Set Programming
[NO] 34/200 | The OAPS solution: a real-time predictive system for flexible PWR operation
[NO] 35/200 | Comparing sliding-mode, bang-bang and linear-quadratic-Gaussian for steering an atomic clock
[NO] 36/200 | Caputo-Type Memory Invariants: A Fractional Generalization of the Cobb-Douglas Production Function
[NO] 37/200 | TideGS: Scalable Training of Over One Billion 3D Gaussian Splatting Primitives via Out-of-Core Optimization
[NO] 38/200 | Spectral classification of brown dwarfs using machine learning
[NO] 39/200 | Hamilton--Jacobi Reachability for Spacecraft Collision Avoidance
[NO] 40/200 | TrajTok: Adaptive Spatial Tokenization for Trajectory Representation Learning
[NO] 41/200 | Moment bounds on correctors for the degenerate random conductance model
[NO] 42/200 | Hermitian hull-variation of vector rank-metric codes and self-orthogonal generalized Gabidulin codes
[NO] 43/200 | Motivic Galois theory for one-loop Feynman integrals in momentum space
[NO] 44/200 | Face morphometric profiles of groups as early markers for certain diseases?
[NO] 45/200 | Neurosymbolic Learning for Inference-Time Argumentation
[NO] 46/200 | Introduction to Higher Order Classical Dynamics: Pais-Uhlenbeck Model and Coupled Oscillators
[NO] 47/200 | INSHAPE: Instance-Level Shapelets for Interpretable Time-Series Classification
[NO] 48/200 | On Performance and Limitations of NISQ Hardware for Simulations of Quantum Wave Packet Dynamics
[NO] 49/200 | Quantum Algorithms for Nonlinear Differential Equations via Pivot-Shifted Carleman Linearization
[NO] 50/200 | Tail Annealing for Heavy-Tailed Flow Matching
[NO] 51/200 | Text-to-SPARQL Generation with Reinforcement Learning: A GRPO-based Approach on DBLP
[NO] 52/200 | Renormalisation and invariants for two U(1)s
[NO] 53/200 | Automating proof search when equality is a logical connective
[NO] 54/200 | Zero cycles on Severi--Brauer flag varieties
[NO] 55/200 | PromptRad: Knowledge-Enhanced Multi-Label Prompt-Tuning for Low-Resource Radiology Report Labeling
[NO] 56/200 | OP2GS: Object-Aware 3D Gaussian Splatting with Dual-Opacity Primitives
[NO] 57/200 | Fourier Representations of Spectral Densities in Long-Memory Processes
[NO] 58/200 | Active Context Selection Improves Simple Regret in Contextual Bandits
[NO] 59/200 | A Note On The Lie-Amaldi Classification
[NO] 60/200 | A Nash Equilibrium Framework For Training-Free Multimodal Step Verification
[NO] 61/200 | CAMERA: Adapting to Semantic Camouflage in Unsupervised Text-Attributed Graph Fraud Detection
[NO] 62/200 | Quasihelix properties of selected Volterra Gaussian processes
[NO] 63/200 | GeoX: Mastering Geospatial Reasoning Through Self-Play and Verifiable Rewards
[NO] 64/200 | Locally Semi-Equitable Colourings of BIBDs
[NO] 65/200 | Newman--Penrose formalism in $3$-dimensional trans-Sasakian manifolds
[NO] 66/200 | Diversity-Aware Batch-Mode Active Learning for Efficient Sampling in Data-Driven Constitutive Modeling
[NO] 67/200 | Robust synchronization for multi-agent systems governed by PDEs with observable and unobservable disturbances
[NO] 68/200 | Beyond Binary Success: A Diagnostic Meta-Evaluation Framework for Fine-Grained Manipulation
[NO] 69/200 | Lee-Yang zeros and edge singularity in a mean-field approach
[NO] 70/200 | TravExplorer: Cross-Floor Embodied Exploration via Traversability-Aware 3-D Planning
[NO] 71/200 | World-Ego Modeling for Long-Horizon Evolution in Hybrid Embodied Tasks
[NO] 72/200 | Towards Fine-Grained Robustness: Attention-Guided Test-Time Prompt Tuning for Vision-Language Models
[NO] 73/200 | AffectVerse: Emotional World Models for Multimodal Affective Computing
[NO] 74/200 | Iterative Solution of the Kerr Black Hole Metric
[NO] 75/200 | Graph Neural Planning and Predictive Control for Multi-Robot Communication-Constrained Unlabeled Motion Planning
[NO] 76/200 | MMGS: 10$\times$ Compressed 3DGS through Optimal Transport Aggregation based on Multi-view Ranking
[NO] 77/200 | DEFLECT: Delay-Robust Execution via Flow-matching Likelihood-Estimated Counterfactual Tuning for VLA Policies
