[2026-04-17 10:09:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-16
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202604160000+TO+202604162359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[IEEE] 2026-4-16 | Title Page
[IEEE] 2026-4-16 | Differential Performance and Contextual Integrity in Speech Privacy
[IEEE] 2026-4-16 | Confidence-Aware Test-Time Adaptation for Fault-Resilient Sound Source Localization Guided by Lightweight Diagnosis
[IEEE] 2026-4-16 | Economic Impacts and Mitigation for the Grid Connected Electric Vehicle Charging: A Technical and Operational Overview
[IEEE] 2026-4-16 | Bayesian Deep-Learning Processor for Real-Time Bio-Applications With Structured Monte Carlo Dropout for High-Volume Sample Generation
[IEEE] 2026-4-16 | Learning to Generate Preferences for Multiobjective Deep Learning
[IEEE] 2026-4-16 | Hybrid Noise and Jamming Modulation: An Efficient Anti-jamming Perspective
[IEEE] 2026-4-16 | Theoretical Gain-Bandwidth Limit of Parametrically Tuned Electrically Small Receiving Antennas
[IEEE] 2026-4-16 | Efficient Incremental Updates for Encrypted Mobile Apps
[IEEE] 2026-4-16 | Evaluating the Impact of Jitter on Collaborative High-Speed Aerial and Railway Networks
[IEEE] 2026-4-16 | A Method for Slip Angle Estimation of Intelligent Tire System Based on Hierarchical Temporal Fusion Network
[IEEE] 2026-4-16 | 2025 3rd International Conference on Signal Processing and Intelligent Computing (SPIC)
[IEEE] 2026-4-16 | Additional Reviewers
[IEEE] 2026-4-16 | Preface: Committees
[IEEE] 2026-4-16 | Development of an SRAM Neutron Detector for Pulsed Fusion Experiments
[IEEE] 2026-4-16 | An Enhanced Multiple Intrusion Event Localization Algorithm Based on Dual MZ-Sagnac Optical Fiber Sensing Perimeter Security System
[IEEE] 2026-4-16 | Improving Out-of-Distribution Generalization on Point Clouds with Cross-Domain Adversarial Distillation
[IEEE] 2026-4-16 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks
[IEEE] 2026-4-16 | GeneralizGeneralizing Beyond Patterns: Dynamic Moment Query Recalibrating for Out-of-Distribution Video Temporal Localizationing
[IEEE] 2026-4-16 | Dual Representation Aggregation Network for Blind Image Super-Resolution via Iterative Bi-level Optimization
[IEEE] 2026-4-16 | Practical and Robust Privacy-Preserving K-Means Clustering Protocols With GPU Acceleration
[IEEE] 2026-4-16 | An Enhanced Elliptically-Deformed Folded Waveguide for E-Band Traveling Wave Tubes with Hot-Test Validation
[IEEE] 2026-4-16 | A Communication Failure and Cyber-Attack Resilient Wide-Area Out-of-Step Prediction Scheme Using Dynamic State Estimation
[IEEE] 2026-4-16 | Subarray-based Phase-less Angular Parameter Estimation for an Incoherently Distributed Source
[IEEE] 2026-4-16 | SwarmRouter: Obstacle-Avoiding Routing for Droplet Swarms on Active-Matrix Digital Microfluidic Biochips
[IEEE] 2026-4-16 | Co-Divide: Multi-Granularity Consistency Learning for Remote Sensing Image Retrieval under Severe Noisy Labels
[IEEE] 2026-4-16 | Cover Page
[ACM] 2026-4-16 | DTAC: Decision-Tree-based Automatic Configuration of Entangled DDoS Defense Policies
[IEEE] 2026-4-16 | Lightweight YOLO Architectures for Efficient Dog Emotion Classification
[IEEE] 2026-4-16 | Spatiotemporal Integrated Optimization of Intersection with Inner-Widened Short Lanes
[IEEE] 2026-4-16 | Preface to the Special Issue
[IEEE] 2026-4-16 | Average-Case Benchmarking of Optimizers With Environmental Impact Metrics
共写入 100 条记录，保存到 papers/paper2026-04-16.json。
论文获取成功，文件路径: papers/paper2026-04-16.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Title Page
[NO] 2/100 | Advanced Machine Learning Based Detection of Islanding Using Scalogram and Histogram of Oriented Gradient
[NO] 3/100 | 2025 IEEE IMC-SSGP
[NO] 4/100 | Weighted Exponential-Product Fusion and Recursive Bayesian Update for Multi-Radar Cooperative Target Recognition
[NO] 5/100 | Reinforcement Learning-Based Path Selection Over Self-Generated Time-Evolving Multi-Metric Graphs in Disaster Response Networks
[NO] 6/100 | IEEE Transactions on Biometrics, Behavior, and Identity Science Publication Information
[NO] 7/100 | Bremsstrahlung Emission in Graphene Nanoribbon for THz Generation
[NO] 8/100 | Buffer Management for Timely Reconstruction: Lower Bounds and Near-Optimal Policies
[NO] 9/100 | Event-Triggered Optimal Hybrid Control for Switched Nonlinear Multiagent Systems
[NO] 10/100 | A Dynamic Spatiotemporal Hybrid Attention Model for Metro Passenger Flow Prediction
[NO] 11/100 | Digital Twin Integrated Safe Deep Reinforcement Learning for Resilience Enhancement of Unbalanced Distribution Grids
[NO] 12/100 | Combined Design of Targeted Rotor-Step Skewing Schemes for Modulated Vibration Mitigation in Interior Permanent Magnet Synchronous Motors
[NO] 13/100 | 2025 IEEE International Conference on Distributed Ledger Technologies (ICDLT)
[NO] 14/100 | Capacities of Entanglement Distribution From a Central Source
[NO] 15/100 | Copyright Page
[NO] 16/100 | Special Issue for Selected Papers from EAPPC/BEAMS/EML 2026
[YES] 17/100 | Grant-Free NOMA in Cell-Free Massive MIMO Over Universal Filtered Multicarrier for mURLLC
[NO] 18/100 | Stress Assessment of Bridge Steel Based on Magnetic Memory Effect Measurement and Force-Magnetic Coupling
[NO] 19/100 | A Secure and Reliable Privacy-Preserving Authentication Protocol for UAV–UAV Communications in IoT Systems
[NO] 20/100 | A Generalized Design Methodology for Multi-Input Collaborative-Flip Synchronized Switch Harvesting on Capacitors: From Theory to Optimization Strategy
[NO] 21/100 | Robust PID Controllers with Measurement Filters for Arbitrary-order Uncertain Time-Delay Systems
[NO] 22/100 | Ubiquitous,Transparent,Security and Privacy: Challenges and Applications
[NO] 23/100 | Does Explicit Reasoning Improve Translation? Benchmarking Chain-of-Thought vs. In-Context Learning for Indonesian-English Language Pairs
[NO] 24/100 | Prediction of Javanese Language Usage Preference in Daily Life using Machine Learning
[NO] 25/100 | Does Bigger Mean Better? Comparative Analysis of CNNs and Biomedical Vision-Language Models in Medical Diagnosis
[NO] 26/100 | AI Corn Pest Detection via Leaf Damage
[NO] 27/100 | Reducing Accessibility Gap to Specialized M-LLMs with General-Purpose M-LLMs
[NO] 28/100 | HiveVeritas: An Explainable AI and Edgeoptimized Adaptive Fusion Framework for Maize Seed Vigor Prediction
[NO] 29/100 | On the Identification of Fractional Parameter-Varying Wiener Systems
[NO] 30/100 | Evolution of Explainable AI in Healthcare: Toward Trustworthy and Accurate Diagnostics
[NO] 31/100 | KSGraphLSTM-Based Dynamic Liquid Level Prediction for Oil Well Production Control Systems
[NO] 32/100 | An Explainable Hybrid Deep Learning Framework for DDoS Attack Detection in IoT
[NO] 33/100 | A Multimodal LLM-Agent for General-Purpose Video Editing with Adaptive Quality Feedback and Co-Creative Control
[NO] 34/100 | Recent Advances and Future Trends in Robot Manufacturing: A Comprehensive Review
[NO] 35/100 | Enhancing Phishing Detection Using an Ensemble Model and Hyperparameter Tuning
[NO] 36/100 | AI-Driven Foreign Object Debris (FOD) Detection on Airport Runways using Faster R-CNN
[NO] 37/100 | Explainable and Fairness-Aware AI for Housing Subsidy Allocation in Smart-City Governance
[NO] 38/100 | A Feedback-Enabled Seating Mat for Weight Shifting Training in Paraplegic Wheelchair Users
[NO] 39/100 | Design and Implementation of a Pressure Control Simulator for Water Distribution Systems Using Adaptive Fuzzy-PID
[NO] 40/100 | Advanced Machine Learning Methodologies for Semantic Understanding and Continuous Localization of Lane Boundaries in Driver Assistance Systems
[NO] 41/100 | Quickest Change Detection of Network Structure in Forest Ising Models
[NO] 42/100 | Compact Ultrawideband Antenna for Next-Generation Brain Machine Interfaces
[NO] 43/100 | The Impact of AI-Based Chatbots on Reducing Cart Abandonment in Indonesian E-Commerce
[NO] 44/100 | Comparative Study of BERT and Conventional NLP Models for Kannada News Categorization
[NO] 45/100 | Development of a Camera-Based Non-Contact Hand Rehabilitation Support System
[NO] 46/100 | Fuzzy Logic-Based Intelligent Conveyor Motor Control Using ESP32 and PLC Outseal
[NO] 47/100 | Artificial Intelligence in Slovak Higher Education: Perceptions and Patterns of Use among Students
[NO] 48/100 | 3D CNN with Multi-ROI Features for Alzheimer's Classification from Brain MRI
[NO] 49/100 | A Comprehensive Taxonomy and Dynamic Optimization Framework for Fuzzy C-Means Clustering
[NO] 50/100 | Interpretable Machine Learning in Guided Synthesis of Stable Sols Based on Nanosized Titanium Oxides
[NO] 51/100 | A Cyber-Security Framework for Behavior-Driven Ransomware Detection Using Graph Neural Networks on System Call Dependency Traces
[NO] 52/100 | Fire Detection System Using Deep Learning
[NO] 53/100 | Deep Learning-Based Ophthalmic Ultrasound Image Classification System for Assisted Diagnosis
[YES] 54/100 | Adaptive UAV-Assisted Signal Acquisition and Low-Latency Processing Framework for Distributed Measurement Systems
[NO] 55/100 | Building Competences in Artificial Intelligence and Learning Analytics for Personalized Teaching in Higher Education
[NO] 56/100 | Reducing Hallucination in LLMs via Monte Carlo Tree Search with Knowledge Graph Guidance
[NO] 57/100 | 4LM: Local Lightweight LLMs for Image Captioning on Embedded Systems
[NO] 58/100 | Data-Driven Prediction of Lithium-Ion Battery Rul and Capacity Using Health Indicators
[NO] 59/100 | Phase Change Materials for Enhanced Thermal Energy Storage in Building Applications
[NO] 60/100 | A Multi-Modal Dataset for NFT Recommendation Systems
[NO] 61/100 | Improved Current Quality in Two-Stage Small Wind Turbine: Full-Bridge Converter and Six-Arm Inverter
[NO] 62/100 | Effect of High Current Density Electrodeposition of Zn-Mn on Aluminum Air Battery Anode
[NO] 63/100 | Multiple Influences on the Future of Agricultural Product Drying in Agriculture: Regional Perspectives
[NO] 64/100 | Novel Approach to Achieve Multi-Dimensional View of DevOps Adoption in Tech Culture: From Legacy to Agility
[NO] 65/100 | Self-Steering Reduced-Complexity Adaptive Antenna Array for Global Navigation Satellite Systems
[NO] 66/100 | From Fragmentation to Trust: Standardizing Communication in Federated Learning
[NO] 67/100 | Implementation of a Cost-Effective Arduino UNO Based Drone for Agricultural Applications
[NO] 68/100 | Hair Artifact Removal in Dermoscopic Images using DWT and VAE-GAN
[NO] 69/100 | Generative Adversarial Network Assisted Feature Augmentation for Credit Scoring Enhancement
[NO] 70/100 | Differential Performance and Contextual Integrity in Speech Privacy
[NO] 71/100 | Confidence-Aware Test-Time Adaptation for Fault-Resilient Sound Source Localization Guided by Lightweight Diagnosis
[NO] 72/100 | Economic Impacts and Mitigation for the Grid Connected Electric Vehicle Charging: A Technical and Operational Overview
[NO] 73/100 | Bayesian Deep-Learning Processor for Real-Time Bio-Applications With Structured Monte Carlo Dropout for High-Volume Sample Generation
[NO] 74/100 | Learning to Generate Preferences for Multiobjective Deep Learning
[NO] 75/100 | Hybrid Noise and Jamming Modulation: An Efficient Anti-jamming Perspective
[NO] 76/100 | Theoretical Gain-Bandwidth Limit of Parametrically Tuned Electrically Small Receiving Antennas
[NO] 77/100 | Efficient Incremental Updates for Encrypted Mobile Apps
[YES] 78/100 | Evaluating the Impact of Jitter on Collaborative High-Speed Aerial and Railway Networks
[NO] 79/100 | A Method for Slip Angle Estimation of Intelligent Tire System Based on Hierarchical Temporal Fusion Network
[NO] 80/100 | 2025 3rd International Conference on Signal Processing and Intelligent Computing (SPIC)
[NO] 81/100 | Additional Reviewers
[NO] 82/100 | Preface: Committees
[NO] 83/100 | Development of an SRAM Neutron Detector for Pulsed Fusion Experiments
[NO] 84/100 | An Enhanced Multiple Intrusion Event Localization Algorithm Based on Dual MZ-Sagnac Optical Fiber Sensing Perimeter Security System
[NO] 85/100 | Improving Out-of-Distribution Generalization on Point Clouds with Cross-Domain Adversarial Distillation
[NO] 86/100 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks
[NO] 87/100 | GeneralizGeneralizing Beyond Patterns: Dynamic Moment Query Recalibrating for Out-of-Distribution Video Temporal Localizationing
[NO] 88/100 | Dual Representation Aggregation Network for Blind Image Super-Resolution via Iterative Bi-level Optimization
[NO] 89/100 | Practical and Robust Privacy-Preserving K-Means Clustering Protocols With GPU Acceleration
[NO] 90/100 | An Enhanced Elliptically-Deformed Folded Waveguide for E-Band Traveling Wave Tubes with Hot-Test Validation
[NO] 91/100 | A Communication Failure and Cyber-Attack Resilient Wide-Area Out-of-Step Prediction Scheme Using Dynamic State Estimation
[NO] 92/100 | Subarray-based Phase-less Angular Parameter Estimation for an Incoherently Distributed Source
[NO] 93/100 | SwarmRouter: Obstacle-Avoiding Routing for Droplet Swarms on Active-Matrix Digital Microfluidic Biochips
[NO] 94/100 | Co-Divide: Multi-Granularity Consistency Learning for Remote Sensing Image Retrieval under Severe Noisy Labels
[NO] 95/100 | Cover Page
[NO] 96/100 | DTAC: Decision-Tree-based Automatic Configuration of Entangled DDoS Defense Policies
[NO] 97/100 | Lightweight YOLO Architectures for Efficient Dog Emotion Classification
[NO] 98/100 | Spatiotemporal Integrated Optimization of Intersection with Inner-Widened Short Lanes
[NO] 99/100 | Preface to the Special Issue
[NO] 100/100 | Average-Case Benchmarking of Optimizers With Environmental Impact Metrics
筛选完成：共 100 篇；Yes = 3 篇；已保存到 papers/select_paper2026-04-16.json。
邮件发送成功！
[2026-04-17 10:33:31] 任务执行成功！
