[2026-09-08 13:13:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-07
正在获取论文...
[IEEE] 2026-9-7 | Bring the Vibes: Radar Measurement of PWM-Driven Vibrational UAV Signatures
[IEEE] 2026-9-7 | Promoting Adversarial Transferability Through Spectrum Enhancement
[IEEE] 2026-9-7 | ESG Investment Decisions and Incentive Contract for Improving Supplier ESG Performance: Platform Participation and Diversified Investment
[IEEE] 2026-9-7 | A Contrastive Paradigm for Representation Learning in Interactive Recommendation_supp1-3722877.pdf
[IEEE] 2026-9-7 | Achieving Large Memory Window and Area-Efficient FeFETs via Vertically Stacked Ferroelectric Gates
[IEEE] 2026-9-7 | DOA Estimation of Coherent Signals From a Single Moving Sensor: Time-Domain Multi-Sampling and Synthetic Aperture Convolution Kernel
[IEEE] 2026-9-7 | Decoupled Dual-Branch Framework for Open-Set Network Traffic Classification
[IEEE] 2026-9-7 | FMD-SQL: NL2SQL-as-a-Service for Financial Data Access
[IEEE] 2026-9-7 | Swarm Network-as-a-Service (SNaaS)
[IEEE] 2026-9-7 | Deontic Policies for Runtime Governance of Agentic AI Systems
[IEEE] 2026-9-7 | CognitiveContinuum: Intent-Aware Orchestration Using LLM and Fuzzy Logic
[IEEE] 2026-9-7 | Cloud-Based AI Approach for Low-Cost and Non-Invasive Coronary Heart Disease Risk Prediction
[IEEE] 2026-9-7 | RiDARNet: Efficient 3D LiDAR Cluster Based Deep Learning for Automated Road Damage Detection
[IEEE] 2026-9-7 | Multi-Tissue Gene Expression-Based Integration with Interpretable Machine Learning for Enhanced Type 2 Diabetes Prediction
[IEEE] 2026-9-7 | An 84.7-fs, −270.9-dB FoM
                    <sub>N</sub>
                    , 70-GHz PLL Using Harmonic-Boosting Quad-Core VCO and Self-Mixing Frequency Quadrupler in 65nm CMOS
[IEEE] 2026-9-7 | Compact Dual-Band HMSIW Filtering Power Divider Using Cascaded CSRRs
[IEEE] 2026-9-7 | A High-precision Terahertz Imaging Readout Circuitry Based on Chopper Stabilization and Third-Order ΣΔ Modulation
[IEEE] 2026-9-7 | System-Level Simulation and Experimental Validation for FMCW Vital-Sign Detection
[IEEE] 2026-9-7 | A Broadband, Low-Profile, Dual-Linearly Polarized Millimeter Wave Microstrip Antenna Array for 5G Millimeter Wave Communication System
[IEEE] 2026-9-7 | A Dual-Band Circularly Polarized Antenna with Large Frequency Ratio using Multi-Mode Impedance Redistribution Decoupling Method
[IEEE] 2026-9-7 | Centralized Wi-Fi Multi-link Operation for Low-Latency Fiber To The Room Networks
[IEEE] 2026-9-7 | A Ku-Band IF-Stage LNVGA with Low Gain and Phase Errors for 5G High-IF Millimeter-Wave Receivers in 65-nm SOI CMOS
[IEEE] 2026-9-7 | A Differential 2-bit Reflective Phase Shifter for Beam Scanning Reflectarrays
[IEEE] 2026-9-7 | A Phase-Modulated Metasurface for Wireless Power Transmission
[IEEE] 2026-9-7 | A 0.67-THz 1-D Radiation Source With 10-dBm EIRP in 65-nm CMOS
[IEEE] 2026-9-7 | A Dynamic Camouflage Metasurface Designed by Genetic Algorithm for Broadband Oblique Incidence
[IEEE] 2026-9-7 | A Quad-Polarized Reconfigurable Transmitarray with Beam-Scanning Capability
共写入 100 条记录，保存到 papers/paper2026-09-07.json。
论文获取成功，文件路径: papers/paper2026-09-07.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Bring the Vibes: Radar Measurement of PWM-Driven Vibrational UAV Signatures
[NO] 2/100 | Robust State Estimation under Coupled Maneuver and Non-Gaussian Measurement Uncertainties: A Hierarchical Decoupling Adaptive Fusion Approach
[NO] 3/100 | Robust Higher Order Control Barrier Functions for Shared Control and Vehicle Safety
[NO] 4/100 | Learning Convex Probabilistic Obstacle Spaces for Efficient Uncertainty-Aware Path Planning
[NO] 5/100 | Benchmarking Arabic Emotion Detection: Transformers Evaluation using a Unified Dataset
[NO] 6/100 | BESS-Aided Power Demand Reshaping for Distributed Green Edge Clouds
[NO] 7/100 | Transformer-Based Model for Wind Speed and Wave Spectrum Retrieval from SAR Image
[NO] 8/100 | A Comparative Study of CNN Optimization Methods for Edge AI: Exploring the Role of Early Exits
[NO] 9/100 | Quantifying Cross-Illumination Domain Shift in YOLO-Based Camera-Trap Wildlife Detection
[NO] 10/100 | Ada-Jelly: A Lightweight and Adaptive Subflow Sketch for High-Speed Network Monitoring
[NO] 11/100 | MLOD: Multi-Layer Ontology Descriptor
[YES] 12/100 | A Wideband Reconfigurable Intelligent Surface based on Magnetoelectric Dipole for Millimeter-wave Satellite Communications
[NO] 13/100 | An Optimisation Methodology for Functional Verification of Quantum Circuits Employing Symbolic Bit-Vector Abstractions
[NO] 14/100 | Picard: Phishing Intelligence Corpus for Artificial Intelligence Research and Defense
[NO] 15/100 | Self-Decoupled Microstrip Antenna via Substrate Manipulation with Reduced Cross-Polarization
[NO] 16/100 | A High Temperature Resistant Ridge Gap Waveguide Slot Antenna with High Heat Insulation
[NO] 17/100 | An 8.2 GHz 24 dBm 3.7° In-Cell Fast-Dual-Loop Self-Calibrated SCPA
[NO] 18/100 | Physics-Informed Active Reinforcement Learning for Pixelated FSS Inverse Design
[NO] 19/100 | REKV: Cross-Precision Model Switching with Persistent KV Cache Reuse for LLM Serving
[NO] 20/100 | Transferable Unsupervised Time Series Anomaly Detection with Mixture-of-Experts for Web Systems
[NO] 21/100 | TriSA: Tri-Type Hypergraph Semantic Alignment for Metaverse Service Paradigm and Recommendation
[YES] 22/100 | Quad-Beam Beam Scanning Reflectarray with Simultaneous and Independent Beam Control Enabled by a Frequency- and Polarization-division Reflective Phase-shifting Element
[NO] 23/100 | 100-Gb/s Photonic MMW Transmission In D-band with Kramers-Kronig Receiver Using Feedforward Neural-Network Digital Predistortion
[NO] 24/100 | Empowering the Next Generation: An Introduction to the IEEE ITSS Educational Activities Committee [Its Educational Activities]
[NO] 25/100 | Modeling and Analysis of Molecular Communication with Correlated Emission Patterns
[NO] 26/100 | Motion Trajectory Correction Method for Force Reproduction in a Robot System_supp8-3730734.mp4
[NO] 27/100 | RMoE: Redundancy-Removal Mixture of Experts for Lifelong Concept Learning_supp1-3724696.pdf
[NO] 28/100 | A Hybrid Data Assimilation and Physics-guided RNN Framework for Evapotranspiration and Gross Primary Productivity Estimation
[NO] 29/100 | M
                    <sup>3</sup>
                    RIS: Mutual Modulation Mamba Network for Referring Remote Sensing Image Segmentation
[NO] 30/100 | Subnetwork-Specific Distributed Speech Enhancement for Multiple Sources Using Acoustic Sensor Networks
[NO] 31/100 | RaJa-CLIP: Text-Guided Radar Jamming Recogni-tion
[NO] 32/100 | A Low-Complexity and High-Efficiency Tensor Train Decomposition Algorithm and VLSI Architecture Based on QR Decomposition
[NO] 33/100 | Neutralization of electrically charged insulating materials using various AC voltage waveforms
[NO] 34/100 | Research and Analysis on the Topology of a Four-Stage Electromagnetic Launch Circuit With Energy Recovery Mechanism
[NO] 35/100 | Dora: Online Scheduling of Dual-Model Inference and Retraining for Multi-View Edge Systems
[NO] 36/100 | Efficient Coverage Path Planning for a Decontamination Robot in Unknown Environments Using Reinforcement Learning
[NO] 37/100 | Dynamic Graph Neural Network for Real-Time Failure prediction in Industrial IoT Networks
[NO] 38/100 | A Novel Spatiotemporally-Regularized Latent Factorization of Tensors Model for Learning Accurate Dynamics from Temporal Sensing Networks
[NO] 39/100 | IEEE Wireless Communications Letters
[NO] 40/100 | Bayesian Integration of Nonlinear Incomplete Clinical Data_supp1-3730983.pdf
[NO] 41/100 | Method of Auxiliary Sources Combined with Gaussian-Weighted Nonuniform Sampling for EM Scattering From Rough Surfaces
[NO] 42/100 | PGDBNet: A Polarization-Guided Dual-Branch Network for Dual-Polarization SAR Road Extraction
[NO] 43/100 | UNet-SAR: Deep Learning for Simulating Synthetic Aperture Radar Sea Surface Roughness in Northwest Pacific Western Boundary Region
[NO] 44/100 | Diagnosing Chinese Legal LLMs Across Memorization, Understanding, and Application: The Newtouch-LawBench Benchmark
[NO] 45/100 | SCALER: LLM-Based Cross-Modal Alignment for Microservice Root Cause Analysis
[NO] 46/100 | Robust Privacy Unlearning for LLM Services via Adversarially Augmented Preference Optimization
[NO] 47/100 | An Ultra-Miniaturized Chip-level Low-Loss Wilkinson Power Divider Based on High-Q DGS Spiral Inductor on High-Resistivity Silicon
[NO] 48/100 | A Fourth-Order Asymmetrical Substrate Integrated Waveguide Filtering Crossover With Wide-Stopband Performance
[NO] 49/100 | StockRL: Execution-Grounded Reinforcement Learning for AI-Driven Portfolio Decision Support with Dual-Level Reward Models
[NO] 50/100 | Wild F.I.R.E. Sentry: A Connected Wildfire Intelligence and Risk Evaluation System
[NO] 51/100 | Security in Asynchronous Circuits: A Review of Side-Channel Attacks and Hardware Trojan Threats
[NO] 52/100 | Why Did the Agent Fail? Root Cause Analysis for Compositional AI Agents
[NO] 53/100 | Broadband Circular Polarization Dual-Antenna Design based on Sequential-Phase Feeding Network
[NO] 54/100 | Physics-Informed Structured Neural Network for Frequency-Scalable Behavioral Modeling
[NO] 55/100 | A Scalable 4×4 W-Band Phased-Array Transceiver with Vertical Multi-Layer Stub Achieving 38.3-dBm EIRP
[NO] 56/100 | Investigating the impact of transformer retrofilling with natural ester on the safety margins of the winding insulation under lightning impulse
[NO] 57/100 | Interactive Sphere Based on a Graph Marker Field
[NO] 58/100 | Efficient and Accurate Dynamic Phasor Estimation for P-and M-class Compliant PMUs
[NO] 59/100 | Thermal Wave Propagation in Silicone Rubber/Epoxy Resin Interfacial Air Gaps of Varying Thicknesses Using Active Infrared Thermography
[NO] 60/100 | Is Forecasting Accuracy Enough? A Comparative Study of Traffic Forecasters for Beam-Hopping LEO Satellite Networks
[YES] 61/100 | Long-Range Bluetooth Low Energy Detection via Drone-Based LoRa Relays for Search and Rescue Operations in Complex Terrain
[NO] 62/100 | GLOW: Graph-Language Co-Encoding for Agentic Workflow Performance Prediction
[NO] 63/100 | Dynamic Event-Triggered Control of Switched Singular Systems With Resilience to DoS and Stealthy False Data Injection Attacks
[NO] 64/100 | Real-time human hand tracking and detection from event camera data_supp1-3729077.mp4
[NO] 65/100 | Infrared and visible image fusion based on Gaussian weighted standard deviation filter
[NO] 66/100 | Cross-Modal Complementary Recovery with Normalizing Flows for Incomplete Multimodal Emotion Recognition
[NO] 67/100 | To Be a Truster or Not to Be: Evolutionary Dynamics of a Symmetric N-Player Trust Game in Well-Mixed and Networked Populations_supp1-3726798.pdf
[NO] 68/100 | A 1.1-GHz Tuning Range, High-Linearity, Power- and Area-Efficient Ring Oscillator for VCO-Based ADCs in FMCW LiDARs
[NO] 69/100 | Contrastive Learning with Intra-Recording Pairs for Small-Sample Underwater Acoustic Target Recognition
[YES] 70/100 | Reconfigurable Rasorber with Independently Tunable Windows for Two Polarizations
[NO] 71/100 | Risk-Averse Optimal Scheduling of Virtual Power Plants Considering PV-CCS Fluctuation Coupling
[NO] 72/100 | IEEE Transactions on Affective Computing
[NO] 73/100 | Online Scheduling of Thermostatically Controlled Loads: A Stepwise Reformulation Approach
[NO] 74/100 | Agentic Graph Retrieval-Augmented Generation for Auditable Commercial Registry Analysis
[NO] 75/100 | Promoting Adversarial Transferability Through Spectrum Enhancement
[NO] 76/100 | ESG Investment Decisions and Incentive Contract for Improving Supplier ESG Performance: Platform Participation and Diversified Investment
[NO] 77/100 | A Contrastive Paradigm for Representation Learning in Interactive Recommendation_supp1-3722877.pdf
[NO] 78/100 | Achieving Large Memory Window and Area-Efficient FeFETs via Vertically Stacked Ferroelectric Gates
[NO] 79/100 | DOA Estimation of Coherent Signals From a Single Moving Sensor: Time-Domain Multi-Sampling and Synthetic Aperture Convolution Kernel
[NO] 80/100 | Decoupled Dual-Branch Framework for Open-Set Network Traffic Classification
[NO] 81/100 | FMD-SQL: NL2SQL-as-a-Service for Financial Data Access
[NO] 82/100 | Swarm Network-as-a-Service (SNaaS)
[NO] 83/100 | Deontic Policies for Runtime Governance of Agentic AI Systems
[NO] 84/100 | CognitiveContinuum: Intent-Aware Orchestration Using LLM and Fuzzy Logic
[NO] 85/100 | Cloud-Based AI Approach for Low-Cost and Non-Invasive Coronary Heart Disease Risk Prediction
[NO] 86/100 | RiDARNet: Efficient 3D LiDAR Cluster Based Deep Learning for Automated Road Damage Detection
[NO] 87/100 | Multi-Tissue Gene Expression-Based Integration with Interpretable Machine Learning for Enhanced Type 2 Diabetes Prediction
[NO] 88/100 | An 84.7-fs, −270.9-dB FoM
                    <sub>N</sub>
                    , 70-GHz PLL Using Harmonic-Boosting Quad-Core VCO and Self-Mixing Frequency Quadrupler in 65nm CMOS
[NO] 89/100 | Compact Dual-Band HMSIW Filtering Power Divider Using Cascaded CSRRs
[NO] 90/100 | A High-precision Terahertz Imaging Readout Circuitry Based on Chopper Stabilization and Third-Order ΣΔ Modulation
[NO] 91/100 | System-Level Simulation and Experimental Validation for FMCW Vital-Sign Detection
[NO] 92/100 | A Broadband, Low-Profile, Dual-Linearly Polarized Millimeter Wave Microstrip Antenna Array for 5G Millimeter Wave Communication System
[NO] 93/100 | A Dual-Band Circularly Polarized Antenna with Large Frequency Ratio using Multi-Mode Impedance Redistribution Decoupling Method
[NO] 94/100 | Centralized Wi-Fi Multi-link Operation for Low-Latency Fiber To The Room Networks
[NO] 95/100 | A Ku-Band IF-Stage LNVGA with Low Gain and Phase Errors for 5G High-IF Millimeter-Wave Receivers in 65-nm SOI CMOS
[YES] 96/100 | A Differential 2-bit Reflective Phase Shifter for Beam Scanning Reflectarrays
[NO] 97/100 | A Phase-Modulated Metasurface for Wireless Power Transmission
[NO] 98/100 | A 0.67-THz 1-D Radiation Source With 10-dBm EIRP in 65-nm CMOS
[NO] 99/100 | A Dynamic Camouflage Metasurface Designed by Genetic Algorithm for Broadband Oblique Incidence
[NO] 100/100 | A Quad-Polarized Reconfigurable Transmitarray with Beam-Scanning Capability
筛选完成：共 100 篇；Yes = 5 篇；已保存到 papers/select_paper2026-09-07.json。
邮件发送成功！
[2026-09-08 13:42:09] 任务执行成功！
