[2026-03-13 09:34:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-12
正在获取论文...
[arXiv] 2026-03-12 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[arXiv] 2026-03-12 | PhiPlot: A Web-Based Interactive EDA Environment for Atmospherically Relevant Molecules
[arXiv] 2026-03-12 | Mitigating the Multiplicity Burden: The Role of Calibration in Reducing Predictive Multiplicity of Classifiers
[arXiv] 2026-03-12 | Semi-Synthetic Parallel Data for Translation Quality Estimation: A Case Study of Dataset Building for an Under-Resourced Language Pair
[arXiv] 2026-03-12 | Dimensional Scaling Laws for Continuous Fluid Antenna Systems
[arXiv] 2026-03-12 | Software-Hardware Binding for Protection of Sensitive Data in Embedded Software
[arXiv] 2026-03-12 | When OpenClaw Meets Hospital: Toward an Agentic Operating System for Dynamic Clinical Workflows
[arXiv] 2026-03-12 | Revisiting early afterglows of gamma-ray bursts with finite-thickness ejecta: Implications from XRF 080330 and GRB 080710
[arXiv] 2026-03-12 | Intrinsic violation of the Wiedemann-Franz law in interacting systems
[arXiv] 2026-03-12 | Weak integrability breaking perturbations in classical integrable models on the lattice
[arXiv] 2026-03-12 | The number of measures on very large measurable cardinals
[arXiv] 2026-03-12 | Mpemba Effect in Many-Body Systems Near Equilibrium
[arXiv] 2026-03-12 | Effective Degrees of Freedom for Balanced Repeated Replication and Paired Jackknife Variance Estimates: A Unified Approach via Stratum Contrasts
[arXiv] 2026-03-12 | Inverse $t$-source problem and a strict positivity property for coupled subdiffusion systems
[arXiv] 2026-03-12 | Cayley Commutator-free Methods for Krotov-Type Algorithms in Quantum Optimal Control
[arXiv] 2026-03-12 | Non-uniform $α$-Robust Alikhanov Mixed FEM with Optimal Convergence for the Time-Fractional Allen--Cahn Equation
[arXiv] 2026-03-12 | Experimental Demonstrations of Coherence de Broglie Wavelength for Scalable Superresolution with Near-perfect Fringe Visibility
[arXiv] 2026-03-12 | STAIRS-Former: Spatio-Temporal Attention with Interleaved Recursive Structure Transformer for Offline Multi-task Multi-agent Reinforcement Learning
[arXiv] 2026-03-12 | On the Unit Teissier Distribution: Properties, Estimation Procedures and Applications
[arXiv] 2026-03-12 | Causal Prosody Mediation for Text-to-Speech:Counterfactual Training of Duration, Pitch, and Energy in FastSpeech2
[arXiv] 2026-03-12 | From Control to Foresight: Simulation as a New Paradigm for Human-Agent Collaboration
[arXiv] 2026-03-12 | An Improved Interpolation Theorem and Disproofs of Two Conjectures on 2-Connected Subgraphs
[arXiv] 2026-03-12 | One-Shot Individual Claims Reserving
[arXiv] 2026-03-12 | QChunker: Learning Question-Aware Text Chunking for Domain RAG via Multi-Agent Debate
[arXiv] 2026-03-12 | OmniForcing: Unleashing Real-time Joint Audio-Visual Generation
[arXiv] 2026-03-12 | All-electrostatic valley qubit gates in tilted Dirac-Weyl semimetals
[arXiv] 2026-03-12 | VisDoT : Enhancing Visual Reasoning through Human-Like Interpretation Grounding and Decomposition of Thought
[arXiv] 2026-03-12 | Personalized Federated Learning via Gaussian Generative Modeling
[arXiv] 2026-03-12 | Upper bound of some character ratios and large genus asymptotic behavior of Hurwitz numbers
[arXiv] 2026-03-12 | Performance Evaluation of Open-Source Large Language Models for Assisting Pathology Report Writing in Japanese
[arXiv] 2026-03-12 | Radio Radiance Field: The New Frontier of Spatial Wireless Channel Representation
[arXiv] 2026-03-12 | Unsupervised LiDAR-Based Multi-UAV Detection and Tracking Under Extreme Sparsity
[IEEE] 2026-3-12 | An Adaptive Method Integrating Land Cover for Homogeneous Pixel Identification: alphaHTCI_supp1-3672127.pdf
[IEEE] 2026-3-12 | Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | PGA Scheme for MAR Maximization in IRS-assisted UAV NOMA Communication Systems
[IEEE] 2026-3-12 | An RSU-Assisted Trusted and Efficient Task Offloading Strategy for Vehicular Edge Computing
[IEEE] 2026-3-12 | Over-the-Air Transmission Aided Distributed Resource Block Allocation for Wideband Cell-Free Systems
[ACM] 2026-3-12 | Cultivating Connection: A Feasibility Study of Robot-Mediated Plant Care and Emotional Support for Older Adults
[ACM] 2026-3-12 | Understanding the Formation of Human-Robot Rapport to Facilitate Positive Long-Term Human-Robot Interaction
[ACM] 2026-3-12 | Do We Really Need a Robot Here? Exploring Stakeholders’ Voices in Human-Robot Interaction
[ACM] 2026-3-12 | Co-designing a Social Robot for Newcomer Children’s Cultural and Language Learning
[ACM] 2026-3-12 | Ghost in the Machine: Exploring Designed Fear in HRI
[ACM] 2026-3-12 | RelOrb: Relative Orbiting for Teleoperation
[ACM] 2026-3-12 | iSense Beyond: Multi-modal Haptic Guidance and Sensor Fusion for Enhanced Accessibility
[IEEE] 2026-3-12 | Automatic Mapping of AutomationML Files to Ontologies for Graph Queries and Validation
[IEEE] 2026-3-12 | A 6-DOF 3D-Printed Intelligent Robotic Manipulator for Automated Material Sorting (Feb 2026)
[IEEE] 2026-3-12 | An Improved Graph Kolmogorov Arnold Network based on Mixture of Experts and its application in the key variable Prediction of aero-engine casing manufacturing process
[IEEE] 2026-3-12 | AI-Enabled Human Activity Recognition: Bridging Contact-Based and RF-Based Contactless Sensing Paradigms — A Review
[IEEE] 2026-3-12 | Uncertainty-Aware Multimodal Anomaly Detection for Microservice Systems with Active Learning
[IEEE] 2026-3-12 | IEEE Security and Privacy Subscription
[IEEE] 2026-3-12 | SEFANet: Spectrum-Enhanced Feature Aggregation Network for Salient Object Detection in Hyperspectral Images
[IEEE] 2026-3-12 | FEMS-DETR: A Frequency-Enhanced Transformer for Object Detection in Remote Sensing Images
[IEEE] 2026-3-12 | Global Modeling Matters: A Fast, Lightweight and Effective Baseline for Efficient Image Restoration
[IEEE] 2026-3-12 | LearnMat: Semantic-Aware Self-Supervision Fine-Grained Visual Recognition
[IEEE] 2026-3-12 | Revisiting the Adversarial Transferability: Towards a Perspective of Semantic Preservation
[IEEE] 2026-3-12 | <i>Tiga:</i>
                    Autonomous Hybrid Active-Passive Communication for Ambient IoT System
[IEEE] 2026-3-12 | VR-Based Teleoperation Framework: Integration of Haptic Feedback and Singularity Management
[IEEE] 2026-3-12 | On the Efficiency of a Misspecified Contaminated Nonlinear Regression Model: Application to Time-Delay and Doppler Estimation
[IEEE] 2026-3-12 | Control of artificial ecosystems: A model for environment-entity regulation
[IEEE] 2026-3-12 | Real-Time Behavioral and Physiological Monitoring via mmWave Radar
[IEEE] 2026-3-12 | Green Clean Software Sustainability
[IEEE] 2026-3-12 | Tradeoffs in Energy Efficiency for Safety Supervisors for Adaptive Cruise Controllers
[IEEE] 2026-3-12 | A Comparative Finite Element Analysis of Lightweight Sandwich Structures for Packaging Applications
[IEEE] 2026-3-12 | Artificial Intelligence In Cognitive Impairment:Research Landscape and Emerging Fronts in Early Detection and Diagnosis
[IEEE] 2026-3-12 | Ensembled Deep Learning (DL) Methods for Detecting Skin Cancer Using CNN Algorithm with Multi Model
[IEEE] 2026-3-12 | Graph Your Way to Inspiration: Integrating Co-Author Graphs with Retrieval-Augmented Generation for Large Language Model Based Scientific Idea Generation
[IEEE] 2026-3-12 | Enhancing STEM Education Through an Augmented Reality-Integrated Hybrid Learning Model and Learning Management Systems
[IEEE] 2026-3-12 | An Idle-Stroke Underactuated Gripper with Independent Double-Parallelogram Linkages for Pinching and Adaptive Grasping*
[IEEE] 2026-3-12 | Design and Optimization of Multi-Stage WiFi Antenna Arrays at 2.45 GHz: A Comparative Study of Electrical and Radiation Performance
[IEEE] 2026-3-12 | Environment-Aware Channel Measurement and Modeling for Terahertz Monostatic Sensing
[IEEE] 2026-3-12 | A Preconditioned Hessian-Like Proximal Gradient Algorithm for Sparse ML-DOA Estimation
[IEEE] 2026-3-12 | Can Agentic AI Match the Performance of Human Data Scientists?
[IEEE] 2026-3-12 | CAGNet: HVI-based Dual-Path Underwater Image Enhancement
[IEEE] 2026-3-12 | Accelerating Machine Learning using RISC-V Vector Extension in a Manycore Platform
[IEEE] 2026-3-12 | LiC: Low-Cost Cache Replacement Algorithm for All Cache Levels
[IEEE] 2026-3-12 | Air Quality Prediction with Bi-Directional Gated Recurrent Unit (Bi-GRU)
[IEEE] 2026-3-12 | Multi-Rail Flyback Auxiliary Power Supply with 9–70V Input for Bidirectional DC-DC Converter Control
[IEEE] 2026-3-12 | Multi-Modal Latent Diffusion using Information Disentangling Autoencoders
[IEEE] 2026-3-12 | Bipolar Joint Energy: Energy-Based Multi-Label OOD Detection with Bipolar Networks
[IEEE] 2026-3-12 | Variable-Gain RISE Control for Human Upper-Limb Exoskeleton in Passive Rehabilitation
[IEEE] 2026-3-12 | Design and Validation of an Autonomous IoT Collar for Bovine Monitoring in the Bolivian Altiplano
[IEEE] 2026-3-12 | Mapping Research Trends in Extended Reality for Dementia and Cognitive Impairment
[ACM] 2026-3-12 | Towards a Child-Appropriate LLM for Child–Robot Conversation
[ACM] 2026-3-12 | How Neurotypical and Autistic Children Interact Nonverbally with Anthropomorphic Agents in Open-Ended Tasks
[ACM] 2026-3-12 | Designing Intuitive Human–Drone Interfaces for Post‑disaster Response
[IEEE] 2026-3-12 | Cover Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | A DC–65-GHz Modulator Driver With 4-V
                    <sub>ppd</sub>
                    Linear Output Swing for 112-GBaud Optical Transceivers in 180-nm SiGe BiCMOS
[IEEE] 2026-3-12 | A 4-Port 1×8 MIMO Antenna Array for 24 GHz Radars with Enhanced Gain and Isolation Using a Decoupling Metamaterial
[IEEE] 2026-3-12 | Phase Drifts and Signal Dispersion in Coaxial Cables
[IEEE] 2026-3-12 | Unlock the Potential of Large Language Models for Predictive Tabular Tasks in Data Science With Table-Specific Pretraining
[IEEE] 2026-3-12 | Optimization Design of Bearing Insulation for Traction Motors of High-Speed Trains under Overvoltage Impulses
[IEEE] 2026-3-12 | ICRNet: Semantic Segmentation of Remote Sensing Images Based on Integrating Global and Local Class Representations
[IEEE] 2026-3-12 | A Multi-Band Spectral Information and Multi-Scale Center-Guided Spatial Information Learning Framework for HSI Few-Shot Classification
[ACM] 2026-3-12 | Operationalizing Meaningful Human Control for Human-Robot Interface Design
[ACM] 2026-3-12 | LLM-Glasses: GenAI-Driven Glasses with Haptic Feedback for Navigation of Visually Impaired People
[ACM] 2026-3-12 | Conversational AI without the Cloud: A Lightweight, Local Dialogue Pipeline for Non-commercial Social Robots
[ACM] 2026-3-12 | Towards Understanding and Optimizing Social Comfort in Human-Robot Navigation
[ACM] 2026-3-12 | Goobo: A Multimodal, Context-Aware Dialogue Platform for Personalized Embodied Character Interaction
[ACM] 2026-3-12 | RBTLR: A Framework for Safe Social Robot Navigation in Novel Human-Centric Environments
[ACM] 2026-3-12 | Show Your Work: Mechanistic Transparency in LLM-Powered Human-Robot Interaction
[ACM] 2026-3-12 | A User Study on the Suitability of Teleoperation Interfaces for Primitive Manipulation Tasks
[ACM] 2026-3-12 | Bad Idea or Good Prediction? Comparing VLM and Human Anticipatory Judgment
[ACM] 2026-3-12 | Beyond the Novelty Effect: Mathematical Frameworks for Sustainable Robot-Assisted Habit Formation
[ACM] 2026-3-12 | A Comparative Assessment of the Social Robots Blossom and Miroka using ASAQ and ASOR
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | SCC 2025 Copyright Page
[IEEE] 2026-3-12 | Thermal Dispersive Variation in Quality Factor of Resonances for Broad and Multiband THz Absorber
[IEEE] 2026-3-12 | Redistribution Layer Routing for Fan-Out Wafer-Level Packaging Considering Multiple Advanced Design Rules
[IEEE] 2026-3-12 | Saliency-Aware Adversarial Attacks on Visual Trackers
[IEEE] 2026-3-12 | Surface Stress Characterization and Trends in Thermally Strengthened Photovoltaic Module Glass
[IEEE] 2026-3-12 | DynNet: A Lightweight Distributed Framework for Topology Obfuscation in Dynamic Networks
[IEEE] 2026-3-12 | Energy Management Strategy for Fuel Cell Hybrid Electric Vehicle Based on Driving Pattern Recognition with Fuzzy C-means Clustering
[IEEE] 2026-3-12 | A 134-MHz UGB Capacitorless GaN-Based LDO With Wide Load Range and High-Temperature Stability
[IEEE] 2026-3-12 | A comparative study of low-level jets in different climate regions in China using multi-site Doppler wind lidar observations_supp1-3672972.docx
[IEEE] 2026-3-12 | The True Cost of AI Assistance to Programming of Software
[IEEE] 2026-3-12 | Path Departure Risk Assessment and Hierarchical Longitudinal Control for Autonomous Mining Trucks
[IEEE] 2026-3-12 | Optimizing EEG Signal Quality and Streaming Performance in BCIs Using ADS1299EEG-FE
[IEEE] 2026-3-12 | Credit Risk early warning Research based on Multisource Heterogeneous Data
[IEEE] 2026-3-12 | Evaluating Urban Livability through Aesthetic and Environmental Index: A Spatial Framework for Bandung City
[IEEE] 2026-3-12 | A Comparative Study on Deep Learning Models for Facial Expression Recognition
[IEEE] 2026-3-12 | Financial Transmission Rights–Based Economic Instruments for Congestion Management in Electricity Markets
[IEEE] 2026-3-12 | FairSCOSCA: Fairness At Arterial Signals — Just Around The Corner
[IEEE] 2026-3-12 | Deep Learning-Based Estimation of Li-Ion Battery State of Charge: Comparative Analysis of CNN, LSTM, and GRU Approaches
[IEEE] 2026-3-12 | A Systematic Classification Study for Single-trial EEG-based Target Detection during RSVP Task
[IEEE] 2026-3-12 | AI Enhanced Data Privacy in Retail CRM Systems
[IEEE] 2026-3-12 | Inter-chip Clock Network Synthesis on Passive Interposer of 2.5D Chiplet Considering Transmission Line Effect
[IEEE] 2026-3-12 | IoT and AI-Based Approach for Smart Hydroponic pH Control and Lettuce Disease Detection
共写入 200 条记录，保存到 papers/paper2026-03-12.json。
论文获取成功，文件路径: papers/paper2026-03-12.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Rediscussion of eclipsing binaries. Paper XXIX. The F-type twin system BS Draconis
[NO] 2/200 | Cross-Context Review: Improving LLM Output Quality by Separating Production and Review Sessions
[NO] 3/200 | Comparison of Bar Formation Mechanisms. IIIA. The role of classical bulges in spontaneous bar formation
[NO] 4/200 | Cornserve: A Distributed Serving System for Any-to-Any Multimodal Models
[NO] 5/200 | Measurement-Induced State transitions in Inductively-Shunted Transmons
[NO] 6/200 | On Information Self-Locking in Reinforcement Learning for Active Reasoning of LLM agents
[NO] 7/200 | Human-Centred LLM Privacy Audits: Findings and Frictions
[NO] 8/200 | Spatiotemporal crystallization of an active fluid
[NO] 9/200 | Critical Unstable Qubits in Particle Physics
[NO] 10/200 | A Cloudy Fit to the Atmosphere of WASP-107 b
[NO] 11/200 | Dr. SHAP-AV: Decoding Relative Modality Contributions via Shapley Attribution in Audio-Visual Speech Recognition
[NO] 12/200 | HPC Containers for EBRAINS: Towards Portable Cross-Domain Software Environment
[NO] 13/200 | Frequentist Consistency of Prior-Data Fitted Networks for Causal Inference
[NO] 14/200 | Return of the technicolour
[NO] 15/200 | Assessing the robustness of amortized simulation-based inference to transient noise in gravitational-wave ringdowns
[NO] 16/200 | A Joint JSCC-Resource Allocation Framework for QoS-Aware Semantic Communication in LEO Satellite-based EO Missions
[NO] 17/200 | Efficient Generative Modeling with Unitary Matrix Product States Using Riemannian Optimization
[NO] 18/200 | Geometric inequalities and the Alexandrov-Bakelman-Pucci technique
[NO] 19/200 | Thermodynamic Descriptors from Molecular Dynamics as Machine Learning Features for Extrapolable Property Prediction
[NO] 20/200 | Deep Learning-Based Metamodeling of Nonlinear Stochastic Dynamic Systems under Parametric and Predictive Uncertainty
[NO] 21/200 | Sensitivity to Axion-like Particle dark matter with very-high-energy gamma-ray observations of Active Galactic Nuclei located behind Galaxy Clusters
[NO] 22/200 | Propagation of Two-Photon Zernike States in Atmospheric Turbulence
[NO] 23/200 | The twin-jet system in the FRII radio galaxy 3C 452: A sub-parsec scale VLBI study
[NO] 24/200 | Quantum simulation of Liouville equation in geometrical optics with partial transmission and reflection via Schrödingerization
[NO] 25/200 | LABSHIELD: A Multimodal Benchmark for Safety-Critical Reasoning and Planning in Scientific Laboratories
[NO] 26/200 | HomeSafe-Bench: Evaluating Vision-Language Models on Unsafe Action Detection for Embodied Agents in Household Scenarios
[NO] 27/200 | Multimodal Emotion Recognition via Bi-directional Cross-Attention and Temporal Modeling
[NO] 28/200 | Energy Prediction on Sloping Ground for Quadruped Robots
[NO] 29/200 | CHiL(L)Grader: Calibrated Human-in-the-Loop Short-Answer Grading
[NO] 30/200 | Resurfacing Paralinguistic Awareness in Large Audio Language Models
[NO] 31/200 | Exhaustive Circuit Mapping of a Single-Cell Foundation Model Reveals Massive Redundancy, Heavy-Tailed Hub Architecture, and Layer-Dependent Differentiation Control
[NO] 32/200 | SNAP-V: A RISC-V SoC with Configurable Neuromorphic Acceleration for Small-Scale Spiking Neural Networks
[NO] 33/200 | Fair Learning for Bias Mitigation and Quality Optimization in Paper Recommendation
[NO] 34/200 | Spin Model for Quantum Annealing with Kerr Parametric Oscillators
[NO] 35/200 | Overdamping of Neutron-Mirror-Neutron Transitions in Neutron Stars
[NO] 36/200 | Removable singularities of Yang-Mills-Higgs fields in higher dimensions
[NO] 37/200 | Indirect and Direct Multiuser Hybrid Beamforming for Far-Field and Near-Field Communications: A Deep Learning Approach
[NO] 38/200 | PicoSAM3: Real-Time In-Sensor Region-of-Interest Segmentation
[NO] 39/200 | EnTransformer: A Deep Generative Transformer for Multivariate Probabilistic Forecasting
[NO] 40/200 | Think While Watching: Online Streaming Segment-Level Memory for Multi-Turn Video Reasoning in Multimodal Large Language Models
[NO] 41/200 | Multi-branch Shell Models of Two-Dimensional Turbulence exhibit Dual Energy-Enstrophy Cascades
[YES] 42/200 | Beyond the Limits of Rigid Arrays: Flexible Intelligent Metasurfaces for Next-Generation Wireless Networks
[NO] 43/200 | Weak Solutions to the complex Monge-Ampère flows on compact Kähler manifolds : general measures on the right-hand side
[NO] 44/200 | ELISA: An Interpretable Hybrid Generative AI Agent for Expression-Grounded Discovery in Single-Cell Genomics
[NO] 45/200 | CreativeBench: Benchmarking and Enhancing Machine Creativity via Self-Evolving Challenges
[NO] 46/200 | You Told Me to Do It: Measuring Instructional Text-induced Private Data Leakage in LLM Agents
[YES] 47/200 | Multi-Station WiFi CSI Sensing Framework Robust to Station-wise Feature Missingness and Limited Labeled Data
[YES] 48/200 | Direct-to-Device Connectivity for Integrated Communication, Navigation and Surveillance
[NO] 49/200 | Origin and Propagation of Spin-orbit Torques in Pt/Co/Cu/NiFe/Capping Multilayers
[NO] 50/200 | Strong optical nonreciprocity in a photonic crystal composed of spinning cylinders
[NO] 51/200 | A Decade of Generative Adversarial Networks for Porous Material Reconstruction
[NO] 52/200 | Phase Retrieval using Nonlinear Curvature Sensing within Convergent Beams
[NO] 53/200 | Towards High-Fidelity CAD Generation via LLM-Driven Program Generation and Text-Based B-Rep Primitive Grounding
[NO] 54/200 | Large language models for optical network O&M: Agent-embedded workflow for automation
[NO] 55/200 | Energy dependence of the X-ray power spectrum in NGC4051 and NGC4395
[NO] 56/200 | Automated Detection of Malignant Lesions in the Ovary Using Deep Learning Models and XAI
[NO] 57/200 | Temperature-insensitive tunable and stable Fabry-Perot cavity for atomic physics
[NO] 58/200 | The impact of baryons on weak lensing statistics as a function of halo mass and radius
[NO] 59/200 | Uniqueness of imaginarity-assisted transformation from computationally universal to strictly universal quantum computation
[NO] 60/200 | RADAR: Closed-Loop Robotic Data Generation via Semantic Planning and Autonomous Causal Environment Reset
[NO] 61/200 | HiSync: Spatio-Temporally Aligning Hand Motion from Wearable IMU and On-Robot Camera for Command Source Identification in Long-Range HRI
[NO] 62/200 | Partitioning Israeli Municipalities into Politically Homogeneous Cantons: A Constrained Spatial Clustering Approach
[NO] 63/200 | The Carnot Bound: Limits and Possibilities for Bandwidth-Efficient Consensus
[NO] 64/200 | Language Generation with Replay: A Learning-Theoretic View of Model Collapse
[NO] 65/200 | A Further Efficient Algorithm with Best-of-Both-Worlds Guarantees for $m$-Set Semi-Bandit Problem
[NO] 66/200 | Enumerating All Directed Spanning Trees in Optimal Time
[NO] 67/200 | Causal Influence Maximization with Steady-State Guarantees
[NO] 68/200 | Modeling Trial-and-Error Navigation With a Sequential Decision Model of Information Scent
[NO] 69/200 | Comparison of Motivic Homotopy Theories
[NO] 70/200 | PhiPlot: A Web-Based Interactive EDA Environment for Atmospherically Relevant Molecules
