[2026-05-30 10:44:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-29
正在获取论文...
[ACM] 2026-5-29 | BeamFormer: Transformer-based Beam Management for 6G Networks
[IEEE] 2026-5-29 | Research on the Diagnosis and Localization Method of Cross-Bonding Cable Defects Based on Three-Phase Differential Frequency Excitation
[IEEE] 2026-5-29 | A Long-Range Detection Method for Blueberries Based on an Improved YOLOv11n Model
[IEEE] 2026-5-29 | On Enumerating Feasible Permutations for Rank Modulation Codes in DNA storage via Hyperplane Arrangements
[IEEE] 2026-5-29 | Optimizing Heat-Assisted Magnetic Recording Plasmonic Structures via Deep Generative Models
[IEEE] 2026-5-29 | Low-Earth Orbit Satellite Network Analysis with Random LOS and NLOS Channels
[IEEE] 2026-5-29 | EVDI++: Event-based Video Deblurring and Interpolation via Self-Supervised Learning
[IEEE] 2026-5-29 | Complementary Grid Forming: Inertia Gathered from Constrained Resources
[IEEE] 2026-5-29 | Machine Learning-Assisted Electro-Thermal Co-Optimization Framework for PDN in 3-D Integrated Microsystem With Embedded Microchannel Heatsink
[IEEE] 2026-5-29 | Nonlinear Optimal Control Beyond the Hamilton-Jacobi-Bellman Equation
[IEEE] 2026-5-29 | Thermal Aging Mechanisms and Dielectric Properties of Epoxy Resin Impregnated Bamboo Paper Composites
[IEEE] 2026-5-29 | Toughening Epoxy Resin for Low-Temperature Electrical Insulation in High Voltage Equipment
[IEEE] 2026-5-29 | Efficient and Reliable Index Modulation OTFS Framework for THz-ISAC Systems
[IEEE] 2026-5-29 | Implementation of a novel CT approach into a micro-PET scanner
[ACM] 2026-5-29 | As Far as Eye See: Vergence-Pupil Coupling in Near-Far Depth Switching
[IEEE] 2026-5-29 | Megatrends
[IEEE] 2026-5-29 | Space Datacenters
[IEEE] 2026-5-29 | Auditing the Invisible: Revolutionizing Anomaly Detection in IoT-Enabled Energy Markets
[IEEE] 2026-5-29 | Space Networks as a Service: A Plug and Play Approach
[ACM] 2026-5-30 | Reflection-in-the-Loop: An AI-Augmented Visual Environment for Early-Stage Interface Design
[ACM] 2026-5-29 | Temporal Changes in Oculomotor Workload Metrics during the Oral Reading of Character Strings
[ACM] 2026-5-29 | The Challenges of Eye-Tracking Visualization in Multi-User Collaboration
[ACM] 2026-5-29 | Constructing Machine Learning Features from Eye Movement Metrics: Feature Engineering Techniques for HCI Research
[ACM] 2026-5-29 | Expecting the unexpected: Eye-tracking surprisal and entropy in L1 and L2
[ACM] 2026-5-29 | Gaze-Based Automatic Scrolling for Readers Using Screen Magnification
[IEEE] 2026-5-29 | Long-horizon prediction of who quits : League of Legends as a case study
[IEEE] 2026-5-29 | HANeRV: Hierarchically Adaptive Neural Representation for Video Compression
[IEEE] 2026-5-29 | Robust Single-View Target Identification with Sparse Multi-Angle Polarimetric Data
[IEEE] 2026-5-29 | IEEE Transactions on Circuits and Systems for Artificial Intelligence Publication Information
[IEEE] 2026-5-29 | Room-Temperature Mid-Wave Infrared Guided Mode Resonance Photodetectors for Focal Plane Arrays
[IEEE] 2026-5-29 | Table of Contents
[IEEE] 2026-5-29 | Efficient DOA Estimation Based on Coprime Array Interpolation With Deep Unfolding Network
[IEEE] 2026-5-29 | Interactive $360 ^{\circ }$ Object Removal: A Coordinate Querying Approach via Spherical Normal Constraints and Learnable Wavelet Enhancement
[IEEE] 2026-5-29 | Doppler-Enhanced Angle of Arrival Estimation for Tracking Autonomous Localization of Errant UAVs
[ACM] 2026-5-29 | Reliable Metal Foreign Object Detection for Mobile Wireless Charging via Harmonic Fingerprinting
[ACM] 2026-5-29 | WheatScout: A Handheld Analyzer for Pre-Harvest Wheat Protein and Moisture Monitoring
[IEEE] 2026-5-29 | Detail Study of Loop Magnetic Antennas Operation for Underwater Communication
[ACM] 2026-5-30 | V-RECS: a NL2Vis Recommender for Chart Generation with Explanations, Captioning, and Suggestions
[ACM] 2026-5-30 | An Immersive Virtual Reality Interface for Archaeological Reconstruction
[ACM] 2026-5-30 | Rethinking Artistic Research in the Age of AI: New Frameworks, HCAI Practices, and Challenges
[ACM] 2026-5-30 | Temporal Augmentation for Remote AV Takeover: A Dual-Phase Evaluation of Replay-Buffered Interfaces
[ACM] 2026-5-30 | Evaluating AI Assistance in Human-in-the-Loop Scenographic Prop Authoring
[ACM] 2026-5-30 | Memorability of Greenhouse Gas Emissions in Virtual Reality: An Evaluation of Enactment and Quiz-Based Gamification
[ACM] 2026-5-29 | Behavioral Markers of Sustained Viewing in VR Museum Exploration: Head Stability, Gaze Dynamics, and Pupillary Response
[ACM] 2026-5-29 | When Machines Observe Architects
[ACM] 2026-5-29 | A Low-Power Distance-Based Approach to Gaze Classification in Pervasive Smart-Eyewear Eye Tracking
[ACM] 2026-5-29 | Cognitive Attention Map: Semantic Tokenization of Source Code via OCR-Based AOI Identification across Performance Levels
[ACM] 2026-5-29 | GazeVaLM: A Multi-Observer Eye-Tracking Benchmark for Evaluating Clinical Realism in AI-Generated X-Rays
[ACM] 2026-5-29 | Building Audio-Visual Digital Twins with Smartphones
[ACM] 2026-5-29 | GeoTwins: Uncovering Hidden Geographic Disparities in Android Apps
[ACM] 2026-5-29 | Hide-and-Sweep: Detecting Concealed Cameras via LED Illumination Sweeps
[ACM] 2026-5-29 | AutoRF: Towards an Agentic Framework for Automated RF Hardware Design
[ACM] 2026-5-29 | Ouroboros: Instilling Motion Awareness in ViTs for Efficient Video Analytics on the Edge
[IEEE] 2026-5-29 | Modeling of Conjugative- and Phage- Mediated CRISPR-based System against Antimicrobial Resistant Bacteria_supp1-3693402.pdf
[IEEE] 2026-5-29 | Safety-critical Dynamic Event-triggered Control of Self-organizing USV Swarms with Input Constraints via Reinforcement Learning
[IEEE] 2026-5-29 | Management of Dissipative and Uncertain Trust in a Digital Twin based Control System for the MASS
[IEEE] 2026-5-29 | Influence of Heat-Treatment on Magnetic Properties of Melt-Spun Fe-6.5wt.%Si Ribbons
[IEEE] 2026-5-29 | IEEE Career Center
[IEEE] 2026-5-29 | A Vertically Polarized Narrow Width High Gain Meander-Line Bidirectional Array Antenna Mounted on Large-Scale Metal Plane
[IEEE] 2026-5-29 | Zero-Shot Face Authentication in Multi-User Scenarios Using Mmwave Signals
[IEEE] 2026-5-29 | Wrench-Feasible Workspace Analysis of Mobile Cable-Driven Parallel Robot Considering both Tipping and Rotation Stability
[IEEE] 2026-5-29 | Using Robotics to Improve Transcatheter Edge-to-Edge Repair of the Mitral Valve
[IEEE] 2026-5-29 | A Fixed-Frequency Three-Level NPC-Based LCLC Resonant Converter With Inherent CC–CV Charging Capability
[IEEE] 2026-5-29 | Optimal Design of Electric Machines Based on Pareto-Guided Active Learning Surrogate Model
[IEEE] 2026-5-29 | IEEE Connects You to a Universe of Information!
[IEEE] 2026-5-29 | Optimising dry powder inhalers for lung deposition with a DRL CFD coupled framework
[IEEE] 2026-5-29 | Ultra-Steep-Slope and High-On/Off-Ratio P-Channel SnO Thin-Film Transistors via Monolithic Threshold-Switching Integration
[IEEE] 2026-5-29 | MGA-CLIP: A Multigranularity Attribution Framework for Cross-Modal Explainability in CLIP
[ACM] 2026-5-30 | Reconnecting Seniors with Blue Spaces: A Technology-Mediated Immersive Approach
[ACM] 2026-5-30 | Brainy: a Virtual Pet Encouraging Digital Wellbeing
[ACM] 2026-5-30 | Semantic Prompting: Agentic Incremental Narrative Refinement through Spatial Semantic Interaction
[IEEE] 2026-5-29 | The Industrial Revolution of the Intelligence Age
[IEEE] 2026-5-29 | Understanding Energy Megatrends: Drivers, Pathways, and Required Technologies
[IEEE] 2026-5-29 | The Open Source Bug Hunter: When Smaller Models Outperform the Giants at Finding Faults
[ACM] 2026-5-29 | Visual Attention and Cognitive Load in Text Relevance Assessment
[ACM] 2026-5-29 | Professional Vision in Early Childhood Education: Mobile Eye-Tracking in Educator–Child Interactions
共写入 100 条记录，保存到 papers/paper2026-05-29.json。
论文获取成功，文件路径: papers/paper2026-05-29.json
正在筛选、翻译并发送邮件...
[YES] 1/100 | BeamFormer: Transformer-based Beam Management for 6G Networks
[NO] 2/100 | Gaze Estimation from Optical Path Length using Neural Network Inversion
[NO] 3/100 | Who You Are is How You Look: Implicit User Identification by Comparing Actual Gaze with Personalized Saliency Maps
[NO] 4/100 | Cross-Modal Analysis of Typography Effects on Visual Attention based on TVA and Task-Evoked Pupillary Responses (TEPR)
[NO] 5/100 | JPEG Column: 109th JPEG Meeting in Nuremberg, Germany
[NO] 6/100 | In Memoriam: Richard A. Tapia (1939-2026)
[NO] 7/100 | Ground-Based GNSS-R Oil Spill Experiments: Methodology and Results
[NO] 8/100 | FASENet: A Frequency Aware and Shape Enhanced Deep Network for Mapping Farmland Ditch from High-Resolution Remote Sensing Imagery
[NO] 9/100 | Diffusion Graph Transformer for Learning Controllability Robustness in Large-Scale Networks
[NO] 10/100 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp2-3696300.mp4
[NO] 11/100 | High-Efficiency Laser Wireless Power Transfer System with Automatic Tracking for Smart Grids_supp1-3696300.mp4
[NO] 12/100 | BFRN-IoV: Blockchain and Fog-Enabled Route Navigation for Digital Twin-Based Internet of Vehicles
[YES] 13/100 | Opportunistic RIS-Assisted Transmission Scheduling for Multiuser Wireless Network via Binary Linear Programming
[NO] 14/100 | BIRCH-AE: A Hierarchical Ensemble Framework for Scalable E-Commerce User Segmentation with Autoencoder-Enhanced Feature Learning
[NO] 15/100 | MARTA: Multi-Person Activity Recognition With mmWave Based on Temporal Attention
[NO] 16/100 | Jointly Optimizing Migration and Offloading for Digital Twin-Enabled Internet of Vehicles
[NO] 17/100 | Energy-Efficient Task Allocation for Green Aerial Edge Computing Based on Metaverse Users: A Mean Field Game Approach
[NO] 18/100 | Passivity-Based Tracking Control of a Planetary Rover with Robotic Arm_supp1-3694402.mp4
[NO] 19/100 | Front Cover
[NO] 20/100 | Can Multipath TCP Congestion Control do better without adhering to its First Design Principle?
[NO] 21/100 | CAP: Detecting Network Device Misconfigurations with Context-Aware Prompting of LLMs
[NO] 22/100 | POMACS V10, N2, June 2026 Editorial
[NO] 23/100 | Optimized Real-Time Current Commutation Method for Concentric Winding Moving-Coil Maglev Planar Motor Based on Improved Active Set Algorithm
[NO] 24/100 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization_supp1-3691061.mp4
[NO] 25/100 | Glaucoma Diagnosis and Progression Prediction Based on Deep Multimodal Fusion and Collaborative Attention Mechanism
[NO] 26/100 | Research on the Diagnosis and Localization Method of Cross-Bonding Cable Defects Based on Three-Phase Differential Frequency Excitation
[NO] 27/100 | A Long-Range Detection Method for Blueberries Based on an Improved YOLOv11n Model
[NO] 28/100 | On Enumerating Feasible Permutations for Rank Modulation Codes in DNA storage via Hyperplane Arrangements
[NO] 29/100 | Optimizing Heat-Assisted Magnetic Recording Plasmonic Structures via Deep Generative Models
[NO] 30/100 | Low-Earth Orbit Satellite Network Analysis with Random LOS and NLOS Channels
[NO] 31/100 | EVDI++: Event-based Video Deblurring and Interpolation via Self-Supervised Learning
[NO] 32/100 | Complementary Grid Forming: Inertia Gathered from Constrained Resources
[NO] 33/100 | Machine Learning-Assisted Electro-Thermal Co-Optimization Framework for PDN in 3-D Integrated Microsystem With Embedded Microchannel Heatsink
[NO] 34/100 | Nonlinear Optimal Control Beyond the Hamilton-Jacobi-Bellman Equation
[NO] 35/100 | Thermal Aging Mechanisms and Dielectric Properties of Epoxy Resin Impregnated Bamboo Paper Composites
[NO] 36/100 | Toughening Epoxy Resin for Low-Temperature Electrical Insulation in High Voltage Equipment
[YES] 37/100 | Efficient and Reliable Index Modulation OTFS Framework for THz-ISAC Systems
[NO] 38/100 | Implementation of a novel CT approach into a micro-PET scanner
[YES] 39/100 | As Far as Eye See: Vergence-Pupil Coupling in Near-Far Depth Switching
[NO] 40/100 | Megatrends
[NO] 41/100 | Space Datacenters
[NO] 42/100 | Auditing the Invisible: Revolutionizing Anomaly Detection in IoT-Enabled Energy Markets
[NO] 43/100 | Space Networks as a Service: A Plug and Play Approach
[NO] 44/100 | Reflection-in-the-Loop: An AI-Augmented Visual Environment for Early-Stage Interface Design
[NO] 45/100 | Temporal Changes in Oculomotor Workload Metrics during the Oral Reading of Character Strings
[NO] 46/100 | The Challenges of Eye-Tracking Visualization in Multi-User Collaboration
[NO] 47/100 | Constructing Machine Learning Features from Eye Movement Metrics: Feature Engineering Techniques for HCI Research
[NO] 48/100 | Expecting the unexpected: Eye-tracking surprisal and entropy in L1 and L2
[NO] 49/100 | Gaze-Based Automatic Scrolling for Readers Using Screen Magnification
[NO] 50/100 | Long-horizon prediction of who quits : League of Legends as a case study
[NO] 51/100 | HANeRV: Hierarchically Adaptive Neural Representation for Video Compression
[NO] 52/100 | Robust Single-View Target Identification with Sparse Multi-Angle Polarimetric Data
[NO] 53/100 | IEEE Transactions on Circuits and Systems for Artificial Intelligence Publication Information
[NO] 54/100 | Room-Temperature Mid-Wave Infrared Guided Mode Resonance Photodetectors for Focal Plane Arrays
[NO] 55/100 | Table of Contents
[NO] 56/100 | Efficient DOA Estimation Based on Coprime Array Interpolation With Deep Unfolding Network
[NO] 57/100 | Interactive $360 ^{\circ }$ Object Removal: A Coordinate Querying Approach via Spherical Normal Constraints and Learnable Wavelet Enhancement
[YES] 58/100 | Doppler-Enhanced Angle of Arrival Estimation for Tracking Autonomous Localization of Errant UAVs
[NO] 59/100 | Reliable Metal Foreign Object Detection for Mobile Wireless Charging via Harmonic Fingerprinting
[NO] 60/100 | WheatScout: A Handheld Analyzer for Pre-Harvest Wheat Protein and Moisture Monitoring
[NO] 61/100 | Detail Study of Loop Magnetic Antennas Operation for Underwater Communication
[NO] 62/100 | V-RECS: a NL2Vis Recommender for Chart Generation with Explanations, Captioning, and Suggestions
[NO] 63/100 | An Immersive Virtual Reality Interface for Archaeological Reconstruction
[NO] 64/100 | Rethinking Artistic Research in the Age of AI: New Frameworks, HCAI Practices, and Challenges
[NO] 65/100 | Temporal Augmentation for Remote AV Takeover: A Dual-Phase Evaluation of Replay-Buffered Interfaces
[NO] 66/100 | Evaluating AI Assistance in Human-in-the-Loop Scenographic Prop Authoring
[NO] 67/100 | Memorability of Greenhouse Gas Emissions in Virtual Reality: An Evaluation of Enactment and Quiz-Based Gamification
[NO] 68/100 | Behavioral Markers of Sustained Viewing in VR Museum Exploration: Head Stability, Gaze Dynamics, and Pupillary Response
[NO] 69/100 | When Machines Observe Architects
[NO] 70/100 | A Low-Power Distance-Based Approach to Gaze Classification in Pervasive Smart-Eyewear Eye Tracking
[NO] 71/100 | Cognitive Attention Map: Semantic Tokenization of Source Code via OCR-Based AOI Identification across Performance Levels
[NO] 72/100 | GazeVaLM: A Multi-Observer Eye-Tracking Benchmark for Evaluating Clinical Realism in AI-Generated X-Rays
[NO] 73/100 | Building Audio-Visual Digital Twins with Smartphones
[NO] 74/100 | GeoTwins: Uncovering Hidden Geographic Disparities in Android Apps
[NO] 75/100 | Hide-and-Sweep: Detecting Concealed Cameras via LED Illumination Sweeps
[NO] 76/100 | AutoRF: Towards an Agentic Framework for Automated RF Hardware Design
[NO] 77/100 | Ouroboros: Instilling Motion Awareness in ViTs for Efficient Video Analytics on the Edge
[NO] 78/100 | Modeling of Conjugative- and Phage- Mediated CRISPR-based System against Antimicrobial Resistant Bacteria_supp1-3693402.pdf
[NO] 79/100 | Safety-critical Dynamic Event-triggered Control of Self-organizing USV Swarms with Input Constraints via Reinforcement Learning
[NO] 80/100 | Management of Dissipative and Uncertain Trust in a Digital Twin based Control System for the MASS
[NO] 81/100 | Influence of Heat-Treatment on Magnetic Properties of Melt-Spun Fe-6.5wt.%Si Ribbons
[NO] 82/100 | IEEE Career Center
[NO] 83/100 | A Vertically Polarized Narrow Width High Gain Meander-Line Bidirectional Array Antenna Mounted on Large-Scale Metal Plane
[NO] 84/100 | Zero-Shot Face Authentication in Multi-User Scenarios Using Mmwave Signals
[NO] 85/100 | Wrench-Feasible Workspace Analysis of Mobile Cable-Driven Parallel Robot Considering both Tipping and Rotation Stability
[NO] 86/100 | Using Robotics to Improve Transcatheter Edge-to-Edge Repair of the Mitral Valve
[NO] 87/100 | A Fixed-Frequency Three-Level NPC-Based LCLC Resonant Converter With Inherent CC–CV Charging Capability
[NO] 88/100 | Optimal Design of Electric Machines Based on Pareto-Guided Active Learning Surrogate Model
[NO] 89/100 | IEEE Connects You to a Universe of Information!
[NO] 90/100 | Optimising dry powder inhalers for lung deposition with a DRL CFD coupled framework
[NO] 91/100 | Ultra-Steep-Slope and High-On/Off-Ratio P-Channel SnO Thin-Film Transistors via Monolithic Threshold-Switching Integration
[NO] 92/100 | MGA-CLIP: A Multigranularity Attribution Framework for Cross-Modal Explainability in CLIP
[NO] 93/100 | Reconnecting Seniors with Blue Spaces: A Technology-Mediated Immersive Approach
[NO] 94/100 | Brainy: a Virtual Pet Encouraging Digital Wellbeing
[NO] 95/100 | Semantic Prompting: Agentic Incremental Narrative Refinement through Spatial Semantic Interaction
[NO] 96/100 | The Industrial Revolution of the Intelligence Age
[NO] 97/100 | Understanding Energy Megatrends: Drivers, Pathways, and Required Technologies
[NO] 98/100 | The Open Source Bug Hunter: When Smaller Models Outperform the Giants at Finding Faults
[NO] 99/100 | Visual Attention and Cognitive Load in Text Relevance Assessment
[NO] 100/100 | Professional Vision in Early Childhood Education: Mobile Eye-Tracking in Educator–Child Interactions
筛选完成：共 100 篇；Yes = 5 篇；已保存到 papers/select_paper2026-05-29.json。
邮件发送成功！
[2026-05-30 11:17:51] 任务执行成功！
