[2026-06-24 11:40:55] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-23
正在获取论文...
[arXiv] 2026-06-23 | Application of Deep Learning to Jet Charge Discrimination
[arXiv] 2026-06-23 | Towards Fast and Effective Long Video Understanding of Multimodal Large Language Models via Adaptive Quasi-Gaussian Sampling
[arXiv] 2026-06-23 | Initial-state-dependent dephasing effect in non-Hermitian Su-Schrieffer-Heeger models
[arXiv] 2026-06-23 | Project Ariadne: Prompt-Conditioned Route Generation for Synthesis Planning
[arXiv] 2026-06-23 | Widefield Spectroscopic Telescope (WST): coating strategy to achieve high optical throughput
[arXiv] 2026-06-23 | CORE-BREW: LLR-Based Soft Decoding for Robust Multi-Bit LLM Watermarking
[arXiv] 2026-06-23 | Differential Unfolding: Efficient Unfolding Reconstruction for Video Snapshot Compressive Imaging
[arXiv] 2026-06-23 | A Novel Arm-Length Stabilization Scheme for Gravitational-Wave Detectors with AlGaAs/GaAs Coated Mirrors
[arXiv] 2026-06-23 | Sat2City v2: Native 3D City Asset Generation from a Single Satellite Image
[arXiv] 2026-06-23 | Uniform Sampling from High-dimensional Spectral Norm Balls
[arXiv] 2026-06-23 | Bayesian analysis of Gaia epoch astrometry and radial velocities with kima
[arXiv] 2026-06-23 | Minimal Extensions of the $α$-Starobinsky Model: Reconciling ACT DR6 and Reheating Constraints
[arXiv] 2026-06-23 | Aligning MusicLLM with Emotion using Instruction Tuning and Feedback-Driven Alignment
[arXiv] 2026-06-23 | Bengal-HP_RU: A Dataset of Bengal People For Head Pose Estimation
[arXiv] 2026-06-23 | DoHFuse: A Dual-Branch Architecture with DMAGLSTM for Website Fingerprinting over DNS over HTTPS/3
[ACM] 2026-6-23 | Rethinking Prototype Fidelity in the Age of Generative AI: When High-Fidelity Becomes Cheap, It's Time to Revisit Our Foundational Design Wisdom
[ACM] 2026-6-23 | Like It or Not — Recommender Systems Lack a Coherent Normative Foundation
[ACM] 2026-6-23 | BengaliMoralBench: A Benchmark for Auditing Moral Reasoning in Large Language Models within Bengali Language and Culture
[ACM] 2026-6-23 | Reproducibility Report for the Paper: “Mathematical Modeling Framework for Comparison of Vaccination Strategies for Different Diseases”
[ACM] 2026-6-23 | Auditing LLM-Governed Social Robots with Culture-Specific Moral Gradients
[ACM] 2026-6-23 | Frictionless Love: Associations Between AI Companion Roles and Behavioral Addiction
[ACM] 2026-6-23 | With a Little Help From My Friends: Collective Manipulation in Risk-Controlling Recommender Systems
[ACM] 2026-6-23 | Humans-in-the-Contestability-Loop: Designing for Social Counselors to Understand and Challenge Algorithmic Decisions
[ACM] 2026-6-23 | What Do People Actually Want From AI? Mapping Preference Plurality
[IEEE] 2026-6-23 | RSTG: Robust Generation of High Quality Spatial Transcriptomics Data using Beta Divergence Based AutoEncoder_supp1-3703750.docx
[IEEE] 2026-6-23 | Physics-Shielded Deep Reinforcement Learning for Adaptive Emergency Frequency Control
[IEEE] 2026-6-23 | Table of Contents
[IEEE] 2026-6-23 | Preface
[IEEE] 2026-6-23 | Author Index
[IEEE] 2026-6-23 | Nonnuclear High-Energy Plasma Furnace With Hybrid Inductive and Electron-Capture Conversion
[IEEE] 2026-6-23 | Location-Aware Beam Allocation for Robust Beam Alignment in Low-SNR Environments
[IEEE] 2026-6-23 | Title Page iii
[IEEE] 2026-6-23 | A Hardware-Efficient Posit Fused Dot-Product Architecture with Lightweight Sigmoid and Tanh for RNN Inference
[IEEE] 2026-6-23 | 2026 Action Plan for YP Activities and Primary Focus Areas [Students and Young Professionals News]
[IEEE] 2026-6-23 | DRPplace: Reinforcement Learning-Based Hierarchical Geometric Placement with Polygon-Aware Whitespace Management
[IEEE] 2026-6-23 | Frequency Reconfigurable Circularly Polarized Resonator for Quantum Microwave Sensing
[IEEE] 2026-6-23 | TCNA: A Temporal Convolutional Network with Attention for Real-Time Multi-class ECG Classification at the Edge.
[IEEE] 2026-6-23 | User-Centered Development and Evaluation of an Energy Information System: Incremental System Instantiations using Design Science and Multi-Method Evaluation_supp6-3705235.pdf
[IEEE] 2026-6-23 | Wildfire Fire-Smoke Detection in UAV Imagery via Scale-Guided Feature Routing and Uncertainty-Aware Localization
[IEEE] 2026-6-23 | User-Centered Development and Evaluation of an Energy Information System: Incremental System Instantiations using Design Science and Multi-Method Evaluation_supp7-3705235.pdf
[IEEE] 2026-6-23 | Speech Intelligibility Prediction Inspired by Processing Auditory Information for Hearing-impaired Listeners
[IEEE] 2026-6-23 | Riemannian Optimization Framework on the Generalized Quaternionic Stiefel Manifold
[IEEE] 2026-6-23 | Delay-Attack-Resistant Byzantine Fault-Tolerant Secret Sharing for Distributed Privacy-Preserving Machine Learning_supp1-3701888.pdf
[IEEE] 2026-6-23 | Openhands: A Skeleton-Based Graph Convolutional Framework for Large-Scale Sign Language Recognition and LLM-Driven Sign Language Generation
[IEEE] 2026-6-23 | Affordable Autonomy in Practice: Two Use Cases
[IEEE] 2026-6-23 | SmartFusion-SLAM: From Passive Fusion to Temporal Uncertainty-Aware Sensor Adaptation in BEV SLAM
[IEEE] 2026-6-23 | A Unified CNN–Transformer–based Multi-Modal Framework for Deepfake and AI-Generated Social Engineering Attack Detection
[IEEE] 2026-6-23 | Hybrid Deep Learning Framework for Real-Time Shoe and ID Card Compliance Monitoring using YOLOv8 and MLP
[IEEE] 2026-6-23 | Fault Identification and Automatic Disposal of Network Operation and Maintenance Based on Deep Learning
[IEEE] 2026-6-23 | Cyberbullying Detection for Various Indian Regional Languages Using ERNIE-RNN Ensemble Model and XAI
[IEEE] 2026-6-23 | FaNet: A Frequency-Aware Multi-Scale Fusion Framework for Spatio-Temporal Action Detection
[IEEE] 2026-6-23 | Dense Neuro Fuzzy Transformer Framework for fMRI Based Autism Spectrum Disorder Diagnosis
[IEEE] 2026-6-23 | Fabrication of SiO
                    <sub>2</sub>
                    Microchannels Using Photoresist Dewetting for Sacrificial Cores
[IEEE] 2026-6-23 | Design and Implementation of a Li-Fi based Visible Light Communication System for High-Speed Indoor Wireless Data Transmission
[IEEE] 2026-6-23 | A Process-Aware Multi-Task U-Net Framework for Mixed Wafer Defect Localisation and Diagnosis in Semiconductor Manufacturing
[IEEE] 2026-6-23 | A Modular Deep Learning Pipeline for Real-Time Text-To-Sign Language Translation
[IEEE] 2026-6-23 | Optimizing FACTS Devices Placement Using PSO for Sustainable Energy Management
[IEEE] 2026-6-23 | Performance Analysis of Classical and Modern Cryptographic Algorithms: From Caesar to AES
[IEEE] 2026-6-23 | Feature-Centric Telemedicine NLP: A Survey of Datasets, Representations, and Selection Methods for Virtual Care
[IEEE] 2026-6-23 | Causal Digital Twin-Driven Emergency Material Demand Prediction for Post-Earthquake Disaster Management
[IEEE] 2026-6-23 | Evaluating Machine Learning Models for Sentiment Analysis in Marathi–English Code-Mixed and Script-Mixed Text
[IEEE] 2026-6-23 | Depression Detection using a Lightweight Transformer with SBERT
[IEEE] 2026-6-23 | Comparative Modeling and Efficiency Analysis of Inductive Power Transfer Converters (IPTCs) for E-Scooter Charging
[IEEE] 2026-6-23 | Corgi Dog Posture and Health Monitoring: A Multi-Task Framework Based on Improved YOLOv8
[IEEE] 2026-6-23 | Improved IE-MPC Based Fault-Tolerant Path Tracking Control for Autonomous Vehicle
[IEEE] 2026-6-23 | CNN and LSTM Based Early Detection Framework for Rhinoceros Beetle Infestation in Coconut Palms
[IEEE] 2026-6-23 | Real-Time Detection of Scratching Behavior in Patients Using Camera and Pose Estimation
[IEEE] 2026-6-23 | A Scalable IoT-Cloud Architecture for Wind Speed Prediction Leveraging LightGBM
[IEEE] 2026-6-23 | Centralized Monitoring System Using Computer Vision Smart Infrastructure
[IEEE] 2026-6-23 | Sustainable Incorporation of Marble Waste Enhanced with Additives in Construction Materials: A Comprehensive Review with Machine Learning Insights
[IEEE] 2026-6-23 | Multi-DOF Disturbance Rejection Motion Control Technology for Underwater Robots in Complex Operating Conditions
[IEEE] 2026-6-23 | BTFSO-WSN: A Blockchain-Integrated Fish Swarm Optimization–Driven Trust Model for Secure Routing in Wireless Sensor Networks
[IEEE] 2026-6-23 | Speech Emotion Recognition Using Additive Attention Integrated with Bidirectional Long Short Term Memory Model for Temporal and Contextual Feature Learning
[IEEE] 2026-6-23 | Enhancement of Dynamic Performance in Multi-Area Power Systems Using TCPS and SMES Units
[IEEE] 2026-6-23 | A Machine Learning–Driven Framework for High-Precision Crop Yield Prediction and Agricultural Decision Support
[IEEE] 2026-6-23 | An accurate health-monitoring method for IGBT power module in the traction system
[IEEE] 2026-6-23 | Evolutionary Gravitational Neocognitron Neural Network, Snow Leopard Optimization and Deep Graph Reinforcement Learning for Routing Protocol in WSN
[IEEE] 2026-6-23 | An Intelligent Ensemble-Based System for Chronic Kidney Disease Progression Prediction and Clinical Decision Support
[IEEE] 2026-6-23 | Lightweight Two-Stage Intrusion Detection System in IoT Networks
[IEEE] 2026-6-23 | Adaptive Hybrid Deep Learning Model for Accurate Solar Energy Estimation using Meteorological Data
[IEEE] 2026-6-23 | Lightweight Distributed Consensus for IoT Edge Systems: A Hierarchical, Energy-Aware Protocol
[IEEE] 2026-6-23 | Spiral-Drawing Analysis for Early Parkinson's Detection Using Image Processing and SVM Classification
[IEEE] 2026-6-23 | Multilingual Speech to Text Recognition System
[IEEE] 2026-6-23 | AGRO-AI: A Deep Learning and Multilingual Conversational System for Disease Detection in Guava and Dragon Fruit
[IEEE] 2026-6-23 | Deep Attention-Based Sequential Ensemble Learning for BLE-Based Indoor Localization in Care Facilities
[IEEE] 2026-6-23 | Research on Carbon Market Operation Decision Support System Based on Big Data and Computer Technology
[IEEE] 2026-6-23 | A Hybrid Deep Learning Framework for Wild Animal Detection and Intelligent Alerting using YOLOv11, Faster R-CNN, and MobileNetV3
[IEEE] 2026-6-23 | GrowWise SME: An AI-Driven Financial Advisory and Growth Support System using NLP
[IEEE] 2026-6-23 | Spatio-Temporal Logic-Enhanced Visual Detection Method for Real-Time Installation Progress Monitoring of Complex Equipment
[IEEE] 2026-6-23 | HS Code and Description Analyzer with RAG
[IEEE] 2026-6-23 | Architecture Design and Security Verification of a Multi-Chain Cross-Chain Bridge for Cross-Market Financial Asset Transactions
[IEEE] 2026-6-23 | YOLO-GE: A Lightweight Method for Object Detection in Remote Sensing Images
[IEEE] 2026-6-23 | Privacy-Preserving Federated Learning-based Passive CAPTCHA System for Human-Bot Detection in nAadhaar-like Web Portals
[IEEE] 2026-6-23 | Automated Bone Tumor Detection and Fracture Risk Assessment from X-Ray Images using Hybrid Deep Learning
[IEEE] 2026-6-23 | Neural Network-Based Object Localization in Turbid Media
[IEEE] 2026-6-23 | Development of 6.5kV/3kA IGBT-Based HVDC Sub-module with Energy Dissipation Function
[IEEE] 2026-6-23 | Intrusion Detection in Communication Networks Using Sparse Autoencoder Driven Graph Attention Networks
[ACM] 2026-6-24 | Lost Spirits: An Interactive Encounter with a Fractured Soul
[ACM] 2026-6-24 | A Compact Wideband Corrugated Patch 4×4 MIMO Antenna with High Isolation for Sub-6 GHz 5G Applications
[ACM] 2026-6-24 | Learning to See the Unseen: A Machine Learning Approach for Deepfake Detection
[ACM] 2026-6-23 | Advancing Regulation in Artificial Intelligence: An Auction-Based Approach
[ACM] 2026-6-23 | Into the Unknown: Accounting for Missing Demographic Data when Mitigating Ad Delivery Skew
[ACM] 2026-6-23 | An Iterative Calibration and Validation Methodology for Large-Scale Traffic Simulations in SUMO
[ACM] 2026-6-23 | Proceedings of the 40th ACM SIGSIM International Conference on Principles of Advanced Discrete Simulation
[ACM] 2026-6-23 | ATLAS: From Access conTrol Language to ACSL Specifications
[IEEE] 2026-6-23 | Range-Only SLAM: A Multihypotheses Extended Kalman Filter With Modulated Federated Information Sharing
[IEEE] 2026-6-23 | BIEFC-DS: Bio-Inspired Evolving Fuzzy Clustering for Data Streams_supp1-3705660.pdf
[IEEE] 2026-6-23 | Bundle Adjustment in the Eager Mode
[IEEE] 2026-6-23 | Identification for Weighted Matrices of Delayed Multi-layer Stochastic Complex Network with Lévy Noise
[IEEE] 2026-6-23 | Integrating Expert Knowledge into Logical Programs via LLMs
[IEEE] 2026-6-23 | User-Centered Development and Evaluation of an Energy Information System: Incremental System Instantiations using Design Science and Multi-Method Evaluation_supp2-3705235.pdf
[IEEE] 2026-6-23 | Memristor-Based Lightweight Meta Learning for Beam Prediction in Non-Stationary Environments
[IEEE] 2026-6-23 | Comparing the Wavelet Scattering Transform and 1D Convolutional Neural Networks for Drone Propeller Fault Classification
[IEEE] 2026-6-23 | EdgeCookie: A Mitigation Solution Against Threatening TCP DDoS Attack in Edge Cloud
[IEEE] 2026-6-23 | IEEE Transactions on Terahertz Science and Technology Information for Authors
共写入 200 条记录，保存到 papers/paper2026-06-23.json。
论文获取成功，文件路径: papers/paper2026-06-23.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Application of Deep Learning to Jet Charge Discrimination
[NO] 2/200 | Visualizing "We the People": Bridging the Perception Gap through Pluralistic Data Storytelling
[NO] 3/200 | The Warrant Gap: Claim-Conditioned Re-scoring for Fact-Checking
[NO] 4/200 | Privacy-Preserving RAG via Multi-Agent Semantic Rewriting: Achieving Confidentiality Without Compromising Contextual Fidelity
[NO] 5/200 | When CQs Go Wrong: Challenges in CQ Verification with OE-Assist
[NO] 6/200 | Dynamics and stability of inertial flexible chains under follower activity
[NO] 7/200 | Norm of infinite doubly stochastic matrices
[NO] 8/200 | To Compare, or Not to Compare: On Methodological Practices in Evaluating Social Bias
[NO] 9/200 | MEMPROBE: Probing Long-Term Agent Memory via Hidden User-State Recovery
[NO] 10/200 | Evolution of Stars During the Main Sequence and the Transition to the Red Giant Phase
[NO] 11/200 | EERLoss: A Novel Loss Function for Training Deep Biometric Models. A Case Study in Keystroke Dynamics
[NO] 12/200 | First evidence of $X(3872)\toπ^0χ_{c0}(1P)$ and search for $X(3915)\toπ^0χ_{c1}(1P)$
[NO] 13/200 | Anomalously long-delayed afterpulses in large-area photomultipliers
[NO] 14/200 | Jolia: Concept-Level Vision-Language Alignment for 3D CT Contrastive Learning
[NO] 15/200 | Multilevel Stochastic Plug-and-Play for Sparse-View CT Reconstruction
[NO] 16/200 | An observationally constrained probabilistic trigger for organized deep convection in an NWP ensemble
[NO] 17/200 | Quantum CT via Dynamic Interval Encoding and Prior-Balanced QUBO Reconstruction
[NO] 18/200 | Decomposition-Based Constructive Heuristics for the Linear Ordering Problem
[NO] 19/200 | Heterogeneous Knowledge Distillation via Geometry Decoupling and Momentum-Aware Gradient Regulation
[NO] 20/200 | Partial Wavelet Canonical Coherence for Nonstationary Signals with High Dimensional Confounders
[NO] 21/200 | Strong field lensing and shadows of $\boldsymbol{f(Q,\mathcal{B})}$ gravity black holes
[NO] 22/200 | Unified Position-Invariant Random Access Through Two Compression Layers via Absolute-Offset Coordinates: A Bit-Perfect Device-Resident Proof
[NO] 23/200 | AGORA: An Archive-Grounded Benchmark for Agentic Workplace Document Reasoning
[NO] 24/200 | No-deleting principle for two unitary copies
[NO] 25/200 | ICSpyLab: A Python package for invariant coordinate selection
[NO] 26/200 | Rigidity of McMullen Julia sets
[NO] 27/200 | What Do Flow-Based Inverse Solvers Approximate? A Posterior-Transport View
[NO] 28/200 | Dynamic Response Functions for Cavity Quantum Electrodynamics Hartree-Fock Theory
[NO] 29/200 | Asymptotics for Toeplitz operators with symbol and indicator function
[NO] 30/200 | More on Kashaev limits of the quantum $A$-polynomials
[NO] 31/200 | Red-Teaming the Agentic Red-Team
[NO] 32/200 | Well-posedness of the weakly singular Burton-Miller equation for Helmholtz transmission problems
[NO] 33/200 | CABS-flex standalone 3: an open command-line platform for protein flexibility simulation, peptide structure modeling, and protein-peptide docking
[NO] 34/200 | On the convex hull of a planar Brownian bridge with a random Gaussian endpoint
[NO] 35/200 | The Latent Bridge: A Continuous Slow-Fast Channel for Real-Time Game Agents
[NO] 36/200 | FT-WBC: Learning Fault-Tolerant Whole-Body Control for Legged Loco-Manipulation
[NO] 37/200 | Boosting Text-Driven Video Segmentation via Geometry-Aware Distillation
[NO] 38/200 | An LLM-based Two-Stage Transformer Framework for Cross-Domain Bearing Fault Diagnosis with Limited Data
[NO] 39/200 | Free-Space CV-QKD with Single-Mode Fiber Reception: Effective Coupling Statistics and Protocol-Dependent Reference Noise
[NO] 40/200 | Detecting AI Coding Agents in Open Source: A Validated Multi-Method Census of 180 Million Repositories
[NO] 41/200 | Beyond Logprobs: A Multi-Signal Confidence Engine for LLM-Based Document Field Extraction
[NO] 42/200 | Agentic AI for Bilevel Long-Term Optimization of Policy-Driven Physical Layer Systems
[NO] 43/200 | Cycle-Consistent Neural Explanation of Formal Verification Certificates
[NO] 44/200 | The Space Debris Tracking and Surveillance program of the IAC80 telescope
[NO] 45/200 | RE4: Transformation-aware Imitation of Object Interactions Using Manipulation Modes
[NO] 46/200 | Energy Poverty as a Structural Trap: The Role of Housing Efficiency and Non-Convex Technology
[NO] 47/200 | Discovery of a nebula associated with a high proper motion sdB star
[NO] 48/200 | Average Rankings Mask Per-Subject Optimality: A Friedman-Nemenyi Benchmark of EEG Motor-Imagery BCI Decoders
[NO] 49/200 | BRAVR: An AP-Assisted Online DRL Mechanism for Interactive VR Bitrate Adaptation over Wi-Fi
[NO] 50/200 | AutoSpecNER: A Fine-Grained Named Entity Recognition Dataset for Vehicle Specification Extraction
[NO] 51/200 | The Physics of Topological Defects in Glasses
[NO] 52/200 | On the Sharpness of Khovanskii's Bezout-type Bound for Pfaffian Functions
[NO] 53/200 | Intrinsic spectral structure of bipartite nonlocal magic resource
[NO] 54/200 | $p$-adic integrable systems: from biquadratic equations to local models
[NO] 55/200 | Multipartite synchronization residuals in driven-dissipative spin networks
[NO] 56/200 | Magnetized Coulomb crystals in neutron star crusts
[NO] 57/200 | PETRA: Transforming Web Text for Petroleum-Engineering Domain Adaptation
[NO] 58/200 | What Does ODRL Mean? A Cross-Level Ontological Grounding of Permissions, Prohibitions, and Duties in UFO-L
[NO] 59/200 | Managing Task Execution for Unknown Workloads in Batteryless IoT: A Hardware-Agnostic Evaluation
[NO] 60/200 | Wigner's Phase Space Current for Variable Beam Splitters -- Phase Space Rotations and Newtonian Trajectories
[NO] 61/200 | Transformer-Based Language Models Across Domain Verticals: Architectures, Applications and Critical Assessment
[NO] 62/200 | REDI-Match: Rotation-Equivariant Distillation for Efficient and Robust Dense Matching
[NO] 63/200 | Securing LLM-Agent Long-Term Memory Against Poisoning: Non-Malleable, Origin-Bound Authority with Machine-Checked Guarantees
[NO] 64/200 | Chinese Sunspot Drawings and Their Digitization-(VIII) Release of a Machine Readable Parameters Catalog
[NO] 65/200 | Thin accretion disks around a Schwarzschild acoustic black hole
[NO] 66/200 | PROTECT-90: A Fault Dataset for Power System Protection
[NO] 67/200 | ActiveScope: Actively Seeking and Correcting Perception for MLLMs
[NO] 68/200 | UniRED: Unified RGB-D Video Frame Interpolation with Event Guidance
[NO] 69/200 | How to~Peel Fully Convex Digital Sets
[NO] 70/200 | Equivariant Interpolations in Topological Holography
