[2026-05-22 11:40:35] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-21
正在获取论文...
[arXiv] 2026-05-21 | Information-Theoretic Decentralized Secure Aggregation with User Dropouts
[ACM] 2026-5-22 | Agent-Aided Design for Dynamic CAD Models
[ACM] 2026-5-22 | Scideator: Human-LLM Compound System for Scientific Ideation through Facet Recombination and Novelty Evaluation
[IEEE] 2026-5-21 | PathwayVis: Interactive Visualization of Decision Pathways in a Tree-Based Machine Learning Model
[IEEE] 2026-5-21 | Secure UAV-Assisted ISAC with Vehicular Jamming and Trajectory Optimization
[IEEE] 2026-5-21 | Software Procurement Duplicate Detection Using Fuzzy Matching and LLM Verification
[IEEE] 2026-5-21 | An Association Rule Based Approach to Analyze the Effect of Musical Rhythms and Brainwave Responses on Human Emotions
[IEEE] 2026-5-21 | Prefrontal EEG Signal-Based Insomnia Classification Using EMD and Hybrid Features
[IEEE] 2026-5-21 | Satellite-Based Modeling and Monitoring of Groundwater Storage Using Machine Learning
[IEEE] 2026-5-21 | Postpartum Health Monitoring for Rural Women
[IEEE] 2026-5-21 | A Dual-mode serial communication controller supporting both I
                    <sup>2</sup>
                    C and SPI protocols
[IEEE] 2026-5-21 | Artificial Intelligence for Teaching Social Theories and Decision Making: A Paradigm Shift in Pedagogical Fuzzy Models
[IEEE] 2026-5-21 | A Review of Different BLDC Motor Control Strategies in EV Application
[IEEE] 2026-5-21 | Automated Seizure Detection: A Hybrid Spatio-Temporal Architecture
[IEEE] 2026-5-21 | A Unified Downlink Multiple Access Framework: Bridging OMA, NOMA, and Rate-Splitting Transmission
[IEEE] 2026-5-21 | Intrusion Detection System Using Distributed Deep Learning: An Optimized Pipeline to Speed Up High-Dimensional Data Learning
[IEEE] 2026-5-21 | Deep Koopman Model Predictive Control for High-Precision Tracking of Delta Robots
[IEEE] 2026-5-21 | Lattice Based Cryptography Implementation in Blockchain Technology
[ACM] 2026-5-22 | ARA-MAC: An Adaptive Receiver Alignment MAC Protocol for Buoy-Based Ocean Monitoring Networks
[ACM] 2026-5-21 | Social Robotic Surveillance and Manipulation: How Pervasive Data Collection, Personalisation, and Robotic Influence Could Harm Robot Users and Society
[IEEE] 2026-5-21 | Author response for "Descriptor: LYNRED Mobility Dataset Multimodal Detection Subset (LYNRED-MDS)"
[IEEE] 2026-5-21 | Analog Variance Noise Modulation: Detection by Extended Rao-Blackwellized Particle Filtering
[IEEE] 2026-5-21 | DREAM-Mamba: Segmentation of VHR Remote Sensing Imagery Based on Dynamic Scanning and Adaptive Convolution
[IEEE] 2026-5-21 | navCLIP: A Novel CLIP-guided Drone Navigation Model
[IEEE] 2026-5-21 | Keynote Title
[IEEE] 2026-5-21 | CIPHER 2026 Cover Page
[IEEE] 2026-5-21 | QoE-Aware Multi-Representation Caching in Heterogeneous LEO Satellite–Edge Networks
[IEEE] 2026-5-21 | Sensorless Fault-Tolerant Control of Single-Stator Dual-Rotor Contra-Rotating PMSM
[IEEE] 2026-5-21 | Reliable Multi-View Clustering with Graph Neural Network
[IEEE] 2026-5-21 | Adaptive Mamba Network Guided by Mixture of Experts for Infrared and Visible Image Fusion
[IEEE] 2026-5-21 | Unique Window ESD Failure in LDMOS–SCR and Its Implication on Power-to-Fail Scalability
[IEEE] 2026-5-21 | Adaptive Model Predictive Control of Magnetic Suspension Flywheel Battery Based on Autonomous Decision-Making Mechanism
[IEEE] 2026-5-21 | Activity Monitoring System for Long-Term Care Bathrooms Using mm-Wave FMCW Radar
[IEEE] 2026-5-21 | Bilateral Neurodynamic-Reconstructed Olfactory Model for Agricultural Product Recognition in Electronic Noses_supp1-3693348.pdf
[IEEE] 2026-5-21 | Why We Need Ubiquitous and Pervasive Computing as a Research Community More Than Ever
[IEEE] 2026-5-21 | Shift-and-Add (SAdd): Hardware-Aware Channel Characterization with Polar NRZ Stimuli_supp1-3694993.pdf
[ACM] 2026-5-22 | Generating Expressive and Customizable Evals for Timeseries Data Analysis Agents with AgentFuel
[ACM] 2026-5-22 | Power Allocation for SNR Optimization in OCDM-Based Underwater Acoustic Communications
[ACM] 2026-5-22 | A Multi-Agent Reinforcement Learning-Based Adaptive Scheduling MAC Protocol for AUV Formation
[ACM] 2026-5-22 | TTQMAC: A Q-Learning-Based Adaptive TDD-TDMA MAC Protocol for Large-Scale Underwater Acoustic Networks
[IEEE] 2026-5-21 | Development of an Environmental Sensor System in the Life Mechatronics Symposium and its Use in Project-Based Learning
[IEEE] 2026-5-21 | Intelligent Scheduling of AI Tasks in Kubernetes
[IEEE] 2026-5-21 | Dagent: A Multi-Agent System for Device-Aware Assistance
[IEEE] 2026-5-21 | Explainable Heterogeneous Federated Learning for Intrusion Detection in IIoT
[IEEE] 2026-5-21 | Method for Identifying Changes Between Program Versions
[IEEE] 2026-5-21 | Tensor Methods Outperform Transformers: A Comprehensive Comparative Analysis of Knowledge Graph Link Prediction Methods
[IEEE] 2026-5-21 | Analysis of Lightweight CNN Models for Multi-Crop Leaf Disease Classification
[IEEE] 2026-5-21 | Nanotube Transistor Architectures: Device Physics and Scalability Perspective
[IEEE] 2026-5-21 | Comparative Evaluation of CNN Models for Maize Crop Disease Diagnosis
[IEEE] 2026-5-21 | A Task-Oriented Characterization of Benchmark Datasets for Predictive Maintenance of Rolling Bearings
[IEEE] 2026-5-21 | SPI based Secure Communication Framework for Industrial IoT
[IEEE] 2026-5-21 | GNN-Based Malware Detection in IoT Networks: An Attack Graph Approach
[IEEE] 2026-5-21 | Integrating Lean Healthcare Practices with Discrete-Event Simulation to Reduce Patient Waiting Time in Outpatient Clinics at a Sri Lankan Public Hospital
[ACM] 2026-5-21 | PerfBench: Can Agents Resolve Real-World Performance Bugs?
[IEEE] 2026-5-21 | Accurate and Efficient Equivalent Circuit Modeling for Single-Port SAW Resonators_supp1-3692761.pdf
[IEEE] 2026-5-21 | When Does Train-Time Masking Help? A Leakage-Controlled Robustness Audit of Tabular Classifiers Under Feature Missingness
[IEEE] 2026-5-21 | IEEE Transactions on Nuclear Science Publication Information
[IEEE] 2026-5-21 | Bearing-Only Tracking of Underwater Multiple Acoustic Sources Using Underwater Vehicles Under Latency and Packet Loss
[IEEE] 2026-5-21 | Brewster Blind Spot: Polarization-Dependent Fisher Information Collapse in Sub-THz Penetration Sensing
[IEEE] 2026-5-21 | Carrier-Based PWM Strategy of Three-Level Neutral-Point-Clamped Inverter with Optimal Extension Mode
[IEEE] 2026-5-21 | Securing the Sky: A Lightweight Authentication Protocol for Emergency UAVs
[IEEE] 2026-5-21 | Invariant Manifold Based Model-Free Predictive Control for PMSM Motor with Adaptive Time Constant
[IEEE] 2026-5-21 | Indistinguishability Analysis of JPEG Image Encryption Schemes
[IEEE] 2026-5-21 | IEEE Transactions on Ultraonsics Publication Information
[IEEE] 2026-5-21 | Quantification and Visualisation of Interpersonal Synchrony using Wearable Sensors: A Case Study on Autistic and Neurotypical Children
[IEEE] 2026-5-21 | Energy-Fair and Reliable Carrier-Sense Multiple Access for LoRaWAN
[IEEE] 2026-5-21 | Zero-Shot vs. Supervised: Evaluating Multilingual LLMs for 3R Content Moderation in Malaysia
[IEEE] 2026-5-21 | Energy Efficient Mono-Crystalline Solar Cell using blended dual layer as Anti-Reflective Coating
[IEEE] 2026-5-21 | A Novel Epileptic Seizure Detection Technique using Hybrid Convolutional-Spiking Neural Network
[IEEE] 2026-5-21 | Enhancing Land Registration System Using Blockchain Technology
[IEEE] 2026-5-21 | An Ensemble Hybrid Machine Learning Framework for Network Security Enhancement
[IEEE] 2026-5-21 | A Comprehensive Survey on Machine Learning and Deep Learning Approaches for Lung Disease Detection
[IEEE] 2026-5-21 | A Secure Affine Frequency Division Multiplexing System for Next-Generation Wireless Communications
[IEEE] 2026-5-21 | Introducing Optimization Techniques into Formal Verification for Faster Convergence and Reduced Runtime
[IEEE] 2026-5-21 | Deep Learning Based Framework for Automated Gray Scale Image Colorization
[IEEE] 2026-5-21 | Split-Ring Resonator-Based RF Detector for Wireless Communication Applications
[IEEE] 2026-5-21 | Towards Comprehensive Semi-Formal Verification of AMBA AHB/APB Interconnects: Configuration Coverage, Mutation Testing, and Safety-Aware Design-for-Verification
[IEEE] 2026-5-21 | Defected Ground Structure Antenna for Radio Frequency Identification (RFID) for IoT Applications
[IEEE] 2026-5-21 | Investigation of Linearity Performance in p-GaN Gate Enhancement-Mode High Electron Mobility Transistor
[IEEE] 2026-5-21 | Interpretable Emotion Detection in Social Media Using Deep Learning and Transformer-Based Models
[IEEE] 2026-5-21 | Designing a Locality-Aware Index for Prefecture-Level Recipe Recommendations
[IEEE] 2026-5-21 | Bridging the Robustness Gap: Stress-Testing Artificial Intelligence Algorithms
[IEEE] 2026-5-21 | Exact 1-Bit Precoding for MIMO System by Deep Learning-Based Branching Variable Selection
[ACM] 2026-5-22 | Willful Disobedience: Automatically Detecting Failures in Agentic Traces
[ACM] 2026-5-22 | Persuade Me if You Can: A Framework for Evaluating Persuasion Effectiveness and Susceptibility Among Large Language Models
[ACM] 2026-5-22 | OTFS-Based Underwater Acoustic Channel Estimation Algorithm
[ACM] 2026-5-22 | Improving the Classification of Humpback Whale Calls Using Multi-Modal Learning: Integration of Audio and Metadata
[IEEE] 2026-5-21 | Local Verification of Current-State Opacity and Static-State Opacity in Distributed Discrete-Event Systems
[IEEE] 2026-5-21 | Affiliate Plan of the IEEE Nuclear and Plasma Sciences Society
[IEEE] 2026-5-21 | Nine-year observation of Global Precipitation Particle Size Distribution and Radar Reflectivity
[IEEE] 2026-5-21 | State of Power Online Estimation for Series-Parallel Connected Lithium Titanate Battery Packs Considering Cell Inconsistencies and Branch Voltage Consistency Constraints
[IEEE] 2026-5-21 | High-Frequency Silicon Platelet Feedhorns for
                    <i>LiteBIRD</i>
共写入 200 条记录，保存到 papers/paper2026-05-21.json。
论文获取成功，文件路径: papers/paper2026-05-21.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Information-Theoretic Decentralized Secure Aggregation with User Dropouts
[NO] 2/200 | The Limitations of the Notion of `Observable' in Diffeomorphism-Invariant Models
[NO] 3/200 | An Evidence Hierarchy for Bayesian Object Classification via OSINT-Aided Heterogeneous Sensor Fusion
判定相关性时出错： <html>
<head><title>400 Bad Request</title></head>
<body bgcolor="white">
<center><h1>400 Bad Request</h1></center>
<hr><center>alb</center>
</body>
</html>
[NO] 4/200 | Harder to Defend: Towards Chinese Toxicity Attacks via Implicit Enhancement and Obfuscation Rewriting
[NO] 5/200 | A question on klt type varieties of Han and Jiang
[NO] 6/200 | D3Seg: Dependency-Aware Diffusion for Brain Tumor Segmentation with Missing Modalities
[NO] 7/200 | No Epoch Like the Present: Robust Climate Emulation Requires Out-of-Distribution Generalisation
[NO] 8/200 | Unlocking Proactivity in Task-Oriented Dialogue
[NO] 9/200 | An Architecture for Decentralised Deployment and Operation of Blockchain Applications
[NO] 10/200 | Beyond descendants: integrable observables for cohomological field theories
[NO] 11/200 | Silicate cosmic dust grain collisions in the interstellar medium: A molecular dynamics study
[NO] 12/200 | A Robust Semantic Segmentation Pipeline for the CVPR 2026 8th UG2+ Challenge Track 2
[NO] 13/200 | Towards a compositional semantics for quantitative confidence assessment in assurance arguments
[NO] 14/200 | GALAR-TemporalNet v2: Anatomy-Guided Dual-Branch Temporal Classification with Bidirectional Mamba and Dual-Graph GCN for Video Capsule Endoscopy -- after competition results
[NO] 15/200 | Zero-Shot Temporal Action Localization Through Textual Guidance
[NO] 16/200 | Reinforced Graph of Thoughts: RL-Driven Adaptive Prompting for LLMs
[NO] 17/200 | Quasi-Simultaneous Broadband Spectral Energy Distributions of a Sample of Fermi Blazars -- I. Correlation Results
[NO] 18/200 | LLM-Metrics: Measuring Research Impact Through Large Language Model Memory
[NO] 19/200 | Dark photon -- Assisted Primordial Magnetogenesis
[NO] 20/200 | IdleSpec: Exploiting Idle Time via Speculative Planning for LLM Agents
[NO] 21/200 | One Sentence, One Drama: Personalized Short-Form Drama Generation via Multi-Agent Systems
[NO] 22/200 | Psy-Chronicle:A Structured Pipeline for Synthesizing Long-Horizon Campus Psychological Counseling Dialogues
[NO] 23/200 | EventGait: Towards Robust Gait Recognition with Event Streams
[NO] 24/200 | Cross-Lingual Consensus: Aligning Multilingual Cultural Knowledge via Multilingual Self-Consistency
[NO] 25/200 | Beyond Pixels: Learning Invariant Rewards for Real-World Robotics From a Few Demonstrations
[NO] 26/200 | Effective User-defined Keyword Spotting with Dual-stage Matching, Multi-modal Enrollment, and Continual Adaptation
[NO] 27/200 | On defective spans of singular vector tuples beyond the boundary format
[NO] 28/200 | Diagonal Ramsey numbers for wheels
[NO] 29/200 | Self-Supervised ConvLSTM for Fermi Large Area Telescope Transient Detection
[NO] 30/200 | Full Turbulence Simulation of Channel Flow at $Re_τ \approx 1000$
[NO] 31/200 | On the Shafranov shift in stellarators
[NO] 32/200 | Competing incommensurability, electronic correlations, and superconductivity in a hybrid transition metal dichalcogenide
[NO] 33/200 | Quantifying Full-Body Immersion
[NO] 34/200 | Observation of magnetically switchable quantum geometric photocurrents
[NO] 35/200 | Revisiting the high-field phase diagram of the topological cubic helimagnet SrFeO$_{3}$
[NO] 36/200 | LACO: Adaptive Latent Communication for Collaborative Driving
[NO] 37/200 | BeLink: Biomedical Entity Linking Meets Generative Re-Ranking
[NO] 38/200 | Two photon decay width of the fully charmed tetraquarks: revisiting prospects for ultraperipheral collisions
[NO] 39/200 | A condensed proof of the pro-étale and étale exodromy theorems
[NO] 40/200 | Training-Free Fine-Grained Semantic Segmentations in Low Data Regimes: A FungiTastic Baseline
[NO] 41/200 | Represented Is Not Computed: A Causal Test of Candidate Algorithmic Intermediates in a Transformer
[NO] 42/200 | When Stronger Triggers Backfire: A High-Dimensional Theory of Backdoor Attacks
[NO] 43/200 | Implicit Regularization of Mini-Batch Training in Graph Neural Networks
[NO] 44/200 | Structured-Sparse Attention for Entity Tracking with Subquadratic Sequence Complexity
[NO] 45/200 | Lost in Tokenization: Fundamental Trade-offs in Graph Tokenization for Transformers
[NO] 46/200 | Reinforcement learning for ion shuttling on trapped-ion quantum computers
[NO] 47/200 | Reduced Dynamical Maps in Finite Temperature Vibronic Coupling Models via Choi Matrices: Numerical Methods and Applications
[NO] 48/200 | A Complete Characterization of Heron Triangles with Two Perfect Square Sides and the All-Square Equivalence Condition
[NO] 49/200 | Don't Forget the Critic: Value-Based Data Rehearsal for Multi-Cyclic Continual Reinforcement Learning
[NO] 50/200 | Transport Enhancement and In Situ Control of Electronic Correlation via Photoinduced Modulation Doping of van der Waals Heterostructures
[NO] 51/200 | A Constant-Time Implementation Methodology for Activation Functions on Microcontrollers
[NO] 52/200 | Characterizing the Fault Response of the Intel Neural Compute Stick 2 Under Single-Pulse Electromagnetic Fault Injection
[NO] 53/200 | Assisted Counterspeech Writing at the Crossroads of Hate Speech and Misinformation
[NO] 54/200 | A quick distributional way to reproduce some results of the Riemann zeta function
[NO] 55/200 | The inflation functor in pluripotential homological algebra
[NO] 56/200 | The Neglected Baseline in Model Interpretation
[NO] 57/200 | DeferMem: Query-Time Evidence Distillation via Reinforcement Learning for Long-Term Memory QA
[NO] 58/200 | Quantum invariants of flat 2-bundles over 3-manifolds
[NO] 59/200 | STARFIRE-2: Can we detect the global redshifted 21-cm signal from the cosmic dawn in Earth orbit?
[NO] 60/200 | Extrinsic characterizations of biconservative surfaces in the $4$-dimensional hyperbolic space
[NO] 61/200 | Nf-PEAK: Process-Based Energy Attribution for Nextflow Workflows on Kubernetes Clusters
[NO] 62/200 | The relative entropy of magic and its nonadditivity
[NO] 63/200 | Aggregation-Fragmentation Processes with Broken Detailed Balance
[NO] 64/200 | Multi-Stage Training for Abusive Comment Detection in Indic Languages
[NO] 65/200 | Towards Explainability of SLMs by investigating Token Level Activation
[NO] 66/200 | TimeGuard: Channel-wise Pool Training for Backdoor Defense in Time Series Forecasting
[NO] 67/200 | GazePrior: Zero-Shot AR/VR Eye Tracking via Learned 3D Gaze Reconstruction
[NO] 68/200 | Modeling Pathology-Like Behavioral Patterns in Language Models Through Behavioral Fine-Tuning
[NO] 69/200 | Spatiotemporal dynamics and ecological risk factors of highly pathogenic avian influenza A(H5N1) in Canadian wildlife: A One Health surveillance analysis
[NO] 70/200 | Departure from Regularity: Degree Heterogeneity and Eigengap as the Structural Drivers of ASE-LSE Latent Subspace Disagreement
[NO] 71/200 | Sibyl-AutoResearch: Autonomous Research Needs Self-Evolving Trial-and-Error Harnesses, Not Paper Generators
