[2026-09-01 13:51:08] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-31
正在获取论文...
[arXiv] 2026-08-31 | MURANO: Design, Run, and Reproduce Mechanistic Interpretability Experiments as Composable Pipelines
[arXiv] 2026-08-31 | DASC: Decay-Aware State Compression for Hybrid Linear-Attention Serving
[arXiv] 2026-08-31 | Optimal Transport of an Anisotropic Tracer in Dense Active Suspensions
[arXiv] 2026-08-31 | Beyond Consensus: Downward Bias and Role Asymmetry in Multi-Agent LLM Judges for Subjective Evaluation
[arXiv] 2026-08-31 | Auditing MCQA Benchmarks through Probability Landscapes
[arXiv] 2026-08-31 | MCSeg: Pre-training and Fine-tuning Volumetric Pyramid Transformer for Multi-modal Cardiac Image Segmentation
[arXiv] 2026-08-31 | Marginal spectral distributions on regular bipartite unitary orbits
[arXiv] 2026-08-31 | Augmenting Human Performance with an XR Agent Learning from Online Behavior and BCI Evidence
[arXiv] 2026-08-31 | Beat-Synchronous Tokenization for ECG Transformers
[arXiv] 2026-08-31 | Arctic Dispersion Interruption Phenomenon and Sound Source Depth Estimation
[arXiv] 2026-08-31 | Mean convergence for Banach space-valued random elements indexed in measure spaces
[arXiv] 2026-08-31 | Maximal anti-Ramsey problems for posets
[arXiv] 2026-08-31 | Beyond Ranking Accuracy: Evaluating LLM-Cited Feature Rationales for Next Basket Repurchase Recommendation
[arXiv] 2026-08-31 | Do Small Models Use the Law You Give Them? Measuring Context Use on a Bilingual Bangladesh Legal Benchmark
[arXiv] 2026-08-31 | Ignorance or Incompetence? Constructing Knowledge-Gated, Verifiable Tasks for LLM Agents
[arXiv] 2026-08-31 | Online Estimation of Dynamic Origin-Destination Matrices Using Reinforcement Learning with Link-Flow Propagation Guidance
[arXiv] 2026-08-31 | Update from Hell: Can Coding Agents Survive Hidden Breakage in Dependency Upgrades?
[arXiv] 2026-08-31 | Covariant formula for the driving force for interface migration
[ACM] 2026-8-31 | PDCA-MMA: A Multi-Agent Framework with Iterative Optimization for Multi-Modal Long Document QA
[ACM] 2026-8-31 | Hybrid Expert–Crowd Scoring Under Partial Observability: Constrained Vote Inference and Mechanism Benchmarking
[ACM] 2026-8-31 | A Bilateral Matching Method for Maximizing Incubator and Startup Satisfaction Based on Linear Weighted Integer Programming
[ACM] 2026-8-31 | Robust Scalar-on-Function Regression with Type-2 Fuzzy Systems: A Framework for Visual and Spectral Signal Analysis
[ACM] 2026-8-31 | An Improved Model for Substation Meter Defect Detection Based on Focal-EIoU and Flow-Aligned Feature Pyramid Network
[ACM] 2026-8-31 | MSAV schemes for the Navier-Stokes/Allen-Cahn system
[IEEE] 2026-8-31 | Secure Remote PPG-based Verification for mHealth under Heavy Facial Occlusion
[IEEE] 2026-8-31 | KD-Judge: A Knowledge-Driven Automated Judge Framework for Functional Fitness Movements on Edge Devices
[IEEE] 2026-8-31 | Area-Scalable Al/Cu/AlO
                    <sub>x</sub>
                    /TiN CBRAM Memristors via Thermal Evaporation: Electroforming Behaviour, Charge Transport, and Neuromorphic Characterization
[IEEE] 2026-8-31 | Design of a Dual Band Wearable Antenna with AMC for Biomedical Applications
[IEEE] 2026-8-31 | Research on Smart Tourism App Solution Design Based on DeepSeek Model Technology
[IEEE] 2026-8-31 | Emotion Detection Using Hybrid Deep Learning to Identify Mental Health Signals in Indonesian Social Media
[IEEE] 2026-8-31 | The Moderating Effect of Artificial Intelligence and Student Self-Regulated Learning in Distance Education
[IEEE] 2026-8-31 | Hybrid CNN-BiLSTM Model for the Enhancement of Social Sustainability in Manufacturing Supply Chains
[IEEE] 2026-8-31 | Electrical Miniaturization and Circular Polarization of a Wearable Textile Antenna Using Defected Ground Structures and Machine Learning Approach
[IEEE] 2026-8-31 | Automated Knee Osteoarthritis Grading via Compound-Scaled EfficientNetV2B0 with Attention-Based Feature Localization
[ACM] 2026-8-31 | Multi-disciplinary Perspectives on Defining Common Sense
[IEEE] 2026-8-31 | Existence of Critical Film Thickness in a Polymer Coated Surface Transverse Wave Resonator Gas Sensors
[IEEE] 2026-8-31 | ϵ-STAR: An ϵ-relaxed Adaptive Replica Placement Algorithm for Distributed File Systems in Dynamic Inter-Satellite Networks
[IEEE] 2026-8-31 | Airy beams for radiative near-field communications: Fundamentals, potentials, and limitations
[IEEE] 2026-8-31 | Hierarchical Dynamic Spectrum Sharing between Terrestrial Networks and Non-Terrestrial Networks
[IEEE] 2026-8-31 | A Framework for Battery Sizing in Fuel Cell-Dominated Powertrains: Dynamic Power Requirements and Efficiency Trade-Offs
[IEEE] 2026-8-31 | Flexible Multi-Level Optimal Transport for Universal Cross-Tokenizer Knowledge Distillation on LLMs and Beyond
[IEEE] 2026-8-31 | Title Page
[IEEE] 2026-8-31 | A Quantum Chirp Transform-Based Multi-Qubit Encoding Framework for Quantum-Inspired Image Transmission Over Error-Prone Channels
[IEEE] 2026-8-31 | Modeling, Analysis, Stability Enhancement and Optimal Parameter Design of Microgrid with Multiple Virtual Synchronous Machines in Source and Load
[IEEE] 2026-8-31 | 2025 18th International Symposium on Computational Intelligence and Design (ISCID)
[IEEE] 2026-8-31 | GA-EMDNet: Graph Attention-guided Eye Movement Detection Network from EMG Sensor signals
[IEEE] 2026-8-31 | Curriculum-GraphLLM: Joint Optimization of Architectures, Structures and Texts for Denoised Graph Neural Architecture Search
[IEEE] 2026-8-31 | Masthead
[IEEE] 2026-8-31 | All-Fiber Mid-Infrared Seeded-Amplifier Enabled by an All-Fluoride Pump-Signal Combiner
[IEEE] 2026-8-31 | Assessing the Applicability of Cybersecurity Classification Frameworks to Space Systems: A Comparative Structural Analysis
[IEEE] 2026-8-31 | Front Cover
[IEEE] 2026-8-31 | On Ankle-Foot Prostheses: An Introduction to Biomechanical Goals, Modern Design Principles, Device Evaluation, and Current Clinical Practice
[IEEE] 2026-8-31 | A Continuous Attitude Control Method for Shield Machines Based on Deterministic Policy Gradient
[IEEE] 2026-8-31 | Multi-scale Recursive Residual Modulation Network for efficient infrared Image Super-Resolution
[IEEE] 2026-8-31 | Empirical Performance Limits of Iterative Compressive Sensing for Wearable ECG: A Case for Adaptive Deep Unfolding
[IEEE] 2026-8-31 | A Layered Network Intrusion Detection Framework with Intelligent Classification and Guided Incident Response
[IEEE] 2026-8-31 | AI-Powered Real-Time People Counting for Smart Library Occupancy Monitoring
[IEEE] 2026-8-31 | Large-Model-Centered Teaching Reform for the Graduate Course Principles and Applications of Artificial Intelligence
[IEEE] 2026-8-31 | Investigating the Relationship Between Autonomous Driving System Disengagements and Crashes
[IEEE] 2026-8-31 | Breast Cancer Detection Using Deep Learning-Based Image Processing with ResNet-50 CNN
[IEEE] 2026-8-31 | Hybrid Fuzzy-Neural Model for Assessing and Enhancing EFL Learner Proficiency in Higher Education
[IEEE] 2026-8-31 | Improving Clinical Note De-identification via Post-NER Verification and Candidate Expansion
[IEEE] 2026-8-31 | Generalization and Text Length Bias in Deep Learning for Indonesian Fake News Detection
[IEEE] 2026-8-31 | Hypertext and Fragmentation: The Reshaping of Stream-of-Consciousness Literature in Distance Learning Environment
[IEEE] 2026-8-31 | Taming the Airwaves: Resilient Spectrum Sharing with BFT
[IEEE] 2026-8-31 | Prediction of Whirling Vibration Characteristic Parameters for Large Ship Propulsion Shafting Using Surrogate Models
[IEEE] 2026-8-31 | User-Centered Evaluation of an Interactive Multi-Model Image and Video Generation System
[IEEE] 2026-8-31 | Multi-Horizon IDX Composite Forecasting Using Tree-Based Ensemble and Bayesian Hyperparameter Optimization
[IEEE] 2026-8-31 | Automated Thoracic Disease Detection in Chest X-rays Using DenseNet
[ACM] 2026-9-1 | Construction of an Evaluation Model for University Fitness and Bodybuilding Courses Based on Multi-Source Data Fusion
[ACM] 2026-9-1 | Construction Method of Expressway Electromechanical Operation and Maintenance Knowledge Graph Based on Multi-source Heterogeneous Data Fusion
[ACM] 2026-9-1 | A Home Modular AI Stereoscopic Planting System
[ACM] 2026-9-1 | AI-Empowered Smart Teaching Framework and Learner Profiling in Engineering Education: An Empirical Study Based on K-means Algorithm
[ACM] 2026-9-1 | Wind-Solar-Hydro Storage Joint Operation Strategy Based on Improved Immune Particle Swarm Optimization Algorithm
[ACM] 2026-9-1 | Improved Single-Stage Semi-Supervised Multi-Task Learning Algorithm Based on Joint Pseudo-Label Optimization and Global-Local Constraints
[ACM] 2026-9-1 | Research on the Value Assessment Model of Civil Aviation Data Assets
[ACM] 2026-9-1 | ALBERT-TextCNN Based Grassroots Governance Topic Identification and Cultural Factor Analysis System for Social Media
[ACM] 2026-9-1 | Optimization and Efficiency Evaluation of Higher Education Teaching Process Based on Big Data Analysis
[ACM] 2026-9-1 | Fostering Teacher Collaborative Learning Communities via AI-Mediated Knowledge Sharing and Expert Matching
[ACM] 2026-9-1 | Application of Style Migration Algorithm in Environmental Architecture Design
[ACM] 2026-9-1 | Research on Korean Morphological Analysis and Part-of-Speech Tagging Method Based on Transformer Model
[ACM] 2026-9-1 | Driving Factors of Four-Chain Integration Open Innovation Ecosystems: An fsQCA and Random Forest Simulation Approach
[ACM] 2026-8-31 | An improved autofocusing method for lens-coupled Micro-CT
[ACM] 2026-8-31 | Research on the Application of Linear Algebra in Quantum Mechanics
[ACM] 2026-8-31 | Short-term Photovoltaic Power Prediction Based on HD-TCN-Attention-GRU
[ACM] 2026-8-31 | Rigid-Flexible Coupled Ascent Trajectory Optimization for Tethered Variable-Payload Firefighting UAVs
[ACM] 2026-8-31 | A Study on the Equal-Interval LogMAR Quantification Model for Counting Fingers (CF) Visual Acuity in Extremely Low Vision
[IEEE] 2026-8-31 | Speech-Based Concussion Detection Using CNNs: A Comparative Study of Acoustic Feature Representations for Digital Health Monitoring
[IEEE] 2026-8-31 | Traceability and Source Authority Guardrails for Agentic RAG-Based Financial Claim Verification
[IEEE] 2026-8-31 | University Students' Attitudes Toward Google Translate for English Speaking Practice
[IEEE] 2026-8-31 | Time Series Prediction for Industrial Park Electricity Consumption Under the Dual Carbon Goal Based on BiLSTM
[IEEE] 2026-8-31 | Fostering Occupational Cognition in Children: An LLM-Powered Multi-Agent Role-Playing Approach
[IEEE] 2026-8-31 | Hardware-Accelerated VLC-IoT System with FPGA-Based Data Acquisition for Smart Farming
[IEEE] 2026-8-31 | Transformer-Based Probabilistic Net Load Forecasting for Smart Grid Dispatch
[IEEE] 2026-8-31 | Neutrals Can Kill
[IEEE] 2026-8-31 | Energy-Efficient System-on-Chip Architecture for AIoT Applications Using Mixed-Signal Neuromorphic Accelerators
[IEEE] 2026-8-31 | HATE: An Explainable Hybrid Attention–Temporal Ensemble Framework for Early-Stage Ransomware Detection Using Kernel-Level File I/O Behaviour
[IEEE] 2026-8-31 | Student Perceptions of AI Accounting Tasks: A TAM-TTF Study in Indonesian Higher Education
[IEEE] 2026-8-31 | Healink: A Game-based Interactive Massage Device For Intergenerational Family
[IEEE] 2026-8-31 | Low-Temperature High-Wind Conditions: Vibration Suppression and Clamp-Zone Fretting Wear of a Stockbridge Damper-Conductor System
[IEEE] 2026-8-31 | Research on Emotionalization of Creative Products Based on Auspicious Culture: A Case Study of Mount Wutai
[IEEE] 2026-8-31 | Cyberbullying and Online Harassment Detection System Using Machine Learning
[IEEE] 2026-8-31 | Improving Students' Mathematical Proficiency in Trigonometry Through Artificial Intelligence Video
[IEEE] 2026-8-31 | A Deep Reinforcement Learning Method for Distribution Network Voltage Optimization Guided by Large Language Model
[IEEE] 2026-8-31 | SatBaco: Load-balanced and Latency-optimized Cooperative Service Migration for Satellite Computing
[IEEE] 2026-8-31 | HBM Errors at Scale: An Industrial Study
[IEEE] 2026-8-31 | Data Quality and Fairness in Federated Learning
[IEEE] 2026-8-31 | Customer Experience Analysis from Google Maps Restaurant Reviews Using LDA Based Topic Sentiment and SERVQUAL Benchmarking
[IEEE] 2026-8-31 | Software Defined Radio Technology For Transmitting Image In Smart Ambulance
[IEEE] 2026-8-31 | A Traditional Game from Kalimantan Indonesia, Bagapit Chess Engine Using Negamax Algorithm with Alpha Beta Pruning
[IEEE] 2026-8-31 | PAPR Reduction in OTFS Systems Using $\mu$-Law Companding with BER Analysis
[IEEE] 2026-8-31 | An Efficient and Interpretable Learning Approach for Large-Scale Histopathology Data
[IEEE] 2026-8-31 | Online Learning Based on Edge Computing: Concepts, Design and Applications*
[IEEE] 2026-8-31 | A Metaverse-Oriented Operational Framework for Digital Power Grids
[IEEE] 2026-8-31 | Android-Based Dietary Diversity Classification for Pregnant Women Using YOLOv11
[IEEE] 2026-8-31 | Study on Point Cloud Sampling and Compression for Collaborative Intelligence in Object Recognition
[IEEE] 2026-8-31 | Compact Parachute-Inspired 5G Antenna for NR n77, n78, and WiMAX Applications
[IEEE] 2026-8-31 | Roles of Grid Battery Energy Storage in Low-Carbon Electricity Generation System
共写入 200 条记录，保存到 papers/paper2026-08-31.json。
论文获取成功，文件路径: papers/paper2026-08-31.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | MURANO: Design, Run, and Reproduce Mechanistic Interpretability Experiments as Composable Pipelines
[NO] 2/200 | Higher Regularity of Time-Periodic Solutions to Nonautonomous Hyperbolic Problems: Away from Resonances
[NO] 3/200 | Marginal Coordinate Test for Fréchet Regression with Random Objects
[NO] 4/200 | Astrometric modeling of unresolved variable binary systems. II. Application to Gaia epoch astrometry of nearby pulsating and convective red giants
[NO] 5/200 | Deterministic Universal Logical Gates for Finite-Energy GKP Qubits in Trapped Neutral Atoms
[NO] 6/200 | REER-PT: Reverse-Engineered Reasoning for Perplexity-Guided Pre-training Data Augmentation
[NO] 7/200 | A model-inversion control strategy to attain desired equilibrium points when synthesizing nonlinear resonators
[NO] 8/200 | Time-delayed feedback turns Arrhenius escape logarithmic
[NO] 9/200 | Cost-efficient Active Learning for Referring Image Segmentation and Grounding
[NO] 10/200 | On the Nielsen realisation problem for cyclic groups of prime order
[NO] 11/200 | Not all those missing are lost: leveraging galaxy clustering in incomplete catalogs to unleash dark sirens cosmology
[NO] 12/200 | PLC-DPO: Posterior Label Correction in Noisy and Ambiguous Preference Optimization
[NO] 13/200 | Infinite Matrix Operators and $E$-Frames in Hilbert Spaces
[NO] 14/200 | Freezing of a deformable water-saturated porous medium. Part I: THM formulation, OpenGeoSys-6 implementation and benchmarking
[NO] 15/200 | An Abstract Index Theorem via Rees Algebras
[NO] 16/200 | Automated Testing of LLM-Based Post Hoc Explainers Using Model Checking as an Oracle
[NO] 17/200 | NS-UNO: Neutron Star EoS Inference from an Unconstrained Number of Observations
[NO] 18/200 | Long-Memory Estimation and Fractionally Integrated Modeling of White Maize Prices in Togo
[NO] 19/200 | SPHERE: Automatic Music Upmixing via Audio Language Model Post-Training with Spatial Heuristic Rewards
[NO] 20/200 | A note on markets with semi-static trading strategies
[NO] 21/200 | Strong law of large numbers for generalized operator means II
[NO] 22/200 | Maximally Spread Out Measures and Implications for Phase Transitions in Approximation Theory
[NO] 23/200 | Temperature Dependence of the Refractive Index for AlAsGaSb
[NO] 24/200 | Seeing the Unseen: Visual Similarity for Pixel Language Model Adaptation
[NO] 25/200 | Behavior-Skill: A Fine-Grained Benchmark for Evaluating Vision-Language-Action Policies in Long-Horizon Tasks
[NO] 26/200 | Brane effective actions and their island rule from $T\overline T$ flows
[NO] 27/200 | DiffPDE: Masked Diffusion Language Models as PDE Solver
[NO] 28/200 | WebWorld: The Browser as a World Model for Self-Improving Web Code
[NO] 29/200 | Local-to-Global Sentence-Level Graph Reranking for Scientific Synthesis
[NO] 30/200 | Beamforming Design Via GNN in mmWave Cell-Free Massive MIMO Using Sub-6 GHz CSI
[NO] 31/200 | Complex-gate all-optical frequency-resolved optical gating for ultrabroadband isolated attosecond pulse characterization
[NO] 32/200 | DINOspec: Efficient Multimodal Alignment of Vision and Spectral Foundation Models for Astronomy
[NO] 33/200 | Thermodynamic reconstruction in observationally constrained dynamical dark energy models
[NO] 34/200 | Sensitivity Hot Spot Penalization: A Robust Topology Optimization Framework against First-Order Worst-Case Perturbations
[NO] 35/200 | Bridge: Automatically Mining Ecosystem-Scale API Update Mappings and Client Update Instances
[NO] 36/200 | McKean-Vlasov Differential Equations: An introduction and a focus on some kinetic models
[NO] 37/200 | Measuring Memory and Generalization as Separable Geometric Channels: The Topo^2 Framework
[NO] 38/200 | Phosphorus abundances and multi-element co-enrichment in nearby FGK stars
[NO] 39/200 | Agents in the Large: Perception-Centered Architecture for Persistent Agents
[NO] 40/200 | Strengthening LargeRDFBench for Interoperable Federated SPARQL Evaluation
[NO] 41/200 | Self-Supervised Pretext Tasks for Infant Cry Analysis: A Controlled Comparison and a Cautionary Result on Donateacry
[NO] 42/200 | Coupling of two individual magnon resonators via a superconducting microwave resonator operating in the strong coupling regime
[NO] 43/200 | PRIME: Mitigating Subgroup Optimization Competition in Shared CTR Top Networks with Plug-in Residual Input-Conditioned Mixture of Expert
[NO] 44/200 | Derivation of a linearly elastic elliptic membrane shell theory in the framework of magnetoelasticity
[NO] 45/200 | ECLIPSE: Self-Evolving Stealthy Prompt Injection Attack against Long-Horizon Agentic Systems
[NO] 46/200 | Meson gravitational D-form factors and symmetry breaking in low-energy QCD
[NO] 47/200 | The Iterative Conception Reconsidered
[NO] 48/200 | Bias-Corrected Machine-Learning Estimation of Chiral Condensate Cumulants: A Retrospective Lattice QCD Case Study
[NO] 49/200 | Doc-REFRAG: Rethinking Multimodal Document Retrieval-Augmented Generation
[NO] 50/200 | Reinforcement Learning for Symbolic Equation Solving
[NO] 51/200 | Projection-Free Bandit Online Optimization for Multi-Agent Systems with Dynamic Regret
[NO] 52/200 | Multi-Domain Graph-Based Modeling of Energy Systems with Applications to Lithium-Ion Batteries
[NO] 53/200 | Rethinking Language's Role in Efficient VLA for Autonomous Vehicles: Toward Smarter, Trustworthy Driving
[NO] 54/200 | Superconductivity of Tellurium Polyhydride with Tc above 90K
[NO] 55/200 | High frequency wave propagation for the viscoelastic wave equation with singular memory
[NO] 56/200 | Verification-Aware Training for Speculative Decoding
[NO] 57/200 | R-equivalence of quandle colorings and inner automorphisms
[NO] 58/200 | Interception Conditions in Multi-Agent Pursuit Games Governed by Linear Dynamics with Gronwall-type Constraints
[NO] 59/200 | Structure-Preserving Detailed-Balance Master-Equation Discretizations for Fokker--Planck Equations
[NO] 60/200 | Constants of motion and fundamental frequencies for elliptic orbits at fourth post-Newtonian order: aligned-spin contributions
[NO] 61/200 | Signatures of inter-sideband coherence in the resonance fluorescence spectrum of an acoustically-modulated quantum dot
[NO] 62/200 | Free energy and phase transition for 2D directed polymers with critical spatial correlations
[NO] 63/200 | Context Staircase: Signature-Aligned Dynamics of Token Embeddings under Small Initialization
[NO] 64/200 | Exponential random graph models with soft clique constraints
[NO] 65/200 | WildSEEK: Evaluating Language Models for Information-Seeking
[NO] 66/200 | Superfluid memory effect
[NO] 67/200 | OntoAligner-Ensemble: Voting-Based Fusion across Heterogeneous Ontology Alignment Techniques
[NO] 68/200 | When Does Bigger Help? A Controlled Study of LLM Scale for Ontology Learning
[NO] 69/200 | The Dunkl two-photon/Schrödinger algebras and their applications
[NO] 70/200 | Resonant Dynamics of Gravitational Wave and Chiral Alfvén wave in the Early Universe
[NO] 71/200 | On the Prospects of Dynamic LLM Conversations in Software Development
[NO] 72/200 | $D \to (K π)_{\mathbf{27}}$ at the SU(3)-flavour-symmetric point I: Methodology and strong phase determination
[NO] 73/200 | Magnetohydrodynamics of charged interstellar dust. Multifluid models and study of the linear modes
