[2026-04-14 10:11:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-13
正在获取论文...
[arXiv] 2026-04-13 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[arXiv] 2026-04-13 | Relax: An Asynchronous Reinforcement Learning Engine for Omni-Modal Post-Training at Scale
[arXiv] 2026-04-13 | RLSpoofer: A Lightweight Evaluator for LLM Watermark Spoofing Resilience
[arXiv] 2026-04-13 | Time is Not a Label: Continuous Phase Rotation for Temporal Knowledge Graphs and Agentic Memory
[arXiv] 2026-04-13 | Decision-Aware Predictions for Right-Hand Side Parameters in Linear Programs
[arXiv] 2026-04-13 | The number of induced paths in outerplanar graphs
[arXiv] 2026-04-13 | Machine-learning modeling of magnetization dynamics in quasi-equilibrium and driven metallic spin systems
[arXiv] 2026-04-13 | EdgeCIM: A Hardware-Software Co-Design for CIM-Based Acceleration of Small Language Models
[arXiv] 2026-04-13 | Deep Learning for Sequential Decision Making under Uncertainty: Foundations, Frameworks, and Frontiers
[arXiv] 2026-04-13 | Lectures on AI for Mathematics
[arXiv] 2026-04-13 | METER: Evaluating Multi-Level Contextual Causal Reasoning in Large Language Models
[arXiv] 2026-04-13 | Quantization Dominates Rank Reduction for KV-Cache Compression
[arXiv] 2026-04-13 | Reparametrizing the relativistic Kepler equation: a bridge to Levi-Civita-type models
[arXiv] 2026-04-13 | TAG-Head: Time-Aligned Graph Head for Plug-and-Play Fine-grained Action Recognition
[arXiv] 2026-04-13 | Anthropogenic Regional Adaptation in Multimodal Vision-Language Model
[arXiv] 2026-04-13 | On the Complexity of the Discussion-based Semantics in Abstraction Argumentation
[arXiv] 2026-04-13 | Strong persistence index and fluctuations in colon powers of monomial ideals
[arXiv] 2026-04-13 | Helicity-supported stationary spacetimes: A class of finite-energy, horizonless, axisymmetric solutions
[arXiv] 2026-04-13 | $p$-variational capacity of interior condensers and geometric reduction by a fixed phase
[arXiv] 2026-04-13 | Optimization of cooling power of a thermoelectric refrigerator: A unified approach
[arXiv] 2026-04-13 | Think Before you Write: QA-Guided Reasoning for Character Descriptions in Books
[arXiv] 2026-04-13 | Characterizing the Impact of Congestion in Modern HPC Interconnects
[arXiv] 2026-04-13 | Exact Certification of Neural Networks and Partition Aggregation Ensembles against Label Poisoning
[arXiv] 2026-04-13 | From Dust to Planets -- A Chemical Perspective
[arXiv] 2026-04-13 | GS4City: Hierarchical Semantic Gaussian Splatting via City-Model Priors
[arXiv] 2026-04-13 | Asymptotic Throat: The Geometric Inevitability of Regular Black Holes
[arXiv] 2026-04-13 | Beyond Reconstruction: Reconstruction-to-Vector Diffusion for Hyperspectral Anomaly Detection
[arXiv] 2026-04-13 | Ru Alloying in Ni/Al Reactive Multilayers: Experimental Observations and Molecular Dynamics Simulations
[arXiv] 2026-04-13 | Extragalactic microlensing through Ultra Diffuse Galaxies
[arXiv] 2026-04-13 | Strain-Induced Curvature in Monolayer Graphene: Effects on Electronic Structure, Phonon Dynamics, and Lattice Thermal Conductivity
[arXiv] 2026-04-13 | The Turán number of the Cartesian product of a star and an edge
[arXiv] 2026-04-13 | Emulator-Assisted Nuclear DFT Inference and Its Consequences for the Structure of Neutron Stars
[arXiv] 2026-04-13 | Numerical analysis for the Stokes problem with non-homogeneous Dirichlet boundary condition
[arXiv] 2026-04-13 | Signal-Aware Conditional Diffusion Surrogates for Transonic Wing Pressure Prediction
[arXiv] 2026-04-13 | Invertible Diffusion for Low-Memory Channel Gain Map Construction in Wireless Communication Networks
[arXiv] 2026-04-13 | Sub-Riemannian Snakes on the Projective Line Bundle with Applications to Segmentation of SEM Images
[arXiv] 2026-04-13 | Variational Latent Entropy Estimation Disentanglement: Controlled Attribute Leakage for Face Recognition
[arXiv] 2026-04-13 | Observations of highly inclined disks with ALMA. Results from 12CO gas and continuum observations
[arXiv] 2026-04-13 | Knowledge on a Budget
[arXiv] 2026-04-13 | Magnetic Order of Dresselhaus-type Antiferromagnet EuIr$_4$In$_2$Ge$_4$ Studied by Single Crystal Neutron Diffraction
[arXiv] 2026-04-13 | RECIPER: A Dual-View Retrieval Pipeline for Procedure-Oriented Materials Question Answering
[arXiv] 2026-04-13 | Inclusive breakup reactions with non-spectator fragments: Generalization of the IAV sum rules
[ACM] 2026-4-13 | Session Summary Podcast: Session 104: HCAI and Collaboration
[ACM] 2026-4-13 | Session Summary Podcast: Session 27: Alternative Perspectives
[ACM] 2026-4-13 | Session Summary Podcast: Session 159: Non-visual and conversational experiences
[ACM] 2026-4-13 | Scaffolding Metacognition with GenAI: Exploring Design Opportunities to Support Task Management for University Students with ADHD
[ACM] 2026-4-13 | Forage: Understanding LLM-facilitated sensemaking of conversation data
[ACM] 2026-4-13 | Session Summary Podcast: Session 130: LLM Interaction &amp; Conversational Agents
[ACM] 2026-4-13 | Modeling Sequential Design Actions as Designer Externalization on an Infinite Canvas
[ACM] 2026-4-13 | Sona: Towards Context-Aware, Real-Time Personalization of Acoustic Environments for Noise Sensitivity
[ACM] 2026-4-13 | Agent A/B: Automated and Scalable A/B Testing on Live Websites with Interactive LLM Agents
[ACM] 2026-4-13 | Alignment–Process–Outcome: Rethinking How AIs and Humans Collaborate
[ACM] 2026-4-13 | Session Summary Podcast: Session 121: Immersive Play and Spatial Computing
[ACM] 2026-4-13 | Silence is a Feature, Not a Bug: A Deaf Developer’s Autoethnography on Agency and Local AI
[ACM] 2026-4-13 | Speaker-Aware Affective Captioning for Multi-Speaker STEM Talk in Inclusive Classrooms
[ACM] 2026-4-13 | Who Owns the Worm? Authorship Collapse in Viral Digital Models
[ACM] 2026-4-13 | Framing the Crowd: How Task Design Shapes Collective Expectation in Crowdsourcing Pedestrian Behavior Change
[ACM] 2026-4-13 | Seen but Ignored: Understanding User Disengagement from Emergency Alerts in High-Frequency Contexts — A Case Study of South Korea
[ACM] 2026-4-13 | Effects of Small Latency Variations in 2D Target Selection Tasks
[ACM] 2026-4-13 | Session Summary Podcast: Session 57: Critical Reflections on AI
[ACM] 2026-4-13 | Session Summary Podcast: Session 50: Consent, Risk, and Everyday Ethics
[ACM] 2026-4-13 | ReVisor: A Reflective Design Tool for Instructional Designers to Improve Teacher Training Materials via AI Discussions
[ACM] 2026-4-13 | From Selfie Stick to Virtual Cane: Enabling Blind Exploration through Mobile Virtual Reality
[ACM] 2026-4-13 | Session Summary Podcast: Session 189: Security Operations and Governance
[ACM] 2026-4-13 | The More-than-Human Talking Stick: Design Principles for Multispecies Entanglement and Agency
[ACM] 2026-4-13 | Prompting Destiny: Negotiating Socialization and Growth in an LLM-Mediated Speculative Gameworld
[ACM] 2026-4-13 | Auditing Algorithmic Visibility on X: Evidence from Shadowban Detection
[ACM] 2026-4-13 | Challenges in Automatic Speech Recognition for Adults with Cognitive Impairment
[ACM] 2026-4-13 | Exploring Collaboration Breakdowns Between Provider Teams and Patients in Post-Surgery Care
[ACM] 2026-4-13 | Does Sycophancy Change Decisions? Effect of LLM Sycophancy on AI-Assisted Decision-Making
[ACM] 2026-4-13 | Queering Character Creation: Player Perspectives on Choosing Characters' Gender and Sexual Orientation in Role-Playing Games
[ACM] 2026-4-13 | Breakdowns in Conversational AI: Interactional Failures in Emotionally and Ethically Sensitive Contexts
[ACM] 2026-4-13 | Exploring and Probing the Algorithmic Gaze on Bodies and Well-being
[ACM] 2026-4-13 | Understanding the Dynamics of Trust in Location-Based Games as Hybrid Spaces: The Players' Perspective
[ACM] 2026-4-13 | FlueBricks: A Construction Kit of Flute-like Instruments for Acoustic Reasoning
[ACM] 2026-4-13 | Tracking Together: A Robot-and-App-Based Speech Analysis System to Support Shared Meaning-Making Among Dementia Care Partners
[ACM] 2026-4-13 | SketchDynamics: Exploring Free-Form Sketches for Dynamic Intent Expression in Animation Generation
[ACM] 2026-4-13 | Who Does What? Archetypes of Roles Assigned to LLMs During Human-AI Decision-Making
[ACM] 2026-4-13 | Modeling Perceived Force of Electrical Muscle Stimulation to Improve User’s Recall
[ACM] 2026-4-13 | SoundStager: Interactive Design of Story-Driven GenAI Soundscapes for Video
[ACM] 2026-4-13 | Unpacking Visual Metaphors in Infographics: A Design Space
[ACM] 2026-4-13 | Reimagining Legal Fact Verification with GenAI: Toward Effective Human-AI Collaboration
[ACM] 2026-4-13 | Contrastive Learning for Large-scale Color-Name Dataset: Tackling Sparsity with Negative Sampling
[ACM] 2026-4-13 | ‘I Know I Can Do the Job, It’s Just Putting It Down’: Using Personas as a Mirror to Identify Strengths
[ACM] 2026-4-13 | AReframedChair: Reframing the Empty Chair through Dyadic and Triadic AR-Mediated Self-Embodiment
[ACM] 2026-4-13 | Exploring Texture-Level Creative Decisions with penPal, a Novel Handheld Actuated Drawing Tool
[ACM] 2026-4-13 | Crafting Remembrance Beyond the Self: Older Adults’ Digital and Material Legacies
[ACM] 2026-4-13 | Navigating Financial Lives: How Autistic Adults Adapt Financial Technologies, Tools and Strategies
[ACM] 2026-4-13 | VisceroHaptics: Investigating the Effects of Gut-based Audio-Haptic Feedback on Gastric Feelings and Gastric Interoceptive Behavior
[ACM] 2026-4-13 | Increasing Input Accuracy of Embodied Devices via Electrical Muscle Stimulation
[ACM] 2026-4-13 | "An Experience That Could Not be Found Anywhere Else": Resonance as an Explanatory Concept for Player Experience Research and Game Design
[ACM] 2026-4-13 | The ORBIT India Dataset: Understanding the Challenges of Collecting a Disability-First AI Dataset in Low-Resource Environments
[ACM] 2026-4-13 | Needling Through the Threads: A Visualization Tool for Navigating Threaded Online Discussions
[ACM] 2026-4-13 | Representation on Our Terms: How Trans and Gender Diverse People Prioritize Inclusivity in University Information Systems
[ACM] 2026-4-13 | Do Citizens Agree with the EU AI Act? Public Perspectives on Risk and Regulation of AI Systems
[ACM] 2026-4-13 | Feel the Sync: The Effects of Shared Haptic Feedback on Short-Cycle Repetitive Turn-Taking Collaboration of Remote Users in Virtual Reality
[ACM] 2026-4-13 | Toolset Action Coding System: A Generalized Method for Tool Measurement
[ACM] 2026-4-13 | “Bespoke Bots”: Diverse Instructor Needs for Customizing Generative AI Classroom Chatbots
[ACM] 2026-4-13 | On the Common Pitfalls of Designing and Communicating Within-Subjects Experiments in HCI
[ACM] 2026-4-13 | PoliSim@CHI 2026: LLM Agent Simulation for Policy
[ACM] 2026-4-13 | SocialCue: Exploring the Design Space of Social Wayfinding Assistants for Blind and Low Vision People
[ACM] 2026-4-13 | ArtfulSign: A Closed-Loop, Semantics-Grounded Mobile System for Learning Chinese Sign Language
[ACM] 2026-4-13 | Tracking Eye Movements to Extract Visual Patterns for Better Language Problem-Solving Skills in School-aged Children
[ACM] 2026-4-13 | How Does It Know?: Characterizing Thinking Through Unconscious Pen Gestures
[ACM] 2026-4-13 | Science and Technology for Augmenting Reading (STAR)
[ACM] 2026-4-13 | Approximate vs Precise: An Experiment in What Impacts User Choice When Apps Request Location Access
[ACM] 2026-4-13 | Effects of Generative AI Errors on User Reliance Across Task Difficulty
[ACM] 2026-4-13 | Preliminary Explorations of Generative AI and the Embodied Embroidery of Huayao Intangible Cultural Heritage
[IEEE] 2026-4-13 | The Evolution of Stethoscopes and the Potential of Smart Stethoscopes as Future Technology: A Systematic Review of Cardiac and Pulmonary Diagnostics
[IEEE] 2026-4-13 | Assessment of Osteonecrosis-Induced Changes in the Viscoelastic and Biomechanical Properties of Human Trabecular Bone
[IEEE] 2026-4-13 | A Wideband Magneto-Electric Dipole Based Slant Polarized Antenna with Metasurface
[ACM] 2026-4-14 | Transient Numerical Modeling and Analysis of Free-Surface Dynamics in Laser Polishing of GCr15 Bearing Steel
[ACM] 2026-4-14 | Research on the Application of an AI-Tutor-Driven Human-Computer Collaborative Learning Model in Vocational College Website Front-End Teaching
[IEEE] 2026-4-13 | Predictive Analytics for Crime Prevention: Ethical, Legal and Technical Challenges
[IEEE] 2026-4-13 | Gene Expression Dynamics in Endometriosis and Hashimoto Disease: Insights into Potential Overlaps
[IEEE] 2026-4-13 | A Dual Beam Electrically Compact Wrapped-around Ku-Band Series-Fed Array for Satphones
[IEEE] 2026-4-13 | RedLife: Enhancing Accessibility and Efficiency in Blood Donation through Mobile Technology
[ACM] 2026-4-14 | The EPSE Model: A Multidimensional Approach to Evaluating and Predicting Food Systems
[IEEE] 2026-4-13 | Chirality and Handedness of the SKALA4.1 Antenna and Intra-Station Mitigation
[ACM] 2026-4-14 | Research on Intermittent Time Series Demand Forecasting Based on Monte Carlo Simulation and STL Decomposition
[ACM] 2026-4-14 | Research on Optimization of Fault Diagnosis Technology for Tower-Type Pumping Units Based on Multi-Model Fusion Algorithm
[IEEE] 2026-4-13 | AI-Augmented Data Architecture: A Next-Generation Framework for Scalable, Intelligent, and Autonomous Data Ecosystems
[IEEE] 2026-4-13 | Parametric Study of a Circularly Patch DGS Antenna with SETR Inspired Metamaterial Structures
[IEEE] 2026-4-13 | Global Trust: Lightweight, Event-Driven Trust Management for Blackhole-Resilient IoT Routing
[ACM] 2026-4-14 | Research on Maintenance Strategies for Performance-Degrading Products Based on Remaining Useful Life Prediction
[IEEE] 2026-4-13 | Enhanced Conditional Diffusion Models for 2D Medical Image Augmentation in Tumor Detection
[IEEE] 2026-4-13 | Fuzzy Cascade PID Control of Core Outlet Temperature Based on Novel Gas-Cooled Microreactors
[IEEE] 2026-4-13 | Retinal Vessel Geometry as a Surrogate Marker Coronary Artery Calcification: A Deep Learning Approach
[IEEE] 2026-4-13 | An AI-Based Framework for Automated Fraud Risk Assessment in Auditing
[IEEE] 2026-4-13 | Aerial Image Analysis System Captured with UAV for Early Detection of Maize Foliar Diseases Using Lightweight YOLO Variants
[IEEE] 2026-4-13 | Nanomaterial Synthesis by Dense Medium Glow Discharge: Improvement of Efficiency by Design of Experiment Model
[IEEE] 2026-4-13 | Parametric Study of the Insertion of DGS Type Structure with Geometry Based on SETR Type Metamaterial Applied in Rectangular Patch Microstrip Antennas
[IEEE] 2026-4-13 | Comparative Analysis of Circular and Dual-Band Diode-Based Reconfigurable Circular Patch Antennas: Design and Performance
[IEEE] 2026-4-13 | Object Distance Monitoring in Crisis Scenarios Using Deep Learning Based Yolo-7 Model
[ACM] 2026-4-14 | Numerical Modeling and Parametric Analysis of Anti-seepage Cover Systems for Near-Surface Disposal Facilities in Humid Regions Using Geo-Studio
[IEEE] 2026-4-13 | Influencer or Finfluencer: A Comprehensive Study of Behavioral Finance in the Age of Digital Social Media
[IEEE] 2026-4-13 | VisionDerm: Efficient Net-Optimized Deep Learning Model for Skin Disease and Vitamin Deficiency Detection Using Non-Dermoscopic Standard Images
[IEEE] 2026-4-13 | Artificial Intelligence Based Virtual Assistant System
[ACM] 2026-4-14 | On the prediction of exchange rate using a BiLSTM-attention model with beluga whale optimizer
[IEEE] 2026-4-13 | Evaluating the Impact of AI on Customer Service Efficiency and Customer Satisfaction: A Management Perspective
[IEEE] 2026-4-13 | Antennas Optimization Techniques for Integration of Wireless Applications using Angle-of-Arrival
[IEEE] 2026-4-13 | A Federated Learning Approach to Alleviate Data Heterogeneity in Smart Grid
共写入 200 条记录，保存到 papers/paper2026-04-13.json。
论文获取成功，文件路径: papers/paper2026-04-13.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | CDPR: Cross-modal Diffusion with Polarization for Reliable Monocular Depth Estimation
[NO] 2/200 | Quantitative propagation of chaos for particle systems with bounded kernels and multiplicative noise
[NO] 3/200 | FlowCoMotion: Text-to-Motion Generation via Token-Latent Flow Modeling
[NO] 4/200 | Evolution of effective magnetic exchange interaction under spin dilution in SrIr$_{1-x}$Sn$_x$O$_3$
[NO] 5/200 | PRISM Risk Signal Framework: Hierarchy-Based Red Lines for AI Behavioral Risk
[YES] 6/200 | Exact Outage Probability and Ergodic Capacity Analysis of NOMA in Rayleigh Fading Channels
[NO] 7/200 | Contexty: Capturing and Organizing In-situ Thoughts for Context-Aware AI Support
[NO] 8/200 | Topological charge of fermions and Landau theory of Fermi liquid
[NO] 9/200 | Intelligent Approval of Access Control Flow in Office Automation Systems via Relational Modeling
[NO] 10/200 | EgoFun3D: Modeling Interactive Objects from Egocentric Videos using Function Templates
[NO] 11/200 | RTMC: Step-Level Credit Assignment via Rollout Trees
[NO] 12/200 | Uncertainty-Aware Web-Conditioned Scientific Fact-Checking
[NO] 13/200 | A Spectral-based ISS small-gain theorem for boundary control systems with infinite couplings
[NO] 14/200 | On two conjectures for generalized off-diagonal Schur numbers
[NO] 15/200 | Parameterized Algorithms and Complexity for Function Merging with Branch Reordering
[NO] 16/200 | Test-time Scaling over Perception: Resolving the Grounding Paradox in Thinking with Images
[NO] 17/200 | Geometrization of the Schrödinger Model for the Minimal Representation of an Even Orthogonal Group: The de Rham Setting
[NO] 18/200 | Emulation-Completeness of Programming Languages
[NO] 19/200 | Inferring World Belief States in Dynamic Real-World Environments
[NO] 20/200 | Min-$k$ Sampling: Decoupling Truncation from Temperature Scaling via Relative Logit Dynamics
[NO] 21/200 | Data-Efficient Semantic Segmentation of 3D Point Clouds via Open-Vocabulary Image Segmentation-based Pseudo-Labeling
[NO] 22/200 | Resonant Leptogenesis in a Two-Triplet Type-II Seesaw: A Dynamical Origin of Suppressed Lepton Flavor Violation
[NO] 23/200 | Compiler Framework for Directional Transport in Zoned Neutral Atom Systems with AOD Assistance: A Hybrid Remote CZ Approach
[NO] 24/200 | TraversalBench: Challenging Paths to Follow for Vision Language Models
[NO] 25/200 | LumiMotion: Improving Gaussian Relighting with Scene Dynamics
[NO] 26/200 | On Switched Event-triggered Full State-constrained Formation Control for Multi-vehicle Systems
[NO] 27/200 | ArtiCAD: Articulated CAD Assembly Design via Multi-Agent Code Generation
[NO] 28/200 | WebForge: Breaking the Realism-Reproducibility-Scalability Trilemma in Browser Agent Benchmark
[NO] 29/200 | Back to the Barn with LLAMAs: Evolving Pretrained LLM Backbones in Finetuning Vision Language Models
[NO] 30/200 | Ozone: A Unified Platform for Transportation Research
[NO] 31/200 | Fast-SegSim: Real-Time Open-Vocabulary Segmentation for Robotics in Simulation
[NO] 32/200 | Bootstrapping Video Semantic Segmentation Model via Distillation-assisted Test-Time Adaptation
[NO] 33/200 | Progressive Deep Learning for Automated Spheno-Occipital Synchondrosis Maturation Assessment
[NO] 34/200 | On sections of Lefschetz fibrations and bundles over 2-complexes
[NO] 35/200 | CMedTEB & CARE: Benchmarking and Enabling Efficient Chinese Medical Retrieval via Asymmetric Encoders
[NO] 36/200 | Neural-Network Inversion for the Temporal CT Multi-Source Bundle Problem: Per-Bundle Statistical Limits and Near-Optimal Performance
[NO] 37/200 | LiveGesture Streamable Co-Speech Gesture Generation Model
[NO] 38/200 | Non-Monotonic Marangoni Suppression of Hydrodynamic Coarsening in Bicontinuous Liquid-Liquid Phase Separation
[NO] 39/200 | HTAA: Enhancing LLM Planning via Hybrid Toolset Agentization & Adaptation
[NO] 40/200 | ReXSonoVQA: A Video QA Benchmark for Procedure-Centric Ultrasound Understanding
[NO] 41/200 | TAMISeg: Text-Aligned Multi-scale Medical Image Segmentation with Semantic Encoder Distillation
[NO] 42/200 | EvoNash-MARL: A Closed-Loop Multi-Agent Reinforcement Learning Framework for Medium-Horizon Equity Allocation
[NO] 43/200 | Long-range phase coexistence models with degenerate potentials
[NO] 44/200 | ZoomR: Memory Efficient Reasoning through Multi-Granularity Key Value Retrieval
[NO] 45/200 | Quantum Measurement Statistics as Bayesian Uncertainty Estimators for Physics-Constrained Learning
[NO] 46/200 | The Gated-Service M/GI/1 Queue with Single Vacations and Its Application to Batch-Service Queues
[NO] 47/200 | Forecasting Return Time of Extreme Precipitation by Large Deviation Theory
[NO] 48/200 | Compliant But Unsatisfactory: The Gap Between Auditing Standards and Practices for Probabilistic Genotyping Software
[NO] 49/200 | AOP-Smart: A RAG-Enhanced Large Language Model Framework for Adverse Outcome Pathway Analysis
[NO] 50/200 | Putting the Brauer back in Brauer-Picard
[NO] 51/200 | On periodic homotopy and homology equivalences of spaces
[NO] 52/200 | Sharp Interface Limit for a Mass-Conserving Navier-Stokes/Allen-Cahn System with Different Viscosities
[NO] 53/200 | Optimal Kinodynamic Motion Planning Through Anytime Bidirectional Heuristic Search with Tight Termination Condition
[NO] 54/200 | Berry curvature and field-induced intrinsic anomalous Hall effect in an antiferromagnet FeTe
[YES] 55/200 | Wideband Sensing with Dynamic Metasurface Antennas under Realistic Phase Response Modeling
[NO] 56/200 | Finetune Like You Pretrain: Boosting Zero-shot Adversarial Robustness in Vision-language Models
[NO] 57/200 | The magnetic sensitivity of the Ca II H and K lines
[NO] 58/200 | Phonological distances for linguistic typology and the origin of Indo-European languages
[NO] 59/200 | Will a Large Complex System be Stable? Revisited
[NO] 60/200 | Relax: An Asynchronous Reinforcement Learning Engine for Omni-Modal Post-Training at Scale
[NO] 61/200 | RLSpoofer: A Lightweight Evaluator for LLM Watermark Spoofing Resilience
[NO] 62/200 | Time is Not a Label: Continuous Phase Rotation for Temporal Knowledge Graphs and Agentic Memory
[NO] 63/200 | Decision-Aware Predictions for Right-Hand Side Parameters in Linear Programs
[NO] 64/200 | The number of induced paths in outerplanar graphs
[NO] 65/200 | Machine-learning modeling of magnetization dynamics in quasi-equilibrium and driven metallic spin systems
[NO] 66/200 | EdgeCIM: A Hardware-Software Co-Design for CIM-Based Acceleration of Small Language Models
[NO] 67/200 | Deep Learning for Sequential Decision Making under Uncertainty: Foundations, Frameworks, and Frontiers
[NO] 68/200 | Lectures on AI for Mathematics
[NO] 69/200 | METER: Evaluating Multi-Level Contextual Causal Reasoning in Large Language Models
[NO] 70/200 | Quantization Dominates Rank Reduction for KV-Cache Compression
