[2025-12-02 09:15:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-01
正在获取论文...
[arXiv] 2025-12-01 | Generative Video Motion Editing with 3D Point Tracks
[arXiv] 2025-12-01 | Multimodal Mixture-of-Experts for ISAC in Low-Altitude Wireless Networks
[arXiv] 2025-12-01 | Buoy observation of high frequency ocean wave energy: accuracy, consistency, and concerns for predictive applications
[arXiv] 2025-12-01 | SA-ADP: Sensitivity-Aware Adaptive Differential Privacy for Large Language Models
[arXiv] 2025-12-01 | Towards a complete description of multiple D$p$-brane systems: Multiple D$0$ Story
[arXiv] 2025-12-01 | MSPT: Efficient Large-Scale Physical Modeling via Parallelized Multi-Scale Attention
[arXiv] 2025-12-01 | Reversible nanopore sealing and in situ iron oxide nanoparticle synthesis on thin silicon nitride membranes
[arXiv] 2025-12-01 | Beware of Reasoning Overconfidence: Pitfalls in the Reasoning Process for Multi-solution Tasks
[arXiv] 2025-12-01 | Atomic-scale Origin of Interfacial Dzyaloshinskii--Moriya Interaction in Pt/Fe/Au
[arXiv] 2025-12-01 | Feasibility Study of Pion and Kaon Structure via the Sullivan Process at EicC
[arXiv] 2025-12-01 | DiG-Flow: Discrepancy-Guided Flow Matching for Robust VLA Models
[arXiv] 2025-12-01 | Self-Supervised Borrowing Detection on Multilingual Wordlists
[arXiv] 2025-12-01 | Parametric excitation of a ferrimagnetic sphere resonator
[arXiv] 2025-12-01 | Slip, Differentiate, Observe: State and Parameter Estimation for Rate and State Friction from Noisy Data
[arXiv] 2025-12-01 | Distinct Modulation Behavior of Superconducting Coherence Peaks Associated with Sign-Reversal Gaps in FeTe$_{0.55}$Se$_{0.45}$
[arXiv] 2025-12-01 | LLM-Driven Multi-Agent Curation and Expansion of Metal-Organic Frameworks Database
[arXiv] 2025-12-01 | The Klebanov theorem for the group $\mathbb{R}\times \mathbb{Z}(2)$
[arXiv] 2025-12-01 | Gravitational lensing inside and outside of a marginally unstable photon sphere in a general, static, spherically symmetric, and asymptotically-flat spacetime in strong deflection limits
[arXiv] 2025-12-01 | An innovative circuit for testing hot carrier and trap generation in GaN Devices
[arXiv] 2025-12-01 | Dynamic Log-Gaussian Process Control Barrier Function for Safe Robotic Navigation in Dynamic Environments
[arXiv] 2025-12-01 | Nanosecond-Scale Proton Emission from Triaxially Deformed Lu-148 Predicted with High Accuracy Qp Value via Novel Bayesian Evaluation
[arXiv] 2025-12-01 | An outflow from the X-ray corona as the origin of millimeter emission from radio-quiet AGN
[arXiv] 2025-12-01 | Bayesian Ambiguity Contraction-based Adaptive Robust Markov Decision Processes for Adversarial Surveillance Missions
[arXiv] 2025-12-01 | MIT Lincoln Laboratory: A Case Study on Improving Software Support for Research Projects
[arXiv] 2025-12-01 | Exploring Scavenging Strategies and Cognitive Problem-Solving in Indian Free-Ranging Dogs
[arXiv] 2025-12-01 | First-principles screening of materials with extreme effective masses
[arXiv] 2025-12-01 | Package Dashboard: A Cross-Ecosystem Framework for Dual-Perspective Analysis of Software Packages
[arXiv] 2025-12-01 | Neural network-based deconvolution for GeV-Scale Gamma-Ray Spectroscopy
[arXiv] 2025-12-01 | Depth Matching Method Based on ShapeDTW for Oil-Based Mud Imager
[arXiv] 2025-12-01 | Integrated YOLOP Perception and Lyapunov-based Control for Autonomous Mobile Robot Navigation on Track
[arXiv] 2025-12-01 | Convergence of long-time stable variable-step arbitrary order ETD-MS scheme for gradient flows with Lipschitz nonlinearity
[arXiv] 2025-12-01 | Interpolation in Non-Classical Logics
[arXiv] 2025-12-01 | WhiteLie: A Robust System for Spoofing User Data in Android Platforms
[arXiv] 2025-12-01 | Unsupervised and Supervised Algorithms for Identification of Sample Pixels in FTIR Images
[arXiv] 2025-12-01 | Tree-cotree gauging for two-dimensional hierarchical splines
[arXiv] 2025-12-01 | From Black Hole to Galaxy: Neural Operator: Framework for Accretion and Feedback Dynamics
[arXiv] 2025-12-01 | Combined Effects of Transient Ionizing and Electromagnetic Pulse on Vertical NPN Bipolar Transistor
[arXiv] 2025-12-01 | Do Large Language Models Walk Their Talk? Measuring the Gap Between Implicit Associations, Self-Report, and Behavioral Altruism
[arXiv] 2025-12-01 | TimePred: efficient and interpretable offline change point detection for high volume data - with application to industrial process monitoring
[arXiv] 2025-12-01 | LLM2Fx-Tools: Tool Calling For Music Post-Production
[arXiv] 2025-12-01 | LEC: Linear Expectation Constraints for False-Discovery Control in Selective Prediction and Routing Systems
[arXiv] 2025-12-01 | Vanishing $H^1$ for Hurwitz spaces of fully-marked admissible covers of degree 3
[arXiv] 2025-12-01 | LPCD: Unified Framework from Layer-Wise to Submodule Quantization
[arXiv] 2025-12-01 | Spectral-Energy Efficiency Tradeoff of Nearly-Passive RIS in MIMO URLLC Downlink: Diagonal vs. Beyond Diagonal
[arXiv] 2025-12-01 | RoMe: Row Granularity Access Memory System for Large Language Models
[arXiv] 2025-12-01 | Deep Unsupervised Anomaly Detection in Brain Imaging: Large-Scale Benchmarking and Bias Analysis
[arXiv] 2025-12-01 | Near-infrared polarimetric imaging with nonlinear flat-optics
[arXiv] 2025-12-01 | Massart iron oxide nanoparticles in mechanobiology
[arXiv] 2025-12-01 | On-chip high-order parametric downconversion in the excitonic Mott insulator Nb$_3$Cl$_8$ for programmable multiphoton entangled states
[arXiv] 2025-12-01 | Samplability makes learning easier
[arXiv] 2025-12-01 | Parametric processes in nonlinear structures with reflections: an asymptotic-field approach
[arXiv] 2025-12-01 | Mountain pass for the Ginzburg-Landau energy in a strip: solitons and solitonic vortices
[arXiv] 2025-12-01 | Formal Verification of Noisy Quantum Reinforcement Learning Policies
[arXiv] 2025-12-01 | ELVIS: Enhance Low-Light for Video Instance Segmentation in the Dark
[arXiv] 2025-12-01 | Velocity-space turbulent cascade in the near-Sun solar wind: first insights from the Parker Solar Probe mission
[arXiv] 2025-12-01 | Euclid: The first statistical census of dusty and massive objects in the ERO/Perseus field
[arXiv] 2025-12-01 | Mixing asymptotics for time-changes of horocycle flows
[arXiv] 2025-12-01 | Modeling and Simulation of Data Protection Systems for Business Continuity and Disaster Recovery
[arXiv] 2025-12-01 | A Model-Independent Framework for Gravitational-Wave Reconstruction of Binary Black Hole Hyperbolic Encounters in Ground-Based Interferometers
[arXiv] 2025-12-01 | Approximate Stability of Subadditive Games and Traveling Salesman Games
[arXiv] 2025-12-01 | Enhancing BERT Fine-Tuning for Sentiment Analysis in Lower-Resourced Languages
[arXiv] 2025-12-01 | Discovery of a rich population of compact hub-filament systems in a single star-forming complex
[arXiv] 2025-12-01 | Mathematical and numerical study of a model for navigation in stratified waters
[arXiv] 2025-12-01 | MEGConformer: Conformer-Based MEG Decoder for Robust Speech and Phoneme Classification
[arXiv] 2025-12-01 | PSA-MF: Personality-Sentiment Aligned Multi-Level Fusion for Multimodal Sentiment Analysis
[arXiv] 2025-12-01 | Multilingual Conversational AI for Financial Assistance: Bridging Language Barriers in Indian FinTech
[arXiv] 2025-12-01 | Existence of two thresholds in a bistable equation with nonlocal competition
[arXiv] 2025-12-01 | Language-Guided Open-World Anomaly Segmentation
[arXiv] 2025-12-01 | An Investigation of Thermal Properties of Cu-Au Janus Nanoparticles
[arXiv] 2025-12-01 | \textit{ViRectify}: A Challenging Benchmark for Video Reasoning Correction with Multimodal Large Language Models
[arXiv] 2025-12-01 | Fourier Neural Operators Explained: A Practical Perspective
[arXiv] 2025-12-01 | Localization of spectral Turán-type theorems
[arXiv] 2025-12-01 | Unusual electronic ordering in the pseudogap phase of underdoped cuprate superconductors
[arXiv] 2025-12-01 | On Global Applicability and Location Transferability of Generative Deep Learning Models for Precipitation Downscaling
[arXiv] 2025-12-01 | Modeling high-order harmonic generation in quantum dots using a real-space tight-binding approach
[arXiv] 2025-12-01 | Symmetric subgroup schemes
[arXiv] 2025-12-01 | Dynamics due to competitive flip cycles in active Potts models
[arXiv] 2025-12-01 | INFERMAL: Inferential analysis of maliciously registered domains
[arXiv] 2025-12-01 | FRAMER: Frequency-Aligned Self-Distillation with Adaptive Modulation Leveraging Diffusion Priors for Real-World Image Super-Resolution
[arXiv] 2025-12-01 | Similar Fermi-GBM sGRBs to GW/sGRB 170817A in MeV-GeV energies
[arXiv] 2025-12-01 | CLAPS: Posterior-Aware Conformal Intervals via Last-Layer Laplace
[arXiv] 2025-12-01 | Textured Geometry Evaluation: Perceptual 3D Textured Shape Metric via 3D Latent-Geometry Network
[arXiv] 2025-12-01 | A Coupled Source Description of Pseudorapidity Distributions from RHIC to LHC: Emergent $1/μ_B$ Scaling and Limiting Fragmentation
[arXiv] 2025-12-01 | Tangram: Accelerating Serverless LLM Loading through GPU Memory Reuse and Affinity
[arXiv] 2025-12-01 | The Necessity of Imperfection:Reversing Model Collapse via Simulating Cognitive Boundedness
[arXiv] 2025-12-01 | Singularities of translation surfaces under the linearly dependent condition in Euclidean 3-space
[arXiv] 2025-12-01 | Floquet Chern Insulators and Radiation-Induced Zero Resistance in Irradiated Graphene
[arXiv] 2025-12-01 | A note on the central-upwind scheme for nonlocal conservation laws
[arXiv] 2025-12-01 | EvalTalker: Learning to Evaluate Real-Portrait-Driven Multi-Subject Talking Humans
[arXiv] 2025-12-01 | EmoRAG: Evaluating RAG Robustness to Symbolic Perturbations
[arXiv] 2025-12-01 | Measurement-based quantum computation on weighted graph states with arbitrarily small weight
[arXiv] 2025-12-01 | Ample groupoids that are neither almost finite nor purely infinite
[arXiv] 2025-12-01 | Foundations of Simplicial Complexes:From Geometric Independence to Realizations
[arXiv] 2025-12-01 | A high-order weighted positive and flux conservative method for the Vlasov equation
[arXiv] 2025-12-01 | Data-Driven Learnability Transition of Measurement-Induced Entanglement
[arXiv] 2025-12-01 | DCText: Scheduled Attention Masking for Visual Text Generation via Divide-and-Conquer Strategy
[arXiv] 2025-12-01 | Intersection complex of any threefold as a Chow motive
[arXiv] 2025-12-01 | Non-detection of FAST and Parkes follow-up observation for 27 Parkes discovered FRBs
[arXiv] 2025-12-01 | Accelerating Large-Scale Reasoning Model Inference with Sparse Self-Speculative Decoding
[arXiv] 2025-12-01 | Retroreflective Optical ISAC for 6G: Technologies, Applications and Future Directions
[arXiv] 2025-12-01 | SUPERChem: A Multimodal Reasoning Benchmark in Chemistry
[arXiv] 2025-12-01 | Twisted $φ$-coordinated modules for vertex algebras and Zhu's correspondence theorem
[arXiv] 2025-12-01 | Perturbative corrections to soft photon theorems for massless scalar QED in de Sitter spacetime
[arXiv] 2025-12-01 | Sentiment Analysis and Emotion Classification using Machine Learning Techniques for Nagamese Language - A Low-resource Language
[arXiv] 2025-12-01 | Large Language Models Cannot Reliably Detect Vulnerabilities in JavaScript: The First Systematic Benchmark and Evaluation
[arXiv] 2025-12-01 | Competing Lattice and Defect Dynamics Govern Terahertz-Induced Ferroelectricity in Quantum Paraelectric SrTiO$_3$
[arXiv] 2025-12-01 | GPU-native Embedding of Complex Geometries in Adaptive Octree Grids Applied to the Lattice Boltzmann Method
[arXiv] 2025-12-01 | Geometric Phase of the Two-Particle Bethe Wavefunction
[arXiv] 2025-12-01 | Generative Adversarial Gumbel MCTS for Abstract Visual Composition Generation
[arXiv] 2025-12-01 | First, do NOHARM: towards clinically safe large language models
[arXiv] 2025-12-01 | PSR: Scaling Multi-Subject Personalized Image Generation with Pairwise Subject-Consistency Rewards
[arXiv] 2025-12-01 | Proactive Agentic Whiteboards: Enhancing Diagrammatic Learning
[arXiv] 2025-12-01 | Unsupervised decoding of encoded reasoning using language model interpretability
[arXiv] 2025-12-01 | Neural Network Optimal Power Flow via Energy Gradient Flow and Unified Dynamics
[arXiv] 2025-12-01 | Sum Rate Maximization in STAR-RIS-UAV-Assisted Networks: A CA-DDPG Approach for Joint Optimization
[arXiv] 2025-12-01 | Leveraging Recurrent Patterns in Graph Accelerators
[arXiv] 2025-12-01 | LGDC: Latent Graph Diffusion via Spectrum-Preserving Coarsening
[arXiv] 2025-12-01 | DefenSee: Dissecting Threat from Sight and Text - A Multi-View Defensive Pipeline for Multi-modal Jailbreaks
[arXiv] 2025-12-01 | Autonomous Navigation and Station-Keeping on Near-Rectilinear Halo Orbits
[arXiv] 2025-12-01 | Degenerate chords in double-scaled SYK
[arXiv] 2025-12-01 | Structural and Spectral Properties of Strictly Interval Graphs
[arXiv] 2025-12-01 | Disintegration of Long-period Comet C/2019 Y4 (ATLAS). II. Post-Perihelion Remnant Recovery
[arXiv] 2025-12-01 | Weight a Minute: Understanding Variability in PATE Estimates Across Target Populations
[arXiv] 2025-12-01 | Beyond Greenfield: AI-Driven Productivity in Documentation and Brownfield Engineering
[arXiv] 2025-12-01 | Insights on the Uplink Operation of a 1-bit Radio-Over-Fiber Architecture in Multi-User D-MIMO Communication
[arXiv] 2025-12-01 | Brownian dynamics simulations of electric double-layer capacitors with tunable metallicity
[arXiv] 2025-12-01 | Decoding the structure near the $π^+π^-$ mass threshold in $ψ(3686) \rightarrow J/ψπ^+π^-$ decays
[arXiv] 2025-12-01 | KM-ViPE: Online Tightly Coupled Vision-Language-Geometry Fusion for Open-Vocabulary Semantic SLAM
[arXiv] 2025-12-01 | EfficientFlow: Efficient Equivariant Flow Policy Learning for Embodied AI
[arXiv] 2025-12-01 | A Diffusion Model Framework for Maximum Entropy Reinforcement Learning
[arXiv] 2025-12-01 | Objects in Generated Videos Are Slower Than They Appear: Models Suffer Sub-Earth Gravity and Don't Know Galileo's Principle...for now
[arXiv] 2025-12-01 | TUNA: Taming Unified Visual Representations for Native Unified Multimodal Models
[arXiv] 2025-12-01 | Learning Dexterous Manipulation Skills from Imperfect Simulations
[arXiv] 2025-12-01 | Four Over Six: More Accurate NVFP4 Quantization with Adaptive Block Scaling
[arXiv] 2025-12-01 | AirSim360: A Panoramic Simulation Platform within Drone View
[arXiv] 2025-12-01 | AlignSAE: Concept-Aligned Sparse Autoencoders
[arXiv] 2025-12-01 | Consistent Synthetic Sequences Unlock Structural Diversity in Fully Atomistic De Novo Protein Design
[arXiv] 2025-12-01 | A List of Complexity Bounds for Property Testing by Quantum Sample-to-Query Lifting
[arXiv] 2025-12-01 | SpriteHand: Real-Time Versatile Hand-Object Interaction with Autoregressive Video Generation
[arXiv] 2025-12-01 | GrndCtrl: Grounding World Models via Self-Supervised Reward Alignment
[arXiv] 2025-12-01 | Pixel-Based Non-Linearity Correction for the WFC3 IR Detector
[arXiv] 2025-12-01 | How Far Are We from Genuinely Useful Deep Research Agents?
[arXiv] 2025-12-01 | The Lebesgue constant for uniform approximation of differential forms
[arXiv] 2025-12-01 | Weak coupling for Schrödinger operators with complex potentials
[arXiv] 2025-12-01 | On the $C^2$-local systolic optimality of Zoll odd-symplectic forms
[arXiv] 2025-12-01 | Thermodynamic Geometry Through Second Order Phase Transitions
[arXiv] 2025-12-01 | Physical ID-Transfer Attacks against Multi-Object Tracking via Adversarial Trajectory
[arXiv] 2025-12-01 | Local chemical order suppresses grain boundary migration under irradiation in CrCoNi
[arXiv] 2025-12-01 | Prescribed energy solutions of concave-convex type problems involving sign-changing or vanishing weights
[arXiv] 2025-12-01 | Real-World Robot Control by Deep Active Inference With a Temporally Hierarchical World Model
[arXiv] 2025-12-01 | No Love for black holes: tightest constraints on tidal Love numbers of black holes from GW250114
[arXiv] 2025-12-01 | First-principles band alignment engineering in polar and nonpolar orientations for wurtzite AlN, GaN, and B$_x$Al$_{1-x}$N alloys
[arXiv] 2025-12-01 | A Hands-On Molecular Communication Testbed for Undergraduate Education
[arXiv] 2025-12-01 | Realistic Transition Paths for Large Biomolecular Systems: A Langevin Bridge Approach
[arXiv] 2025-12-01 | Digital Twin Aided Millimeter Wave MIMO: Site-Specific Beam Codebook Learning
[arXiv] 2025-12-01 | Elastic Weight Consolidation for Knowledge Graph Continual Learning: An Empirical Evaluation
[arXiv] 2025-12-01 | Domain-Decomposed Graph Neural Network Surrogate Modeling for Ice Sheets
[arXiv] 2025-12-01 | New Spiking Architecture for Multi-Modal Decision-Making in Autonomous Vehicles
[arXiv] 2025-12-01 | Digamma-Function Representation of the Ground-State Energy in Antiferromagnetic Heisenberg $\mathrm{XXX}_s$ Spin Chains
[arXiv] 2025-12-01 | Is Image-based Object Pose Estimation Ready to Support Grasping?
[arXiv] 2025-12-01 | Beam-test evaluation of pre-production Low Gain Avalanche Detectors for the ATLAS High Granularity Timing Detector
[arXiv] 2025-12-01 | Register Any Point: Scaling 3D Point Cloud Registration by Flow Matching
[arXiv] 2025-12-01 | PhyDetEx: Detecting and Explaining the Physical Plausibility of T2V Models
[arXiv] 2025-12-01 | Non-archimedean Infinite Hecke Algebra
[arXiv] 2025-12-01 | Deconstructing Generative Diversity: An Information Bottleneck Analysis of Discrete Latent Generative Models
[arXiv] 2025-12-01 | HERMES: Heterogeneous Application-Enabled Routing Middleware for Edge-IoT Systems
[arXiv] 2025-12-01 | InnoGym: Benchmarking the Innovation Potential of AI Agents
[arXiv] 2025-12-01 | Forget Less, Retain More: A Lightweight Regularizer for Rehearsal-Based Continual Learning
[arXiv] 2025-12-01 | Anomalous Eigenstates of a Doped Hole in the Ising Antiferromagnet
[arXiv] 2025-12-01 | Frequency-Dynamics-Aware Economic Dispatch with Optimal Grid-Forming Inverter Allocation and Reserved Power Headroom
[arXiv] 2025-12-01 | Generative Action Tell-Tales: Assessing Human Motion in Synthesized Videos
[arXiv] 2025-12-01 | Conservative Formulations of the Standard Enskog and Povzner Equations
[arXiv] 2025-12-01 | An hybrid stochastic Newton algorithm for logistic regression
[arXiv] 2025-12-01 | Who Judges the Judge? LLM Jury-on-Demand: Building Trustworthy LLM Evaluation Systems
[arXiv] 2025-12-01 | Efficient Time Evolution of 2D Open-Quantum Lattice Models with Long-Range Interactions using Tensor Networks
[arXiv] 2025-12-01 | Egent: An Autonomous Agent for Equivalent Width Measurement
[arXiv] 2025-12-01 | ZO-ASR: Zeroth-Order Fine-Tuning of Speech Foundation Models without Back-Propagation
[arXiv] 2025-12-01 | Inductive van der Waals Force between Two Quantum Loops
[arXiv] 2025-12-01 | OzDES Reverberation Mapping Program: CIV lags from six years of data
[arXiv] 2025-12-01 | Efficient Hyperparameter Search for Non-Stationary Model Training
[arXiv] 2025-12-01 | Randomized-Accelerated FEAST: A Hybrid Approach for Large-Scale Eigenvalue Problems
[arXiv] 2025-12-01 | Tunable Single- and Multiphoton Bundles in Cavity-Coupled Atomic Arrays
[arXiv] 2025-12-01 | TRivia: Self-supervised Fine-tuning of Vision-Language Models for Table Recognition
[arXiv] 2025-12-01 | COMET: A Dual Swashplate Autonomous Coaxial Bi-copter AAV with High-Maneuverability and Long-Endurance
[arXiv] 2025-12-01 | Near-Optimal Sparsifiers for Stochastic Knapsack and Assignment Problems
[arXiv] 2025-12-01 | CTF Archive: Capture, Curate, Learn Forever
[arXiv] 2025-12-01 | Passive Polarization Stabilization for Practical and Robust Entanglement Distribution
[arXiv] 2025-12-01 | CoSineVerifier: Tool-Augmented Answer Verification for Computation-Oriented Scientific Questions
[arXiv] 2025-12-01 | S$^2$-MLLM: Boosting Spatial Reasoning Capability of MLLMs for 3D Visual Grounding with Structural Guidance
[arXiv] 2025-12-01 | Violation of the method of images in non-Markovian processes and its connection to stochastic thermodynamics
[arXiv] 2025-12-01 | Real-World Reinforcement Learning of Active Perception Behaviors
[arXiv] 2025-12-01 | DrawingBench: Evaluating Spatial Reasoning and UI Interaction Capabilities of Large Language Models through Mouse-Based Drawing Tasks
[arXiv] 2025-12-01 | Conversion rate prediction in online advertising: modeling techniques, performance evaluation and future directions
[arXiv] 2025-12-01 | On solvability of parabolic equations with singular coefficients in odd mixed-norm Morrey-Sobolev spaces
[arXiv] 2025-12-01 | A TinyML Reinforcement Learning Approach for Energy-Efficient Light Control in Low-Cost Greenhouse Systems
[arXiv] 2025-12-01 | From Regression to Classification: Exploring the Benefits of Categorical Representations of Energy in MLIPs
[arXiv] 2025-12-01 | Lorentz violation and momentum-space geometric phases
[arXiv] 2025-12-01 | Fiber Bundle Networks: A Geometric Machine Learning Paradigm
[arXiv] 2025-12-01 | Warped-AdS$_3$ Near-Horizon Geometries From TsT Transformations
[arXiv] 2025-12-01 | Exciton-Polariton hybrid skin-topological states
[arXiv] 2025-12-01 | Granite sliding on granite: friction, wear rates, surface topography, and the scale-dependence of rate-state effects
[arXiv] 2025-12-01 | Evolution of ion distribution functions in ionospheric plasmas perturbed by Alfvén waves
[arXiv] 2025-12-01 | The effect of Coulomb interactions on relic neutrino detection via beta decaying impurities in (semi)metals
[arXiv] 2025-12-01 | From pre-lamination to foliated plane
[arXiv] 2025-12-01 | Resonance analysis of one-dimensional acoustic media: a propagation matrix approach
[arXiv] 2025-12-01 | Beyond Scaffold: A Unified Spatio-Temporal Gradient Tracking Method
[arXiv] 2025-12-01 | Time-periodic non-radial solutions near monotone vortices in linearized 2D Euler
[arXiv] 2025-12-01 | Non-crossing partitions for exceptional hereditary curves
[arXiv] 2025-12-01 | AI-Driven Cybersecurity Testbed for Nuclear Infrastructure: Comprehensive Evaluation Using METL Operational Data
[arXiv] 2025-12-01 | Theory And Applications Of One-Sided Coupled Operator Matrices
[arXiv] 2025-12-01 | MMAG: Mixed Memory-Augmented Generation for Large Language Models Applications
[arXiv] 2025-12-01 | Two-level additive Schwarz preconditioners for reduced integration methods
[arXiv] 2025-12-01 | SSR: Semantic and Spatial Rectification for CLIP-based Weakly Supervised Segmentation
[arXiv] 2025-12-01 | Interaction of Economic Freedom and Foreign Direct Investment Globally: Special Cases from Neglected Regions
[arXiv] 2025-12-01 | Forced Migration and Information-Seeking Behavior on Wikipedia: Insights from the Ukrainian Refugee Crisis
[arXiv] 2025-12-01 | Hessian geometry and Frobenius manifolds with curvature
[arXiv] 2025-12-01 | Generating REST API Tests With Descriptive Names
[arXiv] 2025-12-01 | Morphling: Fast, Fused, and Flexible GNN Training at Scale
[arXiv] 2025-12-01 | Open-world Hand-Object Interaction Video Generation Based on Structure and Contact-aware Representation
[arXiv] 2025-12-01 | Floquet-induced $p_x+ip_y$ bosonic pair condensate
[arXiv] 2025-12-01 | The $α$-spectral Turán type problems for graphs
[arXiv] 2025-12-01 | Learning the Boundary of Solvability: Aligning LLMs to Detect Unsolvable Problems
[arXiv] 2025-12-01 | Quasistatic response for nonequilibrium processes: evaluating the Berry potential and curvature
[arXiv] 2025-12-01 | From Toggle to Tuning: Controlling Turing Patterns in Gene Circuits
[arXiv] 2025-12-01 | In-context Inverse Optimality for Fair Digital Twins: A Preference-based approach
[arXiv] 2025-12-01 | Distinguish the Orientation of Sliding Ferroelectricity by Second-Harmonic Generation
[arXiv] 2025-12-01 | A Three-Dimensional Array of Quantum Dots
[arXiv] 2025-12-01 | SPARK: Sim-ready Part-level Articulated Reconstruction with VLM Knowledge
[arXiv] 2025-12-01 | Parallel Delayed Memory Units for Enhanced Temporal Modeling in Biomedical and Bioacoustic Signal Analysis
[arXiv] 2025-12-01 | A Platform for Evanescently Trapping Rb-87 Using Silicon Nitride Strip Waveguides Buried in Silica
[arXiv] 2025-12-01 | An Open-Path Eddy-Covariance Laser Spectrometer for Simultaneous Monitoring of CO$_2$, CH$_4$, and H$_2$O
