[2026-02-27 09:35:03] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-26
正在获取论文...
[arXiv] 2026-02-26 | The regularity of the boundary of vortex patches for the quasi-geostrophic shallow-water equations
[arXiv] 2026-02-26 | Filters, topologies, the Rado graph and the Urysohn space
[arXiv] 2026-02-26 | Results on three problems on isolation of graphs
[arXiv] 2026-02-26 | Testing beyond the Standard Model scenarios in next-generation long-baseline neutrino oscillation experiments
[arXiv] 2026-02-26 | Compactness and Spectral Properties of Multiplier Operators in the Walsh System
[arXiv] 2026-02-26 | A data- and compute-efficient chest X-ray foundation model beyond aggressive scaling
[arXiv] 2026-02-26 | Endogenous Poverty Traps in Continuous Time: A Signaling Approach
[arXiv] 2026-02-26 | Productivity and Collaboration in Hybrid Agile Teams: An Interview Study
[arXiv] 2026-02-26 | First measurement of the strong interaction scattering parameters for the $\mathbf{K^-d}$ and $\mathbf{K^+d}$ systems
[arXiv] 2026-02-26 | Weak dual symmetries of two color QCD phase diagram
[arXiv] 2026-02-26 | Face Time Traveller : Travel Through Ages Without Losing Identity
[arXiv] 2026-02-26 | PhotoAgent: Agentic Photo Editing with Exploratory Visual Aesthetic Planning
[arXiv] 2026-02-26 | Experimental investigation of the effect of dispersion on squeezing generation in a synchronously pumped optical parametric oscillator
[arXiv] 2026-02-26 | Communication-Guided Multi-Mutation Differential Evolution for Crop Model Calibration
[arXiv] 2026-02-26 | Molecule Mixture Detection and Design for MC Systems with Non-linear, Cross-reactive Receiver Arrays
[ACM] 2026-2-26 | People, Roles, and Growth: How HCI Careers Are Evolving
[IEEE] 2026-2-26 | An Extensible Framework Based on Graph-Guided Sample Replay for Motor Incremental Fault Diagnosis
[IEEE] 2026-2-26 | A Self-Powered WuRX with RF Energy Harvesting: Time Division Multiplexing for Dual-Band
[IEEE] 2026-2-26 | Enhanced Two-Stage Sparse Bayesian Learning Algorithm for Multi-Vehicle Precise Detection and Localization with MIMO-FMCW Radar
[IEEE] 2026-2-26 | UKF-Based Adaptive Dynamic Programming for Optimal Control of Uncertain Quarter-Vehicle Suspension Systems With Input Constraints
[IEEE] 2026-2-26 | Attentive Neural Processes for Fast Trajectory Prediction in Underwater Acoustic Networks
[IEEE] 2026-2-26 | 2025 International Symposium on AI-Driven Image Processing and Computer Vision Technology (AIPCVT)
[IEEE] 2026-2-26 | EDS Meetings Calendar
[IEEE] 2026-2-26 | A Robotic Laser Welding Seam Tracking Method for Complex 3-D Weld Trajectories Based on Geometric Structure Analysis_supp8-3661009.mp4
[IEEE] 2026-2-26 | Long-term evaluation of joint resistivity in lap joints of REBCO tapes with indium depending on pre-joint process and storage temperature
[IEEE] 2026-2-26 | Lie Algebra-Based Probabilistic Shape Estimation of Flexible Continuum Robots from Sparse Pose Measurements
[IEEE] 2026-2-26 | A Reference Functional Architecture for Network Digital Twins in 6G Systems
[ACM] 2026-2-26 | The Conundrum of LLMs
[IEEE] 2026-2-26 | Table of Contents
[IEEE] 2026-2-26 | ICKG 2025 Program Committee
[IEEE] 2026-2-26 | Study on the Dynamic Response and Collapse Failure of 500kv DC Transmission Tower Line System Under Multi-Point Earthquake Excitation
[IEEE] 2026-2-26 | The Hook-in-CBEWS Framework: A Behavioral Design Framework for Enhancing Engagement in Community-Based Early Warning Systems
[IEEE] 2026-2-26 | A Modular Network Intrusion Detection Architecture Leveraging LLM Fine-Tuning with QLoRA and Textual Representation for Anomaly Detection
[IEEE] 2026-2-26 | Mechanism and Solutions of False Trip Caused by Main Signal Latching Fault in Valve Control System of UHVDC Flexible Converter Station
[IEEE] 2026-2-26 | Complex Scene Object Recognition and Segmentation Model Integrating Self-supervised Learning and Numerical Optimization Algorithm
[IEEE] 2026-2-26 | A Continuous-Wave Wind Lidar System based on an Adaptive Threshold Peak Retrieval Algorithm
[IEEE] 2026-2-26 | A Comparative Failure Analysis of Object Detection in Orthopantomography
[IEEE] 2026-2-26 | Method for Identifying Nonlinear Dynamic Control Objects of Beneficiation Technology
[IEEE] 2026-2-26 | Structural Extraction and Image Measurement Method for Complex Concrete Cracks
[IEEE] 2026-2-26 | ReviewGraph: A Knowledge Graph Embedding Based Framework for Review Rating Prediction with Sentiment Features
[IEEE] 2026-2-26 | An ADC-Based Interoperability Evaluation Framework for Unmanned Systems with Combined Weighting Method
[IEEE] 2026-2-26 | A Physics-Informed Deep Reinforcement Learning Framework for Obstacle Avoidance and Path Planning of AUV
[IEEE] 2026-2-26 | DMF-MH:Dual-Stage Modality-Aware Fusion for Modality Heterogeneity in Multimodal Knowledge Graph Completion
[IEEE] 2026-2-26 | Integrated Study on Material Compatibility and Structural Design for Natural Ester Transformers
[IEEE] 2026-2-26 | Multi-Energy Load Forecasting for Integrated Energy Systems Based on Mamba-Graph Convolutional Networks
[IEEE] 2026-2-26 | Prevention Label Enrichment in a Network Intrusion Detection System Benchmark Dataset
[IEEE] 2026-2-26 | Guest Editorial TCAS-I Special Issue Guest Editorial Based on the 16th IEEE Latin American Symposium on Circuits and Systems
[IEEE] 2026-2-26 | Adaptive Multi-Scale Attention Mechanism for Robust Action Recognition in Complex Scenes
[IEEE] 2026-2-26 | Knowledge-Driven Multi-Agent AI for Interpretable Yield Optimization in Semiconductor Manufacturing
[IEEE] 2026-2-26 | Machine Learning-Based Prediction for Dynamic Line Rating of Transmission Lines
[IEEE] 2026-2-26 | Implementation of the Online Virtual Labs in Electrical Engineering in the Learning Environment of Higher Education Institution
[IEEE] 2026-2-26 | Comparative Analysis of CNN Architectures’ Performance with Vision Transformer for Batik Type Classification
[IEEE] 2026-2-26 | Mining Tourist Sentiment at Scale for Personalized Marketing in Brunei
[IEEE] 2026-2-26 | The Optimal Regenerative Braking Control of BLDC Motor for Light Electric Vehicle
[IEEE] 2026-2-26 | Approximation Algorithm for Minimum Weight Sweep Coverage Without Predetermined Sinks
[IEEE] 2026-2-26 | A Dual-Strategy Framework for High-Resolution Typographic Defect Segmentation
[IEEE] 2026-2-26 | Patient Similarity Prediction Based on Facial Diagnosis Features
[IEEE] 2026-2-26 | A Direct-Capacitance-Conversion FeRAM Characterization Platform for Enabling Non-Destructive 3D Ferroelectric Capacitor Readout
[IEEE] 2026-2-26 | Enhanced Field-Oriented Control for Induction Motors Under Open-Circuit Faults Using Decoupled Speed and Flux Control with Adaptive Control Technique
[IEEE] 2026-2-26 | A Dual-Mode Hydraulic Actuator for a Quasi-Passive Load-Carrying Exoskeleton in Multiple Conditions
[IEEE] 2026-2-26 | Blockchain-Assisted Meta-Learning for Efficient and Reliable Authentication in IoV
[IEEE] 2026-2-26 | Enhancing Software Interoperability Through Virtual Knowledge Graphs from Object-Oriented APIs
[IEEE] 2026-2-26 | Interpretable Merging-Vehicle Acceleration Prediction via a Decoder-Only Transformer and Attention Map Clustering
[IEEE] 2026-2-26 | PCCE 2025 Content Announcement Page
[IEEE] 2026-2-26 | Design and Experimental Validation of a Safe Control Strategy for Reconfigurable Batteries
[IEEE] 2026-2-26 | CSTNet: A Cross-Scale Transformer Network for Singing Melody Extraction
[IEEE] 2026-2-26 | Exploring Generative AI for Mitigating Digital Twin Deviation in Secure Vehicular Edge Computing
[IEEE] 2026-2-26 | Adaptive Fuzzy Logic-Based SMO Utilizing Higher Order Soft-Sign Function With ROA Tuned PI Gains for Sensorless PMSM Drive
[IEEE] 2026-2-26 | Table of Contents
[IEEE] 2026-2-26 | TD3-Enhanced Adaptive Active Disturbance Rejection Control for Bidirectional DC-DC Converter in Photovoltaic-Battery Hybrid Microgrids
[IEEE] 2026-2-26 | CapsFormer: A Dual-Stream Causal-Aware Capsule-Transformer Network for EMG Signal Representation Learning
[IEEE] 2026-2-26 | Cover
[IEEE] 2026-2-26 | Investigating the Properties of a New Vertical 4H-SiC Photoconductive Semiconductor Switch With a Double-Side Epitaxial Structure
[IEEE] 2026-2-26 | AirSpy: An Air-pinch Keystroke Inference Attack on Virtual Keyboards in VR Systems
[IEEE] 2026-2-26 | Active Harmonic Voltage Injection Facilitating Application of Impedance Measurement-Based Protection in Microgrids_supp1-3668047.docx
[IEEE] 2026-2-26 | Cardiology-Chat: A Multi-LLMs powered System for Cardiac Diagnostic Reasoning and Clinical Support
[IEEE] 2026-2-26 | Efficient Object Detection and Depth Estimation Algorithms for Transportation Scenarios
[IEEE] 2026-2-26 | Dual-band frequency selective rasorber with absorption effect in the X band
[IEEE] 2026-2-26 | HLTSA: A Hierarchical-Updated Tree-Seed Algorithm with Dynamic Benchmark Selection and Mean Position Guidance
[IEEE] 2026-2-26 | Modeling and Optimization Design Method for Curved Conformal Frequency Selective Surfaces Based on Adaptive Spatial Variant Lattice Algorithm
[IEEE] 2026-2-26 | Research on smoke screen delivery methods based on composite algorithms
[IEEE] 2026-2-26 | Research on Multi-Object Tracking Algorithms Combining Pedestrian Appearance Features under Occlusion Conditions
[IEEE] 2026-2-26 | Ancillary Service Market Mechanisms and Value Realization of Regulating Resources in Modern Power Systems: International Comparisons and Implications
[IEEE] 2026-2-26 | Research on Hot-Line Replacement Technology and Temporary Support System for Main Member of DC Transmission Line Based on Load Transfer
[IEEE] 2026-2-26 | YOLOv8-Dynamicatss-Based Method for Extracting Structural Component Information in Bridge Engineering
[IEEE] 2026-2-26 | Impact of Heterogeneity in Electric Vehicle Fast Charging Profiles on Queuing and Grid Load
[IEEE] 2026-2-26 | Application Technology of Real-Time Situational Detection for Mobile Low-Altitude UAVs Along Coastal Areas
[IEEE] 2026-2-26 | Blind Source-Separation-Based Method for Suppressing Radar Mainlobe Deceptive Jamming via Range-Domain Sparsity-Based Screening
[IEEE] 2026-2-26 | Development of Multimedia Tests in Electrical Technologies in Online Learning Environment
[IEEE] 2026-2-26 | Topic-Enhanced Instruction Tuning for Automatic Knowledge Graph Construction
[IEEE] 2026-2-26 | An Adaptive SOC Virtual Inertia Control Strategy for Receiving-End GFM-MMCs with DC-Side Battery Energy Storage
[IEEE] 2026-2-26 | Renewable Energy-Based Charging Infrastructure for Electric Vehicles: A Review
[IEEE] 2026-2-26 | Weekly Refined Unit Commitment for Provincial Power Systems with High Penetration of Renewables
[IEEE] 2026-2-26 | HUSHHH: An Immersive 3D Puzzle-Solving Game for Sign Language Learning
[IEEE] 2026-2-26 | A Preliminary Investigation of a Mathematics Educational Game (Math Planet) for Supporting Slow Learners in Mathematics: Exploring the Potential of AI Integration
[IEEE] 2026-2-26 | SSGR-AR: Semantic-Enhanced Scene Graph Reasoning for Robust Video Action Recognition
[IEEE] 2026-2-26 | An LFCP-Based Line Protection for Full DC Offshore Wind Power System
[IEEE] 2026-2-26 | ATDP-HGNN: An Attention-Enhanced Dual-Hypergraph Neural Network for Drug-Pathway Association Prediction
[IEEE] 2026-2-26 | Solar Panels Defect Detection and Classification Based on ResNet50
[IEEE] 2026-2-26 | MBS-Net: A Mamba-based Network for Efficient Remote Sensing Building Segmentation
[IEEE] 2026-2-26 | Soft-Masked Mixture of Experts for Point-Cloud Denoising
[IEEE] 2026-2-26 | Dual-View Compressed Knowledge Distillation for Defect Detection and Evaluation
[IEEE] 2026-2-26 | Graph Reinforcement Learning—Based Distribution Network Expansion Planning Algorithm
[IEEE] 2026-2-26 | A High-Speed Desaturation Protection Strategy for IGBTs Based on Coordinated Parameter Design
[IEEE] 2026-2-26 | Factor Graph Optimization based Sensor Fusion Positioning Algorithm for UAV in GPS-denied Environment
[IEEE] 2026-2-26 | SplitFusion: Asymmetric Parallel Inference for Diffusion Model in Heterogeneous Computility Network
[IEEE] 2026-2-26 | Analysis of the Impact of the LVRT Threshold on the Active Power Transfer Capability of Renewable Energy
[IEEE] 2026-2-26 | Smart Movement: Identifying Factors Impact on Purchase Intention of E-Motorcycle in Vietnam
[IEEE] 2026-2-26 | Fault Location of a Distribution Network Hierarchical Model with a Distribution Generator Based on Improved Dung Beetle Optimization Algorithm
[IEEE] 2026-2-26 | ICKG 2025 Organizing Committee
[IEEE] 2026-2-26 | V-Model Design and Experimental Validation for Robust Direct Power Control of Wind Energy Conversion Systems
[IEEE] 2026-2-26 | Gait Planning &amp; Adaptive Impedance Control for Turning Walk Based on a Self-Balancing Lower Limb Exoskeleton
[IEEE] 2026-2-26 | SAM-PTx: Text-Guided Fine-Tuning of SAM with Parameter-Efficient, Parallel-Text Adapters
[IEEE] 2026-2-26 | Neural Learning Control of Fighter Aircraft at High-Angle-of-Attack Maneuvers with Online Recorded Data and Disturbance Observer
[IEEE] 2026-2-26 | Deep reinforcement learning for chaos control of a nonlinear jumping quarter-car model
共写入 200 条记录，保存到 papers/paper2026-02-26.json。
论文获取成功，文件路径: papers/paper2026-02-26.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | The regularity of the boundary of vortex patches for the quasi-geostrophic shallow-water equations
[NO] 2/200 | Evaluating and Improving Automated Repository-Level Rust Issue Resolution with LLM-based Agents
[NO] 3/200 | Towards a microscopic description of 12C+12C fusion at stellar energies
[NO] 4/200 | Towards Simulating Social Media Users with LLMs: Evaluating the Operational Validity of Conditioned Comment Prediction
[NO] 5/200 | Uniformly elliptic boundary value problems
[NO] 6/200 | AMLRIS: Alignment-aware Masked Learning for Referring Image Segmentation
[NO] 7/200 | HulluEdit: Single-Pass Evidence-Consistent Subspace Editing for Mitigating Hallucinations in Large Vision-Language Models
[NO] 8/200 | Replacing Multi-Step Assembly of Data Preparation Pipelines with One-Step LLM Pipeline Generation for Table QA
[NO] 9/200 | Interpreting and Steering State-Space Models via Activation Subspace Bottlenecks
[NO] 10/200 | RLHFless: Serverless Computing for Efficient RLHF
[NO] 11/200 | SoPE: Spherical Coordinate-Based Positional Embedding for Enhancing Spatial Perception of 3D LVLMs
[NO] 12/200 | KMT-2024-BLG-3237: Another Free-Floating Planet Candidate with Angular Einstein Radius Measurement
[NO] 13/200 | Mayer--Vietoris and Twisted Čech Spectral Sequences for C$^*$-Algebras with Free Quantum Group Coefficients
[NO] 14/200 | IMMACULATE: A Practical LLM Auditing Framework via Verifiable Computation
[NO] 15/200 | Reinforcing Real-world Service Agents: Balancing Utility and Cost in Task-oriented Dialogue
[NO] 16/200 | No Caption, No Problem: Caption-Free Membership Inference via Model-Fitted Embeddings
[NO] 17/200 | Relativistic Tidal Dissipation and the Gravitational-wave Signal of a White Dwarf Orbiting an Intermediate-Mass Black Hole
[NO] 18/200 | SUPERGLASSES: Benchmarking Vision Language Models as Intelligent Agents for AI Smart Glasses
[NO] 19/200 | Automated Identification of the Tip of the Red Giant Branch in Globular Clusters with Gaia Data
[NO] 20/200 | Monocular Open Vocabulary Occupancy Prediction for Indoor Scenes
[NO] 21/200 | Rethinking the Practicality of Vision-language-action Model: A Comprehensive Benchmark and An Improved Baseline
[NO] 22/200 | Scaling Audio-Visual Quality Assessment Dataset via Crowdsourcing
[NO] 23/200 | Deepfake Word Detection by Next-token Prediction using Fine-tuned Whisper
[NO] 24/200 | Exact mapping of a spin glass with correlated disorder to the pure Ising model
[NO] 25/200 | Gyrokinetic turbulent transport simulations on steady burning condition in D-T-He plasmas
[NO] 26/200 | Uniform Stability of Oscillatory Shocks for KdV-Burgers Equation
[NO] 27/200 | MUG: Meta-path-aware Universal Heterogeneous Graph Pre-Training
[NO] 28/200 | Topological entropy, mean dimension, and weakly equivalent flows
[NO] 29/200 | QuadSync: Quadrifocal Tensor Synchronization via Tucker Decomposition
[NO] 30/200 | Vibration induced transparency and absorption with two ion ensembles in a linear trap
[NO] 31/200 | SYK thermal expectations are classically easy at any temperature
[NO] 32/200 | A Multi-Diagnostic Observational Framework for Magnetosonic Solitary Waves During Geomagnetic Storms in Solar Cycles 24 and 25 using Cluster II Mission
[NO] 33/200 | Mitigating Membership Inference in Intermediate Representations via Layer-wise MIA-risk-aware DP-SGD
[NO] 34/200 | DP-aware AdaLN-Zero: Taming Conditioning-Induced Heavy-Tailed Gradients in Differentially Private Diffusion
[NO] 35/200 | A Thermodynamic Structure of Asymptotic Inference
[NO] 36/200 | Mean-field games with rough common noise: the compactification approach
[NO] 37/200 | Relating the Neural Representations of Vocalized, Mimed, and Imagined Speech
[NO] 38/200 | BetterScene: 3D Scene Synthesis with Representation-Aligned Generative Model
[NO] 39/200 | FLYING SERVING: On-the-Fly Parallelism Switching for Large Language Model Serving
[NO] 40/200 | Correcting Human Labels for Rater Effects in AI Evaluation: An Item Response Theory Approach
[NO] 41/200 | FuxiShuffle: An Adaptive and Resilient Shuffle Service for Distributed Data Processing on Alibaba Cloud
[NO] 42/200 | S2O: Early Stopping for Sparse Attention via Online Permutation
[NO] 43/200 | Directional first order approach for a class of bilevel programs
[NO] 44/200 | Addressing Climate Action Misperceptions with Generative AI
[NO] 45/200 | Layer-Targeted Multilingual Knowledge Erasure in Large Language Models
[NO] 46/200 | Operationalizing Fairness: Post-Hoc Threshold Optimization Under Hard Resource Limits
[NO] 47/200 | CourtGuard: A Model-Agnostic Framework for Zero-Shot Policy Adaptation in LLM Safety
[NO] 48/200 | Coarse-to-Fine Learning of Dynamic Causal Structures
[NO] 49/200 | Interpretable self-driving sputter epitaxy: from black-box optimization to human-usable growth rules
[NO] 50/200 | Systems-Level Attack Surface of Edge Agent Deployments on IoT
[NO] 51/200 | Cognitive Models and AI Algorithms Provide Templates for Designing Language Agents
[NO] 52/200 | TEFL: Prediction-Residual-Guided Rolling Forecasting for Multi-Horizon Time Series
[NO] 53/200 | Multiplicative Diophantine Approximation on Planar Lines with Restricted Denominators
[NO] 54/200 | Fluctuations in the weakly coupled 4D Anderson Hamiltonian
[NO] 55/200 | A Perfectoid Duality Between M-Theory and F-Theory
[NO] 56/200 | Syzygies and Koszul modules in geometry
[NO] 57/200 | From Shallow Bayesian Neural Networks to Gaussian Processes: General Convergence, Identifiability and Scalable Inference
[NO] 58/200 | Highly Efficient Second/Third Harmonic Generation in van der Waals Layered Material AgScP2S6 with Anisotropic Polarization and Temperature Dependence
[NO] 59/200 | Merging of zonal flows in gyrofluid resistive drift-wave turbulence
[NO] 60/200 | Regular Fourier Features for Nonstationary Gaussian Processes
[NO] 61/200 | Managing Uncertainty in LLM-based Multi-Agent System Operation
[NO] 62/200 | Local boundedness for weak solutions to fractional porous medium equation
[NO] 63/200 | CFT derivation of entanglement phase transition in pseudo entropy
[NO] 64/200 | Understanding Older Adults' Experiences of Support, Concerns, and Risks from Kinship-Role AI-Generated Influencers
[NO] 65/200 | Holomorphic Quantization in Constant Curvature Backgrounds
[NO] 66/200 | Obscure but Effective: Classical Chinese Jailbreak Prompt Optimization via Bio-Inspired Search
[NO] 67/200 | Chalcogen Impurity Barriers in 2D Systems via Semi-Empirical/Machine Learning Modeling: A Survey over 4000 Materials
[NO] 68/200 | Coupling between Phase Separation and Geometry on a Closed Elastic Curve: Free Energy Minimization and Dynamics
[NO] 69/200 | Modeling Expert AI Diagnostic Alignment via Immutable Inference Snapshots
[NO] 70/200 | Scaling Laws of Global Weather Models
[NO] 71/200 | MM-NeuroOnco: A Multimodal Benchmark and Instruction Dataset for MRI-Based Brain Tumor Diagnosis
[NO] 72/200 | Automated Robotic Needle Puncture for Percutaneous Dilatational Tracheostomy
[NO] 73/200 | A Comparative Study of Structural Representations for 2D Materials: Insights from Dynamic Collision Fingerprint and Matminer
