[2026-02-11 09:46:24] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-10
正在获取论文...
[arXiv] 2026-02-10 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[arXiv] 2026-02-10 | Cavity control of multiferroic order in single-layer NiI$_2$
[arXiv] 2026-02-10 | Assessment of jet inflow conditions on the development of supersonic jet flows
[arXiv] 2026-02-10 | LLM-FS: Zero-Shot Feature Selection for Effective and Interpretable Malware Detection
[arXiv] 2026-02-10 | Fully Differentiable Bidirectional Dual-Task Synergistic Learning for Semi-Supervised 3D Medical Image Segmentation
[arXiv] 2026-02-10 | Orbital Period Changes of Recurrent Nova T Pyxidis Demonstrate that M_ejecta >> 11.3xM_accreted and Is Not a Type Ia Supernova Progenitor
[arXiv] 2026-02-10 | Schrödinger operators with concentric $δ$--shell interactions
[arXiv] 2026-02-10 | Latent Poincaré Shaping for Agentic Reinforcement Learning
[arXiv] 2026-02-10 | A proof of Dolbeault geometric Langlands for $\GL_2$ with reduced spectral curves
[arXiv] 2026-02-10 | Data Sharing with Endogenous Choices over Differential Privacy Levels
[arXiv] 2026-02-10 | Quantum Correlation Dynamics Subjected to Quantum Reset-Driven Environment
[arXiv] 2026-02-10 | Digital Linguistic Bias in Spanish: Evidence from Lexical Variation in LLMs
[arXiv] 2026-02-10 | AgentCgroup: Understanding and Controlling OS Resources of AI Agents
[arXiv] 2026-02-10 | Stable Canonical Rules for Intuitionistic Modal Logics
[arXiv] 2026-02-10 | Hitting Probabilities of Finite Points for One-Dimensional Lévy Processes
[arXiv] 2026-02-10 | Measuring Dataset Diversity from a Geometric Perspective
[arXiv] 2026-02-10 | XMap: Fast Internet-wide IPv4 and IPv6 Network Scanner
[arXiv] 2026-02-10 | Revealing Gauge Constraints in LQG-Inspired Yang-Mills Theory
[arXiv] 2026-02-10 | Performance Comparison of CNN and AST Models with Stacked Features for Environmental Sound Classification
[arXiv] 2026-02-10 | GAFR-Net: A Graph Attention and Fuzzy-Rule Network for Interpretable Breast Cancer Image Classification
[arXiv] 2026-02-10 | Clarifying Shampoo: Adapting Spectral Descent to Stochasticity and the Parameter Trajectory
[arXiv] 2026-02-10 | On A Parameterized Theory of Dynamic Logic for Operationally-based Programs
[arXiv] 2026-02-10 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[arXiv] 2026-02-10 | Positive-Unlabelled Active Learning to Curate a Dataset for Orca Resident Interpretation
[arXiv] 2026-02-10 | Towards an OSF-based Registered Report Template for Software Engineering Controlled Experiments
[arXiv] 2026-02-10 | A Trainable-Embedding Quantum Physics-Informed Framework for Multi-Species Reaction-Diffusion Systems
[arXiv] 2026-02-10 | Improved Parallel Repetition for GHZ-Supported Games via Spreadness
[arXiv] 2026-02-10 | Disambiguating Anthropomorphism and Anthropomimesis in Human-Robot Interaction
[arXiv] 2026-02-10 | Submodularity of the expected information gain in infinite-dimensional linear inverse problems
[arXiv] 2026-02-10 | X-Mark: Saliency-Guided Robust Dataset Ownership Verification for Medical Imaging
[arXiv] 2026-02-10 | Bayesian network approach to building an affective module for a driver behavioural model
[arXiv] 2026-02-10 | AlignTune: Modular Toolkit for Post-Training Alignment of Large Language Models
[arXiv] 2026-02-10 | With Argus Eyes: Assessing Retrieval Gaps via Uncertainty Scoring to Detect and Remedy Retrieval Blind Spots
[arXiv] 2026-02-10 | On the Hilbert depth of the quotient ring of the edge ideal of a complete bipartite graph
[arXiv] 2026-02-10 | Clifford algebras, meson algebras and higher order generalisations
[arXiv] 2026-02-10 | Hand2World: Autoregressive Egocentric Interaction Generation via Free-Space Hand Gestures
[arXiv] 2026-02-10 | Highly suppressed tensor-to-scalar ratio from a modified Lennard-Jones inflationary potential
[arXiv] 2026-02-10 | Why the Counterintuitive Phenomenon of Likelihood Rarely Appears in Tabular Anomaly Detection with Deep Generative Models?
[arXiv] 2026-02-10 | Topological constraints suppress shear localization in granular chain ensembles
[arXiv] 2026-02-10 | Preference Aligned Visuomotor Diffusion Policies for Deformable Object Manipulation
[arXiv] 2026-02-10 | Amplitude-Phase Separation toward Optimal and Fast-Forwardable Simulation of Non-Unitary Dynamics
[arXiv] 2026-02-10 | Higher Hardness Results for the Reconfiguration of Odd Matchings
[arXiv] 2026-02-10 | ECG-IMN: Interpretable Mesomorphic Neural Networks for 12-Lead Electrocardiogram Interpretation
[arXiv] 2026-02-10 | Optimal Control of Microswimmers for Trajectory Tracking Using Bayesian Optimization
[arXiv] 2026-02-10 | Observational Constraints and Geometric Diagnostics of Barboza-Alcaniz and Logarithmic Dark Energy Parametrizations
[arXiv] 2026-02-10 | ReSIM: Re-ranking Binary Similarity Embeddings to Improve Function Search Performance
[arXiv] 2026-02-10 | Scalpel: Fine-Grained Alignment of Attention Activation Manifolds via Mixture Gaussian Bridges to Mitigate Multimodal Hallucination
[arXiv] 2026-02-10 | Tensor CUR Decomposition under the Linear-Map-Based Tensor-Tensor Multiplication
[arXiv] 2026-02-10 | UniARM: Towards a Unified Autoregressive Reward Model for Multi-Objective Test-Time Alignment
[arXiv] 2026-02-10 | Autoregressive Direct Preference Optimization
[arXiv] 2026-02-10 | Split, Skip and Play: Variance-Reduced ProxSkip for Tomography Reconstruction is Extremely Fast
[arXiv] 2026-02-10 | Attention to details, logits to truth: visual-aware attention and logits enhancement to mitigate hallucinations in LVLMs
[arXiv] 2026-02-10 | Invariance Galoisienne des zéros centraux de fonctions L
[IEEE] 2026-2-10 | Design of a Linear Optimal Controller for Mobile Robots Using Distance Normalization Factor
[IEEE] 2026-2-10 | Early Fire-Warning Strategy for High Voltage Cables Based on Pyrolysis Characteristics of PE Outer Sheath at Different Temperatures
[IEEE] 2026-2-10 | Ninth IEEE RADIO International Conference, 27–30 October 2025, Mauritius [AP-S Committees &amp; Activities]_supp1-3638524.pdf
[IEEE] 2026-2-10 | Low complexity probability shaping scheme based on energy-tier template insertion
[IEEE] 2026-2-10 | Balancing Safety and Learning in IoT: A Risk-Aware Reinforcement Learning Approach
[IEEE] 2026-2-10 | Sequential Hybrid Synthesis for Thinned Prephased Electronically Steered Phased Array Using Low-Resolution Phase Shifters and RF Switches
[IEEE] 2026-2-10 | A 4.25–8.45-GHz 67% Chirp-Fractional Bandwidth −121.5-dBc/Hz PN at 1-MHz 88-fs Jitter FMCW Synthesizer With Fractional-Bandwidth-Boosting and Phase-Noise-Cancellation Techniques
[IEEE] 2026-2-10 | Evanescent Mode Waveguide Resonator for High-Sensitive Nondestructive Testing Application
[IEEE] 2026-2-10 | Collaborative Control of Four-Level Hybrid Clamped Converter With CMV Suppression and Capacitor Voltage Fluctuation Reduction
[IEEE] 2026-2-10 | Security-Based Practical Fixed-Time Adaptive Control for High-Power Nonlinear Cyber-Physical Systems
[IEEE] 2026-2-10 | A Stochastic Time-Dependent Optimization for Sustainable E-Grocery Chain with Cold-Storage Hubs and Perishability Constraints
[IEEE] 2026-2-10 | Evaluating airborne LiDAR data-Derived canopy geometry for 3D radiative transfer simulations_supp1-3662359.docx
[IEEE] 2026-2-10 | Bayesian Tensor Interpolative Decomposition for IoT-based Healthcare Data Multi-way Analytics
[IEEE] 2026-2-10 | Structure-Preserving EEG Augmentation via Riemannian Conditional Generative Adversarial Networks
[IEEE] 2026-2-10 | AquaticCLIP: A Vision-Language Foundation Model and Dataset for Underwater Scene Analysis_supp1-3657138.pdf
[IEEE] 2026-2-10 | Visibility of Domain Elements in the Elicitation Process Interviews: A Family of Empirical Studies
[IEEE] 2026-2-10 | A DTC-based Snapshot ADPLL with Feedforward Fractional Spur Cancellation and Asynchronous Duty-Modulation Dithering DCO Achieving -71.6 dBc Fractional Spur in 65-nm CMOS Process
[IEEE] 2026-2-10 | Meta Guided-Graph Lightweight TimesNet for Traffic Prediction in the Internet of Vehicles
[IEEE] 2026-2-10 | ESAChain: A Blockchain-Based Efficient Service Authentication Framework for Secure Metaverse Service Interactions
[IEEE] 2026-2-10 | Throughput Optimization of Receiver-limited Optical Wireless Communication System
[IEEE] 2026-2-10 | Applications of glutathione-capped gold nanoclusters in heterogeneous catalytic reduction of 4- nitrophenol and fluorescent sensing of mercury ions
[IEEE] 2026-2-10 | Error Reconstruction Based Prescribed-Time Fault-Tolerant Control for QUAV
[IEEE] 2026-2-10 | VIS 2025 Conference Committee
[IEEE] 2026-2-10 | ZeroBot: Learning from Scratch in Minutes with Generative Real2Sim_supp1-3662595.mp4
[IEEE] 2026-2-10 | Resource-Efficient Adaptive Tracking for Uncertain Multi-Agent Networks via Layered Event-Driven Architecture
[IEEE] 2026-2-10 | Low-Overhead Sensing-Aided Communication with Frequency-Compensated Rainbow Beams
[IEEE] 2026-2-10 | A Resource-Efficient Blockchain With Delegated Fault-Tolerance for Manufacturing Nodes
[IEEE] 2026-2-10 | A Vision-Based Framework for Safe Landing Zone Mapping of UAVs in Dynamic Environments
[IEEE] 2026-2-10 | Decentralized Optimization of Spectral Efficiency for Scalable CF-RAN with Network-Assisted Free-Duplex
[ACM] 2026-2-10 | Kolmogorov Complexity Characterizes Statistical Zero Knowledge
[IEEE] 2026-2-10 | DecentraBot: An Intent-Aware LLM-Powered Conversational Agent With What-Next Prompting for Decentraland Users_supp1-3656955.pdf
[IEEE] 2026-2-10 | A Kinesthetic Teaching Framework for Tasks With Contact Transitions and Time-Optimized Execution_supp1-3662532.mp4
[IEEE] 2026-2-10 | Cryogenic Superconducting Current-Source Inverters Enabled Through
                    <i>J$_{c}$$(B)$</i>
                    Switches
[IEEE] 2026-2-10 | BiCaution: Bridging Forward&amp;#x2013;Backward Interventional and Counterfactual Causal Establishment for Event Graph-Based Abductive&amp;#x00A0;Reasoning_supp1-3656122.pdf
[IEEE] 2026-2-10 | Underwater Acoustic Target Classification using Hybrid Temporal-Spectral Feature Learning Network
[IEEE] 2026-2-10 | Stress Detection Using Heart Rate Variability and Respiratory Signals Derived From a Single-Lead ECG
[IEEE] 2026-2-10 | A Novel Self-Activated Gate-Clamping SiC MOSFET Enhancing Short Circuit Capability With Merit of Multicell Combination
[IEEE] 2026-2-10 | Dry Noncontact Microwave Breast Imaging Based on Variational ModeDecomposition
[IEEE] 2026-2-10 | User Intent Guided Query Reasoning over Knowledge Graph
[IEEE] 2026-2-10 | GNSS Positioning Based on 3D LiDAR Perception and Virtual Grid-Based Differential Correction in Urban Environments
[IEEE] 2026-2-10 | From Obstacles to Etiquette: Robot Social Navigation with VLM-Informed Path Selection_supp1-3662586.mp4
[IEEE] 2026-2-10 | Design and Optimization of MEMS Vacuum Gauge Circuits for Enhanced Leakage Suppression and Accurate Capacitance Conversion
[IEEE] 2026-2-10 | A 28-GHz Compact Phased-Array Beamformer With 21.3-dBm
                    <i>P</i>
                    <sub>SAT</sub>
                    and 5.2-dB Noise Figure in 40-nm CMOS
[IEEE] 2026-2-10 | Development of a Life Enrichment Education Curriculum for Rural Women in India
[IEEE] 2026-2-10 | Robust IRS Beamforming for IoT-Enabled LEO Satellite Systems via Channel Decoupling under Ephemeris-Aided Statistical Modeling
[IEEE] 2026-2-10 | Autonomous Sensorless Control Strategy for FP-PMSM Considering Operation Uncertainties with DCEE
[IEEE] 2026-2-10 | Multi-Resolution Cross-Attention Transformer for Spatiotemporal Prediction of Permafrost Deformation in InSAR Time Series_supp1-3662345.docx
[IEEE] 2026-2-10 | AVQACL++: Toward a Robust Framework and Benchmark for Audio-Visual Question Answering Continual Learning_supp1-3662386.pdf
[IEEE] 2026-2-10 | Geometry-Aware Conditional GAN for Sub-THz Channel Generation and Modeling in IIoT
[IEEE] 2026-2-10 | Partial Discharge Anomaly Detection and Severity Assessment for HV Bushings Based on Self-Supervised Adversarial Encoder Network and Gaussian Mixture Model
[IEEE] 2026-2-10 | FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp1-3662618.mp4
[IEEE] 2026-2-10 | Disturbance-rejection Synchronization Control of USVs with Input Saturation and Communication Link Faults
[IEEE] 2026-2-10 | GNSS/SINS Tightly Coupled Integration Using a Rotating Antenna: Observability Analysis and Performance Evaluation
[IEEE] 2026-2-10 | A 3D Correlated Blockage Model for Satellite Networks
[IEEE] 2026-2-10 | Optimal Receiving System Using Ground Electrode Arrays for Through-the-Earth Communication
[IEEE] 2026-2-10 | Parallel variational quantum algorithms with gradient-informed restart to speed up optimization in the presence of barren plateaus
[IEEE] 2026-2-10 | TAFA: Blockchain-Based Integrating Genetic Algorithm and DQN for Secure File Allocation
[IEEE] 2026-2-10 | Multi-Agent Reinforcement Learning Based on Hybrid Action Representation for UAV Swarms’ Integrated Communication and Control
[IEEE] 2026-2-10 | Design and Control of a Novel Hybrid Typed Outdoor Mobile Robot Platform: MobED_supp1-3662632.mp4
[IEEE] 2026-2-10 | High-Temperature Performance of SiC NPN X-Ray Detector
[IEEE] 2026-2-10 | 3D-Printed Volume Adjustable Socket for Above-Knee Prostheses_supp1-3662558.mp4
[IEEE] 2026-2-10 | A Memristor-Based Neural Network Circuit with Classical Conditioning and Fear Generalization
[IEEE] 2026-2-10 | Preface
[IEEE] 2026-2-10 | A Compact Broadband Transition From Ground Coplanar Waveguide to Folded SIW
[IEEE] 2026-2-10 | Improving Semiconductor Defect Classification in SEM Images via Domain Adaptation
[IEEE] 2026-2-10 | LiveIndex: An Index-Driven Hybrid-Storage Blockchain Framework for Cross-Domain Data Governance
[IEEE] 2026-2-10 | Adaptive Shared Cascade Navigation Control of Magnetic Microrobots in Unstructured Dynamic Environments
[IEEE] 2026-2-10 | Enabling Population-Level Parallelism in Tree-Based Genetic Programming for GPU Acceleration
[IEEE] 2026-2-10 | A Cross-Domain Milk Freshness Detection Method Based on Transfer Learning
[IEEE] 2026-2-10 | Beyond Single-Scale: A Multi-Scale Approach to Semantic-Enhanced Crop Disease Recognition through Image-Text Fusion
[IEEE] 2026-2-10 | An Ultra-Fast AOT Buck Converter Using Capacitor Current Sensing Technique
[IEEE] 2026-2-10 | Single-Stage Lesion Identification in $^{68}$Ga-DOTATATE PET Images
[IEEE] 2026-2-10 | Observer-aided Adaptive Consensus Control of Cyber-physical Multi-Agent Systems with Hybrid Attacked Topology
[IEEE] 2026-2-10 | RRAM: A Reconfigurable Request-Rate-Aware Multi-DNN Accelerator Based on FPGA_supp1-3662511.pdf
[IEEE] 2026-2-10 | PHENet: Towards Robust Fog-Resilient Change Detection in Remote Sensing Imagery with a Physics-Guided Height-Enhanced Network
[IEEE] 2026-2-10 | Magnetic Electrochemical Nano-biosensors for Detection of Neuron-specific Enolase_supp1-3660638.docx
[IEEE] 2026-2-10 | FLARE: Agile Flights for Quadrotor Cable-Suspended Payload System via Reinforcement Learning_supp1-3662598.mp4
[IEEE] 2026-2-10 | A Simple Compliant Gripper That Reconfigures Between Sensing and Grasping Modes_supp2-3662656.mp4
[IEEE] 2026-2-10 | Application of the Born Approximation for Modeling EM Effects of Moving Materials in COMSOL Multiphysics
[IEEE] 2026-2-10 | A 20-Gb/s/pin 0.42-pJ/b Single-Ended Receiver with Ping-Pong Self-Referencing Technique
[IEEE] 2026-2-10 | Synthesis of SmFeAsO Polycrystalline Bulks with Improved Purity by High-Energy Milling
[IEEE] 2026-2-10 | Dynamic Convolutional Neural Network for Digital Predistortion in Multistate PA Modeling
[IEEE] 2026-2-10 | Shifting Maximum Efficiency Point Tracking and Battery Model to the Primary-Side Control of SS-Compensated Wireless Charging Systems
[IEEE] 2026-2-10 | Robust Physics-Informed Penalty-Free Machine Learning Method for Solving 3-D Maxwell’s Equations in the Frequency Domain
[IEEE] 2026-2-10 | Cascaded Optical Reconfigurable Intelligent Reflecting Surfaces for Multi-Hop Optical Wireless Communications
[IEEE] 2026-2-10 | A Method for Converting Satellite-observed Thermal Infrared Radiance to Nadir Radiance: A Case Study in Desert Regions
[IEEE] 2026-2-10 | A Synchronized Orthogonal Gait Phase Estimation Method Based on the Inter-Thigh Angle
[IEEE] 2026-2-10 | Rate-Distortion Analysis for Sampled Correlated Cyclostationary Gaussian Processes
[IEEE] 2026-2-10 | Understanding Over-Squashing in Dynamic Graphs
[IEEE] 2026-2-10 | MemAscend: System Memory Optimization for SSD-Offloaded LLM Fine-Tuning
[IEEE] 2026-2-10 | Adaptive Symbol and Power Loading for OFDM-based Underwater Wireless Optical Semantic Communications
[IEEE] 2026-2-10 | Microwave surface resistance of Tl-1223 films in a dc magnetic field
[IEEE] 2026-2-10 | DAMON: Difference-Aware Medical Visual Question Answering via Multimodal Large Language Model
[IEEE] 2026-2-10 | Integration of Multiscale Simulations and AI Models for the Design of High-Performance Dielectric Polymers
[IEEE] 2026-2-10 | UAV-Enabled Covert Communication With Movable Antenna Against Cooperative Detection
[IEEE] 2026-2-10 | DaVinci: Performance-Driven Analog Routing via Multi-modality Guidance Prediction
[IEEE] 2026-2-10 | Omni-LIVO: Robust RGB-Colored Multi-Camera Visual-Inertial-LiDAR Odometry via Photometric Migration and ESIKF Fusion_supp1-3662590.mp4
[IEEE] 2026-2-10 | Hierarchical Optimization Framework for Robust PCB Defect Detection via Adaptive YOLOv12 Architecture
[IEEE] 2026-2-10 | Efficient Phase-Compensated Multi-Resonant Control for Inverter Applications
[IEEE] 2026-2-10 | Distributed Real-Time Optimization for UAV-Based MIMO Communication System with Dynamic Cooperative Performance Adaptation
共写入 200 条记录，保存到 papers/paper2026-02-10.json。
论文获取成功，文件路径: papers/paper2026-02-10.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[NO] 2/200 | Simpler Presentations for Many Fragments of Quantum Circuits
[NO] 3/200 | Free-GVC: Towards Training-Free Extreme Generative Video Compression with Temporal Coherence
[NO] 4/200 | Differentiable Tripartite Modularity for Clustering Heterogeneous Graphs
[NO] 5/200 | Geodesic networks and the disjointness gap in the directed landscape
[NO] 6/200 | Code2World: A GUI World Model via Renderable Code Generation
[NO] 7/200 | An Extension and Refinement of the Brouwer-Schauder-Tychonoff Fixed Point Theorem
[NO] 8/200 | Exciton fine structure in CdSe nanoplatelets using a quasi-2D screened configuration-interaction framework
[NO] 9/200 | Adaptive Single-Loop Methods for Stochastic Minimax Optimization on Riemannian Manifolds
[YES] 10/200 | 6G NTN Waveforms: A Comparison of OTFS, AFDM and OCDM in LEO Satellite Channels
[NO] 11/200 | LLM Reasoning Predicts When Models Are Right: Evidence from Coding Classroom Discourse
[NO] 12/200 | Well-quasi-orders on finite trees and transfinite sequences
[NO] 13/200 | Internalizing Multi-Agent Reasoning for Accurate and Efficient LLM-based Recommendation
[NO] 14/200 | Scaling laws for the cutoff wavenumber of the short-wavelength ion-temperature-gradient mode in a Z-pinch
[NO] 15/200 | PlugSI: Plug-and-Play Test-Time Graph Adaptation for Spatial Interpolation
[NO] 16/200 | Text summarization via global structure awareness
[NO] 17/200 | Estimating Electron Densities in the Middle Solar Corona using White-light and Radio Observations
[NO] 18/200 | Simple connectedness of the Ran space
[NO] 19/200 | Instantaneous modes in dispersive laser cavities
[NO] 20/200 | Efficient Unsupervised Environment Design through Hierarchical Policy Representation Learning
[NO] 21/200 | An Erdős--Trotter problem on antichains with multiplicity $r$ on each occurring level
[NO] 22/200 | Study of $B^+ \to μ^+ ν_μ$ decays at Belle and Belle II
[NO] 23/200 | Flexible Entropy Control in RLVR with Gradient-Preserving Perspective
[NO] 24/200 | Analysis of Galactic cirrus filaments in HSC-SSP high-resolution deep images using artificial neural networks
[NO] 25/200 | Phase Transition With Rapini-Papoular Surface Anchoring
[NO] 26/200 | Self-Supervised Learning as Discrete Communication
[NO] 27/200 | Wave Particle Turbulent Simulation of Spatially Developing Round Jets Using a Non Equilibrium Transport Model with a Mixing Length Characteristic Time Closure
[NO] 28/200 | Discrete equations from Bäcklund transformations of the fifth Painlevé equation
[NO] 29/200 | Exceptional nodal rings emerging in spinful Rice-Mele chains
[NO] 30/200 | How Geometry Tames Disorder in Lattice Fracture
[NO] 31/200 | An open-source implementation of a closed-loop electrocorticographic Brain-Computer Interface using Micromed, FieldTrip, and PsychoPy
[NO] 32/200 | Allure of Craquelure: A Variational-Generative Approach to Crack Detection in Paintings
[NO] 33/200 | Beyond Free-Stream Preservation: Transport Polynomial Exactness for Moving-Mesh Methods under Arbitrary Mesh Motion
[NO] 34/200 | ExO-PPO: an Extended Off-policy Proximal Policy Optimization Algorithm
[NO] 35/200 | Targum -- A Multilingual New Testament Translation Corpus
[NO] 36/200 | From Lightweight CNNs to SpikeNets: Benchmarking Accuracy-Energy Tradeoffs with Pruned Spiking SqueezeNet
[NO] 37/200 | TraceMem: Weaving Narrative Memory Schemata from User Conversational Traces
[NO] 38/200 | Extended Isolation Forest with feature sensitivities
[NO] 39/200 | Stellar-mass black holes in young massive and open stellar clusters -- VII. Comparisons with gravitational-wave events until LVK-O4a and Gaia compact binaries
[NO] 40/200 | High Photovoltaic Efficiency in Bulk-Stacked One-Dimensional GeSe$_{2}$ van der Waals Crystal
[NO] 41/200 | Resilient Class-Incremental Learning: on the Interplay of Drifting, Unlabelled and Imbalanced Data Streams
[NO] 42/200 | Talking with the Latents -- how to convert your LLM into an astronomer
[NO] 43/200 | Differentiable Modeling for Low-Inertia Grids: Benchmarking PINNs, NODEs, and DP for Identification and Control of SMIB System
[NO] 44/200 | Tunable many-body burst in isolated quantum systems
[NO] 45/200 | Organic Acid Chemistry in ISM: Detection of Formic Acid and its Prebiotic Chemistry in Hot Core G358.93$-$0.03 MM1
[NO] 46/200 | ClinAlign: Scaling Healthcare Alignment from Clinician Preference
[NO] 47/200 | Time2General: Learning Spatiotemporal Invariant Representations for Domain-Generalization Video Semantic Segmentation
[NO] 48/200 | A simple proof of the discreteness of Dirichlet processes
[NO] 49/200 | Cavity control of multiferroic order in single-layer NiI$_2$
[NO] 50/200 | Assessment of jet inflow conditions on the development of supersonic jet flows
[NO] 51/200 | LLM-FS: Zero-Shot Feature Selection for Effective and Interpretable Malware Detection
[NO] 52/200 | Fully Differentiable Bidirectional Dual-Task Synergistic Learning for Semi-Supervised 3D Medical Image Segmentation
[NO] 53/200 | Orbital Period Changes of Recurrent Nova T Pyxidis Demonstrate that M_ejecta >> 11.3xM_accreted and Is Not a Type Ia Supernova Progenitor
[NO] 54/200 | Schrödinger operators with concentric $δ$--shell interactions
[NO] 55/200 | Latent Poincaré Shaping for Agentic Reinforcement Learning
[NO] 56/200 | A proof of Dolbeault geometric Langlands for $\GL_2$ with reduced spectral curves
[NO] 57/200 | Data Sharing with Endogenous Choices over Differential Privacy Levels
[NO] 58/200 | Quantum Correlation Dynamics Subjected to Quantum Reset-Driven Environment
[NO] 59/200 | Digital Linguistic Bias in Spanish: Evidence from Lexical Variation in LLMs
[NO] 60/200 | AgentCgroup: Understanding and Controlling OS Resources of AI Agents
[NO] 61/200 | Stable Canonical Rules for Intuitionistic Modal Logics
[NO] 62/200 | Hitting Probabilities of Finite Points for One-Dimensional Lévy Processes
[NO] 63/200 | Measuring Dataset Diversity from a Geometric Perspective
