[2026-04-07 10:03:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-06
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202604060000+TO+202604062359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-4-6 | Learner-Customized Algorithm Visualization Using Generative AI
[IEEE] 2026-4-6 | Enhancing Research Administration Services in Universities: Research Grant Disbursement Online Tracking System
[IEEE] 2026-4-6 | Cebuano Speech Tutor Using Hybrid TDNN-HMM Phoneme and Prosodic Feature Recognition
[IEEE] 2026-4-6 | Effective English Communication for Food and Beverage Staff to Achieve Guest Satisfaction
[IEEE] 2026-4-6 | A Logistic Regression Pipeline for Chiang Mai Air Quality Risk using Scaling, SMOTE, and Splines
[IEEE] 2026-4-6 | Ethical AIGC Pipelines for Film and Animation Production
[IEEE] 2026-4-6 | The Improved Models for Calculation of Human Body SAR in the Case of Sitting Position
[ACM] 2026-4-6 | Validation of a High-Sensitivity Identification Algorithm for Cerebral Hemorrhage Cases Using Machine Learning Models in MID-NET
                    <sup>®</sup>
[IEEE] 2026-4-6 | Design of a Physics-Informed Neural Network for PCF-Based Multi-Analyte Biosensors
[IEEE] 2026-4-6 | Reduced On-Resistance and Jitter of GaAs PCSS with Low Optical Energy in Quasi-Linear Mode
[IEEE] 2026-4-6 | Zero-Shot Low-Light Enhancement via Coupled Retinex-Scattering Frequency Flows
[IEEE] 2026-4-6 | IEEE Computational Intelligence Society
[IEEE] 2026-4-6 | AquaFed: Ascending Quantized Federated Learning on Heterogeneous Devices
[IEEE] 2026-4-6 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[IEEE] 2026-4-6 | Joint Degradation-Aware Arbitrary-Scale Super-Resolution for Variable-Rate Extreme Image Compression
共写入 100 条记录，保存到 papers/paper2026-04-06.json。
论文获取成功，文件路径: papers/paper2026-04-06.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Learner-Customized Algorithm Visualization Using Generative AI
[NO] 2/100 | First-Class Functions in C: the Function-Oriented Programming Paradigm
[NO] 3/100 | ATHENA A Case Study on the Use of Power BI as a Technical Data Access System
[NO] 4/100 | Towards the Political Philosophy of Computing: Conversations with Fairness and Machine Learning
[NO] 5/100 | Hybrid Neuro-Fuzzy Approach for Transparent Anomaly Detection in Mining Equipment
[NO] 6/100 | P-GSVC: Layered Progressive 2D Gaussian Splatting for Scalable Image and Video
[NO] 7/100 | ELLMPEG: An Edge-based Agentic LLM Video Processing Tool
[NO] 8/100 | Twin Contrastive Learning for Multi-view Clustering
[NO] 9/100 | Lower-limb exoskeleton trajectory and structure co-optimization for maximum assistive efficiency
[NO] 10/100 | One-Bit Consensus of Controllable Linear Multi-Agent Systems With Communication Noises
[NO] 11/100 | Meta: Graph-encoded Printed Circuit Board Datasets for Component Classification with Graph Neural Networks_supp1-3680389.pdf
[NO] 12/100 | Retraction Notice: A Trusted Blockchain Based Traceability System for Fruits and Vegetable Agricultural Products
[NO] 13/100 | Retraction Notice: Forecasting and Real Time Flood Monitoring System using IoT
[NO] 14/100 | Retraction Notice: A Hybrid Approach for Detection and Recognition of Traffic Text Sign using MSER and OCR
[NO] 15/100 | Reinforcement Learning-Based Cooperative Control for Nonlinear Multiagent System With State and Control Input Constraints and Guaranteed Convergence Performance
[NO] 16/100 | Front Cover
[NO] 17/100 | IEEE Dataport
[NO] 18/100 | LiveMatte: Dynamic Scene Background Restoration and Selective Portrait Patch Enhancement
[NO] 19/100 | ERB-TransUNet: An Enhanced Residual Transformer-Based UNet for Accurate Polyp Segmentation
[NO] 20/100 | Secure Synchronization of Complex Dynamic Networks via Adaptive Event-Triggered Control Against Dual-Channel Cyber Threats
[NO] 21/100 | IEEE Transactions on Industrial Informatics Information for Authors
[NO] 22/100 | Real-Life Human Activity Recognition Based on Accelerometer Data From Smartphone Sensors Using CNN-BiGRU Model
[NO] 23/100 | A Dual-Band Slotted U-Shaped Microstrip Antenna for 2.4/4.0 GHz Wireless Communication Applications
[NO] 24/100 | Holographic Telepresence Art: Volumetric Capture for Remote Cultural Performances
[NO] 25/100 | Emotion-Aware Virtual Humans for Interactive Cinema and Narrative Games
[NO] 26/100 | Development of an IoT-Enabled Variable-Rate Waste Charging System for Urban Municipalities
[NO] 27/100 | Proceedings of the 2026 10th International Conference on Artificial Intelligence, Automation and Control Technologies
[NO] 28/100 | MARs: Multi-Scale Convolution-Attention residual Fusion for Video Summarization
[NO] 29/100 | More Pixels, Less Bandwidth: A Live Demo of VSR-Bench over WebRTC
[NO] 30/100 | MultiSenseVR: An open multimodal dataset for human pose estimation and perception in interactive VR
[NO] 31/100 | Clinician Data Needs for Uncontrolled Comorbidities of Metabolic Syndrome: Insights on Assumption Testing
[NO] 32/100 | Retraction Notice: Bosom Malignant Diseases (Cancer) Identification by using Deep Learning Technique
[NO] 33/100 | Investigating How Brain Stimulation Mitigates Motion Sickness Using Spatiotemporal Nystagmus Parameters Captured in VR
[NO] 34/100 | Multimodal Feedback for Handheld Tool Guidance: Combining Wrist-Based Haptics with Augmented Reality
[NO] 35/100 | Exploring Freehand Selection Techniques of Polyhedron Faces in VR Environments
[NO] 36/100 | Calibration of the Spaceborne GNSS-R Specular Delay Tracking on Fengyun-3 Missions and Its Impact on Ocean Wind Retrieval
[YES] 37/100 | Wireless Sensing with Movable Intelligent Surface
[NO] 38/100 | Retraction Notice: Voice Controlled Human Assistence Robot
[NO] 39/100 | Retraction Notice: Spam Detection for Social Media Networks Using Machine Learning
[NO] 40/100 | Retraction Notice: Home: IOT based home automation using NFC
[NO] 41/100 | Offloading Post-Quantum Cryptography to Data Processing Units: A Performance Analysis of HQC Key Encapsulation
[NO] 42/100 | Compound Neural Network based Nonsingular Fixed-Time SMC for Multi-Unit Distributed Permanent Magnet Arc Motor Servo Systems
[NO] 43/100 | Stator Current Control Strategy of High-Speed Maglev Train to Simultaneously Suppress Aperiodic and Periodic Disturbances
[NO] 44/100 | A Coordinated Control Strategy with a Variable Intermediate Bus Voltage for Efficiency Optimization in Two-Stage Buck-DAB Converters
[NO] 45/100 | PDP-PINN: A Fourier-Augmented Physics-Informed Neural Network for Pressure Drop Prediction in CO
                    <sub>2</sub>
                    -Injected Porous Media
[NO] 46/100 | Cross-Corpus Speech Emotion Recognition Based on Dynamically Filtering Multi-Stage Diffusion Model
[NO] 47/100 | GNSS Multi-Frequency Joint Code Tracking Loop With Dynamic Inter-Frequency Bias Estimation and Compensation
[NO] 48/100 | Privacy Preserved and Explainable Deep Medical Image Analysis: A Survey
[NO] 49/100 | In-situ temperature-compensated puncture force sensing for brain stereotactic puncture needle using fiber Bragg grating
[NO] 50/100 | LifelongPR: Lifelong Point Cloud Place Recognition Based on Sample Replay and Prompt Learning
[NO] 51/100 | The Shape of Emotion in Speech: A Topological Data Analysis of Speech Emotion Recognition
[NO] 52/100 | Ultra-Wideband Angularly Stable Reflective Frequency Selective Surface for Millimeter-Wave Applications
[NO] 53/100 | Joint Optimization of Gateway Placement, Resource Configuration, and Uplink Scheduling for LoRaWAN Bridge Health Monitoring
[NO] 54/100 | Forward-Error-Correction Dynamic Network for High-Accuracy Transmission in Disturbed Multimode Fiber_supp1-3680462.pdf
[NO] 55/100 | Retraction Notice: Enhanced hybrid quality prediction model for 8K UHD H.265 video using ANFIS
[NO] 56/100 | A System to Detect Unconscious Bias Using Virtual Patients: System Specifications
[NO] 57/100 | Retraction Notice: RTIDS: A Robust Transformer-based Approach for Intrusion Detection System
[NO] 58/100 | A Hybrid Framework for Automated Thai Invoice Digitization Integrating YOLO11 and Google Vision OCR
[NO] 59/100 | A Study on the Content Analysis of Promotion Skincare Product Through Short Videos on Chinese Market Platforms
[NO] 60/100 | Symbolic Modeling for Multistage Parametric Amplifiers in the Frequency Domain
[NO] 61/100 | A SIRA-CTMC Model for Analyzing and Predicting Cybersecurity Threats
[NO] 62/100 | Study of Neural Network Performance for Enhancing SDN Resilience Against Cyberattacks
[NO] 63/100 | Machine Learning-Based Optimization of 5G Network Topology
[NO] 64/100 | Class E Oscillator Stabilized by a Piezoceramic Resonator
[NO] 65/100 | Using Correlation Analysis to Detect Excessive Distortion in Audio-Frequency Track Circuit Signals
[NO] 66/100 | CVLS-ST: A Cross-View Long-Short Framework for Traffic Risk Prediction in Intelligent Urban Transportation Systems
[NO] 67/100 | iSeg: An Iterative Refinement-based Framework for Training-free Segmentation
[NO] 68/100 | MaliVD: Source Code Vulnerability Localization
                    <i>via</i>
                    Attention-Based Multi-Modal Learning
[NO] 69/100 | Retraction Notice: IoT System Accomplishment using BlockChain in Validating and Data Security with Cloud
[NO] 70/100 | Retraction Notice: An IoT-Cloud Based Health Monitoring Wearable Device For Covid Patients
[NO] 71/100 | Camera-Ready? Exploring Transport-Layer Performance Limits with GigE Vision
[NO] 72/100 | CADENCE: A Multi-Agent CDN Steering and Experimentation Platform for Dash.js
[NO] 73/100 | Remote Particle Trajectory Tracking using Event-Based Vision Streams
[NO] 74/100 | Retraction Notice: Hash Tag-Based Sentiment Analysis Using A Deep Learning Approach
[NO] 75/100 | Retraction Notice: News Recommendation Systems
[NO] 76/100 | Retraction Notice: A collaborative filtering proposal in view of client conduct and client profile on online interpersonal organization
[NO] 77/100 | Blind Radio Map Construction via Topology Guided Manifold Learning_supp1-3680610.pdf
[NO] 78/100 | Photonic Structuration of the Airy-Bessel Beam for High-Performance Fiber-Optic Refractive Index Sensing
[NO] 79/100 | Lightweight Edge Intelligence: Adapting 1.5B LLM via LoRA for Log Analysis in Campus Networks
[NO] 80/100 | Compact Silicon-Photonics Waveguide- Confined Receiving and Transmitting Antenna with Signal Remodulation for Indoor Optical Wireless Communication
[NO] 81/100 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective_supp1-3677806.pdf
[NO] 82/100 | Joint Optimization in Pinching-Antenna-Assisted NOMA-MEC Systems via DRL
[NO] 83/100 | Design of a Low-Profile Wideband Horizontally Polarized Omnidirectional-like Loop Antenna with Characteristic Mode Analysis
[NO] 84/100 | A DQN-Guided Genetic Algorithm With Local Intensification for Agile Earth Observation Satellite Scheduling
[NO] 85/100 | Front Cover
[NO] 86/100 | Evolutionary Algorithm for Determining the Data Transmission Route Between Sensor Nodes
[NO] 87/100 | Enhancing Research Administration Services in Universities: Research Grant Disbursement Online Tracking System
[NO] 88/100 | Cebuano Speech Tutor Using Hybrid TDNN-HMM Phoneme and Prosodic Feature Recognition
[NO] 89/100 | Effective English Communication for Food and Beverage Staff to Achieve Guest Satisfaction
[NO] 90/100 | A Logistic Regression Pipeline for Chiang Mai Air Quality Risk using Scaling, SMOTE, and Splines
[NO] 91/100 | Ethical AIGC Pipelines for Film and Animation Production
[NO] 92/100 | The Improved Models for Calculation of Human Body SAR in the Case of Sitting Position
[NO] 93/100 | Validation of a High-Sensitivity Identification Algorithm for Cerebral Hemorrhage Cases Using Machine Learning Models in MID-NET
                    <sup>®</sup>
[NO] 94/100 | Design of a Physics-Informed Neural Network for PCF-Based Multi-Analyte Biosensors
[NO] 95/100 | Reduced On-Resistance and Jitter of GaAs PCSS with Low Optical Energy in Quasi-Linear Mode
[NO] 96/100 | Zero-Shot Low-Light Enhancement via Coupled Retinex-Scattering Frequency Flows
[NO] 97/100 | IEEE Computational Intelligence Society
[NO] 98/100 | AquaFed: Ascending Quantized Federated Learning on Heterogeneous Devices
[NO] 99/100 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[NO] 100/100 | Joint Degradation-Aware Arbitrary-Scale Super-Resolution for Variable-Rate Extreme Image Compression
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-04-06.json。
邮件发送成功！
[2026-04-07 10:21:15] 任务执行成功！
