[2026-01-17 09:09:56] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-16
正在获取论文...
[IEEE] 2026-1-16 | Resilient Control Design for EV Fast Charging Unit Consisting of Multiple SAB Converter Modules
[IEEE] 2026-1-16 | M2PP: Effective Path Planning Based on Multi-Phase Particle Swarm Optimization and Multi-Scenario Adaptative DWA_supp2-3654174.mp4
[IEEE] 2026-1-16 | Multi-Label Feature Selection by Maximum Affinity-Relevance, Maximum Affinity-Interaction and Minimum Affinity-Redundancy
[IEEE] 2026-1-16 | High-Refractive-Index Metasurface Integrated Circularly Polarized Wireless Power Transfer System with Extended Range and Misalignment Tolerance
[IEEE] 2026-1-16 | GFZTD: A Multimodal Fusion-Driven 3-D Tropospheric Delay Prediction Model Coupling Self-Attention and ConvLSTM
[IEEE] 2026-1-16 | Fault-Tolerant Independent Pole Control Scheme of Zigzag MMC for Bipolar MVDC Distribution Systems
[IEEE] 2026-1-16 | DPD-DEMD: Denoising Prior Guided Weakly Supervised Image Domain Dual-Energy Material Decomposition
[IEEE] 2026-1-16 | Game-Based Driver–Automation Cooperative Control Considering Driver Neuromuscular Delay
[IEEE] 2026-1-16 | R-VoxelMap: Accurate Voxel Mapping With Recursive Plane Fitting for Online LiDAR Odometry_supp1-3653337.mp4
[IEEE] 2026-1-16 | Highly Undersampled MRI Reconstruction via a Single Posterior Sampling of Diffusion Models
[IEEE] 2026-1-16 | Enhanced BER-Analysis-Based Adaptive Resource Allocation in SDN-Controlled Multi-User NOMA-OFDM VLC Systems
[IEEE] 2026-1-16 | Downlink Rate Splitting Opportunistic Multiple Access for Satellite-Terrestrial Integrated Networks
[IEEE] 2026-1-16 | A Sub-Threshold Oscillator-Based High-Accuracy Temperature Sensor With Tolerance to Supply Fluctuation and Device Aging
[IEEE] 2026-1-16 | Securing Symmetric Encryption Based on Substitution-Permutation Network Against White-Box Attacks
[ACM] 2026-1-16 | Corrigendum: Life Cycle Assessment of Edge Data Centers: Case Study in Presence of Renewable Energy and Refurbished Servers
[IEEE] 2026-1-16 | Editor’s Note: January 2026
[IEEE] 2026-1-16 | Invisible, Yet Trusted: Blockchain-Empowered Privacy-Preserving Spatio-Temporal Task Matching in Crowdsourcing with Efficient Public Verification
[IEEE] 2026-1-16 | ESGA: Efficient and Secure Geo-Aware Certificate Revocation for Blockchain-based Multi-Domain VANETs
[IEEE] 2026-1-16 | An Ultra-Wideband Comb-Slot-Fed Symmetrical Comb-Groove-Dielectric Resonator Antenna for B5G/6G Millimeter-Wave Applications
[IEEE] 2026-1-16 | Closed-Loop Haptic Feedback System Enabled by Synergistic Integration of Tattoo-Style Flexible Strain Sensors_supp1-3652555.docx
[IEEE] 2026-1-16 | A Resolution Enhanced Coherent Doppler Wind Lidar Enabled by Spectrum Deconvolution
[IEEE] 2026-1-16 | Leader Rotation Is Not Enough: Scrutinizing Leadership Democracy of Chained BFT Consensus
[IEEE] 2026-1-16 | High-Efficiency, Coupler-Based D-Band InP PA Stages With Output Power Above 16.4 dBm
[IEEE] 2026-1-16 | A Complementary Self-Injection-Locked Radar for Low-Power Micrometer-Level THz Sensing and Imaging
[IEEE] 2026-1-16 | Capturing Market Shocks and Volatility in Aneka Tambang Tbk (ANTM) Stock: A Bates Model Approach
[IEEE] 2026-1-16 | Exploration of Stacking Ensemble Learner (SEL) Modeling with XGBoost and SVM algorithms on Predicting Stock Price
[IEEE] 2026-1-16 | LatentZoom: Seamless Scaling in Generative Latent Space for Visual Exploration of Local Performance in Deep Neural Networks_supp1-3654030.mp4
[IEEE] 2026-1-16 | Transparent Objects Pose Estimation via RGB-D Enhancement and Depth-Directed Feature Fusion
[IEEE] 2026-1-16 | The Chosen-Object Attack: Exploiting the Hungarian Matching Loss in Detection Transformers for Fun and Profit
[IEEE] 2026-1-16 | GRASP: Accelerating Hash-based PQC Performance on GPU Parallel Architecture
[IEEE] 2026-1-16 | Controllable Reference-Guided Diffusion with Local-Global Fusion for Real-World Remote Sensing Super-Resolution
[IEEE] 2026-1-16 | Ensuring Reliable Communication for UAV-Assisted Low-Power Wireless Network in Harsh Environments with Interference
[ACM] 2026-1-16 | Lessons from Formally Verified Deployed Software Systems
[IEEE] 2026-1-16 | Implementation of Distributed Generation and Passive Islanding Detection by ROCOF Method using Power Flow Solutions
[IEEE] 2026-1-16 | Decision Boundary-aware Counterfactual Learning against Model Extraction Attacks on Graph Neural Networks_supp1-3654865.pdf
[IEEE] 2026-1-16 | A Hybrid Absorber Design Framework for Antenna Testing in Compact Anechoic Chamber
[IEEE] 2026-1-16 | SPORTS: Simultaneous Panoptic Odometry, Rendering, Tracking and Segmentation for Urban Scenes Understanding
[IEEE] 2026-1-16 | Skin Cancer Classification Using Convolutional Neural Network With Fine-Tuning Implementation on the ResNet50V2 Architecture
[IEEE] 2026-1-16 | Cover
[IEEE] 2026-1-16 | Privacy-aware Hierarchical Energy Dispatch of Data Centers with Demand Response in Water-energy Nexus System
[IEEE] 2026-1-16 | NGC-GeoLoc: Neural GeoCoordinate Regression for GPS-Denied UAV Geo-Localization
[IEEE] 2026-1-16 | Stealthy Cyber Attacks on Wide-Area Control Systems for Inducing Broadband Oscillations in Wind Farms
[IEEE] 2026-1-16 | Derivative-Free Optimization-Empowered Wireless Channel Reconfiguration for 6G
[IEEE] 2026-1-16 | SLM Printed Roll-Off Enhanced Wideband Millimeter-Wave ALTSA Array Based on Waveguide Mode Converter and Metallic Split Ring Resonator
[IEEE] 2026-1-16 | Identity Clue Refinement and Enhancement for Visible-Infrared Person Re-Identification
[IEEE] 2026-1-16 | Establishing the Criteria for an Agile Inclusive Learning Environment (AILE) in Higher Education
[IEEE] 2026-1-16 | Cost Efficient Operation of a Hydrogen Enabled Zero-Carbon Multi-Energy System
[IEEE] 2026-1-16 | Analysis and Experimental Verification of Load Current Switch based on Molded Case Circuit Breaker (MCCB) for MVDC System
[IEEE] 2026-1-16 | Adaptive Stability Droop Control in DC Shipboard Microgrids Considering Battery States
[IEEE] 2026-1-16 | DAVA: Decoding Art With Visual Analytics Through Feature Modeling and Multi-Agent Collaboration
[IEEE] 2026-1-16 | Domain Adaptive Multiple Instance Self-Training for Intraoperative Anomaly Detection_supp1-3654087.mp4
[IEEE] 2026-1-16 | R4 Trustworthy Human–Artificial Intelligence Symbiosis [Conference Reports]
[IEEE] 2026-1-16 | Robust Iterative Adaptive Filtering Sidelobe Suppression Algorithm to Range-Doppler-Straddling
[IEEE] 2026-1-16 | From Hackathons to Venture Studios: A Managerial Taxonomy of Innovation Support Vehicles
[IEEE] 2026-1-16 | Classification of Pneumonia in X-Ray Images Using CNN Model and HOG Feature Extraction
[IEEE] 2026-1-16 | Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques_supp2-3634823.xlsx
[IEEE] 2026-1-16 | Analytical Comparison of Supply Chain Collaboration Levels under Supply and Demand Uncertainty: Decentralized, Centralized, and Vendor-Managed Inventory
[IEEE] 2026-1-16 | Distributed Synchronous Acquisition for Next-Generation Heliograph
[IEEE] 2026-1-16 | Stability-Oriented Adaptive Synchronization Control for Networked Microgrids
[IEEE] 2026-1-16 | TextBridge: A Text-Centered Framework for Enhanced Multimodal Integration and Retrieval
[IEEE] 2026-1-16 | IEEE Tech RXIV
[IEEE] 2026-1-16 | Low-cost Monitoring System for the Vacuum System of the CS-30 Cyclotron
[IEEE] 2026-1-16 | CBAM-Enhanced Classification Head for VGG16-Based Pneumonia Detection
[IEEE] 2026-1-16 | Multiscale Spatial-Frequency Learning for Degradation Decoupling in RS Image Restoration
[IEEE] 2026-1-16 | Low-Altitude Satellite-AAV Collaborative Joint Mobile Edge Computing and Data Collection via Diffusion-based Deep Reinforcement Learning
[IEEE] 2026-1-16 | Terahertz oscillators integrated with multiple resonant tunneling diodes and a cavity resonator emitting over 1 mW output at 805 GHz
[IEEE] 2026-1-16 | Modeling and Controlling Polymorphic Opinion Dynamics in Social Networks with Heterogeneous Sensitivities
[IEEE] 2026-1-16 | Semi-Supervised Learning of Multi-Scale Graph Neural Networks for Industrial Process Fault Diagnosis
[IEEE] 2026-1-16 | Table of Contents
[IEEE] 2026-1-16 | A Multi-Qubit SFQ Control Architecture Using Recycled Bias Current
[IEEE] 2026-1-16 | From Play to Pedagogy: A Structured Topic Modeling Analysis of Escape Rooms Research
[IEEE] 2026-1-16 | Graph Neural Networks Improve Quantized Transformers by Incorporating Global Relationships
[IEEE] 2026-1-16 | Benefits of a ComSoc Membership
[IEEE] 2026-1-16 | Evaluation of NVIDIA Jetson Nano Platforms for Machine Learning
[IEEE] 2026-1-16 | Public Sentiment on Mining and Energy Development in Indonesia: A Hybrid Machine Learning Perspective
[IEEE] 2026-1-16 | Design and Operation of a 42-MW Highly Stabilized Power Supply at the CHMFL
[IEEE] 2026-1-16 | A Continuum Robot with Programmable Tendon Routing for Desired Curve Generation
[IEEE] 2026-1-16 | Gaussian Distribution-Based Dynamic Optimization for Capsule Robot Pose Estimation in Ultrasound Images
[IEEE] 2026-1-16 | Haptic Acuity during Shared Grasp Experiences in Virtual Reality_supp1-3654548.mp4
[IEEE] 2026-1-16 | A Multidimensional Assessment Method for Visualization Understanding (MdamV)_supp1-3653265.pdf
[IEEE] 2026-1-16 | A Data-Driven Path Choice Estimation Method Based on Passengers’ Time-Dependent Travel Characteristics
[IEEE] 2026-1-16 | A hybrid In
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /Cu-based thin film thermocouple for real time sensing applications
[IEEE] 2026-1-16 | Editor-in-Chief's Messages With Gratitude and Pride: A Year of Growth and Shared Excellence
[IEEE] 2026-1-16 | NOMANet: A Graph Neural Network Enabled Power Allocation Scheme for NOMA
[IEEE] 2026-1-16 | Car Detection on Highway Using YOLOV11 Architecture
[IEEE] 2026-1-16 | Environmentally-Driven Urban Design Strategies for Sustainable School Spaces in Cebu City
[IEEE] 2026-1-16 | IEEE Networking Letters Society Information
[IEEE] 2026-1-16 | Progress toward a 10-kA Superconducting Power Supply for Levitated Dipole Reactors
[IEEE] 2026-1-16 | Study on Twist Performance of Superconducting Charging Plug Cable
[IEEE] 2026-1-16 | Analytical Ground Truth for Phase-Contrast MRI experiments and simulations: Open-Source Precision-Controlled Bidirectional Rotational Phantom_supp1-3630749.pdf
[IEEE] 2026-1-16 | A Multimodal Framework for Understanding Collaborative Design Processes
[IEEE] 2026-1-16 | Product Code With Integrated Interleaved Component Codes
[IEEE] 2026-1-16 | Committees
[IEEE] 2026-1-16 | Hierarchical Coded Caching in Satellite-Terrestrial Networks with Nonuniform User Cache and Geographic Distributions
[IEEE] 2026-1-16 | Robust Federated Detection of Scrap Steel via Feature Decoupling and Knowledge Inheritance
[IEEE] 2026-1-16 | Front Cover
[IEEE] 2026-1-16 | Invertible Matrix Fusion Domain: An Efficient Method for Digital Watermark Embedding and Extraction
[IEEE] 2026-1-16 | DC-BL: Flexible Delay-Doppler Domain Channel Estimation via Decoupled Bayesian Learning
[IEEE] 2026-1-16 | Design and Topology Development of a New Split-Tooth Permanent Magnet Arc Motor With Dual Excitations
[IEEE] 2026-1-16 | RUL Prediction for CT X-Ray Tube Based on Degradation Pattern Recognition and Multi-Domain Joint Feature Fusion
[IEEE] 2026-1-16 | Forecasting of Epidemic Dynamics using Fuzzy Time Series Particle Swarm Optimization in High-Order
[IEEE] 2026-1-16 | Satellite-Based Fraction of Available Water Reveals Soil Moisture Deficits Preceding Major Wildfires
[IEEE] 2026-1-16 | A Point-of-Care High-throughput Biosensing System of Home Monitoring for CRC Postoperative Recurrence by Detecting CEA, MicroRNA-21, and IL-6
[IEEE] 2026-1-16 | Fuzzy Reinforcement Learning-Based Safe Cooperative Control for Nonlinear Multiagent Systems
[IEEE] 2026-1-16 | 2025 8th International Conference on Informatics and Computational Sciences (ICICoS)
[IEEE] 2026-1-16 | Efficient Quantum Circuits for the Hilbert Transform
[IEEE] 2026-1-16 | 5G Enhanced BDS Positioning in Urban Obstructed Environments: A Smartphone Field Test Case
[IEEE] 2026-1-16 | Trajectory Planning for ISAC Systems: Variational Method to Minimization of Completion Time
[IEEE] 2026-1-16 | LLM and Bayesian Network Integrated Simulation Framework for Electric Vehicle User Charging Behaviorals
[IEEE] 2026-1-16 | A Complex-valued SAR Foundation Model Based on Physically Inspired Representation Learning
[IEEE] 2026-1-16 | Phase Current Magnitude Adaptive Fault Tolerant Control of Dual Three-Phase Interior PMSMs Under Open-Phase Fault
[IEEE] 2026-1-16 | Wearable Ultrasound Sensing with Dual Arrays and Machine Learning for Real-Time Tremor Characterization and Antagonist Muscle Monitoring
[IEEE] 2026-1-16 | Copyright Page
[IEEE] 2026-1-16 | Directed Morphological Evolution for Fast Robot Structure Optimization
[IEEE] 2026-1-16 | IEEE Sensors Council Information
[IEEE] 2026-1-16 | Emerging Technologies Regarding Spectrum Usage and System Design in a New Study Cycle—Part 2
[IEEE] 2026-1-16 | F-PFC: Enabling Fine-grained PFC in Lossless Data Center Networks
[IEEE] 2026-1-16 | Improved Performance of EfficientNetB5 Model Through Hyperparameter Optimization for Brain Tumor Classification
[IEEE] 2026-1-16 | A Hybrid Process Mining and Statistical Process Control Approach for Enhanced Transition Loss Identification in Cosmetic Manufacturing
[IEEE] 2026-1-16 | Improving the Timing Accuracy of UWB Radars Employing Programmable Delay Chips
[IEEE] 2026-1-16 | High-Impedance Fault Detection Considering Nonlinear Arc Distortion Characteristics in Active Distribution Networks
[IEEE] 2026-1-16 | Multidimensional Extension, Coexisting Attractors, Circuit Implementation of Grid-Scroll Memristive Chaotic Oscillator and Its Application in Underwater Acoustic Signal Detection under Ultralow SNR
[IEEE] 2026-1-16 | Table of Contents
[IEEE] 2026-1-16 | Integrating Large Language Models Into Recommendation via Mutual Augmentation and Adaptive Aggregation
[IEEE] 2026-1-16 | Incorporating Drone into Mixed Reality for Enhanced Remote Collaboration: A User Study on Inspection Task_supp1-3654668.pdf
[IEEE] 2026-1-16 | Feedback-Based Quantum Algorithm for Excited States Calculation
[IEEE] 2026-1-16 | A 94-fs Jitter and −249.3-dB FoM MDLL With Background Calibration of Injection Phase and Slew-Rate Mismatch
[IEEE] 2026-1-16 | Deep Multi-View Clustering With Intra-View Similarity and Cross-View Correlation Learning
[IEEE] 2026-1-16 | SComCP: Task-Oriented Semantic Communication for Collaborative Perception
[IEEE] 2026-1-16 | Anomalies Detection in Cloud-Native Architectures: Background, State-of-the-Art, and Research Directions
[IEEE] 2026-1-16 | Welcome Speech from The General Chair of ICICoS 2025
[IEEE] 2026-1-16 | Nonlinear Direct Error Compensator for Visual Servo Trajectory Tracking Under Image Sensor Delay on a Moving Platform
[IEEE] 2026-1-16 | Robust Loss Minimization Control for Three-Level Inverter-Fed Linear Induction Machine Drive System Adapted to Linear Metro
[IEEE] 2026-1-16 | LiteJam: A Lightweight Deep Learning Architecture for Real-Time GNSS Interference Detection and Characterization in UAVs
[IEEE] 2026-1-16 | Wide-Passband Bandstop Filters
[IEEE] 2026-1-16 | A Data-Driven Classification Model for Student Boarding Houses Using PSO-Based Naive Bayes
[IEEE] 2026-1-16 | Non-Uniform Index Modulation for OFDM in VLC Systems
[IEEE] 2026-1-16 | Physical Parameter Dependencies in Mechanical Reservoir Computing: Structural Analysis, Actuation, and Improved Processing_supp2-3649650.mp4
[IEEE] 2026-1-16 | Reinforcement Learning-Based Control of Voltage-Forming Grid Inverters With Arbitrary Loads
[IEEE] 2026-1-16 | Copycat vs. Original: Multi-modal Pretraining and Variable Importance in Box-office Prediction_supp1-3654454.pdf
[IEEE] 2026-1-16 | DESIGN OF ALL-SUPERCONDUCTING USER MAGNETS FOR EMFL
[IEEE] 2026-1-16 | Zero-Rate-Output Anomaly in Lissajous-FM Gyroscopes With Electrostatic Ring Resonators
[IEEE] 2026-1-16 | CAFFT: Cross-Attention Feature Fusion Transformer for Risky Driving Behavior Recognition
[IEEE] 2026-1-16 | Energy-Based Closed-Form Solution of the Divergent Component of Motion for Nonlinear Inverted Pendulum Trajectories_supp1-3654449.mp4
[IEEE] 2026-1-16 | Dual-Stage DRL based Trust-Aware Task Bundling and Allocating for Mobile Crowdsourcing
[IEEE] 2026-1-16 | Optimizing Software Development Time Estimation by Integrating Function Point Analysis and Use Case Point Method
[IEEE] 2026-1-16 | Design of a Terminal Sensor with Super-resolution Reconstruction Algorithm used in IoT-based Water Quality Monitoring
[IEEE] 2026-1-16 | Selecting and Pruning: A Differentiable Causal Sequentialized State-Space Model for Two-View Correspondence Learning
[IEEE] 2026-1-16 | From Segmentation to Disease Prediction: A Systematic Review of AI Methods for Adipose Tissue Analysis in Medical Imaging
[IEEE] 2026-1-16 | Distributed Online Learning Method over Time-Varying Unbalanced Directed Graphs via Improved Regret Analysis
[IEEE] 2026-1-16 | An Iterative Lifecycle Model for Engineering and Operating Digital Twins
[IEEE] 2026-1-16 | Real-Time Detection of Rice Leaf Diseases Based on YOLO v12n Framework
[IEEE] 2026-1-16 | M2PP: Effective Path Planning Based on Multi-Phase Particle Swarm Optimization and Multi-Scenario Adaptative DWA_supp1-3654174.pdf
[IEEE] 2026-1-16 | CLE-SH: Comprehensive Literal Explanation package for SHapley values by statistical validity_supp1-3654890.xlsx
[IEEE] 2026-1-16 | Physical Parameter Dependencies in Mechanical Reservoir Computing: Structural Analysis, Actuation, and Improved Processing_supp1-3649650.pdf
[IEEE] 2026-1-16 | Characterization of Silicon-Membrane TES Microcalorimeters for Large-Format X-ray Spectrometers with Integrated Microwave SQUID Readout
[IEEE] 2026-1-16 | Enhancing Beef and Pork Image Classification Using Hyperparameter-Tuned ResNet50
[IEEE] 2026-1-16 | Compact Circularly Polarized Patch Antennas Using 3-D Printed Non-Uniform Metal/Dielectric Structure
[IEEE] 2026-1-16 | Rapid Response Fiber Optic Humidity Tracing Based on L-Lysine-Modified MXene for Finger Motion Detection
[ACM] 2026-1-16 | Corrigendum: Unified and Efficient Factor Graph Accelerator Design for Robotic Optimization
[IEEE] 2026-1-16 | Forecasting Accuracy Across Horizons: A Comparative Analysis of Simple and Complex Hybrid Models for Multi-Store Retail Sales
[IEEE] 2026-1-16 | Dynamic Time Warping-Based Seislet Transform and Its Application in Seismic Discontinuity Characterization
[IEEE] 2026-1-16 | AC Loss Analysis of Novel Hybrid Wire for High-Speed Machines
[IEEE] 2026-1-16 | Understanding Aortic Dissection Hemodynamics: Evaluating Adapted Smoke Surfaces Against Streakline-Based Techniques_supp3-3634823.pdf
[IEEE] 2026-1-16 | IEEE Network Magazine Publication Information
[IEEE] 2026-1-16 | ProbPer-LiLo: Probabilistic Persistency Modeling for Life-Long Mapping_supp1-3653311.pdf
[IEEE] 2026-1-16 | An effective Memetic Algorithm for Multi-depot Weighted Vehicle Routing Problem
[IEEE] 2026-1-16 | Dynamic Skinning: Kinematics-Driven Cartoon Effects for Articulated Characters_supp1-3653317.pdf
[IEEE] 2026-1-16 | Fixed-Time Disturbance Observer-Based Composite Controller for CMG Gimbal Servo Systems With Prescribed Performance
[IEEE] 2026-1-16 | Risk State Changes Analysis of Railway Transportation System: Based on the Swallowtail Catastrophe and Risk Pulse Theory
[IEEE] 2026-1-16 | Fast Modular Reduction Algorithm and Reconfigurable Domain-Specific Architecture Design Based on Generalized Mersenne Primes
[IEEE] 2026-1-16 | Physical Parameter Dependencies in Mechanical Reservoir Computing: Structural Analysis, Actuation, and Improved Processing_supp3-3649650.mp4
[IEEE] 2026-1-16 | CSP: Channel And Space Pruning for Compressing Deep Convolutional Neural Networks
[IEEE] 2026-1-16 | Enhancing Data Usability Through Cloud Native Visualization and Predictive Frameworks
[IEEE] 2026-1-16 | YOLO-Based Framework with Different Annotated Datasets for BISINDO Sign Language Recognition
[IEEE] 2026-1-16 | Equivariant Quantum Approximate Optimization Algorithm
[ACM] 2026-1-16 | Integration of IoT and Distributed Ledger Technologies: A Survey, Challenges, and Future Directions
[IEEE] 2026-1-16 | A Predictive Artificial Potential Field Method for Virtual Coupling Train Control
[IEEE] 2026-1-16 | Robust Distant Small Object Detection Using Radar-Vision Fusion and Prior-Enhanced Query Generation in Autonomous Driving
[IEEE] 2026-1-16 | Open Set Industrial Surface Defect Recognition With High Frequency Feature Enhancement and Class Mutual-Information Constraint
[IEEE] 2026-1-16 | An Efficient Radial Basis Function Neural Network With Hybrid Regularizations for Predicting Library Loan Volume: Generalization and Adaptability Are Improved
[IEEE] 2026-1-16 | Classification of Indonesian-Language News on Digital Media Using IndoBERT and Support Vector Machine
[IEEE] 2026-1-16 | Modulation Waveform Split-Based Power Flow Control of Multisource Inverters
[IEEE] 2026-1-16 | Evaluating Shap-Weighted Feature Selection for Classical Machine Learning Models in Prostate Cancer Classification
[IEEE] 2026-1-16 | CCPA via Load Redistribution: Sequential Strategies and Vulnerability Analysis in Power Systems
[IEEE] 2026-1-16 | High-Resolution Mapping of Ground-Level PM2.5 in China Using FY-4A and FY-4B TOA Reflectance with Seamless Coverage
[IEEE] 2026-1-16 | A Head-Orientation Stabilized Gait With 3-D Backbone Curve Shape and Raised Head for Snake Robots
[IEEE] 2026-1-16 | Preparation and Properties of High Performance MgB
                    <sub>2</sub>
                    /Ni Superconducting Wire with Improved Internal Magnesium Diffusion Process
[IEEE] 2026-1-16 | Grid-Forming Inverters Review: Control, Stability, and the Next Stage with Artificial Intelligence and Digital Twins
[IEEE] 2026-1-16 | Global and Local Piecewise Fuzzy Control: A Design for Semilinear Time-Fractional Parabolic Partial Differential Equation Systems
[IEEE] 2026-1-16 | Design and Experimental Validation of a 112-Element Cross-Helix Array for Retrodirective Wireless Power Transmission
[IEEE] 2026-1-16 | Isolating Interference Factors for Robust Cloth-Changing Person Re-Identification
[IEEE] 2026-1-16 | Image Super-Resolution using Hierarchical Cross-Scale Self-Similarity_supp1-3654442.pdf
[IEEE] 2026-1-16 | Joint Semantic Information Extraction and Resource Allocation in User-Centric Semantic Communication Networks
[IEEE] 2026-1-16 | Optimizing Facial Authentication: A Dual-Purpose System for Attendance Monitoring and Smart Doorlock Using FaceNet
[IEEE] 2026-1-16 | 2025 Reviewers List
                    <sup>*</sup>
[IEEE] 2026-1-16 | Confidence-Based Batch Ordering in Continual Learning: A Curriculum Learning Approach for Single-Cell RNA Sequencing Data
[IEEE] 2026-1-16 | Multi-Year Evaluation and Enhancement of a Questionnaire-Based Assessment Approach in Engineering Laboratory Instruction
[IEEE] 2026-1-16 | Deep-Learning and SIRV-Based Dual-Domain Speckle Suppression for PolSAR Imagery
[IEEE] 2026-1-16 | Adaptive Barrier Function Based Predefined-Time Sliding Mode Control for PMSM With Disturbance Suppression
[IEEE] 2026-1-16 | Integrated AI and 6G Driven e-Health: A Trifecta for Smart Healthcare
[IEEE] 2026-1-16 | Mamba-enhanced Background Suppression Diffusion Model for Hyperspectral Anomaly Detection
[IEEE] 2026-1-16 | Digital Twin Enabled Automated Pin Defect Detection System for Aviation Electrical Connectors Using Structure-Aware Point Cloud
[IEEE] 2026-1-16 | Toward Safe Integration of UAM in Terminal Airspace: UAM Route Feasibility Assessment Using Probabilistic Aircraft Trajectory Prediction
[IEEE] 2026-1-16 | Final design and first performance tests on short-length prototypes of the Green Superconducting Line for the Italian facility IRIS
[IEEE] 2026-1-16 | Explaining Diabetes Prediction Under Oversampling Strategies: A SHAP Based Comparative Study of SMOTE and ADASYN
[IEEE] 2026-1-16 | Cycle-Skipping Technique based on Sigma-Delta Modulation for Power Regulation in Modular SRC-DCX
[IEEE] 2026-1-16 | EPICS-Based Network Performance Analysis for DECY-13 Cyclotron Vacuum Monitoring
[IEEE] 2026-1-16 | Numerical Modeling of Electron Acceleration in Ionospheric Plasma Taking Into Account Collisions in the Langmuir Turbulence Layer
[IEEE] 2026-1-16 | An Information Interaction Method for Autonomous Train Operation Protection Based on Detection and Communication Integrated Microwave Photonic Radar
[IEEE] 2026-1-16 | Performance Analysis of Cross-Platform Mobile Frameworks: A Case Study on an AI Chatbot for Academic Regulation Services
[IEEE] 2026-1-16 | Industrial inspection system based on multi-modal data fusion
[IEEE] 2026-1-16 | Polarization and Frequency Selective Surface-Based Wideband Transmit-Reflect-Array Antenna
[IEEE] 2026-1-16 | Satellite Selection for In-Band Coexistence of Dense LEO Networks
[IEEE] 2026-1-16 | Acoustic Monitoring for Estimating Lung Deposition in Dry Powder Inhalers
[IEEE] 2026-1-16 | TEDFuse: Task-Driven Equivariant Consistency Decomposition Network for Multi-Modal Image Fusion
[IEEE] 2026-1-16 | Secrecy Performance Analysis of RIS-Aided Wireless Systems over Correlated Extended $\alpha$-$\eta$-$\mathcal {F}$ Composite Fading Channels
