[2026-04-04 09:32:05] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-03
正在获取论文...
[IEEE] 2026-4-3 | Re-Creating Arago’s Disc
[IEEE] 2026-4-3 | Witnessing 25 Years of Weiser's Legacy in Pervasive Computing
[IEEE] 2026-4-3 | Flat UP: A Converged RAN-Core Architecture for the 6G User Plane
[IEEE] 2026-4-3 | Uniformity of Frequency Support Between Grid-Following and Grid-Forming Converters
[IEEE] 2026-4-3 | Overdriving Visual Depth Perception via Sound Modulation in VR_supp1-3679918.pdf
[IEEE] 2026-4-3 | Analysis of Coupling Mechanism and Research on Control Strategy for Rotorcraft Aerial Manipulators
[IEEE] 2026-4-3 | Interoperability Assessment Framework for IEC 61850 Multivendor Digital Substations: Challenges and Recommendations
[IEEE] 2026-4-3 | Safe School Water Initiative, A Comprehensive Study on Water Quality Testing Among Schools
[IEEE] 2026-4-3 | Time-Series Analysis and Forecasting of Film Genres Emerging Globally
[ACM] 2026-4-3 | Investigating Subjective and Physiological Effects of Color Temperature and Visual Thermal Cues in Virtual Reality
[IEEE] 2026-4-3 | Advanced Encryption Techniques for Enhancing Data Security and Privacy in Cloud Environments
[IEEE] 2026-4-3 | NASTaR: A NovaSAR-Based Automated Ship Target Recognition Dataset_supp1-3679941.pdf
[IEEE] 2026-4-3 | Robust Design Under Uncertainty in Quantum Error Mitigation
[IEEE] 2026-4-3 | MHD Flows in the Lower Expansion Chamber of a Generic Outboard Blanket Segment for DEMO
[IEEE] 2026-4-3 | VRN-Back: an Immersive Music Rhythm Game for Working Memory Training in Virtual Reality
[IEEE] 2026-4-3 | Novel Single-Phase Converter with Reduced Common Mode EMI
[IEEE] 2026-4-3 | Hybrid Generative Adversarial Network Assisted Oversampling for Credit Card Fraud Detection_supp1-3680136.docx
[IEEE] 2026-4-3 | A Reconfigurable SPR-based D-shaped Dual-Sensing Photonic Crystal Fiber Biosensor Using Ge
                    <sub>2</sub>
                    Sb
                    <sub>2</sub>
                    Te
                    <sub>5</sub>
                    Phase Change Material for Cancer Cell Detection
[IEEE] 2026-4-3 | Multiobjective Optimization for Uncertain Integrated Energy Systems: Aggregating EVs in Demand Response via Photovoltaic-Energy Storage
[IEEE] 2026-4-3 | Robotic Non-Contact Three-Dimensional Micromanipulation by Acoustohydrodynamic Effects
[IEEE] 2026-4-3 | Latent Danger Zone: Distilling Unified Attention for Cross-Architecture Black-box Attacks
[IEEE] 2026-4-3 | K-12 Education: Explaining Cyber Value at Risk Using Electrical K-Map and Truth Table
[ACM] 2026-4-3 | Software Vulnerabilities as Cognitive Blindspots; Assessing the Suitability of a Dual Processing Theory of Decision Making for Secure Coding
[ACM] 2026-4-3 | Challenges in Testing Large Language Model Based Software: A Faceted Taxonomy
[IEEE] 2026-4-3 | In silico inhibitor analysis of ran binding protein 9 (RanBPM) in non-small cell lung cancer (NSCLC)
[IEEE] 2026-4-3 | Clinical Metadata Guided Limited-Angle CT Image Reconstruction_supp1-3677586.pdf
[IEEE] 2026-4-3 | DyCITO+: Scalable Deep Reinforcement Learning for Generating Class Integration Test Orders of Java Programs
[IEEE] 2026-4-3 | High Color Rendering Index Solution-Processed White OLEDs Based on Novel Exciplexes_supp1-3678242.docx
[IEEE] 2026-4-3 | Carbon Footprint Reduction for Product Returns: Impacts of Return Freight Insurance_supp1-3680225.pdf
[IEEE] 2026-4-3 | Generative AI-Enabled Transmission and Computing Integration for Cloud-Edge Collaborative IoT
[IEEE] 2026-4-3 | Joint Tailoring of Electromagnetic Radiated Emission and Susceptibility Limits for Coexistence of Multiple Radio-Frequency Devices
[IEEE] 2026-4-3 | Image Captioning via Compact Bidirectional Architecture
[IEEE] 2026-4-3 | Hybrid Late-Fusion Approach for Intelligent Fault Identification under Cross-Load Operating Conditions
[IEEE] 2026-4-3 | GhostBackdoor: A Resistant Backdoor Attack
[IEEE] 2026-4-3 | Scheduling Schemes for Mission-Critical IoT Healthcare Applications: A Systematic Review
[IEEE] 2026-4-3 | Review of Superconducting Qubit Devices and Their Large-Scale Integration
[IEEE] 2026-4-3 | Low-cost Testing of 2.4GHz Receiver on Standard Digital ATE: Practical Implementation
[IEEE] 2026-4-3 | USCNet: Transformer-Based Multimodal Fusion with Segmentation Guidance for Urolithiasis Classification
[IEEE] 2026-4-3 | Design of a Scalable Modular Bias Voltage Supply with Reduced Noise for Multi-Channel SiPM Readout
[IEEE] 2026-4-3 | Graph Neural Network-Based Hybrid Precoding for Intelligent Integrated mmWave MIMO Systems
[IEEE] 2026-4-3 | Mirror Descent Safe Policy Optimization for Reinforcement Learning Agents_supp1-3674995.pdf
[IEEE] 2026-4-3 | Toward Sustainable 6G: A Holistic View of Trade-Offs and Enablers
[IEEE] 2026-4-3 | Use Case Matters: Comparing the User Experience and Task Performance across Tasks for Embodied Interaction in VR
[IEEE] 2026-4-3 | Professors' Impact on Cybersecurity Students' Learning
[IEEE] 2026-4-3 | NeuroViT-Net: A Study on Performance Improvement of a Transformer-Based Brain Tumor Classification Model
[IEEE] 2026-4-3 | Optimal Dual-Polarized Signal Fusion for Remote Sensing of Space Targets with Passive Radar
[IEEE] 2026-4-3 | Optimized Non-Uniform Pilot Pattern for OFDM Sensing
[IEEE] 2026-4-3 | SemiPoint: Generalizing Cross-Scene Point Cloud Video Streaming With Semi-Supervised Learning and Residual-Aware Adaptation
[IEEE] 2026-4-3 | Table of Contents
[IEEE] 2026-4-3 | Seamless Dual Mode Control Strategy for Wide Soft Switching Range in Consumer-Centric Dual Active Bridge Converters
[IEEE] 2026-4-3 | How Can State Space Models Enhance Machine Learning on Graphs?
[IEEE] 2026-4-3 | Dynamic Optimization Framework for Intelligent Maintenance of Offshore Wind Turbines with Competing Failure Modes
[IEEE] 2026-4-3 | GNSS Jamming and Spoofing Threats in UAV Navigation: Countermeasure Status and Challenges
[IEEE] 2026-4-3 | Predicting Student Dropout: Evaluating Genetic Algorithm Optimization of Support Vector Machine Under Various Normalization Techniques
[IEEE] 2026-4-3 | Amyloid-Beta and RAGE Interactions in Alzheimer's Disease
[IEEE] 2026-4-3 | Design Method of Pixelated Electron Gun Based on CNN Model
[IEEE] 2026-4-3 | Monodisperse CoFe2O4 Nanocubes: Influence of Particle Size on the Magnetic Properties
[IEEE] 2026-4-3 | Homogenization of the Eddy Current Problem in Laminated Open-Type Cores Accounting for Perpendicular Flux
[IEEE] 2026-4-3 | IEEE Transactions on Industrial Electronics Information for Authors
[IEEE] 2026-4-3 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective
共写入 100 条记录，保存到 papers/paper2026-04-03.json。
论文获取成功，文件路径: papers/paper2026-04-03.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Re-Creating Arago’s Disc
[NO] 2/100 | WildPose v2: A Compact Tri-Modal Platform for Long-Range Animal Motion Capture
[NO] 3/100 | Communication Complexity of Exact Sampling under Rényi Information
[NO] 4/100 | Rethinking Topic Modeling With Information Bottleneck Principle
[NO] 5/100 | GCL-MSE: Graph Contrastive Learning with Mutual Similarity Enhancement for Drug Repositioning
[NO] 6/100 | EasyVoid: A Handheld Coand&amp;#x0103; Effect Uroflowmeter for Accurate and Portable Measurement of Urinary Flow Dynamics_supp1-3679932.pdf
[NO] 7/100 | EcoPath: Energy-Efficient Multi-Path Data Aggregation for Ubiquitous Connectivity Services
[NO] 8/100 | What You See Is What You Wear: Crafting Garments for Diverse Avatars with Consistent Wearing Effects
[NO] 9/100 | Tools and Analysis for Distributed SAR Systems
[NO] 10/100 | Network Slicing with Flexible VNF Order: A Branch-and-Bound Approach
[NO] 11/100 | A Contrastive Free Energy-Enhanced Transformer Framework for Efficient Reinforcement Learning_supp1-3677738.pdf
[NO] 12/100 | Emission Spectroscopy for Tracking Reactive Nitrogen and Oxygen species in DBD Plasma
[NO] 13/100 | Beyond Connectivity: An Open Architecture for AI-RAN Convergence in 6G
[NO] 14/100 | MTFuse: Fast Multi-Task Network for Infrared and Visible Image Fusion with Brightness Enhancement Four Lines
[NO] 15/100 | Investigating the Neural Correlates of a Thermal Illusion in Augmented Reality Using Electroencephalography
[NO] 16/100 | A Cubic Boost DC-DC Converter with Reduced Switch Voltage Stress for DC Microgrid Application
[NO] 17/100 | 3-D Transient Model of Drawing Vacuum Arc Coupled With CuCr Alloy AMF Contact and Anode Thermal Process
[YES] 18/100 | Robust μ-Channel Estimation for IoT and 6G Edge Devices via Defensive Distillation
[NO] 19/100 | Circularly Polarized Antenna with Polarization-Compliable PRS Unit Cells for Gain Enhancement and Sidelobe Suppression
[NO] 20/100 | The Paradigm Shift Toward User-Centric Digital Identity Approaches: A Systematic Literature Review
[NO] 21/100 | A Lightweight Wavelet-Aligned Difference and Mask-Guided Fusion Network for Change Detection
[NO] 22/100 | Feature Importance-Aware Deep Joint Source-Channel Coding for Computationally Efficient and Adjustable Image Transmission
[NO] 23/100 | Based on the Sub-Image Wavefront Curvature Compensation SAR Imaging Algorithm for High-Speed Maneuvering Platforms
[NO] 24/100 | Partial Arm Weight Support Does Not Hamper the Weight Perception of Haptically-Rendered Virtual Objects: A Psychophysics Study
[NO] 25/100 | Patent Quality, Institutions, and Innovation Leadership in FinTech: A Multidimensional Machine Learning Analysis_supp1-3680345.docx
[NO] 26/100 | A Total Variation Regularizer with Partially Known Support for Pulse-Echo Speed-of-Sound Imaging
[NO] 27/100 | A Framework of Automated
                    <i>LC</i>
                    -VCO Design with Physical Layout Based on Reinforcement Learning
[NO] 28/100 | IEEE Industrial Electronics Society Information
[NO] 29/100 | Impact of Attention Mechanisms and Focal Loss Tuning on RetinaNet Performance for Crop-Weed Detection: A Comparative Study with Anchor-Free Detectors
[NO] 30/100 | Multilingual Deepfake Speech Dataset for Robust and Generalizable Detection
[NO] 31/100 | Event-Triggered Fault Tolerant Control for Unmanned Marine Vehicle System with Actuator Fault and Disturbance
[NO] 32/100 | Unsupervised Domain Adaptation in Biomedical Images Segmentation with Guided Diffusion Generative Prior
[NO] 33/100 | UGFusion: Uncertainty-Guided LiDAR-Camera Fusion for 3-D object detection
[NO] 34/100 | A Simplified Mathematical Guide to Cyber Assets, Value, and Risk for K–12 Students
[NO] 35/100 | Terrain-Inspired Bumpiness Prediction for Off-Road Autonomous Driving
[NO] 36/100 | IEEE Transactions on Terahertz Science and Technology Publication Information
[NO] 37/100 | Leveraging AI Tools in Engineering Education: Promise and Pitfalls of AI in Software Development
[NO] 38/100 | IEEE Industry Applications Society Information
[NO] 39/100 | Table of Contents
[NO] 40/100 | Semi-Supervised Regression via Hierarchical Confidence Screening and Neighbor-Guided Pseudo-Label Calibration
[NO] 41/100 | A 230-GHz Wideband High-Efficiency Beam-Steering 1 × 2 Phased-Array Signal Source in 40-nm CMOS
[NO] 42/100 | Witnessing 25 Years of Weiser's Legacy in Pervasive Computing
[NO] 43/100 | Flat UP: A Converged RAN-Core Architecture for the 6G User Plane
[NO] 44/100 | Uniformity of Frequency Support Between Grid-Following and Grid-Forming Converters
[NO] 45/100 | Overdriving Visual Depth Perception via Sound Modulation in VR_supp1-3679918.pdf
[NO] 46/100 | Analysis of Coupling Mechanism and Research on Control Strategy for Rotorcraft Aerial Manipulators
[NO] 47/100 | Interoperability Assessment Framework for IEC 61850 Multivendor Digital Substations: Challenges and Recommendations
[NO] 48/100 | Safe School Water Initiative, A Comprehensive Study on Water Quality Testing Among Schools
[NO] 49/100 | Time-Series Analysis and Forecasting of Film Genres Emerging Globally
[NO] 50/100 | Investigating Subjective and Physiological Effects of Color Temperature and Visual Thermal Cues in Virtual Reality
[NO] 51/100 | Advanced Encryption Techniques for Enhancing Data Security and Privacy in Cloud Environments
[NO] 52/100 | NASTaR: A NovaSAR-Based Automated Ship Target Recognition Dataset_supp1-3679941.pdf
[NO] 53/100 | Robust Design Under Uncertainty in Quantum Error Mitigation
[NO] 54/100 | MHD Flows in the Lower Expansion Chamber of a Generic Outboard Blanket Segment for DEMO
[NO] 55/100 | VRN-Back: an Immersive Music Rhythm Game for Working Memory Training in Virtual Reality
[NO] 56/100 | Novel Single-Phase Converter with Reduced Common Mode EMI
[NO] 57/100 | Hybrid Generative Adversarial Network Assisted Oversampling for Credit Card Fraud Detection_supp1-3680136.docx
[NO] 58/100 | A Reconfigurable SPR-based D-shaped Dual-Sensing Photonic Crystal Fiber Biosensor Using Ge
                    <sub>2</sub>
                    Sb
                    <sub>2</sub>
                    Te
                    <sub>5</sub>
                    Phase Change Material for Cancer Cell Detection
[NO] 59/100 | Multiobjective Optimization for Uncertain Integrated Energy Systems: Aggregating EVs in Demand Response via Photovoltaic-Energy Storage
[NO] 60/100 | Robotic Non-Contact Three-Dimensional Micromanipulation by Acoustohydrodynamic Effects
[NO] 61/100 | Latent Danger Zone: Distilling Unified Attention for Cross-Architecture Black-box Attacks
[NO] 62/100 | K-12 Education: Explaining Cyber Value at Risk Using Electrical K-Map and Truth Table
[NO] 63/100 | Software Vulnerabilities as Cognitive Blindspots; Assessing the Suitability of a Dual Processing Theory of Decision Making for Secure Coding
[NO] 64/100 | Challenges in Testing Large Language Model Based Software: A Faceted Taxonomy
[NO] 65/100 | In silico inhibitor analysis of ran binding protein 9 (RanBPM) in non-small cell lung cancer (NSCLC)
[NO] 66/100 | Clinical Metadata Guided Limited-Angle CT Image Reconstruction_supp1-3677586.pdf
[NO] 67/100 | DyCITO+: Scalable Deep Reinforcement Learning for Generating Class Integration Test Orders of Java Programs
[NO] 68/100 | High Color Rendering Index Solution-Processed White OLEDs Based on Novel Exciplexes_supp1-3678242.docx
[NO] 69/100 | Carbon Footprint Reduction for Product Returns: Impacts of Return Freight Insurance_supp1-3680225.pdf
[NO] 70/100 | Generative AI-Enabled Transmission and Computing Integration for Cloud-Edge Collaborative IoT
[NO] 71/100 | Joint Tailoring of Electromagnetic Radiated Emission and Susceptibility Limits for Coexistence of Multiple Radio-Frequency Devices
[NO] 72/100 | Image Captioning via Compact Bidirectional Architecture
[NO] 73/100 | Hybrid Late-Fusion Approach for Intelligent Fault Identification under Cross-Load Operating Conditions
[NO] 74/100 | GhostBackdoor: A Resistant Backdoor Attack
[NO] 75/100 | Scheduling Schemes for Mission-Critical IoT Healthcare Applications: A Systematic Review
[NO] 76/100 | Review of Superconducting Qubit Devices and Their Large-Scale Integration
[NO] 77/100 | Low-cost Testing of 2.4GHz Receiver on Standard Digital ATE: Practical Implementation
[NO] 78/100 | USCNet: Transformer-Based Multimodal Fusion with Segmentation Guidance for Urolithiasis Classification
[NO] 79/100 | Design of a Scalable Modular Bias Voltage Supply with Reduced Noise for Multi-Channel SiPM Readout
[NO] 80/100 | Graph Neural Network-Based Hybrid Precoding for Intelligent Integrated mmWave MIMO Systems
[NO] 81/100 | Mirror Descent Safe Policy Optimization for Reinforcement Learning Agents_supp1-3674995.pdf
[NO] 82/100 | Toward Sustainable 6G: A Holistic View of Trade-Offs and Enablers
[NO] 83/100 | Use Case Matters: Comparing the User Experience and Task Performance across Tasks for Embodied Interaction in VR
[NO] 84/100 | Professors' Impact on Cybersecurity Students' Learning
[NO] 85/100 | NeuroViT-Net: A Study on Performance Improvement of a Transformer-Based Brain Tumor Classification Model
[NO] 86/100 | Optimal Dual-Polarized Signal Fusion for Remote Sensing of Space Targets with Passive Radar
[YES] 87/100 | Optimized Non-Uniform Pilot Pattern for OFDM Sensing
[NO] 88/100 | SemiPoint: Generalizing Cross-Scene Point Cloud Video Streaming With Semi-Supervised Learning and Residual-Aware Adaptation
[NO] 89/100 | Table of Contents
[NO] 90/100 | Seamless Dual Mode Control Strategy for Wide Soft Switching Range in Consumer-Centric Dual Active Bridge Converters
[NO] 91/100 | How Can State Space Models Enhance Machine Learning on Graphs?
[NO] 92/100 | Dynamic Optimization Framework for Intelligent Maintenance of Offshore Wind Turbines with Competing Failure Modes
[NO] 93/100 | GNSS Jamming and Spoofing Threats in UAV Navigation: Countermeasure Status and Challenges
[NO] 94/100 | Predicting Student Dropout: Evaluating Genetic Algorithm Optimization of Support Vector Machine Under Various Normalization Techniques
[NO] 95/100 | Amyloid-Beta and RAGE Interactions in Alzheimer's Disease
[NO] 96/100 | Design Method of Pixelated Electron Gun Based on CNN Model
[NO] 97/100 | Monodisperse CoFe2O4 Nanocubes: Influence of Particle Size on the Magnetic Properties
[NO] 98/100 | Homogenization of the Eddy Current Problem in Laminated Open-Type Cores Accounting for Perpendicular Flux
[NO] 99/100 | IEEE Transactions on Industrial Electronics Information for Authors
[NO] 100/100 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective
筛选完成：共 100 篇；Yes = 2 篇；已保存到 papers/select_paper2026-04-03.json。
邮件发送成功！
[2026-04-04 09:47:29] 任务执行成功！
