[2026-04-03 09:47:23] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Analysis of Efficient Transmission Methods of Grid Maps for Intelligent Vehicles
[arXiv] 2026-04-02 | PRO-SPECT: Probabilistically Safe Scalable Planning for Energy-Aware Coordinated UAV-UGV Teams in Stochastic Environments
[arXiv] 2026-04-02 | Application of parametric Shallow Recurrent Decoder Network to magnetohydrodynamic flows in liquid metal blankets of fusion reactors
[arXiv] 2026-04-02 | Characteristic numbers of canonical toric manifolds and their applications
[arXiv] 2026-04-02 | A forward-angle large-acceptance magnetic spectrometer
[arXiv] 2026-04-02 | Semantic Evolution over Populations for LLM-Guided Automated Program Repair
[arXiv] 2026-04-02 | Effective Field Theory for Superconducting Phase Transitions
[arXiv] 2026-04-02 | Safe Control of Feedback-Interconnected Systems via Singular Perturbations
[arXiv] 2026-04-02 | Intelligent Cloud Orchestration: A Hybrid Predictive and Heuristic Framework for Cost Optimization
[arXiv] 2026-04-02 | SEAL: An Open, Auditable, and Fair Data Generation Framework for AI-Native 6G Networks
[arXiv] 2026-04-02 | Hedging market risk and uncertainty via a robust portfolio approach
[arXiv] 2026-04-02 | AA-SVD : Anchored and Adaptive SVD for Large Language Model Compression
[arXiv] 2026-04-02 | FlatAttention: Dataflow and Fabric Collectives Co-Optimization for Large Attention-Based Model Inference on Tile-Based Accelerators
[arXiv] 2026-04-02 | HyVGGT-VO: Tightly Coupled Hybrid Dense Visual Odometry with Feed-Forward Models
[arXiv] 2026-04-02 | A Case For Host Code Guided GPU Data Race Detector
[arXiv] 2026-04-02 | Lithium Droplet Transport in Tokamak Edge Plasmas
[arXiv] 2026-04-02 | Chiral-scale effective field theory for dense and thermal systems
[arXiv] 2026-04-02 | Importance sampling for Bayesian inference: polynomial-dimension dependent error bounds
[arXiv] 2026-04-02 | Bounded Ramsey's theorem for triples in computability theory
[arXiv] 2026-04-02 | On Ramsey number of $K_{2,n}$ versus even cycles
[arXiv] 2026-04-02 | Gaussian closure and dynamical mean-field theory for self-avoiding heteropolymers
[arXiv] 2026-04-02 | Automated Functional Testing for Malleable Mobile Application Driven from User Intent
[arXiv] 2026-04-02 | A time grating approach to ultrahigh-Q guided mode resonance
[arXiv] 2026-04-02 | Mining Instance-Centric Vision-Language Contexts for Human-Object Interaction Detection
[arXiv] 2026-04-02 | Optimal skyrmion stability in antisymmetric ultrathin ferromagnetic bilayers
[arXiv] 2026-04-02 | Network Structure in UK Payment Flows: Evidence on Economic Interdependencies and Implications for Real-Time Measurement
[arXiv] 2026-04-02 | Tracking the emergence of linguistic structure in self-supervised models learning from speech
[arXiv] 2026-04-02 | A Fenchel Theorem for the Gauss maps and uniqueness of minimizers of nonlocal curvature energies
[arXiv] 2026-04-02 | Perspectives in and on Quantum Theory
[arXiv] 2026-04-02 | The Axion Helical Misalignment Mechanism
[arXiv] 2026-04-02 | Tree-independence number and forbidden induced subgraphs: excluding a $6$-vertex path and a $(2,t)$-biclique
[arXiv] 2026-04-02 | Systems with discrete singular $φ$-Laplacian and maximal monotone boundary conditions
[arXiv] 2026-04-02 | MTLSI-Net: A Linear Semantic Interaction Network for Parameter-Efficient Multi-Task Dense Prediction
[arXiv] 2026-04-02 | Curia-2: Scaling Self-Supervised Learning for Radiology Foundation Models
[arXiv] 2026-04-02 | ATLAS and CMS measurements of the $t\bar{t}$ cross section, including off-shell and near threshold
[arXiv] 2026-04-02 | Equivalence of toral Chern-Simons and Reshetikhin-Turaev theories
[arXiv] 2026-04-02 | Exponential Asymptotics for Dark Solitons of the Discrete NLS Model
[arXiv] 2026-04-02 | Semi-explicit entropic solution to a generalised Riemann problem in some hydrological context
[arXiv] 2026-04-02 | SDesc3D: Towards Layout-Aware 3D Indoor Scene Generation from Short Descriptions
[arXiv] 2026-04-02 | Revisiting Conservativeness in Fluid Dynamics: Failure of Non-Conservative PINNs and a Path-Integral Remedy
[arXiv] 2026-04-02 | OpenGo: An OpenClaw-Based Robotic Dog with Real-Time Skill Switching
[arXiv] 2026-04-02 | Semiring identities in the semigroup $B_2$
[arXiv] 2026-04-02 | Can Video Diffusion Models Predict Past Frames? Bidirectional Cycle Consistency for Reversible Interpolation
[arXiv] 2026-04-02 | A floating body with no preferred orientation: an experimental realization
[arXiv] 2026-04-02 | Bond-density-wave orders induced by geometric frustration in the kagome metal CeRu3Si2
[arXiv] 2026-04-02 | The Integral Chow Ring of Smooth Non-strict Toric Stacks
[arXiv] 2026-04-02 | GPA: Learning GUI Process Automation from Demonstrations
[arXiv] 2026-04-02 | HOT: Harmonic-Constrained Optimal Transport for Remote Photoplethysmography Domain Adaptation
[arXiv] 2026-04-02 | Unusually Hot Interiors Could Reconcile the Missing Methane Problem for Warm-to-Hot Exoplanets with Hydrogen Atmospheres
[arXiv] 2026-04-02 | PRCCF: A Persona-guided Retrieval and Causal-aware Cognitive Filtering Framework for Emotional Support Conversation
[arXiv] 2026-04-02 | Femtoscopy of Strange Baryons in Heavy-ion Collisions at RHIC-STAR
[arXiv] 2026-04-02 | What Do Claim Verification Datasets Actually Test? A Reasoning Trace Analysis
[arXiv] 2026-04-02 | ThinknCheck: Grounded Claim Verification with Compact, Reasoning-Driven, and Interpretable Models
[arXiv] 2026-04-02 | MonoSAOD: Monocular 3D Object Detection with Sparsely Annotated Label
[arXiv] 2026-04-02 | Contextualizing Sink Knowledge for Java Vulnerability Discovery
[arXiv] 2026-04-02 | Grounding AI-in-Education Development in Teachers' Voices: Findings from a National Survey in Indonesia
[arXiv] 2026-04-02 | RefinementEngine: Automating Intent-to-Device Filtering Policy Deployment under Network Constraints
[arXiv] 2026-04-02 | OSCAR: Orchestrated Self-verification and Cross-path Refinement
[arXiv] 2026-04-02 | NEMESIS: Noise-suppressed Efficient MAE with Enhanced Superpatch Integration Strategy
[arXiv] 2026-04-02 | On Relative Ulrich Bundle and Generalized Clifford Algebra
[arXiv] 2026-04-02 | MM-ReCoder: Advancing Chart-to-Code Generation with Reinforcement Learning and Self-Correction
[arXiv] 2026-04-02 | Learning from the Right Rollouts: Data Attribution for PPO-based LLM Post-Training
[arXiv] 2026-04-02 | Chiral Superconductivity in Periodically Driven Altermagnet/Superconductor Heterostructures
[arXiv] 2026-04-02 | ThinkTwice: Jointly Optimizing Large Language Models for Reasoning and Self-Refinement
[arXiv] 2026-04-02 | Single-Pass Streaming CSPs via Two-Tier Sampling
[arXiv] 2026-04-02 | When is cumulative dose response monotonic? Analysis of incoherent feedforward motifs
[arXiv] 2026-04-02 | Does Your Optimizer Care How You Normalize? Normalization-Optimizer Coupling in LLM Training
[arXiv] 2026-04-02 | ZEUS: Accelerating Diffusion Models with Only Second-Order Predictor
[arXiv] 2026-04-02 | Prototype-Based Low Altitude UAV Semantic Segmentation
[arXiv] 2026-04-02 | Accelerated Patient-Specific Hemodynamic Simulations with Hybrid Physics-Based Neural Surrogates
[arXiv] 2026-04-02 | Anomalous scaling in redirection networks
[arXiv] 2026-04-02 | Geometric origin of the cosmological constant from Einstein-Chern-Simons gravity compactified to four dimensions
[arXiv] 2026-04-02 | Read More, Think More: Revisiting Observation Reduction for Web Agents
[arXiv] 2026-04-02 | Validating Computational Markers of Depressive Behavior: Cross-Linguistic Speech-Based Depression Detection with Neurophysiological Validation
[arXiv] 2026-04-02 | A Determinantal Approach to a Sharp $\ell^1-\ell^\infty-\ell^2$ Norm Inequality
[arXiv] 2026-04-02 | Why Instruction-Based Unlearning Fails in Diffusion Models?
[arXiv] 2026-04-02 | On Integral Linear Constraints on Convex Cones
[arXiv] 2026-04-02 | Feedforward Density-Driven Optimal Control for Tracking Time-Varying Distributions with Guaranteed Stability
[arXiv] 2026-04-02 | Identifying and Estimating Causal Direct Effects Under Unmeasured Confounding
[arXiv] 2026-04-02 | The Weak Signal Cultivation Model: A Human-Centric Framework for Frontline Risk Detection, Signal Tracking, and Proactive Organizational Resilience
[ACM] 2026-4-2 | A Dream Come True: Deletable Content in Immutable Storage.
[ACM] 2026-4-2 | Mindful Eating Aspects as Bridging Concepts Represented through the MEDEC Cards: Towards a Design Framework for Mindful Eating Technologies
[IEEE] 2026-4-2 | Supporting Bi-Directional Collaboration with Unmodified Immersive Applications Using AccompliceVR_supp1-3679102.pdf
[IEEE] 2026-4-2 | Modality Equilibrium Matters: Minor-Modality-Aware Adaptive Alternating for Cross-Modal Memory Enhancement_supp1-3676535.pdf
[IEEE] 2026-4-2 | Dual-Foot Inertial Pedestrian Navigation with Graduated Non-Convexity Factor Graph Optimization
[IEEE] 2026-4-2 | Rotating Savitzky-Golay Filter Based on BP Neural Network: Enabling High-Accuracy Temperature and Pressure Retrieval via Rayleigh-Brillouin Spectrum Processing
[IEEE] 2026-4-2 | Innovative IFC Classification in BIM Models Ready to be Converted Into Digital Twins
[IEEE] 2026-4-2 | Dimensioning of Surge Protective Devices Installed to Home Electric Vehicle Chargers Against Direct Lightning Strikes
[IEEE] 2026-4-2 | AGENT-DIFF-X: A Consumer-Adaptive Agentic Framework for Efficient and Explainable 3D Breast Tumor Segmentation on Edge Devices
[IEEE] 2026-4-2 | A 60-V High-Side / In-Line Instrumentation Amplifier With 54-V/
                    <i>μ</i>
                    s CM Transient Tolerance and 115-dB Dynamic Range
[IEEE] 2026-4-2 | In Situ Grown MoS&amp;#x2082; on FTO: A Scalable and Biocompatible Platform for Selective Detection of Dopamine_supp1-3668254.docx
[IEEE] 2026-4-2 | Beyond Predefined Clusters: A Comprehensive Review of Clustering Methods for Unknown Cluster Numbers
[IEEE] 2026-4-2 | Enhancing Pedestrian Safety Through Automated Emergency Steering: Design and Experimental Validation of a Risk-Based Architecture
[IEEE] 2026-4-2 | Feature Disentanglement-Based Source-Free State-Of-Health Estimation of Lithium-Ion Batteries
[IEEE] 2026-4-2 | Systematic Design and Validation Framework for Main Circuit Parameters of Gigawatt MMC–HVDC Considering Operating Boundary
[IEEE] 2026-4-2 | ASRU 2025 Author Index
[IEEE] 2026-4-2 | A Compact Reconfigurable Integrated Coupler/ Power Divider With Shared Through Port
[IEEE] 2026-4-2 | Safe Event-triggered Gaussian Process Learning for Barrier-Constrained Control
[IEEE] 2026-4-2 | Enhancing the Insulating and Thermal Reliability of Synthetic Ester Insulating Fluids Using SiC Nanoparticles
[IEEE] 2026-4-2 | CIM-NET: A Video Denoising Deep Neural Network Model Optimized for Computing-in-Memory Architectures
[IEEE] 2026-4-2 | Reducing Object Hallucination in Large Audio-Language Models via Audio-Aware Decoding
[IEEE] 2026-4-2 | NinjaPort: A Multi-Hand Approach for VR Teleportation
[IEEE] 2026-4-2 | ImmersiveDMT: A VR System for Expressive Body Movement and Stress Reduction through Dance Movement Therapy
[IEEE] 2026-4-2 | Depth Perception Cues in VR Under Sleep Deprivation
[IEEE] 2026-4-2 | Synchronizing with Attentional Sampling: Modality-Specific Flicker Guidance for Gaze and Hand-Eye Interaction in VR
[IEEE] 2026-4-2 | AgriLens: Semantic Retrieval in Agricultural Texts Using Topic Modeling and Language Models
[IEEE] 2026-4-2 | DyMEvalNet: Dynamic Text-Audio-Personalization Fusion for Multimodal Music Quality Assessment
[IEEE] 2026-4-2 | IEEE VR 2026 VGTC Virtual Reality Significant New Researcher Award
[IEEE] 2026-4-2 | LLaS2S: LLM-based Speech-to-Speech Translation with Context-Aware Duration Prediction Units
[IEEE] 2026-4-2 | Position Sensorless and Fault-Tolerance Control of Medium Speed SRMs via Self-Correcting Inductance-Based Observer
[IEEE] 2026-4-2 | AnchorNet: Adaptive Anchor Token Enhancement in Video-grounded Dialogue Generation
[IEEE] 2026-4-2 | Physics-Constrained Spatio-Temporal Attention FusionGAN: End-to-End Gridded Sea Surface Wind Fusion over China Seas from Multi-Mission GNSS-R Observations
[IEEE] 2026-4-2 | FFDMamba: Feature Frequency Decoupling Mamba for High-Resolution Remote Sensing Semantic Segmentation
[IEEE] 2026-4-2 | Dual-Security-Assured Computation Offloading for ISCC LEO Satellite-Enabled Space-Air-Ground Networks
[IEEE] 2026-4-2 | Smarttendance: A BLE-Based Mobile Application for Real-Time Session Attendance Tracking
[IEEE] 2026-4-2 | Wavelength-Multiplexed Operation of Phosphorescent White-LED Data Emitters
[IEEE] 2026-4-2 | A Data-Driven ANN-Based Model for FeCAP &amp; FeFET: Orienting to SPICE and Circuit Design
[IEEE] 2026-4-2 | Robust and Lightweight 3D Reconstruction of Buried Threats Using Multi-view GPR Data
[IEEE] 2026-4-2 | RSCAAT: A Recursive Mechanism to Mitigate Cache Side Channel Attacks
[IEEE] 2026-4-2 | SDDS: A Scalable and Distributed Data Sharing Scheme in Vehicular Clouds
[IEEE] 2026-4-2 | Disturbance Observer-Based Control for PMSG Wind Turbine System to Cope With Both Balanced and Unbalanced Grid Voltages
[IEEE] 2026-4-2 | Translational Drift in Formation Control Under Infeasible Configurations
[IEEE] 2026-4-2 | Policy Iteration with Non-Asymptotic Convergence for Systems with Random Parameters
[IEEE] 2026-4-2 | Adaptive Super-Twisting Kernel Dynamic Programming: Energy Optimal and Robust Theory Application for Pursuit-Evasion Game System
[IEEE] 2026-4-2 | Fundamental Bounds and Exact Formulation for the Level Crossing Rate of Product Ratio Fading Processes
[IEEE] 2026-4-2 | Sinba: Singing-To-Accompaniment Generation With Pitch Guidance Via Mamba-Based Language Model
[IEEE] 2026-4-2 | Whisper Has an Internal Word Aligner
[IEEE] 2026-4-2 | Improving Perceptual Audio Aesthetic Assessment via Triplet Loss and Self-Supervised Embeddings
[IEEE] 2026-4-2 | Privacy-Preserving State Estimation with Crowd Sensors: An Information-Theoretic Respective
[IEEE] 2026-4-2 | SpeechLess: Micro-utterance with Personalized Spatial Memory-aware Assistant in Everyday Augmented Reality
[IEEE] 2026-4-2 | AniXDim: Integrating Cross-Dimensional Interaction into Desktop Character Animation Workflows
[IEEE] 2026-4-2 | Evaluating Self-Supervised Speech Models Via Text-Based LLMs
[IEEE] 2026-4-2 | Porting an Enterprise Linux Distribution to Custom RISC-V Hardware: A Rocky Linux Case Study
[IEEE] 2026-4-2 | Performance Analysis of Compiler Code Generation for HPC and AI Kernels on RISC-V
[IEEE] 2026-4-2 | An Efficient and Well-Benchmarked Multi-Orbital Impurity Solver for Predictive Investigations of Correlated Materials
[ACM] 2026-4-2 | Designing Inclusive Voice-Based Conversational Agents for Individuals with Intellectual Disabilities
[IEEE] 2026-4-2 | Equilibrium Contrastive Learning for Imbalanced Image Classification
[IEEE] 2026-4-2 | IEEE Systems, Man, and Cybernetics Society Information
[IEEE] 2026-4-2 | Towards AGI-Enabled Solutions For IoX Layers Bottlenecks In Cyber-Physical-Social-Thinking Space
[IEEE] 2026-4-2 | Wildfire Spread Forecasting with Deep Learning
[IEEE] 2026-4-2 | Table of Contents
[IEEE] 2026-4-2 | Video-Based Cross-Domain Emotion Recognition Via Sample-Graph Relations Self-Distillation
[IEEE] 2026-4-2 | XS-FedPRS: Explainable and Secure Federated Learning for Privacy-Preserving Genomic Analytics in Federated Healthcare Networks
[IEEE] 2026-4-2 | AoI-Aware Privacy-Preserving Task Allocation in Vehicular Crowdsensing
[IEEE] 2026-4-2 | Joint Overt–Covert Dual-Robust Beamforming for Satellite Communications
[IEEE] 2026-4-2 | Demonstration of Improvement in On-Resistance versus Breakdown Voltage Trade-Off for Top-Gate High-Voltage InGaO TFTs
[IEEE] 2026-4-2 | Heat Flow Characteristics of Segmented Laminar Plasma Torch Influenced by Interelectrode Structure Based on Numerical Simulation
[IEEE] 2026-4-2 | Wireless Human Activity Recognition: A Survey of Recent Advances and a Novel Zero-Shot LLM-Based Inference Framework
[IEEE] 2026-4-2 | PunctVR: VR Training for Image-Guided Needle Puncture with a Scaffolded, Self-Directed Framework
[IEEE] 2026-4-2 | Table of Contents
[IEEE] 2026-4-2 | Mechanism and Performance Verification of Channel-Hot-Electron Induced Hot-Hole Injection-Based High-Speed Erasure for Split-Gate Charge-Trapping Flash Memory
[IEEE] 2026-4-2 | An Open-Circuit Fault Diagnosis Method for T-Type Three-Level Inverters Based on Distorted Current Guided by Physical Mechanism
[IEEE] 2026-4-2 | 2026 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)
[IEEE] 2026-4-2 | Seismic impedance inversion with adaptive group sparse regularization
[IEEE] 2026-4-2 | Canonical Correlation Residual Score-Based Method for Quality-Related Fault Diagnosis in Industrial Processes
[IEEE] 2026-4-2 | Self-Anchored Progressive Framework with Noise Mitigation for Unsupervised Camouflaged Object Detection
[IEEE] 2026-4-2 | Emphasis Sensitivity in Speech Representations
[IEEE] 2026-4-2 | Emotional Styles Hide in Deep Speaker Embeddings: Disentangle Deep Speaker Embeddings for Speaker Clustering
[IEEE] 2026-4-2 | Scalable Controllable Accented TTS
[IEEE] 2026-4-2 | Token-based Attractors and Cross-attention in Spoof Diarization
[IEEE] 2026-4-2 | Audio-CoT: Exploring Chain-of-Thought Reasoning in Large Audio Language Model
[IEEE] 2026-4-2 | Enabling Long FFT Convolutions on Memory-Constrained FPGAs via Chunking
[IEEE] 2026-4-2 | Energy-Aware Predictive Offloading in UAV for Containerized Smart Irrigation in IoT Agriculture
[IEEE] 2026-4-2 | What Sensors See, What People Feel: An Exploratory Study of Subjective Collaboration Perception in Mixed Reality
[IEEE] 2026-4-2 | Advancing Controllable Music Generation with Latent Rectified Flow Guided by Rhythm and Harmony
[IEEE] 2026-4-2 | Analysing the Language of Neural Audio Codecs
[IEEE] 2026-4-2 | Reliability of Lexical Richness Measures for ASR-Based Children’s Speech Assessment
[IEEE] 2026-4-2 | Full
                    <i>V</i>
                    -band High-Efficiency Gap Waveguide-Based Single-Layer Corporate-Feed Slot Array Antenna
[IEEE] 2026-4-2 | “Reflecting on Mark Weiser's Vision in 2026”
[IEEE] 2026-4-2 | Integrating a Degradation-Driven Methodology in Board Level Vibration Testing
[IEEE] 2026-4-2 | Edge Extension for Missing Anatomical Features: A Mask-Guided Spatial Diffusion Framework for Ultrasound Scoliosis Image Outpainting
[IEEE] 2026-4-2 | GL-MambaLite: A Lightweight Global-Local Feature Enhanced Network for Building Extraction
[IEEE] 2026-4-2 | Dependency-Aware Microservice Deployment Optimization via Neural Heuristic Learning
[IEEE] 2026-4-2 | Unified Object Detector with Dynamic Switch Mechanism Based on Deep Learning Advances: A Paradigm-Aware Architecture for Adaptive Detection
[IEEE] 2026-4-2 | Excluded Volume Effect in GI/G/s Queues
[IEEE] 2026-4-2 | Semantic Similarity-Based AI RMF and NIST SP 800-53 Integrated Crosswalk Structured Process
[IEEE] 2026-4-2 | FD-SCU: Frequency Decomposition-based Spectrum Collaborative Upsampling for Point Cloud Color Attribute_supp1-3678090.pdf
[IEEE] 2026-4-2 | Real-Time Implementation and Experimental Validation of a Novel Vector Control Strategy for a PV-Fed Reduced-Structure Inverter–Driven Induction Motor Using dSPACE 1104
[ACM] 2026-4-2 | Implicit Aspect-Based Sentiment Analysis: A Systematic Review
[IEEE] 2026-4-2 | ASRU 2025 Preface
共写入 200 条记录，保存到 papers/paper2026-04-02.json。
论文获取成功，文件路径: papers/paper2026-04-02.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Analysis of Efficient Transmission Methods of Grid Maps for Intelligent Vehicles
[NO] 2/200 | Functional relations in renormalization group methods for a class of ordinary differential equations
[NO] 3/200 | Liouville integrable Lotka-Volterra systems
[NO] 4/200 | Eyes Can't Always Tell: Fusing Eye Tracking and User Priors for User Modeling under AI Advice Conditions
[NO] 5/200 | DDCL: Deep Dual Competitive Learning: A Differentiable End-to-End Framework for Unsupervised Prototype-Based Representation Learning
[NO] 6/200 | Setup-Independent Full Projector Compensation
[NO] 7/200 | From BM25 to Corrective RAG: Benchmarking Retrieval Strategies for Text-and-Table Documents
[YES] 8/200 | Phase-Shifted Pilot Design for NOMA-Empowered Uplink ISAC Systems
[NO] 9/200 | On expectations and variances in the hard-core model
[NO] 10/200 | Blinded Radiologist and LLM-Based Evaluation of LLM-Generated Japanese Translations of Chest CT Reports: Comparative Study
[NO] 11/200 | Random-Subspace Sequential Quadratic Programming for Constrained Zeroth-Order Optimization
[NO] 12/200 | Towards Position-Robust Talent Recommendation via Large Language Models
[NO] 13/200 | A Pragmatist Understanding of Quantum Mechanics
[NO] 14/200 | What can be computed in average anonymous networks?
[NO] 15/200 | TRU: Targeted Reverse Update for Efficient Multimodal Recommendation Unlearning
[NO] 16/200 | Adam's Law: Textual Frequency Law on Large Language Models
[NO] 17/200 | Simulations of internal kink modes and sawtooth crashes for SPARC baseline-like scenarios using the M3D-C1 code
[NO] 18/200 | Reflection Generation for Composite Image Using Diffusion Model
[NO] 19/200 | Data-Driven Tube-Based Zonotopic Predictive Control With Nonconvex Layered Terminal Sets
[NO] 20/200 | Conservative flux reconstruction for an elliptic interface problem using CutFEM
[NO] 21/200 | TRACE-Bot: Detecting Emerging LLM-Driven Social Bots via Implicit Semantic Representations and AIGC-Enhanced Behavioral Patterns
[NO] 22/200 | PRO-SPECT: Probabilistically Safe Scalable Planning for Energy-Aware Coordinated UAV-UGV Teams in Stochastic Environments
[NO] 23/200 | Application of parametric Shallow Recurrent Decoder Network to magnetohydrodynamic flows in liquid metal blankets of fusion reactors
[NO] 24/200 | Characteristic numbers of canonical toric manifolds and their applications
[NO] 25/200 | A forward-angle large-acceptance magnetic spectrometer
[NO] 26/200 | Semantic Evolution over Populations for LLM-Guided Automated Program Repair
[NO] 27/200 | Effective Field Theory for Superconducting Phase Transitions
[NO] 28/200 | Safe Control of Feedback-Interconnected Systems via Singular Perturbations
[NO] 29/200 | Intelligent Cloud Orchestration: A Hybrid Predictive and Heuristic Framework for Cost Optimization
[NO] 30/200 | SEAL: An Open, Auditable, and Fair Data Generation Framework for AI-Native 6G Networks
[NO] 31/200 | Hedging market risk and uncertainty via a robust portfolio approach
[NO] 32/200 | AA-SVD : Anchored and Adaptive SVD for Large Language Model Compression
[NO] 33/200 | FlatAttention: Dataflow and Fabric Collectives Co-Optimization for Large Attention-Based Model Inference on Tile-Based Accelerators
[NO] 34/200 | HyVGGT-VO: Tightly Coupled Hybrid Dense Visual Odometry with Feed-Forward Models
[NO] 35/200 | A Case For Host Code Guided GPU Data Race Detector
[NO] 36/200 | Lithium Droplet Transport in Tokamak Edge Plasmas
[NO] 37/200 | Chiral-scale effective field theory for dense and thermal systems
[NO] 38/200 | Importance sampling for Bayesian inference: polynomial-dimension dependent error bounds
[NO] 39/200 | Bounded Ramsey's theorem for triples in computability theory
[NO] 40/200 | On Ramsey number of $K_{2,n}$ versus even cycles
[NO] 41/200 | Gaussian closure and dynamical mean-field theory for self-avoiding heteropolymers
[NO] 42/200 | Automated Functional Testing for Malleable Mobile Application Driven from User Intent
[NO] 43/200 | A time grating approach to ultrahigh-Q guided mode resonance
[NO] 44/200 | Mining Instance-Centric Vision-Language Contexts for Human-Object Interaction Detection
[NO] 45/200 | Optimal skyrmion stability in antisymmetric ultrathin ferromagnetic bilayers
[NO] 46/200 | Network Structure in UK Payment Flows: Evidence on Economic Interdependencies and Implications for Real-Time Measurement
[NO] 47/200 | Tracking the emergence of linguistic structure in self-supervised models learning from speech
[NO] 48/200 | A Fenchel Theorem for the Gauss maps and uniqueness of minimizers of nonlocal curvature energies
[NO] 49/200 | Perspectives in and on Quantum Theory
[NO] 50/200 | The Axion Helical Misalignment Mechanism
[NO] 51/200 | Tree-independence number and forbidden induced subgraphs: excluding a $6$-vertex path and a $(2,t)$-biclique
[NO] 52/200 | Systems with discrete singular $φ$-Laplacian and maximal monotone boundary conditions
[NO] 53/200 | MTLSI-Net: A Linear Semantic Interaction Network for Parameter-Efficient Multi-Task Dense Prediction
[NO] 54/200 | Curia-2: Scaling Self-Supervised Learning for Radiology Foundation Models
[NO] 55/200 | ATLAS and CMS measurements of the $t\bar{t}$ cross section, including off-shell and near threshold
[NO] 56/200 | Equivalence of toral Chern-Simons and Reshetikhin-Turaev theories
[NO] 57/200 | Exponential Asymptotics for Dark Solitons of the Discrete NLS Model
[NO] 58/200 | Semi-explicit entropic solution to a generalised Riemann problem in some hydrological context
[NO] 59/200 | SDesc3D: Towards Layout-Aware 3D Indoor Scene Generation from Short Descriptions
[NO] 60/200 | Revisiting Conservativeness in Fluid Dynamics: Failure of Non-Conservative PINNs and a Path-Integral Remedy
[NO] 61/200 | OpenGo: An OpenClaw-Based Robotic Dog with Real-Time Skill Switching
[NO] 62/200 | Semiring identities in the semigroup $B_2$
[NO] 63/200 | Can Video Diffusion Models Predict Past Frames? Bidirectional Cycle Consistency for Reversible Interpolation
[NO] 64/200 | A floating body with no preferred orientation: an experimental realization
[NO] 65/200 | Bond-density-wave orders induced by geometric frustration in the kagome metal CeRu3Si2
[NO] 66/200 | The Integral Chow Ring of Smooth Non-strict Toric Stacks
[NO] 67/200 | GPA: Learning GUI Process Automation from Demonstrations
[NO] 68/200 | HOT: Harmonic-Constrained Optimal Transport for Remote Photoplethysmography Domain Adaptation
[NO] 69/200 | Unusually Hot Interiors Could Reconcile the Missing Methane Problem for Warm-to-Hot Exoplanets with Hydrogen Atmospheres
[NO] 70/200 | PRCCF: A Persona-guided Retrieval and Causal-aware Cognitive Filtering Framework for Emotional Support Conversation
[NO] 71/200 | Femtoscopy of Strange Baryons in Heavy-ion Collisions at RHIC-STAR
[NO] 72/200 | What Do Claim Verification Datasets Actually Test? A Reasoning Trace Analysis
[NO] 73/200 | ThinknCheck: Grounded Claim Verification with Compact, Reasoning-Driven, and Interpretable Models
[NO] 74/200 | MonoSAOD: Monocular 3D Object Detection with Sparsely Annotated Label
[NO] 75/200 | Contextualizing Sink Knowledge for Java Vulnerability Discovery
