[2026-06-13 11:10:15] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-12
正在获取论文...
[ACM] 2026-6-13 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[IEEE] 2026-6-12 | Structurally-Informed 3D Gaussian Splatting for Limited-Angle CBCT
[IEEE] 2026-6-12 | Large Scale Crop Mapping in the Sanjiang Plain Using a Deep Spatial-Temporal Fusion Network With Time Series Sentinel-2 Imagery
[IEEE] 2026-6-12 | Structured Graph Reasoning for Traffic Anomaly Detection
[IEEE] 2026-6-12 | Temporal Relations-Aware Nonnegative Latent Factorization of Tensors for Dynamic Directed Graph Representation_supp1-3700025.pdf
[IEEE] 2026-6-12 | Retrieving Delta Permittivity Using Highly Independent Dual-Band Microwave Sensor with Alternately Reference Capabilities
[IEEE] 2026-6-12 | Intelligent WSN Sensor Node for Oil Spill Detection and Classification: A TinyML and IoT Approach
[IEEE] 2026-6-12 | Table of Contents
[IEEE] 2026-6-12 | 2026 8th International Conference on Information Technologies in Engineering Education (Inforino)
[IEEE] 2026-6-12 | Descriptor:
                    <i>Mapping Road Surface using Crowdsource Data</i>
                    (RoadSense)
[IEEE] 2026-6-12 | Inforino 2026 Breaker Page
[IEEE] 2026-6-12 | MACA: Multi-Axis Covariance Alignment for Robust Distillation of Self-Supervised Speech Models
[IEEE] 2026-6-12 | Remaining Useful Life Prediction Based on Nonlinear Tweedie Exponential Dispersion Process Considering Random Effects, Covariates, and Imperfect Maintenance
[IEEE] 2026-6-12 | A Holistic Optimization and Control Framework of Hydrogen and Battery-based Remote-Area Renewable Energy System with Grid Frequency Support
[IEEE] 2026-6-12 | A Silent, Low-Heat Pinch Valve Driven by a Single Rolled Dielectric Elastomer Actuator_supp1-3697122.mp4
[IEEE] 2026-6-12 | VRFST: Voiceprint-Based Robust Wear Detection for Diamond Abrasive Tools via Fuzzy-Enhanced Spatiotemporal Features
[IEEE] 2026-6-12 | Event-Triggered Finite-Time Tracking Control for Nonlinear Cyber-Physical Systems with Actuator Faults under Deception Attacks
[IEEE] 2026-6-12 | $\mathcal {C}^{n}$ Trajectory Generation in 3D under Arbitrary Bounds on Curvature and Higher-Order Curvature Derivatives
[IEEE] 2026-6-12 | Dual-Function Radar Communication Signal Processing Based on AFDM and Index Modulation
[IEEE] 2026-6-12 | Shaft-integrated Force Sensing with Transformer-based Dynamics Compensation for Telesurgery_supp1-3699214.mp4
[ACM] 2026-6-12 | Landscape, Tactile Me: How We Belonged?
[ACM] 2026-6-12 | The Trials of Designing Communication Aids for Clinical Trials: Challenges and Recommendations from Practicing Co-Design in the Domain of Medical Research
[ACM] 2026-6-12 | Who Sets the Norm?: Designing Communication Scaffolds for ADHD Romantic Relationships
[ACM] 2026-6-12 | Harnessing the Aesthetic Potential of Bio-based eTextiles: An Empirical Study with Artefacts
[ACM] 2026-6-12 | Beyond Cameras and Microphones: Mitigating Privacy Tensions in 'Simple' Smart Home Sensors
[ACM] 2026-6-12 | Pacing Our Selves: Towards Everyday Chronic Pain Technology
[ACM] 2026-6-12 | An Evolutionary Black-Box Framework for Adversarial Prompt Generation in Large Language Models
[IEEE] 2026-6-12 | ACVA: An Intelligent Voice-Enabled Agricultural Chatbot Using Deep Learning and NLP for Sustainable Farming Support
[IEEE] 2026-6-12 | Researching the Efficiency of Source Code Defect Prediction Using a Modified XGBoost Algorithm
[IEEE] 2026-6-12 | Comprehensive Dynamic Modeling and Control of the Flexible Foundation-Active Magnetic Bearings-Rotor System
[IEEE] 2026-6-12 | Journal of Lightwave Technology Information for Authors
[IEEE] 2026-6-12 | RA-SSU: Towards Fine-Grained Audio-Visual Learning with Region-Aware Sound Source Understanding
[IEEE] 2026-6-12 | RD-VTA: Rule-Data Guided Video-to-Audio Generation for Fine-Grained Footstep Sound
[IEEE] 2026-6-12 | Table of Contents
[IEEE] 2026-6-12 | Adsorption Performance and Numerical Simulation of Charged Particle Trajectory of IFD Electrostatic Filter Under Electric-Flow Multi-Physical Coupling Fields
[IEEE] 2026-6-12 | An Optimal Design of Time-of-Use Tariff to Mitigate Overloads From Residential Electric Vehicle Charging on Distribution Networks
[IEEE] 2026-6-12 | Exosystem-Based Dynamic Input Control Strategy for Load Mitigation in Variable-Speed Wind Turbines Under Above-Rated Wind Conditions
[IEEE] 2026-6-12 | A novel compact pneumatic turbine-driven transducer for MR Elastography_supp1-3701175.pdf
[IEEE] 2026-6-12 | Deep Learning-Based Classification of Crack Propagation in Asphalt Mixtures Using Cyclic SCB Tests Under Varying Temperature and Notch Depth
[IEEE] 2026-6-12 | Real-to-Sim-to-Real: Learning Agile and Robust Recovery Skills with Terrain Imagination via Adversarial Imitation
[IEEE] 2026-6-12 | Plant Disease Prediction with the Help of Deep Learning based on the Analysis of Leaf Images
[IEEE] 2026-6-12 | Choosing the Best Model to Handle Small Data
[IEEE] 2026-6-12 | IEEE Standard for Framework for Reliability Prediction of Hardware
[IEEE] 2026-6-12 | An Intelligent Adaptive Access Control Framework using Policy Gradient Reinforcement Learning
[IEEE] 2026-6-12 | Modeling the Operation of a TGM-96B Steam Boiler Equipped with a Condensing Heat Utilizer
[IEEE] 2026-6-12 | Wrapper Model based Feature Selection On Diversity Dataset
[IEEE] 2026-6-12 | Information Technologies in Organizing Group Activities of Students in Engineering Education
[IEEE] 2026-6-12 | Optimal Trajectory Generation and Feedback Tension Control of a Robotic Space Tether Launching System
[IEEE] 2026-6-12 | A Cooperative Transport System of Vehicle and Drones in Obstacles Areas
[IEEE] 2026-6-12 | A Comparative Study of Multi-Horizon Directional Prediction for Cryptocurrency Markets
[IEEE] 2026-6-12 | Parameter Identification Method for Double-Sided Lcc Wireless Power Transfer Systems
[IEEE] 2026-6-12 | Graph Neural Transformer with Structural Attention Bias for Robust Multi-Disease Soybean Leaf Classification
[IEEE] 2026-6-12 | Deep Intelligent Optimized Privacy Preserving in Internet of Things Cloud System
[IEEE] 2026-6-12 | Smart Transit: Real-Time Monitoring for Optimized Public Transportation
[IEEE] 2026-6-12 | Computational Nonsmooth Analysis: Modern applications and recent developments [Special Issue on the Mathematics of Deep Learning]
[IEEE] 2026-6-12 | Digital Financial Platforms Enhancing Supply Chain Financing Performance through Inter-Organizational Integration
[IEEE] 2026-6-12 | Optimization Of Detection and Calculation of Overlapping Mango Fruits and Illumination Variations Using Yolov11-Seg with Unsharp Masking Algorithm, Gamma Correction
[IEEE] 2026-6-12 | Startup-Q: A Hybrid Quantum-Classical Framework for High-Fidelity Venture Capital Forecasting using ZZ-Feature Mapping
[IEEE] 2026-6-12 | FinFET based Breath Analyzer for Rapid Detection of Respiratory Infections
[IEEE] 2026-6-12 | Design and SAR Analysis of a Compact Polyester-based 2×2 Textile MIMO Antenna for Biomedical Applications
[IEEE] 2026-6-12 | Improving Coronary Artery Disease Prediction Accuracy with an Ensemble Approach and Two-Layered Voting Framework
[ACM] 2026-6-12 | Refined Remora: Constraining Array Shapes
[ACM] 2026-6-13 | A Processual Model of Artifact-Mediated Controversy in Public Speculative Design
[ACM] 2026-6-13 | The Matter of Making: Designing Embodied Interaction Tools for Visual Creation with Generative AI
[ACM] 2026-6-13 | Wolfborn: Silent Emotional Catharsis and Empathy via Pseudo-Vocalized Embodiment
共写入 100 条记录，保存到 papers/paper2026-06-12.json。
论文获取成功，文件路径: papers/paper2026-06-12.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[NO] 2/100 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[NO] 3/100 | Research Throughput of the Free-Spase Optical Communication Systems
[NO] 4/100 | An Intelligent Security Operations Monitoring and Risk Mitigation Framework for Smart Infrastructures
[NO] 5/100 | Motion Control of a Quadruped Bionic Robot
[NO] 6/100 | Adversarial Attacks on Locally Private Graph Neural Networks
[NO] 7/100 | Patient Privacy in Differentially Private Diagnostic Models
[NO] 8/100 | How Older Adults Enact Values Through Technology
[NO] 9/100 | NomadicPerch: More-Than-Human Co-Design of a Shared Perch
[NO] 10/100 | Human Experience in AI-Mediated Worlds
[NO] 11/100 | An Agentic AI for Personalized Investment Advisory: Detecting and Mitigating Cognitive Biases in Financial Decisions
[NO] 12/100 | Two-Stage Auxiliary Model-Based Iterative Least Squares Parameter Estimation for a Class of Nonlinear Systems with Non-Uniform Sampling
[NO] 13/100 | Knowledge Management Processes and Their Impact on Organizational Innovation for Enabling Artificial Intelligence Applications
[NO] 14/100 | Reevaluating CNN Filter Dimensions: Experimental Findings on CIFAR-10 and Fashion-MNIST for Modern Network Architectures
[NO] 15/100 | Planetary Terrain Modeling and Simulation Based on Interpolation of Low-Resolution Elevation Data
[NO] 16/100 | Federated Learning for Privacy-Aware and Secure Medical Decision Support Systems
[NO] 17/100 | A Multilingual Voice-First Generative AI Framework for Financial Literacy in Low-Resource Communities using Lightweight LLMs
[NO] 18/100 | Deterministic Multi-Channel XPM Scalability in Octagonal-Core Nonlinear PCFs with Geometry Polarization and System-Level BER Limits
[NO] 19/100 | ECG Multi-Class Diagnostics Using a Hybrid CNN-Transformer with Self-Supervised Pre-Training
[NO] 20/100 | AI-Enabled Cloud-Edge-IoT Continuum for Hyper-Distributed and Trustworthy Applications
[NO] 21/100 | Semi-Supervised Masked Autoencoders: Unlocking Vision Transformer Potential with Limited Data
[NO] 22/100 | Prescribed-Time Connectivity-Preserving Consensus of Switched Nonlinear MASs
[NO] 23/100 | A Comparative Study of Intelligent Intrusion Detection Systems in IoT using Deep Learning Approaches
[NO] 24/100 | Mitigating Latency and Spectral Inefficiency in 5G New Radio via Intelligent Queue-Driven Resource Scheduling
[NO] 25/100 | Human-in-the-Loop Automation Patterns for Financial Services using Camunda and Modern Java UIs
[NO] 26/100 | Comparative Analysis: Autoregressive Integrated Moving Average with Exogenous Variables and Long Short-Term Memory for Working Capital Forecasting: Container Repair Small and Mid-Size Enterprise
[NO] 27/100 | HawkCharge: Hybrid Harris Hawk–Deep Reinforcement Learning Optimization for Intelligent Bidirectional EV DC-DC Converter Control
[NO] 28/100 | Research on Synchronous Detection Method for Narrow-Pulse Lasers Based on Area Array Detectors
[NO] 29/100 | Artificial Intelligence Applications in Human Resource Management: A Comprehensive Framework, Models, and Future Directions
[NO] 30/100 | A Study on Using Revit in Architectural Design Studios
[NO] 31/100 | A Robust Deep Learning Framework for Automated Digital Image Forgery Detection Under Real-World Post-Processing Attacks
[NO] 32/100 | Multi Modal Visual Question Answering Integrating Hypergraph and K-means Clustering Algorithm
[NO] 33/100 | Automation of the Formation and Assessment of Educational Assignments Using the GigaChat Neural Network Model in Engineering Education
[NO] 34/100 | Providing 10-Gigabit Optical Home Using 50G-Passive Optical Network and Fiber-to-the-Room
[NO] 35/100 | Hybrid Buoy Detection and Real-Time Path Planning for Autonomous Unmanned Surface Vehicles Using YOLOv8 and Contour Analysis
[NO] 36/100 | ICICV 2026 TOC
[NO] 37/100 | Structurally-Informed 3D Gaussian Splatting for Limited-Angle CBCT
[NO] 38/100 | Large Scale Crop Mapping in the Sanjiang Plain Using a Deep Spatial-Temporal Fusion Network With Time Series Sentinel-2 Imagery
[NO] 39/100 | Structured Graph Reasoning for Traffic Anomaly Detection
[NO] 40/100 | Temporal Relations-Aware Nonnegative Latent Factorization of Tensors for Dynamic Directed Graph Representation_supp1-3700025.pdf
[NO] 41/100 | Retrieving Delta Permittivity Using Highly Independent Dual-Band Microwave Sensor with Alternately Reference Capabilities
[NO] 42/100 | Intelligent WSN Sensor Node for Oil Spill Detection and Classification: A TinyML and IoT Approach
[NO] 43/100 | Table of Contents
[NO] 44/100 | 2026 8th International Conference on Information Technologies in Engineering Education (Inforino)
[NO] 45/100 | Descriptor:
                    <i>Mapping Road Surface using Crowdsource Data</i>
                    (RoadSense)
[NO] 46/100 | Inforino 2026 Breaker Page
[NO] 47/100 | MACA: Multi-Axis Covariance Alignment for Robust Distillation of Self-Supervised Speech Models
[NO] 48/100 | Remaining Useful Life Prediction Based on Nonlinear Tweedie Exponential Dispersion Process Considering Random Effects, Covariates, and Imperfect Maintenance
[NO] 49/100 | A Holistic Optimization and Control Framework of Hydrogen and Battery-based Remote-Area Renewable Energy System with Grid Frequency Support
[NO] 50/100 | A Silent, Low-Heat Pinch Valve Driven by a Single Rolled Dielectric Elastomer Actuator_supp1-3697122.mp4
[NO] 51/100 | VRFST: Voiceprint-Based Robust Wear Detection for Diamond Abrasive Tools via Fuzzy-Enhanced Spatiotemporal Features
[NO] 52/100 | Event-Triggered Finite-Time Tracking Control for Nonlinear Cyber-Physical Systems with Actuator Faults under Deception Attacks
[NO] 53/100 | $\mathcal {C}^{n}$ Trajectory Generation in 3D under Arbitrary Bounds on Curvature and Higher-Order Curvature Derivatives
[NO] 54/100 | Dual-Function Radar Communication Signal Processing Based on AFDM and Index Modulation
[NO] 55/100 | Shaft-integrated Force Sensing with Transformer-based Dynamics Compensation for Telesurgery_supp1-3699214.mp4
[NO] 56/100 | Landscape, Tactile Me: How We Belonged?
[NO] 57/100 | The Trials of Designing Communication Aids for Clinical Trials: Challenges and Recommendations from Practicing Co-Design in the Domain of Medical Research
[NO] 58/100 | Who Sets the Norm?: Designing Communication Scaffolds for ADHD Romantic Relationships
[NO] 59/100 | Harnessing the Aesthetic Potential of Bio-based eTextiles: An Empirical Study with Artefacts
[NO] 60/100 | Beyond Cameras and Microphones: Mitigating Privacy Tensions in 'Simple' Smart Home Sensors
[NO] 61/100 | Pacing Our Selves: Towards Everyday Chronic Pain Technology
[NO] 62/100 | An Evolutionary Black-Box Framework for Adversarial Prompt Generation in Large Language Models
[NO] 63/100 | ACVA: An Intelligent Voice-Enabled Agricultural Chatbot Using Deep Learning and NLP for Sustainable Farming Support
[NO] 64/100 | Researching the Efficiency of Source Code Defect Prediction Using a Modified XGBoost Algorithm
[NO] 65/100 | Comprehensive Dynamic Modeling and Control of the Flexible Foundation-Active Magnetic Bearings-Rotor System
[NO] 66/100 | Journal of Lightwave Technology Information for Authors
[NO] 67/100 | RA-SSU: Towards Fine-Grained Audio-Visual Learning with Region-Aware Sound Source Understanding
[NO] 68/100 | RD-VTA: Rule-Data Guided Video-to-Audio Generation for Fine-Grained Footstep Sound
[NO] 69/100 | Table of Contents
[NO] 70/100 | Adsorption Performance and Numerical Simulation of Charged Particle Trajectory of IFD Electrostatic Filter Under Electric-Flow Multi-Physical Coupling Fields
[NO] 71/100 | An Optimal Design of Time-of-Use Tariff to Mitigate Overloads From Residential Electric Vehicle Charging on Distribution Networks
[NO] 72/100 | Exosystem-Based Dynamic Input Control Strategy for Load Mitigation in Variable-Speed Wind Turbines Under Above-Rated Wind Conditions
[NO] 73/100 | A novel compact pneumatic turbine-driven transducer for MR Elastography_supp1-3701175.pdf
[NO] 74/100 | Deep Learning-Based Classification of Crack Propagation in Asphalt Mixtures Using Cyclic SCB Tests Under Varying Temperature and Notch Depth
[NO] 75/100 | Real-to-Sim-to-Real: Learning Agile and Robust Recovery Skills with Terrain Imagination via Adversarial Imitation
[NO] 76/100 | Plant Disease Prediction with the Help of Deep Learning based on the Analysis of Leaf Images
[NO] 77/100 | Choosing the Best Model to Handle Small Data
[NO] 78/100 | IEEE Standard for Framework for Reliability Prediction of Hardware
[NO] 79/100 | An Intelligent Adaptive Access Control Framework using Policy Gradient Reinforcement Learning
[NO] 80/100 | Modeling the Operation of a TGM-96B Steam Boiler Equipped with a Condensing Heat Utilizer
[NO] 81/100 | Wrapper Model based Feature Selection On Diversity Dataset
[NO] 82/100 | Information Technologies in Organizing Group Activities of Students in Engineering Education
[NO] 83/100 | Optimal Trajectory Generation and Feedback Tension Control of a Robotic Space Tether Launching System
[NO] 84/100 | A Cooperative Transport System of Vehicle and Drones in Obstacles Areas
[NO] 85/100 | A Comparative Study of Multi-Horizon Directional Prediction for Cryptocurrency Markets
[NO] 86/100 | Parameter Identification Method for Double-Sided Lcc Wireless Power Transfer Systems
[NO] 87/100 | Graph Neural Transformer with Structural Attention Bias for Robust Multi-Disease Soybean Leaf Classification
[NO] 88/100 | Deep Intelligent Optimized Privacy Preserving in Internet of Things Cloud System
[NO] 89/100 | Smart Transit: Real-Time Monitoring for Optimized Public Transportation
[NO] 90/100 | Computational Nonsmooth Analysis: Modern applications and recent developments [Special Issue on the Mathematics of Deep Learning]
[NO] 91/100 | Digital Financial Platforms Enhancing Supply Chain Financing Performance through Inter-Organizational Integration
[NO] 92/100 | Optimization Of Detection and Calculation of Overlapping Mango Fruits and Illumination Variations Using Yolov11-Seg with Unsharp Masking Algorithm, Gamma Correction
[NO] 93/100 | Startup-Q: A Hybrid Quantum-Classical Framework for High-Fidelity Venture Capital Forecasting using ZZ-Feature Mapping
[NO] 94/100 | FinFET based Breath Analyzer for Rapid Detection of Respiratory Infections
[NO] 95/100 | Design and SAR Analysis of a Compact Polyester-based 2×2 Textile MIMO Antenna for Biomedical Applications
[NO] 96/100 | Improving Coronary Artery Disease Prediction Accuracy with an Ensemble Approach and Two-Layered Voting Framework
[NO] 97/100 | Refined Remora: Constraining Array Shapes
[NO] 98/100 | A Processual Model of Artifact-Mediated Controversy in Public Speculative Design
[NO] 99/100 | The Matter of Making: Designing Embodied Interaction Tools for Visual Creation with Generative AI
[NO] 100/100 | Wolfborn: Silent Emotional Catharsis and Empathy via Pseudo-Vocalized Embodiment
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-06-12.json。
邮件发送失败： [Errno 101] Network is unreachable
[2026-06-13 11:25:03] 任务执行成功！
