[2026-04-29 10:49:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-28
正在获取论文...
[arXiv] 2026-04-28 | Online combinatorial optimization with stochastic decision sets and adversarial losses
[arXiv] 2026-04-28 | Femtosecond tunneling spectroscopy of ultrafast band bending dynamics at the atomic limit
[arXiv] 2026-04-28 | Fractionally Supervised Classification with Maxima Nominated Samples
[arXiv] 2026-04-28 | ResetEdit: Precise Text-guided Editing of Generated Image via Resettable Starting Latent
[arXiv] 2026-04-28 | Implied Volatility Expansions for VIX Options in Forward Variance Models
[arXiv] 2026-04-28 | Gauge Theoretic Signal Processing II: Zero-Latency Whitening for Early Warning Pipelines
[arXiv] 2026-04-28 | Electric-field control of hydrogen bonding via interfacial charge at atomic resolution
[arXiv] 2026-04-28 | A magnetotelluric image of the Curnamona Province and the adjacent Delamerian Orogen margin: new insights into the crustal architecture
[arXiv] 2026-04-28 | Numerical Analysis of Stochastic Elliptic Variational Inequalities of the First Kind
[arXiv] 2026-04-28 | Markovian thermodynamics of non-Markovian Langevin equations
[arXiv] 2026-04-28 | Cooperate to Compete: Strategic Coordination in Multi-Agent Conquest
[arXiv] 2026-04-28 | Non-Monotonic Rotation Imprint on Time-Integrated Neutrino Spectral Moments in a 15\,$M_\odot$ Core-Collapse Supernova Sequence
[arXiv] 2026-04-28 | CacheFlow: Efficient LLM Serving with 3D-Parallel KV Cache Restoration
[arXiv] 2026-04-28 | Pulse Quality Optimisation in Quantum Optimal Control
[arXiv] 2026-04-28 | Measuring the Sensitivity of Classification Models with the Error Sensitivity Profile
[arXiv] 2026-04-28 | Beyond Single Trajectories: Optimal Control and Jordan-Lie Algebra in Hybrid Quantum Walks for Combinatorial Optimization
[arXiv] 2026-04-28 | Coherence Revivals and Lifetime Extension of Polariton Condensates by Mirror-Mediated Self-Feedback
[arXiv] 2026-04-28 | Local Shifted Passivity Analysis of the Single-Machine Infinite-Bus System
[arXiv] 2026-04-28 | On nonnegative solutions of the parabolic differential inequality with $(p,q)$-Laplace on Riemannian manifolds
[arXiv] 2026-04-28 | Toward Multimodal Conversational AI for Age-Related Macular Degeneration
[arXiv] 2026-04-28 | CR-invariant energy of Legendrian knots in the Heisenberg group
[arXiv] 2026-04-28 | Polynomial Resource Classification of Quantum Circuit Familes via Classical Shadows
[arXiv] 2026-04-28 | Long-time asymptotics of the Newell equation on the line
[arXiv] 2026-04-28 | NVLLM: A 3D NAND-Centric Architecture Enabling Edge on-Device LLM Inference
[arXiv] 2026-04-28 | Magnetic quantum phases of spin-orbit-coupled anisotropic dipolar bosons in square lattices
[arXiv] 2026-04-28 | Collective neutrino-antineutrino pair oscillations
[arXiv] 2026-04-28 | K-CARE: Knowledge-driven Symmetrical Contextual Anchoring and Analogical Prototype Reasoning for E-commerce Relevance
[arXiv] 2026-04-28 | Measurement of the Z $\to$ $μ^+μ^-$ angular coefficients in pp collisions at $\sqrt{s}$ = 13 TeV as functions of transverse momentum and rapidity
[arXiv] 2026-04-28 | Semistable reductions and minimalities of invariants for group scheme actions on projective schemes
[arXiv] 2026-04-28 | Progressing beyond Art Masterpieces or Touristic Clichés: how to assess your LLMs for cultural alignment?
[arXiv] 2026-04-28 | Efficient Complex-Valued State Preparation on Bucket Brigade QRAM
[arXiv] 2026-04-28 | Prefill-Time Intervention for Mitigating Hallucination in Large Vision-Language Models
[arXiv] 2026-04-28 | Chorusing Synchronization Signals for Ambient 5G Backscatter
[arXiv] 2026-04-28 | Large language models eroding science understanding: an experimental study
[arXiv] 2026-04-28 | Local tensor-train surrogates for quantum learning models
[arXiv] 2026-04-28 | PLMGH: What Matters in PLM-GNN Hybrids for Code Classification and Vulnerability Detection
[arXiv] 2026-04-28 | Observation and Control of Moiré-Tailored Topological Dirac States
[arXiv] 2026-04-28 | A geometry aware framework enhances noninvasive mapping of whole human brain dynamics
[arXiv] 2026-04-28 | Testing Robustness of Temporal Transportation Networks via Interval Separators
[arXiv] 2026-04-28 | An Empirical Analysis of Mobile Energy Consumption Across User Configurations
[arXiv] 2026-04-28 | DualFact+: A Multimodal Fact Verification Framework for Procedural Video Understanding
[arXiv] 2026-04-28 | A quantitative direct sampling method for inhomogeneities from multi-frequency backscattering measurements
[arXiv] 2026-04-28 | Bye Bye Perspective API: Lessons for Measurement Infrastructure in NLP, CSS and LLM Evaluation
[arXiv] 2026-04-28 | Tuning magnitude and direction of lattice thermal conductivity in transition metal dichalcogenide heterobilayers
[arXiv] 2026-04-28 | Control Your Queries: Heterogeneous Query Interaction for Camera-Radar Fusion
[arXiv] 2026-04-28 | Vision SmolMamba: Spike-Guided Token Pruning for Energy-Efficient Spiking State-Space Vision Models
[arXiv] 2026-04-28 | Curvature-Assisted Dynamical Compactification in a Pre-Inflationary Higher-Dimensional Universe
[arXiv] 2026-04-28 | Benchmarking bandgap prediction in semiconductors under experimental and realistic evaluation settings
[arXiv] 2026-04-28 | From CRUD to Autonomous Agents: Formal Validation and Zero-Trust Security for Semantic Gateways in AI-Native Enterprise Systems
[arXiv] 2026-04-28 | Higher order Schrödinger operators
[arXiv] 2026-04-28 | TopoMamba: Topology-Aware Scanning and Fusion for Segmenting Heterogeneous Medical Visual Media
[arXiv] 2026-04-28 | Compton-thick AGN Characterisation in a Multi-wavelength Context: Insights from the 70-Month \textit{SWIFT}/BAT Catalogue
[arXiv] 2026-04-28 | The Surprising Effectiveness of Canonical Knowledge Distillation for Semantic Segmentation
[arXiv] 2026-04-28 | Laplace and skew-Laplace approximations for Dirichlet process mixture posterior density
[arXiv] 2026-04-28 | A Motif-Based Framework for Decomposing Risk Spillovers
[arXiv] 2026-04-28 | COMPASS: COmpact Multi-channel Prior-map And Scene Signature for Floor-Plan-Based Visual Localization
[arXiv] 2026-04-28 | ASAP: An Azimuth-Priority Strip-Based Search Approach to Planar Microphone Array DOA Estimation in 3D
[arXiv] 2026-04-28 | Wiki Dumps to Training Corpora: South Slavic Case
[arXiv] 2026-04-28 | A finitary criterion for selfless tracial C*-algebras
[arXiv] 2026-04-28 | Self-organized regime switching in null-recurrent dynamics
[arXiv] 2026-04-28 | Intrinsic magnetotransport and orientation dependent topological Hall effect in EuAuBi
[arXiv] 2026-04-28 | Commit-Aware Learning-Based Test Case Prioritization for Continuous Integration
[arXiv] 2026-04-28 | On the Minimum Distances of Some Families of Goppa Codes and BCH Codes
[arXiv] 2026-04-28 | Inertial focusing of neutrally buoyant spherical particle in shallow microchannels
[arXiv] 2026-04-28 | GraphPL: Leveraging GNN for Efficient and Robust Modalities Imputation in Patchwork Learning
[arXiv] 2026-04-28 | Stop Using the Wilcoxon Test: Myth, Misconception and Misuse in IR Research
[arXiv] 2026-04-28 | Robust Accent Identification via Voice Conversion and Non-Timbral Embeddings
[arXiv] 2026-04-28 | FusionCIM: Accelerating LLM Inference with Fusion-Driven Computing-in-Memory Architecture
[arXiv] 2026-04-28 | SaliencyDecor: Enhancing Neural Network Interpretability through Feature Decorrelation
[arXiv] 2026-04-28 | Rapid tracking through strongly scattering media with physics-informed neuromorphic speckle analysis
[arXiv] 2026-04-28 | Moving Cooling Source Induced Phase Separation in Binary Liquids: an interplay of competing velocities
[arXiv] 2026-04-28 | The Thinking Pixel: Recursive Sparse Reasoning in Multimodal Diffusion Latents
[arXiv] 2026-04-28 | Visual Boosting Techniques for Spatiotemporal Dense Pixel Visualizations
[arXiv] 2026-04-28 | Confocal families of plane algebraic curves
[arXiv] 2026-04-28 | Reciprocity and the Maslov Phase
[arXiv] 2026-04-28 | The GMRT High-Resolution Southern Sky Survey for pulsars and transients -- VIII: Orbital Variability and the Evolution of a 1-Day He-WD Millisecond Pulsar J2101-4208
[arXiv] 2026-04-28 | Automated Adversarial Collaboration for Advancing Theory Building in the Cognitive Sciences
[arXiv] 2026-04-28 | Essential tori associated with links of mixed singularities
[arXiv] 2026-04-28 | Orchestration paradoxes in national quantum computing innovation ecosystems
[arXiv] 2026-04-28 | Contraction of hypersurfaces with positive sectional curvature in hyperbolic space
[arXiv] 2026-04-28 | Atom spectra of symmetric monoidal abelian categories and classification of subcategories
[arXiv] 2026-04-28 | Making the Invisible Visible: Toward Micro-Expression Visualization for Empathy in Social Interaction
[ACM] 2026-4-28 | Structural adjustment, capacity reshaping and cultural transformation: A three-dimensional framework of digital adaptation in the public sector
[ACM] 2026-4-28 | Optimization Paths for the Iterative Upgrade of Professional Clusters in Vocational Undergraduate Universities Based on Convolutional Neural Networks
[ACM] 2026-4-28 | Organizational Development in High-Growth Biopharmaceutical Companies: A Data-Driven Approach to Talent Pipeline and Competency Modeling
[ACM] 2026-4-28 | Research on the Impact of Digital Transformation on ESG Ratings of Enterprises
[ACM] 2026-4-28 | Evaluation and prediction of coupling coordination between China's digital economy and High-quality economic development based on machine learning
[ACM] 2026-4-28 | Scalable Federated Learning for Scientific Foundation Models on Leadership-Class Systems
[ACM] 2026-4-28 | Establishment and Application of Enterprise Financial Shared Service Centers in Cloud Computing Environments
[ACM] 2026-4-28 | From Code to Execution: Multi-Agent GraphRAG for Automated Artifact Generation
[ACM] 2026-4-28 | All is Not Lost: LLM Recovery without Checkpoints
[ACM] 2026-4-28 | Systems-Level Attack Surface of Edge Agent Deployments on IoT
[ACM] 2026-4-28 | Proceedings of the 2025 International Conference on Digital Transformation and Management
[ACM] 2026-4-28 | An Intelligent Hybrid PLS-SEM and ANN of Smart Device Dependency among Migrant Children
[ACM] 2026-4-28 | Peeling the Layers of Privacy-Utility Onion on Tabular Data
[ACM] 2026-4-28 | Research on a Digital Risk Scoring Model for Cross-Border Transactions Integrating Buyer Behavior and Logistics Data
[ACM] 2026-4-28 | Research on the Path of Digital Upgrade of Small and Medium-sized Enterprises Empowered by AI Technology
[ACM] 2026-4-28 | Making AI Work: A Conceptual Five-Stage Framework for Financial Sector Transformation
[ACM] 2026-4-28 | The Impact of Digital Economy Development on Regional Economic Efficiency and Innovation Capacity: Evidence from a Regional Industry Analysis
[ACM] 2026-4-28 | FairCS: A Fairness-aware Cleaning Slowdown on an SMR Disk
[ACM] 2026-4-28 | Data-driven and Process-Adaptive: Research on Engineering Change Intelligent Management and Control System for Commercial Aircraft
[ACM] 2026-4-28 | Semantic Mining and Viewpoint Evolution Analysis of Marxist Classic Texts via Natural Language Processing in the Era of Artificial Intelligence
[ACM] 2026-4-28 | Why Smaller Is Slower? Dimensional Misalignment in Compressed LLMs
[ACM] 2026-4-28 | Modeling the Digital Penetration Effect on Enterprise Competitiveness Using Machine Learning
[ACM] 2026-4-28 | Research on Risk Assessment of Urban Drone Delivery
[ACM] 2026-4-28 | Dynamically Adaptable Ensemble Proxies for Training-Free Neural Architecture Search
[ACM] 2026-4-28 | Sampling Where It Matters: Predicting LLM Serving Performance
[ACM] 2026-4-28 | Pilot Implementation and Effectiveness Study of the Corporate IPD R&amp;D Management System
[ACM] 2026-4-28 | Exploring the Impact of ESG Rating Performance on Zijin Mining Group's Enterprise Value Based on Computer Technology
[ACM] 2026-4-28 | Analysis of Symbolization Characteristics of Art Research on the Calculation Analysis and Digital Implementation of Symbolic Features in Artistic Graphics
[ACM] 2026-4-28 | Cascading Failures and Resilience Assessment in Semiconductor Technology Supply Chains: A Crisis Management Perspective from Multilayer Networks
[ACM] 2026-4-28 | A Study on the Application of a Multi-task Attention-based Deep Learning Model for Dynamic Cost Control in Wastewater Treatment
[ACM] 2026-4-28 | MLLM-Driven Autonomous Driving: Closed-Loop Decision-Making with Language-State Alignment and Human Instruction Integration
[ACM] 2026-4-28 | Hybrid LightGBM-Transformer framework with feature-as-token encoding for interpretable personal loan default prediction
[ACM] 2026-4-28 | Characterizing Energy and Performance for Distributed Training of Large Language Models
[ACM] 2026-4-28 | Business Strategy Transformation and Optimization Strategies Driven by New Quality Productivity
[ACM] 2026-4-28 | Research on Intellectual Capital Accounting and Innovation Correlation in New - Type R&amp;D Institutions under Blockchain Technology
[ACM] 2026-4-28 | Intelligent Association Analysis of Marxist Theory Content Based on Artificial Intelligence and Knowledge Graphs
[ACM] 2026-4-28 | Deep Reinforcement Learning-Based Adaptive Learning Path Optimization System for Rural Revitalization Talents
[ACM] 2026-4-28 | <i>
                      E
                      <scp>arl</scp>
                      :
                    </i>
                    Efficient Agentic RL Post-Training for LLMs under Dynamic Context Lengths
[ACM] 2026-4-28 | Analysis of Cooperation Strategies Between Ride-Hailing Platforms and Taxi Companies Based on Random Forest Parameter Prediction
[ACM] 2026-4-28 | Multi-Core Driven Digital Development Model in the Greater Bay Area
[ACM] 2026-4-28 | Hotspots and Trends in the Digital Transformation of International Vocational Education in the Past Decade
[ACM] 2026-4-28 | The Latent Dirichlet Allocation-Based LASSO Logistic Models Empowered by Machine Learning Algorithms: An Application to the Change of Reform-Open Policies in China (2003-2017)
[ACM] 2026-4-28 | Monetary Policy and U.S. Treasury Yield Volatility: Evidence from Pandemic and Non-Pandemic Regimes Using Econometric and Machine-Learning Methods
[ACM] 2026-4-28 | Design and Implementation of a Generative AI–Based Digital Art Creation Assistant System
[ACM] 2026-4-28 | Theoretical Modeling and Empirical Analysis of AI-Driven Digital Transformation and ESG Performance
[ACM] 2026-4-28 | Application Research of a Random Forest-Based Hybrid Problem-Based Learning (PBL) Model in College Swimming Rescue Courses
[ACM] 2026-4-28 | A Quantitative Study on Organizational Communication Effectiveness and Employee Well-being Based on Deep Learning
[ACM] 2026-4-28 | From Virtual Sports to Sports Metaverse: Architecture and Implementation Path
[ACM] 2026-4-28 | A Study on Innovation Efficiency Evaluation and Influencing Factors of Pharmaceutical Manufacturing Companies from a Digital Transformation Perspective: Based on a Three-Stage DEA-Tobit Model
[ACM] 2026-4-28 | Evolution and Trends of Research Focuses on Smart Libraries in China
[ACM] 2026-4-28 | Hierarchical and Stepwise Evaluation of Engineering Project Documents Using Large Language Model Technology
[ACM] 2026-4-28 | Machine Learning Platform Revenue Recognition: Computational Optimization of IFRS 15 Implementation in Cloud-Based AI Service Architectures
[ACM] 2026-4-28 | Blockchain-Based Smart Contracts for Automated Payroll and Tax Compliance: A Cryptographically-Verified Framework for Fraud Prevention and Real-Time Regulatory Adherence in Distributed Accounting Systems
[ACM] 2026-4-28 | Construction of TCM Pulse Pattern Recognition Model Based on Deep Learning
[ACM] 2026-4-28 | Balancing Compute in LLM Inference: Model Selection, Quantization, and Test-Time Scaling
[ACM] 2026-4-28 | Construction of Wind Farm Asset Health Index Based on Multi-Dimensional Indicators and Analytic Hierarchy Process and Its Correlation with Operational Performance
[ACM] 2026-4-28 | Volume Trends and Asset Pricing in the Digital Era
[ACM] 2026-4-28 | Predicting Real Estate Prices: A Gradient Boosting Tree Approach
[ACM] 2026-4-28 | A CiteSpace-Based Analysis of Research Hotspots and Trends in the Application of Artificial Intelligence in Environmental Design
[ACM] 2026-4-28 | AI Technologys Impact on SRDI Enterprises Performance: A Differentiation Strategy Perspective
[ACM] 2026-4-28 | Multimodal Large Language Models for Engineering Project Document Evaluation: A Comprehensive Review
[ACM] 2026-4-28 | Proceedings of the Sixth European Workshop on Machine Learning and Systems
[ACM] 2026-4-28 | Travel Itinerary Optimization: A Graph Neural Network Based Approach Using Multi-Modal Data Fusion
[ACM] 2026-4-28 | Design and Research of Intelligent Emergency Response System for Rural Elderly in Plain Area
共写入 164 条记录，保存到 papers/paper2026-04-28.json。
论文获取成功，文件路径: papers/paper2026-04-28.json
正在筛选、翻译并发送邮件...
[NO] 1/164 | Online combinatorial optimization with stochastic decision sets and adversarial losses
[NO] 2/164 | Variable Fusion and Selection via a Spike-and-Slab Approach with Nonlocal Priors
[NO] 3/164 | Numerical approximation of a transient thermo-electromagnetic problem in axisymmetric geometries
[NO] 4/164 | Revealing a Systematic High-latitude Current Sheet at Jupiter
[NO] 5/164 | Chebyshev quotients, Demazure multiplicities, and Dyck-path models
[NO] 6/164 | Categorical Optimization with Bayesian Anchored Latent Trust Regions for Structural Design under High-Dimensional Uncertainty
[NO] 7/164 | VLM Judges Can Rank but Cannot Score: Task-Dependent Uncertainty in Multimodal Evaluation
[NO] 8/164 | A nonabelian Wilson surface on a lattice
[NO] 9/164 | ValueAlpha: Agreement-Gated Stress Testing of LLM-Judged Investment Rationales Before Returns Are Observable
[NO] 10/164 | DATAREEL: Automated Data-Driven Video Story Generation with Animations
[NO] 11/164 | Size-4 Counterexamples to the Sidon-Extension Conjecture
[NO] 12/164 | Functional Autoregression Without Truncation: A Continuous-Regularization Approach
[NO] 13/164 | Accelerating unrest at Campi Flegrei signals a critical transition within the next decade
[NO] 14/164 | The local Langlands correspondence of essentially unipotent supercuspidal representations for disconnected reductive groups
[NO] 15/164 | Shearlet Neural Operators for Anisotropic-Shock-Dominated and Multi-scale parametric partial differential equations
[NO] 16/164 | Tiling of Hyperbolic Surface by Multiple Tiles
[NO] 17/164 | Quantitative Analyticity for Lyapunov Exponents of Random Products of Matrices with Explicit Polydiscs and Cauchy Coefficient Bounds
[NO] 18/164 | On the Role of Prompt Photons in the Anisotropic Emission of Direct Photons -- Direct Photons from Au+Au collisions at $\sqrt{s_{NN}}=200$ GeV with IP-Glasma Initial Condition
[NO] 19/164 | A Continuous-Time Ensemble Kalman-Bucy Smoother for Causal Inference and Model Discovery
[NO] 20/164 | Femtosecond tunneling spectroscopy of ultrafast band bending dynamics at the atomic limit
[NO] 21/164 | Fractionally Supervised Classification with Maxima Nominated Samples
[NO] 22/164 | ResetEdit: Precise Text-guided Editing of Generated Image via Resettable Starting Latent
[NO] 23/164 | Implied Volatility Expansions for VIX Options in Forward Variance Models
[NO] 24/164 | Gauge Theoretic Signal Processing II: Zero-Latency Whitening for Early Warning Pipelines
[NO] 25/164 | Electric-field control of hydrogen bonding via interfacial charge at atomic resolution
[NO] 26/164 | A magnetotelluric image of the Curnamona Province and the adjacent Delamerian Orogen margin: new insights into the crustal architecture
[NO] 27/164 | Numerical Analysis of Stochastic Elliptic Variational Inequalities of the First Kind
[NO] 28/164 | Markovian thermodynamics of non-Markovian Langevin equations
[NO] 29/164 | Cooperate to Compete: Strategic Coordination in Multi-Agent Conquest
[NO] 30/164 | Non-Monotonic Rotation Imprint on Time-Integrated Neutrino Spectral Moments in a 15\,$M_\odot$ Core-Collapse Supernova Sequence
[NO] 31/164 | CacheFlow: Efficient LLM Serving with 3D-Parallel KV Cache Restoration
[NO] 32/164 | Pulse Quality Optimisation in Quantum Optimal Control
[NO] 33/164 | Measuring the Sensitivity of Classification Models with the Error Sensitivity Profile
[NO] 34/164 | Beyond Single Trajectories: Optimal Control and Jordan-Lie Algebra in Hybrid Quantum Walks for Combinatorial Optimization
[NO] 35/164 | Coherence Revivals and Lifetime Extension of Polariton Condensates by Mirror-Mediated Self-Feedback
[NO] 36/164 | Local Shifted Passivity Analysis of the Single-Machine Infinite-Bus System
[NO] 37/164 | On nonnegative solutions of the parabolic differential inequality with $(p,q)$-Laplace on Riemannian manifolds
[NO] 38/164 | Toward Multimodal Conversational AI for Age-Related Macular Degeneration
[NO] 39/164 | CR-invariant energy of Legendrian knots in the Heisenberg group
[NO] 40/164 | Polynomial Resource Classification of Quantum Circuit Familes via Classical Shadows
[NO] 41/164 | Long-time asymptotics of the Newell equation on the line
[NO] 42/164 | NVLLM: A 3D NAND-Centric Architecture Enabling Edge on-Device LLM Inference
[NO] 43/164 | Magnetic quantum phases of spin-orbit-coupled anisotropic dipolar bosons in square lattices
[NO] 44/164 | Collective neutrino-antineutrino pair oscillations
[NO] 45/164 | K-CARE: Knowledge-driven Symmetrical Contextual Anchoring and Analogical Prototype Reasoning for E-commerce Relevance
[NO] 46/164 | Measurement of the Z $\to$ $μ^+μ^-$ angular coefficients in pp collisions at $\sqrt{s}$ = 13 TeV as functions of transverse momentum and rapidity
[NO] 47/164 | Semistable reductions and minimalities of invariants for group scheme actions on projective schemes
[NO] 48/164 | Progressing beyond Art Masterpieces or Touristic Clichés: how to assess your LLMs for cultural alignment?
[NO] 49/164 | Efficient Complex-Valued State Preparation on Bucket Brigade QRAM
[NO] 50/164 | Prefill-Time Intervention for Mitigating Hallucination in Large Vision-Language Models
[NO] 51/164 | Chorusing Synchronization Signals for Ambient 5G Backscatter
[NO] 52/164 | Large language models eroding science understanding: an experimental study
[NO] 53/164 | Local tensor-train surrogates for quantum learning models
[NO] 54/164 | PLMGH: What Matters in PLM-GNN Hybrids for Code Classification and Vulnerability Detection
[NO] 55/164 | Observation and Control of Moiré-Tailored Topological Dirac States
[NO] 56/164 | A geometry aware framework enhances noninvasive mapping of whole human brain dynamics
[NO] 57/164 | Testing Robustness of Temporal Transportation Networks via Interval Separators
[NO] 58/164 | An Empirical Analysis of Mobile Energy Consumption Across User Configurations
[NO] 59/164 | DualFact+: A Multimodal Fact Verification Framework for Procedural Video Understanding
[NO] 60/164 | A quantitative direct sampling method for inhomogeneities from multi-frequency backscattering measurements
[NO] 61/164 | Bye Bye Perspective API: Lessons for Measurement Infrastructure in NLP, CSS and LLM Evaluation
[NO] 62/164 | Tuning magnitude and direction of lattice thermal conductivity in transition metal dichalcogenide heterobilayers
[NO] 63/164 | Control Your Queries: Heterogeneous Query Interaction for Camera-Radar Fusion
[NO] 64/164 | Vision SmolMamba: Spike-Guided Token Pruning for Energy-Efficient Spiking State-Space Vision Models
[NO] 65/164 | Curvature-Assisted Dynamical Compactification in a Pre-Inflationary Higher-Dimensional Universe
[NO] 66/164 | Benchmarking bandgap prediction in semiconductors under experimental and realistic evaluation settings
[NO] 67/164 | From CRUD to Autonomous Agents: Formal Validation and Zero-Trust Security for Semantic Gateways in AI-Native Enterprise Systems
[NO] 68/164 | Higher order Schrödinger operators
[NO] 69/164 | TopoMamba: Topology-Aware Scanning and Fusion for Segmenting Heterogeneous Medical Visual Media
[NO] 70/164 | Compton-thick AGN Characterisation in a Multi-wavelength Context: Insights from the 70-Month \textit{SWIFT}/BAT Catalogue
[NO] 71/164 | The Surprising Effectiveness of Canonical Knowledge Distillation for Semantic Segmentation
[NO] 72/164 | Laplace and skew-Laplace approximations for Dirichlet process mixture posterior density
[NO] 73/164 | A Motif-Based Framework for Decomposing Risk Spillovers
[NO] 74/164 | COMPASS: COmpact Multi-channel Prior-map And Scene Signature for Floor-Plan-Based Visual Localization
[NO] 75/164 | ASAP: An Azimuth-Priority Strip-Based Search Approach to Planar Microphone Array DOA Estimation in 3D
[NO] 76/164 | Wiki Dumps to Training Corpora: South Slavic Case
[NO] 77/164 | A finitary criterion for selfless tracial C*-algebras
[NO] 78/164 | Self-organized regime switching in null-recurrent dynamics
[NO] 79/164 | Intrinsic magnetotransport and orientation dependent topological Hall effect in EuAuBi
[NO] 80/164 | Commit-Aware Learning-Based Test Case Prioritization for Continuous Integration
[NO] 81/164 | On the Minimum Distances of Some Families of Goppa Codes and BCH Codes
[NO] 82/164 | Inertial focusing of neutrally buoyant spherical particle in shallow microchannels
[NO] 83/164 | GraphPL: Leveraging GNN for Efficient and Robust Modalities Imputation in Patchwork Learning
[NO] 84/164 | Stop Using the Wilcoxon Test: Myth, Misconception and Misuse in IR Research
[NO] 85/164 | Robust Accent Identification via Voice Conversion and Non-Timbral Embeddings
[NO] 86/164 | FusionCIM: Accelerating LLM Inference with Fusion-Driven Computing-in-Memory Architecture
[NO] 87/164 | SaliencyDecor: Enhancing Neural Network Interpretability through Feature Decorrelation
[NO] 88/164 | Rapid tracking through strongly scattering media with physics-informed neuromorphic speckle analysis
[NO] 89/164 | Moving Cooling Source Induced Phase Separation in Binary Liquids: an interplay of competing velocities
[NO] 90/164 | The Thinking Pixel: Recursive Sparse Reasoning in Multimodal Diffusion Latents
[NO] 91/164 | Visual Boosting Techniques for Spatiotemporal Dense Pixel Visualizations
[NO] 92/164 | Confocal families of plane algebraic curves
[NO] 93/164 | Reciprocity and the Maslov Phase
[NO] 94/164 | The GMRT High-Resolution Southern Sky Survey for pulsars and transients -- VIII: Orbital Variability and the Evolution of a 1-Day He-WD Millisecond Pulsar J2101-4208
[NO] 95/164 | Automated Adversarial Collaboration for Advancing Theory Building in the Cognitive Sciences
[NO] 96/164 | Essential tori associated with links of mixed singularities
[NO] 97/164 | Orchestration paradoxes in national quantum computing innovation ecosystems
[NO] 98/164 | Contraction of hypersurfaces with positive sectional curvature in hyperbolic space
[NO] 99/164 | Atom spectra of symmetric monoidal abelian categories and classification of subcategories
[NO] 100/164 | Making the Invisible Visible: Toward Micro-Expression Visualization for Empathy in Social Interaction
[NO] 101/164 | Structural adjustment, capacity reshaping and cultural transformation: A three-dimensional framework of digital adaptation in the public sector
[NO] 102/164 | Optimization Paths for the Iterative Upgrade of Professional Clusters in Vocational Undergraduate Universities Based on Convolutional Neural Networks
[NO] 103/164 | Organizational Development in High-Growth Biopharmaceutical Companies: A Data-Driven Approach to Talent Pipeline and Competency Modeling
[NO] 104/164 | Research on the Impact of Digital Transformation on ESG Ratings of Enterprises
[NO] 105/164 | Evaluation and prediction of coupling coordination between China's digital economy and High-quality economic development based on machine learning
[NO] 106/164 | Scalable Federated Learning for Scientific Foundation Models on Leadership-Class Systems
[NO] 107/164 | Establishment and Application of Enterprise Financial Shared Service Centers in Cloud Computing Environments
[NO] 108/164 | From Code to Execution: Multi-Agent GraphRAG for Automated Artifact Generation
[NO] 109/164 | All is Not Lost: LLM Recovery without Checkpoints
[NO] 110/164 | Systems-Level Attack Surface of Edge Agent Deployments on IoT
[NO] 111/164 | Proceedings of the 2025 International Conference on Digital Transformation and Management
[NO] 112/164 | An Intelligent Hybrid PLS-SEM and ANN of Smart Device Dependency among Migrant Children
[NO] 113/164 | Peeling the Layers of Privacy-Utility Onion on Tabular Data
[NO] 114/164 | Research on a Digital Risk Scoring Model for Cross-Border Transactions Integrating Buyer Behavior and Logistics Data
