[2026-04-18 09:41:38] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[IEEE] 2026-4-17 | Dual-Probability-Frequency Fast Successive Cancellation (DPF-FSC) decoding of non-binary polar code
[IEEE] 2026-4-17 | Design and ATEX-Aware Kinematic Analysis of a Multi-Body Robot for Gas Pipeline Inspection
[IEEE] 2026-4-17 | Binaural Beat Stimulation for Cognitive and Psychological Enhancement in Alzheimer's Disease: A Pilot Study
[IEEE] 2026-4-17 | Transformer-Based Context Informed Incremental Learning with sDTW Alignment Unlocks Fast and Precise Regression-Based Myoelectric Control
[IEEE] 2026-4-17 | Software Diversity in Resource-Constrained Embedded Systems
[IEEE] 2026-4-17 | Embedded Tutorial: Design for EMC and Trust in Integrated Systems – Combining Robustness, Innocuity and Security Concerns
[IEEE] 2026-4-17 | Assessment of 5G Performance in Philippines Using Mobility Tests
[IEEE] 2026-4-17 | Socio-Economic Impacts of Clean Energy Transition in Bangladesh
[IEEE] 2026-4-17 | Enhancing Access to Urban Primary Health Care Through Digital General Practitioner Model: An Initiative for Women Health Inclusion Towards Achieving SDG
[IEEE] 2026-4-17 | Saukhyam: A Sustainable Solution to the Sanitary Napkin Menace
[IEEE] 2026-4-17 | Residual-Attention CNN for Dysgraphia Detection Using Synthesized Offline Handwriting from Online Traces
[IEEE] 2026-4-17 | Enhancing the Lifetime of STT-MRAM in IoT Applications by Current Balancing
[ACM] 2026-4-17 | Modelling and Solving Problems in Communications and Network Security Elegantly Using a Unified Framework for Intelligence and Intelligent Systems
[IEEE] 2026-4-17 | HiPo-Gait: Hierarchical Pose model decoupling for Gait Recognition
[IEEE] 2026-4-17 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp6-3683863.mp4
[IEEE] 2026-4-17 | Dynamic Event-Triggered Target Encirclement Control for Heterogeneous UAV/UGV Swarm Based on Finite-Time Distributed Target Observation
[IEEE] 2026-4-17 | Multi-Taper FFT-based Full-Spectrum Phase Demodulation for High-Precision GaAs F-P Temperature Sensors
[IEEE] 2026-4-17 | Frequency-Guided Lightweight Network for Unsupervised Spectral Demosaicing
[IEEE] 2026-4-17 | Existence of asynchronous and synchronous behaviour in a neuromorphic Josephson Junction network
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | Guaranteed Payoffs Resource Allocation Problem with Application to Countering Reinforced Eavesdropping
[IEEE] 2026-4-17 | Monolithic Integrated GaN Complementary Logic Circuits Using AlON/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Bilayer Gate Dielectric
[IEEE] 2026-4-17 | Development of a Realistic physical Phantom for laparoscopic and robotic Assisted Sacrocolpopexy Training and Associated_supp1-3684747.pdf
[IEEE] 2026-4-17 | Directivity Enhancement of Movable Antenna Arrays with Mutual Coupling
[IEEE] 2026-4-17 | The AI Research Assistant: Promise, Peril, and a Proof of Concept_supp1-3683758.pdf
[IEEE] 2026-4-17 | Energy-Efficient Air-Ground Cooperative Detection for UAV-Enabled ISAC Systems
[IEEE] 2026-4-17 | Stress Field Engineering for Ultra-Low Birefringence in Trench-Assisted Multi-Core Fibers
[IEEE] 2026-4-17 | Cloud Computing Resource Load Prediction Model Based on TCN-PatchTST
[IEEE] 2026-4-17 | Enhancing Fault Tolerance in Microblaze V Soft-Core Processors: Performance and Reliability Assessment with ESA Benchmark Applications
[IEEE] 2026-4-17 | A Deep Learning Lora-Based Indoor Localization Technique
[IEEE] 2026-4-17 | Design and Simulation of Printed Force Sensitive Resistor for Wearable Electronics
[IEEE] 2026-4-17 | Social Media Analysis Using LSTM and Bi-LSTM for Automated Identification of Depression Cancer Patients
[IEEE] 2026-4-17 | Iterative Complex-Valued Quadratic-Cone Programming for Implementing Phase Equalizers
[ACM] 2026-4-17 | Dataset Ownership Protection Method Based on Maximizing Distribution Discrepancy
[IEEE] 2026-4-17 | Lightweight TinyML NIDS For IoT Devices
[IEEE] 2026-4-17 | Effects of Rain Rate With Various Integration Times on ITU-R P530-18 Attenuation Prediction
[IEEE] 2026-4-17 | Case Study: The High-Level Synthesis-Based Firmware Upgrade for the Digital Trigger Back-End System of the ATLAS Liquid Argon Calorimeter
[IEEE] 2026-4-17 | Case Study: A Uniform Benchmarking of RISC-V Cores on FPGA — Performance, Power, and Area Analysis
[IEEE] 2026-4-17 | Design and Implementation of a Lightweight Simulation Testing Tool for Automatic Train Supervision (ATS) Systems in Intelligent Transportation Systems
[IEEE] 2026-4-17 | Scatter Search, Ejection Chains, and Filter-and-Fan for Vehicle Routing: A Unified Framework
[IEEE] 2026-4-17 | IEEE Photonics Technology Letters publication information
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp4-3683863.mp4
[IEEE] 2026-4-17 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp1-3683863.mp4
[IEEE] 2026-4-17 | AI-Tuned Smart Potentiometric based Sensor for Chloride Concentration Assessment in Sweat
[IEEE] 2026-4-17 | Rotation-symmetric bent functions outside the completed Maiorana-McFarland class
[IEEE] 2026-4-17 | Spatial Distribution of Impulse Bandwidth of a Graphene/Silicon Schottky Photodetector_supp1-3684821.docx
[IEEE] 2026-4-17 | IEEE Vehicular Technology Society Information
[IEEE] 2026-4-17 | MFEFNet: An Efficient Network for Infrared Small Target Detection with Multi-View Feature Extraction and Multi-Scale Attention Fusion
[IEEE] 2026-4-17 | Kinetic Energy Based Power Smoothing Method for High-Inertia Wind Turbines Using ESO-MFPCC
[IEEE] 2026-4-17 | A Dual-Event-Driven Fusion Estimation Method for Road Friction Coefficient Based on Image and Vehicle Dynamics
[IEEE] 2026-4-17 | Improved Prediction of Secondary Flows in a Square Duct for Blanket First Wall Using a Nonlinear Eddy-Viscosity Model
[IEEE] 2026-4-17 | DECOR+: Energy-Balanced Representation Enhancement for Long-Tailed Remote Sensing Scene Recognition
[IEEE] 2026-4-17 | Lateral Dynamics Modeling and Analysis in Electric Vehicles according to the Battery Pack Arrangement
[IEEE] 2026-4-17 | Table of Contents
[IEEE] 2026-4-17 | PrivTI: Efficient End-to-End Privacy-Preserving Inference for Transformer-based Models in MLaaS
[IEEE] 2026-4-17 | Decentralized Real-Time Train-to-Grid Control by Smoothly Homotopic Trajectory Transition
[IEEE] 2026-4-17 | Rep-MMB: Bridging Mobile CNN and Transformer for Sensor-Based Human Activity Recognition
[IEEE] 2026-4-17 | An Electrolytic-Capacitorless Integrated LDC/V2L Converter for Hybrid Electric Vehicles
[IEEE] 2026-4-17 | Forward-Secure Identity-Based Signcryption with Equality Test for Social Recommendation on Smart IoT Devices
[IEEE] 2026-4-17 | Covert Communication in Federated Learning
[IEEE] 2026-4-17 | Vegetation Health Prediction Using RGB Images from UAV with Deep Learning
[IEEE] 2026-4-17 | 2026 IEEE 27th Latin American Test Symposium (LATS)
[IEEE] 2026-4-17 | A Novel Design of Pulsed Magnet for Repetitive Magnetic Field
[IEEE] 2026-4-17 | Supraharmonic Measurement Based on Windowed Compressive Sensing and Orthogonal Matching Pursuit
共写入 100 条记录，保存到 papers/paper2026-04-17.json。
论文获取成功，文件路径: papers/paper2026-04-17.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[NO] 2/100 | Parasite: A Steganography-based Backdoor Attack Framework for Diffusion Models
[NO] 3/100 | Unraveling the Key of Machine Learning-based Android Malware Detection
[NO] 4/100 | Data Feminisms for Intersectional Climate Justice in Artificial Intelligence
[NO] 5/100 | Analysis of the Relationship Between Visual Cognitive Impairment and Neural Network Damage
[NO] 6/100 | Automatic Enhancement of Cell Models to Enable Conditional Stuck-at Fault Simulation and Pattern Generation
[NO] 7/100 | IoT and Mobile Application for Visualization and Control for Drum-Type Hydroponic System
[YES] 8/100 | Adaptive Power Allocation and User Scheduling for LEO Satellites using Channel Predictions
[NO] 9/100 | Early-Stage Detection of Encrypted Malware Traffic via Multi-flow Temporal Graph Learning
[YES] 10/100 | DRL-Optimized UAV-Relayed 6G Multicast/Broadcast for Over-the-Air IoT Firmware Updates
[NO] 11/100 | UAV-Enabled Multi-Tier Mobile Edge Computing for Heterogeneous Dual-Source Multi-Modal Tasks
[NO] 12/100 | Change-LISA: Language-Guided Reasoning for Remote Sensing Change Detection_supp1-3684817.pdf
[NO] 13/100 | Seismic Inversion by Integrating Rock Physics Modeling and Deep Learning
[NO] 14/100 | Miniature intraoral robot (MIR) for minimally invasive tooth preparation_supp1-3682629.pdf
[NO] 15/100 | Advancing Pre-trained Teacher: Towards Robust Feature Discrepancy for Anomaly Detection
[NO] 16/100 | An Interpretable Multi-Scale Temporal Residual Framework for Gender-Specific EEG-Based Emotion Recognition
[NO] 17/100 | Joint Optimization in Heterogeneous Mobile Edge-Satellite-Cloud Continuum
[NO] 18/100 | Counting Minimal Unique-Cause MC/DC Test Suites for Boolean Decisions
[NO] 19/100 | A Machine Learning Approach for Telemetry-Based Frequency Stability Estimation of High Precision Clocks
[NO] 20/100 | HMU: Heuristic Memory Utilization for Multi-Agent Reinforcement Learning
[NO] 21/100 | Downscaling Method for Ground Flash Density in Transmission Line Corridors Considering Terrain Effects
[NO] 22/100 | HSD: Hough-Based Structure-Aware Detection of B-Lines in Lung Ultrasound
[NO] 23/100 | AttriReBoost: A Gradient-Free Propagation Optimization Method for Cold-Start Mitigation in Attribute Missing Graphs_supp1-3681613.pdf
[NO] 24/100 | A Review of Active Thermal Control for Power Devices: Advances, Challenges, and Applicability in Intelligent Power Modules
[NO] 25/100 | Leveraging Graph Attention Embedding and Mutual Prompting for CSI Drift Suppression Localization
[NO] 26/100 | Battery-Assisted Backscatter Devices: Energy Management and Outage Performance Analysis
[NO] 27/100 | Vulnerabilities in AI-Generated Image Detection: The Challenge of Adversarial Attacks_supp1-3682154.pdf
[NO] 28/100 | Surface Water Mapping and Flood Dynamics Monitoring Using CYGNSS and Deep Learning
[NO] 29/100 | Nodal Frequency Nadir Chance-Constrained Economic Dispatch Considering Contingency Frequency Service from Hydrogen Electrolysis
[NO] 30/100 | Contrastive Feature Reasoning for EEG Classification in Asynchronous BCI-Controlled Humanoid Robot
[NO] 31/100 | Reverberation-based Features for Sound Event Localization and Detection with Distance Estimation
[NO] 32/100 | Autonomous Design of Micro-Calorimetric Flow Sensors: A Bayesian-Optimized Machine Learning Framework_supp1-3680338.pdf
[NO] 33/100 | A Compact Via-Assisted Dual-Band Circularly Polarized Antenna With Dual-Mode Radiation for Health Monitoring Devices
[NO] 34/100 | IEEE Photonics Technology Letters publication information
[NO] 35/100 | Table of Contents
[NO] 36/100 | Dual-Probability-Frequency Fast Successive Cancellation (DPF-FSC) decoding of non-binary polar code
[NO] 37/100 | Design and ATEX-Aware Kinematic Analysis of a Multi-Body Robot for Gas Pipeline Inspection
[NO] 38/100 | Binaural Beat Stimulation for Cognitive and Psychological Enhancement in Alzheimer's Disease: A Pilot Study
[NO] 39/100 | Transformer-Based Context Informed Incremental Learning with sDTW Alignment Unlocks Fast and Precise Regression-Based Myoelectric Control
[NO] 40/100 | Software Diversity in Resource-Constrained Embedded Systems
[NO] 41/100 | Embedded Tutorial: Design for EMC and Trust in Integrated Systems – Combining Robustness, Innocuity and Security Concerns
[NO] 42/100 | Assessment of 5G Performance in Philippines Using Mobility Tests
[NO] 43/100 | Socio-Economic Impacts of Clean Energy Transition in Bangladesh
[NO] 44/100 | Enhancing Access to Urban Primary Health Care Through Digital General Practitioner Model: An Initiative for Women Health Inclusion Towards Achieving SDG
[NO] 45/100 | Saukhyam: A Sustainable Solution to the Sanitary Napkin Menace
[NO] 46/100 | Residual-Attention CNN for Dysgraphia Detection Using Synthesized Offline Handwriting from Online Traces
[NO] 47/100 | Enhancing the Lifetime of STT-MRAM in IoT Applications by Current Balancing
[NO] 48/100 | Modelling and Solving Problems in Communications and Network Security Elegantly Using a Unified Framework for Intelligence and Intelligent Systems
[NO] 49/100 | HiPo-Gait: Hierarchical Pose model decoupling for Gait Recognition
[NO] 50/100 | TechRxiv: Share Your Preprint Research with the World!
[NO] 51/100 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp6-3683863.mp4
[NO] 52/100 | Dynamic Event-Triggered Target Encirclement Control for Heterogeneous UAV/UGV Swarm Based on Finite-Time Distributed Target Observation
[NO] 53/100 | Multi-Taper FFT-based Full-Spectrum Phase Demodulation for High-Precision GaAs F-P Temperature Sensors
[NO] 54/100 | Frequency-Guided Lightweight Network for Unsupervised Spectral Demosaicing
[NO] 55/100 | Existence of asynchronous and synchronous behaviour in a neuromorphic Josephson Junction network
[NO] 56/100 | Table of Contents
[NO] 57/100 | Guaranteed Payoffs Resource Allocation Problem with Application to Countering Reinforced Eavesdropping
[NO] 58/100 | Monolithic Integrated GaN Complementary Logic Circuits Using AlON/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Bilayer Gate Dielectric
[NO] 59/100 | Development of a Realistic physical Phantom for laparoscopic and robotic Assisted Sacrocolpopexy Training and Associated_supp1-3684747.pdf
[NO] 60/100 | Directivity Enhancement of Movable Antenna Arrays with Mutual Coupling
[NO] 61/100 | The AI Research Assistant: Promise, Peril, and a Proof of Concept_supp1-3683758.pdf
[YES] 62/100 | Energy-Efficient Air-Ground Cooperative Detection for UAV-Enabled ISAC Systems
[NO] 63/100 | Stress Field Engineering for Ultra-Low Birefringence in Trench-Assisted Multi-Core Fibers
[NO] 64/100 | Cloud Computing Resource Load Prediction Model Based on TCN-PatchTST
[NO] 65/100 | Enhancing Fault Tolerance in Microblaze V Soft-Core Processors: Performance and Reliability Assessment with ESA Benchmark Applications
[NO] 66/100 | A Deep Learning Lora-Based Indoor Localization Technique
[NO] 67/100 | Design and Simulation of Printed Force Sensitive Resistor for Wearable Electronics
[NO] 68/100 | Social Media Analysis Using LSTM and Bi-LSTM for Automated Identification of Depression Cancer Patients
[NO] 69/100 | Iterative Complex-Valued Quadratic-Cone Programming for Implementing Phase Equalizers
[NO] 70/100 | Dataset Ownership Protection Method Based on Maximizing Distribution Discrepancy
[NO] 71/100 | Lightweight TinyML NIDS For IoT Devices
[NO] 72/100 | Effects of Rain Rate With Various Integration Times on ITU-R P530-18 Attenuation Prediction
[NO] 73/100 | Case Study: The High-Level Synthesis-Based Firmware Upgrade for the Digital Trigger Back-End System of the ATLAS Liquid Argon Calorimeter
[NO] 74/100 | Case Study: A Uniform Benchmarking of RISC-V Cores on FPGA — Performance, Power, and Area Analysis
[NO] 75/100 | Design and Implementation of a Lightweight Simulation Testing Tool for Automatic Train Supervision (ATS) Systems in Intelligent Transportation Systems
[NO] 76/100 | Scatter Search, Ejection Chains, and Filter-and-Fan for Vehicle Routing: A Unified Framework
[NO] 77/100 | IEEE Photonics Technology Letters publication information
[NO] 78/100 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp4-3683863.mp4
[NO] 79/100 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp1-3683863.mp4
[NO] 80/100 | AI-Tuned Smart Potentiometric based Sensor for Chloride Concentration Assessment in Sweat
[NO] 81/100 | Rotation-symmetric bent functions outside the completed Maiorana-McFarland class
[NO] 82/100 | Spatial Distribution of Impulse Bandwidth of a Graphene/Silicon Schottky Photodetector_supp1-3684821.docx
[NO] 83/100 | IEEE Vehicular Technology Society Information
[NO] 84/100 | MFEFNet: An Efficient Network for Infrared Small Target Detection with Multi-View Feature Extraction and Multi-Scale Attention Fusion
[NO] 85/100 | Kinetic Energy Based Power Smoothing Method for High-Inertia Wind Turbines Using ESO-MFPCC
[NO] 86/100 | A Dual-Event-Driven Fusion Estimation Method for Road Friction Coefficient Based on Image and Vehicle Dynamics
[NO] 87/100 | Improved Prediction of Secondary Flows in a Square Duct for Blanket First Wall Using a Nonlinear Eddy-Viscosity Model
[NO] 88/100 | DECOR+: Energy-Balanced Representation Enhancement for Long-Tailed Remote Sensing Scene Recognition
[NO] 89/100 | Lateral Dynamics Modeling and Analysis in Electric Vehicles according to the Battery Pack Arrangement
[NO] 90/100 | Table of Contents
[NO] 91/100 | PrivTI: Efficient End-to-End Privacy-Preserving Inference for Transformer-based Models in MLaaS
[NO] 92/100 | Decentralized Real-Time Train-to-Grid Control by Smoothly Homotopic Trajectory Transition
[NO] 93/100 | Rep-MMB: Bridging Mobile CNN and Transformer for Sensor-Based Human Activity Recognition
[NO] 94/100 | An Electrolytic-Capacitorless Integrated LDC/V2L Converter for Hybrid Electric Vehicles
[NO] 95/100 | Forward-Secure Identity-Based Signcryption with Equality Test for Social Recommendation on Smart IoT Devices
[NO] 96/100 | Covert Communication in Federated Learning
[NO] 97/100 | Vegetation Health Prediction Using RGB Images from UAV with Deep Learning
[NO] 98/100 | 2026 IEEE 27th Latin American Test Symposium (LATS)
[NO] 99/100 | A Novel Design of Pulsed Magnet for Repetitive Magnetic Field
[NO] 100/100 | Supraharmonic Measurement Based on Windowed Compressive Sensing and Orthogonal Matching Pursuit
筛选完成：共 100 篇；Yes = 3 篇；已保存到 papers/select_paper2026-04-17.json。
邮件发送成功！
[2026-04-18 09:59:14] 任务执行成功！
