[2025-11-20 09:10:57] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-19
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202511190000+TO+202511192359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2025-11-19 | Towards Generalizable Deepfake Detection by Primary Region Regularization
[IEEE] 2025-11-19 | Online Monitoring and Intelligent Acquisition Method for Power Equipment Data based on IEEE 802.11 Standard
[IEEE] 2025-11-19 | Hybrid Deep Learning for Hyperspectral Imaging: Merging 1D and 2D CNNs for Enhanced Land Cover Mapping
[IEEE] 2025-11-19 | Beyond Empirical Limits: Accurate Electromagnetic Modelling of Drug Delivery Sensor
[IEEE] 2025-11-19 | Genetic Algorithm Combined with Sequential Quadratic Programming for Efficient Reliability-Based Optimization of Reinforced Concrete Bridges
[IEEE] 2025-11-19 | An Embedded Real-Time Localization System for Transient Sounds Based on a MEMS Microphone Array
[IEEE] 2025-11-19 | Charging-Simultaneity-Coefficient Estimation Considering Electric Vehicles Charging Behaviors
[IEEE] 2025-11-19 | Time Delay Analysis and Dynamic Performance Verification of Valve Base Control Unit Simulation Test System for Voltage Source Converter High Voltage Direct Current
[IEEE] 2025-11-19 | Energy Storage Configuration Optimization Strategy for Industrial Users Considering Demand Charge Savings
[IEEE] 2025-11-19 | Data-driven decoupling and dimensionality reduction technology for distribution network aggregations
[IEEE] 2025-11-19 | Traversability Analysis for Vehicle in Unstructured Road Based on Semantic Segmentation and Environment Geometry
[IEEE] 2025-11-19 | Research on False Data Injection Attack Detection Methods for Intelligent Distribution Networks
[IEEE] 2025-11-19 | Research on the Construction Technology of Real-Time Simulation System for Variable Speed Pumped Storage
[IEEE] 2025-11-19 | Nonlinearities Modeling of Different Shunt Measurement Techniques in PMSM Drives
[IEEE] 2025-11-19 | Freezing Desalination : A Bibliometric Study of Trends in Emerging technologies
[IEEE] 2025-11-19 | Chemistry-Aware State Estimation for Distributed Battery Energy-Storage Systems
[IEEE] 2025-11-19 | A Multi-View SAR Images Fusion Positioning Method Based on Error Propagation Model
[IEEE] 2025-11-19 | Flammable Gas Leakage Boundary Recognition System in Mountain Environment Based on Raspberry Pi
[IEEE] 2025-11-19 | Moroccan Outward FDI in the CFA Zone: Currency and Exchange Rate Risk in the Banking Sector
[IEEE] 2025-11-19 | SGMSNet: Spatial-Gated Memory Network for Chest X-ray Image Segmentation
[IEEE] 2025-11-19 | YOLOv10-CBAM: Lightweight Metal Surface Defect Detection Based on YOLOv10
[IEEE] 2025-11-19 | Study on Power-Frequency Distributed Residual Current Protection Based on Time-Varying Closed Surfaces
[IEEE] 2025-11-19 | Multi-UAV Cooperative Target Consensus Detection and Trajectory Optimization in Urban Environments
[ACM] 2025-11-19 | Simulating Extinct Species
[IEEE] 2025-11-19 | PowerCause: Leveraging Causality for Self-Recovery in Unbalanced Distribution Networks
[IEEE] 2025-11-19 | Unveiling the Visual Rhetoric of Persuasive Cartography: a Case Study of the Design of Octopus Maps
[IEEE] 2025-11-19 | Reliability-Aware Placement of Virtual Network Functions via Multi-Agent Deep Reinforcement Learning
[IEEE] 2025-11-19 | ICEIOM 2025 TOC
[IEEE] 2025-11-19 | CPERE 2025 Opinion
[IEEE] 2025-11-19 | TELSIKS 2025 Breaker Page
[IEEE] 2025-11-19 | Fuzzy Logic-Enhanced Neuroadaptive Fault-Tolerant Control for Vehicular Platoons With Stochastic Disturbances and Asymmetric Spacing Constraints
[IEEE] 2025-11-19 | A Dynamically Weighted ADMM Framework for Byzantine Resilience
[IEEE] 2025-11-19 | The Gradual Interval Mapping Method Integration Framework for Multiple Metasurfaces Fast Design
[IEEE] 2025-11-19 | Reconfigurable Scattering Cross Section Control for Aircraft-Like Objects at Meter-Wave Bands Based on Characteristic Mode Cancellation
[IEEE] 2025-11-19 | Enhancing Position Estimation Accuracy in IPMSMs Sensorless Control via Virtual Shaft Amplitude Demodulation
[IEEE] 2025-11-19 | Muscle Fatigue-Aware Controller for a Semi-Rigid Knee Exoskeleton
[IEEE] 2025-11-19 | Two-Stage Semi-Supervised Co-Training for Enhanced Multi-Class Intrusion Detection
[ACM] 2025-11-19 | Tri-perspective Multi-view Classification
[IEEE] 2025-11-19 | Transitional Patterns for Tick-Shape Backbones
[IEEE] 2025-11-19 | Adaptive Decomposition Level Determination Method for Fractional High-Density Discrete Wavelet Based on Multi-Scale Symbolic Dynamic Entropy
[IEEE] 2025-11-19 | Antenna-Independent Deep Learning for Self-Interference Cancellation in In-Band Full-Duplex MIMO Systems
[IEEE] 2025-11-19 | A Tool Wear Condition Recognition Model Based on GBDT-BiGRU
[IEEE] 2025-11-19 | Application of Large Language Models in Software Development: Review of the Current State and Development Perspectives
[IEEE] 2025-11-19 | Current transformer phase error correction method based on SVM algorithm
[IEEE] 2025-11-19 | Fault Diagnosis via Deep Transfer Learning with Multi-Scale Feature Extraction and Multi-Layer Domain Adaptation
[IEEE] 2025-11-19 | Psych-R1: A New LLM for Psychiatric Diseases Based on Group Relative Policy Optimization
[IEEE] 2025-11-19 | Construction of Physical Information Guided Bearing Degradation Indicators and Remaining Useful Life Prediction
[IEEE] 2025-11-19 | Research on Fault Diagnosis Method for Antenna Drive Reducer Bearings Based on SVMD-CNN-LSTM Fusion
[IEEE] 2025-11-19 | Double-layer optimal scheduling of industrial parks based on equipment behavior correlation graphs
[IEEE] 2025-11-19 | Compressive Sensing for Inter-Frame Video Compression Using OMP and TVAL3 Algorithms
[IEEE] 2025-11-19 | Voltage Stabilization of Slim DC-Link Systems Using Modulated MPC and Voltage Injection
[IEEE] 2025-11-19 | Simulation Study on Electric Field Distribution of Maintenance Personnel in Live Substation Operations
[IEEE] 2025-11-19 | A Novel Phase-preserving Motion Compensation Method for Spaceborne Dual-antenna InSAR
[IEEE] 2025-11-19 | Performance Comparison of YOLOv8 and Detectron2 for Obstacle Inference Tasks in Autonomous Driving Systems
[IEEE] 2025-11-19 | Decision Making and Admission Process in Home Health Care
[IEEE] 2025-11-19 | Four-Diode Photovoltaic Model with Enhanced Parameter Extraction Using Fractional-Order Particle Swarm Optimization
[IEEE] 2025-11-19 | Bayesian-Optimized CNN-LSTM for Forecasting Short-Term Photovoltaic Power in Microgrids
[IEEE] 2025-11-19 | Leverage Sub-Band and Cross-Band Information in Real-Time Speech Signal Improvement
[IEEE] 2025-11-19 | An Optimized Ultrasonic Guided Wave Defect Location Approach Based on the Wavelet Energy Entropy
[IEEE] 2025-11-19 | Proposal of Noncontact Fish-Pulse Estimation Camera for Flatfish
[IEEE] 2025-11-19 | Security Challenges in Civilian and Military IoT - Common Attacks and Vulnerabilities
[IEEE] 2025-11-19 | Adaptive Multi-Stage Sparse Gaussian Process Regression for Bearing Remaining Useful Life Prediction
[IEEE] 2025-11-19 | FusedBoostNet: A Lightweight Hybrid Model for Consumer-Grade Intrusion Detection
[IEEE] 2025-11-19 | Output Feedback Quantized Tracking Control for a Class of Nonlinear Systems With Sensor Failures
[IEEE] 2025-11-19 | A High-Sensitivity Microwave Sensor Based on Unequal-Width Three-Coupled Lines for Characterizing the Permittivity of Liquids
[IEEE] 2025-11-19 | Fast-Calibration-Based Control for an Upper-Limb Prosthesis
[IEEE] 2025-11-19 | A Review of Interline Series Power Flow Controllers in HVDC Grids
[IEEE] 2025-11-19 | Block-wise Contrastive Few-shot Learning with Multi-view Mixing for Hyperspectral Image Cross-scene Classification
[IEEE] 2025-11-19 | Resonance Transition Radiation in One-dimensional Moiré Lattices
[IEEE] 2025-11-19 | LoGCC: Local-to-Global Correlation Clustering for Scalar Field Ensembles
[IEEE] 2025-11-19 | Explainable Machine Learning for Predicting Computational Thinking Proficiency in K-12 Students Using National-Level Data
[IEEE] 2025-11-19 | Two-round Certificateless Multi-signatures with Key Aggregation in Smart Contracts
[IEEE] 2025-11-19 | More Granular, Less Trust: Enforcing Intra-Process Isolation with Arm CCA in an Untrusted Management Environment
[IEEE] 2025-11-19 | Deep Learning for Bird Identification Using Sound: Enhancing Avian Monitoring and Conservation in Indonesia and Malaysia
[IEEE] 2025-11-19 | Edge-Oriented Federated YOLOv8 Detection Framework for Photovoltaic Fault Identification
[IEEE] 2025-11-19 | Effect of Storage Time on Oxidative Pyrolysis Characteristics of Coal
[ACM] 2025-11-19 | “Made by people, described by people”: The Changing Work Practices of Audio Description Professionals
[ACM] 2025-11-19 | QoE Evaluation for VR with Vibrotactile Feedback Based on Inter-user Brain Spatial Information
[IEEE] 2025-11-19 | Multi-Objective Optimization Design of Sar Constellation for Balancing Efficiency and Cost
[IEEE] 2025-11-19 | Research on Comprehensive Evaluation Weights of Metering Asset Operation Benefits Based on AHP-Entropy Weight Method
[IEEE] 2025-11-19 | Can Oriented Bounding Box Enhance Small Object Detection?
[IEEE] 2025-11-19 | Swarm Intelligence for Enhancing Cyber Security in Vehicular Ad-Hoc Networks
[IEEE] 2025-11-19 | Advancing Lunar Communication Through Inter-Domain Space Networks and Dynamic Orchestration
[IEEE] 2025-11-19 | A Short Overview of Recent Advances in Sitting Posture Monitoring Systems
[IEEE] 2025-11-19 | SPICE-Based Automatic Parasitic Extraction in Double Pulse Test Circuits for SiC MOSFETs
[IEEE] 2025-11-19 | Cable Fault Diagnosis Method Based On Dynamic Integral Function Construction
[IEEE] 2025-11-19 | Remaining Life Prediction of Rolling Bearing Based on Multi-Scale Feature Fusion and Deep Learning
[IEEE] 2025-11-19 | A Joint Parameter Estimation and Subspace Segmentation Inversion Method for Motion Error Compensation in MIMO-SAR
[IEEE] 2025-11-19 | Unsupervised Machine Learning for Credit Card Fraud Detection: Comparative Study of Individual and Ensemble Models
[IEEE] 2025-11-19 | A Clustering-Based Damage Identification and Localization Method for Composite Structures Using Multi-Physical Features of Ultrasonic Guided Waves
[IEEE] 2025-11-19 | Research on Bearing Fault Diagnosis Based on Digital Twin Technology
[IEEE] 2025-11-19 | Adaptive method of biometric authentication, AC-CNN based on convolutional neural networks under conditions of partially available biometric data
[IEEE] 2025-11-19 | MPU Circuit Generation From Programs With Meta-Instructions
[IEEE] 2025-11-19 | Bird detection method for transmission line based on improved YOLOv8 algorithm
[IEEE] 2025-11-19 | Prediction of system strength margin for multi-infeed systems based on federated learning
[IEEE] 2025-11-19 | A 107 DB-SNDR and 165 DB-FOM Second-Order Noise-Shaping SAR ADC
[IEEE] 2025-11-19 | A two-Layer Authentication Scheme Against Node Replication Attacks in Mobile Heterogeneous Sensor Networks
[IEEE] 2025-11-19 | A Scalable Data Model for Signalized Intersection Performance Measures
[IEEE] 2025-11-19 | RCANet Based User Partitioning Channel Estimation for RIS Assisted mmWave MIMO Systems
[IEEE] 2025-11-19 | Fusing SIFT Keypoint Density and Multi-Resolution Wavelet Features for Enhanced CVD Classification via a Residual Attention Network
[IEEE] 2025-11-19 | Electric Energy Substitution Potential Prediction Based on CEEMDAN-LSTM-GM Model
[IEEE] 2025-11-19 | Vibration Sensor Placement Optimization in Electrical Transmission for Prognostics and Health Management System
[IEEE] 2025-11-19 | Modeling the Academic Impact of Early ICT Exposure: A Cross-National Study Using Pooled Variance Optimization
[IEEE] 2025-11-19 | Multiple Point-Source Tracking with Lensless Single Random Phase Encoding Optical Systems
[IEEE] 2025-11-19 | A Multi-Agent DRL-Based Framework for Optimal Resource Allocation and Twin Migration in the Multi-Tier Vehicular Metaverse
[IEEE] 2025-11-19 | 2025 IEEE Conference on Power Electronics and Renewable Energy (CPERE)
[IEEE] 2025-11-19 | Challenges and Opportunities in Electric Propulsion Systems for Low-Altitude eVTOL Aircraft
[IEEE] 2025-11-19 | Self-Wearing Adaptive Garments via Soft Robotic Unfurling
[IEEE] 2025-11-19 | Sizing Antenna Arrays for Near-field Communication and Sensing
[IEEE] 2025-11-19 | Multi-Agent PPO-Based Resource Optimization for Full-Duplex RIS-Aided NOMA-ISAC Systems
[IEEE] 2025-11-19 | TELSIKS 2025 Breaker Page
[IEEE] 2025-11-19 | ICEEPS 2025 Preface
[IEEE] 2025-11-19 | Large Multimodal Model-Empowered Task-Oriented Autonomous Communications: Design Methodology and Implementation Challenges
[IEEE] 2025-11-19 | Data-Driven Stabilisation of Unstable Periodic Orbits of the Three-Body Problem
[IEEE] 2025-11-19 | Dynamic Task Scheduling and Adaptive GPU Resource Allocation in the Cloud
[IEEE] 2025-11-19 | A Multiport Bidirectional LLC Resonant DC-DC Converter for Vehicle-to-Grid Applications
[IEEE] 2025-11-19 | Travel time estimation using Eikonal equation with finite element method in ultrasound imaging: an in-silico study
[IEEE] 2025-11-19 | Toward Secure and High-Performance Blockchain Integration in the Internet of Vehicles: A Layered Architecture Based on Hyperledger Fabric
[IEEE] 2025-11-19 | Airport Adjustment Strategy Based on Air Traffic Flow Prediction Using EMD-BiLSTM Hybrid Mode
[IEEE] 2025-11-19 | Study on Insulator Flashover Induced by Lightning on the Midpoint of Lightning Protection Lines Based on the High-Frequency Electromagnetic Pulse Coupling Principle
[IEEE] 2025-11-19 | Pattern Recognition of Partial Discharge Signals in DC Gas-Insulated Switchgear Based on Multi-Domain Feature Extraction
[IEEE] 2025-11-19 | IoT Security Risks and Mitigation Strategies for Smart Grids: A Literature Review
[IEEE] 2025-11-19 | Optimal Coordinated Control for Distributed SAR Formation Reconfiguration Application
[IEEE] 2025-11-19 | Research on corrosion fault diagnosis method of grounding network based on the joint method of electrical network and electrical impedance imaging technology
[IEEE] 2025-11-19 | A Novel Predictive Model for Hypertension Comorbidity in COPD Patients Based on the Feature-Adaptive Stacking Framework (FASF)
[IEEE] 2025-11-19 | A brief review on AI-driven approaches for predictive maintenance of pipelines
[IEEE] 2025-11-19 | Fault Identification of Voltage Source Converter Valve Discharge Based on Mel-Spectrum and CNN
[IEEE] 2025-11-19 | Short-Term Cascade Operation Modeling for the Three Gorges-Gezhouba: Integrating Dynamic Storage and Backwater Effects
[IEEE] 2025-11-19 | Multicast Broadcast Services in Railway Communication Applications
[IEEE] 2025-11-19 | Dynamic Response Characteristics of Photovoltaic Power Station Inverters in Industrial Scenarios
[IEEE] 2025-11-19 | Multidimensional Data Analysis and Diagnosis Model of Blood Diseases Based on Deep Learning
[IEEE] 2025-11-19 | Optimization of Electrode Combinations for High-Performance Bilateral TIBS Stimulation
[IEEE] 2025-11-19 | An Intelligent Information System for Semantic Analysis of Social Network Discussions
[IEEE] 2025-11-19 | Rüppell’s Fox Optimization Algorithm for Solving the Optimal Power Flow Problem with Renewable Energy Integration
[IEEE] 2025-11-19 | SAGECN: A Spectral-and-GraphSAGE Enhanced Convolutional Network for Robotic Arm Fault Diagnosis
[IEEE] 2025-11-19 | Design of a Speed Control Algorithm for Switched Reluctance Wind Turbine Generators Based on a Tracking Differentiator
[IEEE] 2025-11-19 | Fully Soft Switched High Step Up Three Level DC-DC Converter with Continuous Input Current for LED Drivers Applications
[IEEE] 2025-11-19 | Fault Pattern Recognition for Bearings via Convolutional Sparse Representation of Multi-source Heterogeneous Information
[IEEE] 2025-11-19 | Application of Convolutional Neural Network in Fault Diagnosis of Electric Power Communication Network
[IEEE] 2025-11-19 | Task-irrelevant Visual Stimuli with Semantic Content Interfere with Auditory Working Memory Retrieval
[IEEE] 2025-11-19 | Stochastic Wireless Signal Generation Using a VAE With Statistical Latent Sampling
[IEEE] 2025-11-19 | Hybrid Integration of MAVlink Telemetry and Sensor Data Via REST API for Real-Time UAV-Based Fire Detection Monitoring
[IEEE] 2025-11-19 | Integrating Multi-center Blood Samples for Disease Marker Screening Using Heterogeneous Federated Meta-learning
[IEEE] 2025-11-19 | <b>FUSTT:</b>
                    Forecasting Using Spatio-Temporal Transformers for Predicting Marine Stressors of Blue-Carbon Ecosystems
[IEEE] 2025-11-19 | Detection of Multi-stage Attacks through Attack Pattern Segmentation
[IEEE] 2025-11-19 | Heterogeneity-Aware Federated Learning for Medical Image Classification with Dynamic Parameter Optimization
[IEEE] 2025-11-19 | Guest Editorial Special Issue on Intelligent IoT for Sustainable Agriculture and Food Industries
[IEEE] 2025-11-19 | Orthogonal Doppler Frequency Modulation over Doubly Selective Channels
[IEEE] 2025-11-19 | ICEEPS 2025 Author Index
[IEEE] 2025-11-19 | CPERE 2025 Subject Index Page
[IEEE] 2025-11-19 | SceneCluster: Interactive Scene Synthesis by Clustering Groups of Furniture Objects
[IEEE] 2025-11-19 | Enhanced Slow-Light Phenomenon in Dot-Bragg Gratings through Offset Engineering
[IEEE] 2025-11-19 | Accelerating Adaptive Diffusion and Uncertainty Modeling for Underwater Image Enhancement
[IEEE] 2025-11-19 | Partition Map-Based Fast Block Partitioning for VVC Inter Coding_supp1-3632639.pdf
[IEEE] 2025-11-19 | TBNet: A Chest X-ray Classifier Supporting Image Segmentation with Self-attention Mechanism for Secondary Tuberculosis Detection
[IEEE] 2025-11-19 | Tactile-Sensitive Artificial Skin for Multiaxial Force Detection and Texture Recognition
[IEEE] 2025-11-19 | A Fly-Crawl-Fly UAV for Full-Circumference Inspection of Non-Magnetic Pipes via Thrust Adhesion
[IEEE] 2025-11-19 | Trust-Driven Resource Trading for DAG Blockchain-Aided Mobile Edge Computing Networks: A Game Theoretic Approach
[IEEE] 2025-11-19 | A Differential Cluster-Analysis-Based Multibaseline Phase Unwrapping Algorithm
[IEEE] 2025-11-19 | Hybrid Feature Fused Few-Shot Learning for CSI-Based Adaptive Beam Prediction
[IEEE] 2025-11-19 | Artificial Neural Networks for Solving Partial Differential Equations: A Deep Learning Approach
[IEEE] 2025-11-19 | Intelligent Typing of Gangrenous Cholecystitis Based on LSTM-XGBoost Integrated Model
[IEEE] 2025-11-19 | Research on Collaborative Operation Methodologies and Strategies for New-Energy Engineering Vehicle Fleets in Plateau Railway Tunnel Muck Removal
[IEEE] 2025-11-19 | Research and Application of Electric Installation Technology "I" Type Insulated Sheath
[IEEE] 2025-11-19 | Context-Aware Advisor System for Crowded Environments
[IEEE] 2025-11-19 | Cybersecurity in Smart Cities: A Review of Theoretical Models, Emerging Threats, and Defense Strategies
[IEEE] 2025-11-19 | A Barrage Jamming Suppression Method for High-Resolution Wide-Swath SAR Systems on Correlation Filtering
[IEEE] 2025-11-19 | Multiband Clustering Weighted Envelope Spectrum for Axle-Box Bearing Fault Diagnosis
[IEEE] 2025-11-19 | A Suitable Range Selection Method for MED Filter Length and Its Application
[IEEE] 2025-11-19 | Broken Wire Damage Identification Method for Elevator Steel Belts Based on a 2D Wave Model
[IEEE] 2025-11-19 | Change Detection in SAR Images Using HDBSCAN Clustering
[IEEE] 2025-11-19 | Transformer Intelligent Fault Diagnosis Based on Knowledge-Enhanced Data Generation and Kolmogorov-Arnold Networks
[IEEE] 2025-11-19 | On the Robust Stability of Battery-Supercapacitor Hybrid Power Sources in Electric Vehicles
[IEEE] 2025-11-19 | Study on Adaptive Overcurrent Protection for Distribution Network With Distributed Generations
[IEEE] 2025-11-19 | Brain Tumors Classification Using Vision Transformer and Convnext Models
[IEEE] 2025-11-19 | Systematic Mapping Study on AI Integration in CI/CD Pipelines
[IEEE] 2025-11-19 | Detection of COVID-19 epidemic outbreak using Attention Mechanism Capsule Network
[IEEE] 2025-11-19 | Novel Triple Band Bandpass Filter Designed for WiMAX Communication Systems
[IEEE] 2025-11-19 | Deadbeat Control of Synchronous Reluctance Motor Adopting Nonlinear Flux Linkage Model
[IEEE] 2025-11-19 | Automated machine learning for maritime accident analysis: A case study
[IEEE] 2025-11-19 | PV Hosting Capacity Analysis in Distribution Systems with Uncertain Demand and Weather Conditions
[IEEE] 2025-11-19 | Simulation Study of Electric Drive Vibration Working Condition of Flexible Tracked Vehicle Based on RecurDyn
[IEEE] 2025-11-19 | Numerical simulation of turbulent flow through a wastewater bar screen
[IEEE] 2025-11-19 | Towards Sustainable Oil Extraction: GAMS Based Battery Sizing Optimization in PV Hybrid Sucker Rod Pump System
[IEEE] 2025-11-19 | A Lightweight Hybrid Prediction Framework for Remaining Useful Life Based on CS-TCN-SAPINN
[IEEE] 2025-11-19 | Deep Learning for Schizophrenia Diagnosis from EEG Signals: A Comparative Study of Time-Domain vs. Frequency-Domain Models
[IEEE] 2025-11-19 | Discrete Orthogonal Moments-Based Deep Clustering: A Racah Polynomials and Cauchy Distribution Approach
[IEEE] 2025-11-19 | Research On The Diagnosis Of Reasons For Misoperation And Refusal Of Protection Based On Online Data And The Warning Technology For Hidden Dangers
[IEEE] 2025-11-19 | Distributed Non-Coherent Spiral Sar Imaging With Random Rf Illumination
[IEEE] 2025-11-19 | Predicting Groundwater Levels with Long Short-Term Memory (LSTM) Networks and Seasonal Pattern Classification
[ACM] 2025-11-19 | Inferring Input Grammars from Code with Symbolic Parsing
[IEEE] 2025-11-19 | Addressing Human-Robot Symbiosis via Bilevel Optimization of Robotic Knee Prosthesis Control_supp1-3634368.pdf
[IEEE] 2025-11-19 | Frequency-Domain Nonlinear Self-Interference Cancellation in Full-Duplex Zero-IF Transceivers: From Algorithm to Prototype
[IEEE] 2025-11-19 | Suppressing the Back-Gating Effect of Normally-Off p-GaN Monolithic Bidirectional Switch on 6-Inch Sapphire for Compact Power Conversion Systems
[IEEE] 2025-11-19 | Design of An Intelligent Pixel Readout ASIC with ADC-less In-sensor Computing based on Binary-Weight Analog Neural Network for Hybrid X-Ray Imaging Detectors
[IEEE] 2025-11-19 | Enhancing Mathematical Reasoning Through Autonomously Learning Knowledge
[IEEE] 2025-11-19 | Combining airborne LiDAR data and optical Imagery for improved national-scale beach topography estimation: a case study in New Zealand
[IEEE] 2025-11-19 | Technical Program Committee
[IEEE] 2025-11-19 | Copyright and Reprint Permission
[IEEE] 2025-11-19 | ICOA 2025 Cover Page
[IEEE] 2025-11-19 | TELSIKS 2025 Breaker Page
[IEEE] 2025-11-19 | Client Selection in Federated Learning With Differential Privacy-Based Data Stream
[IEEE] 2025-11-19 | Low Complexity High Speed Channel Estimation for OTFS on System on Chip
[IEEE] 2025-11-19 | Enhanced Adaptive Artificial Potential Field for UAV Navigation in Dynamic 3D Environments with Lightweight Spherical Obstacle Map
[IEEE] 2025-11-19 | Development of an Educational Fact-Checking Game to Improve Digital Information Literacy
[IEEE] 2025-11-19 | A Novel RFI Detection Method for Multi-Channel Hrws SAR Systems in Azimuth
[IEEE] 2025-11-19 | KneeRAC: Retrieval-Augmented Classification for Grading Knee Osteoarthritis on Radiographs
[IEEE] 2025-11-19 | Grid Strength Assessment for Floating PV Integration at 150 kV Using SCR and WSCR
[IEEE] 2025-11-19 | A 6-14 Gb/S Single-Loop Referenceless CDR Without Separate FD
[IEEE] 2025-11-19 | Classification of American Sign Language Using EfficientNETV2B0 Architecture
[IEEE] 2025-11-19 | A Multi-Branch Network for SAR Ship Detection
[IEEE] 2025-11-19 | A Hybrid Charging Station Integrating Energy Storage and Photovoltaic Systems
[IEEE] 2025-11-19 | Transmission Network Expansion Planning Considering Integration of Offshore Wind Power
[IEEE] 2025-11-19 | Reliability Analysis Method for Multi-Fault Modes of Turbofan Engines Based on the Multi-Domain Unified Model
[IEEE] 2025-11-19 | Effects of Non-Torque Loads on Planetary Gear Systems
[IEEE] 2025-11-19 | Multi-Source Data Driven Parallel Branch VIT Intelligent Diagnosis Method for Rolling Bearing Faults
[IEEE] 2025-11-19 | Design of Non-Contact Vibration Monitoring System for Extra-High Voltage Transformer Based on Machine Vision
[IEEE] 2025-11-19 | A Winding Reconfigured Motor Optimization Method Based on Hybrid Surrogate Model
[IEEE] 2025-11-19 | Imaging Biomarkers of the Hippocampus and Its Subfields for Alzheimer’s Disease Diagnosis
[IEEE] 2025-11-19 | An Aviation Bearing Quality Monitoring Method Based on an Improved Statistical Parameter Calculation Theory
[IEEE] 2025-11-19 | Electromagnetic Compatibility Analysis and Protective Structure Design of Service Robots in High-Voltage Substation Environments
[IEEE] 2025-11-19 | Integrated Decision Support System for Hemodialysis Patient Assessment: Combining Deep Learning-Based Peripheral Edema Detection with Clinical Parameter Scoring
[IEEE] 2025-11-19 | Development and Experimental Evaluation of a Vibration-Based Adhesion System for Miniature Wall-Climbing Robots
[IEEE] 2025-11-19 | A Blockchain and InterPlanetary File System (IPFS) Based Smart Contract Framework for Preventing Certificate Fraud in Academia
[IEEE] 2025-11-19 | Inductive Coupled Coils Design and Analysis for Electric Vehicle Wireless Charging
[IEEE] 2025-11-19 | The Influence of Process Parameters on the Geometric Characteristics of Laser Wire Additive Manufacturing Cladding Tracks
[IEEE] 2025-11-19 | A Fault Diagnosis Method of Ball Screw Based on Image Coding and Multi-modal Feature Fusion
[IEEE] 2025-11-19 | Co-activation Patterns Reveal Aberrant Brain Network Dynamics Across Different Stages of Alzheimer’s Disease
[IEEE] 2025-11-19 | The Influence of Input Buffer Size on Neural Network Performance in LEO Satellite Channel Forecasting
[IEEE] 2025-11-19 | Optimized Nonlinear High-Frequency Injection for Sensorless PMSM in Low-Speed Industrial Servo Systems
[IEEE] 2025-11-19 | Artificial Intelligence. Invasion. Empathy in a Human-Machine World.
[IEEE] 2025-11-19 | Low-Cost Continuous Blood Pressure Monitoring Using Dual Photoplethysmography with MAX30102 Sensors
