[2026-03-19 09:37:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-18
正在获取论文...
[arXiv] 2026-03-18 | On the triviality and non-triviality of the automorphism group of a skew brace
[IEEE] 2026-3-18 | A Cluster-Wise Response Aggregation-Based Privacy Preservation Strategy for Pool Energy Market Participation
[IEEE] 2026-3-18 | Integration of Decoupling Capacitors into a Standard EasyPACK SiC Six-Switch Module: Design, Analysis, and Validation
[IEEE] 2026-3-18 | An Explainable, Digital-Twin-Assisted Paradigm for Self-Reconfiguring and Energy-Resilient Autonomous Transportation
[IEEE] 2026-3-18 | First-Principle Investigation of Optical Responses in Pristine and Oxygen- Modified g- C
                    <sub>3</sub>
                    N
                    <sub>4</sub>
[IEEE] 2026-3-18 | A Novel High-Accuracy Interturn Fault Diagnosis Technique for Switched Reluctance Motors Based on Inductance Profile and Superposition Principle
[IEEE] 2026-3-18 | How Composite Metamorphic Relations Enhance Test Effectiveness of DNN Testing: An Empirical Study
[IEEE] 2026-3-18 | Analytical and Experimental Validation of Wireless Authentication through Enhanced RF Fingerprints of Chaotic Antenna Arrays
[IEEE] 2026-3-18 | Lightweight CNN for Fingerprint Spoof Detection in Resource-Constrained Environments
[IEEE] 2026-3-18 | Investigating the Factors Affecting University Students' Adoption of Generative AI through PLS-SEM and Machine Learning
[IEEE] 2026-3-18 | Stock Price Prediction and Investment Recommendations using Deep Learning
[ACM] 2026-3-18 | Athlete Action Recognition and Warm-up Scheme Optimization Based on Multimodal Fusion and Spatio-temporal Attention
[ACM] 2026-3-18 | AI-Based System for Dance Movement Correction and Feedback
[IEEE] 2026-3-18 | Table of Contents
[IEEE] 2026-3-18 | Towards Substation Semantic Segmentation: A benchmark dataset and a cross-attention embedded hierarchical network
[IEEE] 2026-3-18 | Thank You for Your Authorship
[IEEE] 2026-3-18 | Understanding Large Language Models in Your Pockets: Performance Study on COTS Mobile Devices
[IEEE] 2026-3-18 | Multi-coil eddy current sensor for non-destructive testing of carbon fiber-reinforced structures
[IEEE] 2026-3-18 | Dynamic Hypernetwork Grouping with Diffusion-Based Sampler for Heterogeneous Federated Intrusion Detection_supp1-3674493.pdf
[IEEE] 2026-3-18 | Insecurity of Forward Secure Equality Test for Secure Data Sharing in Healthcare Systems
[IEEE] 2026-3-18 | Hierarchical Multimodal Motion Control of Magnetic Pivot-Walking Millirobotic-Grippers for Autonomous Target Acquisition in Complex Terrains
[IEEE] 2026-3-18 | Front Cover
[IEEE] 2026-3-18 | Paths to “Informatik”: Values, Machines, Sciences
[IEEE] 2026-3-18 | FADEG: Feature-Adaptive Asymmetric Dynamic Reweighting GNN Ensemble-Based Intrusion Detection for Power Systems
[IEEE] 2026-3-18 | Non-Invasive Early Detection of Lithium-Ion Battery Heating Using CAN–BMS Temperature Forecasting
[IEEE] 2026-3-18 | Design of Pedal Sensor Simulating Signal on Brake Control Algorithm HIL Test Platform for Civil Aircraft
[IEEE] 2026-3-18 | AI-Enabled Posthumous Identity Protection Using Advanced Cryptographic and Governance Mechanisms
[IEEE] 2026-3-18 | Explainable Ensemble Learning for Environmental, Social, Governance Score Prediction Through Rule Extraction and Pruning
[IEEE] 2026-3-18 | Q-Learning-Based Mobility-Aware Offloading for Multi-Tier Vehicular Edge and Cloud Networks
[IEEE] 2026-3-18 | Real-Time Water Fraud Detection Using Face Recognition and Entry-Exit Monitoring
[IEEE] 2026-3-18 | A Review on Trends and Challenges in Fake News Detection Using Machine Learning and Deep Learning Approaches
[IEEE] 2026-3-18 | N Truths and a Lie: Consistency-based Backdoor Defense for Vertical Federated Learning
[IEEE] 2026-3-18 | Quantum-Ready ALU: Optimized Design Using Reversible Logic with RTL Design and FPGA Implementation
[IEEE] 2026-3-18 | Object Detection and Recognition Framework Using Deep Learning Techniques
[IEEE] 2026-3-18 | MDCA Plate: A Two Stage License Plate Recognition System with Channel Attention and Multi-Dilation Features
[IEEE] 2026-3-18 | DSTD-YOLOv8: Enhanced YOLOv8 with Dense Small Target Detection Model for UAV Aerial Images
[IEEE] 2026-3-18 | 2025 3rd International Conference on Power and Renewable Energy Engineering (PREE)
[IEEE] 2026-3-18 | A Study on Developing an Affordable 2-DoF Upper-Limb Rehabilitation Robot
[IEEE] 2026-3-18 | Research on Optimization of Composite Laminate Ply Sequence Based on Composite Ply Database
[IEEE] 2026-3-18 | Identifying Website Applications Through Zero-Content URL Classification
[IEEE] 2026-3-18 | Agro-Waste-Derived Biochar as an Efficient and Sustainable Material for Wastewater Treatment
[IEEE] 2026-3-18 | An Ultralow
                    <i>
                      R
                      <sub>on,sp</sub>
                    </i>
                    Accumulation LDMOS with High Process and Application Compatibility
[IEEE] 2026-3-18 | Oscillating Eel Robots that Leverage Collisions for Controllable Motions_supp1-3674679.mp4
[IEEE] 2026-3-18 | Evaluating Data Retrieval and Quality in Pakistani High Court Systems: A Computational Approach
[IEEE] 2026-3-18 | Broadband Photodetector Based on SnS
                    <sub>2</sub>
                    /MoS
                    <sub>2</sub>
                    /CuO/WSe
                    <sub>2</sub>
                    Multilayer Structure
[IEEE] 2026-3-18 | A Closed-Loop Adaptive System for Personalized Yoga Therapy Using Computer Vision
[IEEE] 2026-3-18 | Phase Selection and Analysis for Multi-frequency Multi-user RIS Systems Employing Subsurfaces in Correlated Ricean and Rayleigh Environments
[IEEE] 2026-3-18 | Solar Cell Power Plant Capacity Monitoring: A Hybrid Approach using Physics-Informed Modeling and Boosted Ensemble Machine Learning Algorithm
[IEEE] 2026-3-18 | A Bootstrapping-Optimized Framework for Semantic-Prior Guided Implicit State-Space Models in Remote Sensing Image Super-Resolution
[IEEE] 2026-3-18 | Temperature rectified refractive index sensor based on surface plasmon resonance in a tapered multimode fiber
[IEEE] 2026-3-18 | RSMA-Enabled Covert Communications Against Multiple Spatially Random Wardens
[IEEE] 2026-3-18 | URLLC-Aware Resource Allocation for IRS Backscatter-Enabled Space-Air-Ground Integrated Networks
[IEEE] 2026-3-18 | SadNet: Deep Recurrent Emotion Dynamics Model for Real-Time Sadness Recognition Using Facial Muscle Movements
[IEEE] 2026-3-18 | UAV Path Planning Method Based on Artificial Emotions
[IEEE] 2026-3-18 | Computational Study of Integrated Phased Array Antenna and Radome Structured with Huygens Metasurface
[IEEE] 2026-3-18 | Research on Key Technologies for in-Orbit Management of Spacecraft Cryogenic Propellants
[IEEE] 2026-3-18 | Unveiling Genomic Insights: Fine-Tuning LLMs for Enhanced Gene Prioritization
[IEEE] 2026-3-18 | Neural Cognitive Diagnosis Models for Intelligent Adaptive Testing: A Systematic Evidence Synthesis
[IEEE] 2026-3-18 | Multi-Label Classification of Eye Disease Using Deep Learning
[IEEE] 2026-3-18 | Comparison Analysis of the Accuracy of Machine Learning Models to Predict Customer Churn in Telecom Industry
[ACM] 2026-3-18 | Research hotspots and trends of virtual reality technology in sports injury rehabilitation: A mixed bibliometric analysis based on CiteSpace and VOSviewer
[ACM] 2026-3-18 | Automated Analysis and Validation of Spatiotemporal Consistency in Team Routines of Artistic Swimming
[IEEE] 2026-3-18 | Biclique Percolation Communities Computation on Temporal Bipartite Graphs
[IEEE] 2026-3-18 | A Formal Framework for Reactive Heterogeneous Multirobot Task Allocation in Uncertain Semantic Environments
[IEEE] 2026-3-18 | Second-Life Batteries as Enablers of Sustainable Electric Vehicle Infrastructure: Opportunities and Future Directions
[IEEE] 2026-3-18 | Service Composition for Satellite Computing
[IEEE] 2026-3-18 | DARS: Dynamic Reliability-Aware Routing and Scheduling for Fault-Tolerant TSN
[IEEE] 2026-3-18 | CMCap: Cross-modal Meta-captioning for Few-shot Remote Sensing Image Captioning_supp1-3674723.pdf
[IEEE] 2026-3-18 | Enhancement of 6T CNFET SRAM Performance: A Comparison of Traditional and Stacking Methods in 45nm Technology
[IEEE] 2026-3-18 | SSRFense: A Multi-Layered SSRF Detection and Defense System for Kubernetes Microservices
[IEEE] 2026-3-18 | A Comprehensive Multi-Model Framework for Lung Cancer Image Classification Integrating Advanced Deep Learning and Explainable AI
[IEEE] 2026-3-18 | Performance Evaluation of Lane Change Maneuvers in Self-Driving Vehicles: A Simulation-Based Approach
[IEEE] 2026-3-18 | List of Reviewers
[IEEE] 2026-3-18 | Improving Content Dissemination in Named Data Networking through Broadcast Leave-Copy-Down Caching
[IEEE] 2026-3-18 | Secure Image Encryption Using 5D Hyper-Chaotic Keystream and 3D Pixel Scrambling with Adaptive Confusion-Diffusion
[IEEE] 2026-3-18 | Sparse Deep Neural Networks for Pubic Symphysis-Fetal Head Segmentation
[IEEE] 2026-3-18 | Committees
[IEEE] 2026-3-18 | Death Prediction of Heart Failure Patients Using Machine Learning Techniques
[IEEE] 2026-3-18 | Front Cover
[IEEE] 2026-3-18 | Title Page
[IEEE] 2026-3-18 | Synthesized sgRNA Databases with Optimal GC-Content as Davenport-Schinzel Sequences
[IEEE] 2026-3-18 | User Profiles and Perceptions for Predicting Technology Acceptance in Border Control Technologies from Online Social Networks
[IEEE] 2026-3-18 | Multi-Level Deep CNN for Glaucoma Detection and Classification
[IEEE] 2026-3-18 | Achieving Real-Time Emotion Recognition in Speech: A Hybrid Deep Learning Approach with 22ms Inference
[IEEE] 2026-3-18 | RL Based Beamforming Optimization for 3D Pinching Antenna Assisted ISAC Systems
[IEEE] 2026-3-18 | An AI-Powered Voice Assistant for Health and Wellness Monitoring Using CNN-BILSTMAttention
共写入 200 条记录，保存到 papers/paper2026-03-18.json。
论文获取成功，文件路径: papers/paper2026-03-18.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | On the triviality and non-triviality of the automorphism group of a skew brace
[NO] 2/200 | Phonon circular birefringence and polarization-filter in Magnetic Topological Insulators
[NO] 3/200 | Wasserstein-type Gaussian Process Regressions for Input Measurement Uncertainty
[NO] 4/200 | Engineering strong coupling with molecular coatings in optical nanocavities
[NO] 5/200 | Asymptotic linear stability of columnar vortices driven by Coriolis force
[NO] 6/200 | Thermodynamic accessibility of Li-Mn-Ti-O cation disordered rock-salt phases
[NO] 7/200 | On the sensitivity of the subspace predictor to behavioral perturbations
[NO] 8/200 | Variational Rectification Inference for Learning with Noisy Labels
[NO] 9/200 | Pathology-Aware Multi-View Contrastive Learning for Patient-Independent ECG Reconstruction
[NO] 10/200 | $I$-Maximal Variation of Hodge Structure and Jacobian Rings
[NO] 11/200 | Graph-Native Cognitive Memory for AI Agents: Formal Belief Revision Semantics for Versioned Memory Architectures
[NO] 12/200 | LAAF: Logic-layer Automated Attack Framework A Systematic Red-Teaming Methodology for LPCI Vulnerabilities in Agentic Large Language Model Systems
[NO] 13/200 | Full Stack Navigation, Mapping, and Planning for the Lunar Autonomy Challenge
[NO] 14/200 | Neuron-Level Emotion Control in Speech-Generative Large Audio-Language Models
[NO] 15/200 | ListK: Semantic ORDER BY and LIMIT K with Listwise Prompting
[NO] 16/200 | Crossover effects on the phase transitions phenomena translated by arborecences and spectral properties
[NO] 17/200 | Detecting the Machine: A Comprehensive Benchmark of AI-Generated Text Detectors Across Architectures, Domains, and Adversarial Conditions
[NO] 18/200 | Distributed Adaptive Control for DC Power Distribution in Hybrid-Electric Aircraft: Design and Experimental Validation
[NO] 19/200 | Moduli spaces and the algebra of conformal blocks
[NO] 20/200 | Language on Demand, Knowledge at Core: Composing LLMs with Encoder-Decoder Translation Models for Extensible Multilinguality
[NO] 21/200 | Inducing Epistemological Humility in Large Language Models: A Targeted SFT Approach to Reducing Hallucination
[NO] 22/200 | A lightweight framework for characterising extreme precipitation events in climate ensembles
[NO] 23/200 | Classification of Smooth Alignable Voss Surfaces
[NO] 24/200 | Tightening Cosmological Constraints Within and Beyond $Λ$CDM Using Gamma-Ray Bursts Calibrated with Type Ia Supernovae
[NO] 25/200 | Cyberlanguage: Native Communication for the Cyber-Physical-Social-Thinking Fusion Space
[NO] 26/200 | UAV-CB: A Complex-Background RGB-T Dataset and Local Frequency Bridge Network for UAV Detection
[NO] 27/200 | Kinetic Sobolev Spaces
[NO] 28/200 | An approximation notion between P and FPTAS
[NO] 29/200 | AR-CoPO: Align Autoregressive Video Generation with Contrastive Policy Optimization
[NO] 30/200 | Multi-stage Flow Scheduling for LLM Serving
[NO] 31/200 | ${H}$-linear magnetoresistance in the ${T^2}$ resistivity regime of overdoped infinite-layer nickelate La$_{1-x}$Sr$_{x}$NiO$_2$
[NO] 32/200 | Large Language Models as a Semantic Interface and Ethical Mediator in Neuro-Digital Ecosystems: Conceptual Foundations and a Regulatory Imperative
[NO] 33/200 | KMTNet Synoptic Survey of Southern Sky II: Data Reduction and Real-Time Transient Detection Pipeline
[NO] 34/200 | The Phasor Transformer: Resolving Attention Bottlenecks on the Unit Circle
[NO] 35/200 | Lower bounds on the blowup rate of vorticity in the Euler equations
[NO] 36/200 | General circuit compilation protocol into partially fault-tolerant quantum computing architecture
[NO] 37/200 | The Law of Large Numbers for Time-inhomogeneous Markov Chains under General Conditions
[YES] 38/200 | From Digital Twins to World Models:Opportunities, Challenges, and Applications for Mobile Edge General Intelligence
[NO] 39/200 | Mutually Causal Semantic Distillation Network for Zero-Shot Learning
[NO] 40/200 | Promotion and rowmotion in rational Catalan combinatorics
[NO] 41/200 | Harnessing the Power of Foundation Models for Accurate Material Classification
[NO] 42/200 | PJB: A Reasoning-Aware Benchmark for Person-Job Retrieval
[NO] 43/200 | VisionNVS: Self-Supervised Inpainting for Novel View Synthesis under the Virtual-Shift Paradigm
[NO] 44/200 | Material Magic Wand: Material-Aware Grouping of 3D Parts in Untextured Meshes
[NO] 45/200 | GPUMDkit: A User-Friendly Toolkit for GPUMD and NEP
[NO] 46/200 | PACE-RAG: Patient-Aware Contextual and Evidence-based Policy RAG for Clinical Drug Recommendation
[NO] 47/200 | Weakly stable irreducible Yang-Mills fields over $S^4$
[NO] 48/200 | Quantum Simulation of Non-Hermitian Linear Response
[NO] 49/200 | Empirical Likelihood Inference for Sen and Sen--Shorrocks--Thon Indices
[NO] 50/200 | DexEXO: A Wearability-First Dexterous Exoskeleton for Operator-Agnostic Demonstration and Learning
[NO] 51/200 | A Proposal-Free Query-Guided Network for Grounded Multimodal Named Entity Recognition
[NO] 52/200 | Ruyi2.5 Technical Report
[NO] 53/200 | Symphony: A Cognitively-Inspired Multi-Agent System for Long-Video Understanding
[NO] 54/200 | Beyond bouba/kiki: Multidimensional semantic signals are deeply woven into the fabric of natural language
[NO] 55/200 | WINFlowNets: Warm-up Integrated Networks Training of Generative Flow Networks for Robotics and Machine Fault Adaptation
[NO] 56/200 | Optical variability and optical--mid-infrared dust lags in Type~1 changing-look AGNs
[YES] 57/200 | Near-Field NLOS Localization via Position-Unknown HRIS:From Self-Localization to Target Positioning
[NO] 58/200 | SEAL-Tag: Self-Tag Evidence Aggregation with Probabilistic Circuits for PII-Safe Retrieval-Augmented Generation
[NO] 59/200 | Forest webs and pattern avoidance
[NO] 60/200 | Classifier Pooling for Modern Ordinal Classification
[NO] 61/200 | Strain-driven spin mixing and dark-exciton recombination in a neutral Ni2+ doped quantum dot
[NO] 62/200 | Towards Infinitely Long Neural Simulations: Self-Refining Neural Surrogate Models for Dynamical Systems
[NO] 63/200 | A heterogeneous nonlocal advection--diffusion system
[NO] 64/200 | Concept-to-Pixel: Prompt-Free Universal Medical Image Segmentation
[NO] 65/200 | Global Uniqueness of Subsonic Flows for the Steady Euler-Poisson System
[NO] 66/200 | Critical Scaling of Finite-Size Fluctuations around Marginal Stability in Long-Range Hamiltonian Systems
[NO] 67/200 | Pre-auction strategic communication
[NO] 68/200 | Predicting Trajectories of Long COVID in Adult Women: The Critical Role of Causal Disentanglement
[NO] 69/200 | Limiting behavior of principal eigenvalues for a class of mixed boundary value problems as the measure of the support domain goes to zero
[NO] 70/200 | Reconfigurable circuit for mode tunable topological structured light
[NO] 71/200 | From Virtual Environments to Real-World Trials: Emerging Trends in Autonomous Driving
[NO] 72/200 | AERR-Nav: Adaptive Exploration-Recovery-Reminiscing Strategy for Zero-Shot Object Navigation
[NO] 73/200 | Fields with no everywhere good abelian varieties
[NO] 74/200 | Chiral-Induced Spin Selectivity Effect in a 1 nm Thin 1,1'-Binaphthyl-2,2'-diyl Hydrogenphosphate Self-Assembled Monolayer on Nickel Oxide
[NO] 75/200 | A 3D physico-chemical model of a pre-stellar core. II. Dynamic chemical evolution in a pre-stellar core model using tracer particles
