[2026-01-14 09:18:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-13
正在获取论文...
[arXiv] 2026-01-13 | Gyral-Sulcal-Net: An Integrated Network Representation of Brain Folding Patterns
[arXiv] 2026-01-13 | Cost scaling of MPS and TTNS simulations for 2D and 3D systems with area-law entanglement
[arXiv] 2026-01-13 | Intra-tree Column Subsampling Hinders XGBoost Learning of Ratio-like Interactions
[arXiv] 2026-01-13 | Symmetry-aware Conditional Generation of Crystal Structures Using Diffusion Models
[arXiv] 2026-01-13 | Baryon Acoustic Oscillations from the C IV Forest with DESI DR2
[arXiv] 2026-01-13 | Lepton Magnetic Moments: What They Tell Us
[arXiv] 2026-01-13 | AdaJudge: Adaptive Multi-Perspective Judging for Reward Modeling
[arXiv] 2026-01-13 | Local-Global Feature Fusion for Subject-Independent EEG Emotion Recognition
[arXiv] 2026-01-13 | Multi-level charge fluctuations in a Si/SiGe double quantum dot device
[arXiv] 2026-01-13 | Two infinite families of elliptic curves with Mordell-Weil rank at least $3$
[arXiv] 2026-01-13 | Rewriting Video: Text-Driven Reauthoring of Video Footage
[arXiv] 2026-01-13 | MASH: Evading Black-Box AI-Generated Text Detectors via Style Humanization
[arXiv] 2026-01-13 | VideoHEDGE: Entropy-Based Hallucination Detection for Video-VLMs via Semantic Clustering and Spatiotemporal Perturbations
[arXiv] 2026-01-13 | EviNAM: Intelligibility and Uncertainty via Evidential Neural Additive Models
[arXiv] 2026-01-13 | Substellar population of the young massive cluster RCW 36 in Vela
[arXiv] 2026-01-13 | Contrastive and Multi-Task Learning on Noisy Brain Signals with Nonlinear Dynamical Signatures
[arXiv] 2026-01-13 | Reducing Compute Waste in LLMs through Kernel-Level DVFS
[arXiv] 2026-01-13 | Symmetry-Adapted State Preparation for Quantum Chemistry on Fault-Tolerant Quantum Computers
[arXiv] 2026-01-13 | How Hard Is It to Rig a Tournament When Few Players Can Beat or Be Beaten by the Favorite?
[arXiv] 2026-01-13 | Keyframe-based Dense Mapping with the Graph of View-Dependent Local Maps
[arXiv] 2026-01-13 | Advances in All-Silicon Waveguides for Terahertz Integration
[arXiv] 2026-01-13 | STAR: Detecting Inference-time Backdoors in LLM Reasoning via State-Transition Amplification Ratio
[arXiv] 2026-01-13 | Ample divisor complements, Floer spectra, and relative Gromov-Witten theory
[arXiv] 2026-01-13 | A new magnitude--redshift relation based on SNe Ia
[arXiv] 2026-01-13 | An IoT-Enabled Smart Aquarium System for Real-Time Water Quality Monitoring and Automated Feeding
[arXiv] 2026-01-13 | DiffMM: Efficient Method for Accurate Noisy and Sparse Trajectory Map Matching via One Step Diffusion
[arXiv] 2026-01-13 | Baiting AI: Deceptive Adversary Against AI-Protected Industrial Infrastructures
[arXiv] 2026-01-13 | Do You Understand How I Feel?: Towards Verified Empathy in Therapy Chatbots
[arXiv] 2026-01-13 | SUMMPILOT: Bridging Efficiency and Customization for Interactive Summarization System
[arXiv] 2026-01-13 | Metric properties of electrical networks and the graph reconstruction problems
[arXiv] 2026-01-13 | SDP: A Unified Protocol and Benchmarking Framework for Reproducible Wireless Sensing
[arXiv] 2026-01-13 | M3-BENCH: Process-Aware Evaluation of LLM Agents Social Behaviors in Mixed-Motive Games
[arXiv] 2026-01-13 | Divergent series in Gauss's diary and their extensions
[arXiv] 2026-01-13 | Developing Predictive and Robust Radiomics Models for Chemotherapy Response in High-Grade Serous Ovarian Carcinoma
[arXiv] 2026-01-13 | Geometric Constraint on Residue Phases: Resolving the N(2190) Anomaly and Diagnosing Exotic States
[arXiv] 2026-01-13 | Large Multimodal Models for Embodied Intelligent Driving: The Next Frontier in Self-Driving?
[arXiv] 2026-01-13 | Tunable, high pulse energy and narrow linewidth gas-filled fiber laser across near- and mid-infrared
[arXiv] 2026-01-13 | Teaching Robots Like Dogs: Learning Agile Navigation from Luring, Gesture, and Speech
[arXiv] 2026-01-13 | MMLGNet: Cross-Modal Alignment of Remote Sensing Data using CLIP
[arXiv] 2026-01-13 | Rigorous phase-error-estimation security framework for QKD with correlated sources
[arXiv] 2026-01-13 | Hybrid Distillation with CoT Guidance for Edge-Drone Control Code Generation
[arXiv] 2026-01-13 | Kantorovich Distance via Spanning Trees: Properties and Algorithms
[arXiv] 2026-01-13 | Electric field-driven Rayleigh-Taylor-like instability in binary complex plasma
[arXiv] 2026-01-13 | A Qualitative Model to Reason about Object Rotations (QOR) applied to solve the Cube Comparison Test (CCT)
[arXiv] 2026-01-13 | Thematic Working Group 5 -- Artificial Intelligence (AI) literacy for teaching and learning: design and implementation
[arXiv] 2026-01-13 | Collinear Magnetic Structure in the Diamond Network Magnet EuTi$_2$Al$_{20}$
[arXiv] 2026-01-13 | Determining the Winner in Alternating-Move Games
[arXiv] 2026-01-13 | Impact of Tobacco Advertising Restrictions in Switzerland: A Quasi-Experimental Study on the Effect of Billboard Bans on Smoking
[arXiv] 2026-01-13 | Quantum fluctuations of vacuum versus photon-pairs concerning Spontaneous-Parametric Down-Conversion and Four-Wave-Mixing
[arXiv] 2026-01-13 | Effect of Interatomic Potential Choice on Fracture Modes of Graphene with Parallel Cracks
[arXiv] 2026-01-13 | Detecting Mental Manipulation in Speech via Synthetic Multi-Speaker Dialogue
[arXiv] 2026-01-13 | From Antenna Abundance to Antenna Intelligence in 6G Gigantic MIMO Systems
[arXiv] 2026-01-13 | ActiveVLA: Injecting Active Perception into Vision-Language-Action Models for Precise 3D Robotic Manipulation
[arXiv] 2026-01-13 | Minimal Polynomials of Generalized Heisenberg Groups
[arXiv] 2026-01-13 | Linear Canonical-Ensemble Quantum Monte Carlo: From Dilute Fermi Gas to Flat-Band Ferromagnetism
[arXiv] 2026-01-13 | Dissipative ground-state preparation of a quantum spin chain on a trapped-ion quantum computer
[arXiv] 2026-01-13 | Learning a Stochastic Differential Equation Model of Tropical Cyclone Intensification from Reanalysis and Observational Data
[arXiv] 2026-01-13 | MemRec: Collaborative Memory-Augmented Agentic Recommender System
[arXiv] 2026-01-13 | A Methodological Analysis of Empirical Studies in Quantum Software Testing
[arXiv] 2026-01-13 | Universal Transport Theory for Paired Fractional Quantum Hall States in the Quantum Point Contact Geometry
[arXiv] 2026-01-13 | Ministral 3
[arXiv] 2026-01-13 | On Deciding Constant Runtime of Linear Loops
[arXiv] 2026-01-13 | Magnetization reversal mechanism of double-helix nanowires probed by dark-field magneto-optical Kerr effect
[arXiv] 2026-01-13 | Characterizing Personality from Eye-Tracking: The Role of Gaze and Its Absence in Interactive Search Environments
[arXiv] 2026-01-13 | Hunt for $X(17)$
[arXiv] 2026-01-13 | Sampling recovery on classes defined by integral operators and sparse approximation with adaptive dictionaries
[arXiv] 2026-01-13 | REVNET: Rotation-Equivariant Point Cloud Completion via Vector Neuron Anchor Transformer
[arXiv] 2026-01-13 | Simplicity of Augmentation Submodules in Monoids with 0-Minimal Ideals of Rank Greater than Two
[arXiv] 2026-01-13 | Beyond uniform screening: electrostatic heterogeneity dictates solution structure of complex macromolecules
[arXiv] 2026-01-13 | Sketch-Based Facade Renovation With Generative AI: A Streamlined Framework for Bypassing As-Built Modelling in Industrial Adaptive Reuse
[arXiv] 2026-01-13 | Closed-Loop LLM Discovery of Non-Standard Channel Priors in Vision Models
[arXiv] 2026-01-13 | Robust CAPTCHA Using Audio Illusions in the Era of Large Language Models: from Evaluation to Advances
[arXiv] 2026-01-13 | A decentralized academic certificate issuance system using smart contracts on the tron network
[arXiv] 2026-01-13 | Algorithmic Stability in Infinite Dimensions: Characterizing Unconditional Convergence in Banach Spaces
[arXiv] 2026-01-13 | STAGE: A Benchmark for Knowledge Graph Construction, Question Answering, and In-Script Role-Playing over Movie Screenplays
[arXiv] 2026-01-13 | What If TSF: A Benchmark for Reframing Forecasting as Scenario-Guided Multimodal Forecasting
[arXiv] 2026-01-13 | Temporal Fusion Nexus: A task-agnostic multi-modal embedding model for clinical narratives and irregular time series in post-kidney transplant care
[arXiv] 2026-01-13 | GraphFusionSBR: Denoising Multi-Channel Graphs for Session-Based Recommendation
[arXiv] 2026-01-13 | Toolchain for shuttling trapped-ion qubits in segmented traps
[arXiv] 2026-01-13 | Surgical Refusal Ablation: Disentangling Safety from Intelligence via Concept-Guided Spectral Cleaning
[arXiv] 2026-01-13 | Degree-preserving Godel logics with an involution: intermediate logics and (ideal) paraconsistency
[arXiv] 2026-01-13 | Regularity theory for sub-critical $p$-parabolic systems with measurable coefficients
[arXiv] 2026-01-13 | An efficient mixed-integer linear programming formulation for solving influence diagrams
[arXiv] 2026-01-13 | An Under-Explored Application for Explainable Multimodal Misogyny Detection in code-mixed Hindi-English
[arXiv] 2026-01-13 | Causality of ultrafast photoionization from argon 3s using an ab initio relativistic approach
[arXiv] 2026-01-13 | Light-inducedspin-polarizeddesorptionofRbatomsfromCosurfaces
[arXiv] 2026-01-13 | Statistical Characterization and Prediction of E2E Latency over LEO Satellite Networks
[arXiv] 2026-01-13 | Dipole response in deformed halo nuclei $^{42}\mathrm{Mg}$ and $^{44}\mathrm{Mg}$
[arXiv] 2026-01-13 | On octonionic Monge-Ampère equation and pluripotential theory associated to octonionic plurisubharmonic functions of two variables
[arXiv] 2026-01-13 | Effective outdoor pathloss prediction: A multi-layer segmentation approach with weighting map
[arXiv] 2026-01-13 | Fine-Mem: Fine-Grained Feedback Alignment for Long-Horizon Memory Management
[arXiv] 2026-01-13 | Local Group analogues in a cosmological context -- I. Relating velocity structure to the cosmic web
[arXiv] 2026-01-13 | Regulatory gray areas of LLM Terms
[arXiv] 2026-01-13 | High-power beyond extreme ultraviolet FEL radiation with flexible polarization at SHINE
[arXiv] 2026-01-13 | Particle Filtering for a Class of State-Space Models with Low and Degenerate Observational Noise
[arXiv] 2026-01-13 | Large Language Models to Enhance Multi-task Drone Operations in Simulated Environments
[arXiv] 2026-01-13 | Out-of-distribution generalization of deep-learning surrogates for 2D PDE-generated dynamics in the small-data regime
[arXiv] 2026-01-13 | Owen-Shapley Policy Optimization (OSPO): A Principled RL Algorithm for Generative Search LLMs
[arXiv] 2026-01-13 | PATS: Personality-Aware Teaching Strategies with Large Language Model Tutors
[arXiv] 2026-01-13 | An Explainable Two Stage Deep Learning Framework for Pericoronitis Assessment in Panoramic Radiographs Using YOLOv8 and ResNet-50
[arXiv] 2026-01-13 | Direct detection of hydrogen reveals a new macroscopic crustal water reservoir on early Mars
[arXiv] 2026-01-13 | Tara Polaris expeditions: Sustained decadal observations of the coupled Arctic system in rapid transition
[arXiv] 2026-01-13 | Asymptotic distribution of the Betti numbers of $\overline{\mathcal{M}}_{0,n}$
[arXiv] 2026-01-13 | Self-consistent dynamical models with a finite extent -- V. Smooth radial truncations and phase-space consistency
[arXiv] 2026-01-13 | Symbolic Functional Decomposition: A Reconfiguration Approach
[arXiv] 2026-01-13 | Blockchain-Enabled Renewable Energy Certificate Trading: A Secure and Privacy-Preserving Approach
[arXiv] 2026-01-13 | IGAN: A New Inception-based Model for Stable and High-Fidelity Image Synthesis Using Generative Adversarial Networks
[arXiv] 2026-01-13 | CLaS-Bench: A Cross-Lingual Alignment and Steering Benchmark
[arXiv] 2026-01-13 | AtomMem : Learnable Dynamic Agentic Memory with Atomic Memory Operation
[arXiv] 2026-01-13 | Path-integral approach to Casimir effect with infinitely thin plates
[arXiv] 2026-01-13 | UM-Text: A Unified Multimodal Model for Image Understanding
[arXiv] 2026-01-13 | Reasoning Matters for 3D Visual Grounding
[arXiv] 2026-01-13 | The Jamneshan-Tao conjecture for finite abelian groups of bounded rank
[arXiv] 2026-01-13 | Multiplex Thinking: Reasoning via Token-wise Branch-and-Merge
[arXiv] 2026-01-13 | Price Inequality and the Growth of Harmonic Functions on Non-Positively Curved Manifolds
[arXiv] 2026-01-13 | Near-perfect photo-ID of the Hula painted frog with zero-shot deep local-feature matching
[arXiv] 2026-01-13 | Turbulent spots in hypersonic transitional planar and axisymmetric boundary layers
[arXiv] 2026-01-13 | Attosecond Path Qubits in Strong-Field Physics
[arXiv] 2026-01-13 | Condensation of area quanta ensembles with quantum statistics in Schwarzschild spacetimes
[arXiv] 2026-01-13 | A Langevin sampler for quantum tomography
[arXiv] 2026-01-13 | Memory DisOrder: Memory Re-orderings as a Timerless Side-channel
[arXiv] 2026-01-13 | Rewarding the Rare: Uniqueness-Aware RL for Creative Problem Solving in LLMs
[arXiv] 2026-01-13 | M3CoTBench: Benchmark Chain-of-Thought of MLLMs in Medical Image Understanding
[arXiv] 2026-01-13 | A free boundary problem in accretive growth
[arXiv] 2026-01-13 | Grid-Aware Charging and Operational Optimization for Mixed-Fleet Public Transit
[arXiv] 2026-01-13 | A Single-Parameter Factor-Graph Image Prior
[arXiv] 2026-01-13 | On the Algebraic Structure Underlying the Support Enumerators of Linear Codes
[arXiv] 2026-01-13 | From Rows to Reasoning: A Retrieval-Augmented Multimodal Framework for Spreadsheet Understanding
[arXiv] 2026-01-13 | Stochastic search with space-dependent diffusivity
[arXiv] 2026-01-13 | PrivGemo: Privacy-Preserving Dual-Tower Graph Retrieval for Empowering LLM Reasoning with Memory Augmentation
[arXiv] 2026-01-13 | Revisiting "Revisiting Neuron Coverage for DNN Testing: A Layer-Wise and Distribution-Aware Criterion": A Critical Review and Implications on DNN Coverage Testing
[arXiv] 2026-01-13 | Malware Detection based on API Calls: A Reproducibility Study
[arXiv] 2026-01-13 | Multivariate Polynomial Codes for Efficient Matrix Chain Multiplication in Distributed Systems
[arXiv] 2026-01-13 | Reduction of Ordered Spin Moments in Antiferromagnets of S = 5/2 Ions (Fe3+, Mn2+) Driven by Local Magnetic Excitation
[arXiv] 2026-01-13 | Nationality and Region Prediction from Names: A Comparative Study of Neural Models and Large Language Models
[arXiv] 2026-01-13 | Lessons from the Field: An Adaptable Lifecycle Approach to Applied Dialogue Summarization
[arXiv] 2026-01-13 | Non-local planelike minimizers and $Γ$-convergence of periodic energies to a local anisotropic perimeter
[arXiv] 2026-01-13 | Advancing ESG Intelligence: An Expert-level Agent and Comprehensive Benchmark for Sustainable Finance
[arXiv] 2026-01-13 | One-Loop Tensor Power Spectrum from a Non-Minimally Coupled Spectator Field during Inflation
[arXiv] 2026-01-13 | Analyzing Bias in False Refusal Behavior of Large Language Models for Hate Speech Detoxification
[arXiv] 2026-01-13 | Efficient Parameter Calibration of Numerical Weather Prediction Models via Evolutionary Sequential Transfer Optimization
[arXiv] 2026-01-13 | Destination Drone: A Comprehensive Analysis of Japanese Consumer Choice Behavior and Intentions for Drone Delivery Services
[arXiv] 2026-01-13 | TRACE: Reconstruction-Based Anomaly Detection in Ensemble and Time-Dependent Simulations
[arXiv] 2026-01-13 | Solvation Lies Within: Simulating Condensed-Phase Properties from Local Electronic Structures
[arXiv] 2026-01-13 | Automatic debiased machine learning and sensitivity analysis for sample selection models
[arXiv] 2026-01-13 | Cities at Play: Improving Equilibria in Urban Neighbourhood Games
[arXiv] 2026-01-13 | Resisting Manipulative Bots in Memecoin Copy Trading: A Multi-Agent Approach with Chain-of-Thought Reasoning
[arXiv] 2026-01-13 | Enhancing Financial Literacy and Management through Goal-Directed Design and Gamification in Personal Finance Application
[arXiv] 2026-01-13 | Coupling of Klein-Andreev Resonant States in Bi$_2$Sr$_2$CaCu$_2$O$_{8+x}$-graphene-Bi$_2$Sr$_2$CaCu$_2$O$_{8+x}$ Devices
[arXiv] 2026-01-13 | A complex analytic approach to orbifold Chern classes on singular varieties and its applications
[arXiv] 2026-01-13 | How Order-Sensitive Are LLMs? OrderProbe for Deterministic Structural Reconstruction
[arXiv] 2026-01-13 | Energy-variational solutions for geodynamical two-phase flows -- From logarithmic to double-obstacle potentials by variational convergence
[arXiv] 2026-01-13 | SafeRedir: Prompt Embedding Redirection for Robust Unlearning in Image Generation Models
[arXiv] 2026-01-13 | Interpretability and Individuality in Knee MRI: Patient-Specific Radiomic Fingerprint with Reconstructed Healthy Personas
[arXiv] 2026-01-13 | A Sharp Universality Dichotomy for the Free Energy of Spherical Spin Glasses
[arXiv] 2026-01-13 | Dust Properties of the Interstellar Object 3I/ATLAS Revealed by Optical and Near-Infrared Polarimetry
[arXiv] 2026-01-13 | Fluctuations of the Ising free energy on Erdős-Rényi graphs
[arXiv] 2026-01-13 | Regime Discovery and Intra-Regime Return Dynamics in Global Equity Markets
[arXiv] 2026-01-13 | YOLOBirDrone: Dataset for Bird vs Drone Detection and Classification and a YOLO based enhanced learning architecture
[arXiv] 2026-01-13 | Disentangling History and Propagation Dependencies in Cross-Subject Knee Contact Stress Prediction Using a Shared MeshGraphNet Backbone
[arXiv] 2026-01-13 | Interstellar Medium Modulation of Nonlinear Kinetic Alfvén Morphology in Structured Galactic Environments
[arXiv] 2026-01-13 | Enhancing Image Quality Assessment Ability of LMMs via Retrieval-Augmented Generation
[arXiv] 2026-01-13 | ORBIT: On-policy Exploration-Exploitation for Controllable Multi-Budget Reasoning
[arXiv] 2026-01-13 | AgriAgent: Contract-Driven Planning and Capability-Aware Tool Orchestration in Real-World Agriculture
[arXiv] 2026-01-13 | A youthful Titan implied by improved impact simulations
[arXiv] 2026-01-13 | SnapGen++: Unleashing Diffusion Transformers for Efficient High-Fidelity Image Generation on Edge Devices
[arXiv] 2026-01-13 | M3SR: Multi-Scale Multi-Perceptual Mamba for Efficient Spectral Reconstruction
[arXiv] 2026-01-13 | KidVis: Do Multimodal Large Language Models Possess the Visual Perceptual Capabilities of a 6-Year-Old?
[arXiv] 2026-01-13 | A Preparation Nonstationarity Loophole in Superconducting-Qubit Bell Tests
[arXiv] 2026-01-13 | Training Under Attentional Competition Produces Persistent Biases in Visual Appearance
[arXiv] 2026-01-13 | ToolACE-MCP: Generalizing History-Aware Routing from MCP Tools to the Agent Web
[arXiv] 2026-01-13 | Bifurcated Impact of Neutrino Fast Flavor Conversion on Core-collapse Supernovae Informed by Multi-angle Neutrino Radiation Hydrodynamics
[arXiv] 2026-01-13 | Optimization of maximal quantum f-divergences between unitary orbits
[arXiv] 2026-01-13 | An open-source computational framework for immersed fluid-structure interaction modeling using FEBio and MFEM
[arXiv] 2026-01-13 | A Blessing in Disguise: How DeFi Hacks Trigger Unintended Liquidity Injections into US Money Markets
[arXiv] 2026-01-13 | On Evaluation of Unsupervised Feature Selection for Pattern Classification
[arXiv] 2026-01-13 | Resumming Scattering Amplitudes for Waveforms
