[2026-03-05 09:36:59] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | New Robotic Telescope: The big eye to observe the transient Universe
[IEEE] 2026-3-4 | Optimization of Electric Bus Depot Operations through Multi-Objective Approach for Cost Minimization and Energy Efficiency
[IEEE] 2026-3-4 | Phishing Website Detection Using a Hybrid CNN–CapsNet–XGBoost–Random Forest Model for Cross-Platform Security
[IEEE] 2026-3-4 | Distributed Linear Model Predictive Control in a Multi-Agent System with Faults
[IEEE] 2026-3-4 | Automated Sleep Disorder Detection Using Machine Learning and Deep Learning Model
[IEEE] 2026-3-4 | FlashFuser: Expanding the Scale of Kernel Fusion for Compute-Intensive Operators via Inter-Core Connection
[IEEE] 2026-3-4 | CLINE: Improving Control Flow Compilation of Quantum Programs with Control Line Encoding
[IEEE] 2026-3-4 | Performance Analysis of Adaptive Sweep MPPT Algorithm for Partially Shaded PV Systems
[IEEE] 2026-3-4 | Constructing Quantum Resistant Arguments for Emerging Communication Systems over Novel Cybersecurity Risks: Applying Deep Learning with Quantum Cryptography
[IEEE] 2026-3-4 | Analysis of Trends and Innovations in Spam Comment Detection Using AI
[IEEE] 2026-3-4 | Water Quality Classification Using LightGBM: A Machine Learning Approach on a Large-Scale Dataset
[IEEE] 2026-3-4 | Recognition of Parkinson's Disease Utilizing Machine Learning
[IEEE] 2026-3-4 | Development of IoT Enabled Early Warning and Disaster Safety Management Systems
[IEEE] 2026-3-4 | Automated Gear Inspection Using Artificial Intelligence
[IEEE] 2026-3-4 | E-TradeSecure: A Hybrid ResNet-BERT Model for Detecting Intellectual Property Violations in E-Commerce Transactions
[IEEE] 2026-3-4 | An Analytical Study on Central Bank Digital Currencies (CBDCs) and Their Disruptive Effects on Traditional Financial Infrastructures
[IEEE] 2026-3-4 | Method Noise Filter based Multi Focus Image Fusion Using CNN
[IEEE] 2026-3-4 | Resilient Two Degree-of-Freedom IMC for Time Delay Attack Mitigation of Interconnected Power System
[IEEE] 2026-3-4 | FootTrack: Real-Time Player Speed and Possession Analytics in Football Using YOLOv8
[IEEE] 2026-3-4 | Two-Stage Clustering-Based Optimization for Large-Scale PV-BESS-Hydrogen Systems
[IEEE] 2026-3-4 | Design and Analysis of PCB and 3D-Printed Stators for Ironless Double-Sided Axial Flux PM Machines
[IEEE] 2026-3-4 | A Scalable IoMT Platform for Unified Medical Device Monitoring in Resource-Constrained Environments
[IEEE] 2026-3-4 | LowCarb: Carbon-Aware Scheduling of Serverless Functions
[IEEE] 2026-3-4 | "Human-Centric SAR Image Colorization for Intuitive Geospatial Decision-Making"
[IEEE] 2026-3-4 | Framework for Gym Posture Estimation Using MediaPipe and OpenCV
[IEEE] 2026-3-4 | Resilient Zero-Emission Energy Hubs: a Multi-Layer Control Approach
[IEEE] 2026-3-4 | Intelligent SDN Traffic Engineering with MADRL
[IEEE] 2026-3-4 | Intelligent Fundus Image Analysis for Early Detection and Classification of Diabetic Retinopathy
[IEEE] 2026-3-4 | Adaptive Fuzzy-Tuned Series Resistor for Fault Ride-Through in DFIG-Based Wind Turbines
[IEEE] 2026-3-4 | Scalable Tea Leaf Disease Detection Using a Fine-Tuned EfficientNetV2B3 Model
[IEEE] 2026-3-4 | PokeClinicX: Enhancing Recruitment Rate in Clinical Trials through Predictive Modeling
[IEEE] 2026-3-4 | Predicting Heart Attack Risk From Retinal Fundus Images by Using the EfficientNet-B0 Model
[IEEE] 2026-3-4 | Performance Analysis of Low RCS Structures Based on Dielectric Patterning for Radar Stealth Applications
[IEEE] 2026-3-4 | IoT-Enabled Accident Prevention System: Real-Time Detection of Sleep Deprivation, Alcohol Influence, and Heart Attack Symptoms
[IEEE] 2026-3-4 | Evaluating CNN and Transfer Learning Models for Handwritten Odia Character Recognition
[IEEE] 2026-3-4 | CityGuard: A Forensic Investigation Framework for Smart Cities
[IEEE] 2026-3-4 | Optimized ADMET-Driven Molecular Design Using GRU-GCN Architecture with Multi-Objective Optimization
[IEEE] 2026-3-4 | Task-Specific Resource Orchestration for Effective Concurrent Heterogeneous Task Completion in ISCC Systems
[IEEE] 2026-3-4 | Low Energy Building Management Using Arduino Microcontroller
[IEEE] 2026-3-4 | Two-Stage Coordinated Fault Recovery in Active Distribution Networks with Energy Storage and Controllable Loads
[IEEE] 2026-3-4 | Integrating Machine Learning and Statistical Methods: A Hybrid SVM-KNN Model for Rainfall Prediction
[IEEE] 2026-3-4 | Evolution of English Literature in the Age of Artificial Intelligence: challenges and Opportunities with socio-cultural conflicts
[IEEE] 2026-3-4 | Cambricon-GS: An Accelerator for 3D Gaussian Splatting Training With Gaussian-Pixel Hybrid Parallelism
[IEEE] 2026-3-4 | Thyroid Disease Identification via EfficientNetB2: Leveraging Deep Neural Networks for Early Detection
[IEEE] 2026-3-4 | Performance of Fast Electric Vehicle Charging Stations by Energy Storage Devices based Grid Connected Hybrid Renewable Energy Sources
[IEEE] 2026-3-4 | Two-Stage Critical Contingency Assessment for Power System Security Enhancement
[IEEE] 2026-3-4 | Hybrid Particle Swarm and Gravitational Search Optimization for Intelligent Battery Health Estimation
[IEEE] 2026-3-4 | Smart Farming Assistant: A Multilingual AI-Powered Crop Recommendation System Using Real-Time Weather and Soil Data
[IEEE] 2026-3-4 | Resilient Power Distribution Systems Through Risk-Informed Metrics and Strategic Sectionalizing Switching
[IEEE] 2026-3-4 | V-Rex: Real-Time Streaming Video LLM Acceleration via Dynamic KV Cache Retrieval
[IEEE] 2026-3-4 | Energy Management System Using AWS IoT
[IEEE] 2026-3-4 | Enhancing Short-Term Photovoltaic Cluster Power Forecasting via Spatiotemporal Generalized Weather Patterns Recognition and Dynamic Graph Convolutional Neural Networks
[IEEE] 2026-3-4 | AI-Driven Safety Monitoring for Industrial Boilers: Early Fault Detection with Contrastive Learning
[IEEE] 2026-3-4 | Enhanced Multi-Target Detection with Optimal Sparse MIMO Radar Architecture by Polynomial Interpolation Method
[IEEE] 2026-3-4 | Deployment and Beamforming Design for RIS-assisted Indoor Wireless Communication in Smart Home
[IEEE] 2026-3-4 | Error Correction Aware Dependent Task Offloading in Satellite Edge Computing
[IEEE] 2026-3-4 | Current Trends in Ultrasound Wearables: Spotlight on System Architecture_supp1-3664011.pdf
[IEEE] 2026-3-4 | Split Federated Learning-Enabled Deep Q-Networks for Generalized Path Planning in Distributed IoT Edge Platform
[IEEE] 2026-3-4 | Distributed Finite-Time SoC Estimation for Lithium-Ion Battery Packs
[IEEE] 2026-3-4 | Integration—A Major Driver of Power Electronics Innovation
[IEEE] 2026-3-4 | mCardiacDx: Radar-Driven Contactless Monitoring and Diagnosis of Atrial Fibrillation
[IEEE] 2026-3-4 | Board-Level Reliability Evaluation and Optimization of Power MOSFET Module Under Thermal Cycling Conditions
[IEEE] 2026-3-4 | 6G-Enabled Digital Twin Frameworks for Real-Time Financial Risk Prediction and Strategic Management
[IEEE] 2026-3-4 | Explanation-Guided Adversarial Training for Robust and Interpretable Models
[IEEE] 2026-3-4 | HURC-MM: Holistic Uncertainty-Responsive Control for Mobile Manipulator Grasping_supp1-3669764.mp4
[IEEE] 2026-3-4 | Electrothermal Design of Silicon-Doped Microheaters for Optical Phase Change Memory
[IEEE] 2026-3-4 | Nearly tight bounds for testing tree tensor network states
[IEEE] 2026-3-4 | Multi-domain Fusion Based Fatigued Driving Detection using Frequency-Modulated Continuous Wave radar
[IEEE] 2026-3-4 | Performance analysis of multi-user task offloading in mobile edge computing networks: A hierarchical modeling approach
[IEEE] 2026-3-4 | Dynamic distribution entropy analysis via ultrafast intracardiac echocardiography for monitoring of cardiac radiofrequency ablation_supp1-3669561.docx
[IEEE] 2026-3-4 | “X of Information” Continuum: A Survey on AI-Driven Multi-dimensional Metrics for Next-Generation Networked Systems
[IEEE] 2026-3-4 | HF-DETR: High-Frequency Feature Enhancement for Small Object Detection
[IEEE] 2026-3-4 | Supervised Anomaly Detection for Generalized Deepfake Detection_supp1-3669841.pdf
[IEEE] 2026-3-4 | Single and Multiple Open-Switch Fault Diagnosis in Electric Drives via Zero-Current Interval Analysis
[IEEE] 2026-3-4 | Ensemble Learning for Large Language Models in Text and Code Generation: A Survey
[IEEE] 2026-3-4 | A 28-nm 9-kb SRAM Computing-in-Memory Macro With Segmented Charge Sharing for Multimode MAC Operations
[IEEE] 2026-3-4 | Renewable Energy Opportunities for Green Ammonia Storage: Challenges and Opportunities
[ACM] 2026-3-5 | Health Degree Prediction of DCS Equipment Based on WOA-BP Neural Network
[IEEE] 2026-3-4 | FACE: Fully Overlapped PD Scheduling and Multi-Level Architecture Co-Exploration on Wafer
[IEEE] 2026-3-4 | SAGe: A Lightweight Algorithm-Architecture Co-Design for Mitigating the Data Preparation Bottleneck in Large-Scale Genome Sequence Analysis
[IEEE] 2026-3-4 | A Dynamic Average Consensus-Based Distributed Control for DC Microgrids Using Virtual Power Tracking
[IEEE] 2026-3-4 | Artificial Intelligence and Machine Learning Approaches for Healthcare Fraud Detection: A Review, Case Study, and Framework
[IEEE] 2026-3-4 | Default Loan Prediction Using Machine Learning
[IEEE] 2026-3-4 | Stage-Wise Power Loss Dissection of Totem-Pole Bridgeless PFC: From Simulation to Real-Time HIL Validation
[ACM] 2026-3-5 | DyVertexGAT: A Novel GNN-based Target Assignment Policy for Multi-Aircraft Combat Decision
[IEEE] 2026-3-4 | A Hybrid Sensor–Image Framework for Smart Farming Using Deep and Ensemble Learning
[IEEE] 2026-3-4 | Advancement in Ransomware Detection Using Deep Learning
[IEEE] 2026-3-4 | A Unified AI-Powered Resume Generation and ML-Based Candidate Filtering Framework for Smart Campus Recruitment
[IEEE] 2026-3-4 | An Integrated Approach to Green Cloud Solutions for Energy-Efficient Sustainable IT and Carbon Footprint Reduction
[IEEE] 2026-3-4 | An IoT-Driven Cardiovascular Disease Detection Model Optimized Using Genetic Algorithm and SVM
[IEEE] 2026-3-4 | Combined AES-256 Encryption with MATLAB and Verilog HDL Biometric Authentication
共写入 200 条记录，保存到 papers/paper2026-03-04.json。
论文获取成功，文件路径: papers/paper2026-03-04.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | New Robotic Telescope: The big eye to observe the transient Universe
[NO] 2/200 | Nine-element machine-learned interatomic potentials for multiphase refractory alloys
[NO] 3/200 | HBRB-BoW: A Retrained Bag-of-Words Vocabulary for ORB-SLAM via Hierarchical BRB-KMeans
[NO] 4/200 | Generating Exceptional Knots and Links with Arbitrary Braiding Topology
[NO] 5/200 | Atomic-scale Stark-shift spectroscopy and microscopy of organic molecules
[NO] 6/200 | Precise measurement of the form factors in $D^0\rightarrow K^*(892)^-\ell^+ν_{\ell}$ and observation of $D^0\rightarrow K_2^*(1430)^-\ell^+ν_{\ell}$
[NO] 7/200 | Two-Stage Photovoltaic Forecasting: Separating Weather Prediction from Plant-Characteristics
[NO] 8/200 | Mask-Guided Attention Regulation for Anatomically Consistent Counterfactual CXR Synthesis
[NO] 9/200 | Irradiation Studies of TGC Electronics Components for the ATLAS Experiment at High-Luminosity LHC
[NO] 10/200 | Sharp regularity near the grazing set for kinetic Fokker-Planck equations
[NO] 11/200 | An analytical-numerical coupled model of liquid droplet impact on solid material surfaces
[NO] 12/200 | Understanding Sources of Demographic Predictability in Brain MRI via Disentangling Anatomy and Contrast
[NO] 13/200 | A trick to ensure positive Mordell-Weil rank
[NO] 14/200 | Post-inflationary axion constraints from the Lyman-$α$ forest
[NO] 15/200 | Accurate and Efficient Hybrid-Ensemble Atmospheric Data Assimilation in Latent Space with Uncertainty Quantification
[NO] 16/200 | A framework for missing-energy searches with anomalous light vectors
[NO] 17/200 | Unital $3$-dimensional structurable algebras: classification, properties and $\rm{AK}$-construction
[NO] 18/200 | The Gaussian Wave for Graphs of Finite Cone Type
[NO] 19/200 | TaxonRL: Reinforcement Learning with Intermediate Rewards for Interpretable Fine-Grained Visual Reasoning
[NO] 20/200 | Formalization in Lean of faithfully flat descent of projectivity
[NO] 21/200 | $τ$-Knowledge: Evaluating Conversational Agents over Unstructured Knowledge
[NO] 22/200 | Volumetric effects in viscous flows in circular and annular tubes with wavy walls
[NO] 23/200 | Dissecting Quantization Error: A Concentration-Alignment Perspective
[NO] 24/200 | Pointer-CAD: Unifying B-Rep and Command Sequences via Pointer-based Edges & Faces Selection
[NO] 25/200 | What Does Flow Matching Bring To TD Learning?
[NO] 26/200 | Study on the Effect of Annealing on Ga$_2$O$_3$ Thin Films Deposited on Silicon by RF Sputtering
[NO] 27/200 | Hunting for methanol in the water rich, planet forming disk around HL Tau
[NO] 28/200 | MOO: A Multi-view Oriented Observations Dataset for Viewpoint Analysis in Cattle Re-Identification
[NO] 29/200 | CRESTomics: Analyzing Carotid Plaques in the CREST-2 Trial with a New Additive Classification Model
[NO] 30/200 | Activation Outliers in Transformer Quantization: Reproduction, Statistical Analysis, and Deployment Tradeoffs
[NO] 31/200 | Dual Diffusion Models for Multi-modal Guided 3D Avatar Generation
[NO] 32/200 | Perception-Aware Time-Optimal Planning for Quadrotor Waypoint Flight
[NO] 33/200 | The Company You Keep: How LLMs Respond to Dark Triad Traits
[NO] 34/200 | Hanle lineshapes and spin-rotation signatures from in-plane anisotropic spin relaxation in heterogeneous spin devices
[NO] 35/200 | Gaussian Wardrobe: Compositional 3D Gaussian Avatars for Free-Form Virtual Try-On
[NO] 36/200 | IPD: Boosting Sequential Policy with Imaginary Planning Distillation in Offline Reinforcement Learning
[NO] 37/200 | A multi-center analysis of deep learning methods for video polyp detection and segmentation
[NO] 38/200 | The effect of chemical vapor infiltration process parameters on flexural strength of porous α-SiC: A numerical model
[NO] 39/200 | Maintenance optimization of a two-component system with mixed observability
[NO] 40/200 | Continuity of Magnitude at Skew Finite Subsets of $\ell_1^N$
[NO] 41/200 | Joint tomographic measurement of thermal Sunyaev Zeldovich and the cosmic infrared background
[NO] 42/200 | Atmospheric effects on cosmic-ray muon rate at high latitude (78.9°N)
[NO] 43/200 | Atmospheric neutrino constraints on Lorentz invariance violation with the first six detection units of KM3NeT/ORCA
[NO] 44/200 | Cluster-Level Experiments using Temporal Switchback Designs: Precision Gains in Pricing A/B Tests at LATAM Airlines
[NO] 45/200 | FeedAIde: Guiding App Users to Submit Rich Feedback Reports by Asking Context-Aware Follow-Up Questions
[NO] 46/200 | Optomicrofluidic measurement of particle-encapsulated droplet system
[NO] 47/200 | Minimum Weight Decoding in the Colour Code is NP-hard
[NO] 48/200 | Semi-Supervised Generative Learning via Latent Space Distribution Matching
[NO] 49/200 | Constructing Arbitrary Coherent Rearrangements in Optical Lattices
[NO] 50/200 | Arnold tongues in the forced Kuramoto model with matrix coupling
[NO] 51/200 | On the defect in the generalized Grunwald--Wang problem
[NO] 52/200 | Excursion-set for Primordial Black Holes I: white noise and moving barrier
[NO] 53/200 | On Hamilton Jacobi equations with time measurable Hamiltonians posed on a 1-dimensional junction
[NO] 54/200 | Scalable Join Inference for Large Context Graphs
[NO] 55/200 | A baryon-calibrated unified quark-diquark effective mass formalism for heavy multiquarks
[NO] 56/200 | Degradation-based augmented training for robust individual animal re-identification
[NO] 57/200 | Representation theorems for actual and alpha powers over two-agent general concurrent game frames
[NO] 58/200 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[NO] 59/200 | EgoPoseFormer v2: Accurate Egocentric Human Motion Estimation for AR/VR
[NO] 60/200 | A Digital Twin of the FPGA Digital Signal Processing Chain for MKIDs Readout: Root-Cause Analysis and Mitigation of Spurs
[NO] 61/200 | Doubly Robust Estimation of Treatment Effects in Staggered Difference-in-Differences with Time-Varying Covariates
[NO] 62/200 | Limiting empirical spectral measure of the normalized Laplacian in preferential attachment graphs
[NO] 63/200 | (Quantum) reference frames, relational observables, gauge reduction and physical interpretation
[NO] 64/200 | Tuning Just Enough: Lightweight Backdoor Attacks on Multi-Encoder Diffusion Models
[NO] 65/200 | Fermi-Dirac thermal measurements: A framework for quantum hypothesis testing and semidefinite optimization
[NO] 66/200 | Long-Term Visual Localization in Dynamic Benthic Environments: A Dataset, Footprint-Based Ground Truth, and Visual Place Recognition Benchmark
[YES] 67/200 | Low-Altitude Agentic Networks for Optical Wireless Communication and Sensing: An Oceanic Scenario
[NO] 68/200 | OPTIMus - a survey of massive star-forming regions at OPTical, Infrared, and Millimeter wavelengths
[NO] 69/200 | Force-Aware Residual DAgger via Trajectory Editing for Precision Insertion with Impedance Control
[NO] 70/200 | Second-order supporting quadric method for designing freeform refracting surfaces generating prescribed irradiance distributions
[NO] 71/200 | Who Judges the Judge? Evaluating LLM-as-a-Judge for French Medical open-ended QA
