[2026-07-11 10:10:18] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-10
正在获取论文...
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[IEEE] 2026-7-10 | Optimizing Nursing Care Taxi Dispatch Leveraging Integer Linear Programming Solvers and Machine Learning
[IEEE] 2026-7-10 | Radar Micro-Doppler Rotor Feature Extraction Based on Hybrid Cost Function and Dwell Penalty Mechanism
[IEEE] 2026-7-10 | Short-Packet Covert Communication in Underlay Cognitive Radio Networks With Multiple Wardens
[IEEE] 2026-7-10 | Monitoring of Upper-Limb Functional Movements After Stroke: Optimizing Threshold-Based Detection with Inertial Measurement Units
[IEEE] 2026-7-10 | Integrated Sensing and Communication in 6G: A Comprehensive Survey of Use Cases, Enabling Technologies, Standardization Roadmap, and Monetization Frameworks
[ACM] 2026-7-10 | A Comparative Study of Model Selection Criteria for Symbolic Regression
[IEEE] 2026-7-10 | Planning Relay Networks That Avoid Enemy Line-of-Sight and Maximize Angles Between Links and Enemies
[IEEE] 2026-7-10 | Detection of Cercospora Leaf Spot in Okra Using Deep Learning
[IEEE] 2026-7-10 | ShallowNet: A Lightweight Neural Network Approach for Efficient Flow-Level DDoS Detection
[IEEE] 2026-7-10 | Characterisation of Emissions and Impedances up to 150 kHz of Power Electronics-Based DC Loads for Low-Voltage DC Grids
[IEEE] 2026-7-10 | Automated Selective Color-wise Colony Counting on Spread Plates using Deep Learning and Human-in-the-loop Integration
[IEEE] 2026-7-10 | Noise Source Localization with Sparse Magnitude-Only Magnetic Field Measurements Using KNN Algorithm
[IEEE] 2026-7-10 | Influence of Geometric Parameters on MRI Gradient-Field Heating: A Simulation Study on Size and Shape Effects
[ACM] 2026-7-11 | SIVF: GPU-Resident IVF Index for Streaming Vector Analytics
[ACM] 2026-7-11 | POLAR-PIC: A Holistic Framework for Matrixized PIC with Co-Designed Compute, Layout, and Communication
[IEEE] 2026-7-10 | Adaptive Strategic Intelligence Enabled by Machine Learning in Dynamic Markets
[IEEE] 2026-7-10 | Operator-User Cost Trade-offs in Sweden’s Future EV Charging System
[IEEE] 2026-7-10 | Comparative study of quantum-based parallel and coordinated distributed temporal aggregation for capacity expansion planning
[IEEE] 2026-7-10 | A Hybrid LSTM-Based Model for Stock Price Prediction Using Sentiment Analysis and Volatility Features
[IEEE] 2026-7-10 | Machine Learning Based Integrated Solution for Smart Pepper Farming in Sri Lanka
[IEEE] 2026-7-10 | Feature Extraction and Classification Algorithm for Identification of Ball Fault of Bearing in Induction Motor
[IEEE] 2026-7-10 | Design of GaN HEMT ANPC Power Module with Low Parasitic Inductances
[IEEE] 2026-7-10 | Experimental Measurement of Magnetic Flux Exposure on Dielectric Material Structure
[IEEE] 2026-7-10 | Simple Equational Modeling and Swarm Intelligence Based 3D Path Planning Over Large-Scale Complex Mountain Terrain with Irregular Topology
[IEEE] 2026-7-10 | Fault Model-Driven Formal Verification of Cryptographic Hardware Against Fault Attacks
[IEEE] 2026-7-10 | Investing in Batteries or Choosing Tolling? Storage Strategies for Risk-Aware PPA Portfolios in Renewable Energy Communities
[IEEE] 2026-7-10 | Taking flexibility into account when optimally assigning actors to collective self-consumption communities
[IEEE] 2026-7-10 | Economic Analysis of Demand Management Strategies Using HOMER Pro® Deferrable Load: Case Study of a Productive Use of Energy Microgrid in Kwale Island Tanzania
[IEEE] 2026-7-10 | Optimizing Hydropower Scheduling in Nordic Electricity Markets through Deep Learning
[IEEE] 2026-7-10 | A Unified Multimodal Edge AI Smart Assistive Stick for Visually Impaired Users
[IEEE] 2026-7-10 | Data-Driven Insights into Sleep Quality and Health Using Bioinformatics
[IEEE] 2026-7-10 | Investment strategies for energy infrastructure on the southern Norwegian Continental Shelf
[IEEE] 2026-7-10 | Research on Bidirectional Active Balancing System for Large-Capacity Lithium Battery Pack Based on DAB Converter
[IEEE] 2026-7-10 | Implementation and Performance Evaluation of a 100 Gbps Network Link on Thailand’s National Research and Education Network
[IEEE] 2026-7-10 | Technical Standards for Grid-Forming Control of MVDC Converter Stations in Urban Distribution Networks
[IEEE] 2026-7-10 | Optimizing Charging Station Deployment in Croatia to Support EV Growth and EU Regulations
[IEEE] 2026-7-10 | A Resonant Mechanism Study for the Impact of Stent Length on MRI RF-Induced Heating
[IEEE] 2026-7-10 | Answer Set Programming for Bus Route Finding: A Case Study in Bangkok, Thailand
[IEEE] 2026-7-10 | Personalized Nutrition Recommendation Based on Ayurveda Using Semi-Supervised Learning
[IEEE] 2026-7-10 | From Flash Density to Field Reliability: A Population-Weighted Distance Effect Model for Lightning-Induced Surge Exposure Characterization
[IEEE] 2026-7-10 | Explainable NLP-Based Depression Detection from Social Media Text Using Machine Learning and LIME Interpretability
[IEEE] 2026-7-10 | Energy Router for Multi-ASD DC Buses
[IEEE] 2026-7-10 | Do EPAD Prices Reflect Zonal Price Spreads? A Panel Mincer–Zarnowitz Analysis of the Nordic Market
[IEEE] 2026-7-10 | Strategic BESS Operation under Uncertainty: Balancing Immediate Revenue Capture against Longterm Degradation in the Spanish Market
[IEEE] 2026-7-10 | Uncertainty Evaluation of Calibration Factor for Magnetic Field Probe Under Microstrip Line
[IEEE] 2026-7-10 | Mission-Aware SBOM Vulnerability Triage with KEV/EPSS and LLM-Based VEX Drafting
[IEEE] 2026-7-10 | Grid-Forming Characterization in DC Microgrids
[IEEE] 2026-7-10 | Integrating Electrified Ports into the Power Grid: The Impact of Grid Tariffs and Flexibility
[ACM] 2026-7-10 | Proceedings of the 23rd ACM International Conference on Computing Frontiers: Workshops and Special Sessions
[ACM] 2026-7-10 | Bayesian Optimal Stopping with Maximum Value Knowledge
[ACM] 2026-7-10 | <scp>MuseKG:</scp>
                    An Interactive Knowledge Graph Over Museum Collections
[ACM] 2026-7-10 | User Activity Modeling under Inflated Distribution
[ACM] 2026-7-10 | Human Agency and Skill in AI-Supported Work: Countering Cognitive Offloading
[ACM] 2026-7-10 | Bias Beneath the Tone: Empirical Characterisation of Tone Bias in LLM-Driven UX Systems
[ACM] 2026-7-10 | BPMN-T: A Timed–Probabilistic Extension of BPMN with Formal Semantics
[ACM] 2026-7-10 | Structural Bias in Multi-objective Optimization
[ACM] 2026-7-10 | Anytime Analysis on BinVal: Adaptive Parameters Help
[ACM] 2026-7-10 | Dual-Layer Synchronous Ring Cellular UMDA Based On Anisotropic RBF Surrogate for High-Dimensional Evolutionary Optimization in Energy Management
[IEEE] 2026-7-10 | FOCUS: Outdoor Transmitter Localization Exploiting the Mobility of a Single Drone
[IEEE] 2026-7-10 | Online Generation of Collision-Free Trajectories in Dynamic Environments_supp5-3711837.txt
[IEEE] 2026-7-10 | Sharp Decay Rate of Semi-discrete Scheme for 1-D Wave Equation with Boundary Damping*
[IEEE] 2026-7-10 | Dielectric properties of polyimide-based composites with boron nitride surface covering under high-energy electron beam radiation_supp1-3711572.docx
[IEEE] 2026-7-10 | Enhanced Unified Graph Learning and Weighted Tensor Schatten -Norm Approximation for Multi-View Clustering_supp1-3702584.pdf
[IEEE] 2026-7-10 | Haptic Feedback in Virtual Reality: A Systematic Review and Tutorial for Practitioners
共写入 100 条记录，保存到 papers/paper2026-07-10.json。
论文获取成功，文件路径: papers/paper2026-07-10.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[NO] 2/100 | Poulpe: a software-hardware toolchain to clone legacy digital circuit boards
[NO] 3/100 | Systematic Comparison and Improvement of Pre-silicon Leakage Analysis Tools
[NO] 4/100 | Compiling Linear Algebra Workloads from C to Quantum Circuits via Multi Level Intermediate Representation
[NO] 5/100 | Proceedings of the Genetic and Evolutionary Computation Conference
[NO] 6/100 | Reasoning for IR &amp; IR for Reasoning
[NO] 7/100 | TM-Bench: Benchmarking Large Language Models on Low-Resource Traditional Mongolian
[NO] 8/100 | RegionSLM: Region-aware Question Answering on Document Screenshots
[NO] 9/100 | Retrieval-Augmented Contrastive Learning for Dynamic Graph Anomaly Detection
[NO] 10/100 | Same Frequency Begets Shared Interests: Popular-Niche Wavelet Graph Learning for Multimodal Recommendation
[NO] 11/100 | EasyRAG: A Beginner-Friendly and Interactive Framework for Retrieval-Augmented Generation
[NO] 12/100 | ProEchoMem: Enhancing Long Video Understanding via Multi-Trace Probe-Echo Memory
[NO] 13/100 | Multimodal Large Language Models with Adaptive Preference Optimization for Sequential Recommendation
[NO] 14/100 | SciCheck: Reasoning Distillation for Biomedical Claim Verification
[NO] 15/100 | Generation-Augmented Video Corpus Moment Retrieval
[NO] 16/100 | Uniboost: Global Coordination with Value Alignment for Fair and Efficient Traffic Allocation
[NO] 17/100 | Surface-Form Neural Sparse Retrieval: Robust Fuzzy Matching for Industrial Music Search
[NO] 18/100 | Agentic Search in the Wild: Intents and Trajectory Dynamics from 14M+ Real Search Requests
[NO] 19/100 | When and How to Ask: Dynamic Preference Elicitation Strategies for Conversational Recommendation
[NO] 20/100 | Too Many Questions: Deriving Concise and Effective Nugget Banks
[NO] 21/100 | Search for Coverage: Learning Coverage-Aware Retrieval with Augmented Sub-Question Answerability
[NO] 22/100 | mKG-RAG: Leveraging Multimodal Knowledge Graphs in Retrieval-Augmented Generation for Knowledge-intensive VQA
[NO] 23/100 | UGenLah: A Human-in-the-loop Agentic Paradigm for Game Development
[NO] 24/100 | Human Digital Twins for Sharing and Accessing Tacit Knowledge in University Research Labs
[NO] 25/100 | Adjunct Proceedings of the 5th Annual Symposium on Human-Computer Interaction for Work
[NO] 26/100 | 2026 IEEE European Test Symposium (ETS)
[NO] 27/100 | Network Reliability Assessment for Manufacturing Systems with Binning
[NO] 28/100 | How Testing must change in the age of AI processors, Silent Data Corruption Failures and 100s of Chiplets
[NO] 29/100 | Modified End Bonding of Cross-Bonded Cables Terminated at Non-Uniform Minor Sections
[NO] 30/100 | TFBF: Temporal-Frequency Bidirectional Fusion for Action Quality Assessment
[NO] 31/100 | Multi-source Data Fusion-Driven High-Frequency Electric Vehicles Trajectory Reconstruction with Segment-Level Traffic Conditions
[NO] 32/100 | Using English-based NLP Tools for Domain-specific Text in Foreign Languages
[NO] 33/100 | Design and Experimental Evaluation of a Bidirectional Magnetic Soft Diaphragm Pump_supp3-3703007.mp4
[NO] 34/100 | Golden-Style Graph Alignment for Cross-Dataset EEG Emotion Recognition
[NO] 35/100 | Phase-Modulated Dual-Frequency Fiber Lasers: A Power Scalable and Temporally Stable Architecture for High-Power Systems With Enhanced Nonlinearity Suppression
[NO] 36/100 | Enhancing Power Distribution System Resilience through Insurance Mechanisms: An Insurer Optimization Approach with V2G Aggregator Participation
[NO] 37/100 | Optimizing Nursing Care Taxi Dispatch Leveraging Integer Linear Programming Solvers and Machine Learning
[NO] 38/100 | Radar Micro-Doppler Rotor Feature Extraction Based on Hybrid Cost Function and Dwell Penalty Mechanism
[NO] 39/100 | Short-Packet Covert Communication in Underlay Cognitive Radio Networks With Multiple Wardens
[NO] 40/100 | Monitoring of Upper-Limb Functional Movements After Stroke: Optimizing Threshold-Based Detection with Inertial Measurement Units
[YES] 41/100 | Integrated Sensing and Communication in 6G: A Comprehensive Survey of Use Cases, Enabling Technologies, Standardization Roadmap, and Monetization Frameworks
[NO] 42/100 | A Comparative Study of Model Selection Criteria for Symbolic Regression
[NO] 43/100 | Planning Relay Networks That Avoid Enemy Line-of-Sight and Maximize Angles Between Links and Enemies
[NO] 44/100 | Detection of Cercospora Leaf Spot in Okra Using Deep Learning
[NO] 45/100 | ShallowNet: A Lightweight Neural Network Approach for Efficient Flow-Level DDoS Detection
[NO] 46/100 | Characterisation of Emissions and Impedances up to 150 kHz of Power Electronics-Based DC Loads for Low-Voltage DC Grids
[NO] 47/100 | Automated Selective Color-wise Colony Counting on Spread Plates using Deep Learning and Human-in-the-loop Integration
[NO] 48/100 | Noise Source Localization with Sparse Magnitude-Only Magnetic Field Measurements Using KNN Algorithm
[NO] 49/100 | Influence of Geometric Parameters on MRI Gradient-Field Heating: A Simulation Study on Size and Shape Effects
[NO] 50/100 | SIVF: GPU-Resident IVF Index for Streaming Vector Analytics
[NO] 51/100 | POLAR-PIC: A Holistic Framework for Matrixized PIC with Co-Designed Compute, Layout, and Communication
[NO] 52/100 | Adaptive Strategic Intelligence Enabled by Machine Learning in Dynamic Markets
[NO] 53/100 | Operator-User Cost Trade-offs in Sweden’s Future EV Charging System
[NO] 54/100 | Comparative study of quantum-based parallel and coordinated distributed temporal aggregation for capacity expansion planning
[NO] 55/100 | A Hybrid LSTM-Based Model for Stock Price Prediction Using Sentiment Analysis and Volatility Features
[NO] 56/100 | Machine Learning Based Integrated Solution for Smart Pepper Farming in Sri Lanka
[NO] 57/100 | Feature Extraction and Classification Algorithm for Identification of Ball Fault of Bearing in Induction Motor
[NO] 58/100 | Design of GaN HEMT ANPC Power Module with Low Parasitic Inductances
[NO] 59/100 | Experimental Measurement of Magnetic Flux Exposure on Dielectric Material Structure
[NO] 60/100 | Simple Equational Modeling and Swarm Intelligence Based 3D Path Planning Over Large-Scale Complex Mountain Terrain with Irregular Topology
[NO] 61/100 | Fault Model-Driven Formal Verification of Cryptographic Hardware Against Fault Attacks
[NO] 62/100 | Investing in Batteries or Choosing Tolling? Storage Strategies for Risk-Aware PPA Portfolios in Renewable Energy Communities
[NO] 63/100 | Taking flexibility into account when optimally assigning actors to collective self-consumption communities
[NO] 64/100 | Economic Analysis of Demand Management Strategies Using HOMER Pro® Deferrable Load: Case Study of a Productive Use of Energy Microgrid in Kwale Island Tanzania
[NO] 65/100 | Optimizing Hydropower Scheduling in Nordic Electricity Markets through Deep Learning
[NO] 66/100 | A Unified Multimodal Edge AI Smart Assistive Stick for Visually Impaired Users
[NO] 67/100 | Data-Driven Insights into Sleep Quality and Health Using Bioinformatics
[NO] 68/100 | Investment strategies for energy infrastructure on the southern Norwegian Continental Shelf
[NO] 69/100 | Research on Bidirectional Active Balancing System for Large-Capacity Lithium Battery Pack Based on DAB Converter
[NO] 70/100 | Implementation and Performance Evaluation of a 100 Gbps Network Link on Thailand’s National Research and Education Network
[NO] 71/100 | Technical Standards for Grid-Forming Control of MVDC Converter Stations in Urban Distribution Networks
[NO] 72/100 | Optimizing Charging Station Deployment in Croatia to Support EV Growth and EU Regulations
[NO] 73/100 | A Resonant Mechanism Study for the Impact of Stent Length on MRI RF-Induced Heating
[NO] 74/100 | Answer Set Programming for Bus Route Finding: A Case Study in Bangkok, Thailand
[NO] 75/100 | Personalized Nutrition Recommendation Based on Ayurveda Using Semi-Supervised Learning
[NO] 76/100 | From Flash Density to Field Reliability: A Population-Weighted Distance Effect Model for Lightning-Induced Surge Exposure Characterization
[NO] 77/100 | Explainable NLP-Based Depression Detection from Social Media Text Using Machine Learning and LIME Interpretability
[NO] 78/100 | Energy Router for Multi-ASD DC Buses
[NO] 79/100 | Do EPAD Prices Reflect Zonal Price Spreads? A Panel Mincer–Zarnowitz Analysis of the Nordic Market
[NO] 80/100 | Strategic BESS Operation under Uncertainty: Balancing Immediate Revenue Capture against Longterm Degradation in the Spanish Market
[NO] 81/100 | Uncertainty Evaluation of Calibration Factor for Magnetic Field Probe Under Microstrip Line
[NO] 82/100 | Mission-Aware SBOM Vulnerability Triage with KEV/EPSS and LLM-Based VEX Drafting
[NO] 83/100 | Grid-Forming Characterization in DC Microgrids
[NO] 84/100 | Integrating Electrified Ports into the Power Grid: The Impact of Grid Tariffs and Flexibility
[NO] 85/100 | Proceedings of the 23rd ACM International Conference on Computing Frontiers: Workshops and Special Sessions
[NO] 86/100 | Bayesian Optimal Stopping with Maximum Value Knowledge
[NO] 87/100 | <scp>MuseKG:</scp>
                    An Interactive Knowledge Graph Over Museum Collections
[NO] 88/100 | User Activity Modeling under Inflated Distribution
[NO] 89/100 | Human Agency and Skill in AI-Supported Work: Countering Cognitive Offloading
[NO] 90/100 | Bias Beneath the Tone: Empirical Characterisation of Tone Bias in LLM-Driven UX Systems
[NO] 91/100 | BPMN-T: A Timed–Probabilistic Extension of BPMN with Formal Semantics
[NO] 92/100 | Structural Bias in Multi-objective Optimization
[NO] 93/100 | Anytime Analysis on BinVal: Adaptive Parameters Help
[NO] 94/100 | Dual-Layer Synchronous Ring Cellular UMDA Based On Anisotropic RBF Surrogate for High-Dimensional Evolutionary Optimization in Energy Management
[NO] 95/100 | FOCUS: Outdoor Transmitter Localization Exploiting the Mobility of a Single Drone
[NO] 96/100 | Online Generation of Collision-Free Trajectories in Dynamic Environments_supp5-3711837.txt
[NO] 97/100 | Sharp Decay Rate of Semi-discrete Scheme for 1-D Wave Equation with Boundary Damping*
[NO] 98/100 | Dielectric properties of polyimide-based composites with boron nitride surface covering under high-energy electron beam radiation_supp1-3711572.docx
[NO] 99/100 | Enhanced Unified Graph Learning and Weighted Tensor Schatten -Norm Approximation for Multi-View Clustering_supp1-3702584.pdf
[NO] 100/100 | Haptic Feedback in Virtual Reality: A Systematic Review and Tutorial for Practitioners
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-07-10.json。
邮件发送成功！
[2026-07-11 10:25:50] 任务执行成功！
