[2026-02-19 09:39:05] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-18
正在获取论文...
[arXiv] 2026-02-18 | Measuring Mid-2025 LLM-Assistance on Novice Performance in Biology
[arXiv] 2026-02-18 | Bibby AI -- AI Latex Editor writing assistant for researchers vs Overleaf Alternative vs OpenAI Prism. (Bibby AI Latex Editor)
[arXiv] 2026-02-18 | A remark on staircase laminates in restricted sets
[arXiv] 2026-02-18 | A Class of algebras admitting infinitely many norm topologies
[arXiv] 2026-02-18 | Effective local differential topology of algebraic varieties over local fields of positive characteristics
[arXiv] 2026-02-18 | Localized $^{18}$O production in white dwarf mergers
[arXiv] 2026-02-18 | Orbital integral bounds the character for cuspidal representations of $GL_n(\mathbb{F}_{\ell}((t)))$
[arXiv] 2026-02-18 | Partially observed controlled Markov chains and optimal control of the Wonham filter
[arXiv] 2026-02-18 | Enhancing delocalization and entanglement in asymmetric discrete-time quantum walks
[arXiv] 2026-02-18 | Solving the Mysteries of Quantum Mechanics: Why Nature Abhors a Continuum
[arXiv] 2026-02-18 | Label-Consistent Data Generation for Aspect-Based Sentiment Analysis Using LLM Agents
[arXiv] 2026-02-18 | Experimental and Numerical Study of the Transient Response of a Cantilever Beam with a Piezoelectric Disc Sensor
[arXiv] 2026-02-18 | AI-Driven Structure Refinement of X-ray Diffraction
[arXiv] 2026-02-18 | Markerless 6D Pose Estimation and Position-Based Visual Servoing for Endoscopic Continuum Manipulators
[arXiv] 2026-02-18 | System Identification under Constraints and Disturbance: A Bayesian Estimation Approach
[arXiv] 2026-02-18 | Articulated 3D Scene Graphs for Open-World Mobile Manipulation
[arXiv] 2026-02-18 | Liouvillian interpolation of the self-energy of cluster dynamical mean-field theories
[arXiv] 2026-02-18 | Heat Equation driven by mixed local-nonlocal operators with non-regular space-dependent coefficients
[arXiv] 2026-02-18 | Load Balanced Parallel Node Generation for Meshless Numerical Methods
[arXiv] 2026-02-18 | Multi-Agent Meta-Advisor for UAV Fleet Trajectory Design in Vehicular Networks
[arXiv] 2026-02-18 | Markov processes forced on a subspace by a large drift, with applications to population genetics
[arXiv] 2026-02-18 | Large-Time Asymptotics for Heat and Fractional Heat Equations on the Lattice and General Finite Subgraphs
[arXiv] 2026-02-18 | The invariance of the Auslander-Reiten Formula for hereditary algebras
[arXiv] 2026-02-18 | Machine Learning Driven Prediction of the Behavior of Biohybrid Actuators
[arXiv] 2026-02-18 | Hypercontractivity for a family of quantum Ornstein-Uhlenbeck semigroups
[arXiv] 2026-02-18 | Wearable AR for Restorative Breaks: How Interactive Narrative Experiences Support Relaxation for Young Adults
[arXiv] 2026-02-18 | End-user validation of BRIGHT with custom-developed graphical user interface applied to cervical cancer brachytherapy
[arXiv] 2026-02-18 | A resolution of the Ito-Stratonovich debate in quantum stochastic processes
[arXiv] 2026-02-18 | Randomized Zero Forcing
[arXiv] 2026-02-18 | Fast KV Compaction via Attention Matching
[arXiv] 2026-02-18 | Tomographically-nonlocal entanglement
[arXiv] 2026-02-18 | Lyapunov Spectral Analysis of Speech Embedding Trajectories in Psychosis
[arXiv] 2026-02-18 | Impact of Preprocessing on Neural Network-Based RSS/AoA Positioning
[arXiv] 2026-02-18 | On the Lie noncommutative integrability
[arXiv] 2026-02-18 | Structured Unitary Tensor Network Representations for Circuit-Efficient Quantum Data Encoding
[arXiv] 2026-02-18 | Autonomous and non-autonomous fixed-time leader-follower consensus for second-order multi-agent systems
[arXiv] 2026-02-18 | HAL-MLE Log-Splines Density Estimation (Part I: Univariate)
[arXiv] 2026-02-18 | SeaSpoofFinder -- Potential GNSS Spoofing Event Detection Using AIS
[arXiv] 2026-02-18 | Concentration Phenomena for $(p,N)$-Laplace Equation Under Discontinuous Nonlinearities and Penalization Method
[arXiv] 2026-02-18 | Pinching Antennas-Aided Integrated Sensing and Multicast Communication Systems
[arXiv] 2026-02-18 | Are LLMs Ready to Replace Bangla Annotators?
[arXiv] 2026-02-18 | Propagation Characteristics of the April 21, 2023 CME
[arXiv] 2026-02-18 | EasyControlEdge: A Foundation-Model Fine-Tuning for Edge Detection
[arXiv] 2026-02-18 | Coexistence of Rashba and Ising Spin-Singlet Pairings in Two-Dimensional IrTe$_{2}$
[arXiv] 2026-02-18 | Near-optimal population protocols on bounded-degree trees
[arXiv] 2026-02-18 | Reinterpreting the sunward electron deficit: Implications for solar wind acceleration and core population formation
[arXiv] 2026-02-18 | Graph neural network for colliding particles with an application to sea ice floe modeling
[arXiv] 2026-02-18 | Equity in auction design with unit-demand agents and non-quasilinear preferences
[arXiv] 2026-02-18 | A Note on Ordinal Submodularity
[arXiv] 2026-02-18 | On cyclic invariants of the free associative algebra
[arXiv] 2026-02-18 | On the Enestrom-Kakeya Theorem for polynomials of an octonionic variable
[arXiv] 2026-02-18 | Inverse Engineering of Optical Constants in Photochromic Micron-Scale Hybrid Films
[arXiv] 2026-02-18 | Image Measurement Method for Automatic Insertion of Forks into Inclined Pallet
[arXiv] 2026-02-18 | HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents
[arXiv] 2026-02-18 | LLMs Exhibit Significantly Lower Uncertainty in Creative Writing Than Professional Writers
[arXiv] 2026-02-18 | Dislocation-ledge coupling drives non-conservative migration of semicoherent precipitate interfaces
[IEEE] 2026-2-18 | IEEE Transactions on Circuits and Systems for Artificial Intelligence Publication Information
[IEEE] 2026-2-18 | 2026Q1 Issue of the IEEE Transactions on Circuits and Systems for Artificial Intelligence
[IEEE] 2026-2-18 | Anti-Unwinding Time-Varying Sliding Mode Control With Arbitrary Convergence Time for Rigid Spacecraft
[IEEE] 2026-2-18 | Cluster Workload Allocation: Semantic Soft Affinity Using Natural Language Processing
[IEEE] 2026-2-18 | Effects of Programming-Pulse Frequency on Synaptic Characteristics of Amorphous IGZO Thin-Film Transistors with Defective Gate Oxides_supp1-3665692.pdf
[IEEE] 2026-2-18 | Walking Behavior-Based Positioning Strategy for Dockless Shared Mobility Systems
[IEEE] 2026-2-18 | Green AI or Overlooked Software Costs? Quantifying the Real Impact of Software Stacks on Scientific ML Emissions
[IEEE] 2026-2-18 | SpaceNet: A Resource-Efficient Simulation Testbed for LEO Mega-Constellation Networks
[IEEE] 2026-2-18 | BMchain: Design of an Account-Driven and Regulatory-Friendly Stateless Layer-2 Blockchain
[IEEE] 2026-2-18 | Hybrid Diffusion for Simultaneous Symbolic and Continuous Planning_supp1-3664616.mp4
[IEEE] 2026-2-18 | Bayesian Probabilistic Knowledge from Diameter Prior for Decision Fusion to Detect Lung Nodule Heterogeneity
[IEEE] 2026-2-18 | VLSI Architecture for an Adaptive Transmission Estimation-Based Video Dehazing Method
[IEEE] 2026-2-18 | MPCF: Multi-Phase Consolidated Fusion for Multi-Modal 3D Object Detection with Pseudo Point Cloud
[IEEE] 2026-2-18 | Energy-Efficient Aerial IRS Configuration and Resource Allocation in AoI-Aware MEC
[IEEE] 2026-2-18 | High-Fidelity Seismic Super-Resolution Using Prior-Informed Deep Learning with 3D Awareness
[IEEE] 2026-2-18 | Program Committee
[IEEE] 2026-2-18 | Study on Scalable Model of Multifinger Structure for GaN p-i-n Diode
[IEEE] 2026-2-18 | FreeSplat++: Generalizable 3D Gaussian Splatting for Efficient Indoor Scene Reconstruction_supp1-3665771.mp4
[IEEE] 2026-2-18 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2026-2-18 | Satellite derived estimates on methane emissions from rice paddies across China_supp1-3665059.pdf
[IEEE] 2026-2-18 | Implementation of EAES using Image Key
[IEEE] 2026-2-18 | A Survey on Federated Parameter-Efficient Fine-Tuning for Large Language Models
[IEEE] 2026-2-18 | Relationship Extraction Based on BERT Model
[IEEE] 2026-2-18 | The Impact of Livestream on the Relationship Customers and Brands
[IEEE] 2026-2-18 | A Bandpass SIW Filter with Sharp Roll-off Rate and Wide Stopband
[IEEE] 2026-2-18 | Regulatory Frameworks and Ethical Governance of Neural Networks in Computer Science Applications
[IEEE] 2026-2-18 | Wideband High-Power Class EF
                    <sub>2</sub>
                    Power Amplifier Based on Multiple Series Resonance
[IEEE] 2026-2-18 | MPCL:Image-Text retrieval of multi-plane comparative learning
[IEEE] 2026-2-18 | Stability Evaluation Model of Surrounding Rock Mass in Underground Engineering Based on Fractal Interpolation-A Case Study of an Underground Chamber in a Granite Area of Tibet
[IEEE] 2026-2-18 | The Role of Cognitive Skills in Phishing Detection: A Comparative Study Between Chess Players and Non-Chess Players
[IEEE] 2026-2-18 | DMAS-KEP: Identifying Key Events and Critical Paths in Dynamic Multi-Agent Systems via Complex Networks
[IEEE] 2026-2-18 | AI-Based Fault Diagnosis and Prediction of Power Switches
[IEEE] 2026-2-18 | An X-band GaAs Low Noise Amplifier
[IEEE] 2026-2-18 | Multimodal Learning for Predicting Fat Component Shifts in Kyrgyz Women across Different Ages
[IEEE] 2026-2-18 | Innovative Pedagogical Strategies in Science Education: Leveraging Artificial Intelligence for Enhanced Digital Literacy
[IEEE] 2026-2-18 | An Integrated Shield Flip-Chip Mounting MIC Bandpass Filter in Q-Band
[IEEE] 2026-2-18 | A Frequency-Reconfigurable Multi-Band 4-Channel Beamforming IC for Millimeter-Wave 5G Communication
[IEEE] 2026-2-18 | A Multimodal Dynamic Interaction-Based Method for Indoor Scene Recognition
[IEEE] 2026-2-18 | Employing Neural Networks to Predict Coronary Heart Disease Based on Physiological Parameters
[IEEE] 2026-2-18 | MIRA: A 5T1C Flash Cell-based Mixed-Signal InMemory Readout Architecture Achieving Highly Accurate VMM Computation
[IEEE] 2026-2-18 | Bidirectional Converter for Electric Vehicles based on Matrix-Type Rectifier and Interleaved CLLLC
[IEEE] 2026-2-18 | Design of a 40-110 GHz Ultra-Wideband Wilkinson Power Divider with Low Insertion Loss
[IEEE] 2026-2-18 | Load-Aware and QoS-Constrained Task Scheduling Method for Edge Computing in Power Systems
[IEEE] 2026-2-18 | Optimal Scheduling of Virtual Power Plant Based on Humpback Whale Migration Algorithm
[IEEE] 2026-2-18 | Deep-Learning-Based X-Band Waveguide Permittivity Measurement Method for Dielectric Materials with Air Gaps
[IEEE] 2026-2-18 | WasteNet: A Structured-Pruned and EMA-Augmented RepVGG Framework for Real-Time Trash Classification
[IEEE] 2026-2-18 | Graph Neural Networks-Mapped Code Optimization System for Software Performance
[IEEE] 2026-2-18 | Analysis of Lightning Electromagnetic Field Propagation Characteristics Considering the Topography and Geomorphology of Guangdong Province
[IEEE] 2026-2-18 | Predicting Hourly Electricity Demand Using Fuzzy Logic: Integrating Environmental Factors for Accurate Forecasting
[IEEE] 2026-2-18 | Ka-Band Omnidirectional Circularly Polarized Waveguide Slot Antenna for Low-Altitude UAV Applications
[IEEE] 2026-2-18 | Data-Driven Approach for Dynamic Comparator in Analog-to-Digital Conversion
[IEEE] 2026-2-18 | Analysis of Probe Coupling for Channel Property Optimization in an HVAC Duct
[IEEE] 2026-2-18 | AAP2-YOLO: A Model Improvement about Counter-UAV Detection
[IEEE] 2026-2-18 | EEG-Based Classification of Abnormal Epileptiform Patterns
[IEEE] 2026-2-18 | An Innovative Electric Vehicle Charging System Using Game-Theoretic Optimization Model and Pre-Connection SOC Modeling
[IEEE] 2026-2-18 | TBNet-Lite: A Lightweight Artificial Learning System for Automatic TB Detection
[IEEE] 2026-2-18 | GAN-Based Rare Disease Image Synthesis: A Solution for Data Scarcity and Privacy-Aware Learning
[IEEE] 2026-2-18 | Machine Learning Driven Dynamic Pricing System for E-Commerce Revenue Optimization
[IEEE] 2026-2-18 | AI-Integrated Drone Swarm Coordination Using Deep Q-Networks for Disaster Response
[IEEE] 2026-2-18 | GaN Power Amplifier MMICs for Upper D-Band Communications
[IEEE] 2026-2-18 | A Wideband, Low-Loss, and Highly Reliable Supportless Air-Filled Coax-to-Waveguide Transition With Monolithic 3-D Printing Integration
[IEEE] 2026-2-18 | Neuro-Swarm Diffusion Reinforcement with Probabilistic Eco-Adaptive Modeling for Coastal Flood Risk Management
[IEEE] 2026-2-18 | Ferrite-Free High-Power Balun for Differential Push-Pull Amplifiers in MRI/NMR Applications
[IEEE] 2026-2-18 | Automatic Extraction of Ground Target Features from High-Resolution Remote Sensing Images Based on the TransU-Net Model
[IEEE] 2026-2-18 | RCS Measurement and Modeling of Manned Electric Bicycle in the 77-81 GHz Band
[IEEE] 2026-2-18 | Research on the Stability of Multi-Machine System of Grid-type Converter
[IEEE] 2026-2-18 | Indoor Localization Using Extended Kalman Filter with Time-of-Arrival Measurements
[IEEE] 2026-2-18 | Automated Nuclei Segmentation in PR-IHC Breast Cancer Images Using the Cellpose Deep Learning Model
[IEEE] 2026-2-18 | Entropy-Rich One-Time Password Generation Utilizing Sensors in a Hardware-Realized Chaotic Chua's Circuit
[IEEE] 2026-2-18 | Cooperative Mapping Method with Distributed Autonomous Mobile Robots in Unknown Environments
[IEEE] 2026-2-18 | Efficient Task Scheduling Algorithms for Decentralized Large Language Model Serving
[IEEE] 2026-2-18 | Research on Multi-Source Data Fusion and Cleaning Method for Distribution Networks Based on Time-Slice Synchronization
[IEEE] 2026-2-18 | SignSight : A Robust Deep Vision Framework for Real-Time Perception of Traffic Sign Under Adverse Weather Conditions
[IEEE] 2026-2-18 | Multi-Head PPO-Based Path Planning for AUV Data Collection under Dynamic Ocean Currents
[IEEE] 2026-2-18 | Anti-Poaching System Using Wireless Communications and Image Processing for Wildlife Sanctuaries
[IEEE] 2026-2-18 | Deep Learning Based Modulation Parameters Extraction of Non-Reciprocal Bandpass Filter
[IEEE] 2026-2-18 | Examining Blockchain-Based AI-Based Predictive Analytics for Effective Resource Management and Supply Chain Transaction Optimization
[IEEE] 2026-2-18 | Weigh&amp;Pay: Semi-Automated Self-Checkout and Pricing for Non-Barcoded Items Using AI Vision
[IEEE] 2026-2-18 | Context-Aware Transfer Adaptation for Trajectory Prediction in Autonomous Driving
[IEEE] 2026-2-18 | Integration of AI-Driven Power Management in Aerospace Electrical Systems
[IEEE] 2026-2-18 | BigDIA 2025 Conference Organization
[IEEE] 2026-2-18 | APMC 2025 Cover Page
[IEEE] 2026-2-18 | Fed-GTopK: Expediting In-Network Federated Learning by Transmitting Global Top Model Updates
[IEEE] 2026-2-18 | Deep_TPPred: Improved prediction of protein toxicity using feature fusion and hybrid neural network approach_supp1-3656227.pdf
[IEEE] 2026-2-18 | A Rolling Bearing Fault Diagnosis Model Integrating Adaptive Distribution-Aware Discriminative Loss Function
[IEEE] 2026-2-18 | Analysis and Design of a Wide-Load-Range Microwave Rectifier With DC–DC Converter
[IEEE] 2026-2-18 | Stability in Electroluminescence from Ag-NSi Schottky Junction LED: Role of Ambient Oxidation
[IEEE] 2026-2-18 | A Miniaturized Two-Electrode H
                    <sub>2</sub>
                    S Sensor on FPCB with A Reduction-Bias Cleaning Scheme
[IEEE] 2026-2-18 | An Input-Output Linearization-Based Robust Controller for Single-Track Models With Steering Actuator Delays
[IEEE] 2026-2-18 | Integrated Perception, Communication, and Computation for Autonomous Vehicle and Road Infrastructure Network_supp1-3665193.pdf
[IEEE] 2026-2-18 | SPS Social Media
[IEEE] 2026-2-18 | 2025 Asia-Pacific Microwave Conference (APMC)
[IEEE] 2026-2-18 | An Improved 3D U-Net Hybrid Network for High-Precision Soybean Mapping from Multi-temporal Sentinel-2 Imagery
[IEEE] 2026-2-18 | Lightweight IoT Intrusion Detection via Feature and Sample Reduction with Multi-Client Ensemble for Zero-Day Attacks
[IEEE] 2026-2-18 | Distributed Adaptive Dynamic Programming for Optimal Cluster Synchronization of Multicluster Games Against Unknown Perturbation
[IEEE] 2026-2-18 | IEEE Proceedings
[IEEE] 2026-2-18 | Cross-Modality Object-Level Knowledge Distillation for Enhanced Underwater Sonar Object Detection
[IEEE] 2026-2-18 | Design of L-band Radar Module Assembly
[IEEE] 2026-2-18 | ZK-Rollups and State Channels Comparison for Healthcare Data Privacy and Scalability
[IEEE] 2026-2-18 | Machine Learning based Energy Selective Surface Design Excluding Contradictory Structure
共写入 200 条记录，保存到 papers/paper2026-02-18.json。
论文获取成功，文件路径: papers/paper2026-02-18.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Measuring Mid-2025 LLM-Assistance on Novice Performance in Biology
[NO] 2/200 | Calibrate-Then-Act: Cost-Aware Exploration in LLM Agents
[NO] 3/200 | Parameter-free representations outperform single-cell foundation models on downstream benchmarks
[NO] 4/200 | Generalized determinantal representation of hypersurfaces
[NO] 5/200 | Agent Skill Framework: Perspectives on the Potential of Small Language Models in Industrial Environments
[NO] 6/200 | Design Principles for Fluid Molecular Ferroelectrics
[NO] 7/200 | Current Induced Switching of Superconducting Order and Enhancement of Superconducting Diode Efficiency
[NO] 8/200 | Two warm sub-Saturn mass planets identified from the TESS Full Frame Images
[NO] 9/200 | Hierarchical paraproducts
[NO] 10/200 | Quecto-V1: Empirical Analysis of 8-bit Quantized Small Language Models for On-Device Legal Retrieval
[NO] 11/200 | Universal Framework for Decomposing Ionic Transport into Interpretable Mechanisms
[NO] 12/200 | Behavioral change models for infectious disease transmission: a systematic review (2020-2025)
[NO] 13/200 | Symmetry properties for positive solutions of mixed boundary value problems in a sub-spherical sector
[NO] 14/200 | Dynamic effects of external axion fields in a system of many particles with spin
[NO] 15/200 | A Systematic Evaluation of Sample-Level Tokenization Strategies for MEG Foundation Models
[NO] 16/200 | A Rough Functional Breuer-Major Theorem
[NO] 17/200 | Meteor statistics I: The distribution of instrumental magnitudes
[NO] 18/200 | Explainable AI: Context-Aware Layer-Wise Integrated Gradients for Explaining Transformer Models
[NO] 19/200 | ERGMs on block models
[NO] 20/200 | Entanglement negativity in decohered topological states
[NO] 21/200 | A Contrastive Learning Framework Empowered by Attention-based Feature Adaptation for Street-View Image Classification
[NO] 22/200 | Nonparametric Kernel Regression for Coordinated Energy Storage Peak Shaving with Stacked Services
[NO] 23/200 | Utility-Preserving De-Identification for Math Tutoring: Investigating Numeric Ambiguity in the MathEd-PII Benchmark Dataset
[NO] 24/200 | Arc2Morph: Identity-Preserving Facial Morphing with Arc2Face
[NO] 25/200 | Hidden in Plain Sight: Detecting Illicit Massage Businesses from Mobility Data
[NO] 26/200 | A New Lower Bound for the Diagonal Poset Ramsey Numbers
[NO] 27/200 | The rise and fall of an oxide: insights into the phase diagram of bismuth oxide on Au(111)
[NO] 28/200 | From Latent to Observable Position-Based Click Models in Carousel Interfaces
[NO] 29/200 | Generalised Linear Models Driven by Latent Processes: Asymptotic Theory and Applications
[NO] 30/200 | Metasurface-encoded optical neural network wavefront sensing for high-speed adaptive optics
[NO] 31/200 | Generative deep learning improves reconstruction of global historical climate records
[NO] 32/200 | Framework of Thoughts: A Foundation Framework for Dynamic and Optimized Reasoning based on Chains, Trees, and Graphs
[NO] 33/200 | A Fully Discrete Nonnegativity-Preserving FEM for a Stochastic Heat Equation
[NO] 34/200 | DressWild: Feed-Forward Pose-Agnostic Garment Sewing Pattern Generation from In-the-Wild Images
[NO] 35/200 | Benchmarking Adversarial Robustness and Adversarial Training Strategies for Object Detection
[NO] 36/200 | Team of Thoughts: Efficient Test-time Scaling of Agentic Systems through Orchestrated Tool Calling
[NO] 37/200 | Central limit theorem for random walk in degenerate divergence-free random environment: $\mathcal H_{-1}$ reloaded with relaxed ellipticity
[NO] 38/200 | Regularity and Pathwise bounds for probabilistic solutions of PDEs
[NO] 39/200 | The Crusts of Neutron Stars Revisited: Approximations within a Polytropic Equation of State Approach
[NO] 40/200 | Synthesis and Verification of Transformer Programs
[NO] 41/200 | Topological variations in General Relativity: a rigorous perspective
[NO] 42/200 | Benchmarking Photolysis Rates with Socrates (24.11): Species for Earth and Exoplanets
[NO] 43/200 | Confinement Epitaxy of Large-Area Two-Dimensional Sn at the Graphene/SiC Interface
[NO] 44/200 | RoboGene: Boosting VLA Pre-training via Diversity-Driven Agentic Framework for Real-World Task Generation
[NO] 45/200 | Intra-Fairness Dynamics: The Bias Spillover Effect in Targeted LLM Alignment
[NO] 46/200 | Bibby AI -- AI Latex Editor writing assistant for researchers vs Overleaf Alternative vs OpenAI Prism. (Bibby AI Latex Editor)
[NO] 47/200 | A remark on staircase laminates in restricted sets
[NO] 48/200 | A Class of algebras admitting infinitely many norm topologies
[NO] 49/200 | Effective local differential topology of algebraic varieties over local fields of positive characteristics
[NO] 50/200 | Localized $^{18}$O production in white dwarf mergers
[NO] 51/200 | Orbital integral bounds the character for cuspidal representations of $GL_n(\mathbb{F}_{\ell}((t)))$
[NO] 52/200 | Partially observed controlled Markov chains and optimal control of the Wonham filter
[NO] 53/200 | Enhancing delocalization and entanglement in asymmetric discrete-time quantum walks
[NO] 54/200 | Solving the Mysteries of Quantum Mechanics: Why Nature Abhors a Continuum
[NO] 55/200 | Label-Consistent Data Generation for Aspect-Based Sentiment Analysis Using LLM Agents
[NO] 56/200 | Experimental and Numerical Study of the Transient Response of a Cantilever Beam with a Piezoelectric Disc Sensor
[NO] 57/200 | AI-Driven Structure Refinement of X-ray Diffraction
[NO] 58/200 | Markerless 6D Pose Estimation and Position-Based Visual Servoing for Endoscopic Continuum Manipulators
[NO] 59/200 | System Identification under Constraints and Disturbance: A Bayesian Estimation Approach
[NO] 60/200 | Articulated 3D Scene Graphs for Open-World Mobile Manipulation
[NO] 61/200 | Liouvillian interpolation of the self-energy of cluster dynamical mean-field theories
[NO] 62/200 | Heat Equation driven by mixed local-nonlocal operators with non-regular space-dependent coefficients
[NO] 63/200 | Load Balanced Parallel Node Generation for Meshless Numerical Methods
[NO] 64/200 | Multi-Agent Meta-Advisor for UAV Fleet Trajectory Design in Vehicular Networks
[NO] 65/200 | Markov processes forced on a subspace by a large drift, with applications to population genetics
[NO] 66/200 | Large-Time Asymptotics for Heat and Fractional Heat Equations on the Lattice and General Finite Subgraphs
[NO] 67/200 | The invariance of the Auslander-Reiten Formula for hereditary algebras
[NO] 68/200 | Machine Learning Driven Prediction of the Behavior of Biohybrid Actuators
[NO] 69/200 | Hypercontractivity for a family of quantum Ornstein-Uhlenbeck semigroups
[NO] 70/200 | Wearable AR for Restorative Breaks: How Interactive Narrative Experiences Support Relaxation for Young Adults
[NO] 71/200 | End-user validation of BRIGHT with custom-developed graphical user interface applied to cervical cancer brachytherapy
[NO] 72/200 | A resolution of the Ito-Stratonovich debate in quantum stochastic processes
[NO] 73/200 | Randomized Zero Forcing
[NO] 74/200 | Fast KV Compaction via Attention Matching
[NO] 75/200 | Tomographically-nonlocal entanglement
[NO] 76/200 | Lyapunov Spectral Analysis of Speech Embedding Trajectories in Psychosis
[NO] 77/200 | Impact of Preprocessing on Neural Network-Based RSS/AoA Positioning
[NO] 78/200 | On the Lie noncommutative integrability
[NO] 79/200 | Structured Unitary Tensor Network Representations for Circuit-Efficient Quantum Data Encoding
[NO] 80/200 | Autonomous and non-autonomous fixed-time leader-follower consensus for second-order multi-agent systems
[NO] 81/200 | HAL-MLE Log-Splines Density Estimation (Part I: Univariate)
[YES] 82/200 | SeaSpoofFinder -- Potential GNSS Spoofing Event Detection Using AIS
[NO] 83/200 | Concentration Phenomena for $(p,N)$-Laplace Equation Under Discontinuous Nonlinearities and Penalization Method
[YES] 84/200 | Pinching Antennas-Aided Integrated Sensing and Multicast Communication Systems
[NO] 85/200 | Are LLMs Ready to Replace Bangla Annotators?
[NO] 86/200 | Propagation Characteristics of the April 21, 2023 CME
[NO] 87/200 | EasyControlEdge: A Foundation-Model Fine-Tuning for Edge Detection
