[2026-08-13 09:56:36] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[arXiv] 2026-08-12 | Towards Understanding On-Policy Distillation through the Lens of Test-Time Scaling
[arXiv] 2026-08-12 | Usage of GPUs for ALICE Run 3 Offline Reconstruction on the GRID
[arXiv] 2026-08-12 | Some Reverse Hardy-Littlewood-Sobolev Type Inequalities
[arXiv] 2026-08-12 | Lithography-free patterning of SrTiO$_3$-based two-dimensional electron gases using direct atomic layer processing
[arXiv] 2026-08-12 | CoDiR: Confidence-Guided Diffusion Refinement for Semi-Supervised Histopathology Segmentation
[arXiv] 2026-08-12 | Understanding Content Moderation in Large Language Models through Restricted Books: From Refusal to Warning
[arXiv] 2026-08-12 | Silent Updates: Measuring and Closing the Post-Deployment Disclosure Gap
[arXiv] 2026-08-12 | Spatial coherence enabled sensorless adaptive optical imaging
[arXiv] 2026-08-12 | TRACE: A Modular Framework for RIS-Assisted Channel Estimation and Differential Channel-Aware Reconfiguration
[arXiv] 2026-08-12 | Toward Meaningful Transparency for AI Chatbots: Disclosing Persuasive Intent Reduces Persuasion
[arXiv] 2026-08-12 | RaStream: Edge-Deployable Streaming Human Mesh Recovery from mmWave Radar
[arXiv] 2026-08-12 | High-Order Liquid Evidence Encoding for Gradual GNSS Spoofing Detection in Autonomous Driving
[arXiv] 2026-08-12 | VOLA: Improving Open-World Driving by VLM-Based Semantic Attribute Prediction
[arXiv] 2026-08-12 | Radio flares and X-ray hardening embedded in the long soft state of 4U 1543-475
[arXiv] 2026-08-12 | Diagnosis Before Recovery: Turning Agent Failures into Selective Self-Correction
[arXiv] 2026-08-12 | Characterizing Nonlinearities in IM-DD Links via the Best Linear Approximation: Distortion Analysis and Modulation Optimization
[arXiv] 2026-08-12 | Dual Modality Prompted Diffusion Priors for Zero Shot Hyperspectral Pansharpening
[arXiv] 2026-08-12 | Magnetic noise of a dark exciton Bose-Einstein condensate
[arXiv] 2026-08-12 | ContactIPM: A Structure-Exploiting Interior-Point Solver for Contact-Implicit Trajectory Optimization
[arXiv] 2026-08-12 | The critical exponent for semilinear wave equations with damped oscillations
[arXiv] 2026-08-12 | High-dimensional Multi-objective Bayesian Optimization with Learned Variable Interactions
[arXiv] 2026-08-12 | How to Beat FCFS
[arXiv] 2026-08-12 | Trapped surface formation via radial boosts
[arXiv] 2026-08-12 | Making Your LLMs More Objective: Stabilizing LLM Safety Behavior Across Traits with Trait-Invariant Safety Tuning
[arXiv] 2026-08-12 | STAR: A Spatial-Topology Aware Routing Framework for Generalizable 3D Scene Understanding
[arXiv] 2026-08-12 | Boundary-Enhanced Segmentation of Pig Point Clouds in Commercial Housing Environments
[arXiv] 2026-08-12 | Altered Cosmic Organics as Venus' Ultraviolet Absorbers
[arXiv] 2026-08-12 | Development and Initial Performance of an Upgraded NaI(Tl) Crystal Encapsulation for COSINE-100U
[arXiv] 2026-08-12 | FunnelCausalNet: Funnel-aware Joint Conversion-Revenue Uplift for Multi-tier Coupon Allocation
[arXiv] 2026-08-12 | Disco in the Dust: Reflected light at the bow shock around Betelgeuse's companion explains its observed luminosity
[arXiv] 2026-08-12 | Sparse Rotatable Arrays (SRA): Unifying Array Aperture and Antenna Directivity for Wireless Communications
[arXiv] 2026-08-12 | Forbidden-Total-Size Nim
[arXiv] 2026-08-12 | Confucius4-TTS: Transcript-Free Cross-Lingual Zero-Shot TTS with a Learnable Speaker Encoder
[arXiv] 2026-08-12 | Robustness of AI-Art Detectors under Generator Shift
[arXiv] 2026-08-12 | Uniform Local Asymptotics for Lévy Processes with Subexponential Jumps
[arXiv] 2026-08-12 | Full-Stack High-Volume Quantum Networking Architecture based on Photonic-Integrated Tin Vacancy Centers in Diamond
[arXiv] 2026-08-12 | Easper: An Accessible ASR Pipeline for Language Documentation
[arXiv] 2026-08-12 | Organizational Technology Ladders: Remote Work and Generative AI Adoption
[arXiv] 2026-08-12 | Dynamic Trajectory Analysis of Meteoroids Showing Minimal Deceleration
[arXiv] 2026-08-12 | Semiorthogonal indecomposability for Hilbert schemes of points on integral locally planar curves
[arXiv] 2026-08-12 | How Can Driving World Models Do Counterfactual Prediction?
[arXiv] 2026-08-12 | An AoI-oriented Time-Frequency Distributed Access Mechanism in Wireless Sensor Networks with Spectrum Division
[arXiv] 2026-08-12 | Small Language Model enabled Autonomous agent for Language-Conditioned Cognitive Radar
[arXiv] 2026-08-12 | Measure-free Koopman-von Neumann Dynamics and Noncommutative Geometry
[arXiv] 2026-08-12 | Robust Multi-Tier Infant-Centered Audio Understanding with Whisper via Structured Speaker Conditioning
[arXiv] 2026-08-12 | Higher Regularity of Homogeneous Gradient Compositions for $p$-Laplace-Type Equations
[arXiv] 2026-08-12 | EnterpriseRAG: Benchmarking LLM Instruction Adherence and Robustness under Non-Ideal Enterprise Retrieval
[arXiv] 2026-08-12 | A Hybrid Framework of Vision Transformer and Gated Recurrent Unit for Detection of Mosquito Diseases
[arXiv] 2026-08-12 | Dialogue-Aware Video-to-Music Generation Using Public Domain Film Collections
[arXiv] 2026-08-12 | Minkowski Polytopes of Spherical Designs: High-Order Isotropy and Quantitative Sphericity
[arXiv] 2026-08-12 | From Synthesis to Removal: Physics-Grounded Reflection Simulation and Diffusion-Based Video Dereflection
[arXiv] 2026-08-12 | A Helium-shell Burning Blue Horizontal Branch Star Produced from Common Envelope Evolution
[arXiv] 2026-08-12 | Certifying What Helps Customer-Return Timing: A Screen-and-Confirm Test for Conditioning Signals, and Why Decay Is Nearly Enough
[arXiv] 2026-08-12 | Tripartite Zarankiewicz numbers and norm graphs
[arXiv] 2026-08-12 | Robust Ambiguity Detection (RAD) From Model- and Feature-Space Consistency
[arXiv] 2026-08-12 | CT-$Δ$Bench: A Benchmark for Longitudinal 3D Medical Imaging Difference Reporting with Vision-Language Models
[IEEE] 2026-8-12 | Anatomical Prior-Guided Black-Box Attack Optimization for Prostate Tumor mpMRI Classification Models
[IEEE] 2026-8-12 | Understanding and Addressing Reliability Challenges in MoS₂-Based Circuits Under Static and Transient Stress Conditions
[IEEE] 2026-8-12 | A Compact Low-Power D-Band Receiver With Integrated LO Generation and Phase Shifting for Beamforming Applications
[IEEE] 2026-8-12 | Use of Electrical Capacitance Tomography in Robot Embedded Sensing
[IEEE] 2026-8-12 | Sustainable Collaborative Computing Empowered by the Synergy of Mobile Vehicles and UAV
[IEEE] 2026-8-12 | YOPOv2-Tracker: An End-to-End Agile Tracking and Navigation Framework_supp1-3721689.mp4
[IEEE] 2026-8-12 | Distribution Operating Security Space-based Power Decoupling Mechanism of Multiple Virtual Power Plants
[IEEE] 2026-8-12 | Treat LLM-Generated Terraform as Untrusted: An Exploratory Security Study and a Practitioner’s Verification Workflow
[IEEE] 2026-8-12 | Enhancing Remote Sensing Semantic Change Detection via Transferring and Adapting Binary Change Detection Strategies_supp1-3722510.pdf
[IEEE] 2026-8-12 | An LLM Based Framework for Automated MILP Modeling in Dynamic Multi-Robot Task Scheduling
[IEEE] 2026-8-12 | Characterization of Compound Conditional Diagnosability for Interconnection Networks
[IEEE] 2026-8-12 | Foldable Pouch Motor for Wearable Upper Limb Assistance and Rehabilitation
[ACM] 2026-8-13 | An Effective Ensemble Algorithm with Improved DLinear Model for Power Generation Prediction
[IEEE] 2026-8-12 | Experimental Evaluation of Parallel Rendezvous for Fast Node Association in Wi-SUN FAN
[IEEE] 2026-8-12 | LBBB and RBBB For Stress-Enhanced Prediction of Fusion Beats in ECGs Using CEEDMEN-S-G-LSTM
[IEEE] 2026-8-12 | Comparative Analysis of Large Language Model Chatbots in Assessing Student Writing Using the SOLO Taxonomy
[IEEE] 2026-8-12 | Quantifying Metaverse Participant-Pedestrian Discrepancies and Proposing Realistic Player Control
[IEEE] 2026-8-12 | Design and Additive Manufacturing of a Flat GRIN Lens for X-Band
[IEEE] 2026-8-12 | Sustaining Digital Lending Adoption: Empirical Evidence from Indonesian State-Owned Bank
[IEEE] 2026-8-12 | A Comparative Study of Cyanide and Sulfite—Thiosulfate Gold Electrolytes for Au/n-GaAs Schottky Diode Fabrication
[IEEE] 2026-8-12 | IoT Network Cyberattack Detection Performance Using Ensemble Machine Learning Based Intrusion Detection System
[IEEE] 2026-8-12 | Security Acceptance Criteria for FPGA Device Adoption in Nuclear Safety-Critical Systems
[IEEE] 2026-8-12 | Home Energy Management Systems: Architectures, AI-Enabled Services and Open Challenges
[IEEE] 2026-8-12 | Strengthening Crisis Management Through Human-AI Collaboration in Incident Response
[IEEE] 2026-8-12 | Sinhala-English Multilingual AI Call Center Bot with Sentiment-Aware Dialogue and Multimodal CSAT Prediction
[IEEE] 2026-8-12 | Comparative Analysis of Context-Extension and Question-Matching RAG Architectures: A Case Study on German Regulatory Documentation
[IEEE] 2026-8-12 | Implicit Framing in Obstetric Counseling Notes: A Grounded LLM Pipeline on a VBAC-Eligible Cohort
[IEEE] 2026-8-12 | Definite Integral Area Problems in Mathematics as A(GA)A-Type Graphical Problems with AI
[IEEE] 2026-8-12 | Prompt-Guided Community Search Under Extreme Few-Shot Supervision
[IEEE] 2026-8-12 | Ontology-Based Integration and Structural Design of Heterogeneous Data Warehouses for Power Equipment Diagnostics
[IEEE] 2026-8-12 | Knapsack Optimization-Based Schema Linking for LLM-Based Text-to-SQL Generation
[IEEE] 2026-8-12 | Enhanced Academic Certificate Management System Using Steganography and Dual Blockchain
[IEEE] 2026-8-12 | Design Research on Generating a Sense of Life and Emotion in Robots Through Application of Bunraku Puppet Structures
[IEEE] 2026-8-12 | Approximate Butterfly Counting in Sublinear Time
[IEEE] 2026-8-12 | GalaxyRAG: Graph Retrieval-Augmented Generation for Enterprise Knowledge Systems
[IEEE] 2026-8-12 | F5: A Robust SIMD-Accelerated MSD Radix Sort
[IEEE] 2026-8-12 | More Than Pivot for Maximal Clique Enumeration
[IEEE] 2026-8-12 | The Impact of the Intention to Use E-Payment on E-Wallet Applications in Vietnam: A Case Study of Vinh Long Province
[IEEE] 2026-8-12 | YAGIT: An Eco-Dystopian Motion Comic as Supplementary Material for Earth and Life Science Course
[IEEE] 2026-8-12 | Performance Benchmarking of YOLOV26 and YOLOv8 (n/s) Across Raspberry Pi Generations
[IEEE] 2026-8-12 | RaSE-KGC: A Relation-Aware Segment Encoding Approach for Knowledge Graph Completion
[IEEE] 2026-8-12 | TORepair: Diffusion-Based Task-Oriented Error Repair Via Differentiable Bi-Level Optimization
[IEEE] 2026-8-12 | High-Bandwidth Interconnects Fabricated by Electrohydrodynamic Printing on Glass
[IEEE] 2026-8-12 | Implementation of a Gamified Web-Based One-to- One Mathematics E-Learning Platform for High School Students
[IEEE] 2026-8-12 | Hybrid PMI Selection for Codebook-Based MIMO in 5G NR Under CSI Feedback Delay and High Mobility
[IEEE] 2026-8-12 | Design of Highly Selective Hairpin Filter on Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Substrate for Ku-band Applications
[IEEE] 2026-8-12 | Video Brightness-Aware Encoding to Optimize Energy Consumption in HTTP Adaptive Streaming
[IEEE] 2026-8-12 | Research Methodology for Analyzing Fluid Flow Parameters in Electric Boiler Heat Exchangers within Heating Systems
[IEEE] 2026-8-12 | Power efficient Flash ADC using optimized dynamic comparator
[IEEE] 2026-8-12 | A Trustworthy Adaptive $h$-Refinement Method for High-Resolution Scattering Centers Imaging
[IEEE] 2026-8-12 | Solving Electromagnetic Scattering Problem of Multi Targets by MoM and Vector Spherical Wave Transition Matrix
[IEEE] 2026-8-12 | Review of the Challenges with High Solar Photovoltaic Penetration in Power System
[IEEE] 2026-8-12 | A Hybrid Human–AI Assessment Pipeline for Proof-Based Mathematics Courses: A Cross-Domain Design in Real Analysis, Abstract Algebra, and Number Theory
[IEEE] 2026-8-12 | A Passive Vector Modulator for 28-Ghz Applications
[IEEE] 2026-8-12 | Low-Noise Microwave Amplifier Design Using Ideal Matching Two-Ports
[IEEE] 2026-8-12 | Developing an Immersive Application of Therapeutic Art for Emotional Regulation
[IEEE] 2026-8-12 | An AI-Enhanced Extended Reality Framework for Probabilistic Thermal Comfort Assessment in Sustainable Building Design
[IEEE] 2026-8-12 | Semantic Node Similarity in Graphs Using Transformer-Based Embeddings
[IEEE] 2026-8-12 | Uncrewed Aerial Vehicle Remote Sensing for Meteorology: A review of current status, applications, and opportunities
[IEEE] 2026-8-12 | Development and Analysis of a Parser for Program Models in the SimInTech PL Language
[IEEE] 2026-8-12 | Unified Heterogeneous Event Sequence Modeling for Remission-Stage Risk Prediction among Cancer Survivors with Multiple Chronic Conditions
[IEEE] 2026-8-12 | Simulation-Based Evaluation of Thermal Image Degradation Techniques for Power Substation Diagnostics
[IEEE] 2026-8-12 | Soft Wireless Wearable Bioelectronics for Continuous Monitoring of Brain Water Dynamics Across Sleep Stages
[IEEE] 2026-8-12 | Flexible multimodal sensor-integrated upper-limb prostheses simulator to monitor functional engagement
[IEEE] 2026-8-12 | Immersive Environments in Medical Education: A Virtual Reality Approach to Angioplasty Training
[IEEE] 2026-8-12 | Configuration and Testing of a Feeder Protection-Based Power Redirection Technique with IEC 61850 Standard GOOSE Control Model Using Hardware-in-the-Loop for an Electrical Distribution System
[IEEE] 2026-8-12 | MOR-GPCCA for Clinically Anchored Longitudinal MRI Biomarkers and SuStaIn Subtype–Stage Modeling in Alzheimer’s Disease
[IEEE] 2026-8-12 | Implementation of a Powered Visual Perception System for Real-Time Obstacle Classification and Spatial Navigation for People with Visual Impairments
[IEEE] 2026-8-12 | Techno-Economic Assessment of Green Hydrogen Production via Grid-Connected Electrolysis in Uruguay
[IEEE] 2026-8-12 | Research on Characteristic Mode Analysis Method Based on Partially Overlapping Basis Functions
[IEEE] 2026-8-12 | Beyond Accuracy: A Cost Aware Evaluation of Mobile Typing-Based Authentication
[IEEE] 2026-8-12 | Assessing Audit-Readiness in IDS and SIEM Alert Triage via Semantic Evidence Hooks
[IEEE] 2026-8-12 | Temperature-Tunable Microwave Absorption in Bamboo-Derived Porous Carbon: A Physics-Based Parametric Framework
[IEEE] 2026-8-12 | Effect of the SiO
                    <sub>2</sub>
                    Layer on the Diffusion of Al Atoms from the Sapphire Substrate into the Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Thin Film Used as a Lambda-Probe
[ACM] 2026-8-13 | SmartFuse-LLM: Fusing Computation into Collectives for Efficient Tensor-Parallel LLM Systems
[IEEE] 2026-8-12 | Drift-Diffusion Based Numerical Investigation of Two-Photon Absorption in Broad-Area High-Power Diode Lasers
[IEEE] 2026-8-12 | MolPACL: Molecular Property Prediction Based on Prompt Augmentation and Contrastive Learning
[IEEE] 2026-8-12 | XtraLight-MedMamba: An Ultra-Lightweight Mamba-Based Framework for Histopathologic Classification of Neoplastic Tubular Adenomas
[IEEE] 2026-8-12 | DiEL: Disentangled Evolutionary Learning for Identity-Preserving Face Enhancement and Recognition
[IEEE] 2026-8-12 | Ultrathin Transmissive Silicon Photodiodes for Beam Position and Monitor Applications
[IEEE] 2026-8-12 | FER20E: An Extended Facial Expression Recognition Dataset with 20 Discrete Emotions
[IEEE] 2026-8-12 | Impact of Electrode Material on Transient Current and Conduction Mechanisms in Oil Impregnated Pressboard Insulation
[IEEE] 2026-8-12 | QuikDel: A Scalable Hierarchical Multi-agent System for Urban Delivery Using Q-Learning
[IEEE] 2026-8-12 | Adaptive Vibration and Consensus Control for Networked Mobile Vehicle-Mounted Manipulator With Actuator Faults and Output Constraints
[IEEE] 2026-8-12 | Semantic Consistent Memory Hashing with Incremental Regularization for Incomplete Cross-Modal Retrieval
[IEEE] 2026-8-12 | Modal-based Prediction of Power System Frequency Response and Frequency Nadir
[IEEE] 2026-8-12 | 2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)
[IEEE] 2026-8-12 | CMOS-Based Integrated Circuits Above 0.2 THz: Circuit Techniques and System Demonstrations
[IEEE] 2026-8-12 | ICSETI 2026 TOC
[IEEE] 2026-8-12 | Continuous Monitoring in Implantable Cardiac Devices: Electro-Quasistatic Human Body Communication– Challenges and Opportunities_supp1-3722470.pdf
[IEEE] 2026-8-12 | A Quaternion Rotation-Enhanced Differential Privacy Framework for Image Privacy Protection_supp1-3707866.pdf
[IEEE] 2026-8-12 | AI-Driven Synthesis of Training Environments for Scalable Reinforcement Learning
[IEEE] 2026-8-12 | GNSS precise point positioning enhanced mobile laser scanning railway point cloud registration
[IEEE] 2026-8-12 | RACG-Ground: Ring-Adaptive Confidence Gating for LiDAR Ground Segmentation
[IEEE] 2026-8-12 | TopFGL: A Topology-Aware and Distributionagnostic Federated Learning Framework Tackling Topological Heterogeneity on Graph Data
[IEEE] 2026-8-12 | Security-Aware Geometrically Robust 3D Watermarking: Threat Models, Games, and Evaluation Protocols
[IEEE] 2026-8-12 | Study on Uncertainty of Electromagnetic Scattering from Dusty Plasma Based on S-FDTD Method
[IEEE] 2026-8-12 | A Set-Theoretic Approach to Detecting Logic Bugs in DBMS Inner Join Optimizations
[IEEE] 2026-8-12 | [Experiment, Analysis, and Benchmark] Systematic Evaluation of Plan-Based Adaptive Query Processing
[IEEE] 2026-8-12 | Reconfiguring Scalable Hashing with Persistent CPU Caches
共写入 200 条记录，保存到 papers/paper2026-08-12.json。
论文获取成功，文件路径: papers/paper2026-08-12.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[NO] 2/200 | LoSA: Near-Lossless Sparse Attention for Training-Free Video Diffusion Acceleration
[NO] 3/200 | A transport geometry of acoustic analogies:exact holonomy of source re-attribution and its observable consequences
[NO] 4/200 | Formally Verified Lock-Free Software Transactional Memory for Scientific Measurement
[NO] 5/200 | Hasse-Witt invariants for trace forms of Jacobi polynomials
[NO] 6/200 | Poly-Dialectal Neural Machine Translation System for Bangla Regional Dialects
[NO] 7/200 | The Ambipolar electric field in multispecies plasma atmospheres: effects of alpha particles and stochastic heating
[NO] 8/200 | Adaptive Bregman Proximal Stochastic Gradient with a Stabilized Barzilai--Borwein Step Size
[NO] 9/200 | Beyond Local Power: Functional Connectivity Analysis for Subject-Independent Learning Style Recognition
[NO] 10/200 | A Remote Approach to Cashew Orchard Detection: Leveraging Active Learning with Satellite Imagery in Guinea-Bissau
[NO] 11/200 | Contextuality in the $n$-qubit Pauli group
[NO] 12/200 | Inverse Confounding Analysis: An Exact Method for Quantifying the Significance of Confounding
[NO] 13/200 | Improved weak-strong uniqueness for general cross-diffusion systems
[NO] 14/200 | Benchmarking Trustworthiness of SLMs: Pre-trained vs. Compressed
[NO] 15/200 | Spiral structure from the interference of gravitational eigenmodes in ultralight dark matter halos
[NO] 16/200 | Developing LLM-based Multi-Agent Systems in Software Engineering: A Mixed-Method Experience Report
[NO] 17/200 | Squeezed quantum states and partner modes in the moving mirror model of black hole evaporation
[NO] 18/200 | Philosophical vertigo with artificial intelligence
[NO] 19/200 | Efficient Response-Adaptive Randomization for Multi-arm Trials with Prioritized Composite Endpoints
[NO] 20/200 | A Lewy-type theorem for pluriharmonic mappings in $\C^2$ and bi-Lipschitz quasiconformal harmonic maps
[NO] 21/200 | Accuracy and Order Sensitivity Diverge Under Label-Free Strategies
[NO] 22/200 | Dimensional crossover and local strain induced deflection of the spin spiral state in multiferroic NiI2
[NO] 23/200 | Evaluating and Calibrating Diffusion Model-derived Uncertainty for Quantitative MRI Mapping
[NO] 24/200 | OEIS Open: How many conjectures can language models turn into theorems?
[NO] 25/200 | Rank-Two Frobenius-Linearized Normal Forms and Orthoderivative Dual Coordinates in Quadratic APN Maps
[NO] 26/200 | Distillation of Foundation Models for Time-dependent PDEs
[NO] 27/200 | Resonant Raman signatures of bright and momentum-dark exciton coupled by intervalley phonon scattering in monolayer WSe2
[NO] 28/200 | Hamilton-Zero: A Neural Tensor-Network Foundation Model for Ground States of Arbitrary Quadratic Qubit Hamiltonians
[NO] 29/200 | Spin-polarized supercurrents and Josephson diode effect in altermagnets
[NO] 30/200 | DexterSQL: Deep Schema Exploration and Rule-based Correction for Text-to-SQL Generation
[NO] 31/200 | Agent Skills Can Be Harmful: An Empirical Study of Skill-Induced Failures in LLM Agents
[NO] 32/200 | Total Recall at What Cost? Benchmarking the Serving Cost of Agentic Memory Systems
[NO] 33/200 | Limitations on Joint Coherence Transfer in Quantum Thermodynamics
[NO] 34/200 | Sharp bounds for frame counts and setwise stabilizers in classical groups
[NO] 35/200 | SPORE: An Event-Level Sampling Pipeline for Multi-Telescope Neutrino Astronomy
[NO] 36/200 | Programmable vs. Static Beam Shaping in Ultrafast Laser Micromachining: A Critical Review
[NO] 37/200 | A Tight Scale-Locality Bound for Partial Detection in Non-Adaptive Group Testing
[NO] 38/200 | Quantum Anomalous Hall Effect in $d^{10}$ Oxide Monolayers
[NO] 39/200 | Results from the first spectropolarimetric survey of $γ$ Dor pulsators
[NO] 40/200 | A Methodological Approach For Design Of Energy Efficient Urban Logistics Systems
[NO] 41/200 | Uniformly Stable Minimal Weyl--Heisenberg Measurements Approaching the SIC Benchmark
[NO] 42/200 | A uniform elliptic reduction, an order-matching criterion, and precision benchmarks for the strong-coupling Birman-Schwinger analysis of the lattice three-boson trimer
[NO] 43/200 | Weinstock inequalities for outward-minimizing domains
[NO] 44/200 | User-Assisted Collaborative Distributed Inference for Efficient QoS-Aware Autoscaling
[NO] 45/200 | Towards Understanding On-Policy Distillation through the Lens of Test-Time Scaling
[NO] 46/200 | Usage of GPUs for ALICE Run 3 Offline Reconstruction on the GRID
[NO] 47/200 | Some Reverse Hardy-Littlewood-Sobolev Type Inequalities
[NO] 48/200 | Lithography-free patterning of SrTiO$_3$-based two-dimensional electron gases using direct atomic layer processing
[NO] 49/200 | CoDiR: Confidence-Guided Diffusion Refinement for Semi-Supervised Histopathology Segmentation
[NO] 50/200 | Understanding Content Moderation in Large Language Models through Restricted Books: From Refusal to Warning
[NO] 51/200 | Silent Updates: Measuring and Closing the Post-Deployment Disclosure Gap
[NO] 52/200 | Spatial coherence enabled sensorless adaptive optical imaging
[YES] 53/200 | TRACE: A Modular Framework for RIS-Assisted Channel Estimation and Differential Channel-Aware Reconfiguration
[NO] 54/200 | Toward Meaningful Transparency for AI Chatbots: Disclosing Persuasive Intent Reduces Persuasion
[NO] 55/200 | RaStream: Edge-Deployable Streaming Human Mesh Recovery from mmWave Radar
[YES] 56/200 | High-Order Liquid Evidence Encoding for Gradual GNSS Spoofing Detection in Autonomous Driving
[NO] 57/200 | VOLA: Improving Open-World Driving by VLM-Based Semantic Attribute Prediction
[NO] 58/200 | Radio flares and X-ray hardening embedded in the long soft state of 4U 1543-475
[NO] 59/200 | Diagnosis Before Recovery: Turning Agent Failures into Selective Self-Correction
[NO] 60/200 | Characterizing Nonlinearities in IM-DD Links via the Best Linear Approximation: Distortion Analysis and Modulation Optimization
[NO] 61/200 | Dual Modality Prompted Diffusion Priors for Zero Shot Hyperspectral Pansharpening
[NO] 62/200 | Magnetic noise of a dark exciton Bose-Einstein condensate
[NO] 63/200 | ContactIPM: A Structure-Exploiting Interior-Point Solver for Contact-Implicit Trajectory Optimization
[NO] 64/200 | The critical exponent for semilinear wave equations with damped oscillations
