[2026-06-09 11:55:09] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-08
正在获取论文...
[arXiv] 2026-06-08 | A Differentiable Simulation of the Eye for Patient-Specific Strabismus Surgery Planning
[arXiv] 2026-06-08 | LangRetrieval: Language-Guided Self-Evolving Satellite-to-Radar Retrieval via CSI-Driven Reward
[arXiv] 2026-06-08 | Memory Beyond Recall: A Dual-Process Cognitive Memory System for Self-Evolving LLM Agents
[arXiv] 2026-06-08 | Optical Music Recognition for Real-World Manuscripts with Synthetic Data
[arXiv] 2026-06-08 | Goal Sets, Not Goal States: Queryable Robot Goals through Goal-Set Hindsight Relabeling
[arXiv] 2026-06-08 | Parameter Sensitivity Analysis of Hierarchical Spatial Economy: Trade Strategy around Brexit
[arXiv] 2026-06-08 | Hardware-Aware QAOA for Honeypot Traffic Partitioning on 100+ Qubit IBM Quantum Processors
[arXiv] 2026-06-08 | Tuning Dispatch Thresholds for Fixed Last-Mile Routes: A Simulation-Based Pareto Analysis of a Production Policy
[arXiv] 2026-06-08 | Dense Force Estimation with an Event-based Optical Tactile Sensor
[arXiv] 2026-06-08 | The macroscopic Kaehler metric of Geometric Thermodynamics versus the microscopic one on the Event Manifold: Exact Partition Functions on CV manifolds. Extended Souriau temperatures and spontaneous magnetizations
[arXiv] 2026-06-08 | Leveraging Optimal Information-Power Flow for Transmission Switching in AC/MTDC Grids
[arXiv] 2026-06-08 | MUDIDI: A Two-Stage Framework for Multilingual Dictionary Digitization with Language Models
[arXiv] 2026-06-08 | Model of Flavors
[arXiv] 2026-06-08 | Static axisymmetric Einstein spaces with a cosmological constant and the limitation of canonical Weyl coordinates
[arXiv] 2026-06-08 | IMUG-Bench: Benchmarking Unified Multimodal Models on Interleaved Understanding and Generation
[arXiv] 2026-06-08 | Vision-Language Guided Hyperspectral Object Tracking via Semantics Fusion and Contextual Template Updating
[arXiv] 2026-06-08 | Unified Energy for Invariant and Independent Decoding in Diffusion Language Models
[arXiv] 2026-06-08 | Bridged SBI: Correcting Biased Low-Fidelity Posteriors for Cost-Efficient High-Fidelity Inference
[arXiv] 2026-06-08 | Constraining DVCS Compton Form Factors Using Lattice QCD calculations
[arXiv] 2026-06-08 | Molecular dynamic simulation of multicomponent CoCrFeNiMn high-entropy alloy thin film deposition
[arXiv] 2026-06-08 | Modeling of Spinning Plates: Geometric Stiffening and Modal Approximation for GNC Applications
[arXiv] 2026-06-08 | Vision Language Model Helps Private Information De-Identification in Vision Data
[arXiv] 2026-06-08 | Persistent singlet electronic character in the multiexcitonic triplet-pair state of strongly coupled pentacene singlet fission dimers
[arXiv] 2026-06-08 | Symmetry-Breaking Induced Spin Transport and Magneto-Optical Regulation in 2D Altermagnet Ru2MoSe4
[arXiv] 2026-06-08 | An Enhanced Geometric-Spectral Feature Learning Framework for Airborne Multispectral Point Cloud Classification
[arXiv] 2026-06-08 | Post-Newtonian analysis of the quantum signatures of gravity
[arXiv] 2026-06-08 | ComplexConstraints and Beyond: Expert Rubrics for RLVR
[arXiv] 2026-06-08 | Counterfactual Transport Flows for Offline Conservative Trajectory Refinement
[arXiv] 2026-06-08 | Hybridizing Equilibrium Propagation with Ising Machines for Efficient Energy-Based Learning
[arXiv] 2026-06-08 | Chimera: Protocol-Aware Recovery for Confidential BFT Consensus
[arXiv] 2026-06-08 | RSMA Technique for Multi-User Downlink Single-Waveguide Multi-Pinching Antenna Systems
[arXiv] 2026-06-08 | Supervised Low-Rank Structure Discovery for Developmental Epigenetic Aging in Ultra-High-Dimensional DNA Methylation Data
[arXiv] 2026-06-08 | DynaOD: Dynamic Origin-Destination Flow Generation with Discrete-to-Continuous Temporal Semantic Modeling
[arXiv] 2026-06-08 | Teach Multimodal Recommendation Model to See via Personalized Visual Extraction and Adaptive Learning
[arXiv] 2026-06-08 | FlashMemory-DeepSeek-V4: Lightning Index Ultra-Long Context via Lookahead Sparse Attention
[arXiv] 2026-06-08 | Local centralizer rigidity for twisted Weyl chamber flows
[arXiv] 2026-06-08 | A Unifying Lens on Reward Uncertainty in RLHF
[arXiv] 2026-06-08 | Fairness-Aware and Latency-Controllable Scheduling for Chunked-Prefill LLM Serving
[arXiv] 2026-06-08 | Stage-1 Controls the Entropy Regime, Not the Outcome
[arXiv] 2026-06-08 | A Hybrid Generative Reduced-Order Model for the Minimal Flow Unit
[arXiv] 2026-06-08 | DynaCF: Mitigating Shortcut Learning in Reward Models via Dynamic Counterfactual Sensitivity
[arXiv] 2026-06-08 | CRANE: Knowledge Editing for Reasoning MLLMs
[arXiv] 2026-06-08 | Personal Salience: Highlighting Is Social, but Individuality Lives in Selection
[arXiv] 2026-06-08 | Sparse Convexification for High-Dimensional Constrained Regression
[arXiv] 2026-06-08 | On an $n-$Dimensional Travel Time Tomography Problem
[arXiv] 2026-06-08 | TLDR: Compressing Audio Tokens for Efficient Autoregressive Text-to-Speech
[arXiv] 2026-06-08 | Beyond Averages: Evaluating LLMs on Human Survey Replication at the Distributional Level
[arXiv] 2026-06-08 | JAX-AMG: A GPU-Accelerated Differentiable Sparse Linear Solver Library for JAX
[arXiv] 2026-06-08 | Relativistic Effects in Spin Correlations Induced by QED Scattering and Wigner Rotations
[arXiv] 2026-06-08 | Language-Aware Token Boosting: LLM Language Confusion Reduction Without Tuning
[arXiv] 2026-06-08 | LEAF: A Learning-Enabled ADMM Framework for Accelerated Convex Optimization
[arXiv] 2026-06-08 | From Characters to Matrices: An Elementary Construction of Irreducible Representations of Finite Groups
[arXiv] 2026-06-08 | Structure-Aware Modeling of Multiple-Choice Questions Improves Automatic Difficulty Estimation
[arXiv] 2026-06-08 | The origin of WHAM Point Source~46
[arXiv] 2026-06-08 | Heterophily-Aware Adaptive Knowledge Distillation for Hypergraph Neural Networks
[arXiv] 2026-06-08 | Online Learning with Recency: Algorithms for Sliding-window Streaming Multi-armed Bandits
[arXiv] 2026-06-08 | Three-dimensional Fundamental Diagrams of Five-neighbor Particle Cellular Automata
[arXiv] 2026-06-08 | The complex kinematics of the young stars orbiting the supermassive black hole in the Galactic center can be explained by the presence of an intermediate mass companion of Sgr A$^\star$
[arXiv] 2026-06-08 | Hardening Agent Benchmarks with Adversarial Hacker-Fixer Loops
[arXiv] 2026-06-08 | From inverse problems to neural operators: prediction, mechanism, and generalization of data-driven models
[arXiv] 2026-06-08 | Nuclear matrix element of $2νββ$ decay of $^{76}$Ge: roles of high-lying states and two-body currents
[arXiv] 2026-06-08 | Design of a multifunctional Doppler backscattering diagnostic for the Pegasus-III Experiment
[arXiv] 2026-06-08 | Multilingual Sentiment Aware Text Summarization A Reinforcement Learning Approach for Consistency Maintenance
[arXiv] 2026-06-08 | PACT: Learning Diverse Diagnostic Strategies via Privileged Synthesis and Branch Consensus
[arXiv] 2026-06-08 | WeaveBench: A Long-Horizon, Real-World Benchmark for Computer-Use Agents with Hybrid Interfaces
[arXiv] 2026-06-08 | Harness Engineering for Physical AI: Robot Middleware Is the Harness Layer
[arXiv] 2026-06-08 | Towards a consistent framework of determining active galactic nucleus contribution fraction and host galaxy properties
[arXiv] 2026-06-08 | Can Data Work be Reparative?
[arXiv] 2026-06-08 | PriFT: Prior-Support Guided Supervised Fine-Tuning
[arXiv] 2026-06-08 | An Introduction to Measurement Uncertainty
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[IEEE] 2026-6-8 | Reconstructing Boolean Functions From MAGIC Logic-in-Memory Using Power Side-Channel Attacks
[IEEE] 2026-6-8 | Language Supervised Multi-Camera Multi-Object Tracking
[IEEE] 2026-6-8 | Intuitive Tele-Operated Robotic Catheter System with Wrist-based Controller
[IEEE] 2026-6-8 | Rotor Electromagnetic Structure Optimization for Improving the Efficiency of Permanent-Magnet Synchronous Motors in New Energy Vehicles
[IEEE] 2026-6-8 | Information Control in Networked Multi-User Discrete-Event Systems Using State Estimates
[IEEE] 2026-6-8 | Design and Evaluation of an Educational Virtual Agent Based on Retrieval-Augmented Generation for the Entrepreneurship Culture Course in Higher Education_supp1-3700935.pdf
[IEEE] 2026-6-8 | PCPSI: Efficient Unbalanced Private Set Intersection Using Homomorphic Encryption with Plaintext–Ciphertext Multiplication
[IEEE] 2026-6-8 | Adaptive Model-Free Predictive Current Control for SPMSM Drives Using Algebraic Estimator: Enhanced High-Frequency Disturbance Rejection
[IEEE] 2026-6-8 | IRASET 2026 TOC
[IEEE] 2026-6-8 | Explainable AI-Driven Intrusion Detection System Using Hybrid Deep Learning Models for Secure Network Infrastructure
[IEEE] 2026-6-8 | Inchiscope: A Modular Triple-Balloon Soft Robotic Endoscope for Navigating the Small Bowel
[IEEE] 2026-6-8 | Efficient Minimum $k$-Truss Search: A Decomposition-Based Approach
[IEEE] 2026-6-8 | Hybrid Consistency Policy: Decoupling Multi-Modal Diversity and Real-Time Efficiency in Robotic Manipulation
[IEEE] 2026-6-8 | H-VSJ: A Hybrid Stiff-Compliant Variable Stiffness Joint With Decoupling Position and Stiffness Modulation
[IEEE] 2026-6-8 | A Review of Vision-Based Vehicle Detection for UAV-Based Traffic Monitoring: Experimental Insights and Future Directions
[IEEE] 2026-6-8 | Real-Time Detection of Subsurface Defects in CFRP Using Line-laser Scanning Thermography and CSDNet
[IEEE] 2026-6-8 | Pointing Calibration Study for the HADAR Experiment
[IEEE] 2026-6-8 | Robust Beamforming Design for STAR-RIS Assisted MISO Secure Communication System
[IEEE] 2026-6-8 | Untethering EIT: An Integrated Wireless Tactile Interface for Human&amp;#x2013;Machine Interaction_supp3-3688715.mp4
[IEEE] 2026-6-8 | Surrogate-Assisted Framework for Log-Periodic Feedlines based Filter Optimization
[IEEE] 2026-6-8 | Hybrid Bit and Semantic Communications for UAV-Enabled Wireless Power Transfer Networks: A Decision-Assisted Deep Reinforcement Learning Approach
[IEEE] 2026-6-8 | A Radar-Based Contactless Stethoscope for Phonocardiogram Reconstruction
[IEEE] 2026-6-8 | Multi-Scale Object Detection for Autonomous Driving Based on Multimodal Feature Fusion
[IEEE] 2026-6-8 | RE-FIDS: Robust and Explainable Federated Learning-based Intrusion Detection System
[IEEE] 2026-6-8 | Intracavity Temperature Sensor Based on Phase-Shifted Fiber Bragg Grating in a Fiber Laser
[IEEE] 2026-6-8 | Time-Series Forecasting of Cloud Resource Utilization Using Hybrid LSTM Models
[IEEE] 2026-6-8 | Mitigating Misalignment of Excitation Sources in Low-Frequency Mammography
[IEEE] 2026-6-8 | Deep Learning-based Smart Traffic Signal Control
[IEEE] 2026-6-8 | Optimized Microenvironments for Battery Cell Production: Space-Efficient Handling Systems and Economic Feasibility
[IEEE] 2026-6-8 | An AI-Driven Cyber-Physical Control System for Real-Time Environmental Monitoring and Disaster Management
[IEEE] 2026-6-8 | Interface and Transport-Layer Engineering for CdS / BaZrS
                    <sub>3</sub>
                    / CuSCN Solar Cells: Device Simulation, Band Alignment and Defect Effects
[IEEE] 2026-6-8 | Deep Hybrid Architecture for Cybersecurity Threat Detection in IIOT Networks: CNN–BiGRU Approach
[IEEE] 2026-6-8 | Deep Learning-Based Prediction of Pulsed Electric Field and Biological Parameters from In Vitro Experiments
[IEEE] 2026-6-8 | An Efficient Tuberculosis Detection from Chest X-ray Images using Lightweight Deep Learning Models
[IEEE] 2026-6-8 | BIM–AI Integration for Sustainable Urban Planning in Smart Cities: Framework, Challenges, and Future Trends
[IEEE] 2026-6-8 | Evaluating the Importance of Marine Ecological Protection: A Case Study of the Dalian Sea Area, Liaoning Province
[IEEE] 2026-6-8 | Investigating the Synergy between Industry 4.0 Technologies, Lean Tools, and Lean Wastes
[IEEE] 2026-6-8 | Cloud-based Intelligent Brain Tumor Detection and Segmentation Framework using Hybrid Deep Representation Learning Approach
[IEEE] 2026-6-8 | Energy-Efficient AI Models for Large-Scale Technical Data Collection in Cyber-Physical Systems
[IEEE] 2026-6-8 | Quaternary Reversible Circuit Optimization for Scalable Multiplexer and Demultiplexer
[IEEE] 2026-6-8 | Follow the Sun and Catch the Wind: A Spatio-Temporal GNN-DRL Routing Framework for Carbon-Neutral Geo-Distributed Data Centers
[IEEE] 2026-6-8 | When Does Artificial Intelligence Matter for Knowledge Management? Empirical Insights from Indonesian Organizations
[IEEE] 2026-6-8 | Deep Learning-Based Intelligent Intrusion Detection System For The Internet Of Medical Things
[IEEE] 2026-6-8 | Rotor load decoupling method based on geometric modal projection
[IEEE] 2026-6-8 | Literature Review on Neural Networks based Security in Multimedia with Application and Emerging Trend
[IEEE] 2026-6-8 | Artificial Intelligence Techniques for Dynamic Analysis Predictions of Regular Building Structures in Morocco
[IEEE] 2026-6-8 | Efficient Assessment Method for the Temperature Rise Limit of Degaussing Coil Systems Based on Sparse Simulation and Model Extrapolation
[IEEE] 2026-6-8 | Reliability-Guided Frequency Compensation Network for Multi-Exposure Image Fusion
[IEEE] 2026-6-8 | Evaluating Data Poisoning Resilience of Large Language Models for Cybersecurity Applications
[IEEE] 2026-6-8 | A Study on Mechanical Behaviour of Ternary Blended Geopolymer Concrete
[IEEE] 2026-6-8 | GridInsu-Net: An Efficient Algorithm for Defect Detection of Transmission Line Insulators
[IEEE] 2026-6-8 | Classification of Edible and Poisonous Mushrooms Using Lightweight Deep Learning Models on Mobile Devices
[IEEE] 2026-6-8 | A Deep Learning Approach for Metal and Plastic Waste Segregation
[IEEE] 2026-6-8 | A Unified Deep Learning-Based Architecture for Real-Time Monitoring and Classification of Fungal and Viral Crop Infections in Precision Agriculture
[IEEE] 2026-6-8 | IoT-Enabled EV Parking Station Powered by Renewable Energy
[IEEE] 2026-6-8 | OkraSqueezeNet: A Lightweight CNN with Bayesian Optimization for Real-Time Ladies Finger Leaf Disease Detection
[IEEE] 2026-6-8 | Using Generative AI to Improve Cities, Energy, Farming, and Healthcare for the Environment
[IEEE] 2026-6-8 | LIME-Based Analysis of Adversarial Feature Manipulation in Cloud Intrusion Detection Systems
[IEEE] 2026-6-8 | Emotionally Adaptive Conversational AI for Personalized Learning
[IEEE] 2026-6-8 | Non-Invasive Diagnosis of Circulating Blood or Cardiac Inflammatory Diseases Through Microwave Technology
[IEEE] 2026-6-8 | Comparative Evaluation of Prompting Strategies for LLM-Based Combinatorial Optimization
[IEEE] 2026-6-8 | BrainArcNet: Attention-Enhanced InceptionResNetV2 with ArcFace for Accurate Brain Tumor Classification from MRI Scans
[IEEE] 2026-6-8 | Investigating Genomic Insights and Smart Biomaterial–Based Biosensing Using Data Science Approaches for Advancing Precision Oncology Treatments
[IEEE] 2026-6-8 | A Machine Learning-Assisted Approach for High-Precision PV Module Characterization
[IEEE] 2026-6-8 | CityPulse 360 – AI-Powered Real-Time Urban Happiness and Sentiment Analysis
[IEEE] 2026-6-8 | Deepfake Video Forensics Using ResNeXt–LSTM Visual Modeling and DSP-Enhanced Audio Spectrogram Analysis
[IEEE] 2026-6-8 | A Dual-Level Data-Driven Framework for Reducing Financial Fraud in Banking
[IEEE] 2026-6-8 | Performance Comparison of Radiative Transfer Simulation Tools Based on Land Surface Radiance in Beihang Green Garden
[IEEE] 2026-6-8 | Dynamic Data-Driven Framework for Forecasting Employment Trends in the AI Era
[IEEE] 2026-6-8 | Harnessing Large Language Models for Next-Generation Artificial Intelligence Applications
[IEEE] 2026-6-8 | An AI-Driven Optimization Framework for Sustainable E-Waste Management and Resource Utilization
[IEEE] 2026-6-8 | Research on Construction and Virtual Commissioning of Intelligent Warehousing System Based on PQFactory Platform
[IEEE] 2026-6-8 | New approach to improve low-noise amplifier performances for 2.45 GHz wireless applications
[IEEE] 2026-6-8 | FDSCBAM-YOLO: Integrating Frequency-Domain Attention with Depthwise Separable Convolution for Data-Scarce SAR Vehicle Detection
[IEEE] 2026-6-8 | PSO-Based Optimization of a CMOS Switched-Capacitance Current-Starved Ring VCO in 0.18-μm Technology
[IEEE] 2026-6-8 | Dual-Path Motion Encoding for Robust Violence Detection
[IEEE] 2026-6-8 | IAC-TecMed Database for Infrared Thermography-Based Diabetic Foot Monitoring
[ACM] 2026-6-8 | ReadAR: Utilizing Mixed Reality for Physical Document Digitization
[ACM] 2026-6-8 | The Impact of Haptics on User Presence in Virtual Reality
[ACM] 2026-6-8 | Culturally Informed Colour Coding in Virtual Reality: Preserving ovaHimba Heritage
[ACM] 2026-6-8 | Translating Multimodal UX Requirements into System Architecture: The Implementation of the UX-Tracking Framework
[ACM] 2026-6-8 | Scalable Floating-Point Satisfiability via Staged Optimization
[ACM] 2026-6-8 | Solvable Tuple Patterns and Their Applications to Program Verification
[IEEE] 2026-6-8 | Koopman Neural Operator for Multi-Task Modeling in Optical Fiber Communications with NTK Analysis
[IEEE] 2026-6-8 | Geometry Optimization of Non-Ideal Through-Glass Vias (TGVs) for Enhanced Electrical and Mechanical Performance
[IEEE] 2026-6-8 | Parameter Efficient Emotional Transfer for Fine-Grained Emotional Audio-Driven Talking Portrait Generation_supp1-3699022.mp4
[IEEE] 2026-6-8 | The Capacity of the Weighted Read Channel
[IEEE] 2026-6-8 | Finite-Time LQR Control With Redundant Inputs for Continuous-Time Systems
[IEEE] 2026-6-8 | Target-centered Micro-motion Tracking and Measurement with Commodity WiFi
[IEEE] 2026-6-8 | Rate Optimization in Hybrid Multi-RIS Assisted NOMA Systems Based on WMMSE Algorithm
[IEEE] 2026-6-8 | Systematic Evaluation of Interpolation Strategies for Soil Moisture Retrieval Using Sentinel-1/2 Data: A Case Study in Shandian River Basin
[IEEE] 2026-6-8 | 2026 IEEE MTT-S International Microwave Biomedical Conference (IMBioC)
[IEEE] 2026-6-8 | Finite-Time Distributed Time-Varying Optimization of High-Order Agents With Unknown Gradient Derivative
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp2-3699247.mp4
[IEEE] 2026-6-8 | A Soft Worm Robot for Sub-Centimeter Scale Pipeline Inspection_supp4-3699247.mp4
[IEEE] 2026-6-8 | Graph Processing with Contrastive Learning for Social Recommendation in IoT Interaction Networks
[IEEE] 2026-6-8 | Upper Limb Movement Assistance through Model-Based Path Planning and Control of Hybrid FES-Exoskeleton Systems_supp1-3700177.mp4
[IEEE] 2026-6-8 | A Heterogeneous System Architecture for Monocular Depth Estimation and Parallel Multi-Task Vision on Edge Devices
[IEEE] 2026-6-8 | Detection of Arbitrary Polarization States Based on Spoof Surface Plasmon Polaritons
共写入 200 条记录，保存到 papers/paper2026-06-08.json。
论文获取成功，文件路径: papers/paper2026-06-08.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | A Differentiable Simulation of the Eye for Patient-Specific Strabismus Surgery Planning
[NO] 2/200 | Muon Learns More Robust and Transferable Features than Adam
[NO] 3/200 | Beyond Accuracy: Community Perspectives on Machine Translation
[NO] 4/200 | MAVIS: Multi-Agent Video Retrieval via Structured Video Understanding
[NO] 5/200 | Effective QCD model with consistent quasi-gluon treatment : formulation and application
[NO] 6/200 | Blowing star formation away in AGN hosts (BAH) -- V: The Feeding-Feedback Cycle in local AGNs as reveled by their stellar populations
[NO] 7/200 | Entanglement Generation through Coherent and Non-Coherent Control
[NO] 8/200 | ARTGEL: A temperature-regulated electrophoresis platform for quantitative studies of reversible association in gels
[NO] 9/200 | Clinically Grounded Privacy Evaluation of Medical LMs
[NO] 10/200 | Probabilistically Checking Quantum Proofs, with Interaction
[NO] 11/200 | Seeing the Hivemind: A Consensus-Aware Interaction Technique for Mitigating AI Homogenization
[NO] 12/200 | Pressure-robust and quasioptimal Discontinuous Galerkin discretisations of the $p$-Stokes problem
[NO] 13/200 | A characterization of Projective and Weakly Projective Boolean Algebras
[NO] 14/200 | TABVERSE: Benchmarking Cross-Format Table Understanding in LLMs and VLMs
[NO] 15/200 | k-Means Clustering in Fingerprint-Based Configuration Selection for Fitting Interatomic Potentials
[NO] 16/200 | Search for new physics using single-lepton events with high multiplicities of jets and b jets in proton-proton collisions at $\sqrt{s}$ = 13 TeV
[NO] 17/200 | Nonlinear oscillations of the amplitude of energetic-particle induced geodesic acoustic modes
[NO] 18/200 | Integrating gene regulatory priors into Transformer attention with scTransformer for interpretable scRNA-seq analysis
[NO] 19/200 | Scaling Behaviors of Work Cumulants in Slow Isothermal Processes
[NO] 20/200 | An Adaptive Coherent Interferometric Oscillator Based on an Optoelectronic Magnonic Parametric Oscillator
[NO] 21/200 | A VideoMAE-v2 Approach to Zero-Shot Traffic Accident Anticipation
[NO] 22/200 | A Continuification Approach to CAV Control in Mixed Traffic via Variable Speed Limits
[NO] 23/200 | Interpretable Crisis Behavior Analysis Using Mobility and Social Media Data
[NO] 24/200 | Hybrid Metaheuristic Combining the Dragonfly Algorithm and Tabu Search for the Traveling Salesman Problem
[NO] 25/200 | Relocate and Emulate: Re-Hosting Android's Application Layer
[NO] 26/200 | Control problem in millimeter-wave adaptive optics
[NO] 27/200 | Local Search on Vertex Coloring for Bipartite Graphs
[NO] 28/200 | Guaranteed Fast Implementation of the Split Covariance Intersection Filter: Nested Newton Method Thanks to the Fourth-Order Convexity of w-Optimization
[NO] 29/200 | ContextShift: A Controlled Benchmark for Context Dependence in Object Detection
[NO] 30/200 | Spectral distortion anisotropies from photon to dark photon conversions
[NO] 31/200 | Scaling laws and local enhancements of buoyancy flux in stratified turbulent flows
[NO] 32/200 | LangRetrieval: Language-Guided Self-Evolving Satellite-to-Radar Retrieval via CSI-Driven Reward
[NO] 33/200 | Memory Beyond Recall: A Dual-Process Cognitive Memory System for Self-Evolving LLM Agents
[NO] 34/200 | Optical Music Recognition for Real-World Manuscripts with Synthetic Data
[NO] 35/200 | Goal Sets, Not Goal States: Queryable Robot Goals through Goal-Set Hindsight Relabeling
[NO] 36/200 | Parameter Sensitivity Analysis of Hierarchical Spatial Economy: Trade Strategy around Brexit
[NO] 37/200 | Hardware-Aware QAOA for Honeypot Traffic Partitioning on 100+ Qubit IBM Quantum Processors
[NO] 38/200 | Tuning Dispatch Thresholds for Fixed Last-Mile Routes: A Simulation-Based Pareto Analysis of a Production Policy
[NO] 39/200 | Dense Force Estimation with an Event-based Optical Tactile Sensor
[NO] 40/200 | The macroscopic Kaehler metric of Geometric Thermodynamics versus the microscopic one on the Event Manifold: Exact Partition Functions on CV manifolds. Extended Souriau temperatures and spontaneous magnetizations
[NO] 41/200 | Leveraging Optimal Information-Power Flow for Transmission Switching in AC/MTDC Grids
[NO] 42/200 | MUDIDI: A Two-Stage Framework for Multilingual Dictionary Digitization with Language Models
[NO] 43/200 | Model of Flavors
[NO] 44/200 | Static axisymmetric Einstein spaces with a cosmological constant and the limitation of canonical Weyl coordinates
[NO] 45/200 | IMUG-Bench: Benchmarking Unified Multimodal Models on Interleaved Understanding and Generation
[NO] 46/200 | Vision-Language Guided Hyperspectral Object Tracking via Semantics Fusion and Contextual Template Updating
[NO] 47/200 | Unified Energy for Invariant and Independent Decoding in Diffusion Language Models
[NO] 48/200 | Bridged SBI: Correcting Biased Low-Fidelity Posteriors for Cost-Efficient High-Fidelity Inference
[NO] 49/200 | Constraining DVCS Compton Form Factors Using Lattice QCD calculations
[NO] 50/200 | Molecular dynamic simulation of multicomponent CoCrFeNiMn high-entropy alloy thin film deposition
[NO] 51/200 | Modeling of Spinning Plates: Geometric Stiffening and Modal Approximation for GNC Applications
[NO] 52/200 | Vision Language Model Helps Private Information De-Identification in Vision Data
[NO] 53/200 | Persistent singlet electronic character in the multiexcitonic triplet-pair state of strongly coupled pentacene singlet fission dimers
[NO] 54/200 | Symmetry-Breaking Induced Spin Transport and Magneto-Optical Regulation in 2D Altermagnet Ru2MoSe4
[NO] 55/200 | An Enhanced Geometric-Spectral Feature Learning Framework for Airborne Multispectral Point Cloud Classification
[NO] 56/200 | Post-Newtonian analysis of the quantum signatures of gravity
[NO] 57/200 | ComplexConstraints and Beyond: Expert Rubrics for RLVR
[NO] 58/200 | Counterfactual Transport Flows for Offline Conservative Trajectory Refinement
[NO] 59/200 | Hybridizing Equilibrium Propagation with Ising Machines for Efficient Energy-Based Learning
[NO] 60/200 | Chimera: Protocol-Aware Recovery for Confidential BFT Consensus
[YES] 61/200 | RSMA Technique for Multi-User Downlink Single-Waveguide Multi-Pinching Antenna Systems
[NO] 62/200 | Supervised Low-Rank Structure Discovery for Developmental Epigenetic Aging in Ultra-High-Dimensional DNA Methylation Data
[NO] 63/200 | DynaOD: Dynamic Origin-Destination Flow Generation with Discrete-to-Continuous Temporal Semantic Modeling
[NO] 64/200 | Teach Multimodal Recommendation Model to See via Personalized Visual Extraction and Adaptive Learning
[NO] 65/200 | FlashMemory-DeepSeek-V4: Lightning Index Ultra-Long Context via Lookahead Sparse Attention
[NO] 66/200 | Local centralizer rigidity for twisted Weyl chamber flows
