[2026-08-23 09:21:07] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-22
正在获取论文...
[ACM] 2026-8-22 | MASH-Net: A Multi-Scale Adaptive Shuffle Hybrid Network for Medical Image Segmentation
[ACM] 2026-8-22 | Chinese Painting Semantic Resource for Resolution-Aware Digitisation and Structured Heritage Access
[ACM] 2026-8-22 | Simulation modeling and Experimental Validation of Cranial Electric Fields Based on Temporal Interference Stimulation
[ACM] 2026-8-22 | Turning Parser Errors into Suggestions for REPL-Driven DSLs (Functional Pearl)
[ACM] 2026-8-22 | How Does Motion-to-Photon Latency Influence the Perception-Action Loop
[ACM] 2026-8-22 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[ACM] 2026-8-22 | Digital Twin-Driven OCT Probe Guidance via Group-Relative Soft Actor-Critic
[ACM] 2026-8-22 | LHMM-Net: A Lightweight Hybrid Multi-scale Mamba Network with 2.5D Representation for Early Alzheimer' s Disease Diagnosis
[ACM] 2026-8-22 | MsOrgDet: A Multi-scale Progressive Fusion Network for Organoid Object Detection
[ACM] 2026-8-22 | Spatiotemporal Feature Learning via Transformer and LSTM for Affective Computing Using fNIRS
[ACM] 2026-8-22 | Comparative Genomic Analysis of Human- and Swine-Origin Staphylococcus aureus ST398: Revealing Host Adaptation Characteristics and Cross-Species Transmission Patterns
[ACM] 2026-8-22 | Source-Space Phase-Amplitude Coupling During Drug Cue Induction in Abstinent Patients with Methamphetamine Use Disorder
[ACM] 2026-8-22 | An AI-Enhanced MRI Morphometry Framework for Neuro-psychiatric Symptom Stratification: Application to Parkinson' s Disease
[ACM] 2026-8-22 | WPD-PyrSENet: A Wavelet Packet Decomposition-Based Pyramid Squeeze-and-Excitation Network for Automated EEG Seizure Detection
[ACM] 2026-8-22 | GNN-LS: An Information-Enhanced Method for Label Scarcity on Graphs
[ACM] 2026-8-22 | Two-stage Electrode Shift Adaptive Correction Method for Electromyographic Hand Gesture Recognition
[ACM] 2026-8-22 | DAF-Net: Dynamic Alignment and Filtering Network for Polyp Segmentation
[ACM] 2026-8-22 | Multi-model Knowledge Graph for NIPT Testing Time Optimization and Fetal Abnormality Determination
[ACM] 2026-8-22 | From Standardization to Intelligence: The Evolution of Automated Genetic Circuit Design
[ACM] 2026-8-22 | TFS-Diff-RED: Improved Tri-modal Medical Image Fusion and Super-Resolution via RDB, LCIF, and Edge-Aware Loss -- TFS-DIFF-RED: TRI-MODAL FUSION &amp; SUPER-RESOLUTION
[ACM] 2026-8-22 | Against Political Polarization: A Unified Framework for Tracing Evolving Political Ideologies on Social Media
[ACM] 2026-8-22 | How Does Gamification Affect Virtual Reality Nature Experience?
[ACM] 2026-8-22 | scGraphPilot: Functionally Guided Graph Transfer for Robust Cross-Patient Cell Type Annotation
[ACM] 2026-8-22 | Readmission Prediction Based on Temporal Gout Treatment Data
[ACM] 2026-8-22 | GBCN: 3D-Guided Brownian Bridge Diffusion for Clothed Human Reconstruction via Normal Integration
[ACM] 2026-8-22 | Efficient, Accurate and Interpretable Drug-Drug Interaction Prediction Using Group Graph-Based Models
[ACM] 2026-8-22 | SBPR-Net: Synchronous Bidirectional Pyramid Registration Network for Medical Image Registration
[ACM] 2026-8-22 | Active Health ECG Monitoring System Using CNN-BiLSTM-SE and IoT
[ACM] 2026-8-22 | Multi-Head Self-Attention Mechanism-Based Model for Predicting Lung Injury Risk in Pediatric One-Lung Ventilation
[ACM] 2026-8-22 | CFR-Net:Connection Filtering Refining Network for Retinal Vessel Segmentation
[ACM] 2026-8-22 | Evaluating Shrinking (Experience Report)
[ACM] 2026-8-22 | ConvVM-Net: A Dual-Branch Network with ConvNeXt and VMamba for Liver Tumor Segmentation
[ACM] 2026-8-22 | GL-Mamba UNet: Global-to-Local Context-Guided Vision Mamba for Medical Image Segmentation
[ACM] 2026-8-22 | Research on Classification and Prediction of Biological Data Using Supervised and Semi-Supervised Machine Learning Algorithms
[ACM] 2026-8-22 | Machine Learning Ensemble Methods for Obesity Risk Prediction
[ACM] 2026-8-22 | Proceedings of the 2026 6th International Conference on Bioinformatics and Intelligent Computing
[ACM] 2026-8-22 | Physical Prior-Guided Diffusion Model for Surgical Smoke Removal
[ACM] 2026-8-22 | Mechanism of Cucurbitacin B (CuB) Targeting BCL2 for Endometrial Carcinoma: Network Pharmacology and Molecular Dynamics Simulation
[ACM] 2026-8-22 | Semantic Prior Embedding for Language-Guided Medical Image Reconstruction Quality Enhancement
[ACM] 2026-8-22 | AI-Based Multimodal Data Fusion Analysis of Tumor Markers
[ACM] 2026-8-22 | CSM-WNet: A Multi-modal Feature Fusion Network for MRI Brain Tumor Segmentation
[ACM] 2026-8-22 | A Multi-Omics Data Analysis Method for Cancer Susceptibility Genes Based on Graph Neural Networks
[ACM] 2026-8-22 | Optimization of Testing Time and Identification of Fetal Abnormalities in Non-Invasive Prenatal Testing Based on a Generalized Additive Model
[ACM] 2026-8-22 | Evolutionary Dynamics of the UAU-SIQRS Model with Higher-Order Interactions
[ACM] 2026-8-22 | A Study on the Load Characteristics and Stability Coupling Mechanism of Knee and Ankle Joints during the Takeoff and Landing Phases of Volleyball Blocking
[ACM] 2026-8-22 | S2GNN: Adaptive Structure-Semantic Gated Fusion via Common Metapaths for Biomedical Link Prediction
[ACM] 2026-8-22 | Real-Time Prony Series Haptic Rendering for Viscoelastic Lung Modeling in Virtual Surgery
[ACM] 2026-8-22 | SMOAgent: A Hierarchical Scientific Agent for Spatial Multi-Omics Integration with Agentic Optimization
[ACM] 2026-8-22 | Construction of a Postoperative Recurrence Prediction Model for Thyroid Cancer Using Interpretable Machine Learning and Counterfactual Inference
[ACM] 2026-8-22 | A Cost-Aware Probability Monad for Liquid Haskell
[ACM] 2026-8-22 | Refining Gelfond’s Rationality Principle: Towards More Comprehensive Foundational Principles for Answer Set Semantics
[ACM] 2026-8-22 | Study on a PCA-Based Identification Method for Bioaerosols Using Fluorescence Spectroscopy
[ACM] 2026-8-22 | TCBASyn: a framework predicting synergistic drug combinations based on the Transformer and CNN-BiLSTM-Attention hybrid models
[ACM] 2026-8-22 | Research on a mobile real-time detection system for rice pests and diseases based on ShuffleNetV2 optimized YOLOv5
[ACM] 2026-8-22 | Cerebral Stroke Medical Image Classification System
[ACM] 2026-8-22 | A Grape Leaf Disease Detection Method Based on Improved YOLOv10n
[ACM] 2026-8-22 | A New Beginning of Rational Design in the Age of Large Language Models of Synthetic Biology
[ACM] 2026-8-22 | Structure-Aware Inexact Entropic Proximal Gradient Method for Binary Linear Systems
[ACM] 2026-8-22 | Ask, Then Perceive: Question-Guided Cross-Modal Perception for Audio-Visual Question Answering
[ACM] 2026-8-22 | Imaging-guided radiotherapy with precise regulation based on radiobiological molecular characteristics
[ACM] 2026-8-22 | Predicting the Adhesion Properties of Short Peptides on Different Surfaces Using Machine Learning and Umbrella Sampling
[ACM] 2026-8-22 | Multi-Center Medical Data Collaborative Analysis Framework Based on Vertical Federated Learning and Differential Privacy Protection
[ACM] 2026-8-22 | Lessons from a Culturally Sustaining and Revitalizing Computer Science Research–Practice Partnership for Teachers Across Disciplines in Indigenous-Serving Schools
[ACM] 2026-8-22 | Enhancing Mirror-Image Peptide Bond Cleavage Prediction via Attention-Based Feature Fusion
[ACM] 2026-8-22 | Research on an Artificial Intelligence-Based Auscultation System for Early Screening of Congenital Heart Disease in the Lishui Region
[ACM] 2026-8-22 | ShapeLib: Designing a library of programmatic 3D shape abstractions with Large Language Models
[ACM] 2026-8-22 | Interval Scheduling Games with Color-Based Concurrent Jobs
[ACM] 2026-8-22 | A Survey on Centrality and Importance Measures in Hypergraphs: Categorization and Empirical Insights
[ACM] 2026-8-22 | Computational Neural Decoding of Auditory Spatial Decisions Using Choice Probability and Machine Learning
[ACM] 2026-8-22 | SnakeMamba: A Lightweight CNN-Mamba Model for Interventional Device Segmentation in X-ray Fluoroscopy
[ACM] 2026-8-22 | Machine Learning-Enabled Personalized Stroke Risk Estimation with Visual Interpretation for Middle-Aged and Older Adults in China
[ACM] 2026-8-22 | Multi-Bin Batching for Increasing LLM Inference Throughput
[ACM] 2026-8-22 | YOLOv9-Based Anomaly Detection for Student Health-Related Behaviors Using Heterogeneous Campus Data
[ACM] 2026-8-22 | Proximal Policy Optimization for Latency-Aware Service Function Chain Placement in Edge-Enabled Networks
[ACM] 2026-8-22 | Bioinformatics in Viral Genome Research -- A Case Study of the Novel Coronavirus (SARS-CoV-2)
[ACM] 2026-8-22 | BCellCLIP: Cross-modal representation learning of B cell receptor repertoires and single-cell transcriptomes
[ACM] 2026-8-22 | A Simple SimNIBS-Compatible Mouse Head Model Construction Method and Its Application in TMS Simulation
[ACM] 2026-8-22 | Multi-scale Dilated Contrastive Feature Fusion Learning Based on Graph and Image Convolutions for Spatial Domain Identification in Spatial Transcriptomics (MFF)
[ACM] 2026-8-22 | Deep Learning-Assisted Identification of Post-Translational Modification Regulatory Networks in Myocardial Fibrosis
[ACM] 2026-8-22 | Research on stem cell-like embryonic models based on artificial intelligence: technical approach, applications and prospects
[ACM] 2026-8-22 | A Survey on Human-AI Collaboration with Large Foundation Models
[ACM] 2026-8-22 | Objective Major Depressive Disorder Classification from Multi-site Resting-State fMRI Using a Signed Dual-Branch Graph Convolutional Network
[ACM] 2026-8-22 | Subtype-Specific Causal Brain Network Mechanisms in ADHD Using Directed Visibility Graphs
[ACM] 2026-8-22 | Evidence-Based Study on Low-Burden Digital Phenotyping for Precision Screening of Oral Anti-Obesity Drug Efficacy
[ACM] 2026-8-22 | HGFuzzer: Directed Greybox Fuzzing via Large Language Model
共写入 100 条记录，保存到 papers/paper2026-08-22.json。
论文获取成功，文件路径: papers/paper2026-08-22.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | MASH-Net: A Multi-Scale Adaptive Shuffle Hybrid Network for Medical Image Segmentation
[NO] 2/100 | A SERF-OPM Magnetocardiography Feature-Based Model for Early Post-PCI Recovery Assessment in Unstable Angina -- From high-dimensional MCG features to an interpretable continuous recovery score
[NO] 3/100 | Toll-like Receptor and Gut Microbiome Interactions: A CiteSpace and VOSviewer-based Bibliometric Analysis (2005-2024)
[NO] 4/100 | Constructive characterisations of the
                    <scp>must</scp>
                    -preorder for asynchrony
[NO] 5/100 | CAM-Guided Radiology Report Generation
[NO] 6/100 | Research on Adaptive Motion Control of Snake-Inspired Soft Actuation in Upper Limb Rehabilitation Exoskeletons
[NO] 7/100 | Medical Large Language Model Based on Dynamic Retrieval-Augmented Generation Strategy
[NO] 8/100 | Prediction of protein structure based on CNN-BiLstm
[NO] 9/100 | Evaluation System of Home Pulmonary Rehabilitation Effectiveness for Patients with COPD Based on Wearable Inertial Sensors and Remote Monitoring Platform
[NO] 10/100 | MFDA-Net: A Multi-scale Frequency-aware Denoising Attention Network for EEG Signal Denoising
[NO] 11/100 | Interpretable Multi-horizon Risk Stratification for Alzheimer' s Disease: A Clinical Feature-Based Approach Without Neuroimaging
[NO] 12/100 | PDDock: High-Accuracy Blind Protein-Ligand Docking via Dynamic Pocket Prediction and Adaptive Coordinate Refinement
[NO] 13/100 | Design of Smart Infusion Assistance System Based on STM32
[NO] 14/100 | Decentralised and Dynamic Reputation Management Model For Smart Mobility Using A Smart Contract
[NO] 15/100 | Two-Sample Mendelian Randomization Study on Anxiety Disorders and Angina Pectoris Based on Computational Biology Methods
[NO] 16/100 | ICER: A Universal Clinical Dual-Loop Agent for Adaptive Evidence Refinement in Long-Context EHRs
[NO] 17/100 | Chinese Painting Semantic Resource for Resolution-Aware Digitisation and Structured Heritage Access
[NO] 18/100 | Simulation modeling and Experimental Validation of Cranial Electric Fields Based on Temporal Interference Stimulation
[NO] 19/100 | Turning Parser Errors into Suggestions for REPL-Driven DSLs (Functional Pearl)
[NO] 20/100 | How Does Motion-to-Photon Latency Influence the Perception-Action Loop
[NO] 21/100 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[NO] 22/100 | Digital Twin-Driven OCT Probe Guidance via Group-Relative Soft Actor-Critic
[NO] 23/100 | LHMM-Net: A Lightweight Hybrid Multi-scale Mamba Network with 2.5D Representation for Early Alzheimer' s Disease Diagnosis
[NO] 24/100 | MsOrgDet: A Multi-scale Progressive Fusion Network for Organoid Object Detection
[NO] 25/100 | Spatiotemporal Feature Learning via Transformer and LSTM for Affective Computing Using fNIRS
[NO] 26/100 | Comparative Genomic Analysis of Human- and Swine-Origin Staphylococcus aureus ST398: Revealing Host Adaptation Characteristics and Cross-Species Transmission Patterns
[NO] 27/100 | Source-Space Phase-Amplitude Coupling During Drug Cue Induction in Abstinent Patients with Methamphetamine Use Disorder
[NO] 28/100 | An AI-Enhanced MRI Morphometry Framework for Neuro-psychiatric Symptom Stratification: Application to Parkinson' s Disease
[NO] 29/100 | WPD-PyrSENet: A Wavelet Packet Decomposition-Based Pyramid Squeeze-and-Excitation Network for Automated EEG Seizure Detection
[NO] 30/100 | GNN-LS: An Information-Enhanced Method for Label Scarcity on Graphs
[NO] 31/100 | Two-stage Electrode Shift Adaptive Correction Method for Electromyographic Hand Gesture Recognition
[NO] 32/100 | DAF-Net: Dynamic Alignment and Filtering Network for Polyp Segmentation
[NO] 33/100 | Multi-model Knowledge Graph for NIPT Testing Time Optimization and Fetal Abnormality Determination
[NO] 34/100 | From Standardization to Intelligence: The Evolution of Automated Genetic Circuit Design
[NO] 35/100 | TFS-Diff-RED: Improved Tri-modal Medical Image Fusion and Super-Resolution via RDB, LCIF, and Edge-Aware Loss -- TFS-DIFF-RED: TRI-MODAL FUSION &amp; SUPER-RESOLUTION
[NO] 36/100 | Against Political Polarization: A Unified Framework for Tracing Evolving Political Ideologies on Social Media
[NO] 37/100 | How Does Gamification Affect Virtual Reality Nature Experience?
[NO] 38/100 | scGraphPilot: Functionally Guided Graph Transfer for Robust Cross-Patient Cell Type Annotation
[NO] 39/100 | Readmission Prediction Based on Temporal Gout Treatment Data
[NO] 40/100 | GBCN: 3D-Guided Brownian Bridge Diffusion for Clothed Human Reconstruction via Normal Integration
[NO] 41/100 | Efficient, Accurate and Interpretable Drug-Drug Interaction Prediction Using Group Graph-Based Models
[NO] 42/100 | SBPR-Net: Synchronous Bidirectional Pyramid Registration Network for Medical Image Registration
[NO] 43/100 | Active Health ECG Monitoring System Using CNN-BiLSTM-SE and IoT
[NO] 44/100 | Multi-Head Self-Attention Mechanism-Based Model for Predicting Lung Injury Risk in Pediatric One-Lung Ventilation
[NO] 45/100 | CFR-Net:Connection Filtering Refining Network for Retinal Vessel Segmentation
[NO] 46/100 | Evaluating Shrinking (Experience Report)
[NO] 47/100 | ConvVM-Net: A Dual-Branch Network with ConvNeXt and VMamba for Liver Tumor Segmentation
[NO] 48/100 | GL-Mamba UNet: Global-to-Local Context-Guided Vision Mamba for Medical Image Segmentation
[NO] 49/100 | Research on Classification and Prediction of Biological Data Using Supervised and Semi-Supervised Machine Learning Algorithms
[NO] 50/100 | Machine Learning Ensemble Methods for Obesity Risk Prediction
[NO] 51/100 | Proceedings of the 2026 6th International Conference on Bioinformatics and Intelligent Computing
[NO] 52/100 | Physical Prior-Guided Diffusion Model for Surgical Smoke Removal
[NO] 53/100 | Mechanism of Cucurbitacin B (CuB) Targeting BCL2 for Endometrial Carcinoma: Network Pharmacology and Molecular Dynamics Simulation
[NO] 54/100 | Semantic Prior Embedding for Language-Guided Medical Image Reconstruction Quality Enhancement
[NO] 55/100 | AI-Based Multimodal Data Fusion Analysis of Tumor Markers
[NO] 56/100 | CSM-WNet: A Multi-modal Feature Fusion Network for MRI Brain Tumor Segmentation
[NO] 57/100 | A Multi-Omics Data Analysis Method for Cancer Susceptibility Genes Based on Graph Neural Networks
[NO] 58/100 | Optimization of Testing Time and Identification of Fetal Abnormalities in Non-Invasive Prenatal Testing Based on a Generalized Additive Model
[NO] 59/100 | Evolutionary Dynamics of the UAU-SIQRS Model with Higher-Order Interactions
[NO] 60/100 | A Study on the Load Characteristics and Stability Coupling Mechanism of Knee and Ankle Joints during the Takeoff and Landing Phases of Volleyball Blocking
[NO] 61/100 | S2GNN: Adaptive Structure-Semantic Gated Fusion via Common Metapaths for Biomedical Link Prediction
[NO] 62/100 | Real-Time Prony Series Haptic Rendering for Viscoelastic Lung Modeling in Virtual Surgery
[NO] 63/100 | SMOAgent: A Hierarchical Scientific Agent for Spatial Multi-Omics Integration with Agentic Optimization
[NO] 64/100 | Construction of a Postoperative Recurrence Prediction Model for Thyroid Cancer Using Interpretable Machine Learning and Counterfactual Inference
[NO] 65/100 | A Cost-Aware Probability Monad for Liquid Haskell
[NO] 66/100 | Refining Gelfond’s Rationality Principle: Towards More Comprehensive Foundational Principles for Answer Set Semantics
[NO] 67/100 | Study on a PCA-Based Identification Method for Bioaerosols Using Fluorescence Spectroscopy
[NO] 68/100 | TCBASyn: a framework predicting synergistic drug combinations based on the Transformer and CNN-BiLSTM-Attention hybrid models
[NO] 69/100 | Research on a mobile real-time detection system for rice pests and diseases based on ShuffleNetV2 optimized YOLOv5
[NO] 70/100 | Cerebral Stroke Medical Image Classification System
[NO] 71/100 | A Grape Leaf Disease Detection Method Based on Improved YOLOv10n
[NO] 72/100 | A New Beginning of Rational Design in the Age of Large Language Models of Synthetic Biology
[NO] 73/100 | Structure-Aware Inexact Entropic Proximal Gradient Method for Binary Linear Systems
[NO] 74/100 | Ask, Then Perceive: Question-Guided Cross-Modal Perception for Audio-Visual Question Answering
[NO] 75/100 | Imaging-guided radiotherapy with precise regulation based on radiobiological molecular characteristics
[NO] 76/100 | Predicting the Adhesion Properties of Short Peptides on Different Surfaces Using Machine Learning and Umbrella Sampling
[NO] 77/100 | Multi-Center Medical Data Collaborative Analysis Framework Based on Vertical Federated Learning and Differential Privacy Protection
[NO] 78/100 | Lessons from a Culturally Sustaining and Revitalizing Computer Science Research–Practice Partnership for Teachers Across Disciplines in Indigenous-Serving Schools
[NO] 79/100 | Enhancing Mirror-Image Peptide Bond Cleavage Prediction via Attention-Based Feature Fusion
[NO] 80/100 | Research on an Artificial Intelligence-Based Auscultation System for Early Screening of Congenital Heart Disease in the Lishui Region
[NO] 81/100 | ShapeLib: Designing a library of programmatic 3D shape abstractions with Large Language Models
[NO] 82/100 | Interval Scheduling Games with Color-Based Concurrent Jobs
[NO] 83/100 | A Survey on Centrality and Importance Measures in Hypergraphs: Categorization and Empirical Insights
[NO] 84/100 | Computational Neural Decoding of Auditory Spatial Decisions Using Choice Probability and Machine Learning
[NO] 85/100 | SnakeMamba: A Lightweight CNN-Mamba Model for Interventional Device Segmentation in X-ray Fluoroscopy
[NO] 86/100 | Machine Learning-Enabled Personalized Stroke Risk Estimation with Visual Interpretation for Middle-Aged and Older Adults in China
[NO] 87/100 | Multi-Bin Batching for Increasing LLM Inference Throughput
[NO] 88/100 | YOLOv9-Based Anomaly Detection for Student Health-Related Behaviors Using Heterogeneous Campus Data
[NO] 89/100 | Proximal Policy Optimization for Latency-Aware Service Function Chain Placement in Edge-Enabled Networks
[NO] 90/100 | Bioinformatics in Viral Genome Research -- A Case Study of the Novel Coronavirus (SARS-CoV-2)
[NO] 91/100 | BCellCLIP: Cross-modal representation learning of B cell receptor repertoires and single-cell transcriptomes
[NO] 92/100 | A Simple SimNIBS-Compatible Mouse Head Model Construction Method and Its Application in TMS Simulation
[NO] 93/100 | Multi-scale Dilated Contrastive Feature Fusion Learning Based on Graph and Image Convolutions for Spatial Domain Identification in Spatial Transcriptomics (MFF)
[NO] 94/100 | Deep Learning-Assisted Identification of Post-Translational Modification Regulatory Networks in Myocardial Fibrosis
[NO] 95/100 | Research on stem cell-like embryonic models based on artificial intelligence: technical approach, applications and prospects
[NO] 96/100 | A Survey on Human-AI Collaboration with Large Foundation Models
[NO] 97/100 | Objective Major Depressive Disorder Classification from Multi-site Resting-State fMRI Using a Signed Dual-Branch Graph Convolutional Network
[NO] 98/100 | Subtype-Specific Causal Brain Network Mechanisms in ADHD Using Directed Visibility Graphs
[NO] 99/100 | Evidence-Based Study on Low-Burden Digital Phenotyping for Precision Screening of Oral Anti-Obesity Drug Efficacy
[NO] 100/100 | HGFuzzer: Directed Greybox Fuzzing via Large Language Model
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-08-22.json。
邮件发送成功！
[2026-08-23 09:40:32] 任务执行成功！
