[2026-09-22 13:49:27] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-21
正在获取论文...
[arXiv] 2026-09-21 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
[IEEE] 2026-9-21 | AUC-WMNet: An Uncertainty-Aware Agentic World-Model Framework for Mobile Edge AIGC Service Orchestration
[IEEE] 2026-9-21 | Knowledge Graph-Enhanced Causal Reasoning and RAG for PLC Control System Fault Diagnosis
[IEEE] 2026-9-21 | Coordinated AC Fault Ride-Through Strategy for Hybrid MMC-HVDC System
[IEEE] 2026-9-21 | Appearance Defect Detection of Building Electrical Components Based on Improved YOLO
[IEEE] 2026-9-21 | Effect of core diameter on the magnetic attraction characteristics of a disk-type electromagnet
[IEEE] 2026-9-21 | Comparative analysis of Machine Learning Models for Phase Imbalance Prediction in Rooftop Solar PV Systems
[IEEE] 2026-9-21 | Filing-Order-Constrained Semantic Exposure in Japanese Annual Securities Reports
[IEEE] 2026-9-21 | Multi-Strategy Optimization Research for Instance Segmentation Based on YOLO11
[IEEE] 2026-9-21 | Regime-Conditioned Directional Prediction of the S&amp;P 500 Index Using Dealer Greek Exposure
[IEEE] 2026-9-21 | STER-A+: Trust and Energy-Aware Routing for LEO CubeSat Delay-Tolerant Networks
[IEEE] 2026-9-21 | A Swarm-Intelligence Framework for Constrained Multi-Objective Engineering Trajectory Design
[IEEE] 2026-9-21 | Copyright
[IEEE] 2026-9-21 | Sensorless Control of PMSM Based on Improved SNTSM Observer
[IEEE] 2026-9-21 | A CNN-LSTM Approach to Credit Scoring: Performance Evaluation with Implications for Explainability and Fairness
[IEEE] 2026-9-21 | Performance Evaluation of PCM/FM, QPSK and OQPSK under High Dynamic Doppler Conditions for Telemetry Systems
[IEEE] 2026-9-21 | A Comparative Study of the Sine Cosine Algorithm and an Enhanced Sine Cosine Algorithm for Test Redundancy Reduction
[IEEE] 2026-9-21 | Linking Feature Attribution and Counterfactual Explanations for Crop Recommendation
[IEEE] 2026-9-21 | Temporal Context-Aware Top-k Frame Recalibration for Diabetic Retinopathy Grading Based on Fundus Fluorescein Angiography Images
[IEEE] 2026-9-21 | Industrial Equipment Monitoring System
共写入 200 条记录，保存到 papers/paper2026-09-21.json。
论文获取成功，文件路径: papers/paper2026-09-21.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 1/200 | Jevons' Paradox and Fast Generative Simulation for HEP: Why Realistic Benchmarking is Essential
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 2/200 | Transporting summary measures of relative effects from randomised trials to the treated patient population: an application to breast cancer endocrine therapy
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 3/200 | A Chaining Approach to Canonical Processes with Log-Concave Tails
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 4/200 | A Nonlinear Physics-based Reduced Order Model with Convolutional-based Operator Compression
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 5/200 | Toward GPU-Resident Climate Models: A Feasibility Study on Lossy Compression for the Spherical Harmonic Transform's Communication Bottleneck
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 6/200 | TTSE: A Two-Track Online Self-Evolution Framework
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 7/200 | Circuit-Architecture-Training Co-Design with Regenerative-SA Similarity Sensing for Aggressive SAR Skipping in Analog Compute-in-Memory
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 8/200 | Quantum many-body framework for passive-scalar turbulence
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 9/200 | Electronic-Entropy-Driven Phase Transitions in Compressed Iron Oxides
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 10/200 | Temporal Generalization and Explanation Stability of Control Flow Graph Neural Networks for Malware Detection
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 11/200 | vla.simd: Efficient CPU Inference for Language-Conditioned Manipulation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 12/200 | Unsupervised Brain Anomaly Detection as a Bayesian Inverse Problem with Diffusion Prior
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 13/200 | Canonical Procedural Actions: An Auditable Annotation Protocol for Tool-Use Agent Traces
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 14/200 | Equivalent Modeling of Load-Side Systems With Distributed Renewable Generation Considering Fault Responses and Nodal Voltage Coherence
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 15/200 | Adversarially Robust PAC Learning with Optimal VC Rates
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 16/200 | A Discretely Entropy Conserving/Stable Flux Reconstruction Scheme via Hybridized Split Form Differential Operator and Generalized Entropy Projection
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 17/200 | Memory vs. Context? Influential Factors of Factual Recall in Language Models
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 18/200 | IMPLICIT-Bench: Measuring Implicit Bias in Text-to-Image Models under Neutral Prompts
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 19/200 | Critical Kasner scaling from Cauchy-horizon collapse near holographic phase transitions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 20/200 | Displacement Geometry Captures Platonic Shared Reality Across Models and Modalities
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 21/200 | CoaG: Cylinders on a Grid: Coarse 3D Layout Control for Video Generation
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 22/200 | Regular Solutions of the Stationary Navier-Stokes Equations in Arbitrarily High Dimensions
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 23/200 | Lightweight Pedestrian Head-Orientation Recognition Network for Safe Pedestrian-Vehicle Interaction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 24/200 | LIMIT: Less Is More for Instruction Tuning in Text-to-SQL
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 25/200 | General Leader-Follower Linear-Quadratic Stochastic Graphon Games with Indefinite Control Weights
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 26/200 | Multiscale Kinetic Methods for Nonequilibrium Flow and Transport
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 27/200 | An Unexpected Robot Policy: Early Evaluations of GPT-6 Astra on RoboDojo and Beyond
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 28/200 | APEXA: Execution-Integrity Enforcement for Multi-Agent LLM Automation of Synchrotron Data Reduction
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 29/200 | Listen, Critique, and Refine: RL-Based Self-Refinement for Instruction-Following Speech Synthesis
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
[NO] 30/200 | Soliton solution of a gravitating chiral-quark soliton model: dynamical fermion and Dirac-sea in general relativity
判定相关性时出错： Error code: 402 - {'code': 30001, 'message': 'Sorry, your account balance is insufficient', 'data': None}
