[2026-07-24 10:57:18] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[arXiv] 2026-07-23 | DART: A Degradation-Aware Recurrent Transformer for Archival Film Restoration
[arXiv] 2026-07-23 | ARGON: A GNN-Empowered Compilation Framework for Scalable Neutral Atom Computing
[arXiv] 2026-07-23 | Learning-based Seam Correspondence Reconstruction in Sewing Patterns
[arXiv] 2026-07-23 | Bound-Founded Semantics for Answer Set Programming with Difference Constraints: Preliminary Report
[arXiv] 2026-07-23 | What Bugs Do Prolog Students Write? An Empirical Taxonomy and Data-Driven Mutation Framework
[arXiv] 2026-07-23 | Safeguards for Speech2Speech LLM-Assistants: A Case Study in Automotive Applications
[arXiv] 2026-07-23 | An Operator-Algebraic Exposition of the Thirring-Wehrl Theory of the Quasi-Spin BCS Model
[arXiv] 2026-07-23 | Infrasound Newtonian Noise Estimation at the Einstein Telescope Candidate Site Sos Enattos
[arXiv] 2026-07-23 | V-DEAL: Diagnosing Video Safety De-Calibration as an Understanding-Refusal Coupling Failure
[arXiv] 2026-07-23 | Matrix-free phase-field modeling of fracture in micromechanical testing simulations of inelastic materials
[arXiv] 2026-07-23 | Some Integrability Properties of $m$-Subharmonic Functions
[arXiv] 2026-07-23 | DTIF: Robust Loop Closure Detection via Delaunay Triangle Topology in Complex Forests
[arXiv] 2026-07-23 | Safety and Security: Experimental Validation of Encrypted Model Predictive Control
[arXiv] 2026-07-23 | Bayesian optimization approach for tracking a moving target from far-field data in three dimensions
[arXiv] 2026-07-23 | Fast Inference on Astronomical Time Series with Trans-Dimensional Flow Matching Posterior Estimation
[arXiv] 2026-07-23 | Demographically-Informed Heat-Mortality Risk Curves via Risk Graph Neural Networks
[arXiv] 2026-07-23 | TF-MossFormer: Integrating Convolution Gated Local-Global Attentions for Enhanced Time-Frequency Domain Monaural Speech Separation
[arXiv] 2026-07-23 | EuroFlood: a Python library and queryable index for the CEMS satellite-derived flood-depth archive of Europe
[arXiv] 2026-07-23 | Causal-AgentIR: Self-Evolving Causal Memory for Adaptive Image Restoration Agents
[arXiv] 2026-07-23 | Carroll fermions of arbitrary spin
[arXiv] 2026-07-23 | Exact ensemble controllability for neural differential equations via neural interpolation
[arXiv] 2026-07-23 | TOUR: A Trajectory-Level Unlearning Benchmark for Offline Reinforcement Learning
[arXiv] 2026-07-23 | One-point holographic correlator in the expanding universe
[arXiv] 2026-07-23 | Conditional probabilities in quantum-optical settings
[arXiv] 2026-07-23 | Tunnel magnetoresistance effect with a Cr-doped $\mathrm{RuO_{2}}(110)$ altermagnet
[arXiv] 2026-07-23 | Certified Stochastic Control via Covariance Steering with Pick-to-Learn
[arXiv] 2026-07-23 | Geo3R: Mitigating Spatial Reasoning Hallucination in Multimodal Large Language Models
[arXiv] 2026-07-23 | Automatic knot selection in smooth additive models
[arXiv] 2026-07-23 | C-PTQ: Fisher-weighted Channel-wise Sensitivity for Post-training Quantization of MLLMs
[arXiv] 2026-07-23 | Spectral Transformation for Layer-wise Global Rank Discovery in Federated LoRA for Vision Transformers
[arXiv] 2026-07-23 | Injective envelopes of partial C*-dynamical systems
[arXiv] 2026-07-23 | PrefReward: Learning User Preference Matrix for Personalized Text Generation
[arXiv] 2026-07-23 | The leading-soft cubic graviton self-interaction on the black-hole horizon
[arXiv] 2026-07-23 | GuidedAttention: Interpretable and Correctable Visual Attention for OOD-Robust Robot Manipulation via Imitation Learning
[arXiv] 2026-07-23 | From Resource Flow to Executable Tests: Petri-Net-Guided LLM Test Generation for Concurrent Stateful Rust APIs
[arXiv] 2026-07-23 | ElasticTTT: Prior-Preserving Test-Time Tuning for Video Editing
[arXiv] 2026-07-23 | Unified theory of classical and quantum semiparametric efficiency
[arXiv] 2026-07-23 | Same Dangerous Objective, Opposite Advice: Direct Exposure versus Multi-Agent Mediation
[arXiv] 2026-07-23 | Agentic Context Management: Solving Agent Memory and Cost by Treating Them as Lifecycle and Architecture Problems
[arXiv] 2026-07-23 | A Needs Assessment for Measuring Geographic - Legislative Associations in the U.S. House of Representatives
[arXiv] 2026-07-23 | Compressed primitivity problem in free groups
[arXiv] 2026-07-23 | Artificial Epanorthosis: Why large language models overuse a classical rhetorical figure, and how to mitigate it
[ACM] 2026-7-23 | "Is This Not Enough?": Asymmetries in Institutional Accountability and Collective Sensemaking in the Case of Canada's Algorithmic Visa Triage System
[IEEE] 2026-7-23 | RPHunter: Unveiling Rug Pull Schemes in Crypto Token via Code-and-Transaction Fusion Analysis
[IEEE] 2026-7-23 | Granular-Ball-Induced Noise-Tolerant Discernibility Indexes for Fuzzy $\beta$ Covering Decision Systems and Feature Subset Selection
[IEEE] 2026-7-23 | Energy-Efficient Beamforming and Adaptive Computational Task Offloading in ISCC Systems
[IEEE] 2026-7-23 | Mitigation of Field Drift in a Conduction-Cooled No-Insulation ReBCO Magnet by Overshooting Current Profile Optimization
[IEEE] 2026-7-23 | Steering Committee
[IEEE] 2026-7-23 | Modality-Incomplete Human Status Recognition on Mobile Devices with Multi-Scale Relation and Semantic-Matching Distillation
[IEEE] 2026-7-23 | Advancing Fluid Antenna-Assisted Non-Terrestrial Networks in 6G and Beyond: Fundamentals, State of the Art, and Future Directions
[IEEE] 2026-7-23 | Design and Placement of a Passive Clamp Snubber for Isolated SEPIC and Cuk Converters Working as Automatic Power Factor Correctors
[IEEE] 2026-7-23 | 2026 International Conference on Complex Systems and Automation Control (CSAC)
[IEEE] 2026-7-23 | IEEE Standard for Power Modeling to Enable System-Level Analysis
[IEEE] 2026-7-23 | Title Page
[IEEE] 2026-7-23 | Large-Scale Sensor Systems for Sentient Environments: Emerging Research Directions
[IEEE] 2026-7-23 | Amorphous Oxide Semiconductor Transistors for Monolithic 3D Integrated Circuits
[IEEE] 2026-7-23 | Table of Contents
[IEEE] 2026-7-23 | Coil Geometry Effects on Force Directionality and Crosstalk in Direct Ink Writing-Based Electromagnetic Actuators for E-skin
[IEEE] 2026-7-23 | Throughput Analysis of Coded OTFS System under Fast Fading Channels
[IEEE] 2026-7-23 | BiLSTM-Attention-Based Reader Behavior Prediction and Crowd Flow Modeling in Libraries
[IEEE] 2026-7-23 | Large Language Models: Technical Pathways and Application Challenges
[IEEE] 2026-7-23 | Large Language Model-Assisted State Transition Algorithm for Solving Sensor Network Localization Problem
[IEEE] 2026-7-23 | Design, Synthesis, and Comparison of Multiplier Architectures using 90 nm to 3 nm Standard Cell Libraries
[IEEE] 2026-7-23 | Research on the Performance Degradation of Lithium-ion Batteries in Multi-Temperature Domain Based on Empirical Model Parameter Identification
[IEEE] 2026-7-23 | Data Driven Student Institution Matching Evaluation Based on Random Forest and Causal Inference for Vocational Enrollment Systems
[IEEE] 2026-7-23 | Knowledge-Enhanced Graph Patching Network for Fault Prediction in Chemical Processes
[IEEE] 2026-7-23 | Polyharmonic Spline Modelling of Tissue Deformation for Ultrasound-Guided Surgery
[IEEE] 2026-7-23 | Risk Estimation of Power Construction Operations via Domain-Adaptive BERT and Multimodal Transformer
[IEEE] 2026-7-23 | Output-Aware Latent Distribution Learning Using Variational Autoencoder for Industrial Soft Sensor
[IEEE] 2026-7-23 | A Fault Quantity Prediction Model for T/R Modules of Phased Array Radar Based on Grey Neural Network
[IEEE] 2026-7-23 | IT-IRRT*: An Incremental-Topology IRRT* Approach for Multi-Target UAV Path Planning with Line-of-Sight Communication Maintenance
[IEEE] 2026-7-23 | Active Learning Based BERT Aspect-Level Sentiment Analysis Model for Course Evaluation Mining
[IEEE] 2026-7-23 | Radial Electrode Geometries for Enhanced Performance in Organic Field-Effect Transistors
[IEEE] 2026-7-23 | Reducing of the Frequency Measurement Error for the Signal Phase Increment Method by Suppressing Spectral Leakage
[IEEE] 2026-7-23 | Reference-Guided Soft Actor-Critic for Unmanned Surface Vehicle Navigation in Constrained Waterways
[IEEE] 2026-7-23 | MEDRAG-SHIELD: A Privacy-Preserving Retrieval-Augmented Generation Framework for Clinical Text Analysis Using BiLSTM-Attention Mechanisms
[IEEE] 2026-7-23 | Adaptive Clustering-Based Federated Learning for Non-Intrusive Load Monitoring Across Multiple Users
[IEEE] 2026-7-23 | A Fine-Grained Versatile Systolic Array Architecture for Mixed-Sparsity Hardware Acceleration on FPGA
[IEEE] 2026-7-23 | EV Charging Demand Prediction Considering Environmental Condition and User Behavior
[IEEE] 2026-7-23 | Edge Convergence of Second-Order Nonlinear Systems
[IEEE] 2026-7-23 | Online Fault Diagnosis under Missing Data via Multi-Kernel Learning
[ACM] 2026-7-23 | El Faro: An Advanced Frugal AI Stack for Context-Driven Resilience
[IEEE] 2026-7-23 | Copyright Page
[IEEE] 2026-7-23 | Imitating Fund Managers’ Portfolio Decisions: A Knowledge-Based Approach
[IEEE] 2026-7-23 | Generative AI Model Assisted Multimodal Semantic Vehicular Edge Computing for Collaborative Perception
[IEEE] 2026-7-23 | A new paradigm for effective LLM-Agent discovery and dynamic creation of trusted Multi-Agent Systems based on social relationships
[IEEE] 2026-7-23 | Holistic Fusion: Task- and Setup-Agnostic Robot Localization and State Estimation With Factor Graphs
[IEEE] 2026-7-23 | Fractional Doppler Effects on OTFS-NOMA HetNets with Mixed-Mobility Users
[IEEE] 2026-7-23 | Terrain-Based Global Tracking Without Prior Pose Information Using Multibeam Echosounder Measurements
[IEEE] 2026-7-23 | A Combined-Field Boundary Element Formulation for the Electromagnetic Modeling of Multiscale Interconnects and Integrated Passive Components from DC to Millimeter-Wave Frequencies_supp5-3715919.pdf
[IEEE] 2026-7-23 | ESACT: An Index-Reordering Approach to Eliminate Bank Conflicts in Parallel Prefix-Sum Algorithms without Shared Memory Padding
[IEEE] 2026-7-23 | GNSS Signal Resiliency Metric: A Stochastic Approach
[ACM] 2026-7-23 | Design and Implementation of a Lightweight Live-line De-icing Robot for 35kV Wind Farm Collection Lines
[ACM] 2026-7-23 | A Bio-Inspired Multi-Segment Partitioned Soft Pneumatic Actuator for Hand Edema Rehabilitation
[IEEE] 2026-7-23 | Periodic Event-Triggered Consensus Control for Uncertain Second-Order Itô-Type Stochastic Multi-Agent Systems
[IEEE] 2026-7-23 | Research and Implementation of YOLOv8-based Binocular Vision Ranging Target Detection System
[IEEE] 2026-7-23 | Low-Level I/O Monitoring for Scientific Workflows
[IEEE] 2026-7-23 | Research on Rapid Gear Profile Modification Technology Based on AI Agent Skills
[IEEE] 2026-7-23 | Design and Formal Verification of a Logarithmic-Posit Arithmetic Core for Edge Neural Acceleration
[IEEE] 2026-7-23 | Diffusion-Based Models for 3D Vascular Two-Photon Microscopy Generation
[IEEE] 2026-7-23 | A 60 GHz Low Noise Amplifier Adopting Integrated Transformer-based Neutralization Technique
[IEEE] 2026-7-23 | ADRC-PID Based Cascade Control for Multi-Temperature-Zone Systems with Large Inertia
[IEEE] 2026-7-23 | Research of the Performance Fiber-Optic Communication Networks Under the Impact of Radioelectronic Interference Sources
[IEEE] 2026-7-23 | Masked Structural Decomposition with Time Frequency Consistency for Unsupervised Multivariate Time Series Anomaly Detection
[IEEE] 2026-7-23 | TAM: Temporal Attention for Edge-Oriented Short-Term Load Forecasting
[IEEE] 2026-7-23 | Electrostatic Field Engineering Analysis of Hybrid Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /ZrO
                    <sub>2</sub>
                    Gate Dielectric AlN/GaN based MOSHEMTs for Enhanced RF and Power Performance
[IEEE] 2026-7-23 | Distributionally Robust Coordinated Scheduling of Port Integrated Energy Stations Considering Multi-Path Green Hydrogen Utilization
[IEEE] 2026-7-23 | Model-free Adaptive Iterative Learning Control with Applications to Quadrotors
[IEEE] 2026-7-23 | Beyond Peak Field Enhancement: Theoretical Framework for Emitter Participation and Scaling in Nanocarbon Field Emitter Arrays
[IEEE] 2026-7-23 | Nonlinear Fault Root Cause Diagnosis Method Based on LSTM-AVAR Granger Causality Analysis
[IEEE] 2026-7-23 | Real-time Vehicle Tracking for Complex Dynamic Environments Based on YOLO-ReID Fusion for Intelligent Transportation Systems
[IEEE] 2026-7-23 | Hopf Bifurcation Analysis of a Bistable Duffing System with Washout Filter Delayed Feedback
[IEEE] 2026-7-23 | Energy Efficient Approximate Square Root Circuit for Image Processing Applications
[IEEE] 2026-7-23 | Performance-Supervised Fault Detection For Model-Free Nonlinear Systems Based on Fuzzy Approximation
[IEEE] 2026-7-23 | Statistical Identification of Linear Link Characteristics
[IEEE] 2026-7-23 | Performance Evaluation of Real-Time Scheduling Algorithms for Latency-Critical IoT Applications
[IEEE] 2026-7-23 | Robust Tire Imbalance Detection Using In-Vehicle CAN Signals: A Signal-Observability-Aware Unsupervised Approach
[IEEE] 2026-7-23 | Gaussian Process Regression–Driven Thermal Modeling of 5 nm Stacked Nanosheet FETs for Advanced CMOS Thermal Management and Reliability
[IEEE] 2026-7-23 | Robust Secure ISAC Beamforming for Integrated HAPS-LEO Maritime Networks
[IEEE] 2026-7-23 | Sponsor
[IEEE] 2026-7-23 | Co-SEC: An Adaptive Security-Enhanced ASCON Accelerator via Algorithm-Hardware Co-Design
[IEEE] 2026-7-23 | Robust Relative Sensor Registration in the Presence of Non-Gaussian Noise
[IEEE] 2026-7-23 | Riemannian Adversarial Attacks on Subspace Detectors via the Grassmann Manifold_supp1-3716159.pdf
[IEEE] 2026-7-23 | Reusing Multimodal Agents: Efficient Evaluation of Sound Designs in Games
[IEEE] 2026-7-23 | Miresga: Achieving High-Performance and Reliable Layer-7 Load Balancing with Programmable Switches_supp1-3715854.pdf
[IEEE] 2026-7-23 | Exponential-Family Tensor Completion via Nonconvex Dual Total-Variation Regularization
[IEEE] 2026-7-23 | Low Complexity DOA/DOD and Polarization Estimation for Polarimetric MIMO Radar Via Unitary Dimension-Reduction MUSIC
[IEEE] 2026-7-23 | IEEE Transactions on Emerging Topics in Computational Intelligence Information for Authors
[ACM] 2026-7-23 | Trivium: Temporal Regret as a First-Class Objective for Causal-Memory Controllers
[ACM] 2026-7-23 | AIEAnalyzer: An Analytical Framework for Versal AI Engine Performance Analysis
[ACM] 2026-7-23 | Credibility, Anonymity, and Algorithmic Gatekeeping in Leveraging Social Media as a Justice-Seeking Tool
[IEEE] 2026-7-23 | Data-Driven Iterative Learning Control for Nuclear Waste Incineration Temperature Regulation
[IEEE] 2026-7-23 | Iterative Learning Control for Overhead Cranes via Optimal Path Planning
[IEEE] 2026-7-23 | Large Language Model-assisted Optimal Scheduling Method for Electric Vehicle Charging and Discharging Based on PER-DDPG Algorithm
[IEEE] 2026-7-23 | Decarbonization of Electric and Transport Systems in Islanded Remote Communities Using Renewable Energy and Mobile Battery Storage System
[IEEE] 2026-7-23 | A UAV-Borne FMCW GPR System for Spatial Ice Thickness Measurement
[IEEE] 2026-7-23 | Concatenated CI-BCH Code Construction with Inner Algebraic Convolutional Code
[IEEE] 2026-7-23 | Crypto Vision: A Reversible Gate-Based 16-Bit Image Encryption Framework with Chaos-Driven Key Scheduling and VLSI Metrics
[IEEE] 2026-7-23 | High-Accuracy Modification of the Spectral Leakage Reduction Method Based on Sample Number Adjustment
[IEEE] 2026-7-23 | State of Health Estimation and Remaining Useful Life Prediction of Lithium-Ion Batteries Based on Physics-Constrained Federated Meta-Learning
[IEEE] 2026-7-23 | Towards Intelligent Construction: A Hybrid ANN-NSGA-II Framework for Compressive Strength Prediction toward 3D Concrete Printing
[IEEE] 2026-7-23 | MFAPC control for variable speed adjustment of Boil-off gas compressor in LNG fuel supply system
共写入 200 条记录，保存到 papers/paper2026-07-23.json。
论文获取成功，文件路径: papers/paper2026-07-23.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[NO] 2/200 | The Extended Ultrahigh-energy Gamma-Ray Emission in the Vicinity of PSR J2238+5903
[NO] 3/200 | Structured Cavity Quantum Electrodynamics
[NO] 4/200 | AUCH-Net: Action Unit-Based Consistency-Aware Hypergraph Network for Cross-Domain Few-Shot Facial Expression Recognition
[NO] 5/200 | Naju: A Native Discrete State-Space Model with Independent Retention and Writing for Long-Sequence Memory
[NO] 6/200 | Solow system driven by $α$-stable Lévy process
[NO] 7/200 | Unsupervised Metal Artifact Reduction in Dental CBCT using Fine-tuned Cycle-Consistent Adversarial Networks
[NO] 8/200 | Control Co-design of systems with parabolic PDE dynamics
[NO] 9/200 | Update the Unseen Only: Minimizing AoI for Collaborative Perception through Online Learning
[NO] 10/200 | Fast and Efficient Approximate Nearest Neighbor Search for High-Dimensional LLM Embeddings
[NO] 11/200 | RECO: Region-Aware Compensation for Extrinsic Perturbations in Roadside 3D Detection
[NO] 12/200 | Ms. Forcing: Efficient Streaming Video Generation with Multi-Scale Patchification and Attention
[NO] 13/200 | Controllable and Content-Based Recommendations
[NO] 14/200 | SciExplore: Evaluating Autonomous Agents from Scientific Navigation to Information Integration
[NO] 15/200 | Representing Entity Importance in AI Knowledge Systems: A Dual-Signal Framework of Audience Evaluation and Structural Authority
[NO] 16/200 | OPOD: On-Policy Omni Distillation
[NO] 17/200 | Traceable Scholarship: Page Anchors and Ariadne's Thread for Humanistic Inquiry in the Age of Generative AI
[NO] 18/200 | URF: A Unified Robot Control-Policy Framework for Stable Contact Aware Manipulation
[NO] 19/200 | On structured cosine sums and applications
[NO] 20/200 | MAGE-Vein: Multi-Instance Age and Gender Estimation from Finger Vein Images
[NO] 21/200 | Orbital Hall Effect Enables Field-Free Magnetization Reversal in Ferrimagnets without Additional Conversion Layer
[NO] 22/200 | Long- and Short-Range Anion Order in SrTiO$_{3-x}$H$_x$ Perovskite Oxyhydrides: DFT+$U$ Sensitivity and HSE06 Cluster Expansion
[NO] 23/200 | WhereEdit: Mask-aware Local Latent Editing for One-Step Image Editing
[NO] 24/200 | Testing for functional white noise in high dimensions
[NO] 25/200 | Invisible walls: how pedestrians navigate around social interactions
[NO] 26/200 | LegalCiteTrust: Benchmarking Citation Trustworthiness in Chinese Long-Form Legal Research Reports
[NO] 27/200 | ViSTR-Bench: Can MLLMs Reason from Continuous Visual Cues in Dynamic Scenes?
[NO] 28/200 | Which Model Is Actually Serving You? IRIS: Budgeted Black-Box Auditing of Model Substitution and Routing Dilution in LLM Gateways
[NO] 29/200 | On $v_2(q),v_3(q),v_4(q)$, and Andrews' Conjectures 5 and 6
[NO] 30/200 | Well-posedness of the mean field game master equation on Carnot tori
[NO] 31/200 | Hierarchical Log-Gaussian Relaxation on a Fixed D3Q125 Velocity Set
[NO] 32/200 | Mean field and N-agent games for optimal relative consumption-investment with jump risk and common noise
[NO] 33/200 | Mixing Performance of Toroidal Ring Mixers: Effects of Flow Rate Ratios and Geometric Asymmetry
[NO] 34/200 | Multi-Spin Perturbations, Thermodynamics, and Observational Signatures of Reissner-Nordstrom Black Holes in Bumblebee Gravity
[NO] 35/200 | Operators without eigenvalues in finite-dimensional vector spaces: Linearization and Spectral Equivalence
[NO] 36/200 | Offline RL with Hierarchical Action Chunking
[NO] 37/200 | REFACT: Adaptive Fact Restatement for Compact and Faithful Chain-of-Thought Reasoning
[NO] 38/200 | An Improved Linear Extractable Sketch Data Structure for Flow Count Statistics
[NO] 39/200 | Auditing Provenance Sensitivity in LLM Agent Action Selection
[NO] 40/200 | SubSplat: High-Resolution Pixel-aligned 3DGS via Sub-pixel Gaussian Reparameterization
[NO] 41/200 | On the length sets of closed hyperbolic surfaces
[NO] 42/200 | A Unified Moral-Value Dataset for Instruction Tuning
[NO] 43/200 | If Edge Coloring is Hard under SETH, then SETH is False
[NO] 44/200 | The acceptance-complement method revisited
[NO] 45/200 | Flash EQ-Linear: Accelerating Equivariant Linear Layers via Group-wise Discrete Fourier Transform
[NO] 46/200 | Defect entanglement entropy for superconformal RG Interfaces
[NO] 47/200 | Two-Temperature Induced Phase Separation: Non-equilibrium Phase Behavior, Ordering, and Kinetics
[NO] 48/200 | Neutral curves and traveling waves in plane Poiseuille flow
[NO] 49/200 | Filter Learning for Subgraphs: Algebras and Performance Risk Bounds
[NO] 50/200 | Extremal Functions and Widom Factors on Compact Riemann Surfaces
[NO] 51/200 | On the Fractional Parts of Polynomials Modulo $p$
[NO] 52/200 | A Gaussian smoothing-based zeroth-order method for Goldstein second-order stationarity
[NO] 53/200 | slang.gr as a Large-Scale Crowdsourced Resource for Non-Standard Greek
[NO] 54/200 | Quasiparticle specific heat of two-component Fermi mixtures: The atomic 163Dy-40K mixture
[NO] 55/200 | Exploring $α$- and $β$-decay-induced quenching of the $^{229}$Th nuclear-clock isomer in solid-state hosts
[NO] 56/200 | Spin and momentum fraction carried by partons in the nucleon
[NO] 57/200 | An $O(t\log^2 t)$ Bound for $k$-Connected Subgraphs in Dense $K_t$-Minor-Free Graphs
[NO] 58/200 | Search Hardness-Aware LLM-Based Problem Formulation for Expensive Simulation-Driven Design
[NO] 59/200 | DART: A Degradation-Aware Recurrent Transformer for Archival Film Restoration
[NO] 60/200 | ARGON: A GNN-Empowered Compilation Framework for Scalable Neutral Atom Computing
[NO] 61/200 | Learning-based Seam Correspondence Reconstruction in Sewing Patterns
[NO] 62/200 | Bound-Founded Semantics for Answer Set Programming with Difference Constraints: Preliminary Report
[NO] 63/200 | What Bugs Do Prolog Students Write? An Empirical Taxonomy and Data-Driven Mutation Framework
[NO] 64/200 | Safeguards for Speech2Speech LLM-Assistants: A Case Study in Automotive Applications
[NO] 65/200 | An Operator-Algebraic Exposition of the Thirring-Wehrl Theory of the Quasi-Spin BCS Model
[NO] 66/200 | Infrasound Newtonian Noise Estimation at the Einstein Telescope Candidate Site Sos Enattos
[NO] 67/200 | V-DEAL: Diagnosing Video Safety De-Calibration as an Understanding-Refusal Coupling Failure
[NO] 68/200 | Matrix-free phase-field modeling of fracture in micromechanical testing simulations of inelastic materials
[NO] 69/200 | Some Integrability Properties of $m$-Subharmonic Functions
