[2026-08-12 09:54:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202608110000+TO+202608112359%5D&sortBy=relevance&sortOrder=descending&max_results=100 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-8-11 | DWasm: Portable Debugging for the Web
[IEEE] 2026-8-11 | A SAR Time-to-Digital Converter Embedding Time-Domain Noise-Shaping Self-Calibration
[IEEE] 2026-8-11 | THz-TSI: A Terahertz Wireless Through-Silicon Interconnect Module for Advanced 3-D Integration Applications
[IEEE] 2026-8-11 | An 82-Gb/s/mm Transceiver Using Codebook-Based CNRZ-7 Signaling and CM-to-DM Noise Reduced AFE for High-Density Transmission in 28-nm CMOS
[IEEE] 2026-8-11 | Reduced-Order Extended State Observer Based Adaptive Dynamic Surface Control for Dual-Points Levitation System of High-Speed Maglev
[IEEE] 2026-8-11 | Retraction Notice: Database Training: Requirement to Exploitation in Hyperspectral Imagery
[IEEE] 2026-8-11 | Retraction Notice: EPNet: Efficient Patch-based Deep Network for Real-Time Semantic Segmentation
[IEEE] 2026-8-11 | Retraction Notice: Diagnosis of Alzheimer Disease using Classification Algorithms
[IEEE] 2026-8-11 | Design and Analysis of a Dual-Rotor 10-X Double-Sided Axial-Flux Variable-Reluctance Resolver with Robust Performance
[IEEE] 2026-8-11 | A Fine-grained Data Reconstruction Framework for Sparsely Sampled Industrial Time-Series
[IEEE] 2026-8-11 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework_supp1-3721823.xlsx
[IEEE] 2026-8-11 | Label Distribution Enhancement-Based Label Completion for High-Noise-Ratio Crowdsourcing
[IEEE] 2026-8-11 | Performance Evaluation of Different FDA-MIMO Radar Systems in terms of Multi-Target Separation Capability
[IEEE] 2026-8-11 | Epileptic Seizure Detection via Dynamic Graph Learning in EEG Signals
[IEEE] 2026-8-11 | Preventive Maintenance Diagnostics of Fabric Filters for Better Emissions Compliance in Cement Manufacturing
[IEEE] 2026-8-11 | A Hierarchical K-D Tree-Based SBR Method for Fast Prediction of Electromagnetic Scattering From Swarm Targets
[IEEE] 2026-8-11 | Beamforming and Irregular Tiled Array Design for LEO Satellite Communications
[IEEE] 2026-8-11 | A Lumped RC Equivalent Circuit of Head Tissues for Dispersive Neuro-Electromagnetic Modeling
[IEEE] 2026-8-11 | Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response
[IEEE] 2026-8-11 | SIU 2026 Author Index
[IEEE] 2026-8-11 | Performance Analysis of Different Channel Coding Techniques Under Turbidity Effects in Underwater Optical Channels
[IEEE] 2026-8-11 | Low Earth Orbit-Supported Non-Terrestrial Networks in 6G: Challenges and Future Research Directions
[IEEE] 2026-8-11 | Feature Interaction-Based Blood Cell Classification: A Comparative Study of Machine Learning and Ensemble Methods
[IEEE] 2026-8-11 | Contrastive Wrong-Label Evaluation of Signal Grounding vs. Template Parroting in LLM-Based Bearing Fault Explainers
[IEEE] 2026-8-11 | An Efficient Technique for Low Rank and Sparse Decomposition of Matrices
[IEEE] 2026-8-11 | GWO-Based Hybrid Precoding Optimization for Indoor THz-RSMA Systems Under Practical Impairments
[IEEE] 2026-8-11 | H-2-D-Fossilize: A Project Concept for a Total De-Fossilization of Clinker Production Process of a Cement Plant
[IEEE] 2026-8-11 | Author Index
[IEEE] 2026-8-11 | Geometry-Consistent Safety Shaping for PPO-Based Multi-UAV Formation Assembly
[IEEE] 2026-8-11 | Self-Supervised Poisson Denoising in Biomedical Imaging: Edge-AI Verification of Deep Unrolling Architectures
[ACM] 2026-8-11 | End-User Programming Literacy in the Generative AI Age
[IEEE] 2026-8-11 | Reducing the Price of Robustness: An Effective Uncertainty Set for Two-Stage Adaptive Robust Economic Dispatch of Smart Grids
[IEEE] 2026-8-11 | Neural Operators for Modeling of Neuronal Electrophysiological Dynamics under Complex Stimulation
[IEEE] 2026-8-11 | AI-Driven Smart Governance and Religious Values: Implications for Crisis Management and Institutional Stability in Indonesia
[IEEE] 2026-8-11 | Design of a Novel Skin Disease Classification Model Using GA-CNN Hybrid Model
[IEEE] 2026-8-11 | SRBH-DiffFuse: SRBH-Guided Diffusion for Infrared-Visible Image Fusion
[IEEE] 2026-8-11 | Optimizing Raw Material Storage: A Case Study in the Rubber Wheel Manufacturing Industry
[IEEE] 2026-8-11 | Mental Health Disorder Detection in a Low-Resource Language: A Case Study on Turkish Social Media Text
[IEEE] 2026-8-11 | Shielded Constrained Multi-Agent Reinforcement Learning for Risk-Aware Three-Dimensional Route Generation
[IEEE] 2026-8-11 | A Small Sample Load Forecasting Method Based on Hierarchical Data Ensemble Transfer Learning
[IEEE] 2026-8-11 | Research on Vehicle Trajectory Tracking Anti- Disturbance Control Based on Model Predictive Control
[IEEE] 2026-8-11 | Detection of Malicious HTTP Traffic Using Large Language Models
[IEEE] 2026-8-11 | Fluid-Dynamic Optimization of Vertical Roller Mills
[IEEE] 2026-8-11 | Detecting Unusual Behaviour in Wireless Networks Using Artificial Intelligence: A Comparative Study on the AWID3 Dataset
[IEEE] 2026-8-11 | Flexural Behavior of Reinforced Concrete Beams Incorporating Recycled Concrete Aggregate
[IEEE] 2026-8-11 | Bridging the Pension Knowledge-Action Gap: Behavioral Analytics and Workforce Resilience
[IEEE] 2026-8-11 | Optimal Neural Network Hyperparameter Consideration through Digital Predistortion in RF Power Amplifiers
[IEEE] 2026-8-11 | Integrated PCA and Random Forest Modelling for Understanding SHG Governance and Empowerment
[IEEE] 2026-8-11 | PMKS: Co-Designing Distributed Networking and Multi-Tier Storage for Ultra-Long Context LLM Inference
[IEEE] 2026-8-11 | Optimization Study of Temperature Rise in Heavy-Duty Truck Start-Stop Batteries Under Extreme Cold Conditions Based on Thermal Simulation
[IEEE] 2026-8-11 | Geometry-Consistent Content-Aware Fusion for Lightweight Small-Object Detection in UAV Imagery
[IEEE] 2026-8-11 | A CMC-Na/PAAm/MWCNT Flexible Piezoresistive Conductive Hydrogel Sensor for Steering-Wheel Grip-Behavior Monitoring
[IEEE] 2026-8-11 | LGF-RTDETR: A Lightweight Local-Global Fusion Framework with Real-Time Transformer to Detect Small Objects in Remote Sensing
[IEEE] 2026-8-11 | Modeling Tailed Dependencies in Driving Scenarios with Student's t Mixture Copula
[IEEE] 2026-8-11 | PEDETR: Scale-Aware Small Object Detection for Remote Sensing Images
[IEEE] 2026-8-11 | HMM-Based Framework for Proactive Web Application Vulnerability Detection
[IEEE] 2026-8-11 | Wind–Solar–Load Scenario Generation Based on Cross-Variable Attention and LLM-Based Operational Logic Verification
[IEEE] 2026-8-11 | Blow-up of solutions of the porous medium equation with reactions and its control implications
[IEEE] 2026-8-11 | AI-Driven Structural Health Monitoring of Reinforced Concrete Using Multimodal Sensor Fusion
[IEEE] 2026-8-11 | A Spatio-Temporal Multimodal Framework for Fine-Grained Tor Entry Traffic Identification
[IEEE] 2026-8-11 | Real-World Masked Face Authentication Based on an Occlusion-Aware Template-Query Matching Network
[IEEE] 2026-8-11 | Ultrawide Bandgap Semiconductors: State of the Art and Technological Challenges
[IEEE] 2026-8-11 | BoxSegUS: A Spatial Consistency Box Supervised Multi-Class Segmentation with Prior and Boundary Constraint for Ultrasound Images
[IEEE] 2026-8-11 | Relation-aware Domain Alignment and Pseudo-labeling for Cross Domain Object Detection
[IEEE] 2026-8-11 | Reliability and Traffic Aware Resource Allocation for UAV-assisted Vehicular O-RAN
[IEEE] 2026-8-11 | Retraction Notice: A Review on Detection and Analysis of Psychological Disorders Using Machine Learning
[IEEE] 2026-8-11 | Hawk-Pigeon Potential Game Collaborative Control for MAV-UAV Swarm Formation
[IEEE] 2026-8-11 | Automated Leaf Disease Classification via Three-Way Information-Guided Knowledge Distillation with Feature Interaction Maximization
[IEEE] 2026-8-11 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization_supp1-3710065.pdf
[IEEE] 2026-8-11 | Structure Pruning with LLMs for Knowledge Graph Question Answering
[IEEE] 2026-8-11 | Distributional Deep Reinforcement Learning for Adaptive Dosing in Combined Chemotherapy and Anti-Angiogenic Therapy
[IEEE] 2026-8-11 | Retraction Notice: Analysis of Predicting Bitcoin Price using Deep Learning Technique
[IEEE] 2026-8-11 | Noise Unknown EM Based Transfer Identification for Dynamic Systems With Limited Target Data
[IEEE] 2026-8-11 | Driver Fatigue Estimation Using Multimodal Deep Learning with EEG and EOG Signals
[IEEE] 2026-8-11 | Comparison of Slow-Time Coded MIMO and Phased Array Radar Systems Under Phase Noise
[IEEE] 2026-8-11 | Explainable AI-Based Credit Default Risk Modeling on Multi-Table Data
[IEEE] 2026-8-11 | Hardware-Aware Federated Learning for Speech Emotion Recognition
[IEEE] 2026-8-11 | Sleep-Enabled LoRaWAN Gateway via Spreading-Factor Clustering
[IEEE] 2026-8-11 | The Effect of Freezing and Thresholding Selection in Transfer Autoencoders on Time Series Anomaly Detection
[IEEE] 2026-8-11 | PPO-Based JPEG Quantization Table Optimization
[IEEE] 2026-8-11 | Alzheimer-OCT Dataset and Detection of Alzheimer’s Disease using Deep Learning
共写入 100 条记录，保存到 papers/paper2026-08-11.json。
论文获取成功，文件路径: papers/paper2026-08-11.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | DWasm: Portable Debugging for the Web
[NO] 2/100 | VL-DNA: Enhance DNA Storage Capacity with Variable Payload/Strand Lengths
[NO] 3/100 | Poster: One-Prompt Censorship Evasion via Generative Diffusion Models
[NO] 4/100 | Prefetching for Short Video Streaming: Experiences from a Longitudinal Evolution at Planetary Scale
[NO] 5/100 | Explainable Network Verification via Localized Subspecification
[NO] 6/100 | From Nimitz to NetPila: The Evolution of Production-Scale Container Network
[NO] 7/100 | Multi-Label Disease Detection in Chest X-Ray Images Using CheXFound: Loss Function Analysis
[NO] 8/100 | Sample-Efficient Autonomous Surface Vehicle Navigation with Enhanced Experience Replay
[NO] 9/100 | Deep Learning Approaches for Bearing Fault Diagnosis Using Motor Current Signals
[NO] 10/100 | Efficient Optic Disc and Cup Segmentation for Glaucoma Assessment
[NO] 11/100 | HAPS for Maritime Communications: Performance Comparison of Relaying Techniques
[YES] 12/100 | Low-Cost Integrated Sensing and Communication System Design with Ultrasonic Sound Waves
[NO] 13/100 | Comparative Analysis of 700 MHz and 2600 MHz Frequency Bands in Mobile Private LTE Networks in Terms of Performance Parameters
[NO] 14/100 | Learning Discrete Relational Symbols for Compound Object Affordances
[NO] 15/100 | Instruction-Tuned Translation Language Model Focused On Turkish
[NO] 16/100 | Spatio-Temporal Time Series Forecasting with Graph-Enhanced Embeddings
[NO] 17/100 | Improving UAV-derived nearshore bathymetry using geospatial machine learning
[NO] 18/100 | Statistical Channel Fingerprint Construction for Massive MIMO: A Unified Tensor Learning Framework
[NO] 19/100 | Bottom Door State Estimation for Coal Hopper Wagons: A Recursive Kalman Filtering Algorithm Under Amplify-and-Forward Relays and Deception Attacks
[YES] 20/100 | Modulating Retroreflector-Aided UAV-Based FSO/QKD Systems
[NO] 21/100 | A SAR Time-to-Digital Converter Embedding Time-Domain Noise-Shaping Self-Calibration
[NO] 22/100 | THz-TSI: A Terahertz Wireless Through-Silicon Interconnect Module for Advanced 3-D Integration Applications
[NO] 23/100 | An 82-Gb/s/mm Transceiver Using Codebook-Based CNRZ-7 Signaling and CM-to-DM Noise Reduced AFE for High-Density Transmission in 28-nm CMOS
[NO] 24/100 | Reduced-Order Extended State Observer Based Adaptive Dynamic Surface Control for Dual-Points Levitation System of High-Speed Maglev
[NO] 25/100 | Retraction Notice: Database Training: Requirement to Exploitation in Hyperspectral Imagery
[NO] 26/100 | Retraction Notice: EPNet: Efficient Patch-based Deep Network for Real-Time Semantic Segmentation
[NO] 27/100 | Retraction Notice: Diagnosis of Alzheimer Disease using Classification Algorithms
[NO] 28/100 | Design and Analysis of a Dual-Rotor 10-X Double-Sided Axial-Flux Variable-Reluctance Resolver with Robust Performance
[NO] 29/100 | A Fine-grained Data Reconstruction Framework for Sparsely Sampled Industrial Time-Series
[NO] 30/100 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework_supp1-3721823.xlsx
[NO] 31/100 | Label Distribution Enhancement-Based Label Completion for High-Noise-Ratio Crowdsourcing
[NO] 32/100 | Performance Evaluation of Different FDA-MIMO Radar Systems in terms of Multi-Target Separation Capability
[NO] 33/100 | Epileptic Seizure Detection via Dynamic Graph Learning in EEG Signals
[NO] 34/100 | Preventive Maintenance Diagnostics of Fabric Filters for Better Emissions Compliance in Cement Manufacturing
[NO] 35/100 | A Hierarchical K-D Tree-Based SBR Method for Fast Prediction of Electromagnetic Scattering From Swarm Targets
[NO] 36/100 | Beamforming and Irregular Tiled Array Design for LEO Satellite Communications
[NO] 37/100 | A Lumped RC Equivalent Circuit of Head Tissues for Dispersive Neuro-Electromagnetic Modeling
[NO] 38/100 | Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response
[NO] 39/100 | SIU 2026 Author Index
[NO] 40/100 | Performance Analysis of Different Channel Coding Techniques Under Turbidity Effects in Underwater Optical Channels
[NO] 41/100 | Low Earth Orbit-Supported Non-Terrestrial Networks in 6G: Challenges and Future Research Directions
[NO] 42/100 | Feature Interaction-Based Blood Cell Classification: A Comparative Study of Machine Learning and Ensemble Methods
[NO] 43/100 | Contrastive Wrong-Label Evaluation of Signal Grounding vs. Template Parroting in LLM-Based Bearing Fault Explainers
[NO] 44/100 | An Efficient Technique for Low Rank and Sparse Decomposition of Matrices
[YES] 45/100 | GWO-Based Hybrid Precoding Optimization for Indoor THz-RSMA Systems Under Practical Impairments
[NO] 46/100 | H-2-D-Fossilize: A Project Concept for a Total De-Fossilization of Clinker Production Process of a Cement Plant
[NO] 47/100 | Author Index
[NO] 48/100 | Geometry-Consistent Safety Shaping for PPO-Based Multi-UAV Formation Assembly
[NO] 49/100 | Self-Supervised Poisson Denoising in Biomedical Imaging: Edge-AI Verification of Deep Unrolling Architectures
[NO] 50/100 | End-User Programming Literacy in the Generative AI Age
[NO] 51/100 | Reducing the Price of Robustness: An Effective Uncertainty Set for Two-Stage Adaptive Robust Economic Dispatch of Smart Grids
[NO] 52/100 | Neural Operators for Modeling of Neuronal Electrophysiological Dynamics under Complex Stimulation
[NO] 53/100 | AI-Driven Smart Governance and Religious Values: Implications for Crisis Management and Institutional Stability in Indonesia
[NO] 54/100 | Design of a Novel Skin Disease Classification Model Using GA-CNN Hybrid Model
[NO] 55/100 | SRBH-DiffFuse: SRBH-Guided Diffusion for Infrared-Visible Image Fusion
[NO] 56/100 | Optimizing Raw Material Storage: A Case Study in the Rubber Wheel Manufacturing Industry
[NO] 57/100 | Mental Health Disorder Detection in a Low-Resource Language: A Case Study on Turkish Social Media Text
[NO] 58/100 | Shielded Constrained Multi-Agent Reinforcement Learning for Risk-Aware Three-Dimensional Route Generation
[NO] 59/100 | A Small Sample Load Forecasting Method Based on Hierarchical Data Ensemble Transfer Learning
[NO] 60/100 | Research on Vehicle Trajectory Tracking Anti- Disturbance Control Based on Model Predictive Control
[NO] 61/100 | Detection of Malicious HTTP Traffic Using Large Language Models
[NO] 62/100 | Fluid-Dynamic Optimization of Vertical Roller Mills
[NO] 63/100 | Detecting Unusual Behaviour in Wireless Networks Using Artificial Intelligence: A Comparative Study on the AWID3 Dataset
[NO] 64/100 | Flexural Behavior of Reinforced Concrete Beams Incorporating Recycled Concrete Aggregate
[NO] 65/100 | Bridging the Pension Knowledge-Action Gap: Behavioral Analytics and Workforce Resilience
[NO] 66/100 | Optimal Neural Network Hyperparameter Consideration through Digital Predistortion in RF Power Amplifiers
[NO] 67/100 | Integrated PCA and Random Forest Modelling for Understanding SHG Governance and Empowerment
[NO] 68/100 | PMKS: Co-Designing Distributed Networking and Multi-Tier Storage for Ultra-Long Context LLM Inference
[NO] 69/100 | Optimization Study of Temperature Rise in Heavy-Duty Truck Start-Stop Batteries Under Extreme Cold Conditions Based on Thermal Simulation
[NO] 70/100 | Geometry-Consistent Content-Aware Fusion for Lightweight Small-Object Detection in UAV Imagery
[NO] 71/100 | A CMC-Na/PAAm/MWCNT Flexible Piezoresistive Conductive Hydrogel Sensor for Steering-Wheel Grip-Behavior Monitoring
[NO] 72/100 | LGF-RTDETR: A Lightweight Local-Global Fusion Framework with Real-Time Transformer to Detect Small Objects in Remote Sensing
[NO] 73/100 | Modeling Tailed Dependencies in Driving Scenarios with Student's t Mixture Copula
[NO] 74/100 | PEDETR: Scale-Aware Small Object Detection for Remote Sensing Images
[NO] 75/100 | HMM-Based Framework for Proactive Web Application Vulnerability Detection
[NO] 76/100 | Wind–Solar–Load Scenario Generation Based on Cross-Variable Attention and LLM-Based Operational Logic Verification
[NO] 77/100 | Blow-up of solutions of the porous medium equation with reactions and its control implications
[NO] 78/100 | AI-Driven Structural Health Monitoring of Reinforced Concrete Using Multimodal Sensor Fusion
[NO] 79/100 | A Spatio-Temporal Multimodal Framework for Fine-Grained Tor Entry Traffic Identification
[NO] 80/100 | Real-World Masked Face Authentication Based on an Occlusion-Aware Template-Query Matching Network
[NO] 81/100 | Ultrawide Bandgap Semiconductors: State of the Art and Technological Challenges
[NO] 82/100 | BoxSegUS: A Spatial Consistency Box Supervised Multi-Class Segmentation with Prior and Boundary Constraint for Ultrasound Images
[NO] 83/100 | Relation-aware Domain Alignment and Pseudo-labeling for Cross Domain Object Detection
[YES] 84/100 | Reliability and Traffic Aware Resource Allocation for UAV-assisted Vehicular O-RAN
[NO] 85/100 | Retraction Notice: A Review on Detection and Analysis of Psychological Disorders Using Machine Learning
[NO] 86/100 | Hawk-Pigeon Potential Game Collaborative Control for MAV-UAV Swarm Formation
[NO] 87/100 | Automated Leaf Disease Classification via Three-Way Information-Guided Knowledge Distillation with Feature Interaction Maximization
[NO] 88/100 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization_supp1-3710065.pdf
[NO] 89/100 | Structure Pruning with LLMs for Knowledge Graph Question Answering
[NO] 90/100 | Distributional Deep Reinforcement Learning for Adaptive Dosing in Combined Chemotherapy and Anti-Angiogenic Therapy
[NO] 91/100 | Retraction Notice: Analysis of Predicting Bitcoin Price using Deep Learning Technique
[NO] 92/100 | Noise Unknown EM Based Transfer Identification for Dynamic Systems With Limited Target Data
[NO] 93/100 | Driver Fatigue Estimation Using Multimodal Deep Learning with EEG and EOG Signals
[NO] 94/100 | Comparison of Slow-Time Coded MIMO and Phased Array Radar Systems Under Phase Noise
[NO] 95/100 | Explainable AI-Based Credit Default Risk Modeling on Multi-Table Data
[NO] 96/100 | Hardware-Aware Federated Learning for Speech Emotion Recognition
[NO] 97/100 | Sleep-Enabled LoRaWAN Gateway via Spreading-Factor Clustering
[NO] 98/100 | The Effect of Freezing and Thresholding Selection in Transfer Autoencoders on Time Series Anomaly Detection
[NO] 99/100 | PPO-Based JPEG Quantization Table Optimization
[NO] 100/100 | Alzheimer-OCT Dataset and Detection of Alzheimer’s Disease using Deep Learning
筛选完成：共 100 篇；Yes = 4 篇；已保存到 papers/select_paper2026-08-11.json。
邮件发送成功！
[2026-08-12 10:21:13] 任务执行成功！
