[2025-12-25 09:12:47] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-24
正在获取论文...
[arXiv] 2025-12-24 | UniPR-3D: Towards Universal Visual Place Recognition with Visual Geometry Grounded Transformer
[arXiv] 2025-12-24 | Can Agentic AI Match the Performance of Human Data Scientists?
[arXiv] 2025-12-24 | One Tool Is Enough: Reinforcement Learning for Repository-Level LLM Agents
[arXiv] 2025-12-24 | Optimizing Sterile Neutrino Searches: Impact of Position Resolution in Short-Baseline Reactor Experiments
[arXiv] 2025-12-24 | From Human Bias to Robot Choice: How Occupational Contexts and Racial Priming Shape Robot Selection
[arXiv] 2025-12-24 | Neural Probe-Based Hallucination Detection for Large Language Models
[arXiv] 2025-12-24 | Spectroscopy of VUV luminescence in dual-phase xenon detectors
[arXiv] 2025-12-24 | Guardrailed Elasticity Pricing: A Churn-Aware Forecasting Playbook for Subscription Strategy
[arXiv] 2025-12-24 | Certifiable Alignment of GNSS and Local Frames via Lagrangian Duality
[arXiv] 2025-12-24 | Decoding Predictive Inference in Visual Language Processing via Spatiotemporal Neural Coherence
[arXiv] 2025-12-24 | Uncovering Hierarchical Structure in LLM Embeddings with $δ$-Hyperbolicity, Ultrametricity, and Neighbor Joining
[arXiv] 2025-12-24 | Self-supervised Multiplex Consensus Mamba for General Image Fusion
[arXiv] 2025-12-24 | Competing magnetic and topological orders in the spin-1 Kitaev-Heisenberg chain with single-ion anisotropy
[arXiv] 2025-12-24 | Model-free stochastic linear quadratic control for discrete-time systems with multiplicative and additive noises via semidefinite programming
[arXiv] 2025-12-24 | Price risk aversion vs payoff risk aversion: a gender comparison through a laboratory experiment
[arXiv] 2025-12-24 | Embodied AI-Enhanced IoMT Edge Computing: UAV Trajectory Optimization and Task Offloading with Mobility Prediction
[arXiv] 2025-12-24 | Benchmarking and Enhancing VLM for Compressed Image Understanding
[arXiv] 2025-12-24 | From GNNs to Symbolic Surrogates via Kolmogorov-Arnold Networks for Delay Prediction
[arXiv] 2025-12-24 | The Silent Scholar Problem: A Probabilistic Framework for Breaking Epistemic Asymmetry in LLM Agents
[arXiv] 2025-12-24 | Uplink RSMA Performance Analysis with Rate Adaptation: A Stochastic Geometry Approach
[arXiv] 2025-12-24 | Erdős-Wintner theorem for linear recurrent bases
[arXiv] 2025-12-24 | Heralded Linear Optical Generation of Dicke States
[arXiv] 2025-12-24 | NVIDIA Nemotron 3: Efficient and Open Intelligence
[arXiv] 2025-12-24 | Beyond Memorization: A Multi-Modal Ordinal Regression Benchmark to Expose Popularity Bias in Vision-Language Models
[arXiv] 2025-12-24 | Fast SAM2 with Text-Driven Token Pruning
[arXiv] 2025-12-24 | C2LLM Technical Report: A New Frontier in Code Retrieval via Adaptive Cross-Attention Pooling
[arXiv] 2025-12-24 | When Geometry Radiates Review: Gravitational Waves in Theory, Cosmology, and Observation
[arXiv] 2025-12-24 | Variationally correct operator learning: Reduced basis neural operator with a posteriori error estimation
[arXiv] 2025-12-24 | Degenerate Vertex Cuts in Sparse Graphs
[arXiv] 2025-12-24 | A mixed finite element method for the stochastic Boussinesq equations with multiplicative noise
[arXiv] 2025-12-24 | Enhancing Grid Resilience for Giga-Watt Scale Data Centers Using High Voltage Circuit Breaker Operated Braking Resistors
[arXiv] 2025-12-24 | T-Duality Effects in Electrodynamics: The (2+1)-dimensional Case
[arXiv] 2025-12-24 | Surgical Scene Segmentation using a Spike-Driven Video Transformer with Real-Time Potential
[arXiv] 2025-12-24 | Quantum computation of mass gap in an asymptotically free theory
[arXiv] 2025-12-24 | Characterizing quantum synchronization in the van der Pol oscillator via tomogram and photon correlation
[arXiv] 2025-12-24 | Coherently Assisted Wireless Power Transfer Through Poorly Transparent Barriers
[arXiv] 2025-12-24 | The Dynamical Anatomy of Anderson Acceleration:From Adaptive Momentum to Variable-Mass ODEs
[arXiv] 2025-12-24 | Cohomogeneity one $\mathrm{Spin}(7)$ metrics with generic Aloff--Wallach spaces as principal orbits
[arXiv] 2025-12-24 | Marginal flows of non-entropic weak Schrödinger bridges
[arXiv] 2025-12-24 | DreaMontage: Arbitrary Frame-Guided One-Shot Video Generation
[arXiv] 2025-12-24 | A Generalized Approach to Relaxation Time of Magnetic Nanoparticles With Interactions: From Superparamagnetic Behavior to Spin-Glass Transition
[arXiv] 2025-12-24 | RoboCade: Gamifying Robot Data Collection
[arXiv] 2025-12-24 | Fragmentation of neutron-rich carbon isotopes on light targets at 27.5 MeV/nucleon
[arXiv] 2025-12-24 | Quantum entanglement between partons in a strongly coupled quantum field theory
[arXiv] 2025-12-24 | PhononBench:A Large-Scale Phonon-Based Benchmark for Dynamical Stability in Crystal Generation
[arXiv] 2025-12-24 | RoboSafe: Safeguarding Embodied Agents via Executable Safety Logic
[arXiv] 2025-12-24 | USE: A Unified Model for Universal Sound Separation and Extraction
[arXiv] 2025-12-24 | Twisted Feynman Integrals: from generating functions to spin-resummed post-Minkowskian dynamics
[arXiv] 2025-12-24 | Human Motion Estimation with Everyday Wearables
[arXiv] 2025-12-24 | Asymptotics and inequalities for the distinct partition function
[arXiv] 2025-12-24 | The disc instability model: original recipe and additional ingredients
[arXiv] 2025-12-24 | Preliminary forecasting constraint on scalar charge with LISA in non-vacuum environments
[arXiv] 2025-12-24 | Quantum Approximate Optimization Algorithm with Fixed Number of Parameters
[arXiv] 2025-12-24 | A Turn Toward Better Alignment: Few-Shot Generative Adaptation with Equivariant Feature Rotation
[arXiv] 2025-12-24 | A Unified Framework for EEG Seizure Detection Using Universum-Integrated Generalized Eigenvalues Proximal Support Vector Machine
[arXiv] 2025-12-24 | BALLAST: Bandit-Assisted Learning for Latency-Aware Stable Timeouts in Raft
[arXiv] 2025-12-24 | Dipion transitions from $X(3872)$ to $χ_{cJ}\ (J=0,1,2)$
[arXiv] 2025-12-24 | On the triplicity among infinite products, infinite series, and continued fractions; and its applications to divergent series
[arXiv] 2025-12-24 | Evolution of the 2021 Outburst of GX 339-4 with AstroSat
[arXiv] 2025-12-24 | The monoid of monotone and decreasing partial transformations on a finite chain
[arXiv] 2025-12-24 | AutoBaxBuilder: Bootstrapping Code Security Benchmarking
[arXiv] 2025-12-24 | Asteroseismology and Dynamics Reveal Interior Structure and Coeval Evolution in the Triply Post-Main-Sequence system DG Leo
[arXiv] 2025-12-24 | ClarifyMT-Bench: Benchmarking and Improving Multi-Turn Clarification for Conversational Large Language Models
[arXiv] 2025-12-24 | Synecdoche: Efficient and Accurate In-Network Traffic Classification via Direct Packet Sequential Pattern Matching
[arXiv] 2025-12-24 | Beyond Context: Large Language Models Failure to Grasp Users Intent
[arXiv] 2025-12-24 | Robust and Efficient MuJoCo-based Model Predictive Control via Web of Affine Spaces Derivatives
[arXiv] 2025-12-24 | Shared Representation Learning for High-Dimensional Multi-Task Forecasting under Resource Contention in Cloud-Native Backends
[arXiv] 2025-12-24 | Linear varieties and matroids with applications to the Cullis' determinant
[arXiv] 2025-12-24 | How important is Recall for Measuring Retrieval Quality?
[arXiv] 2025-12-24 | Implicit Numerical Scheme for the Hamilton-Jacobi-Bellman Quasi-Variational Inequality in the Optimal Market-Making Problem with Alpha Signal
[arXiv] 2025-12-24 | Parallel Token Prediction for Language Models
[arXiv] 2025-12-24 | From multitype branching Brownian motions to branching Markov additive processes
[arXiv] 2025-12-24 | Three-Family Supersymmetric Pati-Salam Flux Models from Rigid D-Branes
[arXiv] 2025-12-24 | Verification of E-Voting Algorithms in Dafny
[arXiv] 2025-12-24 | Explicit constructions of cyclic N-isogenies
[arXiv] 2025-12-24 | Hierarchical Modeling Approach to Fast and Accurate Table Recognition
[arXiv] 2025-12-24 | Electron spectral shape of the third-forbidden $β$-decay of $^{87}$Rb measured using a Rb$_2$ZrCl$_6$ crystal scintillator
[arXiv] 2025-12-24 | LLM Personas as a Substitute for Field Experiments in Method Benchmarking
[arXiv] 2025-12-24 | Active Learning Guided Computational Discovery of 2D Materials with Large Spin Hall Conductivity
[arXiv] 2025-12-24 | Quantum scattering of hot H/D on CO$_2$: Cross sections and rate coefficients for planetary atmospheres and their evolution
[arXiv] 2025-12-24 | Quantitative bounds for Hölder exponents in the Krylov--Safonov and Evans--Krylov theories
[arXiv] 2025-12-24 | OTOC and Quamtum Chaos of Interacting Scalar Fields
[arXiv] 2025-12-24 | Enhancing diffusion models with Gaussianization preprocessing
[arXiv] 2025-12-24 | ESCHER: Efficient and Scalable Hypergraph Evolution Representation with Application to Triad Counting
[arXiv] 2025-12-24 | Complex Refractive Index Extraction for Spintronic Terahertz Emitter Analysis
[arXiv] 2025-12-24 | Realization of Insulating Buffer Layers via MOCVD-Grown Nitrogen-Doped (010) \b{eta}-Ga2O3
[arXiv] 2025-12-24 | X-ray Insights Unleashed: Pioneering the Enhancement of Multi-Label Long-Tail Data
[arXiv] 2025-12-24 | Mesh-Attention: A New Communication-Efficient Distributed Attention with Improved Data Locality
[arXiv] 2025-12-24 | Deadline-Aware Online Scheduling for LLM Fine-Tuning with Spot Market Predictions
[arXiv] 2025-12-24 | Decentralized water-level balancing for irrigation channels in storage critical operations
[arXiv] 2025-12-24 | GW241011 and GW241110: Hints of Hierarchical Mergers from the Merger Entropy Index
[arXiv] 2025-12-24 | SACodec: Asymmetric Quantization with Semantic Anchoring for Low-Bitrate High-Fidelity Neural Speech Codecs
[arXiv] 2025-12-24 | BenchLink: An SoC-Based Benchmark for Resilient Communication Links in GPS-Denied Environments
[arXiv] 2025-12-24 | A Multi-fidelity Double-Delta Wing Dataset and Empirical Scaling Laws for GNN-based Aerodynamic Field Surrogate
[arXiv] 2025-12-24 | Deciphering the lattice vibrational behaviors of CuInP2S6 by angle-resolved polarized Raman scattering
[arXiv] 2025-12-24 | Welfare at Risk: Distributional impact of policy interventions
[arXiv] 2025-12-24 | Semantic Radio Access Networks: Architecture, State-of-the-Art, and Future Directions
[arXiv] 2025-12-24 | PanoGrounder: Bridging 2D and 3D with Panoramic Scene Representations for VLM-based 3D Visual Grounding
[arXiv] 2025-12-24 | Uniqueness for the Homogeneous Landau-Coulomb Equation in $L^{3/2}$
[arXiv] 2025-12-24 | DGSAN: Dual-Graph Spatiotemporal Attention Network for Pulmonary Nodule Malignancy Prediction
[arXiv] 2025-12-24 | Study of SIDIS Unpolarized Cross Sections from a $^3$He Target with the Solenoidal Large Intensity Device at JLab
[arXiv] 2025-12-24 | Geese achieve stationary takeoff via synergistic wing kinematics and enhanced aerodynamics
[arXiv] 2025-12-24 | Explicit rephasing transformation of four-generation mixing matrix and formulae for CP phases
[arXiv] 2025-12-24 | On the Relationship Between Nanoflare Energy and Delay in the Closed Solar Corona
[arXiv] 2025-12-24 | NeRV360: Neural Representation for 360-Degree Videos with a Viewport Decoder
[arXiv] 2025-12-24 | Robustness Certificates for Neural Networks against Adversarial Attacks
[arXiv] 2025-12-24 | Study of the Influence of Implant Material on Magnetocardiography Measurements Using SQUID Sensors
[arXiv] 2025-12-24 | Your Reasoning Benchmark May Not Test Reasoning: Revealing Perception Bottleneck in Abstract Reasoning Benchmarks
[arXiv] 2025-12-24 | Measuring all the noises of LLM Evals
[arXiv] 2025-12-24 | An Allele-Centric Pan-Graph-Matrix Representation for Scalable Pangenome Analysis
[arXiv] 2025-12-24 | Independence Complexes of Hexagonal Grid Graphs
[arXiv] 2025-12-24 | Scaling Laws for Economic Productivity: Experimental Evidence in LLM-Assisted Consulting, Data Analyst, and Management Tasks
[arXiv] 2025-12-24 | A Lyapunov-Based Small-Gain Theorem for Fixed-Time ISS: Theory, Optimization, and Games
[arXiv] 2025-12-24 | Optimizing Quantum State Transformation Under Locality Constraint
[arXiv] 2025-12-24 | Transcriptome-Conditioned Personalized De Novo Drug Generation for AML Using Metaheuristic Assembly and Target-Driven Filtering
[arXiv] 2025-12-24 | The Office of Astronomy for Development Impact Cycle
[arXiv] 2025-12-24 | Model Merging via Multi-Teacher Knowledge Distillation
[arXiv] 2025-12-24 | Taking model-complete cores
[arXiv] 2025-12-24 | Asymptotically Euclidean Solutions of the Constraint Equations with Prescribed Asymptotics
[arXiv] 2025-12-24 | Operational Calculus for the nth-Level Prabhakar Type Fractional Derivative with Applications
[arXiv] 2025-12-24 | Adhesion Energy of Phosphorene on different pristine and oxidized metallic substrates
[arXiv] 2025-12-24 | Observation of the Aharonov-Bohm Effect in Pilot-Wave Hydrodynamics
[arXiv] 2025-12-24 | Notes on Bernstein spaces, sampling, Boas interpolation formulas and their extensions to Banach spaces
[arXiv] 2025-12-24 | Zariski density of modular points in the Eisenstein case
[arXiv] 2025-12-24 | ARX-Implementation of encrypted nonlinear dynamic controllers using observer form
[arXiv] 2025-12-24 | LookPlanGraph: Embodied Instruction Following Method with VLM Graph Augmentation
[arXiv] 2025-12-24 | UniTacHand: Unified Spatio-Tactile Representation for Human to Robotic Hand Skill Transfer
[arXiv] 2025-12-24 | Choosability of multipartite hypergraphs
[arXiv] 2025-12-24 | Latent Implicit Visual Reasoning
[arXiv] 2025-12-24 | Operation of a tunable Power over Fiber system for light detectors down to 4.6 K
[arXiv] 2025-12-24 | Quantum geometry in correlated electron phases: from flat band to dispersive band
[arXiv] 2025-12-24 | Schrödinger's Navigator: Imagining an Ensemble of Futures for Zero-Shot Object Navigation
[arXiv] 2025-12-24 | Safe Navigation with Zonotopic Tubes: An Elastic Tube-based MPC Framework
[arXiv] 2025-12-24 | Search for Light Dark Matter in Rare Meson Decays
[arXiv] 2025-12-24 | Interaction-Resilient Scalable Fluxonium Architecture with All-Microwave Gates
[arXiv] 2025-12-24 | Production of charmed particles in proton-proton and light nucleus-nucleus interactions in Geant4 FTF model
[arXiv] 2025-12-24 | Mixed Precision General Alternating-Direction Implicit Method for Solving Large Sparse Linear Systems
[arXiv] 2025-12-24 | Well-posedness and the Łojasiewicz-Simon inequality in the asymptotic analysis of a nonlinear heat equation with constraints of finite codimension
[arXiv] 2025-12-24 | Limits of equi-affine equi-distant loci of planar convex domains with two non-parallel asymptotes
[arXiv] 2025-12-24 | Differential bundles as functors from free modules
[arXiv] 2025-12-24 | A class of entangled and diffeomorphism-invariant states in loop quantum gravity: Bell-network states
[arXiv] 2025-12-24 | Thermodynamic sampling of materials using neutral-atom quantum computers
[arXiv] 2025-12-24 | Declarative distributed broadcast using three-valued modal logic and semitopologies
[arXiv] 2025-12-24 | TGC-Net: A Structure-Aware and Semantically-Aligned Framework for Text-Guided Medical Image Segmentation
[arXiv] 2025-12-24 | MarineEval: Assessing the Marine Intelligence of Vision-Language Models
[arXiv] 2025-12-24 | Measuring Variable Importance via Accumulated Local Effects
[arXiv] 2025-12-24 | Topological Interface States and Nonlinear Thermoelectric Performance in Armchair Graphene Nanoribbon Heterostructures
[arXiv] 2025-12-24 | A Mechanistic Analysis of Transformers for Dynamical Systems
[arXiv] 2025-12-24 | Semi-Supervised Learning for Large Language Models Safety and Content Moderation
[arXiv] 2025-12-24 | TexAvatars : Hybrid Texel-3D Representations for Stable Rigging of Photorealistic Gaussian Head Avatars
[arXiv] 2025-12-24 | Dual-comb spectroscopy for the characterization of laboratory flames
[arXiv] 2025-12-24 | Continuous Hochschild Cohomology and Formality
[arXiv] 2025-12-24 | Proximal Survival Analysis for Dependent Left Truncation
[arXiv] 2025-12-24 | Generalization of Diffusion Models Arises with a Balanced Representation Space
[arXiv] 2025-12-24 | Autonomous Uncertainty Quantification for Computational Point-of-care Sensors
[arXiv] 2025-12-24 | TICON: A Slide-Level Tile Contextualizer for Histopathology Representation Learning
[arXiv] 2025-12-24 | Aspects of holographic timelike entanglement entropy in black hole backgrounds
[arXiv] 2025-12-24 | Topological Charge-2ne Superconductors
[arXiv] 2025-12-24 | Towards Practical Automatic Piano Reduction using BERT with Semi-supervised Learning
[arXiv] 2025-12-24 | Non-Algebraic Decay for Solutions to the Navier-Stokes Equations
[arXiv] 2025-12-24 | Learning to Solve PDEs on Neural Shape Representations
[arXiv] 2025-12-24 | The Patterson-Sullivan construction and global leaf geometry for Anosov flows
[arXiv] 2025-12-24 | FORCE-$α$ Numerical Fluxes within the Arbitrary High Order Semidiscrete WENO-DeC Framework: A Competitive Alternative to Upwind Fluxes
[arXiv] 2025-12-24 | Rational Cohomology Endomorphisms of Product of Sphere with Grassmannian and Coincidence Theory
[arXiv] 2025-12-24 | Pluricanonical Geometry of Varieties Isogenous to a Product: Chevalley-Weil Theory and Pluricanonical Decompositions of Abelian Covers
[arXiv] 2025-12-24 | Impurity peaking of SPARC H-modes: a sensitivity study on physics and engineering assumptions
[arXiv] 2025-12-24 | Hamilton-Jacobi as model reduction, extension to Newtonian particle mechanics, and a wave mechanical curiosity
[arXiv] 2025-12-24 | Twist-Tuned Strong Coupling in Sub-GHz Wire Metasurface Bilayers
[arXiv] 2025-12-24 | ACD: Direct Conditional Control for Video Diffusion Models via Attention Supervision
[arXiv] 2025-12-24 | AnyAD: Unified Any-Modality Anomaly Detection in Incomplete Multi-Sequence MRI
[arXiv] 2025-12-24 | Green's Function and Solution Representation for a Boundary Value Problem Involving the Prabhakar Fractional Derivative
[arXiv] 2025-12-24 | Crossing symmetry of OPE statistics
[arXiv] 2025-12-24 | ReaSeq: Unleashing World Knowledge via Reasoning for Sequential Modeling
[arXiv] 2025-12-24 | Neural Network-Assisted RIS Weight Optimization for Spatial Nulling in Distorted Reflector Antenna Systems
[arXiv] 2025-12-24 | Industrial Ouroboros: Deep Lateral Movement via Living Off the Plant
[arXiv] 2025-12-24 | Assessing the Software Security Comprehension of Large Language Models
[arXiv] 2025-12-24 | Casting a SPELL: Sentence Pairing Exploration for LLM Limitation-breaking
[arXiv] 2025-12-24 | Squeezed quantum multiplets: properties and phase space representation
[arXiv] 2025-12-24 | Wireless Center of Pressure Feedback System for Humanoid Robot Balance Control using ESP32-C3
[arXiv] 2025-12-24 | Exploring the Role of Vector Potential and Plasma-$β$ in Jet Formation from Magnetized Accretion Flows
[arXiv] 2025-12-24 | SpidR-Adapt: A Universal Speech Representation Model for Few-Shot Adaptation
[arXiv] 2025-12-24 | All-optical control and multiplexed readout of multiple superconducting qubits
[arXiv] 2025-12-24 | Flocking phase transition and threat responses in bio-inspired autonomous drone swarms
[arXiv] 2025-12-24 | Pandora's Box Reopened: Robust Search and Choice Overload
[arXiv] 2025-12-24 | Equivariant Multiscale Learned Invertible Reconstruction for Cone Beam CT: From Simulated to Real Data
[arXiv] 2025-12-24 | On new identities of Jacobi sums and related cyclotomic matrices
[arXiv] 2025-12-24 | Features of the Electronic and Magnetic Properties of Heusler Alloys in the States of a Half-Metallic Ferromagnet and a Spin-Gapless Semiconductor
[arXiv] 2025-12-24 | Navier-Stokes-Cahn-Hilliard system in a $3$D perforated domain with free slip and source term: Existence and homogenization
[arXiv] 2025-12-24 | Substrate Role in Polaron Formation on Single-layer Transition Metal Dihalides
[arXiv] 2025-12-24 | Optimal Hardy-weights for the Finsler $p$-Dirichlet integral with a potential
[arXiv] 2025-12-24 | Bridging Microscopic Constructions and Continuum Topological Field Theory of Three-Dimensional Non-Abelian Topological Order
[arXiv] 2025-12-24 | Boundary behavior of continuous-state interacting multi-type branching processes with immigration
[arXiv] 2025-12-24 | 2-(v,k,3) designs admitting an almost simple, flag-transitive automorphism group with socle PSL(2,q)
[arXiv] 2025-12-24 | On Borel sets in ideal topologies
[arXiv] 2025-12-24 | Modeling gap acceptance behavior allowing for perceptual distortions and exogenous influences
[arXiv] 2025-12-24 | Active inference and artificial reasoning
[arXiv] 2025-12-24 | Approximation Schemes for Planar Graph Connectivity Problems
[arXiv] 2025-12-24 | A Real-World Evaluation of LLM Medication Safety Reviews in NHS Primary Care
[arXiv] 2025-12-24 | STLDM: Spatio-Temporal Latent Diffusion Model for Precipitation Nowcasting
[arXiv] 2025-12-24 | Discrete-time asset price bubbles with short sales prohibitions under model uncertainty
[arXiv] 2025-12-24 | Sharp bounds and monotonicity results for Neumann eigenvalues
[arXiv] 2025-12-24 | Holonomic multi-controlled gates for single-photon states
[arXiv] 2025-12-24 | T2AV-Compass: Towards Unified Evaluation for Text-to-Audio-Video Generation
[arXiv] 2025-12-24 | Global End-Effector Pose Control of an Underactuated Aerial Manipulator via Reinforcement Learning
[arXiv] 2025-12-24 | Dyna-Style Reinforcement Learning Modeling and Control of Non-linear Dynamics
[arXiv] 2025-12-24 | The transport of angular momentum for massive stars I. Formation of slowly rotating WNE stars
[arXiv] 2025-12-24 | Quiver Hecke algebras for Borcherds-Cartan datum III: Categorification of quantum Borcherds superalgebras
[arXiv] 2025-12-24 | Hysteretic Phonons and Quasielastic Response: A Raman Study of Thermal Memory in Two-dimensional CuCrP2S6
[arXiv] 2025-12-24 | Sparse identification of delay equations with distributed memory
[arXiv] 2025-12-24 | Relation between generalized and ordinary cluster algebras
[arXiv] 2025-12-24 | Device-Independent Anonymous Communication in Quantum Networks
[arXiv] 2025-12-24 | When LLMs fall short in Deductive Coding: Model Comparison and Human AI Collaboration Workflow Design
[arXiv] 2025-12-24 | Agentic Multi-Persona Framework for Evidence-Aware Fake News Detection
[arXiv] 2025-12-24 | Calderón-Zygmund gradient estimates for $p$-Laplace systems with BMO complex coefficients
[arXiv] 2025-12-24 | A Design Study Process Model for Medical Visualization
[arXiv] 2025-12-24 | Artificial or Just Artful? Do LLMs Bend the Rules in Programming?
[arXiv] 2025-12-24 | Minimax Duality in Game-Theoretic Probability
[arXiv] 2025-12-24 | Formal O(N3) scaling GW calculations by block tensor decomposition for large molecule systems
[arXiv] 2025-12-24 | Efficient and Robust Video Defense Framework against 3D-field Personalized Talking Face
[arXiv] 2025-12-24 | LEO Constellations as a Decentralized GNSS Network: Optimizing PNT Corrections in Space
[arXiv] 2025-12-24 | LLM Swiss Round: Aggregating Multi-Benchmark Performance via Competitive Swiss-System Dynamics
[arXiv] 2025-12-24 | CoSeNet: A Novel Approach for Optimal Segmentation of Correlation Matrices
[arXiv] 2025-12-24 | DRAGNs in the Forest: Identifying Artifacts with Random Forest Models in the VLASS DRAGNs Catalog
[arXiv] 2025-12-24 | FinAgent: An Agentic AI Framework Integrating Personal Finance and Nutrition Planning
[arXiv] 2025-12-24 | Leveraging Overfitting for Low-Complexity and Modality-Agnostic Joint Source-Channel Coding
[arXiv] 2025-12-24 | DAO-Agent: Zero Knowledge-Verified Incentives for Decentralized Multi-Agent Coordination
[arXiv] 2025-12-24 | Ab initio Approach to Collective Excitations in Excitonic Insulators
[arXiv] 2025-12-24 | Reflection Pretraining Enables Token-Level Self-Correction in Biological Sequence Models
[arXiv] 2025-12-24 | ETP-R1: Evolving Topological Planning with Reinforcement Fine-tuning for Vision-Language Navigation in Continuous Environments
[arXiv] 2025-12-24 | Beyond Artifacts: Real-Centric Envelope Modeling for Reliable AI-Generated Image Detection
[arXiv] 2025-12-24 | Transductive Visual Programming: Evolving Tool Libraries from Experience for Spatial Reasoning
[arXiv] 2025-12-24 | Intrinsic limits of timekeeping precision in gene regulatory cascades
[arXiv] 2025-12-24 | Quantile Rendering: Efficiently Embedding High-dimensional Feature on 3D Gaussian Splatting
[arXiv] 2025-12-24 | Towards a General Framework for Predicting and Explaining the Hardness of Graph-based Combinatorial Optimization Problems using Machine Learning and Association Rule Mining
[arXiv] 2025-12-24 | Econometric Modeling of Input-Driven Output Risk through a Versatile CES Production Function
[arXiv] 2025-12-24 | A voltage-responsive strongly dipolar-coupled macrospin network with emergent dynamics for computing
[arXiv] 2025-12-24 | Efficient Computation of Integer-constrained Cones for Conformal Parameterizations
[arXiv] 2025-12-24 | Elementary excitations in undoped layered cuprates
[arXiv] 2025-12-24 | Beyond Weight Adaptation: Feature-Space Domain Injection for Cross-Modal Ship Re-Identification
[arXiv] 2025-12-24 | A novel realization of linear seesaw model in a non-invertible selection rule with the assistance of $\mathbb Z_3$ symmetry
[arXiv] 2025-12-24 | Using stationary information flows to prove kinetic uncertainty relations in biochemical control systems
[arXiv] 2025-12-24 | Accelerating Underground Pumped Hydro Energy Storage Scheduling with Decision-Focused Learning
[arXiv] 2025-12-24 | Architectural Trade-offs in Small Language Models Under Compute Constraints
[arXiv] 2025-12-24 | Optical spin tomography in a telecom C-band quantum dot
[arXiv] 2025-12-24 | Universal relations between the quasinormal modes of neutron stars and magnetic tidal deformability
[arXiv] 2025-12-24 | Lightweight framework for underground pipeline recognition and spatial localization based on multi-view 2D GPR images
[arXiv] 2025-12-24 | Drastic field-induced resistivity upturns as signatures of unconventional magnetism in superconducting iron chalcogenides
[arXiv] 2025-12-24 | ALIVE: An Avatar-Lecture Interactive Video Engine with Content-Aware Retrieval for Real-Time Interaction
[arXiv] 2025-12-24 | Free boundary and capillary minimal surfaces in spherical caps II: Low energy
[arXiv] 2025-12-24 | Axion-photon conversion in stochastic magnetic fields
