[2026-07-01 11:55:30] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-30
正在获取论文...
[arXiv] 2026-06-30 | Symmetry energy of baryon- and neutron-rich nuclear matter
[arXiv] 2026-06-30 | A logarithmic phase singularity at the heart of Landau-Zener transitions
[arXiv] 2026-06-30 | Fast Risk Certification of Candidate Trajectories under Uncertain Time-Varying Constraints
[arXiv] 2026-06-30 | Stabilization Learning: A Paradigm Transition Bridging Control Theory and Machine Learning
[arXiv] 2026-06-30 | Directed Low Diameter Decomposition for Structured Digraphs
[arXiv] 2026-06-30 | Floquet Majorana flat bands and emergent Cooper pair symmetries in $p-$wave magnet$-$superconductor heterostructure
[arXiv] 2026-06-30 | Electron Densities of Typical Low-Mass Galaxies at z~2-7 from Stacked JWST/NIRSpec Spectra
[arXiv] 2026-06-30 | Geometrically necessary boundaries accommodate the residual elastic strain in cold-rolled Fe-3%Si
[arXiv] 2026-06-30 | PEERS: A Parallel and Exact Effective Resistance Solver via Implicit Inversion and Augmented Symbolic Analysis
[arXiv] 2026-06-30 | Graph Scheduling with Group Completion Times
[arXiv] 2026-06-30 | Tuning topological phase and Dirac point position via Pb and Sb substitution in Mn$_{1-x}$Pb$_{x}$(Bi$_{1-y}$Sb$_{y}$)$_{2}$Te$_{4}$
[IEEE] 2026-6-30 | Towards Fine-grained Remote Sensing Image–Text Retrieval via Hierarchical Multi-granularity Alignment
[IEEE] 2026-6-30 | HARV-SoC Evaluation on SmartFusion2 and PolarFire FPGAs Under Neutron and Proton Radiation
[IEEE] 2026-6-30 | LLM-Inpainter: LLM-Adapted Feature Prediction with Fine-Grained Mask-Aware Reinforcement for High-Fidelity Face Image Inpainting_supp1-3703338.pdf
[ACM] 2026-6-30 | TLR: Codebase-Level C Memory Management Error Repair with Large Language Models
[ACM] 2026-6-30 | When Shared Worlds Break: Demystifying Defects in Multi-user Extended Reality Software Systems
[ACM] 2026-6-30 | pPatch: Automated Vulnerability Unpatching
[IEEE] 2026-6-30 | Enhancing Web-Scale Processing with Graph Convolutional Neural Networks
[IEEE] 2026-6-30 | Attention-Guided RoBERTa Framework for Intelligent Resume Screening Using Dynamic Skill Relevance Learning
[IEEE] 2026-6-30 | Radar System for Vehicle Speed Detection and License Plate Recognition
[IEEE] 2026-6-30 | Evaluation of College Students' Entrepreneurship Ability using an Improved Genetic Algorithm-Based Self-Attention Backpropagation Neural Network
[IEEE] 2026-6-30 | DiabPredict: An Explainable and Deployment-Ready Machine Learning Framework for Early Diabetes Risk Assessment
[IEEE] 2026-6-30 | Hybrid Recommendation Algorithm with Geometric Aware Mapping Function for Indoor Space Design
[IEEE] 2026-6-30 | Intelligent Traffic-Flow Optimization and Congestion Management using Adaptive Cognitive Swarm Traffic Optimization Network (ACSTO-Net)-based Framework
[IEEE] 2026-6-30 | AFR-MCSA-Net: Adaptive Freshness Refinement and Multi-Scale Contextual Spoilage Attention Network for Intelligent Fruit Freshness Classification
[IEEE] 2026-6-30 | AFSSM-Net: An Adaptive Frequency Selective State-Space Network for Low-Light Image Enhancement
[IEEE] 2026-6-30 | AI–6G Convergence: Architectures, Key Use Cases, and Challenges for Intelligent and Sustainable Networks
[IEEE] 2026-6-30 | Artificial Intelligence Algorithm Optimization and Implementation of Multi-Source Radar Big Data Fusion
[IEEE] 2026-6-30 | Quality Assessment of Track and Field Teaching Movements using Adaptive Biomechanical Graph Transformer and Explainable Dynamic Time Warping (ABGT-EDTW)
[IEEE] 2026-6-30 | NEQRX: A Quantum Image Encryption and Reversible Data Hiding Scheme with Reduced Circuit Complexity_supp1-3707981.pdf
[IEEE] 2026-6-30 | Parallel Louvain Algorithms with Convergence Guarantee
[IEEE] 2026-6-30 | A Power Amplifier Employing Filter-Based Matching Networks for Enhanced Bandwidth and Efficiency
[ACM] 2026-6-30 | It Takes Two: Option-Aware Directed Greybox Fuzzing for Vulnerability PoC Generation
[ACM] 2026-6-30 | One Size Does Fit All: Exploring Model Fusion for Software Engineering Tasks
[ACM] 2026-6-30 | PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages
[ACM] 2026-6-30 | FHECrafter: A Multi-Agent Framework for Automated Fully Homomorphic Encrypted Tensor Program Generation
[ACM] 2026-6-30 | Controlled Granularity Tuning for Log-Based Anomaly Detection in Converged HPC-Cloud Environments
[IEEE] 2026-6-30 | Technical Program Committee
[IEEE] 2026-6-30 | Secure 6G Edge Intelligence Using Federated Distillation: Compression-Resilient TinyML Under Non-IID Data for Industrial Cyber-Defence
[IEEE] 2026-6-30 | Breast Cancer Lesion Classification Using Weighted Bag-of-Visual-Words and Ensemble Learning
[IEEE] 2026-6-30 | Instruction Tuning via Hybrid Data Selection: A Framework for Balancing Quality and Semantic Diversity
[IEEE] 2026-6-30 | Foreword
[IEEE] 2026-6-30 | Dual-Mode Fault-Tolerant Control of n×3-phase Permanent Magnet Synchronous Motor Under Open-Phase Fault
[IEEE] 2026-6-30 | Author Index
[IEEE] 2026-6-30 | Trustworthiness Evaluation System for the Closed-Loop Application of Online Security and Stability Defense Decision-Making System
[IEEE] 2026-6-30 | Prediction of Day-Ahead Wind Power Ramp Intervals Based on Validation-Calibrated Probabilistic Localization
[IEEE] 2026-6-30 | Case Study of Decay-like Core Rod Failure of On-Site Interphase Spacers Used in 500 kV Overhead Power Transmission Lines
[IEEE] 2026-6-30 | Power System Carbon Flow Tracing Based on Admittance Matrix
[IEEE] 2026-6-30 | A Comprehensive Study on the Performance of DPWM in NPC Converter
[IEEE] 2026-6-30 | Molecular Dynamics Simulation of the Interface Interaction Between Various Plant-based Ester Oils and Capacitor Insulating Films
[IEEE] 2026-6-30 | A Multi-Machine Parallel Stability Enhancement Strategy for Grid-Forming Converters Based on a Hybrid of Grid Voltage Feedforward Control and Virtual Impedance Control
[IEEE] 2026-6-30 | A High-Sensitivity Leakage Fault Detection Method for TN-C-S Systems Based on Active Sensing of Neutral Point Voltage
[IEEE] 2026-6-30 | V
                    <sup>2</sup>
                    Control of Series-Capacitor Buck Converters
[IEEE] 2026-6-30 | Machine-Learning-Based Prediction of Transient B-H Characteristics in Magnetic Cores
[IEEE] 2026-6-30 | Comparative Performance Analysis of Fractional-Slot Nine-Phase and Three-Phase Motors Based on Winding Reconfiguration
[IEEE] 2026-6-30 | Intelligent Evaluation Method for the Health Status of Dry-Type Air Core Reactor Based on Vibration Distribution Characteristics
[IEEE] 2026-6-30 | Ground Fault Protection Scheme for Renewable Power Transmission Lines Based on Fault Characteristics of Inverter-Based Resources
[IEEE] 2026-6-30 | Current Harmonic and Electromagnetic Force Characteristics of IPMSM under Various Load and Speed Conditions
[IEEE] 2026-6-30 | Electrode Fracture Between Self-Healing Points in Metallized Film Capacitors: Experiments and Mechanistic Modeling
[IEEE] 2026-6-30 | Wear Characteristics and Failure Mechanism of Electrical Connection Components in Converter Transformer Valve-Side Bushings
[IEEE] 2026-6-30 | Hybrid Modulation Strategy for Excitation Converters in Doubly Fed Pumped Storage Systems
[ACM] 2026-7-1 | A Technology-Readiness Evaluation of Private Set Intersection
[IEEE] 2026-6-30 | Multi Perspective Cross Attention Network for Group Activity Recognition
[IEEE] 2026-6-30 | Artificial Intelligence for Efficient Real-Time Traffic Management in Smart Cities
[IEEE] 2026-6-30 | Smart-Shoe Sensing and AI Imaging for Diabetic Foot Ulcers
[ACM] 2026-7-1 | SBFT Tool Competition 2026 – UAV Testing Track
[IEEE] 2026-6-30 | A Constrained Dual Branch Neural Network with Feature Recursive Analysis for SoC estimation of Lithium Titanate Batteries
[IEEE] 2026-6-30 | DC Breakdown Characteristics of Oil-Paper Insulation under Influence of Different Factors
[ACM] 2026-6-30 | The Construction of Characteristic Quality Regulation Knowledge Graph for Agricultural Products
[ACM] 2026-6-30 | Analyzing Linearizability in Relativistic Distributed Systems
[ACM] 2026-6-30 | DScale: a Simulation Framework for Large-Scale Distributed Systems
[ACM] 2026-6-30 | Reducing the TCB of SGX-Oriented LibOSes at Runtime
[ACM] 2026-6-30 | ProofFusion: Improving Neural Theorem Proving via Adaptive Retrieval-Augmented Reasoning
[ACM] 2026-6-30 | One Size Does Not Fit All: Revisiting Code Context Engineering for Repository-Level Code Generation
[ACM] 2026-6-30 | Towards Secure Logging: Characterizing and Benchmarking Logging Code Security Issues with LLMs
[ACM] 2026-6-30 | Validating LLM-Generated SQL Queries through Metamorphic Prompting
[IEEE] 2026-6-30 | Distributionally Robust Co-Optimization of Computation and Energy for Data Center Microgrids Considering Service Degradation Risks
[IEEE] 2026-6-30 | Improved Multi-Vector Model Predictive Control of DTP-PMSM Based on x-y Plane Closed-Loop Current Control
[IEEE] 2026-6-30 | Analysis of Mutual Inductance Asymmetry and Winding Mode Selection for Multi-Unit Permanent Magnet Synchronous Motors
[IEEE] 2026-6-30 | An Offset Current Compensation Strategy for Permanent Magnet Synchronous Motor System
[IEEE] 2026-6-30 | Small-Signal Stability of PLL-Synchronized VSCs With Fast Inertia Control in Weak Grids
[IEEE] 2026-6-30 | Research on Prediction Method of Air Compressor Startup Steps Based on CNN-Transformer Hybrid Model
[IEEE] 2026-6-30 | Grid-Connection Characteristic Analysis and Stability Enhancement Strategy of VSCs Based on Hybrid Synchronization Control
[IEEE] 2026-6-30 | Generator Assembly Process BOM Division Method Based on Correlation Degree Calculation
[IEEE] 2026-6-30 | Data-Knowledge Joint Driven Recognition Model for Latent Faults of Medium Voltage Distribution Cables
[IEEE] 2026-6-30 | A Robust Switch Fault Diagnosis Method for Cascaded H-Bridge Multilevel Inverters
[IEEE] 2026-6-30 | A Multi-stage Active Gate Drive for SiC MOSFET based on dv/dt and di/dt Feedback Control
[IEEE] 2026-6-30 | A Physics- Informed Neural Network Framework for State-of-Health Estimation of Lithium-Ion Batteries
[IEEE] 2026-6-30 | Thrust Performance Optimization of Double-Secondary Moving Magnet Type Permanent Magnet Synchronous Linear Motor Based on RNS-BLS
[IEEE] 2026-6-30 | Adaptive Grid-Following/Grid-Forming Switching Control Method In Flexible Interconnected Distribution Systems
[IEEE] 2026-6-30 | Next-Gen Coops: Robotics on Poultry Welfare and Productivity
[IEEE] 2026-6-30 | Deep Learning-Based Artificial Intelligence Approach for Identifying and Tracing the Source of Online Rumors—Using Social Media Commonly used by Young Students as a Sample
[IEEE] 2026-6-30 | Reinforcement Learning: UCB based Adaptive Sampling Strategy for Physics Informed Neural Networks
[IEEE] 2026-6-30 | IntelliMentor: An Integrated AI Tutor for Academic Performance and Emotional Well-Being
[IEEE] 2026-6-30 | Harris Hawk Optimization and Deep Q-Leaning based Load Balancing Framework for Fog-Cloud Communication Systems
[IEEE] 2026-6-30 | Optimizing Photovoltaic Power Generation: Fuzzy Logic-Based MPPT and Nanofluid Cooling Techniques
[IEEE] 2026-6-30 | Comparative Evaluation of Phase-Disposition PWM Technique based Three Phase Modular Multilevel Converter Topology using 5,7 and 9-Level
[IEEE] 2026-6-30 | An IoT- and AI-Enabled Architecture for Intelligent Transportation Systems
[IEEE] 2026-6-30 | Investigation of Blockchain in Management: Jordan Project Management Practice as a Case study
[IEEE] 2026-6-30 | Deep Learning-Based Satellite Fault Diagnosis Equipment Algorithm and System Implementation
[IEEE] 2026-6-30 | Personalized Design of Cultural and Creative Products using Explainable Transformer - Driven Generative Recommendation
[IEEE] 2026-6-30 | Meteorology- and Topography-Constrained Downscaling of Snow Cover Fraction Over the Tibetan Plateau_supp1-3699813.pptx
[IEEE] 2026-6-30 | Table of Contents
[IEEE] 2026-6-30 | Multirate Hearing Aid Signal Processing with Integrated Auditory Compensation Using Subband SNR Gated WDRC and Phase Coherent IIR Filterbanks
[IEEE] 2026-6-30 | Assessing Skip-Tracing Information in Repossession Prediction Using Ensemble Learning and SHAP Analysis
[IEEE] 2026-6-30 | AffectOmni: RL-Verifiable People-Centric Grounded Affective Reasoning for Social and Art-Related Scenes_supp1-3707634.pdf
[IEEE] 2026-6-30 | Improved Strategy Gradient Algorithm for Optimizing Engineering Financial Portfolio Risk: Design based on Risk-Sensitive Reward Function
[IEEE] 2026-6-30 | Performance Optimization and Stability Analysis of a DC-DC Boost Converter Using Classical PID Control Schemes
[IEEE] 2026-6-30 | UVVs: Identifying Unchanged Vertex Values in Evolving Graphs via Intersection-Union Analysis
[IEEE] 2026-6-30 | Synchronous Wind and Wave Retrieval from SWOT Based on Deep Learning
[IEEE] 2026-6-30 | ART-VOD: Adaptive Relational Distillation and Temporal Modeling for Open-Vocabulary Video Object Detection
共写入 200 条记录，保存到 papers/paper2026-06-30.json。
论文获取成功，文件路径: papers/paper2026-06-30.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Symmetry energy of baryon- and neutron-rich nuclear matter
[NO] 2/200 | Chemical evolution of the Milky Way disc with radial gas flows: a Lagrangian approach
[NO] 3/200 | The well-posedness of stochastic Korteweg--de Vries equations revisited
[NO] 4/200 | WaterGen: Decoupling Scene and Medium in Underwater Image Generation
[NO] 5/200 | Beyond the Library: An Agentic Framework for Autoformalizing Research Mathematics
[NO] 6/200 | ELASTIC: Efficiently Learning to Adaptively Scale Test-Time Compute for Generative Control Policies
[NO] 7/200 | UniSAE: Unified Speech Attribute Editing on Speaker, Emotion and Low-Level Content via Discrete Phonetic Posteriorgram Modelling
[NO] 8/200 | WildProp: Visual Estimation of Wildlife Body Proportions at Scale
[NO] 9/200 | Symplectic leaves of meromorphic Hitchin systems
[NO] 10/200 | The Past Is Prologue: A Plug-in Controller for Selective Updates in Sequentially Evolving LLM Memory
[NO] 11/200 | Visualizing High-Dimensional Graph Embeddings via Informed Multi-View Projections
[NO] 12/200 | Revealing Safety-Critical Scenarios for UTM via Transformer
[NO] 13/200 | What Counts as an Error? Dual-Reference Benchmarking for Atypical ASR
[NO] 14/200 | Exact Calculation of Two-neutrino Double Beta Decay Rate
[NO] 15/200 | Attacking UTMOS: Probing the Robustness of a Speech Quality Assessment Model
[NO] 16/200 | CasaMaestro: Multi-View Panoramas for House-Scale 3D Reconstruction
[NO] 17/200 | Equivalued affine springer fibers in mixed characteristic
[NO] 18/200 | Hybrid Unet-Transformer Model for Generating Stress and Strain Fields from Composite Geometrics
[NO] 19/200 | Learning Video Dynamics with Predictive Differentiable Rendering
[NO] 20/200 | A Semantic-Layer-Mediated Agent for Natural Language to SQL over Heterogeneous Enterprise Databases
[NO] 21/200 | LLM-Driven Personalities for Decision Making in Emergency Simulations
[NO] 22/200 | Practical Linear-Time Computation of Smallest Suffixient Sets
[NO] 23/200 | CORTEX: Token-Level Hallucination Detection in RAG via Comparative Internal Representations
[NO] 24/200 | Partially ordering software licenses
[NO] 25/200 | Offline Reinforcement Learning for Fluid Controls: Data-based Multi-observational Policy Extraction
[NO] 26/200 | Certified Speculative Execution for Untrusted AI Agents
[NO] 27/200 | Bayesian Uncertainty Quantification for Ranked Choice Voting Polls
[NO] 28/200 | Estimating the concurrence for quantum states via symmetric measurements
[NO] 29/200 | Quantum Imaging via Kurtosis-Difference Weighted Covariance on 2D Camera
[NO] 30/200 | Hierarchical Clustering As a Novel Solution to the Notorious Multicollinearity Problem in Observational Causal Inference
[NO] 31/200 | Wait, am I Being Fair? Characterizing Deductive Stereotyping and Mitigating It with Fair-GCG
[NO] 32/200 | Linguistic Bias Mitigation for Spoofing Detection via Gradient Reversal and A Variational Information Bottleneck
[NO] 33/200 | Sensing-Limited Control Under Non-Designable Observation Mechanisms
[NO] 34/200 | Resolving superposition in AI for interpretability and cross-modal alignment in patient-neuronal images
[NO] 35/200 | Reconfigurable wavelength-encoded stochastic illumination for active hyperspectral imaging
[NO] 36/200 | P3MaZe: a Mass-Zero constrained-dynamics formulation of particle-mesh electrostatics
[NO] 37/200 | Failure-Based Testing for Deep Reinforcement Learning Agents
[NO] 38/200 | Calibrating the Evaluator: Does Probability Calibration Mitigate Preference Coupling in LLM Agent Feedback Loops?
[NO] 39/200 | Constant-factor approximation of maximum distance-2 independent set in graphs of bounded merge-width
[NO] 40/200 | From Materials Database to Materials Bank: Assetizing Data for AI Driven Materials Innovation
[NO] 41/200 | Establishing Compactness as a Population Observable in Gravitational-Wave Astronomy
[NO] 42/200 | Language-Assisted Super-Resolution from Real-World Low-Resolution Patches
[NO] 43/200 | Running into tension: primordial black holes from ultra-slow-roll inflation, spectral running, and the Hubble tension
[NO] 44/200 | Safe Online Learning via Smooth Safety-Structured Policy Composition
[NO] 45/200 | A Novel Method for Differential-Algebraic Dynamic Model Discovery in Power Systems: An LLM-Based Multi-Agent Collaborative Framework
[NO] 46/200 | Non-invertible symmetries and modular invariance in lattice models
[NO] 47/200 | CSO-LLM: Class Subspace Orthogonalization for Post-Training Backdoor Detection and Trigger Inversion in LLMs
[NO] 48/200 | Benchmarking Large Language Models on Floating-Point Error Classification
[NO] 49/200 | Ferroelectric transmon
[NO] 50/200 | Minimizing Quantized Semantic Age of Information (QSAoI) in Foundation Model-Based Semantic Communications
[NO] 51/200 | Distance duality relation in symmetric teleparallel gravity
[NO] 52/200 | Self-Dual Cyclic Codes with Improved Minimum Distance Estimates via Extending the Chen-Ding Construction
[NO] 53/200 | Probabilistic Inversion with Flow Matching
[NO] 54/200 | Sequential sparse Gaussian process quantile regression
[NO] 55/200 | On existence of a collapsed bubble with surface tension in viscous incompressible fluid
[NO] 56/200 | SwiftAudio: Data-Efficient Caption-Only Distillation for One-Step Text-to-Audio Diffusion-based Generation
[NO] 57/200 | Semiclassical Backreaction of Massive Quantum Fields in the Spacetime of a Global Monopole
[NO] 58/200 | Embodied CAD: Solver-Grounded LLM Agents for Parametric B-Rep Assembly Modeling
[NO] 59/200 | HyperVLP: Enhancing Hierarchical Surgical Video-Language Pre-training in Hyperbolic Space
[NO] 60/200 | Symmetry-Enforced Ferroelectric Switching of Two-Dimensional Altermagnetism
[NO] 61/200 | Obstructions to Total Rainbow Forests in Edge-Colored Graphs
[NO] 62/200 | Mapping photon-number regimes in single-emitter lasers
[NO] 63/200 | Effect of externally applied resonant magnetic perturbations on resistive tearing modes
[NO] 64/200 | Observation of Intrinsic Anderson Localization in Few-Layer ReS$_2$
[NO] 65/200 | Agentic-Ideation: Sample Efficient Agentic Trajectories Synthesis for Scientific Ideation Agents
[NO] 66/200 | FPGA-based LQG controller and hardware-in-the-loop simulator implementation for nanomechanical systems
[NO] 67/200 | Securing the AI Agent: A Unified Framework for Multi-Layer Agent Red Teaming
[NO] 68/200 | Probing Memorization of Tabular In-Context Learning
[NO] 69/200 | ExPLoRe: Expert Patch-Level Loss Routing for Multi-Objective Masked Image Modeling
[NO] 70/200 | Transformers as Bayesian In-Context Experimenters: Smoothness-Adaptive Efficient ATE Estimation
[NO] 71/200 | HealthAgentBench: A Unified Benchmark Suite of Realistic Agentic Healthcare Environments for Challenging Frontier AI Agents
[NO] 72/200 | $L^p$ Asymptotics of the Möbius Energy Density of Helix Curves
[NO] 73/200 | Entanglement Structure Across $\mathbb{Z}_n$ Phase Transitions in 1D Rydberg Atom Arrays
