[2026-03-04 09:34:49] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-03
正在获取论文...
[arXiv] 2026-03-03 | Think, But Don't Overthink: Reproducing Recursive Language Models
[arXiv] 2026-03-03 | SpatialText: A Pure-Text Cognitive Benchmark for Spatial Understanding in Large Language Models
[arXiv] 2026-03-03 | Why Does RLAIF Work At All?
[arXiv] 2026-03-03 | CASSR: Continuous A-Star Search through Reachability for real time footstep planning
[arXiv] 2026-03-03 | Variance reduction in lattice QCD observables via normalizing flows
[arXiv] 2026-03-03 | Contextualized Privacy Defense for LLM Agents
[arXiv] 2026-03-03 | Well-posedness, mean attractors and invariant measures of stochastic discrete long-wave-short-wave resonance equations driven by locally Lipschitz nonlinear noise
[arXiv] 2026-03-03 | Enhancing Physics-Informed Neural Networks with Domain-aware Fourier Features: Towards Improved Performance and Interpretable Results
[arXiv] 2026-03-03 | ACE-Merging: Data-Free Model Merging with Adaptive Covariance Estimation
[arXiv] 2026-03-03 | Data-Driven Prediction of Chaotic Transition in Periapsis Poincaré Maps
[arXiv] 2026-03-03 | On the Structural Limitations of Weight-Based Neural Adaptation and the Role of Reversible Behavioral Learning
[arXiv] 2026-03-03 | Mind the Gap: Where Analog Ising Machines Lose Sight of their Optimization Objective
[arXiv] 2026-03-03 | A simple scheme to realize the Rice-Mele model in acoustic system
[arXiv] 2026-03-03 | Fingerprint Recognition of Partial Discharge Signals in Deep Learning Enhanced Rydberg Atomic Sensors
[arXiv] 2026-03-03 | SAE as a Crystal Ball: Interpretable Features Predict Cross-domain Transferability of LLMs without Training
[arXiv] 2026-03-03 | Harmonic Beltrami Signature Network: a Shape Prior Module in Deep Learning Framework
[arXiv] 2026-03-03 | SpecLoop: An Agentic RTL-to-Specification Framework with Formal Verification Feedback Loop
[arXiv] 2026-03-03 | SIGMark: Scalable In-Generation Watermark with Blind Extraction for Video Diffusion
[arXiv] 2026-03-03 | Tracing Back Error Sources to Explain and Mitigate Pose Estimation Failures
[arXiv] 2026-03-03 | DBMIF: a deep balanced multimodal iterative fusion framework for air- and bone-conduction speech enhancement
[arXiv] 2026-03-03 | Retrievit: In-context Retrieval Capabilities of Transformers, State Space Models, and Hybrid Architectures
[arXiv] 2026-03-03 | Think-as-You-See: Streaming Chain-of-Thought Reasoning for Large Vision-Language Models
[arXiv] 2026-03-03 | Bare and stretched string tyre models with distributed FrBD dynamics
[arXiv] 2026-03-03 | Luminosity-Dependent Variations in the Secondary Maximum of Type Ia Supernovae and Their Connection to Host Galaxy Morphology
[arXiv] 2026-03-03 | Optimal play in Yu-Gi-Oh! TCG is hard
[arXiv] 2026-03-03 | The Distribution of Phoneme Frequencies across the World's Languages: Macroscopic and Microscopic Information-Theoretic Models
[arXiv] 2026-03-03 | LLM-based Argument Mining meets Argumentation and Description Logics: a Unified Framework for Reasoning about Debates
[arXiv] 2026-03-03 | Rhythm: Learning Interactive Whole-Body Control for Dual Humanoids
[arXiv] 2026-03-03 | The many boundaries of the stratified dark matter halo
[arXiv] 2026-03-03 | Learning Memory-Enhanced Improvement Heuristics for Flexible Job Shop Scheduling
[arXiv] 2026-03-03 | SPARC: Spatial-Aware Path Planning via Attentive Robot Communication
[arXiv] 2026-03-03 | "It's Messy...But I Feel Balanced": Unpacking Flexible Workers' Rhythm-Making Practices Using an Asset-Based Approach
[arXiv] 2026-03-03 | Spatiotemporal Optical Vortices From All-Dielectric Bilayer Metagratings
[arXiv] 2026-03-03 | Identification of quantum generative circuits with parallel quantum neural network
[arXiv] 2026-03-03 | A phase-field framework for anisotropic viscoelastic-viscoplastic fracture in short fiber-reinforced polymers in hygrothermal environments
[arXiv] 2026-03-03 | A simple Path-based LP Relaxation for Directed Steiner Tree
[arXiv] 2026-03-03 | Global Extremum Seeking With Double Integrators in the Presence of Local Extrema
[arXiv] 2026-03-03 | Structure-Aware Text Recognition for Ancient Greek Critical Editions
[arXiv] 2026-03-03 | HERB: a unified framework for the evaluation of Hydrogen Embrittlement mechanisms driven by the Rice-Beltz concept
[arXiv] 2026-03-03 | Understanding the Resource Cost of Fully Homomorphic Encryption in Quantum Federated Learning
[arXiv] 2026-03-03 | Guideline-Grounded Evidence Accumulation for High-Stakes Agent Verification
[arXiv] 2026-03-03 | Contraction theory: Hausdorff--Riemann Measures as Set-Based Lyapunov Functions
[arXiv] 2026-03-03 | Differentiable Time-Varying IIR Filtering for Real-Time Speech Denoising
[arXiv] 2026-03-03 | From Heuristic Selection to Automated Algorithm Design: LLMs Benefit from Strong Priors
[arXiv] 2026-03-03 | Packing arithmetic progressions
[arXiv] 2026-03-03 | Scores Know Bobs Voice: Speaker Impersonation Attack
[arXiv] 2026-03-03 | Agentic Self-Evolutionary Replanning for Embodied Navigation
[arXiv] 2026-03-03 | Enhancing AAV-Enabled Secure Communications via Synthetic Aperture Beamforming
[arXiv] 2026-03-03 | Local Relaxation Fast Poisson Methods on Hierarchical Meshes
[arXiv] 2026-03-03 | Mathematical model of tumor-macrophage interactions: Elucidating the tumor-driven macrophage phenotype reprogramming
[arXiv] 2026-03-03 | Generation of 12 dB squeezed light from a waveguide optical parametric amplifier using a machine-learning-controlled spatial light modulator
[arXiv] 2026-03-03 | Geometric mechanisms enabling spin- and enantio-sensitive observables in one photon ionization of chiral molecules
[arXiv] 2026-03-03 | Non-Volatile Vortex MTJs with Opto-Electrical and Spin-Diode Nonlinearities as Multifunctional Neuromorphic Platforms
[arXiv] 2026-03-03 | TenExp: Mixture-of-Experts-Based Tensor Decomposition Structure Search Framework
[arXiv] 2026-03-03 | Correction scheme for total energy obtained on fault-tolerant quantum computer via quantum dominant orbital selection and subspace dynamical correlation methods
[arXiv] 2026-03-03 | Ensemble Forecasting of Power Quality Parameters
[arXiv] 2026-03-03 | Neural quantum support vector data description for one-class classification
[arXiv] 2026-03-03 | Addressing Missing and Noisy Modalities in One Solution: Unified Modality-Quality Framework for Low-quality Multimodal Data
[arXiv] 2026-03-03 | ReCo-Diff: Residual-Conditioned Deterministic Sampling for Cold Diffusion in Sparse-View CT
[arXiv] 2026-03-03 | Possible Enhancement of Superconductivity in Ambient-Pressure La$_3$Ni$_2$O$_7$ Thin Film
[ACM] 2026-3-3 | Filling the Gap: LLMs as Scaffolds for Competency Question Instantiation
[ACM] 2026-3-3 | SSWMNet: Solving the Speech Separation Problem While the Target is Wearing a Mask
[IEEE] 2026-3-3 | RFID-Powered Smart Cart: Hassle-Free Shopping &amp; Instant Billing
[IEEE] 2026-3-3 | Dark Pattern Detection on Web Page using DistilBERT
[IEEE] 2026-3-3 | Document Tampering Location Method Based on Edge Feature Fusion
[IEEE] 2026-3-3 | Staging Vision: Composing Coherent 3D Theater Scenes from Text through Hierarchical Synthesis
[IEEE] 2026-3-3 | Intelligent Attack Detection Method for SoftwareDefined Networking
[IEEE] 2026-3-3 | Impact of Adversarial Examples Generated by Randomized Gradient Direction Perturbations on Image Classification Models
[IEEE] 2026-3-3 | Efficient Dynamic Spectrum Management in Cognitive Radio Networks Via Robust Multi Head Probsparse Self Deformed CNN with Snow Ablation Optimization
[IEEE] 2026-3-3 | Surface damage detection for historic timber buildings based on CDAN model
[IEEE] 2026-3-3 | Multi-scale Attention Residual Network for Kidney CT Image Classification
[IEEE] 2026-3-3 | Design and Implementation of a Zynq-7020-Based Solar-Blind Ultraviolet Real-Time Color Image Transmission System
[IEEE] 2026-3-3 | Vectorization and Parallel Computing Optimization for Circular SAR Back Projection Algorithm
[IEEE] 2026-3-3 | A Systematic Review of Machine Learning-Based Infant Cry Signal Analysis
[IEEE] 2026-3-3 | Enhancing Resume Screening with Multimodal Analysis using NLP, BERT and Social Media Sentiment Analysis
[IEEE] 2026-3-3 | LSTM-Potential: An Efficient Reinforcement Learning PTA Step Size Policy for Circuit Simulation
[IEEE] 2026-3-3 | BDAMEA 2025 Preface
[IEEE] 2026-3-3 | Towards Robust and Efficient Continuous Face Authentication via Disentangled Representation Learning and Adaptive Identity Completion
[IEEE] 2026-3-3 | Robust IoT Botnet Detection via Residual Graph Attention Networks and Gradient Boosting: A Topology-Aware Hybrid Framework
[IEEE] 2026-3-3 | Process Development for Acoustic MEMS Resonator for RF Filter Applications
[IEEE] 2026-3-3 | 12.9 A 10.2-to-16.2GHz Dual-Mode-Transformer-Based Wideband Series-Resonance VCO Achieving &gt;201.1dBc/Hz FoM
                    <sub>T</sub>
                    at a 10MHz Offset
[IEEE] 2026-3-3 | Passivation Layer Thickness-Dependent Thermal Dissipation Properties of Source-Connected Field-Plated AlGaN/GaN HEMT
[IEEE] 2026-3-3 | Smart Pillow for Sleep Management
[IEEE] 2026-3-3 | Analyzing Capacitive Swipe Gesture towards User Identification
[IEEE] 2026-3-3 | 15.6 A 36GB 3.3TB/S HBM4 DRAM with Per-Channel TSV RDQS Auto Calibration and Fully-Programmable MBIST
[IEEE] 2026-3-3 | StyleAug: Style Augmentation for Multi-Agent Reinforcement Learning with Heterogeneous Observations
[IEEE] 2026-3-3 | ISSCC 2026 ITPC AM (Americas) Regional Subcommittee
[IEEE] 2026-3-3 | Attacks and Improvement of Aggregation Service for Federated Learning
[IEEE] 2026-3-3 | Optimized Handwritten Digit Recognition Using Transfer Learning for Smart License Plate and Text Detection
[IEEE] 2026-3-3 | Fully Integrated Mm-Scale 5G RF MIMO Harvester with −40dBm Sensitivity and Spatial MPPT via Hybrid Transformer-Based Combining/Shifting
[IEEE] 2026-3-3 | A 16.4nJ/Class Patient-Independent Prototype-Based Spatio-Temporal CNN Processor with Forward-Inference-Based Adaptation for Robust and Low-Latency Seizure Detection
[IEEE] 2026-3-3 | A Multi-Objective Optimization-Based Reinforcement Learning Framework for Intelligent Energy Storage System Scheduling
[IEEE] 2026-3-3 | Low-Frequency Electric Field Communication System Based on Optomechanical Levitation
[IEEE] 2026-3-3 | 20.5 A 24-to-27.5GHz Self-Adaptive Load-Modulated Balanced Amplifier for Integrated Communication, Sensing, and Power Transfer Scenarios
[IEEE] 2026-3-3 | Research on Online Detection Method for Aging Status of Optocouplers on Circuit Boards
[IEEE] 2026-3-3 | Multi-Fidelity Aerodynamic Data Fusion by Modeling Generalized Non-Stationary Multi-Output Gaussian Process
[IEEE] 2026-3-3 | Efficient and Lightweight YOLOv8-based Models for Real-Time Building Surface Crack Detection and Segmentation
[IEEE] 2026-3-3 | 8.2 A 32Gb/s 12.35Tb/s/mm
                    <sup>2</sup>
                    0.36pJ/b UCIe-Like Die-to-Die Interface Featuring Edge-Triggered Transceivers in 3nm with Active LSI Packaging
[IEEE] 2026-3-3 | 2025 International Conference on Power Systems, Smart Grid, and Artificial Intelligence (PSGAI)
[IEEE] 2026-3-3 | DGS based Wideband-Monopole Antenna For Wi-Fi and Sub-6 GHz Band Applications
[IEEE] 2026-3-3 | A Local Voltage Stratified Control Strategy Based on the Selection of Sag Coefficients for Photovoltaic Storage Systems
[IEEE] 2026-3-3 | A mm-Wave Wideband Tunable Electrical Balance Duplexer with an Integrated Low-Noise Amplifier in 22-nm CMOS FDSOI
[IEEE] 2026-3-3 | Secure Edge Based Framework for Health Care Data
[IEEE] 2026-3-3 | Forecasting in Complex Systems Using Causality-Integrated DMD Techniques
[IEEE] 2026-3-3 | Demonstration of Reliable Operation of GaN-Based UV-A MSM Photodetector at Elevated Temperature
[IEEE] 2026-3-3 | MoTeNet: Motion-Temporal Network for Dynamic Hand Gesture Recognition on Point Clouds
[IEEE] 2026-3-3 | Efficient Facial Emotion Recognition Using Residual Squeeze-and-Excitation and Enhanced Inception Networks
[IEEE] 2026-3-3 | Investigation of MAC Architectures Using Various Parallel Prefix Adders
[IEEE] 2026-3-3 | A Lightweight Orbit Prediction Framework for Satellites Based on Mamba Model and Two Line Elements Data
[IEEE] 2026-3-3 | Investigating Physical Consequences of Cyber-Attacks Using a Cyber-Physical Model of a Compressor Station
[IEEE] 2026-3-3 | Table of Contents
[IEEE] 2026-3-3 | Transient Overvoltage Suppression Method Based on Coordinated Reactive Power Control of Multi-type Converters
[IEEE] 2026-3-3 | Images in Motion?: A First Look Into Video Leakage in Collaborative Deep Learning
[IEEE] 2026-3-3 | Fault Type Inference for Transmission Lines via Cross-Attention Enhanced Multimodal Data Fusion
[IEEE] 2026-3-3 | Comprehensive Characterization of Inkjet Printer Ag Film on Paper Substrate for Sensor Electrodes
[IEEE] 2026-3-3 | Mixed phase lead-free hybrid halide perovskite-based optoelectronic devices
[IEEE] 2026-3-3 | Session 14 Overview: Unusual Interconnects and Other Uses for Light
[IEEE] 2026-3-3 | Research on Ship Energy Consumption and EEOI Optimization Based on a Combined Simulated Annealing and Particle Swarm Algorithm
[IEEE] 2026-3-3 | Design of Eagle Shaped Microstrip Antenna for Next - Gen Wifi 6E Applications
[IEEE] 2026-3-3 | Multi-Microgrid Hybrid Game-Based Optimization Scheduling Method Based on an Improved Particle Swarm Algorithm
[IEEE] 2026-3-3 | IoT-Powered Surveillance: Intelligent Video Processing with Edge and Cloud Synergy
[IEEE] 2026-3-3 | Detection of Blacktopped Counterfeit ICs Using Surface Texture Analysis
[IEEE] 2026-3-3 | Hi-LSplat: Hierarchical 3D Language Gaussian Splatting
[IEEE] 2026-3-3 | AIRPNet: Adaptive Image Restoration With Privacy Protection in Steganographic Domain
[IEEE] 2026-3-3 | MVPC-CLIP: Multi-Granularity Visual Prompt Co-Operative for Aerial Video Recognition
[IEEE] 2026-3-3 | A Robustness Indicator-Based Dual-Population Evolutionary Algorithm for Multimodal Multiobjective Optimization
[IEEE] 2026-3-3 | CKADisor: Central Kernel-Aligned Distillation for Efficient Event-Driven Object Recognition
[IEEE] 2026-3-3 | Experimental Characterization of SupraHarmonic Emissions in E14 and E27 LED Lamps
[IEEE] 2026-3-3 | Lossless Dynamic Point Cloud Geometry Compression via Rate-Distortion Optimized Motion Estimation
[IEEE] 2026-3-3 | Ambiguity Function Shaping for Weak Target Detection: A Joint Design Approach for Unimodular Waveform and Mismatched Filter
[IEEE] 2026-3-3 | Double-clad Anti-resonant Hollow-core Fiber with Inner Cladding Tube Offset for Mode Tailoring
[IEEE] 2026-3-3 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-3-3 | IEEE Photonics Technology Letters Information for Authors
[IEEE] 2026-3-3 | IEEE Open Access Publishing
[IEEE] 2026-3-3 | Design of a 2/6-Pole Combined Pitch Wound Rotor Brushless Doubly-Fed Generator and its Comparative Study with an 8-Pole Doubly-Fed Induction Generator
[IEEE] 2026-3-3 | Coded Computing Meets Differential Privacy: Privacy-Preserving and Straggler-Resilient Distributed Machine Learning
[IEEE] 2026-3-3 | BEST: Blockchain-Enabled Sustainable Task Scheduling for Optimizing Large AI Model Workloads at the Edge
[IEEE] 2026-3-3 | <i>fPIM</i>
                    : A Holistic Design to Optimize PIM Data Flow for High Execution Efficiency
[IEEE] 2026-3-3 | A Valve-Less Electro-Hydrostatic Powered Prosthetic Foot to Improve the Power Efficiency During Walking_supp1-3668985.mp4
[IEEE] 2026-3-3 | An Online Convolutional Neural Network Based Method for Open-Circuit Fault Diagnosis in Three-Phase Inverters Under Extremely Unbalanced Loading Condition
[IEEE] 2026-3-3 | Evolving Intelligent Network Attack Classifier Under Label Distribution Shift
[ACM] 2026-3-3 | Robots for Older Adults: A Scoping Review
[ACM] 2026-3-3 | CodeVoyager: Integrating Interactive Visual Aids with LLMs for Code Comprehension
[IEEE] 2026-3-3 | Evaluating Reinforcement Learning-Based Xapps for User-Centric Resource Allocation in Open RAN
[IEEE] 2026-3-3 | Probed Measurement Techniques for 100 Gbit/s D-Band Wireless Link Experiments
[IEEE] 2026-3-3 | WF-PVL Net: A Multi-Scale Recognition Algorithm for Full-Scene Defect Detection in Wind Farms
[IEEE] 2026-3-3 | Design and Evaluation of Novel Flexible Photovoltaic Power Plants in Medium-to-Low Solar Resource Areas
[IEEE] 2026-3-3 | A Developed Multilevel Power Converter with Reduced Switch Count
[IEEE] 2026-3-3 | A Multi-Timescale Source-Grid-Load-Storage Cooperative Dispatch Strategy Considering Economy and Flexibility
[IEEE] 2026-3-3 | A Study on Magnetic Interference of TEC Cooling System on Diamond Quantum Current Sensor
[IEEE] 2026-3-3 | Identification of Lumbar Muscle Fatigue Status Using a Parallel Fusion Network Based on Time and Frequency Domain Features
[IEEE] 2026-3-3 | ISNEET 2025 Cover Page
[IEEE] 2026-3-3 | Design of a Microcontroller-Based Intelligent Detection and Cleaning System
[IEEE] 2026-3-3 | Black Start and Parameter Design for Offshore Wind Power Series Hybrid Transmission Systems
[IEEE] 2026-3-3 | IoT Intelligent Sensor Based Underwater Inspection Robot for Real Time Object Detection and Tracking
[IEEE] 2026-3-3 | Research on Power Grid Technology for Oilfield Electrical Systems
[IEEE] 2026-3-3 | Unified RF Rectifier-Demodulator for Energy Harvesting in Sub-GHz Wireless Implants
[IEEE] 2026-3-3 | Design and Application of Solar-Powered Electric Buses
[IEEE] 2026-3-3 | Leveraging Machine Learning and Big Data Analytics to Transform Service Delivery in Public Healthcare
[IEEE] 2026-3-3 | A Comprehensive Evaluation Framework for the Study of the Effects of Facial Filters on Face Recognition Accuracy
共写入 200 条记录，保存到 papers/paper2026-03-03.json。
论文获取成功，文件路径: papers/paper2026-03-03.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Think, But Don't Overthink: Reproducing Recursive Language Models
[NO] 2/200 | Real-Time Generative Policy via Langevin-Guided Flow Matching for Autonomous Driving
[NO] 3/200 | Relativistic calculations of electron impact excitation cross-sections of neutral tungsten
[NO] 4/200 | Rate-Fidelity Tradeoffs in All-Photonic and Memory-Equipped Quantum Switches
[NO] 5/200 | Bayesian Optimization in Chemical Compound Sub-Spaces using Low-Dimensional Molecular Descriptors
[NO] 6/200 | GPUTOK: GPU Accelerated Byte Level BPE Tokenization
[NO] 7/200 | Tensegrity Robot Endcap-Ground Contact Estimation with Symmetry-aware Heterogeneous Graph Neural Network
[NO] 8/200 | ExpGuard: LLM Content Moderation in Specialized Domains
[NO] 9/200 | Nature of $K^*(1680)$ and $q\bar{q}$-hybrid mixing as the SU(3) partner of $η_{1}(1855)$ in the strange sector
[NO] 10/200 | LiveAgentBench: Comprehensive Benchmarking of Agentic Systems Across 104 Real-World Challenges
[NO] 11/200 | Neural Electromagnetic Fields for High-Resolution Material Parameter Reconstruction
[NO] 12/200 | How Controllable Are Large Language Models? A Unified Evaluation across Behavioral Granularities
[NO] 13/200 | An Augmented Rating System for Test cricket: adapting Glicko's model
[NO] 14/200 | CAPT: Confusion-Aware Prompt Tuning for Reducing Vision-Language Misalignment
[NO] 15/200 | Relevance Matters: A Multi-Task and Multi-Stage Large Language Model Approach for E-commerce Query Rewriting
[NO] 16/200 | Give me scissors: Collision-Free Dual-Arm Surgical Assistive Robot for Instrument Delivery
[NO] 17/200 | On Discriminative vs. Generative classifiers: Rethinking MLLMs for Action Understanding
[NO] 18/200 | The solar-like latitudinal distribution of flaring activities revealed by TESS, APOGEE and GALAH
[NO] 19/200 | Probing More-Than-Human Representation in Crisis Resilience Planning: An HCI Researcher Perspective
[NO] 20/200 | Tree-Embedded Bayesian Factor Models for Multidimensional Categorical Distributions
[NO] 21/200 | Recombination Rate Modifiers under Stochastic Transmission
[NO] 22/200 | Probing Planck-Scale Physics with High-Frequency Gravitational Waves
[NO] 23/200 | The Perceptual Gap: Why We Need Accessible XAI for Assistive Technologies
[NO] 24/200 | A Decision Analysis Framework for High-fidelity and Low-fidelity Systems with Applications in Manufacturing Processes
[NO] 25/200 | ModalPatch: A Plug-and-Play Module for Robust Multi-Modal 3D Object Detection under Modality Drop
[NO] 26/200 | Scalar-Measurement Attitude Estimation on $\mathbf{SO}(3)$ with Bias Compensation
[NO] 27/200 | Odin: Multi-Signal Graph Intelligence for Autonomous Discovery in Knowledge Graphs
[NO] 28/200 | Proactive Guiding Strategy for Item-side Fairness in Interactive Recommendation
[NO] 29/200 | Orthogonal polynomials in de Branges--Rovnyak spaces
[NO] 30/200 | Resolving the Kohayakawa-Kreuter Conjecture for Families
[NO] 31/200 | Safe and Robust Domains of Attraction for Discrete-Time Systems: A Set-Based Characterization and Certifiable Neural Network Estimation
[NO] 32/200 | RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization
[NO] 33/200 | From Reachability to Learnability: Geometric Design Principles for Quantum Neural Networks
[NO] 34/200 | On Simon's third gap conjecture for minimal surfaces in spheres
[NO] 35/200 | Universal approximation by signatures for infinite-dimensional rough paths
[NO] 36/200 | First-order transition into a topological superfluid state in an atom-cavity system
[NO] 37/200 | Asymptotic Analysis of Laplacian Operator in Thin Domains on the Sphere with Highly Oscillatory Boundary
[NO] 38/200 | BRIGHT: A Collaborative Generalist-Specialist Foundation Model for Breast Pathology
[NO] 39/200 | MA-CoNav: A Master-Slave Multi-Agent Framework with Hierarchical Collaboration and Dual-Level Reflection for Long-Horizon Embodied VLN
[NO] 40/200 | The Evolution of X-ray Spectra in Tidal Disruption Events
[NO] 41/200 | Focused Weighted-Average Least Squares Estimator
[NO] 42/200 | SpatialText: A Pure-Text Cognitive Benchmark for Spatial Understanding in Large Language Models
[NO] 43/200 | Why Does RLAIF Work At All?
[NO] 44/200 | CASSR: Continuous A-Star Search through Reachability for real time footstep planning
[NO] 45/200 | Variance reduction in lattice QCD observables via normalizing flows
[NO] 46/200 | Contextualized Privacy Defense for LLM Agents
[NO] 47/200 | Well-posedness, mean attractors and invariant measures of stochastic discrete long-wave-short-wave resonance equations driven by locally Lipschitz nonlinear noise
[NO] 48/200 | Enhancing Physics-Informed Neural Networks with Domain-aware Fourier Features: Towards Improved Performance and Interpretable Results
[NO] 49/200 | ACE-Merging: Data-Free Model Merging with Adaptive Covariance Estimation
[NO] 50/200 | Data-Driven Prediction of Chaotic Transition in Periapsis Poincaré Maps
[NO] 51/200 | On the Structural Limitations of Weight-Based Neural Adaptation and the Role of Reversible Behavioral Learning
[NO] 52/200 | Mind the Gap: Where Analog Ising Machines Lose Sight of their Optimization Objective
[NO] 53/200 | A simple scheme to realize the Rice-Mele model in acoustic system
[NO] 54/200 | Fingerprint Recognition of Partial Discharge Signals in Deep Learning Enhanced Rydberg Atomic Sensors
[NO] 55/200 | SAE as a Crystal Ball: Interpretable Features Predict Cross-domain Transferability of LLMs without Training
[NO] 56/200 | Harmonic Beltrami Signature Network: a Shape Prior Module in Deep Learning Framework
[NO] 57/200 | SpecLoop: An Agentic RTL-to-Specification Framework with Formal Verification Feedback Loop
[NO] 58/200 | SIGMark: Scalable In-Generation Watermark with Blind Extraction for Video Diffusion
[NO] 59/200 | Tracing Back Error Sources to Explain and Mitigate Pose Estimation Failures
[NO] 60/200 | DBMIF: a deep balanced multimodal iterative fusion framework for air- and bone-conduction speech enhancement
[NO] 61/200 | Retrievit: In-context Retrieval Capabilities of Transformers, State Space Models, and Hybrid Architectures
[NO] 62/200 | Think-as-You-See: Streaming Chain-of-Thought Reasoning for Large Vision-Language Models
[NO] 63/200 | Bare and stretched string tyre models with distributed FrBD dynamics
[NO] 64/200 | Luminosity-Dependent Variations in the Secondary Maximum of Type Ia Supernovae and Their Connection to Host Galaxy Morphology
[NO] 65/200 | Optimal play in Yu-Gi-Oh! TCG is hard
[NO] 66/200 | The Distribution of Phoneme Frequencies across the World's Languages: Macroscopic and Microscopic Information-Theoretic Models
[NO] 67/200 | LLM-based Argument Mining meets Argumentation and Description Logics: a Unified Framework for Reasoning about Debates
[NO] 68/200 | Rhythm: Learning Interactive Whole-Body Control for Dual Humanoids
