[2026-02-28 09:20:22] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[IEEE] 2026-2-27 | A Disturbance-Triggered Dual-Agent Reinforcement Learning Frequency Compensation Strategy with Lyapunov-Guided Stability for LLC Resonant Converters
[IEEE] 2026-2-27 | An Improved Passivity-Based Control Method for Three-Phase ANPC Inverters under Weak Grid
[IEEE] 2026-2-27 | Adaptive Communication Protocols for Manager-Worker Small LLM Multi-Agent Systems in Resource-Constrained Environments
[IEEE] 2026-2-27 | Improving Robotic Imitation Learning with Predicted Facial Motion Using Transformers
[IEEE] 2026-2-27 | Research on Transformer with Variable Magnetizing Inductance Applied to Dual Mode LLC-DAB Converter
[IEEE] 2026-2-27 | An ISO/IEC 25010-Based Evaluation Methodology for Designing Digital Mock-Up Toward Nuclear Decommissioning
[IEEE] 2026-2-27 | Research on Control and Modulation Strategy for Reusing Module Soft Open Point Topology
[IEEE] 2026-2-27 | Spam Email Classification using Bag-of-Words Features and Multilayer Perceptron Neural Networks
[IEEE] 2026-2-27 | Capacitor Voltage Reconfiguration and Control Methods of Variable-Level ANPC Inverters
[IEEE] 2026-2-27 | Deep Neural Network Watermarking to Detect Backdoor Attacks in Datasets Using Wet Paper Coding
[IEEE] 2026-2-27 | Development of a Gel Urethra Model Simulator Using Agarose-PEG and Performance Evaluation of a Soft Growing Actuator for Urinary Catheter Insertion Assistance
[IEEE] 2026-2-27 | Sonar Target Localization and Trajectory Based on Neural Network
[IEEE] 2026-2-27 | Benefits of Automatic Temperature Controller on Human Body and Maintaining Room Temperature
[IEEE] 2026-2-27 | Disturbance Suppression Strategy of Intermediate DC-Bus Voltage for Two-stage Grid-connected Inverter
[IEEE] 2026-2-27 | A Novel High Efficiency Step-up DC auto-Transformer for DC Grid
共写入 100 条记录，保存到 papers/paper2026-02-27.json。
论文获取成功，文件路径: papers/paper2026-02-27.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[NO] 2/100 | Warm-stamping mechanical behavior and microstructural characterization of Al-Si metal sheets using water refrigerated tooling
[NO] 3/100 | Fake News in the Digital Age: The Role of Social Media and its Consequences
[NO] 4/100 | Depthwise Separable Convolution architectures for 3D Object Recognition *
[NO] 5/100 | LightDiff-Shadow: A Lightweight Global Guided Diffusion Model for Real-Time Shadow Removal
[NO] 6/100 | Application of ChatGPT in Today’s Medical System
[NO] 7/100 | Computer Technology-Driven Dynamic Parameters Identification for Symmetrical Dual-Branched 4PPa-2PaR Parallel Manipulator Using Genetic Algorithm and Log-Cholesky Parameterization
[NO] 8/100 | Offloading Reservoir Computing-Based Hand-Waving Action Recognition to FPGAs for Service Robots
[NO] 9/100 | The Role of Real-World Data in Evaluating Causal Bayesian Networks: Data Collection Guidelines and Case Study
[NO] 10/100 | GeetaVani: A Retrieval-Augmented LLM Framework for Contextual Dialogue from the Bhagavad Geeta
[NO] 11/100 | A Web-Based Multi-Robot Teleoperation Platform: Architecture, Implementation, and User Evaluation
[NO] 12/100 | Lightweight Mask-Aware User Authentication Framework Using MobileFaceNet for Medical IoT Network
[NO] 13/100 | Iterative development of a mechanical gripping system for civil counter-UAS applications
[NO] 14/100 | Co-Optimization of Design and Manufacturing Parameters for Low-Cost Robotic Actuation
[NO] 15/100 | Review on Low Noise Amplifier for High Frequency Applications
[NO] 16/100 | Unified Transmission-Distribution Coordination for Secure and Economical Frequency Support From Distributed Energy Resources
[NO] 17/100 | A Remaining Useful Life Prediction Method for Power Devices Based on Multi-Indicator Fusion and Particle Swarm Optimization
[NO] 18/100 | Road Extraction from Remote Sensing Images Using Efficient Channel Attention and Transformer
[NO] 19/100 | A Floating Level Converter With A Negative Voltage Tolerance Of -35V
[NO] 20/100 | Estimating Wrist Joint Angle using Electromyography and Cepstral Coefficients
[NO] 21/100 | An Optimal Design Method for High-Frequency Transformers in High-Frequency Link AC-DC Matrix Converters
[NO] 22/100 | Automatic Diabetic Retinopathy Identification and Grading in Retinal Fundus Pictures
[NO] 23/100 | EcoGrow: IoT-Based Smart Plant Monitoring System
[NO] 24/100 | Robotic System Architecture Design for Manipulation of 3D Deformable Objects
[NO] 25/100 | AIREC-Basic: Consistent Demonstration Data Collection for Imitation Learning with Redundant Robot Arms
[NO] 26/100 | A self-supervised learning-based 3D model completion method for automatic reconstruction systems
[NO] 27/100 | Virtual Domain-Guided Cross-Modal Distillation With Multiview Correlation Awareness for Domain-Specific Multimodal Neural Machine Translation_supp1-3656559.pdf
[NO] 28/100 | Next Generation of Brain-Computer Interfaces: A Proposal for Spikes Detection Based on CDMA and Power Domain Nonorthogonal Multiple Access Techniques
[NO] 29/100 | PropMambaSR: Lightweight Image Super-Resolution with Propagation State Space Model
[NO] 30/100 | PO-GUISE+: Pose and Object Guided Transformer Token Selection for Efficient Driver Action Recognition
[NO] 31/100 | Learning Optimal Robust Control for Nonlinear Mixed Traffic Under External Disturbance
[NO] 32/100 | Modularity Maximization and Community Detection in Complex Networks Through Recursive and Hierarchical Annealing in the DWAVE Advantage Quantum Processing Units
[NO] 33/100 | DWSF-Net: A Dynamic Wavelet-based Spatial-frequency Fusion Network for Multispectral Object Detection
[NO] 34/100 | 3D-SceneQ: Empowering 3D LLM with Query-Guided Adaptive Pruning and Multi-modal Feature Enhancement
[NO] 35/100 | Dual-Layer Bumpless Transfer Control for Markovian Jump Systems and Its Applications: A Weighted Coefficient Mechanism_supp1-3666949.pdf
[NO] 36/100 | A Dual-Lunate-Ring Bulk RE-Ba-Cu-O Undulator
[NO] 37/100 | Dynamics of the Electric-Driven Gas Compressor Station Under Electric and Gas Network Disturbances
[NO] 38/100 | UniOrch: A Unified Mixed Framework for High-Efficiency LLM Training on Heterogeneous AI Chips
[NO] 39/100 | Zero-Pose-Prior NeRF: Recursive Radiance Field Reconstruction from Unposed and Unordered Images
[NO] 40/100 | IEEE Control Systems Society Information
[NO] 41/100 | Winfree-Model-Type Synchronization Control for Swimming Modular Robot through Physical Interaction
[YES] 42/100 | ISED 2025 Content Announcement Page
[NO] 43/100 | Anticipating Human Behavior for Safe Navigation and Efficient Collaborative Manipulation with Mobile Service Robots
[NO] 44/100 | Improved Predator-based Point Cloud Registration Method for Inner Liners in Utility Tunnel
[NO] 45/100 | Responsible AI Monetization: Ethical and Economic Implications of Algorithmic Business Models
[NO] 46/100 | Theme: Smart Technologies and Systems
[NO] 47/100 | A Common Source Impedance Compensation Method to Achieve Balanced Dynamic Current Sharing of Paralleled SiC MOSFETs
[NO] 48/100 | Optimizing Stacking Ensemble Learning to Enhance Meta-Model Performance in Forest Fire Risk Level Detection
[NO] 49/100 | Dialogue Generation for Robot Family Using ROS and Generative AI: Initial Implementation of Centralized and Distributed Systems
[NO] 50/100 | ICETISI 2025 List Reviewer Page
[NO] 51/100 | Natural Language-Driven Automation for Network Device Management with Large Language Models
[NO] 52/100 | Evaluating the Out-of-Distribution Generalization of Robot Diffusion Policies under the DINOv2 Visual Encoder
[NO] 53/100 | Single-Machine Equivalent Modelling of Wind Farms Based on Data-Driven Multiplier Parameter Correction
[NO] 54/100 | Integrating Automatic Force Assistance Configuration with Mixed Reality for Active Exoskeletons
[NO] 55/100 | Accurate PQ-ωV Admittance Model for Parallel VSC Systems
[NO] 56/100 | VAE-Based Synthetic EMG Generation with Mix-Consistency Loss for Recognizing Unseen Motion Combinations
[NO] 57/100 | Analysis and Design of a Novel 13.56 MHz Push-Pull Class E Inverter
[NO] 58/100 | Title Page
[NO] 59/100 | HEART: Hybrid Energy-Aware Resilient Trust Evaluation Model for Healthcare-IoT
[NO] 60/100 | Universal DC-DC Topology Deduction Mechanism Based on Graph-Theoretic Weighting and Four-Dimensional Electrical Characteristics
[NO] 61/100 | Urban Sound Classification: A Lightweight CNN Approach Based on Mel-Spectrograms
[NO] 62/100 | The Impact of Temperature Sensors in IoT on Fermentation in Eco-Enzymes
[NO] 63/100 | Hardware-Decoupled High-Frequency Triple Active Bridge (TAB) Converter
[NO] 64/100 | Development and Testing of Avalanche Transistors and Sub-nanosecond Pulses
[NO] 65/100 | An Optimized Switch Fault Diagnosis Strategy for Cascaded H-Bridge Based STATCOM
[NO] 66/100 | Supporting QoS Guarantee in Heterogeneous Object Storage System: A Spatio-Temporal Graph Data Processing Method
[NO] 67/100 | Diffusion-based Multi-agent with Reinforcement Learning for Multimodal-based Recommendation
[NO] 68/100 | Anchor-guided Discrete Multi-view Clustering
[NO] 69/100 | Sounding Depressed? Personalized Deep Learning Model for Depression Detection from Speech and Text
[NO] 70/100 | Decouple, Reorganize, and Fuse: A Multimodal Framework for Cancer Survival Prediction
[NO] 71/100 | SegTrans: Transferable Adversarial Examples for Segmentation Models
[NO] 72/100 | Compositional Text-to-Image Synthesis with Training-Free Layout-Guided Diffusion
[NO] 73/100 | Reasoning Techniques Meet GraphRAG: Advancing LLM for Wireless Network Cyber Defense
[NO] 74/100 | A Wearable Hand Tremor-Suppressing Glove Using PVC Gel-Based Actuators and Force Sensors
[NO] 75/100 | Hybrid Discretized Luenberger Observer for Sensorless IPMSM Drives Under Low Sampling-to-Fundamental Frequency Ratio
[NO] 76/100 | Accurate Time-Domain Model for Flying Capacitor Based Three-Level LLC Resonant Converters
[NO] 77/100 | Wide Range Series Resonant Converter with Double-Mode Operation Control Strategy
[NO] 78/100 | Estimation of Flux Saturation Model for SynRMs Using Physics-Informed Neural Networks at Standstill
[NO] 79/100 | Energy Management Optimization for Photovoltaic Hydrogen Production System
[NO] 80/100 | GS-MATSC: Group Symmetric Multi-Agent Traffic Signal Control with Attention and Mirror Loss
[NO] 81/100 | A Multi-Layered Security Framework for NIfTI Images Using CNN Feature Extraction, Arnold Scrambling and DWT Watermarking
[NO] 82/100 | Research on Construction and Dynamic Evolution of Knowledge Graph for University History Archive Resources Based on Multimodal Data
[NO] 83/100 | Applying Vision-Language Models for Intelligent Multimodal Surveillance and Crime Detection
[NO] 84/100 | A Localization Strategy for Low-cost UAVs Sewers Inspection
[NO] 85/100 | An Overall Loss Modeling Considering Current Ripple for Hybrid 3L-ANPC Converters
[NO] 86/100 | A Disturbance-Triggered Dual-Agent Reinforcement Learning Frequency Compensation Strategy with Lyapunov-Guided Stability for LLC Resonant Converters
[NO] 87/100 | An Improved Passivity-Based Control Method for Three-Phase ANPC Inverters under Weak Grid
[NO] 88/100 | Adaptive Communication Protocols for Manager-Worker Small LLM Multi-Agent Systems in Resource-Constrained Environments
[NO] 89/100 | Improving Robotic Imitation Learning with Predicted Facial Motion Using Transformers
[NO] 90/100 | Research on Transformer with Variable Magnetizing Inductance Applied to Dual Mode LLC-DAB Converter
[NO] 91/100 | An ISO/IEC 25010-Based Evaluation Methodology for Designing Digital Mock-Up Toward Nuclear Decommissioning
[NO] 92/100 | Research on Control and Modulation Strategy for Reusing Module Soft Open Point Topology
[NO] 93/100 | Spam Email Classification using Bag-of-Words Features and Multilayer Perceptron Neural Networks
[NO] 94/100 | Capacitor Voltage Reconfiguration and Control Methods of Variable-Level ANPC Inverters
[NO] 95/100 | Deep Neural Network Watermarking to Detect Backdoor Attacks in Datasets Using Wet Paper Coding
[NO] 96/100 | Development of a Gel Urethra Model Simulator Using Agarose-PEG and Performance Evaluation of a Soft Growing Actuator for Urinary Catheter Insertion Assistance
[NO] 97/100 | Sonar Target Localization and Trajectory Based on Neural Network
[NO] 98/100 | Benefits of Automatic Temperature Controller on Human Body and Maintaining Room Temperature
[NO] 99/100 | Disturbance Suppression Strategy of Intermediate DC-Bus Voltage for Two-stage Grid-connected Inverter
[NO] 100/100 | A Novel High Efficiency Step-up DC auto-Transformer for DC Grid
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-02-27.json。
邮件发送成功！
[2026-02-28 09:33:42] 任务执行成功！
