[2026-02-20 09:35:10] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-19
正在获取论文...
[arXiv] 2026-02-19 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[arXiv] 2026-02-19 | MolHIT: Advancing Molecular-Graph Generation with Hierarchical Discrete Diffusion Models
[arXiv] 2026-02-19 | Graph Neural Model Predictive Control for High-Dimensional Systems
[arXiv] 2026-02-19 | Asymptotic Smoothing of the Lipschitz Loss Landscape in Overparameterized One-Hidden-Layer ReLU Networks
[arXiv] 2026-02-19 | States that grow linearly in time, exceptional points, and zero norm states in the simple harmonic oscillator
[arXiv] 2026-02-19 | Renormalization Group and String Loops
[arXiv] 2026-02-19 | Non-BPS Monopoles and Dyons via Resurgent Transseries
[arXiv] 2026-02-19 | Momentum Measurement of Charged Particles in FASER's Emulsion Detector at the LHC
[arXiv] 2026-02-19 | Lecture Notes: Probing ultralight axion-like particles with quantum technology
[arXiv] 2026-02-19 | Compact Representation of Particle-Collision Events for Physics-Informed Machine Learning
[arXiv] 2026-02-19 | On the Linearization of Flat Multi-Input Systems via Prolongations
[arXiv] 2026-02-19 | ODESteer: A Unified ODE-Based Steering Framework for LLM Alignment
[IEEE] 2026-2-19 | 2025 8th International Conference on Emerging Technologies in Computer Engineering: Advances in Computing, Healthcare and Smart Systems (ICETCE)
[IEEE] 2026-2-19 | HDTwin-E5G: AI-Driven Digital Twin and Hybrid Deep Learning Framework for Energy-Efficient 5G Networks
[IEEE] 2026-2-19 | 2025 5th International Conference on Advancement in Electronics &amp;amp; Communication Engineering (AECE)
[IEEE] 2026-2-19 | RSTR: An Efficient Detection Network with Cross-Attention Multiscale Feature Aggregation for Remote Sensing Applications
[IEEE] 2026-2-19 | Chamelion: Reliable Change Detection for Long-Term LiDAR Mapping in Transient Environments_supp1-3665079.mp4
[IEEE] 2026-2-19 | FLLM 2025 Commentary
[IEEE] 2026-2-19 | AECE 2025 Conference Organisation
[IEEE] 2026-2-19 | PP-RCR: A Position-Probability-Resource Cooperative Routing Algorithm for Air-to-Ground Integrated Mobile Ad Hoc Networks in Emergency Rescue Scenarios
[ACM] 2026-2-19 | The Medal Mysteries: Uncovering Olympic Predictions with a Dash of Data
[ACM] 2026-2-19 | Research on Virtual Simulation Application in Well-being Space Design in the Digital Intelligence Era
[ACM] 2026-2-19 | Last Words
[IEEE] 2026-2-19 | Improved Dynamic Range Charge-Sensitive Amplifier
[IEEE] 2026-2-19 | Comparison of Barrett Modular Reduction with Various Multipliers in the Context of BFV/BGV Homomorphic Encryption
[IEEE] 2026-2-19 | Design and Development of a Post-Processing Automation System to Improve Quality Consistency in Additive Manufacturing
[IEEE] 2026-2-19 | Automatic item generation for reading comprehension in Portuguese literature
[IEEE] 2026-2-19 | Deep Learning Based Burned Wound Severity Prediction Multimodal
[IEEE] 2026-2-19 | Secure HAPS Based FSO Communications Using Metamaterials
[IEEE] 2026-2-19 | Opportunistic Resource Scheduling for Multibeam Satellite Communications
[IEEE] 2026-2-19 | Federated Multi-source Domain Adaptation Through Optimal Transport
[IEEE] 2026-2-19 | Multi - Sensor Based Knee Health Monitoring System
[IEEE] 2026-2-19 | A Time-Domain Comparator-Based 10-Bit SAR-ADC Design for Photoplethysmogram Signal Recording using Skywater 130 nm and Open-Source Tools
[IEEE] 2026-2-19 | Adaptive Q-Learning for Robust Navigation in Dynamic 2D Environments for Indian Warehouse Automation
[IEEE] 2026-2-19 | A Capacitor-Less LDO with Enhanced Wide Band Power Supply Rejection for Voltage-Controlled Oscillator
[IEEE] 2026-2-19 | Relevance-Guided Retrieval under Continually Expanding Knowledge Bases
[IEEE] 2026-2-19 | Characterization of a 300 GHz Carrier Wave Using an On-Chip Silicon Electro-Optic-Modulation Comb
[IEEE] 2026-2-19 | Implementation and Analysis of Mandarin Lipreading on Edge Devices
[IEEE] 2026-2-19 | Cuffless Blood Pressure Estimation Using Wearable Devices Based on Attention Mechanisms and Synthetic Data From Generative Models
[IEEE] 2026-2-19 | Channel-adaptive random access for LEO satellite communication
[IEEE] 2026-2-19 | Quantum-Cryptography Embedded Fault-Tolerant Algorithm for High-Performance Cloud Supercomputing Systems
[IEEE] 2026-2-19 | Leveraging Machine Learning for Early Detection of Depression Based on Social Media Behavior
[IEEE] 2026-2-19 | Making Pose Representations More Expressive and Disentangled via Residual Vector Quantization
[IEEE] 2026-2-19 | AI-Driven Simulation and Digital Twin Technologies for Smart Business Planning
[IEEE] 2026-2-19 | A Multi-connectivity Scheme for Service Continuity Between Terrestrial and Non-Terrestrial Networks
[IEEE] 2026-2-19 | Student Engagement Recognition Using a Hyena-Based Vision Transformer
[IEEE] 2026-2-19 | Self Heating Aware Temperature Analysis of Hetero Dielectric Vertically Stacked FeFinFET for Digital Circuit Applications
[IEEE] 2026-2-19 | Exponential Hybrid Gannet Bald Leader Optimization Based LeNet Enabled Human Behavior Analysis with Dermatoglyphics Fingerprint Pattern Classification
[IEEE] 2026-2-19 | Multimodal Knowledge Tracing and Reinforcement Learning for English Learning System
[IEEE] 2026-2-19 | Research on Digital Image Protection and AI-Enabled Living Intangible Cultural Heritage of the Jin-style filigree mosaic art based on Schema Theory
[IEEE] 2026-2-19 | Superimposed Pilot based OTFS Channel Estimation for LEO Satellite Communication System
[IEEE] 2026-2-19 | Robust Equivalent Transmit Beamforming Under Random Element Failures: A Stochastic Geometry Approach
[IEEE] 2026-2-19 | An Area-Time Efficient and Generic Accelerator for the Verification of Hash-Based Signature Schemes
[IEEE] 2026-2-19 | A Wide Bandwidth TIA with Low Power Consumption for PNN Prototyping
[IEEE] 2026-2-19 | AI-Powered Internet of Things (IoT) for Next-Gen Innovations
[IEEE] 2026-2-19 | Integrated Sensing and Communications (ISAC) for 6G: Foundations, Architectures, and Standards-Aligned Prototyping
[IEEE] 2026-2-19 | ProdSI-ML: A Hybrid Data-Driven Framework for Product Sustainability Evaluation and Predictive Modeling in Consumer Electronics
[IEEE] 2026-2-19 | A Ka-Band Variable-Gain Phase Shifter for 6G NTN with LEO Satellites
[IEEE] 2026-2-19 | Multi-modal Causal RAG for Aviation Accident Analysis and Risk Prediction
[IEEE] 2026-2-19 | Multidimensional Model for Measuring Knowledge Generation in Higher Education through Artificial Intelligence and Pedagogical Mediation
[IEEE] 2026-2-19 | Deep Reinforcement Learning for Adaptive Bitrate Streaming over Wireless Networks: Advances, Challenges, and Open-Source Simulation
[IEEE] 2026-2-19 | Research on the Melting Mechanism and Prevention Measures of PT High Voltage Fuses in 10∼35KV Distribution Networks
[IEEE] 2026-2-19 | Integrated RTBH-RBS Model for Illegal Traffic Mitigation in Indonesia's Internet Exchange
[IEEE] 2026-2-19 | A Comparative Study of ETS and ARIMA Algorithms for Forecasting Indonesia's Rice Export and Import
[IEEE] 2026-2-19 | GestOS: Advanced Hand Gesture Interpretation via Large Language Models to control Any Type of Robot
[IEEE] 2026-2-19 | Active RIS-aided NOMA-ISAC Network Architecture for LEO Satellite Communications
[IEEE] 2026-2-19 | Design and Implementation of an Inline Array Architecture for Variational Autoencoders Accelerator
[IEEE] 2026-2-19 | Multi-Objective Optimization of Fractional Order Controllers for Three Area Load Frequency Regulation
[IEEE] 2026-2-19 | Chaotic Enhancement via LE-guided Quantum XYZ Rotational Encoding and Amplitude-Scaled
[IEEE] 2026-2-19 | A Behavior-Aware Identity and Access Monitoring Framework for Securing Outsourced Data in Cloud Environments
[IEEE] 2026-2-19 | LSTM-Based Destination Prediction Method Using Location Information and Temporal Characteristics
[IEEE] 2026-2-19 | Counsel - An Artificial Intelligence Powered SaaS for Legal Professionals
[IEEE] 2026-2-19 | Impact of Metal Oxide Varistor on the Occurrence of Ferroresonance Oscillations in Transformers
[IEEE] 2026-2-19 | Design and Simulation of a Compact UHF Antenna for CubeSat Applications
[IEEE] 2026-2-19 | Energy-Efficient ReRAM-Based In-Memory Computing with Dual SNN/ANN Modes
[IEEE] 2026-2-19 | Energy-Efficient Hybrid Clustering for Wireless Rechargeable Sensor Networks: A Machine Learning Approach Using K-Means and Gaussian Mixture Models
[IEEE] 2026-2-19 | Seeing the Future (Phase I): AI-Based Measurement Prediction for Reliable High-Capacity Vehicular Connectivity in Road-Embedded Mobile Networks
[IEEE] 2026-2-19 | Scaled Reflection Cross-Section/ISAR Measurement using Photonic IC
[IEEE] 2026-2-19 | Comparative Analysis of Different Deepfake Video Detectors
[IEEE] 2026-2-19 | Distance-Aware Single-Stage Detectors: Combining Detection with Object-Specific Distance Estimation
[IEEE] 2026-2-19 | Design and Construction of a Fall-Mitigation Device for the Elderly
[IEEE] 2026-2-19 | Stereo Vision-Based Skeleton Pose Estimation with Proximity Index for Environment
[IEEE] 2026-2-19 | Design and Implementation of a Multi-Sensor MEMS-Based Flight Data Monitoring and Tracking System Using Hybrid Communication Networks
[IEEE] 2026-2-19 | VALID-Mol: A Systematic Framework for Validated LLM-Assisted Molecular Design
[IEEE] 2026-2-19 | Integration of IV Characteristic Spectrum and Infrared Thermal Imaging for Crack Fault Diagnosis in Photovoltaic Modules
[IEEE] 2026-2-19 | Dual Point Control with Virtual Sensing Technique in Active Noise Control
[IEEE] 2026-2-19 | Impact of Rainfall on the Wireless Transmission of Signals
[IEEE] 2026-2-19 | Interpretable Detection of Encrypted Traffic Using SHAP-Based Feature Attribution
[IEEE] 2026-2-19 | Drug Dosage of Immune System Using Reinforcement Learning
[IEEE] 2026-2-19 | Revolutionizing the Electricity Sector with Innovative IoT Solutions
[IEEE] 2026-2-19 | A 65nm 0.0736mm
                    <sup>2</sup>
                    /Pixel Simultaneous Energy-Harvesting-and-Sensing 2-by-2 Self-Powered CMOS Image Sensor Pixel Array Using Self-Oscillating Voltage Doubler for Thermal-Aware Zero-Stand-by-Power Imaging
[IEEE] 2026-2-19 | Single—Channel EEG Signal Based Emotion Recognition System Using Quantum Local Binary Pattern
[IEEE] 2026-2-19 | Research on Power Grid Data Governance Technology Based on Artificial Intelligence Algorithms
[IEEE] 2026-2-19 | Innovative Fusion of Blind Chromophore Separation, Artificial Intelligence and Grabcut Algorithm for Skin Disease prediction
[IEEE] 2026-2-19 | TabBoost: Combining Tree-Based and Attention-Based Models for Lifestyle Prediction
[IEEE] 2026-2-19 | Hierarchical Progressive Fusion: A Complexity-Aware Multimodal Integration Framework for Visual Question Answering
[IEEE] 2026-2-19 | Hydra Radio Access Network (Hydra-RAN): Multi-Functional Communications and Sensing Networks with Hydra Distributed Unit (H-DU) Scalability Optimization
[IEEE] 2026-2-19 | Performance Evaluation and Optimization of the Sampling Process of an Neuropredictive SAR ADC
[IEEE] 2026-2-19 | Embedded System Design for Heart Condition Identification Based on Signal Characteristics
[IEEE] 2026-2-19 | Implementation of Weighted Moving Average Method for Raw Material Forecasting in Cafe Management System
[IEEE] 2026-2-19 | Fast Tunable InP-LNOI DBR Laser at 1550nm
[IEEE] 2026-2-19 | A 0.01 mm
                    <sup>2</sup>
                    RC-Filter-Based Temperature Sensor with Phase-Domain DSM Readout Achieving 232fJ.K
                    <sup>2</sup>
                    Resolution FoM
[IEEE] 2026-2-19 | Vision Transformer for Sequence-to-Action Networks in Autonomous Driving Control
[IEEE] 2026-2-19 | A Privacy-Preserving and Amount-Flexible Multi-Hop Payment Protocol for Autonomous IoT Resource Scheduling
[IEEE] 2026-2-19 | A Low-Power PLL with Supply Noise Insensitive VCO in 65nm CMOS
[IEEE] 2026-2-19 | Enhanced Financial Inclusion with Boosting-Tree Transfer Learning
[IEEE] 2026-2-19 | Towards Accurate Wi-Fi 6E-based Liquid Sensing in a Static Environment
[IEEE] 2026-2-19 | Hybrid Dysgraphia Detection Using Transfer Learning and Handcrafted Features
[IEEE] 2026-2-19 | Cognitive Response Prediction System for Universal XR Metaverse Games
[IEEE] 2026-2-19 | A general model for sustainable vehicle fleets battery capacity optimization: Case study on the Italian Fire and Rescue Service Fleet
[IEEE] 2026-2-19 | A Domain-Specific Framework for Priority-Based Modeling and Optimization of Non-Functional Requirements Beyond Binary Constraints
[IEEE] 2026-2-19 | CRBP: A Benchmark Dataset of Color-Rendered 3-D-to-2.5-D Facial Projections_supp1-3624674.pdf
共写入 200 条记录，保存到 papers/paper2026-02-19.json。
论文获取成功，文件路径: papers/paper2026-02-19.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | BadCLIP++: Stealthy and Persistent Backdoors in Multimodal Contrastive Learning
[NO] 2/200 | Non-hyperelliptic modular curves of genus 3
[NO] 3/200 | Stochastic tensor contraction for quantum chemistry
[NO] 4/200 | Cryogenic piezoelectric effects in thin film strontium titanate devices
[NO] 5/200 | Bonsai: A Framework for Convolutional Neural Network Acceleration Using Criterion-Based Pruning
[NO] 6/200 | HybridPrompt: Bridging Generative Priors and Traditional Codecs for Mobile Streaming
[NO] 7/200 | Supersymmetric quantum mechanics from wrapped D4-branes
[NO] 8/200 | Benchmarking the Effects of Object Pose Estimation and Reconstruction on Robotic Grasping Success
[NO] 9/200 | AgentConductor: Topology Evolution for Multi-Agent Competition-Level Code Generation
[NO] 10/200 | FLoRG: Federated Fine-tuning with Low-rank Gram Matrices and Procrustes Alignment
[NO] 11/200 | What to Cut? Predicting Unnecessary Methods in Agentic Code Generation
[NO] 12/200 | MeGU: Machine-Guided Unlearning with Target Feature Disentanglement
[NO] 13/200 | Fluid viscoelasticity controls acoustic streaming via shear waves
[NO] 14/200 | Safe Continuous-time Multi-Agent Reinforcement Learning via Epigraph Form
[NO] 15/200 | Predictive Batch Scheduling: Accelerating Language Model Training Through Loss-Aware Sample Prioritization
[NO] 16/200 | Sign Lock-In: Randomly Initialized Weight Signs Persist and Bottleneck Sub-Bit Model Compression
[NO] 17/200 | IntentCUA: Learning Intent-level Representations for Skill Abstraction and Multi-Agent Planning in Computer-Use Agents
[NO] 18/200 | Amber-Image: Efficient Compression of Large-Scale Diffusion Transformers
[NO] 19/200 | Quantum cascade laser roadmap
[NO] 20/200 | Reframing Population-Adjusted Indirect Comparisons as a Transportability Problem: An Estimand-Based Perspective and Implications for Health Technology Assessment
[NO] 21/200 | Phase-Aware Mixture of Experts for Agentic Reinforcement Learning
[NO] 22/200 | LiveGraph: Active-Structure Neural Re-ranking for Exercise Recommendation
[NO] 23/200 | Transforming Behavioral Neuroscience Discovery with In-Context Learning and AI-Enhanced Tensor Methods
[NO] 24/200 | Environment-Aware Network-Level Design of Generalized Pinching-Antenna Systems--Part I: Traffic-Aware Case
[NO] 25/200 | ReIn: Conversational Error Recovery with Reasoning Inception
[NO] 26/200 | Beyond Average-Channel-Based Rate Approximations: UAV Trajectory and Scheduling Optimization With Expected Rate Consideration
[NO] 27/200 | Retrieving the Baby: Reichenbach's Principle, Bell Locality, and Selection Bias
[NO] 28/200 | Mason: Type- and Name-Guided Program Synthesis
[NO] 29/200 | Discovering Universal Activation Directions for PII Leakage in Language Models
[NO] 30/200 | Characterizing the Predictive Impact of Modalities with Supervised Latent-Variable Modeling
[NO] 31/200 | Ground effect on Undulation and pumping near surfaces
[NO] 32/200 | Signum-Gordon spectral mass from nonlinear Fourier mode mixing
[NO] 33/200 | Temperature and Respiratory Emergency Department Visits: A Mediation Analysis with Ambient Ozone Exposure
[NO] 34/200 | DAVE: A Policy-Enforcing LLM Spokesperson for Secure Multi-Document Data Sharing
[YES] 35/200 | Bluetooth Phased-array Aided Inertial Navigation Using Factor Graphs: Experimental Verification
[NO] 36/200 | Possible existence of super Chandrasekhar mass limit in the matter-curvature coupled gravity
[NO] 37/200 | Geometric and topological constraints on oral seal formation during infant breastfeeding
[NO] 38/200 | Visual Model Checking: Graph-Based Inference of Visual Routines for Image Retrieval
[NO] 39/200 | Robust Model Predictive Control for Linear Systems with Interval Matrix Model Uncertainty
[NO] 40/200 | Anisotropic Maximal $L^p$-regularity Estimates for a Hypoelliptic Operator
[NO] 41/200 | MDP Planning as Policy Inference
[NO] 42/200 | Asymptotic analysis for heterogeneous elastic energies with material voids
[NO] 43/200 | Tree crop mapping of South America reveals links to deforestation and conservation
[NO] 44/200 | Fukaya categories of orbifold surfaces in representation theory
[NO] 45/200 | 2Mamba2Furious: Linear in Complexity, Competitive in Accuracy
[NO] 46/200 | Herd Behavior in Decentralized Balancing Models: A Case Study in Belgium
[NO] 47/200 | Shortcut learning in geometric knot classification
[NO] 48/200 | Emergence of a symmetry-broken Chern insulator near a moiré Kondo breakdown
[NO] 49/200 | Stochastic homogenization of diffusions in turbulence driven by non-local symmetric Lévy operators
[NO] 50/200 | Towards a theory of symmetric extensions
[NO] 51/200 | Near-perfect quantum teleportation between continuous and discrete encodings
[NO] 52/200 | Limiting Behavior of Degree-Degree Metrics under Local Convergence in Probability
[NO] 53/200 | Representation Collapse in Machine Translation Through the Lens of Angular Dispersion
[NO] 54/200 | Derivation of variational membrane models in the context of anisotropic nonlocal hyperelasticity
[NO] 55/200 | WFST Supernovae in the First Year: III. Systematical Study of the Photometric Behavior of Early-phase Core-collapse Supernovae
[NO] 56/200 | Federated Latent Space Alignment for Multi-user Semantic Communications
[NO] 57/200 | WFST Supernovae in the First Year: I. Statistical Study of 16 Early-phase Type Ia Supernovae from the Pilot Survey
[NO] 58/200 | On the Reliability of User-Centric Evaluation of Conversational Recommender Systems
[NO] 59/200 | Quantifying and Mitigating Socially Desirable Responding in LLMs: A Desirability-Matched Graded Forced-Choice Psychometric Study
[NO] 60/200 | EA-Swin: An Embedding-Agnostic Swin Transformer for AI-Generated Video Detection
[YES] 61/200 | Failure Detection for Pinching-Antenna Systems
[NO] 62/200 | Characterization of tangent quasicircles and quasiannuli
[NO] 63/200 | Spectrum, Tjurina spectrum, and Hertling conjecture for singularities of modality $\leq 3$
[NO] 64/200 | Decoding the Human Factor: High Fidelity Behavioral Prediction for Strategic Foresight
[NO] 65/200 | Continual learning and refinement of causal models through dynamic predicate invention
[NO] 66/200 | Three-body study of the $T_{cc}(3875)^+$ from lattice QCD
[NO] 67/200 | The Case for HTML First Web Development
[NO] 68/200 | Strangeness is the key: from $\bar{K}N$ to $\bar{D}_s D K$
[NO] 69/200 | Smoothing on $L^1$ for ground state transformed semigroups in non-local settings
[NO] 70/200 | Anisotropic marginal Fermi liquid for Coulomb interacting generalized Weyl fermions
[NO] 71/200 | OpenEarthAgent: A Unified Framework for Tool-Augmented Geospatial Agents
[NO] 72/200 | A Study of Entanglement and Ansatz Expressivity for the Transverse-Field Ising Model using Variational Quantum Eigensolver
[NO] 73/200 | When Vision Overrides Language: Evaluating and Mitigating Counterfactual Failures in VLAs
[NO] 74/200 | What Language is This? Ask Your Tokenizer
[NO] 75/200 | Mine and Refine: Optimizing Graded Relevance in E-commerce Search Retrieval
[NO] 76/200 | The Effectiveness of a Virtual Reality-Based Training Program for Improving Body Awareness in Children with Attention Deficit and Hyperactivity Disorder
[NO] 77/200 | Revisiting the Higgs-mass calculation in the scale-invariant THDM
[NO] 78/200 | A.R.I.S.: Automated Recycling Identification System for E-Waste Classification Using Deep Learning
[NO] 79/200 | On Sets of Monochromatic Objects in Bicolored Point Sets
[NO] 80/200 | First-principles Newns-Anderson Hamiltonian Construction for Chemisorbed Hydrogen at Metal Surfaces
