[2026-02-13 09:37:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-12
正在获取论文...
[arXiv] 2026-02-12 | PLOT-CT: Pre-log Voronoi Decomposition Assisted Generation for Low-dose CT Reconstruction
[arXiv] 2026-02-12 | Nanoscopic Imaging of Acoustic Dynamics in van der Waals Ferroelectric NbOI2
[arXiv] 2026-02-12 | What if Agents Could Imagine? Reinforcing Open-Vocabulary HOI Comprehension through Generation
[arXiv] 2026-02-12 | End-to-End Differentiable Photon Counting CT
[arXiv] 2026-02-12 | The sharp interface limit of the matrix-valued Allen-Cahn equation
[arXiv] 2026-02-12 | External Division of Two Bregman Proximity Operators for Poisson Inverse Problems
[arXiv] 2026-02-12 | Producing $Λ(1405)$ and $Λ(1520)$ in $π^-p$ reaction to explore their inner structures
[arXiv] 2026-02-12 | Cachemir: Fully Homomorphic Encrypted Inference of Generative Large Language Model with KV Cache
[arXiv] 2026-02-12 | A Dual-Branch Framework for Semantic Change Detection with Boundary and Temporal Awareness
[arXiv] 2026-02-12 | EasyMimic: A Low-Cost Framework for Robot Imitation Learning from Human Videos
[arXiv] 2026-02-12 | Estimation of Electrical Characteristics of Complex Walls Using Deep Neural Networks
[arXiv] 2026-02-12 | Quantitative longest-run laws for partial quotients
[arXiv] 2026-02-12 | Prescribed distinct-digit growth in countable alphabets
[arXiv] 2026-02-12 | Commencing-Student Enrolment Forecasting Under Data Sparsity with Time Series Foundation Models
[arXiv] 2026-02-12 | P-GenRM: Personalized Generative Reward Model with Test-time User-based Scaling
[arXiv] 2026-02-12 | Search for Sub-Solar Mass Binaries in the First Part of LIGO's Fourth Observing Run
[arXiv] 2026-02-12 | Liquidation Dynamics in DeFi and the Role of Transaction Fees
[arXiv] 2026-02-12 | Local Integrable Symmetries of Diffieties
[arXiv] 2026-02-12 | Pack it in: Packing into Partially Filled Containers Through Contact
[arXiv] 2026-02-12 | Geometry of Uncertainty: Learning Metric Spaces for Multimodal State Estimation in RL
[arXiv] 2026-02-12 | Solvothermal vapor annealing and environmental control setup with adjustable magnetic field module for GISAXS studies
[arXiv] 2026-02-12 | Refined half-integer condition on RG flows
[arXiv] 2026-02-12 | PPTAM$η$: Energy Aware CI/CD Pipeline for Container Based Applications
[arXiv] 2026-02-12 | Weak stability conditions on coherent systems of genus four curves
[arXiv] 2026-02-12 | Efficient parallel finite-element methods for planetary gravitation: DtN and multipole expansions
[arXiv] 2026-02-12 | Enhanced Forest Inventories for Habitat Mapping: A Case Study in the Sierra Nevada Mountains of California
[arXiv] 2026-02-12 | Thermal and Dielectric Properties of Juno's Regolith at One Millimeter Wavelength
[arXiv] 2026-02-12 | Momentum Distribution of the Dilute Fermi Gas
[arXiv] 2026-02-12 | Affordance-Graphed Task Worlds: Self-Evolving Task Generation for Scalable Embodied Learning
[arXiv] 2026-02-12 | HoloBrain-0 Technical Report
[arXiv] 2026-02-12 | Evaluation of Security-Induced Latency on 5G RAN Interfaces and User Plane Communication
[arXiv] 2026-02-12 | ModelWisdom: An Integrated Toolkit for TLA+ Model Visualization, Digest and Repair
[arXiv] 2026-02-12 | Non-Hermitian topology of quantum spin-Hall systems to detect edge-state polarization
[arXiv] 2026-02-12 | Local boundedness for solutions to parabolic $p,q$-problems with degenerate coefficients
[arXiv] 2026-02-12 | The Implicit Bias of Logit Regularization
[arXiv] 2026-02-12 | Study of multi-particle states with tensor renormalization group method
[arXiv] 2026-02-12 | Topological chiral random walker
[arXiv] 2026-02-12 | InjectRBP: Steering Large Language Model Reasoning Behavior via Pattern Injection
[arXiv] 2026-02-12 | Existence of the $DD^*\bar{K}^*$ and $BB^*K^*$ three-body molecular states
[arXiv] 2026-02-12 | Momentum LMS Theory beyond Stationarity: Stability, Tracking, and Regret
[arXiv] 2026-02-12 | Simulation-Based Cosmological Mass Calibration of XXL Galaxy Clusters using HSC Weak Lensing
[arXiv] 2026-02-12 | Dynamics and thermodynamics of the S = 5/2 almost-Heisenberg triangular lattice antiferromagnet K2Mn(SeO3)2
[arXiv] 2026-02-12 | Splitting Schemes for ODEs with Goal-Oriented Error Estimation
[arXiv] 2026-02-12 | Hypercovers in Differential Geometry
[arXiv] 2026-02-12 | DHPLT: large-scale multilingual diachronic corpora and word representations for semantic change modelling
[arXiv] 2026-02-12 | Melting of quantum Hall Wigner and bubble crystals
[arXiv] 2026-02-12 | RAM-Net: Expressive Linear Attention with Selectively Addressable Memory
[arXiv] 2026-02-12 | History-Independent Load Balancing
[arXiv] 2026-02-12 | Robust Composite DNA Storage under Sampling Randomness, Substitution, and Insertion-Deletion Errors
[arXiv] 2026-02-12 | Probing Dynamical Dark Energy with Late-Time Data: Evidence, Tensions, and the Limits of the $w_0w_a$CDM Framework
[arXiv] 2026-02-12 | Modified mean curvature flow of graphs in Riemannian manifolds
[arXiv] 2026-02-12 | Optimal Quantization for Nonuniform Densities on Spherical Curves
[arXiv] 2026-02-12 | Studying Quality Improvements Recommended via Manual and Automated Code Review
[arXiv] 2026-02-12 | Incentive Effects of a Cut-Off Score: Optimal Contest Design with Transparent Pre-Selection
[arXiv] 2026-02-12 | Echo: Towards Advanced Audio Comprehension via Audio-Interleaved Reasoning
[arXiv] 2026-02-12 | The total geodesic curvature and the $(2+1)$-dimensional hyperbolic mass
[arXiv] 2026-02-12 | Musical Metamerism with Time--Frequency Scattering
[arXiv] 2026-02-12 | Is Downlink Training Necessary for User-Centric Cell-Free RSMA Systems With Mobile Users?
[arXiv] 2026-02-12 | Global Multiplicity and Comparison Principles for Singular Problems driven by Mixed Local-Nonlocal Operators
[arXiv] 2026-02-12 | Where Bits Matter in World Model Planning: A Paired Mixed-Bit Study for Efficient Spatial Reasoning
[arXiv] 2026-02-12 | Hi-SAM: A Hierarchical Structure-Aware Multi-modal Framework for Large-Scale Recommendation
[arXiv] 2026-02-12 | Latent-Variable Learning of SPDEs via Wiener Chaos
[arXiv] 2026-02-12 | Gray Codes With Constant Delay and Constant Auxiliary Space
[arXiv] 2026-02-12 | Decentralized Non-convex Stochastic Optimization with Heterogeneous Variance
[arXiv] 2026-02-12 | FlowMind: Execute-Summarize for Structured Workflow Generation from LLM Reasoning
[arXiv] 2026-02-12 | RELATE: A Reinforcement Learning-Enhanced LLM Framework for Advertising Text Generation
[arXiv] 2026-02-12 | Population synthesis predictions of the Galactic compact binary gravitational wave foreground detectable by LISA
[arXiv] 2026-02-12 | MiniCPM-SALA: Hybridizing Sparse and Linear Attention for Efficient Long-Context Modeling
[arXiv] 2026-02-12 | HAIC: Humanoid Agile Object Interaction Control via Dynamics-Aware World Model
[arXiv] 2026-02-12 | Evolution of submillimeter galaxies across cosmic-web environments
[arXiv] 2026-02-12 | AC-MASAC: An Attentive Curriculum Learning Framework for Heterogeneous UAV Swarm Coordination
[arXiv] 2026-02-12 | Achieving EF1 and Epistemic EFX Guarantees Simultaneously
[arXiv] 2026-02-12 | STVG-R1: Incentivizing Instance-Level Reasoning and Grounding in Videos via Reinforcement Learning
[arXiv] 2026-02-12 | Dopamine: Brain Modes, Not Brains
[arXiv] 2026-02-12 | A blow-up approach for a priori bounds in semilinear planar elliptic systems: the Brezis-Merle critical case
[arXiv] 2026-02-12 | Systematic Trend-Following with Adaptive Portfolio Construction: Enhancing Risk-Adjusted Alpha in Cryptocurrency Markets
[ACM] 2026-2-12 | Evaluating Assessment Practices in Team-Based Computing Capstone Projects
[IEEE] 2026-2-12 | mtGEMM: An Efficient GEMM Library for Modern Multi-Core DSPs
[IEEE] 2026-2-12 | GIS Surface Discharge and Metal Particle Size Identification Based on Silicon Photomultiplier and Lightweight CNN
[IEEE] 2026-2-12 | Ride Comfort Improvement Through Preview Active Suspension Control With Speed Planning
[IEEE] 2026-2-12 | DreamBarbie: Text to Barbie-Style 3D Avatars_supp2-3663253.pdf
[IEEE] 2026-2-12 | STMWF: Multi-tab Website Fingerprinting via Spatial-Temporal Sequence Analysis
[IEEE] 2026-2-12 | Differentiable Grouped Feedback Delay Networks for Learning Coupled Volume Acoustics_supp3-3663925.mp4
[IEEE] 2026-2-12 | EMI Reduction Method for Wireless Power Transfer Using Broadband Topology and Spread-Spectrum Frequency Modulation
[IEEE] 2026-2-12 | SFCF-Net:ACross-hierarchical Progressive Feature Integration Network for UAV Image Change Detection
[IEEE] 2026-2-12 | An extensible framework for urban mobility digital shadows
[IEEE] 2026-2-12 | Front Cover
[IEEE] 2026-2-12 | Position Sensorless Control of SRMs Based on Neural Network Nonlinear Modeling Using Improved Coyote Optimization Algorithm
[IEEE] 2026-2-12 | Adaptive Shared Cascade Navigation Control of Magnetic Microrobots in Unstructured Dynamic Environments_supp6-3658831.pdf
[IEEE] 2026-2-12 | An Empirical Exploration Of Collaborative Performance In Engineering Learning Contexts_supp1-3663552.pdf
[IEEE] 2026-2-12 | ATTE: An Innovative Ensemble Learning Method With Age-Group-Guided Fine-Tuning for Improving Personalized Blood Pressure Estimation_supp1-3655736.pdf
[IEEE] 2026-2-12 | A Consumption-Generation Driven Deep Embedding Framework for Next Activity Prediction
[IEEE] 2026-2-12 | A Climate-Aware Modeling Framework for Reliable IoT Connectivity: Environmental Effects on LoRaWAN Signal-to-Noise Ratio
[IEEE] 2026-2-12 | Joint Jamming and Transmission Rate Optimization for Multi-jammer Assisted UAV Covert Communications with Imperfect CSI
[IEEE] 2026-2-12 | Vision Transformer-Based Swin Transformer for Automated Diabetic Retinopathy Severity Detection and Classification
[IEEE] 2026-2-12 | Design and Implementation of a Trust-Based Peer-to-Peer Lending Platform for Hyperlocal Academic Communities
[IEEE] 2026-2-12 | Ranking-Aware Predictor-Assisted Automatic Architecture Design for Biomedical Image Segmentation
[IEEE] 2026-2-12 | AI-Generated Content and Its Influence on Consumer Trust and Purchase Behaviour: Evidence from Bangladesh’s E-Commerce Industry
[IEEE] 2026-2-12 | LLM-Guided Multimodal Scene Captioning via Prompt-Based Fusion of Visual and Auditory Descriptions
[IEEE] 2026-2-12 | FusionNet+: A Multi-Modal Deep Ensemble Architecture for Predicting Natural Disaster Severity and Economic Loss
[IEEE] 2026-2-12 | Deep Reinforcement Learning-based Mobile Ad Hoc Network for Secure and Dynamic Routing through Cryptographic Assurance
[IEEE] 2026-2-12 | Early Detection of Myocardial Infarction using Advanced AI Techniques
[IEEE] 2026-2-12 | Lip-Sync Analyzer for Deepfake Detection and Peeking Behind the Black Box with Explainable AI
[IEEE] 2026-2-12 | Early Detection of Cardiovascular Diseases Using Self-Supervised Learning on Echocardiography Images
[IEEE] 2026-2-12 | Design and Analysis of MoS
                    <sub>2</sub>
                    /Zn
                    <sub>1-x</sub>
                    Mg
                    <sub>x</sub>
                    O-based Asymmetric Quantum Well Heterostructure for Terahertz Detection
[IEEE] 2026-2-12 | IoT-Based Continuous Mental Health Monitoring System for Schizophrenia Patients
[IEEE] 2026-2-12 | Exploring the Therapeutic Potential of Aloe vera extracted compounds Against NSCLC: A Molecular Docking and Dynamic Simulation Study
[IEEE] 2026-2-12 | Electro-Thermal Simulation and Analysis of a Semiconductor Device Using Bipolar Junction Transistor
[IEEE] 2026-2-12 | Evaluating the Efficacy of Explainable Machine Learning Algorithms for the Detection and Classification of Network Intrusions
[IEEE] 2026-2-12 | Predictive Modeling of Credit Risk in Banking Systems Using a Hybrid SVM–Random Forest Approach
[IEEE] 2026-2-12 | Enhancing Agri – Food Supply Chain Efficiency Through Cloud Computing Solutions
[IEEE] 2026-2-12 | Explainable Fake News Detection: A Comparative Framework Using Classical, Deep, and Transformer Models
[IEEE] 2026-2-12 | Machine Learning-Driven Early Warning System for Epidemic and Pandemic Outbreaks with Explainable AI
[IEEE] 2026-2-12 | Deepfake Detection in MIS: Leveraging DenseNet and Multi-Scale Information for Enhanced Digital Forensics
[IEEE] 2026-2-12 | Design and Development of an IoT-Based Poultry Integrated Aquaponics System: A Sustainable Solution
[IEEE] 2026-2-12 | Integrate Blockchain and Federated Learning Approaches to Secure Multi-Cloud Data Exchange: An AI-Powered Trust Management System
[IEEE] 2026-2-12 | LineCourier: A Semi-Autonomous Mobile Robot for Indoor Logistics
[IEEE] 2026-2-12 | Optimized Path Estimation in TSP Using a Hybrid Genetic Algorithm and Ant Colony Optimization
[IEEE] 2026-2-12 | An IoT Based Smart Hybrid Firefighting Robot with 360° Visual Intelligence for Industrial Safety Applications
[IEEE] 2026-2-12 | Enhancing Question Answering System using Ensemble Learning Approach
[IEEE] 2026-2-12 | Enhanced YOLOv5-Based Framework for Obstacle Detection, Depth Estimation, and Navigation Assistance for the Visually Impaired
[IEEE] 2026-2-12 | FSG: A Conditional Generative Adversarial Network for Censoring-Aware Survival Prediction in Allogeneic Hematopoietic Cell Transplantation
[IEEE] 2026-2-12 | Real-Time Anomaly Detection in Physiological Signals Using Deep Reinforcement Learning for Intelligent Healthcare Monitoring
[IEEE] 2026-2-12 | IoT-Enabled Mobile Robot for Environmental Monitoring with Multi-Modal Communication
[IEEE] 2026-2-12 | Design and Implementation of an Anthropomorphic Robotic Hand with Key Kinematic Properties of Human Hand_supp1-3663977.pdf
[IEEE] 2026-2-12 | Decision letter for "Descriptor: Synthetic Person Information Dataset for Entity Resolution (SPIDER)"
[IEEE] 2026-2-12 | SL0-Net: Fractal Dimension Guided Adaptive Compressed Sensing via Deep Unfolding with Measurement-Injection Cross Attention
[IEEE] 2026-2-12 | ICN-enabled Internet of Robotic Things Data Routing and Access for Post-disaster Areas
[IEEE] 2026-2-12 | RVH-Cover: A Resultant-Vector and Heap-Based WSN Coverage Optimization Algorithm
[IEEE] 2026-2-12 | ADVersa: Abductive Driving Accident Video Understanding_supp1-3663545.pdf
[IEEE] 2026-2-12 | Toward Autonomous Driving: Data-Model Integration for Trajectory Reconstruction and Driving Action Extraction
[IEEE] 2026-2-12 | HarmonyCache: Scalable In-Network Cache With Read-Write Separation
[IEEE] 2026-2-12 | Exploring Temporal and Manufacturer-Specific Trends of Automated Vehicle Crashes Using Sequence of Events
[IEEE] 2026-2-12 | Gait-Adaptive Perceptive Humanoid Locomotion With Real-Time Under-Base Terrain Reconstruction
[IEEE] 2026-2-12 | A Novel Digital Twin for Diesel Generator in Microgrids
[IEEE] 2026-2-12 | Computing Edge
[IEEE] 2026-2-12 | 2026 Grants for Emerging Technology Activities
[IEEE] 2026-2-12 | Wideband Full-Polarization Reconfigurable Antenna for Intelligent IoT Applications
[IEEE] 2026-2-12 | A Federated Learning Framework for Sustainable Boro Rice Yield Prediction Using Multi-Regional Agro-Climatic Data
[IEEE] 2026-2-12 | Hierarchical Graph Convolutional Approach for Detecting Major Depressive Disorder from EEG Signals
[IEEE] 2026-2-12 | An Efficient 32-Bit Carry Look Ahead Adder using PFAL for Low Power Circuits
[IEEE] 2026-2-12 | The Journey from 4G to 6G: A Systematic Investigation of Wireless Networks Focusing on 6G
[IEEE] 2026-2-12 | HLE-DLM: A Hybrid Legal-Empowerment Deep Learning Model for Evaluating Labour Law Implications on Transgender Persons After the Transgender Persons Act
[IEEE] 2026-2-12 | Design and Performance Optimization of a Compact Microstrip Patch antenna for C-Band Applications
[IEEE] 2026-2-12 | A Hybrid Region-based Data Acquisition Approach for Optimizing Energy Efficiency in UAV-Assisted Wireless Sensor Networks
[IEEE] 2026-2-12 | SignNet-Nano: Efficient Sign Language Recognition for Real-Time Edge Deployment
[IEEE] 2026-2-12 | An Efficient Machine Learning Technique for Anomaly Detection on Industrial Big Data
[IEEE] 2026-2-12 | Ensemble Learning Approaches for Early and Accurate Detection of Alzheimer’s disease
[IEEE] 2026-2-12 | Classification and Detection of ADHD using Deep Machine Learning Model
[IEEE] 2026-2-12 | Advancements in Melanoma Detection: A Deep Learning Approach for Improved Diagnosis and Comparison with Human Performance
[IEEE] 2026-2-12 | COMPAS 2025 Author Index
[IEEE] 2026-2-12 | A TransLSTM-Based Approach to Employee Management and Human Resource Optimization
[IEEE] 2026-2-12 | An Efficient GPS-Based Path Planning Method for Autonomous Tractor Navigation
[IEEE] 2026-2-12 | Coarse Alignment Method Using Manifold Optimization for Sins on a Rocking Base
[IEEE] 2026-2-12 | Adaptive Optimization of Deep Learning Models: Leveraging Hardware-Software Co-Design for Performance
[IEEE] 2026-2-12 | Enhancing Wheat Disease Identification with Fine-Tuned EfficientNetB3 for Sustainable Crop Protection
[IEEE] 2026-2-12 | Breast Cancer Detection In UltraSound Images Using DenseNet121 Model
[IEEE] 2026-2-12 | Temporal Relational GNN for Coordinated Multi-Drone Surveillance
[IEEE] 2026-2-12 | Deep Learning-Based Non-Traditional Method for Multi-Focus Image Fusion in Surveillance Systems
[IEEE] 2026-2-12 | An Attention-Optimized Enhanced YOLOv11 Architecture for Real-Time Breast Cancer Detection
[IEEE] 2026-2-12 | Assessment of Machine Learning-Based Diagnostic Models for Autism Spectrum Disorder
[IEEE] 2026-2-12 | An Efficient Video Compression and Encoding Approach for Wireless Communication System
[IEEE] 2026-2-12 | Enhancing Breast Cancer Detection Using SVM and Explainable AI
[IEEE] 2026-2-12 | A Hybrid Deep Learning Approach for Detecting Suspicious Activities in Video Surveillance
[IEEE] 2026-2-12 | Cross-Dataset Generalizable Paddy Leaf Disease Detection via ViT–CNN Fusion and Domain-Specific Preprocessing
[IEEE] 2026-2-12 | Rule-Based Protein Classification through Multi-Phase Feature Extraction Technique_supp1-3663211.pdf
[IEEE] 2026-2-12 | InSAR Phase Errors due to Range Misregistrations
[IEEE] 2026-2-12 | Guest Editorial: Special Issue on Recent Advances in Integrated Sensing and Communications—Part II
[IEEE] 2026-2-12 | Masthead
[IEEE] 2026-2-12 | Opportunistic Gossip Learning-Aided Collaborative Physical Layer Authentication for Internet of Vehicles
[IEEE] 2026-2-12 | Asymmetric Co-Training With Decoder–Head Decoupling for Semi-Supervised Medical Image Segmentation
[IEEE] 2026-2-12 | On the Application of the IEC 60034-2-1 Standard to Line-Start Synchronous Reluctance Motors
[IEEE] 2026-2-12 | Integrated Dynamic Routing and Off-Block Optimization Based on Taxiing Route Impedance for Airport Surface Operations
[IEEE] 2026-2-12 | GOTA-NU: Global Task Allocation with Non-deterministic Tasks and Unknown Users to Enhance Freeway Traffic Accident Detection
[IEEE] 2026-2-12 | Cost-effective Parallel Cooperative Charging Scheduling for UAVs
[IEEE] 2026-2-12 | Multi-AAVs Collision-Free Flocking and Navigation in Dynamic Environments
共写入 200 条记录，保存到 papers/paper2026-02-12.json。
论文获取成功，文件路径: papers/paper2026-02-12.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | PLOT-CT: Pre-log Voronoi Decomposition Assisted Generation for Low-dose CT Reconstruction
[NO] 2/200 | TreeGrad-Ranker: Feature Ranking via $O(L)$-Time Gradients for Decision Trees
[NO] 3/200 | Device-Circuit Co-Design of Variation-Resilient Read and Write Drivers for Antiferromagnetic Tunnel Junction (AFMTJ) Memories
[NO] 4/200 | QDBFT: A Dynamic Consensus Algorithm for Quantum-Secured Blockchain
[NO] 5/200 | An optical transient candidate of $\lesssim$ 2-second duration captured by wide-field video observations
[NO] 6/200 | Performance and pulse shape discrimination of glass scintillator SG101 for neutron detection
[NO] 7/200 | Composite Optimization using Local Models and Global Approximations
[NO] 8/200 | Gradient Compression May Hurt Generalization: A Remedy by Synthetic Data Guided Sharpness Aware Minimization
[NO] 9/200 | Control the qubit-qubit coupling with double superconducting resonators
[NO] 10/200 | LASER: An Efficient Target-Aware Segmented Attention Framework for End-to-End Long Sequence Modeling
[NO] 11/200 | Online Electric Vehicle Charging Control with Battery Thermal Management in Cold Environments
[NO] 12/200 | Analysis of Karin and Koronis2 asteroid families: new findings and challenges
[NO] 13/200 | Brain4FMs: A Benchmark of Foundation Models for Electrical Brain Signal
[NO] 14/200 | Finite-time flocking of an infinite set of Cucker-Smale particles with sublinear velocity couplings
[NO] 15/200 | Enhanced and Tunable Superconductivity Enabled by Mechanically Stable Halogen-Functionalized Mo2C MXenes
[NO] 16/200 | Differentially Private Perturbed Push-Sum Protocol and Its Application in Non-Convex Optimization
[NO] 17/200 | Non-contractible loops of Legendrian tori from families of knots
[NO] 18/200 | Switchable high-Q light absorbers based on phase-change resonant metasurfaces
[NO] 19/200 | Eccentricity Evolution of Warm Jupiters: The Role of Distant Perturbers and Nearby Companions
[NO] 20/200 | Unifying Stable Optimization and Reference Regularization in RLHF
[NO] 21/200 | KuaiSearch: A Large-Scale E-Commerce Search Dataset for Recall, Ranking, and Relevance
[NO] 22/200 | Calibration and Evaluation of Car-Following Models for Autonomous Shuttles Using a Novel Multi-Criteria Framework
[NO] 23/200 | Human-Inspired Continuous Learning of Internal Reasoning Processes: Learning How to Think for Adaptive AI Systems
[NO] 24/200 | Single-exposure holographic lithography of ultra-high aspect-ratio microstructures
[NO] 25/200 | An Educational Human Machine Interface Providing Request-to-Intervene Trigger and Reason Explanation for Enhancing the Driver's Comprehension of ADS's System Limitations
[NO] 26/200 | Nanoscopic Imaging of Acoustic Dynamics in van der Waals Ferroelectric NbOI2
[NO] 27/200 | What if Agents Could Imagine? Reinforcing Open-Vocabulary HOI Comprehension through Generation
[NO] 28/200 | End-to-End Differentiable Photon Counting CT
[NO] 29/200 | The sharp interface limit of the matrix-valued Allen-Cahn equation
[NO] 30/200 | External Division of Two Bregman Proximity Operators for Poisson Inverse Problems
[NO] 31/200 | Producing $Λ(1405)$ and $Λ(1520)$ in $π^-p$ reaction to explore their inner structures
[NO] 32/200 | Cachemir: Fully Homomorphic Encrypted Inference of Generative Large Language Model with KV Cache
[NO] 33/200 | A Dual-Branch Framework for Semantic Change Detection with Boundary and Temporal Awareness
[NO] 34/200 | EasyMimic: A Low-Cost Framework for Robot Imitation Learning from Human Videos
[NO] 35/200 | Estimation of Electrical Characteristics of Complex Walls Using Deep Neural Networks
[NO] 36/200 | Quantitative longest-run laws for partial quotients
[NO] 37/200 | Prescribed distinct-digit growth in countable alphabets
[NO] 38/200 | Commencing-Student Enrolment Forecasting Under Data Sparsity with Time Series Foundation Models
[NO] 39/200 | P-GenRM: Personalized Generative Reward Model with Test-time User-based Scaling
[NO] 40/200 | Search for Sub-Solar Mass Binaries in the First Part of LIGO's Fourth Observing Run
[NO] 41/200 | Liquidation Dynamics in DeFi and the Role of Transaction Fees
[NO] 42/200 | Local Integrable Symmetries of Diffieties
[NO] 43/200 | Pack it in: Packing into Partially Filled Containers Through Contact
[NO] 44/200 | Geometry of Uncertainty: Learning Metric Spaces for Multimodal State Estimation in RL
[NO] 45/200 | Solvothermal vapor annealing and environmental control setup with adjustable magnetic field module for GISAXS studies
[NO] 46/200 | Refined half-integer condition on RG flows
[NO] 47/200 | PPTAM$η$: Energy Aware CI/CD Pipeline for Container Based Applications
[NO] 48/200 | Weak stability conditions on coherent systems of genus four curves
[NO] 49/200 | Efficient parallel finite-element methods for planetary gravitation: DtN and multipole expansions
[NO] 50/200 | Enhanced Forest Inventories for Habitat Mapping: A Case Study in the Sierra Nevada Mountains of California
[NO] 51/200 | Thermal and Dielectric Properties of Juno's Regolith at One Millimeter Wavelength
[NO] 52/200 | Momentum Distribution of the Dilute Fermi Gas
[NO] 53/200 | Affordance-Graphed Task Worlds: Self-Evolving Task Generation for Scalable Embodied Learning
[NO] 54/200 | HoloBrain-0 Technical Report
[YES] 55/200 | Evaluation of Security-Induced Latency on 5G RAN Interfaces and User Plane Communication
[NO] 56/200 | ModelWisdom: An Integrated Toolkit for TLA+ Model Visualization, Digest and Repair
[NO] 57/200 | Non-Hermitian topology of quantum spin-Hall systems to detect edge-state polarization
[NO] 58/200 | Local boundedness for solutions to parabolic $p,q$-problems with degenerate coefficients
[NO] 59/200 | The Implicit Bias of Logit Regularization
[NO] 60/200 | Study of multi-particle states with tensor renormalization group method
[NO] 61/200 | Topological chiral random walker
[NO] 62/200 | InjectRBP: Steering Large Language Model Reasoning Behavior via Pattern Injection
[NO] 63/200 | Existence of the $DD^*\bar{K}^*$ and $BB^*K^*$ three-body molecular states
[NO] 64/200 | Momentum LMS Theory beyond Stationarity: Stability, Tracking, and Regret
[NO] 65/200 | Simulation-Based Cosmological Mass Calibration of XXL Galaxy Clusters using HSC Weak Lensing
[NO] 66/200 | Dynamics and thermodynamics of the S = 5/2 almost-Heisenberg triangular lattice antiferromagnet K2Mn(SeO3)2
[NO] 67/200 | Splitting Schemes for ODEs with Goal-Oriented Error Estimation
[NO] 68/200 | Hypercovers in Differential Geometry
[NO] 69/200 | DHPLT: large-scale multilingual diachronic corpora and word representations for semantic change modelling
[NO] 70/200 | Melting of quantum Hall Wigner and bubble crystals
[NO] 71/200 | RAM-Net: Expressive Linear Attention with Selectively Addressable Memory
[NO] 72/200 | History-Independent Load Balancing
[NO] 73/200 | Robust Composite DNA Storage under Sampling Randomness, Substitution, and Insertion-Deletion Errors
[NO] 74/200 | Probing Dynamical Dark Energy with Late-Time Data: Evidence, Tensions, and the Limits of the $w_0w_a$CDM Framework
[NO] 75/200 | Modified mean curvature flow of graphs in Riemannian manifolds
[NO] 76/200 | Optimal Quantization for Nonuniform Densities on Spherical Curves
[NO] 77/200 | Studying Quality Improvements Recommended via Manual and Automated Code Review
