[2026-04-21 10:15:33] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-20
正在获取论文...
[arXiv] 2026-04-20 | Dust characterization of halos -- The extended emission in protoplanetary disks
[arXiv] 2026-04-20 | Attraction, Repulsion, and Friction: Introducing DMF, a Friction-Augmented Drifting Model
[arXiv] 2026-04-20 | Scalable Neighborhood-Based Multi-Agent Actor-Critic
[arXiv] 2026-04-20 | Sexaquarks and $H$ dibaryons in the $uuddss$ system: a comparison within a constituent quark model
[arXiv] 2026-04-20 | Embedding Arithmetic: A Lightweight, Tuning-Free Framework for Post-hoc Bias Mitigation in Text-to-Image Models
[arXiv] 2026-04-20 | VerilogCL: A Contrastive Learning Framework for Robust LLM-Based Verilog Generation
[arXiv] 2026-04-20 | Does "Do Differentiable Simulators Give Better Policy Gradients?'' Give Better Policy Gradients?
[arXiv] 2026-04-20 | FreezeEmpath: Efficient Training for Empathetic Spoken Chatbots with Frozen LLMs
[arXiv] 2026-04-20 | Operators on injective tensor products of L1-preduals
[arXiv] 2026-04-20 | mlr3torch: A Deep Learning Framework in R based on mlr3 and torch
[arXiv] 2026-04-20 | AI-based Waste Mapping for Addressing Climate-Exacerbated Flood Risk
[arXiv] 2026-04-20 | On the relative CNO underabundance in quasar absorption systems at $z \sim 3$ arising from Population III enrichment and attenuation by intermediate-mass black holes and primordial baryon accretion
[arXiv] 2026-04-20 | Distributional Off-Policy Evaluation with Deep Quantile Process Regression
[arXiv] 2026-04-20 | Do time delay effects explain galactic velocity profiles?
[arXiv] 2026-04-20 | An `Inverse' Experimental Framework to Estimate Market Efficiency
[arXiv] 2026-04-20 | TLoRA: Task-aware Low Rank Adaptation of Large Language Models
[arXiv] 2026-04-20 | Moments at the hard edge and Rayleigh functions
[arXiv] 2026-04-20 | Sharing the proceeds from a hierarchical venture when agents have needs
[arXiv] 2026-04-20 | Stability Implies Redundancy: Delta Attention Selective Halting for Efficient Long-Context Prefilling
[arXiv] 2026-04-20 | Macroscopic Optical Nonreciprocity: A Black Hole as an Optical Diode
[arXiv] 2026-04-20 | Solvable Descent and the Grunwald Problem for Solvable Groups
[arXiv] 2026-04-20 | The Collaboration Gap in Human-AI Work
[arXiv] 2026-04-20 | Polarization Engineering of the Orbital Hall Conductivity in Two-dimensional Ferroelectric Higher-Order Topological Insulator Tl$_2$S and SnS
[arXiv] 2026-04-20 | Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs
[arXiv] 2026-04-20 | T-REN: Learning Text-Aligned Region Tokens Improves Dense Vision-Language Alignment and Scalability
[arXiv] 2026-04-20 | Back into Plato's Cave: Examining Cross-modal Representational Convergence at Scale
[arXiv] 2026-04-20 | Pulling back Cartier structures along regular maps
[arXiv] 2026-04-20 | Latent Phase-Shift Rollback: Inference-Time Error Correction via Residual Stream Monitoring and KV-Cache Steering
[arXiv] 2026-04-20 | Counterexamples for lacunary dilates via dyadic spike blocks
[arXiv] 2026-04-20 | Symbolic Synthesis for LTLf+ Obligations
[arXiv] 2026-04-20 | HybridGen: Efficient LLM Generative Inference via CPU-GPU Hybrid Computing
[arXiv] 2026-04-20 | JAI functional contractions in relational metric spaces
[arXiv] 2026-04-20 | NOEMA3D: Resolving radial gas flows in disk galaxies at z~1.1-1.6 with high-resolution CO observations
[arXiv] 2026-04-20 | Scaling of Quantum Resources for Simulating a Long-Range System
[arXiv] 2026-04-20 | OneVL: One-Step Latent Reasoning and Planning with Vision-Language Explanation
[arXiv] 2026-04-20 | Warm-Start Quantum Approximate Optimization Algorithm for QAM MIMO Data Detection
[arXiv] 2026-04-20 | Linear-wave bound on electromagnetic energy equipartition at sub-electron scales in non-relativistic plasmas
[arXiv] 2026-04-20 | A Generalized Synthetic Control Method for Baseline Estimation in Demand Response Services
[arXiv] 2026-04-20 | An Integrated Deep-Learning Framework for Peptide-Protein Interaction Prediction and Target-Conditioned Peptide Generation with ConGA-PePPI and TC-PepGen
[arXiv] 2026-04-20 | Topological rigidity of complex and quaternionic moment--angle manifolds
[arXiv] 2026-04-20 | Random Matrix Theory of Early-Stopped Gradient Flow: A Transient BBP Scenario
[arXiv] 2026-04-20 | Coherent terahertz field tomographic imaging in warm Rydberg vapors
[arXiv] 2026-04-20 | Real-Time Algorithms for Model Predictive Control of Hybrid Dynamical Systems
[arXiv] 2026-04-20 | Security Risks of VOA-Induced Luminescence in Chip-Based quantum key distribution
[arXiv] 2026-04-20 | Impact of Initial Charge Distributions on the Kinetics of Charged Particle Coagulation
[arXiv] 2026-04-20 | Six Llamas: Comparative Religious Ethics Through LoRA-Adapted Language Models
[arXiv] 2026-04-20 | The Gomory-Hu inequality and trees
[arXiv] 2026-04-20 | Looking for Lights from the Darkness: Signals from MeV-scale Solar Axion-like Particles
[arXiv] 2026-04-20 | One-Step Diffusion with Inverse Residual Fields for Unsupervised Industrial Anomaly Detection
[arXiv] 2026-04-20 | Order Dependence in Regression by Composition: Discussion on "Regression by Composition'' by Farewell, Daniel, Stensrud, and Huitfeldt
[arXiv] 2026-04-20 | NEMO: Neural Electro-Mechano-Optic Sensors for Multiplexed Neural Interfaces
[arXiv] 2026-04-20 | The implicated scientist: on the role of AI researchers in the development of weapons systems
[arXiv] 2026-04-20 | EAST: Early Action Prediction Sampling Strategy with Token Masking
[arXiv] 2026-04-20 | Effect Sizes in Marketing Research: Why Cohen's Local f^2 Belongs in the Toolkit
[arXiv] 2026-04-20 | Multilingual Training and Evaluation Resources for Vision-Language Models
[arXiv] 2026-04-20 | One Pass for All: A Discrete Diffusion Model for Knowledge Graph Triple Set Prediction
[arXiv] 2026-04-20 | Thermodiffusion in Aqueous Alkali Halide Solutions from Ambient to Supercooled Conditions: Ion-Specific, Structural, and Mass Effects
[arXiv] 2026-04-20 | Factor-Augmented Panel Regressions and Variance-Weighted Treatment Effects
[arXiv] 2026-04-20 | Metal Atom (Dis)Order and Superconductivity in YCaH$_{n}$ ($n=8-20$) High-Pressure Superhydrides
[arXiv] 2026-04-20 | Towards Real-Time ECG and EMG Modeling on $μ$ NPUs
[arXiv] 2026-04-20 | Information decomposition for disentangled and interpretable manifold learning of fluid flows via variational autoencoders
[arXiv] 2026-04-20 | Efficient Bayesian inference for non-linear association structures in joint models: A hierarchical approach via INLA
[arXiv] 2026-04-20 | ExAI5G: A Logic-Based Explainable AI Framework for Intrusion Detection in 5G Networks
[arXiv] 2026-04-20 | A Bayesian framework with adaptive elastic nets for the inference of Gaussian graphical models
[arXiv] 2026-04-20 | HolmeSketcher: Generative 3D Sketch Mapping for Spatial Reconstruction in Crime Scene Investigation
[arXiv] 2026-04-20 | Matrix-Free 3D SIMP Topology Optimization with Fused Gather-GEMM-Scatter Kernels
[arXiv] 2026-04-20 | Jet Quenching in the Smallest Hadronic Collision Systems
[arXiv] 2026-04-20 | Multi-stream Quickest Change Detection: Foundations and Recent Advances
[arXiv] 2026-04-20 | AIT Academy: Cultivating the Complete Agent with a Confucian Three-Domain Curriculum
[arXiv] 2026-04-20 | Employing General-Purpose and Biomedical Large Language Models with Advanced Prompt Engineering for Pharmacoepidemiologic Study Design
[arXiv] 2026-04-20 | Mitigating Multimodal Hallucination via Phase-wise Self-reward
[arXiv] 2026-04-20 | Efficiently emulating distribution functions in gigaparsec volumes for varying cosmological parameters
[arXiv] 2026-04-20 | DifFoundMAD: Foundation Models meet Differential Morphing Attack Detection
[arXiv] 2026-04-20 | Process Reward Models Meet Planning: Generating Precise and Scalable Datasets for Step-Level Rewards
[arXiv] 2026-04-20 | Advances in photocathode development for PICOSEC Micromegas precise-timing detectors
[arXiv] 2026-04-20 | QCD, electroweak physics, and searches for exotic signatures in the forward region at LHCb
[ACM] 2026-4-20 | A Study on the Correlation between Cognitive Load Theory and APP Interface Icon Design: A Case Study of XX App
[ACM] 2026-4-20 | A Study on the Information Visualization Design of Zhuang “Momie” from the Perspective of Gestalt Visual Perception Principles
[ACM] 2026-4-20 | Balancing Comfort and Growth: A Dual-Mode Theory of Human-AI Development
[ACM] 2026-4-20 | Routing Multipath for Multiple Objects by Utilizing Genetic Algorithm
[IEEE] 2026-4-20 | A Single-Layer Wideband CP Filtering Reflectarray With Wide Out-of-Band Rejection via Intrinsic Orthogonality of CMs
[IEEE] 2026-4-20 | Collaborative Neural Networks significantly Improve Global Aerosol Retrievals From Multi-Angle Polarimeters
[IEEE] 2026-4-20 | 70 Years of the IEEE Transactions on Engineering Management: Trends and Patterns in Scholarly Publishing
[IEEE] 2026-4-20 | A SAC-GHULSTM Algorithm for Consumer Robot Navigation in Complex Indoor Environments with Progressive Training
[IEEE] 2026-4-20 | Techno-Economic Analysis of a Diesel-Windphotovoltaic Hybrid System With Battery Storage for an Off-Grid Household on Amantani Island, Peru
[IEEE] 2026-4-20 | Early Nutrient Deficiency Detection in Hydroponic Lettuce Via CNN-Based Image Analysis
[IEEE] 2026-4-20 | Copyright Page
[IEEE] 2026-4-20 | Data Science in Education: Analyzing and Mitigating Bias from an Intersectional Perspective
[IEEE] 2026-4-20 | Bal-DGCN: A Hardware Acceleration Framework for Balanced Computational Efficiency in Dynamic Graph Convolutional Networks (DGCNs)
[IEEE] 2026-4-20 | Decentralized Federated Learning with Period Gradient Tracking over Time-Varying Networks
[IEEE] 2026-4-20 | Semantic-Aware Behavior Optimization With Safety Reinforcement Feedback for Language-Conditioned Manipulation
[IEEE] 2026-4-20 | Learning Monocular Depth via Cascaded Iterative Refinement in Visual-Echo Scenes
[IEEE] 2026-4-20 | OREO: Open RAN Energy Optimisation via Deep Reinforcement Learning for 6G Networks
[IEEE] 2026-4-20 | Einstein from Noise: Statistical Analysis
[IEEE] 2026-4-20 | Bayesian Learning Aided Doubly-Selective Simultaneous Sparse CSI Estimation in Multi-User MIMO Systems Relying on Orthogonal Time Frequency Space Modulation
[IEEE] 2026-4-20 | Map-Based Indoor Localization Framework Under Constraint Radio Channel Resource
[IEEE] 2026-4-20 | Event-Driven Acoustic Event Detection Using Spiking Neural Networks for Edge Sensor Nodes
[IEEE] 2026-4-20 | Neural Demodulation for Anti-Eavesdropping Embedded Waveforms in IoT Networks
[IEEE] 2026-4-20 | Buffer Management for Timely Reconstruction: Lower Bounds and Near-Optimal Policies_supp1-3684353.pdf
[IEEE] 2026-4-20 | Translating Community-Specific Factors into Engineering Solutions: An HCD Framework for Rural Technology Adoption
[IEEE] 2026-4-20 | A Framework for Measuring Trust as a Software Architecture Quality Attribute
[IEEE] 2026-4-20 | Graph Neural Network-Enhanced Multi-Objective Scheduling and Offloading for Hybrid Applications in Edge-Cloud Networks
[IEEE] 2026-4-20 | Towards AI-Native Ultra-Dense Networks: Cell Association via Multi-View Sensing
[IEEE] 2026-4-20 | Nightlights for Older Adults: Enhancing Bedroom-to-Bathroom Transitions With Community Resident Feedback
[IEEE] 2026-4-20 | CaptionPS: Benchmarking and Analyzing Worker-Centric Detailed Image Captioning in Power Scenarios
[IEEE] 2026-4-20 | Multi-Cycle Optimal Trajectory Control (OTC) with ZVS for LCC Converters Under Wide Range Load Transition
[IEEE] 2026-4-20 | Accelerated Transfer-Entropy-Weighted ADMM for Learning Causal Directed Acyclic Graphs
[IEEE] 2026-4-20 | Editor Preface
[IEEE] 2026-4-20 | Calculation of the Impact of Overvoltage Transients in Hydroelectric Plants and the Electric Power Industry
[IEEE] 2026-4-20 | DT-Empowered, Social-Aware Service Provisioning in Edge Computing
[IEEE] 2026-4-20 | Monolithic 3-D Integration of IAZO/Si-based 2T0C DRAM with RRAM for Monte Carlo Dropconnect Neural Networks
[IEEE] 2026-4-20 | On the Systematic Design Framework for Intuitive Interfaces in Telerobotic Operations: A Case Study in Surgical Robotics_supp1-3684095.docx
[IEEE] 2026-4-20 | Dual-timescale Joint Optimization for Dynamic Edge Service Deployment and Task Scheduling in Space-air-ground Integrated Networks
[IEEE] 2026-4-20 | Semantic Segmentation for Pest Detection on Organic Banana Leaves
[IEEE] 2026-4-20 | Improving the Small Object Detection Algorithm for UAV Aerial Images Based on Yolov12n
[IEEE] 2026-4-20 | Research on an Improved SimpleNet-Based Algorithm for Detecting Surface Defects in High-Voltage Equipment on Train Roofs
[IEEE] 2026-4-20 | Remote Monitoring, Control, and Update Triggering Via LoRaWAN in an Edge-Based Vehicle Counting System
[IEEE] 2026-4-20 | Multi-Objective Optimization and Finite Element-Based Verification of High-Frequency Solid-State Transformer for Multi-Port Smart Grid Applications
[IEEE] 2026-4-20 | Unsupervised Telemetry Anomaly Detection for CubeSats Across OPSS-SAT and SatNOGS Data
[IEEE] 2026-4-20 | Analysis of the Cycling Performance of rSOC System Based on a Multi-Scale Model: Considering Electrochemical Performance Degradation
[IEEE] 2026-4-20 | Efficient CPU Burst Forecasting with Low-Latency Machine Learning Models
[IEEE] 2026-4-20 | Enhancing SNN Efficiency: Time-Step Compression with Plastic Threshold and Weighted Spike Optimization
[IEEE] 2026-4-20 | Classification of COVID-19 From Chest X-Rays Using Convolutional Neural Networks
[IEEE] 2026-4-20 | Self-Supervised Pretraining and Calibrated Fine-Tuning for Common and Rare Thoracic Findings on Chest Radiographs
[IEEE] 2026-4-20 | An Engineered System Concept for Early Detection of Dry-Type Transformer Failures
[IEEE] 2026-4-20 | A $10-\text{Gb} / \mathrm{s}, 1.2-\text{pJ} /$ Bit Receiver for Optical Wireless Communication
[IEEE] 2026-4-20 | IoT-Based Monitoring of Radio Base Stations: Design, Implementation, and Future Enhancements
[IEEE] 2026-4-20 | Technical Evaluation and Challenges of LoRa Technology Applied to Smart Agriculture 5.0
[IEEE] 2026-4-20 | Data Science and Privacy in Secure Predictive Analysis with Homomorphic Encryption and Partial Anonymization
[IEEE] 2026-4-20 | Linear Quadratic Integrator &amp;Sliding-Mode Control Comparison for a Transfemoral Prosthetic Knee
[IEEE] 2026-4-20 | A Unified ML/RL Framework for Intraday Trading with Risk-Aware Evaluation and Explainability
[IEEE] 2026-4-20 | A High-Performance 5G/6G Framework for Deep-Space Missions with Multi-Level AI
[IEEE] 2026-4-20 | End-to-End Virtual Try-on Via Latent Diffusion Model with Multi-Condition Controlnet
[IEEE] 2026-4-20 | MTSeg: Cascaded Mamba–Transformer Enhancement for Open-Vocabulary Semantic Segmentation
[IEEE] 2026-4-20 | Automated Testing in a Multi-Agent Systems Simulation Platform
[IEEE] 2026-4-20 | T-GAT: Time-Aware Graph Attention Networks for Dynamic Shilling Attack Detection
[IEEE] 2026-4-20 | An Attention-Enhanced Modified CNN for Robust Sentiment Analysis in E-Commerce Recommendation
[IEEE] 2026-4-20 | DGLA-Net: Robust MRI-PET Fusion Method Based on Deep Global-Local Attention and Multi-Scale Supervision
[IEEE] 2026-4-20 | Flexible Graphene Tactile Sensors with Spider Web Designs for Human-Computer Interaction
[IEEE] 2026-4-20 | Domain-Adaptive Named Entity Recognition for Engineering Topology Texts
[IEEE] 2026-4-20 | Mesdasd: A Medical Expert System for Diagnosing Autoimmune System Diseases
[IEEE] 2026-4-20 | Inflections Points in Quantum Computing as an Information Technology: A Thematic Analysis
[IEEE] 2026-4-20 | Generative Adversarial Network Based Anomaly Detection for Software Defect Prediction
[IEEE] 2026-4-20 | Accelerating Enterprise Application Development Through AI-Enhanced Low-Code Platforms: An Empirical Analysis of Oracle APEX with Generative AI Integration
[IEEE] 2026-4-20 | Deterministic Kinematic Synchronization for High-Speed Manipulation of Non-Rigid Substrates
[IEEE] 2026-4-20 | Human-Centered Explainable AI for Security Enhancement: A Deep Intrusion Detection Framework
[IEEE] 2026-4-20 | Data-Driven Insights &amp; Predictive Modeling in Fitness Tracking
[IEEE] 2026-4-20 | Design of a Solar-Based Energy-Efficient IoT-PWM-Peltier Operated Advanced HVAC-AHU Cold Storage Without VFD Technique
[IEEE] 2026-4-20 | Design and Simulation of Terahertz Antennas for Biomedical Sensing: A Comprehensive Performance Analysis
[IEEE] 2026-4-20 | Emergency Department Forecasting: COVID-19 Impact on Machine Learning Models
[IEEE] 2026-4-20 | From Prototype to Production: A Checklist for Production-Ready AI Focused on Data Quality, Monitoring, and Human Oversight
[IEEE] 2026-4-20 | Cough Detection for Smart-Home Health Monitoring: Room-Scale Edge Acoustic Sensing with Mel-Spectrogram Classification
[IEEE] 2026-4-20 | A Virtual Braille Keyboard Prototype for Accessible Text Input on Smartphones
[IEEE] 2026-4-20 | Control-Aware Fault Propagation and Latency Analysis in Distributed Automotive Electrification Architectures for ADAS Applications
[IEEE] 2026-4-20 | MIRA: Mutual Information-Based Reconstruction Attacks on Split Learning
[ACM] 2026-4-20 | StepOverflow: PMC Overflows on AMD SEV
[ACM] 2026-4-20 | Quantitative Analysis of Master-of-Nets Garden Spaces Based on Space Syntax and Research on Resilient Inheritance of Traditional Gardens
[ACM] 2026-4-20 | The Integration of Artificial Intelligence and Digital Skills in WorldSkills Competition: Current Landscape and Future Trends
[ACM] 2026-4-20 | Innovative Design of Traditional Chinese Fish Patterns Based on Extenics and Shape Grammar
[IEEE] 2026-4-20 | A Hybrid-Domain Detector for OTFS Signals
[IEEE] 2026-4-20 | Low-complexity Adaptive Fourier Integral Method for Large Aperture Horizontal Linear Arrays at Low Frequency and Low SNR Environments
[IEEE] 2026-4-20 | A Highly Reliable Drive Circuit for Solid-State High-Voltage Pulse Generators
[IEEE] 2026-4-20 | 3D Gaussian Splatting Texture Editing via Single Modified Image
[IEEE] 2026-4-20 | VTBSAE: Provably Secure Verifier-based Password Authenticated Key Exchange for IIoT
[IEEE] 2026-4-20 | Distributed Estimator-Based Adaptive Fuzzy Prescribed-Time Consensus Control for Nonlinear Multiagent Systems
[IEEE] 2026-4-20 | Prefrontal Hierarchical Control of Corticomuscular Coherence in Stroke
[IEEE] 2026-4-20 | Modeling and Capacity Analysis of UAV-Assisted Three-tier Heterogeneous Wireless Networks
[IEEE] 2026-4-20 | VTVC: Vignetting Correction Based on Variant Transformer and Spatial Self Attention
[IEEE] 2026-4-20 | GaussianFlow SLAM: Monocular Gaussian Splatting SLAM Guided by GaussianFlow
[IEEE] 2026-4-20 | A Water-Controlled Dielectric Resonator Antenna with Unilateral and Omnidirectional Pattern Reconfigurability
[IEEE] 2026-4-20 | Table of Contents
[IEEE] 2026-4-20 | Zr-Based Contacts to n-Type AlN with Improved Performance for Power and High-Temperature Electronics
[IEEE] 2026-4-20 | Deep Semantic-Attention Proxy Hashing With Coarse-to-Fine Representation for Multi-Label Remote Sensing Image Retrieval
[IEEE] 2026-4-20 | Pre-trained Invertible Neural Network Assisted High-Dimensional Bayesian Optimization Framework for Wind Farm Layout Design
[IEEE] 2026-4-20 | Proceedings
[IEEE] 2026-4-20 | Author Index
共写入 200 条记录，保存到 papers/paper2026-04-20.json。
论文获取成功，文件路径: papers/paper2026-04-20.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Dust characterization of halos -- The extended emission in protoplanetary disks
[NO] 2/200 | Toward Zero-Egress Psychiatric AI: On-Device LLM Deployment for Privacy-Preserving Mental Health Decision Support
[NO] 3/200 | Compositional security definitions for higher-order where declassification
[NO] 4/200 | Exploring Concreteness Through a Figurative Lens
[NO] 5/200 | An Existence Proof for Neural Language Models That Can Explain Garden-Path Effects via Surprisal
[NO] 6/200 | EQE-QAOA: An Equivalence-Preserving Qubit Efficient Framework for Combinatorial Optimization
[NO] 7/200 | Two Potential Exoplanets around A-type Stars Selected from 18 Planetary Candidates
[NO] 8/200 | Dissipative Latent Residual Physics-Informed Neural Networks for Modeling and Identification of Electromechanical Systems
[NO] 9/200 | LiquidTAD: An Efficient Method for Temporal Action Detection via Liquid Neural Dynamics
[NO] 10/200 | Gamma-Based Expansion for the First-Passage Time Distribution of Stochastic Logistic Models with Harvesting
[NO] 11/200 | Impact of Cold Jupiter Scattering on the Mean-Motion Resonance of Inner Small Planets
[NO] 12/200 | Beyond Pattern Matching: Seven Cross-Domain Techniques for Prompt Injection Detection
[NO] 13/200 | Holographic dark energy as a source for slowly rotating wormholes: Implications for null geodesics and shadows
[NO] 14/200 | On the market-consistent valuation of health insurance liabilities
[NO] 15/200 | Horospherical Depth and Busemann Median on Hadamard Manifolds
[NO] 16/200 | A Rademacher exact type formula for pod$_2(n)$
[NO] 17/200 | Evaluating Multi-Hop Reasoning in RAG Systems: A Comparison of LLM-Based Retriever Evaluation Strategies
[NO] 18/200 | Towards an Agentic LLM-based Approach to Requirement Formalization from Unstructured Specifications
[NO] 19/200 | Instruction-as-State: Environment-Guided and State-Conditioned Semantic Understanding for Embodied Navigation
[NO] 20/200 | A Counterexample to EFX; $n \ge 3$ Agents, $m \ge n + 5$ Items, Monotone Valuations; via SAT-Solving
[NO] 21/200 | Galaxy Populations in the IllustrisTNG Caustic Skeleton
[NO] 22/200 | A Comparative Evaluation of Geometric Accuracy in NeRF and Gaussian Splatting
[NO] 23/200 | Multi-LLM Token Filtering and Routing for Sequential Recommendation
[NO] 24/200 | Leading UV divergences of quantum corrections to Kähler superpotential in general $\mathcal{N}=1$ chiral model
[NO] 25/200 | Continuous Focus Groups: A Longitudinal Method for Clinical HRI in Autism Care
[NO] 26/200 | Attraction, Repulsion, and Friction: Introducing DMF, a Friction-Augmented Drifting Model
[NO] 27/200 | Scalable Neighborhood-Based Multi-Agent Actor-Critic
[NO] 28/200 | Sexaquarks and $H$ dibaryons in the $uuddss$ system: a comparison within a constituent quark model
[NO] 29/200 | Embedding Arithmetic: A Lightweight, Tuning-Free Framework for Post-hoc Bias Mitigation in Text-to-Image Models
[NO] 30/200 | VerilogCL: A Contrastive Learning Framework for Robust LLM-Based Verilog Generation
[NO] 31/200 | Does "Do Differentiable Simulators Give Better Policy Gradients?'' Give Better Policy Gradients?
[NO] 32/200 | FreezeEmpath: Efficient Training for Empathetic Spoken Chatbots with Frozen LLMs
[NO] 33/200 | Operators on injective tensor products of L1-preduals
[NO] 34/200 | mlr3torch: A Deep Learning Framework in R based on mlr3 and torch
[NO] 35/200 | AI-based Waste Mapping for Addressing Climate-Exacerbated Flood Risk
[NO] 36/200 | On the relative CNO underabundance in quasar absorption systems at $z \sim 3$ arising from Population III enrichment and attenuation by intermediate-mass black holes and primordial baryon accretion
[NO] 37/200 | Distributional Off-Policy Evaluation with Deep Quantile Process Regression
[NO] 38/200 | Do time delay effects explain galactic velocity profiles?
[NO] 39/200 | An `Inverse' Experimental Framework to Estimate Market Efficiency
[NO] 40/200 | TLoRA: Task-aware Low Rank Adaptation of Large Language Models
[NO] 41/200 | Moments at the hard edge and Rayleigh functions
[NO] 42/200 | Sharing the proceeds from a hierarchical venture when agents have needs
[NO] 43/200 | Stability Implies Redundancy: Delta Attention Selective Halting for Efficient Long-Context Prefilling
[NO] 44/200 | Macroscopic Optical Nonreciprocity: A Black Hole as an Optical Diode
[NO] 45/200 | Solvable Descent and the Grunwald Problem for Solvable Groups
[NO] 46/200 | The Collaboration Gap in Human-AI Work
[NO] 47/200 | Polarization Engineering of the Orbital Hall Conductivity in Two-dimensional Ferroelectric Higher-Order Topological Insulator Tl$_2$S and SnS
[NO] 48/200 | Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs
[NO] 49/200 | T-REN: Learning Text-Aligned Region Tokens Improves Dense Vision-Language Alignment and Scalability
[NO] 50/200 | Back into Plato's Cave: Examining Cross-modal Representational Convergence at Scale
[NO] 51/200 | Pulling back Cartier structures along regular maps
[NO] 52/200 | Latent Phase-Shift Rollback: Inference-Time Error Correction via Residual Stream Monitoring and KV-Cache Steering
[NO] 53/200 | Counterexamples for lacunary dilates via dyadic spike blocks
[NO] 54/200 | Symbolic Synthesis for LTLf+ Obligations
[NO] 55/200 | HybridGen: Efficient LLM Generative Inference via CPU-GPU Hybrid Computing
[NO] 56/200 | JAI functional contractions in relational metric spaces
[NO] 57/200 | NOEMA3D: Resolving radial gas flows in disk galaxies at z~1.1-1.6 with high-resolution CO observations
[NO] 58/200 | Scaling of Quantum Resources for Simulating a Long-Range System
[NO] 59/200 | OneVL: One-Step Latent Reasoning and Planning with Vision-Language Explanation
[NO] 60/200 | Warm-Start Quantum Approximate Optimization Algorithm for QAM MIMO Data Detection
[NO] 61/200 | Linear-wave bound on electromagnetic energy equipartition at sub-electron scales in non-relativistic plasmas
[NO] 62/200 | A Generalized Synthetic Control Method for Baseline Estimation in Demand Response Services
[NO] 63/200 | An Integrated Deep-Learning Framework for Peptide-Protein Interaction Prediction and Target-Conditioned Peptide Generation with ConGA-PePPI and TC-PepGen
[NO] 64/200 | Topological rigidity of complex and quaternionic moment--angle manifolds
[NO] 65/200 | Random Matrix Theory of Early-Stopped Gradient Flow: A Transient BBP Scenario
[NO] 66/200 | Coherent terahertz field tomographic imaging in warm Rydberg vapors
[NO] 67/200 | Real-Time Algorithms for Model Predictive Control of Hybrid Dynamical Systems
[NO] 68/200 | Security Risks of VOA-Induced Luminescence in Chip-Based quantum key distribution
[NO] 69/200 | Impact of Initial Charge Distributions on the Kinetics of Charged Particle Coagulation
[NO] 70/200 | Six Llamas: Comparative Religious Ethics Through LoRA-Adapted Language Models
[NO] 71/200 | The Gomory-Hu inequality and trees
[NO] 72/200 | Looking for Lights from the Darkness: Signals from MeV-scale Solar Axion-like Particles
