[2026-07-18 10:13:29] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[IEEE] 2026-7-17 | Spatiotemporal Characterization of Campus Wi-Fi Activity during the Iberian Peninsula Blackout
[IEEE] 2026-7-17 | Scalable Lineage Classification and Out-of-Distribution Detection for Long-Read Viral Genomes: The BioHyena-Sentinel Framework
[IEEE] 2026-7-17 | Design of an AI-Powered Adaptive Learning System for Education in the Metaverse Classroom
[IEEE] 2026-7-17 | Benchmarking Data Heterogeneity Challenges in Federated Learning for Distributed Renewable Energy Forecasting: A Systematic Gap Analysis
[IEEE] 2026-7-17 | Financial Fraud Detection: A Data Science and Machine Learning Comparative Study on Synthetic Transactions
[IEEE] 2026-7-17 | Performance based assessment and life cost analysis for urban pavement maintenance decision-making
[IEEE] 2026-7-17 | Robust Dispatch Order Reception in Shared Autonomous Electric Vehicle Fleets Using IRS-Assisted V2X Communications
[IEEE] 2026-7-17 | A GaN MMIC Power Amplifier Model Derived from Active Load-Pull Measurements
[IEEE] 2026-7-17 | Comparative Analysis of Particle Swarm Optimization and Random Forest for DC Motor Parameter Identification
[IEEE] 2026-7-17 | Comparative Uncertainty Modeling for Rooftop PV Forecasting: Deterministic, Stochastic, and ML Integration
[IEEE] 2026-7-17 | Artificial Intelligence Solution for Flotation Froth Load Prediction
[IEEE] 2026-7-17 | Surface Triangulation as a Method for Adaptive Linearization of Electronic Three-Terminal Component Mathematical Models
[IEEE] 2026-7-17 | Characterizing Buffer Overflow Constraints in UAV Data Collection with Energy-Harvesting Sensors
[IEEE] 2026-7-17 | EcoVision: A DL-Based Structure for Real-Time Plastic Waste Recognition, Classification, and Localization
[ACM] 2026-7-18 | Assessing Pedestrian Space Performance in TOD-Based University Towns for Sustainable Development
[ACM] 2026-7-18 | Contrastive Learning with Hash Coding for Cross-Modal Retrieval Algorithm Optimization of Mosuo Costume Symbols
[ACM] 2026-7-18 | Research on Train Timetable Optimization for Urban Rail Transit under Passenger Flow Conditions
[ACM] 2026-7-18 | Application of Urban Transportation Systems and Parking Demand Analysis Driven by Data
[ACM] 2026-7-18 | How Financial and Privacy Risks Shape Behavioral Intention: The Mediating Role of Risk Perception and the Moderating Role of Trust
[ACM] 2026-7-18 | Wind Power Forecasting Model Based on Quantum Particle Swarm Optimization and Long Short-Term Memory Network
[ACM] 2026-7-17 | Leave, Mute, or Retaliate? How Young Adults Handle Toxicity in Multiplayer Online Games
[IEEE] 2026-7-17 | Mode-Wise Kernel Density Estimation and Gaussian Mixture Copula for Multimodal Uncertainty Modeling in Probabilistic Power Flow
[IEEE] 2026-7-17 | On the Reliability of GaN Schottky Diodes Under Parasitic Current Injection
[IEEE] 2026-7-17 | Compact Four-Port Ka-Band MIMO Antenna for Enhanced Gain and Broadband Operation Using a Unified Ground Structure
[IEEE] 2026-7-17 | Voltage-Based Faulty Section Identification in Rural Networks: Addressing IBR Integration and SWER Circuit Challenges
[IEEE] 2026-7-17 | Image-Centric Deep Learning Ensemble Approach for Automated Wax Moth Infestation Detection in Honey Bee Apiaries
[IEEE] 2026-7-17 | Towards Better Robustness: Pose-Free 3D Gaussian Splatting for Long and Unconstrained Video Sequences_supp1-3713242.pdf
[IEEE] 2026-7-17 | A Spectrogram-Based Approach for Tire Type Classification Using Pass-By Noise
[IEEE] 2026-7-17 | Impact Evaluation of Opening Pattern and Spacing on Wireless Power Transfer in Metal-Body Mobile Devices
[IEEE] 2026-7-17 | YODA: Yet Another One-step Diffusion-based Video Compressor
[IEEE] 2026-7-17 | Fast AI Model Partition for Split Learning over Edge Networks_supp1-3709072.pdf
[IEEE] 2026-7-17 | A Survey on Adversarial Deep Learning in Computer Vision
[IEEE] 2026-7-17 | Table of Contents September 2026
[IEEE] 2026-7-17 | On the Gaussian-Quadratic Rate-Distortion Function for Vector Sources with Individual Distortion Constraints
[IEEE] 2026-7-17 | Ultra-High-Speed Evacuated Tube Wireless Channel Modeling and Capacity Evaluation
[IEEE] 2026-7-17 | Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation_supp1-3711762.pdf
[IEEE] 2026-7-17 | Induction Logging Through Casing by Detecting Lateral Waves: Reduced Scale Experiments
[IEEE] 2026-7-17 | Proceedings
[IEEE] 2026-7-17 | ELNANO 2026 Cover Page
[IEEE] 2026-7-17 | ELNANO 2026 Breaker Page
[ACM] 2026-7-18 | Game-Ready Hair in Minutes! Hair Mesh Modeling with Physics
[ACM] 2026-7-17 | HalluJudge: A Reference-Free Hallucination Detection for Context Misalignment in Code Review Automation
[ACM] 2026-7-17 | SCAR: Mining and Structuring Smart Contract Security Audit Reports
[ACM] 2026-7-17 | Adopting Concepts for Sustainable Improvement of the Developer Experience within a Medium-sized Corporation
[ACM] 2026-7-17 | Mapping GitHub Sponsorships: A Longitudinal Observatory for Open-Source Sustainability
[ACM] 2026-7-17 | From Syntactic to Semantic Spectra for Fault Localization
[ACM] 2026-7-17 | RepoFuse: A Dual-Context Approach to Repository-Level Code Completion at Industrial Scale
[IEEE] 2026-7-17 | VoiceGuard: Adversarial Social Engineering Training Using Large Language Models
[IEEE] 2026-7-17 | Edge Intelligence Using Physics-Based ML Models with LLM Reasoning for Spectrum Sensing
[IEEE] 2026-7-17 | Scaling Multi-Robot Search and Rescue: A Comparative Study of Metaheuristic Exploration Methods
[IEEE] 2026-7-17 | Machine Learning-Based Evaluation of Password Security and User Awareness for Cyber Risk Prevention
[IEEE] 2026-7-17 | Machine Vision-Based Image Recognition: A Curated Image Dataset
[IEEE] 2026-7-17 | 7-8.4 GHz PA with Reconfigurable Output Matching Network for PAE Recovery
[IEEE] 2026-7-17 | Gaussian Regression Process Modeling of Bioconvective Nanofluid Flow in a Magnetically Driven Square Cavity
[IEEE] 2026-7-17 | Process Development for Maskless UV Lithographic Patterning of Polymeric Single-Mode Waveguides
[IEEE] 2026-7-17 | OAT-UNet: An Orthogonal Anisotropic Topology Network for Robust Pavement Crack Detection in Complex Backgrounds
[IEEE] 2026-7-17 | Analysis of Noise Components in High-Precision Temperature Sensors
[IEEE] 2026-7-17 | Optimal Noise Filtering in Magnetic Resonance Images via Compression Using Versatile Video Coding
[IEEE] 2026-7-17 | Assessing the Effects of Post-Quantum Cryptography on Edge Intelligence of TinyML-Based IoMT Healthcare Systems
[IEEE] 2026-7-17 | Context-Aware Intrusion Detection for Smart Homes Under Alert-Budgeted Risk Prioritisation
[IEEE] 2026-7-17 | Extending PayJoin to Lightning Channel Funding: A Practical Method for Obfuscating Channel Opens on the Bitcoin Blockchain
[IEEE] 2026-7-17 | Electrical Properties Extended Analysis of Alkaline Primary Electrochemical Cells and Commercial Aspects on the CE Market
[IEEE] 2026-7-17 | AI Secured Simulation of Wireline Blueprints
[IEEE] 2026-7-17 | Cross-coupled Colpitts Voltage-controlled Oscillator with Tail Orthogonal Transformers
[IEEE] 2026-7-17 | Efficient Transformer Architecture Outperforms Foundation Models for Satellite-based Flood Detection
共写入 100 条记录，保存到 papers/paper2026-07-17.json。
论文获取成功，文件路径: papers/paper2026-07-17.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[NO] 2/100 | Kea2: Practical Property-based Testing for Mobile Apps
[NO] 3/100 | DependaFix: A GitHub App for Fixing Breaking Dependency Updates in CI Build for Java Projects
[NO] 4/100 | Team Diversity Promotes Software Fairness: An Experiment on Fairness-Aware Requirements Prioritization
[NO] 5/100 | LLM Agents for AIOps in Kubernetes: An Industrial Experience Report with Red Hat OpenShift
[NO] 6/100 | When Testing Meets Refactoring
[NO] 7/100 | Towards Trustworthy AI-Enabled Systems: From Model-Level Reliability to Systemic Assurance
[NO] 8/100 | Scaling Code Assistants Without Retraining with Model Merging: Capability Fusion &amp; Sustainable Adaptation
[NO] 9/100 | Observability and Runtime Governance for Agentic AI Systems
[NO] 10/100 | MS-GCFANet: A Multi-scale Gramian and Cross-phase Feature Attention Network for PMSM Current Sensor Fault Diagnosis
[NO] 11/100 | LUD-YOLO: An Efficient and Balanced Object Detection Model for Unmanned Aerial Vehicles
[NO] 12/100 | Front-Stage Efficiency Regulation Strategy of Wireless Power Transfer System With Adaptive Resolution On-Off Keying Modulation
[NO] 13/100 | Multimodal Sentinel-1/2 Data Fusion with a Dual-Path ViT-Kolmogorov-Arnold Network Pipeline for AI-driven Flood Event Classification
[NO] 14/100 | GeM-VO: Deep Stereo Odometry with Geometry Masks in Dynamic Environments
[NO] 15/100 | An Improved Jiles&amp;#x2013;Atherton Hysteresis Model for Giant Magnetostrictive Materials with Parameter Identification based on Improved Arctic Puffin Optimization_supp1-3711190.doc
[NO] 16/100 | Sponsors Page
[NO] 17/100 | NeuroLearn: A Wearable EEG-Based System for Affective-Cognitive Monitoring and GenAI-Assisted Adaptive Learning
[NO] 18/100 | Fabrication Experience and Requirement Comparison of 316L(N)-IG Forging for ITER In-Vessel Components
[NO] 19/100 | Bowden-Bead-Cable Transmission System: A Space-Variable Flexible Meshing Transmission for Exoskeletons_supp1-3707540.mp4
[NO] 20/100 | A Three-Factor Model of Engagement and Persistence From Difficulty-Adjusted Practice Decisions in Online Mathematics Learning
[NO] 21/100 | H
                    <sup>3</sup>
                    Former: Hypergraph-based Semantic-Aware Aggregation via Hyperbolic Hierarchical Contrastive Loss for Fine-Grained Visual Classification
[NO] 22/100 | Back Cover
[NO] 23/100 | High Performance 84-Pulse Driver for Speed Control of Permanent Magnet Synchronous Motors
[NO] 24/100 | Cascade Pixel Transformer with Distance-Driven Spatial Fusion for Hyperspectral Image Classification Using Limited Training Samples
[NO] 25/100 | Stateful LLM Agents for Autonomous Capture-the-Flag Solving
[NO] 26/100 | Edge-Deployable Drone Detection: A Systematic Benchmark of Modern YOLO Variants
[NO] 27/100 | Stress Ageing Effects on SiC MOSFET Threshold Voltages
[NO] 28/100 | A Lightweight Hybrid Neural Network for Multimodal Human Activity Recognition
[NO] 29/100 | Current Density Modelling of Electromigration Test Vehicles (0402 and 0201) Based on Realistic Solder Joint Geometries
[NO] 30/100 | Switching-Mode Power Supply Circuit for Telecommunications Applications
[NO] 31/100 | Study of Structure and Microwave Properties of Magnesium Titanate Ceramic Samples Synthesized by the Pechini Method
[NO] 32/100 | Ethical-Aware Narrative Agents for Responsible Brand Communication: A Framework and Empirical Validation
[NO] 33/100 | Multi-Modal Artificial Intelligence for Green Supply Chain Management in Energy Industry
[NO] 34/100 | Establishing a Trustworthy Discovery Workflow for High-Entropy BNT Ceramics via SHAP-Interpretable Machine Learning
[NO] 35/100 | UAV-Assisted Multi-Victim Localization for V2X-Enabled Disaster Response via Information-Guided Sampling
[NO] 36/100 | Spatiotemporal Characterization of Campus Wi-Fi Activity during the Iberian Peninsula Blackout
[NO] 37/100 | Scalable Lineage Classification and Out-of-Distribution Detection for Long-Read Viral Genomes: The BioHyena-Sentinel Framework
[NO] 38/100 | Design of an AI-Powered Adaptive Learning System for Education in the Metaverse Classroom
[NO] 39/100 | Benchmarking Data Heterogeneity Challenges in Federated Learning for Distributed Renewable Energy Forecasting: A Systematic Gap Analysis
[NO] 40/100 | Financial Fraud Detection: A Data Science and Machine Learning Comparative Study on Synthetic Transactions
[NO] 41/100 | Performance based assessment and life cost analysis for urban pavement maintenance decision-making
[YES] 42/100 | Robust Dispatch Order Reception in Shared Autonomous Electric Vehicle Fleets Using IRS-Assisted V2X Communications
[NO] 43/100 | A GaN MMIC Power Amplifier Model Derived from Active Load-Pull Measurements
[NO] 44/100 | Comparative Analysis of Particle Swarm Optimization and Random Forest for DC Motor Parameter Identification
[NO] 45/100 | Comparative Uncertainty Modeling for Rooftop PV Forecasting: Deterministic, Stochastic, and ML Integration
[NO] 46/100 | Artificial Intelligence Solution for Flotation Froth Load Prediction
[NO] 47/100 | Surface Triangulation as a Method for Adaptive Linearization of Electronic Three-Terminal Component Mathematical Models
[NO] 48/100 | Characterizing Buffer Overflow Constraints in UAV Data Collection with Energy-Harvesting Sensors
[NO] 49/100 | EcoVision: A DL-Based Structure for Real-Time Plastic Waste Recognition, Classification, and Localization
[NO] 50/100 | Assessing Pedestrian Space Performance in TOD-Based University Towns for Sustainable Development
[NO] 51/100 | Contrastive Learning with Hash Coding for Cross-Modal Retrieval Algorithm Optimization of Mosuo Costume Symbols
[NO] 52/100 | Research on Train Timetable Optimization for Urban Rail Transit under Passenger Flow Conditions
[NO] 53/100 | Application of Urban Transportation Systems and Parking Demand Analysis Driven by Data
[NO] 54/100 | How Financial and Privacy Risks Shape Behavioral Intention: The Mediating Role of Risk Perception and the Moderating Role of Trust
[NO] 55/100 | Wind Power Forecasting Model Based on Quantum Particle Swarm Optimization and Long Short-Term Memory Network
[NO] 56/100 | Leave, Mute, or Retaliate? How Young Adults Handle Toxicity in Multiplayer Online Games
[NO] 57/100 | Mode-Wise Kernel Density Estimation and Gaussian Mixture Copula for Multimodal Uncertainty Modeling in Probabilistic Power Flow
[NO] 58/100 | On the Reliability of GaN Schottky Diodes Under Parasitic Current Injection
[NO] 59/100 | Compact Four-Port Ka-Band MIMO Antenna for Enhanced Gain and Broadband Operation Using a Unified Ground Structure
[NO] 60/100 | Voltage-Based Faulty Section Identification in Rural Networks: Addressing IBR Integration and SWER Circuit Challenges
[NO] 61/100 | Image-Centric Deep Learning Ensemble Approach for Automated Wax Moth Infestation Detection in Honey Bee Apiaries
[NO] 62/100 | Towards Better Robustness: Pose-Free 3D Gaussian Splatting for Long and Unconstrained Video Sequences_supp1-3713242.pdf
[NO] 63/100 | A Spectrogram-Based Approach for Tire Type Classification Using Pass-By Noise
[NO] 64/100 | Impact Evaluation of Opening Pattern and Spacing on Wireless Power Transfer in Metal-Body Mobile Devices
[NO] 65/100 | YODA: Yet Another One-step Diffusion-based Video Compressor
[NO] 66/100 | Fast AI Model Partition for Split Learning over Edge Networks_supp1-3709072.pdf
[NO] 67/100 | A Survey on Adversarial Deep Learning in Computer Vision
[NO] 68/100 | Table of Contents September 2026
[NO] 69/100 | On the Gaussian-Quadratic Rate-Distortion Function for Vector Sources with Individual Distortion Constraints
[NO] 70/100 | Ultra-High-Speed Evacuated Tube Wireless Channel Modeling and Capacity Evaluation
[NO] 71/100 | Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation_supp1-3711762.pdf
[NO] 72/100 | Induction Logging Through Casing by Detecting Lateral Waves: Reduced Scale Experiments
[NO] 73/100 | Proceedings
[NO] 74/100 | ELNANO 2026 Cover Page
[NO] 75/100 | ELNANO 2026 Breaker Page
[NO] 76/100 | Game-Ready Hair in Minutes! Hair Mesh Modeling with Physics
[NO] 77/100 | HalluJudge: A Reference-Free Hallucination Detection for Context Misalignment in Code Review Automation
[NO] 78/100 | SCAR: Mining and Structuring Smart Contract Security Audit Reports
[NO] 79/100 | Adopting Concepts for Sustainable Improvement of the Developer Experience within a Medium-sized Corporation
[NO] 80/100 | Mapping GitHub Sponsorships: A Longitudinal Observatory for Open-Source Sustainability
[NO] 81/100 | From Syntactic to Semantic Spectra for Fault Localization
[NO] 82/100 | RepoFuse: A Dual-Context Approach to Repository-Level Code Completion at Industrial Scale
[NO] 83/100 | VoiceGuard: Adversarial Social Engineering Training Using Large Language Models
[NO] 84/100 | Edge Intelligence Using Physics-Based ML Models with LLM Reasoning for Spectrum Sensing
[NO] 85/100 | Scaling Multi-Robot Search and Rescue: A Comparative Study of Metaheuristic Exploration Methods
[NO] 86/100 | Machine Learning-Based Evaluation of Password Security and User Awareness for Cyber Risk Prevention
[NO] 87/100 | Machine Vision-Based Image Recognition: A Curated Image Dataset
[NO] 88/100 | 7-8.4 GHz PA with Reconfigurable Output Matching Network for PAE Recovery
[NO] 89/100 | Gaussian Regression Process Modeling of Bioconvective Nanofluid Flow in a Magnetically Driven Square Cavity
[NO] 90/100 | Process Development for Maskless UV Lithographic Patterning of Polymeric Single-Mode Waveguides
[NO] 91/100 | OAT-UNet: An Orthogonal Anisotropic Topology Network for Robust Pavement Crack Detection in Complex Backgrounds
[NO] 92/100 | Analysis of Noise Components in High-Precision Temperature Sensors
[NO] 93/100 | Optimal Noise Filtering in Magnetic Resonance Images via Compression Using Versatile Video Coding
[NO] 94/100 | Assessing the Effects of Post-Quantum Cryptography on Edge Intelligence of TinyML-Based IoMT Healthcare Systems
[NO] 95/100 | Context-Aware Intrusion Detection for Smart Homes Under Alert-Budgeted Risk Prioritisation
[NO] 96/100 | Extending PayJoin to Lightning Channel Funding: A Practical Method for Obfuscating Channel Opens on the Bitcoin Blockchain
[NO] 97/100 | Electrical Properties Extended Analysis of Alkaline Primary Electrochemical Cells and Commercial Aspects on the CE Market
[NO] 98/100 | AI Secured Simulation of Wireline Blueprints
[NO] 99/100 | Cross-coupled Colpitts Voltage-controlled Oscillator with Tail Orthogonal Transformers
[NO] 100/100 | Efficient Transformer Architecture Outperforms Foundation Models for Satellite-based Flood Detection
筛选完成：共 100 篇；Yes = 1 篇；已保存到 papers/select_paper2026-07-17.json。
邮件发送成功！
[2026-07-18 10:27:04] 任务执行成功！
