[2026-01-25 09:11:00] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-24
正在获取论文...
[ACM] 2026-1-24 | Ricin Sequencing Using Multi-Enzyme Digestion Coupled with LC/MS/MS
[ACM] 2026-1-24 | Network Pharmacology-Based Study on the Mechanisms of Liuwei Dihuang Pills in the Treatment of Pediatric Growth Retardation
[ACM] 2026-1-24 | Exploiting (min,+)/(max,+) Isomorphism to Speed up Convolutions
[ACM] 2026-1-24 | An Efficient IoT Device Classification Method Based on the Integration of Variational Autoencoder and XGBoost
[ACM] 2026-1-24 | Detection Algorithm Based on Sparse Attention and Contrastive Learning Strategy for A New Large-scale Clinical Bacterial Datasets
[ACM] 2026-1-24 | Scalable IT Management in Resource-Constrained Environments: A Case Study of GLPI Implementation in a Philippine Power Plant
[ACM] 2026-1-24 | pT-HAN: A Hierarchical Attention Network for Quantifying Cognitive Stage Contributions in Interpretable Anxiety State Classification
[ACM] 2026-1-24 | Fair Foundation Models for Medical Image Analysis: Challenges and Perspectives
[ACM] 2026-1-24 | Bi-mark: A copyright marking framework for AI-generative-text
[ACM] 2026-1-24 | Study on the Changes in the Microbial Flora Characteristics of the Tongue Coat in Patients with Early Gastric Cancer
[ACM] 2026-1-24 | KGTSynergy: TransGNN-based multimodal knowledge graph for drug synergy prediction
[ACM] 2026-1-24 | Transferability Assessment of WiFi Sensing through CSI-based Doppler
[ACM] 2026-1-24 | Multi-Level Volumetric Transformer for Early Prediction of Response to Neoadjuvant Chemotherapy in Locally Advanced Breast Cancer
[ACM] 2026-1-24 | SW-M3D-K: Research on Parallel Optimization of M3D-K Program Based on Sunway Bluelight II Supercomputer
[ACM] 2026-1-24 | Design of a Healthcare Management Cockpit System Based on Multi-perspective Indicator Clusters
[ACM] 2026-1-24 | SCINet: a high-performance computing infrastructure prototype based on supercomputers and high-speed Internet
[ACM] 2026-1-24 | Reimagining Personnel Management: The Advancement of a Smart-HRIS with Integrated Biometrics, Self-Service Portals, and Automated Notifications
[ACM] 2026-1-24 | Algorithm for Isoleucine and Leucine Discrimination in Protein Sequencing Based on Electron-Activated Dissociation Mass Spectrometry
[ACM] 2026-1-24 | Comparison of Pólya-Gamma Method and Metropolis Hastings Algorithm in Logistic Regression Model Problems
[ACM] 2026-1-24 | The OPHGMRES : An Optimized Parallel Householder GMRES Iterative Algorithm
[ACM] 2026-1-24 | Discover Potential Biomarker of Alzheimer's Disease Using Metabolomics Data
[ACM] 2026-1-24 | Risk Assessment and Response Mechanism for University NetworkInformation Security Based on AHP-FCE Model
[ACM] 2026-1-24 | An Enhanced Hybrid Neural Network: An Optimized Segmentation Method for Agricultural Remote Sensing Images
[ACM] 2026-1-24 | Proceedings of the 2025 14th International Conference on Bioinformatics and Biomedical Science
[ACM] 2026-1-24 | Noise-Diffusion-Inspired Encoder-Decoder for Data Augmentation in Small-sample setting EMG Decoding
[ACM] 2026-1-24 | ADD-TabNet: A Lightweight Tabular Deep Model for Evaluating Access Quality of Crowdtesting Subsystems
[ACM] 2026-1-24 | Constructing a Survival-Associated Prognostic Model for Pancreatic Cancer via Gene Expression Bioinformatics Analysis
[ACM] 2026-1-24 | Archs: A WebAssembly Runtime for Cross-host Heterogeneous Computing in Serverless
[ACM] 2026-1-24 | A remote sensing small target ship rotation detection method based on an improved YOLOv11 algorithm
[ACM] 2026-1-24 | BiRNAFun-CAN: Identification of Bifunctional RNAs Based on Hierarchical Convolution and Projection Attention Network
[ACM] 2026-1-24 | Transforming Medical Regulations into Numbers: Vectorizing a Decade of Medical Device Regulatory Shifts in the USA, EU, and China
[ACM] 2026-1-24 | A Deep Generative Framework Based on a Diffusion Model Integrated with Mamba Block in Modality Transferring from Resting-state EEG to fMRI
[ACM] 2026-1-24 | Proceedings of the 2025 9th International Conference on High Performance Compilation, Computing and Communications (HP3C)
[ACM] 2026-1-24 | A Comparative Analysis of Adaptive and Scheduled Dynamic Loss Weighting Strategies in Quantum Physics-Informed Neural Networks (QPINNs) for Solving the 1D TimeIndependent Schrodinger Equation
[ACM] 2026-1-24 | Individual Brain Structure Deviations Predict Depressive Symptom Responses of Running Intervention
[ACM] 2026-1-24 | Towards Direct Library Construction from Plasma Cell-Free RNA: A Concept Informed by Preliminary Data
[ACM] 2026-1-24 | Epidemiological Characteristics of Thoracic Surgical Diseases: A Retrospective Study Based on 2,036 Chest CT Data
[ACM] 2026-1-24 | Single Cell RNA-seq Analysis Reveals Dynamics of Microglia Subclusters During Mouse Embryo Development
[ACM] 2026-1-24 | The Research on GPU-Based Relational Join Algorithms
共写入 59 条记录，保存到 papers/paper2026-01-24.json。
论文获取成功，文件路径: papers/paper2026-01-24.json
正在筛选、翻译并发送邮件...
[NO] 1/59 | Ricin Sequencing Using Multi-Enzyme Digestion Coupled with LC/MS/MS
[NO] 2/59 | Investigating Therapeutic Medication Patterns for Prediabetes via Data Mining Techniques
[NO] 3/59 | Prediction of influenza-like cases in Chaoyang District of Beijing based on Prophet model
[NO] 4/59 | Parallel Optimization of Plasma Fluid Simulation Software Based on Sunway Bluelight II Supercomputer
[NO] 5/59 | Advances in Cancer Vaccines for Colorectal Cancer: Insights from Clinical Trials
[NO] 6/59 | Construction and Performance Evaluation of a Machine Learning-Based Diagnostic Model for Breast Cancer
[NO] 7/59 | Runtime prediction model for high performance computing jobs based on dual dimensional feature fusion
[NO] 8/59 | Developing Technology-Organization-Environment-Maqasid (TOEM): A Shariah-Moderated Model for AI Adoption in Public Services
[NO] 9/59 | PPIAGF: Deep Learning Based Protein–Protein Interaction Prediction with Adaptive Gated Fusion
[NO] 10/59 | Predictive Machine Learning Models for Assessing the Effects of Land Use and Climate Change on Food Affordability in the UK
[NO] 11/59 | Optimization of Sparse Matrix Block LU Factorization: A Hybrid MPI-OpenMP Parallel Method
[NO] 12/59 | Erratum: “The Devil You Know”: Barriers and Opportunities for Co-Designing Microclimate Sensors, A Case Study of Manoomin
[NO] 13/59 | Detection of Surface Damage on Offshore Wind Turbine Blades using Gradient Boosting Classifier with SHapley Additive exPlanations (SHAP)
[NO] 14/59 | Machine Learning for Micro-seismic Event Detection: A Comparative Study of Spiking, Graph and Convolution Neural Network on Distributed Acoustic Sensing Data
[NO] 15/59 | Peptide Drug Design Using Generative AI Models: A Comparative Study of GAN and VAE
[NO] 16/59 | Proceedings of the 14th International Conference on Information Communication and Applications
[NO] 17/59 | Deciphering Regional Heterogeneous Communication Strategy in Brain Networks via Optimal Transport of Interacted Ligand-Receptor Pairs
[NO] 18/59 | Improving Image Captioning for Chinese Cultural Relics with Diffusion Language Models
[NO] 19/59 | CHBDR-HHGCN: Drug Recommendation Method for Chronic Hepatitis B Patients Based on Higher-order hypergraph Convolution Neural Network
[NO] 20/59 | CTIA: Optimizing Requests Processing by Comparing Tags in Advance for L2 Caches in GPUs
[NO] 21/59 | We Need Smarter, Not Faster, AI-powered e-Learning Authoring Tools
[NO] 22/59 | Network Pharmacology-Based Study on the Mechanisms of Liuwei Dihuang Pills in the Treatment of Pediatric Growth Retardation
[NO] 23/59 | Exploiting (min,+)/(max,+) Isomorphism to Speed up Convolutions
[NO] 24/59 | An Efficient IoT Device Classification Method Based on the Integration of Variational Autoencoder and XGBoost
[NO] 25/59 | Detection Algorithm Based on Sparse Attention and Contrastive Learning Strategy for A New Large-scale Clinical Bacterial Datasets
[NO] 26/59 | Scalable IT Management in Resource-Constrained Environments: A Case Study of GLPI Implementation in a Philippine Power Plant
[NO] 27/59 | pT-HAN: A Hierarchical Attention Network for Quantifying Cognitive Stage Contributions in Interpretable Anxiety State Classification
[NO] 28/59 | Fair Foundation Models for Medical Image Analysis: Challenges and Perspectives
[NO] 29/59 | Bi-mark: A copyright marking framework for AI-generative-text
[NO] 30/59 | Study on the Changes in the Microbial Flora Characteristics of the Tongue Coat in Patients with Early Gastric Cancer
[NO] 31/59 | KGTSynergy: TransGNN-based multimodal knowledge graph for drug synergy prediction
[NO] 32/59 | Transferability Assessment of WiFi Sensing through CSI-based Doppler
[NO] 33/59 | Multi-Level Volumetric Transformer for Early Prediction of Response to Neoadjuvant Chemotherapy in Locally Advanced Breast Cancer
[NO] 34/59 | SW-M3D-K: Research on Parallel Optimization of M3D-K Program Based on Sunway Bluelight II Supercomputer
[NO] 35/59 | Design of a Healthcare Management Cockpit System Based on Multi-perspective Indicator Clusters
[NO] 36/59 | SCINet: a high-performance computing infrastructure prototype based on supercomputers and high-speed Internet
[NO] 37/59 | Reimagining Personnel Management: The Advancement of a Smart-HRIS with Integrated Biometrics, Self-Service Portals, and Automated Notifications
[NO] 38/59 | Algorithm for Isoleucine and Leucine Discrimination in Protein Sequencing Based on Electron-Activated Dissociation Mass Spectrometry
[NO] 39/59 | Comparison of Pólya-Gamma Method and Metropolis Hastings Algorithm in Logistic Regression Model Problems
[NO] 40/59 | The OPHGMRES : An Optimized Parallel Householder GMRES Iterative Algorithm
[NO] 41/59 | Discover Potential Biomarker of Alzheimer's Disease Using Metabolomics Data
[NO] 42/59 | Risk Assessment and Response Mechanism for University NetworkInformation Security Based on AHP-FCE Model
[NO] 43/59 | An Enhanced Hybrid Neural Network: An Optimized Segmentation Method for Agricultural Remote Sensing Images
[NO] 44/59 | Proceedings of the 2025 14th International Conference on Bioinformatics and Biomedical Science
[NO] 45/59 | Noise-Diffusion-Inspired Encoder-Decoder for Data Augmentation in Small-sample setting EMG Decoding
[NO] 46/59 | ADD-TabNet: A Lightweight Tabular Deep Model for Evaluating Access Quality of Crowdtesting Subsystems
[NO] 47/59 | Constructing a Survival-Associated Prognostic Model for Pancreatic Cancer via Gene Expression Bioinformatics Analysis
[NO] 48/59 | Archs: A WebAssembly Runtime for Cross-host Heterogeneous Computing in Serverless
[NO] 49/59 | A remote sensing small target ship rotation detection method based on an improved YOLOv11 algorithm
[NO] 50/59 | BiRNAFun-CAN: Identification of Bifunctional RNAs Based on Hierarchical Convolution and Projection Attention Network
[NO] 51/59 | Transforming Medical Regulations into Numbers: Vectorizing a Decade of Medical Device Regulatory Shifts in the USA, EU, and China
[NO] 52/59 | A Deep Generative Framework Based on a Diffusion Model Integrated with Mamba Block in Modality Transferring from Resting-state EEG to fMRI
[NO] 53/59 | Proceedings of the 2025 9th International Conference on High Performance Compilation, Computing and Communications (HP3C)
[NO] 54/59 | A Comparative Analysis of Adaptive and Scheduled Dynamic Loss Weighting Strategies in Quantum Physics-Informed Neural Networks (QPINNs) for Solving the 1D TimeIndependent Schrodinger Equation
[NO] 55/59 | Individual Brain Structure Deviations Predict Depressive Symptom Responses of Running Intervention
[NO] 56/59 | Towards Direct Library Construction from Plasma Cell-Free RNA: A Concept Informed by Preliminary Data
[NO] 57/59 | Epidemiological Characteristics of Thoracic Surgical Diseases: A Retrospective Study Based on 2,036 Chest CT Data
[NO] 58/59 | Single Cell RNA-seq Analysis Reveals Dynamics of Microglia Subclusters During Mouse Embryo Development
[NO] 59/59 | The Research on GPU-Based Relational Join Algorithms
筛选完成：共 59 篇；Yes = 0 篇；已保存到 papers/select_paper2026-01-24.json。
邮件发送成功！
[2026-01-25 09:15:30] 任务执行成功！
