[2026-02-05 09:38:32] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-04
正在获取论文...
[arXiv] 2026-02-04 | Bayesian PINNs for uncertainty-aware inverse problems (BPINN-IP)
[arXiv] 2026-02-04 | They Call Her 'Miss' and Him 'Professor': Lived Experiences of Women Teaching Support Staff in IT/SE Education
[arXiv] 2026-02-04 | Safe and Stylized Trajectory Planning for Autonomous Driving via Diffusion Model
[arXiv] 2026-02-04 | Multiview Self-Representation Learning across Heterogeneous Views
[arXiv] 2026-02-04 | Lattices with congruence densities larger than $3/32$
[arXiv] 2026-02-04 | Identifying knowledge gaps in biodiversity data and their determinants at the regional level
[arXiv] 2026-02-04 | A Multimodal fNIRS-EEG Dataset for Unilateral Limb Motor Imagery
[arXiv] 2026-02-04 | ProxyWar: Dynamic Assessment of LLM Code Generation in Game Arenas
[arXiv] 2026-02-04 | Event-T2M: Event-level Conditioning for Complex Text-to-Motion Synthesis
[arXiv] 2026-02-04 | Robust, High-Contrast, Recyclable Zinc-Based Dynamic Windows via Synergistic Electrolyte and Interfacial Engineering
[arXiv] 2026-02-04 | Aortic Valve Disease Detection from PPG via Physiology-Informed Self-Supervised Learning
[arXiv] 2026-02-04 | Thickening-to-Thinning: Reward Shaping via Human-Inspired Learning Dynamics for LLM Reasoning
[arXiv] 2026-02-04 | Massive coherent equipartition of light by the geometric phase of null space
[arXiv] 2026-02-04 | From Ambiguity to Action: A POMDP Perspective on Partial Multi-Label Ambiguity and Its Horizon-One Resolution
[arXiv] 2026-02-04 | Tokenization and Morphological Fidelity in Uralic NLP: A Cross-Lingual Evaluation
[arXiv] 2026-02-04 | Post-Quantum Identity-Based TLS for 5G Service-Based Architecture and Cloud-Native Infrastructure
[arXiv] 2026-02-04 | GeoLanG: Geometry-Aware Language-Guided Grasping with Unified RGB-D Multimodal Learning
[arXiv] 2026-02-04 | Validating Causal Message Passing Against Network-Aware Methods on Real Experiments
[arXiv] 2026-02-04 | Quantum fields from real-time ensemble dynamics
[arXiv] 2026-02-04 | Sampled-Data Wasserstein Distributionally Robust Control of Multiplicative Systems: A Convex Relaxation with Performance Guarantees
[arXiv] 2026-02-04 | Fine-Grained Frame Modeling in Multi-head Self-Attention for Speech Deepfake Detection
[arXiv] 2026-02-04 | Unclustered tracers remain unclustered: the lack of primordial non-Gaussianity response of bias-zero tracers
[arXiv] 2026-02-04 | LinGO: A Linguistic Graph Optimization Framework with LLMs for Interpreting Intents of Online Uncivil Discourse
[arXiv] 2026-02-04 | HFMCA: Orthonormal Feature Learning for EEG-based Brain Decoding
[arXiv] 2026-02-04 | LID Framework: A new method for geospatial and exploratory data analysis of potential innovation deter-minants at the neighborhood level
[arXiv] 2026-02-04 | Pre-optimization of quantum circuits, barren plateaus and classical simulability: tensor networks to unlock the variational quantum eigensolver
[arXiv] 2026-02-04 | A Parameterized Physics Informed Neural Network Solver for the Navier Stokes Equations Across Reynolds Numbers
[arXiv] 2026-02-04 | Estimation of reliability and accuracy of models of $\varphi$-sub-Gaussian process using generating functions of polynomial expansions
[arXiv] 2026-02-04 | Polygons and multi-product of eigenfunctions
[arXiv] 2026-02-04 | Rethinking the Design Space of Reinforcement Learning for Diffusion Models: On the Importance of Likelihood Estimation Beyond Loss Design
[arXiv] 2026-02-04 | Wide binaries without viable bound Newtonian orbits
[arXiv] 2026-02-04 | Approaches to Semantic Textual Similarity in Slovak Language: From Algorithms to Transformers
[arXiv] 2026-02-04 | PIO-FVLM: Rethinking Training-Free Visual Token Reduction for VLM Acceleration from an Inference-Objective Perspective
[arXiv] 2026-02-04 | L^2-Betti numbers in prime characteristic and a conjecture of Wise
[arXiv] 2026-02-04 | On the density of rational lines on diagonal cubic hypersurfaces
[arXiv] 2026-02-04 | The Most Dispersed Subset of Random Points in $\mathbb{R}^d$
[arXiv] 2026-02-04 | A labeled dataset of simulated phlebotomy procedures for medical AI: polygon annotations for object detection and human-object interaction
[arXiv] 2026-02-04 | Total Variation Sparse Bayesian Learning for Block Sparsity via Majorization-Minimization
[arXiv] 2026-02-04 | Resilient Load Forecasting under Climate Change: Adaptive Conditional Neural Processes for Few-Shot Extreme Load Forecasting
[arXiv] 2026-02-04 | RexBERT: Context Specialized Bidirectional Encoders for E-commerce
[arXiv] 2026-02-04 | AI in Education Beyond Learning Outcomes: Cognition, Agency, Emotion, and Ethics
[arXiv] 2026-02-04 | A principled framework for uncertainty decomposition in TabPFN
[arXiv] 2026-02-04 | Nonreciprocal topological kink-wave propagation in mechanical metamaterials
[arXiv] 2026-02-04 | Entanglement improves coordination in distributed systems
[arXiv] 2026-02-04 | Real-time processing of analog signals on accelerated neuromorphic hardware
[arXiv] 2026-02-04 | AIANO: Enhancing Information Retrieval with AI-Augmented Annotation
[arXiv] 2026-02-04 | Optical signatures of -1/3 fractional quantum anomalous Hall state in twisted MoTe2
[arXiv] 2026-02-04 | Fermi surface geometry and momentum dependent electron-phonon coupling drive the charge density wave in quasi-1D ZrTe$3$
[arXiv] 2026-02-04 | Landscape-aware Automated Algorithm Design: An Efficient Framework for Real-world Optimization
[arXiv] 2026-02-04 | A simple means for deriving quantum mechanics
[arXiv] 2026-02-04 | TACO: Temporal Consensus Optimization for Continual Neural Mapping
[arXiv] 2026-02-04 | BrainVista: Modeling Naturalistic Brain Dynamics as Multimodal Next-Token Prediction
[arXiv] 2026-02-04 | Searches for Extra Higgs Bosons using $t\bar{t}+$Higgs{$(\to b\bar b)$} Events within 2HDMs: Direct versus Indirect Probes
[arXiv] 2026-02-04 | Fine-grained Classification of A Million Life Trajectories from Wikipedia
[arXiv] 2026-02-04 | Nef Cones of the Hilbert Schemes of Points on Generalized Cayley K3 Surfaces
[arXiv] 2026-02-04 | A model-independent measurement of the Hubble constant from gravitational-wave standard sirens and electromagnetic observations
[arXiv] 2026-02-04 | Randomized Projection Operators onto Piecewise Polynomial Spaces
[arXiv] 2026-02-04 | Deconstructing sentence disambiguation by joint latent modeling of reading paradigms: LLM surprisal is not enough
[arXiv] 2026-02-04 | Proactive Agents, Long-term User Context, VLM Annotation, Privacy Protection, Human-Computer Interaction
[arXiv] 2026-02-04 | Vision-aligned Latent Reasoning for Multi-modal Large Language Model
[arXiv] 2026-02-04 | Is Micro Domain-Adaptive Pre-Training Effective for Real-World Operations? Multi-Step Evaluation Reveals Potential and Bottlenecks
[arXiv] 2026-02-04 | Simple 2-approximations for bad triangle transversals and some hardness results for related problems
[arXiv] 2026-02-04 | A frequency-domain method to inverse moving source problem with unknown radiating moment
[arXiv] 2026-02-04 | LORE: Jointly Learning the Intrinsic Dimensionality and Relative Similarity Structure From Ordinal Data
[arXiv] 2026-02-04 | GASV: A New VLBI analysis software for Geodesy and Astrometry
[arXiv] 2026-02-04 | Spatial Angular Pseudo-Derivative Searching: A Single Snapshot Super-resolution Sparse DOA Scheme with Potential for Practical Application
[arXiv] 2026-02-04 | Improving 2D Diffusion Models for 3D Medical Imaging with Inter-Slice Consistent Stochasticity
[arXiv] 2026-02-04 | A brief review of evolutionary game dynamics in the reinforcement learning paradigm
[arXiv] 2026-02-04 | Bayes, E-values and Testing
[arXiv] 2026-02-04 | Dynamics of string breaking and revival in a Rydberg atomic chain
[arXiv] 2026-02-04 | Three vignettes on hypergeometric normal functions
[arXiv] 2026-02-04 | Toward Effective Multimodal Graph Foundation Model: A Divide-and-Conquer Based Approach
[arXiv] 2026-02-04 | Robustness of Stable Matchings When Attributes and Salience Determine Preferences
[arXiv] 2026-02-04 | Turning mechanistic models into forecasters by using machine learning
[arXiv] 2026-02-04 | ZKBoost: Zero-Knowledge Verifiable Training for XGBoost
[ACM] 2026-2-4 | Proceedings of the 2025 International Conference on Artificial Intelligence and Sustainable Development
[ACM] 2026-2-4 | Towards Knowledge-Guided Multimodal Agents for Interpretable Plant Health Diagnostics
[ACM] 2026-2-4 | The perception of teachers' acceptance of AI technology towards school reform policies: a machine learning explanation based on TALIS
[ACM] 2026-2-4 | Evolutionary Game Theory and Simulation Analysis of Collaborative Governance of Rural Water Environment
[ACM] 2026-2-4 | Under-sampling framework incorporating denoising, optimized fuzzy C-means clustering, and representative sample selection for imbalanced data classification
[ACM] 2026-2-4 | Actionable Framework for Understanding and Improving Social and Human Factors that Influence the Requirements Management in Software Ecosystems
[ACM] 2026-2-4 | Toward Efficient Quantum Circuit Simulation with Memory and I/O Reduction through Gate Block Search Algorithm
[ACM] 2026-2-4 | Constructing a Companion Animal Disease Knowledge Graph by Utilizing LLMs in Data Preprocessing and Pseudo Annotation
[ACM] 2026-2-4 | Operational Icing Forecast for Power Grids Based on WRF-ICE and Machine Learning Correction
[ACM] 2026-2-4 | Proceedings of the 2025 10th International Conference on Cloud Computing and Internet of Things
[ACM] 2026-2-4 | A Privacy-Preserving Edge-AI Framework for EEG-based Emotion Recognition using Lightweight Authenticated Encryption over BLE
[ACM] 2026-2-4 | Smart Solutions: IoT and Robotics to Enhance Delivery Service Efficiency
[ACM] 2026-2-4 | The Analysis and Prospect of CNPC's EV Charging Business Based on Machine Learning
[ACM] 2026-2-4 | Towards Human-Like Sarcasm Recognition: A Context-Enriched Transformer Based Framework
[ACM] 2026-2-4 | Proceedings of the 2025 6th International Artificial Intelligence and Blockchain Conference
[ACM] 2026-2-4 | Frame-based Synchronization for Multi-view Multi-sensor Fusion in Embedded Systems
[ACM] 2026-2-4 | Interface Alignment Between O-RAN and 3GPP for V2X Communications
[ACM] 2026-2-4 | User-Centric Adaptive SDS: Data Compression and Erasure Coding for Efficient Ceph Storage
[ACM] 2026-2-4 | Data Analysis and Optimization of Enterprise Contract Execution Compliance Management Based on Internal and External Data Linkage
[ACM] 2026-2-4 | Research on the Application Mechanism of Artificial Intelligence Technology in Online Learning Platforms
[ACM] 2026-2-4 | Research on Multi-Agent Task Path Optimization and Collaborative Execution Driven by Knowledge Graphs
[ACM] 2026-2-4 | Smart Home Device Control Solution
[ACM] 2026-2-4 | AI Application in Anti-Money Laundering for Sustainable and Transparent Financial Systems
[ACM] 2026-2-4 | Metadata-aware RAG for Enforcing Access Control and Metadata-based Filtering: Proof of Concept and Evaluation
[ACM] 2026-2-4 | Reinforcement Learning-Based Energy-Aware Coverage Path Planning for Precision Agriculture
[ACM] 2026-2-4 | Low-Latency Multimedia Delivery via Collaborative Cloud–Edge Caching in Edge Computing Networks
[ACM] 2026-2-4 | Research on the international intelligent operation model of “digitalization + greening” dual-track collaboration of industrial electrical enterprises under intelligent drive
[ACM] 2026-2-4 | A Depression Detection Method Based on Emotion-Topic Guided In-Context Learning
[ACM] 2026-2-4 | Open Source Innovation—— A Research Review and Prospects
[ACM] 2026-2-4 | CART: Color-Aided Registration Transformer for Point Cloud Density Enhancement
[ACM] 2026-2-4 | The Impact of Digital Intelligence Systems on Workplace Loneliness Based on K-Means Machine Learning
[ACM] 2026-2-4 | Fusing Headline and Content with Dual-BERT and Weighted Fusion for Fake News Detection
[ACM] 2026-2-4 | The Multi-Institutional Configurational Pathways for Enhancing Rural Water Conservancy Governance Performance in China
[ACM] 2026-2-4 | FedKLEntropy: Enhancing Federated Learning via Model Entropy and Kullback-Leibler Divergence
[ACM] 2026-2-4 | Leveraging PyTorch for Hardware-Aware Optimization in Efficient Mixture-of-Experts Large Language Model Inference
[ACM] 2026-2-4 | Construction and Application of an Enterprise Performance Evaluation System from the ESG Perspective: An Empirical Study Based on Hang Lung Group
[ACM] 2026-2-4 | Adaptive Grid Merging Density-Biased Sampling Algorithm
[ACM] 2026-2-4 | The development of geographic information technology in the era of intelligence
[ACM] 2026-2-4 | Generalizable IoT Device Detection via Flow-Based Network Traffic Analysis and Random Forest
[ACM] 2026-2-4 | Reliability Architectures for High-Performance Processors: A Survey and Outlook
[ACM] 2026-2-4 | On the Necessity of Stablecoins and the Legal Mechanisms for Their Regulation
[ACM] 2026-2-4 | Introduction to the Special Issue on ACM Multimedia Systems 2024 and Co-Located Workshops
[ACM] 2026-2-4 | Mitigating the Write-amplification effect of large-scale semi-external graphs on SMR drives
[ACM] 2026-2-4 | Design and Implementation of an AI Learning Companion
[ACM] 2026-2-4 | Big Data AI and Customer Relationship Performance: The Impact of Supply Chain Capabilities and Technological Turbulence
[ACM] 2026-2-4 | Leveraging NVRAM to Improve Read Performance of LSM-tree in Hybrid Storage Systems
[ACM] 2026-2-4 | Temperature Wear Leveling: Mitigating Peak Temperature on NAND Flash Memory
[ACM] 2026-2-4 | Efficient Approaches for Permutation-Constrained Common String Partitions
[ACM] 2026-2-4 | Inversion analysis of thermodynamic parameters of concrete dam based on intelligent algorithm
[ACM] 2026-2-4 | Discovering Spatial Correlations of Earth Observations for Weather Forecasting by using Graph Structure Learning
[ACM] 2026-2-4 | Cloud-Native Architecture for Municipal Government Digital and Intelligent Transformation: Design and Implementation
[ACM] 2026-2-4 | Optimizing Class-Level Code Generation: Enhancing In-Context Learning in Large Language Models with Pruning Techniques
[ACM] 2026-2-4 | A Fault Localization Method for Cloud-based Runtime Systems based on Multi-layer Events
[ACM] 2026-2-4 | Adaptive Block Size Selection for Translating Triton Kernels to RVV
[ACM] 2026-2-4 | Structure- and Semantic-based Rationale Distillation: Table and Chart Question Answering in Scientific Documents
[ACM] 2026-2-4 | Spatio-temporal Evolution and Coupling Coordination Mechanism between Air Pollution Governance and Sports Venue Development
[ACM] 2026-2-4 | Digital Art Design and Intelligent Re-creation of Intangible Cultural Heritage Patterns Based on Diffusion Generation Model
[ACM] 2026-2-4 | Regeneration Based on Spatial Reconstruction: A case Study of Industrial Heritage Transformation and Protection in Yunnan Smelting
[ACM] 2026-2-4 | Artificial Intelligence in Healthcare: Strategic Value, Constraints, and a Governance-First Integration Framework
[ACM] 2026-2-4 | A Comparative Study of China's National Image Before and After the COVID-19 Pandemic Based on Twitter Text Mining
[ACM] 2026-2-4 | Evaluating Small Language Models for Intrusion Detection on Automotive Embedded Platforms
[ACM] 2026-2-4 | Priority-Aware Multilink Downlink Scheduling with Dynamic MRU Optimization for IEEE 802.11be
[ACM] 2026-2-4 | FormalGym: Deep Reinforcement Learning Agent Based Formal Compiler Optimization Framework
[ACM] 2026-2-4 | Lime Peel Freshness Classification Using Machine Learning and Blockchain based upon the Thai Agricultural Standard No. TAS 27-2017
[ACM] 2026-2-4 | Calibrated and Explainable Flight Delay Prediction with Tree-Based Models in Machine Learning
[ACM] 2026-2-4 | A Defence-Oriented Study of API Security in CI/CD Pipelines
[ACM] 2026-2-4 | Linear Regression-Based Cloud Resource Demand Forecasting and Dynamic Scheduling
[ACM] 2026-2-4 | Improving Flash Memory Reliability in High-Density Storage through Data-Aware Page Shuffling
[ACM] 2026-2-4 | A Study on the Application of Digital Humanities to the Teaching of English Audiovisual Speaking in Universities
[ACM] 2026-2-4 | Idle Consumer GPUs as a Complement to Enterprise Hardware for LLM Inference: Performance, Cost and Carbon Analysis
[ACM] 2026-2-4 | Enhanced Debugging of CPython and Pytorch with GDB
[ACM] 2026-2-4 | Grade Like a Human: Rethinking Automated Assessment with Large Language Models
[ACM] 2026-2-4 | Meta-Model Design for Spiking Neural Network Simulation
[ACM] 2026-2-4 | The nonlinear effect of digital transformation on corporate greenwashing
[ACM] 2026-2-4 | Organizational Innovation Strategies for Chinese New Energy Vehicle Enterprises to Enhance Financial Performance: An Empirical Research Based on the QCA Method
[ACM] 2026-2-4 | Automatic Extraction and Cultural Creative Application of Intangible Cultural Heritage Patterns Based on Deep Learning
[ACM] 2026-2-4 | Research on Collision Avoidance Warning of High-Speed Maintenance Vehicle Based on Adaptive Algorithm
[ACM] 2026-2-4 | Generative AI-Driven Procedural Character and Dialogue System for Interactive Digital Narratives
[ACM] 2026-2-4 | Smarter Spaces, Smoother Flows: Evaluating the Terrain Adaptability of LID Layouts via NSGA-II Optimization
[ACM] 2026-2-4 | Development of Chinese Traditional Cheongsam's Modularization and Digital Resource Library
[ACM] 2026-2-4 | An AI-Enhanced System with Microwave-Functionalized Water for Sustainable Cultivation of Dendrobium officinale
[ACM] 2026-2-4 | Attention-Enhanced Dual Network Framework for Remote Sensing Land Cover Classification
[ACM] 2026-2-4 | Research on Intelligent Optimization of Water Injection Scheme for Water-Flooding Reservoirs Based on Improved Genetic Algorithm
[ACM] 2026-2-4 | The Application of the Random Forest Algorithm in the Intelligent Selection of Key Parameters for Shield Tunneling
[ACM] 2026-2-4 | FoodHash: Context-Aware Proxy Interaction and Fusion for Food Image Retrieval
[ACM] 2026-2-4 | Comparing XAI Methods for Identifying Critical Features and Expert Contributions in Multi-Expert Edge Computing Attack Detection
[ACM] 2026-2-4 | Insights and predictive analytics for heart disease using Python and machine learning
[ACM] 2026-2-4 | Multi-agent Auto-Bidding with Latent Graph Diffusion Models.
[ACM] 2026-2-4 | Optimizing Edge Inference with Divide-and-Conquer Segmentation and Multi-Pipeline Coordination
[ACM] 2026-2-4 | Research on Industrial Structure Upgrading Strategies Based on Multimodal Feature Fusion in the Context of the Digital Economy
[ACM] 2026-2-4 | A Practical Evaluation of Paging Algorithm Smoothness: Trade-offs Between Competitiveness and Stability
[ACM] 2026-2-4 | Research on Reinforcement Learning Integrated Game Intelligence about Multi-group Rescue
[ACM] 2026-2-4 | Research on Carbon Emission Efficiency Based on Super-efficiency SBM and Malmquist Model
[ACM] 2026-2-4 | SPARK: Share-Per-tick Adaptive Redistribution with Kernel-gating
[ACM] 2026-2-4 | Analysis of the characteristic sources of heavy metal pollution and health risk assessment in the sediments of the Yellow River in Lanzhou based on the PMF model
[ACM] 2026-2-4 | A Study on the Effect of the STEM Method on Improving the Learning Thinking of Vocational School Students
[ACM] 2026-2-4 | Synergy of Artificial Intelligence and Extended Reality in Patient-focused Health and Well-Being Applications – A Systematic Review
[ACM] 2026-2-4 | GT-FID: A Graph-Temporal Fusion Network for Host-Based Intrusion Detection from System Call Sequences
[ACM] 2026-2-4 | ECDAR: An Energy-efficient, Channel- and Depth-Aware Adaptive Routing for Underwater Sensor Networks
[ACM] 2026-2-4 | Less Is More: Failing Test Generation with Large Language Models
共写入 200 条记录，保存到 papers/paper2026-02-04.json。
论文获取成功，文件路径: papers/paper2026-02-04.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Bayesian PINNs for uncertainty-aware inverse problems (BPINN-IP)
[NO] 2/200 | Heavy-quark production in deep-inelastic scattering -- Mellin moments of structure functions
[NO] 3/200 | Can Theory-Informed Message Framing Drive Honest and Motivated Performance with Better Assessment Experiences in a Remote Assessment?
[NO] 4/200 | What's in a Benchmark? The Case of SWE-Bench in Automated Program Repair
[NO] 5/200 | Basis Criteria for Extending Generalized Splines
[NO] 6/200 | Hand Gesture Recognition from Doppler Radar Signals Using Echo State Networks
[NO] 7/200 | Machine Learning-Driven Crystal System Prediction for Perovskites Using Augmented X-ray Diffraction Data
[NO] 8/200 | Normalizing Speed-accuracy Biases in 2D Pointing Tasks with Better Calculation of Effective Target Widths
[NO] 9/200 | Disordered systems and (subcritical) polynomial chaos with heavy-tail disorder
[NO] 10/200 | Fine-Grained Activation Steering: Steering Less, Achieving More
[NO] 11/200 | From Main Sequence Binary to Blast: MESA Modeling of the Double-Detonation Progenitor PTF1~J2238+7430
[NO] 12/200 | Integrated Exploration and Sequential Manipulation on Scene Graph with LLM-based Situated Replanning
[NO] 13/200 | SPEAR: An Engineering Case Study of Multi-Agent Coordination for Smart Contract Auditing
[NO] 14/200 | Med-MMFL: A Multimodal Federated Learning Benchmark in Healthcare
[NO] 15/200 | Theory of Speciation Transitions in Diffusion Models with General Class Structure
[NO] 16/200 | Performative Learning Theory
[NO] 17/200 | Unit Shiha Distribution and its Applications to Engineering and Medical Data
[NO] 18/200 | Convivial Fabrication: Towards Relational Computational Tools For and From Craft Practices
[NO] 19/200 | Blockchain Federated Learning for Sustainable Retail: Reducing Waste through Collaborative Demand Forecasting
[NO] 20/200 | On the local nature of the de Almeida-Thouless line for mixed \(p\)-spin glasses
[NO] 21/200 | Light deflection in the gravimagnetic dipole spacetime
[NO] 22/200 | Revealing the interfacial kinetic mechanisms in high-entropy doped Na$_3$V$_2$(PO$_4$)$_3$ through electrochemical investigation and distribution of relaxation times
[NO] 23/200 | Flexocurrent-induced magnetization: Strain gradient-induced magnetization in time-reversal symmetric systems
[NO] 24/200 | On the pure traction problem of linear elasticity: a regularized formulation and its robust approximation
[NO] 25/200 | Quantum-Assisted Design of Space-Terrestrial Integrated Networks
[NO] 26/200 | Improved Fluid Modeling of Space Debris Generated Ion-Acoustic Precursor Solitons
[NO] 27/200 | They Call Her 'Miss' and Him 'Professor': Lived Experiences of Women Teaching Support Staff in IT/SE Education
[NO] 28/200 | Safe and Stylized Trajectory Planning for Autonomous Driving via Diffusion Model
[NO] 29/200 | Multiview Self-Representation Learning across Heterogeneous Views
[NO] 30/200 | Lattices with congruence densities larger than $3/32$
[NO] 31/200 | Identifying knowledge gaps in biodiversity data and their determinants at the regional level
[NO] 32/200 | A Multimodal fNIRS-EEG Dataset for Unilateral Limb Motor Imagery
[NO] 33/200 | ProxyWar: Dynamic Assessment of LLM Code Generation in Game Arenas
[NO] 34/200 | Event-T2M: Event-level Conditioning for Complex Text-to-Motion Synthesis
[NO] 35/200 | Robust, High-Contrast, Recyclable Zinc-Based Dynamic Windows via Synergistic Electrolyte and Interfacial Engineering
[NO] 36/200 | Aortic Valve Disease Detection from PPG via Physiology-Informed Self-Supervised Learning
[NO] 37/200 | Thickening-to-Thinning: Reward Shaping via Human-Inspired Learning Dynamics for LLM Reasoning
[NO] 38/200 | Massive coherent equipartition of light by the geometric phase of null space
[NO] 39/200 | From Ambiguity to Action: A POMDP Perspective on Partial Multi-Label Ambiguity and Its Horizon-One Resolution
[NO] 40/200 | Tokenization and Morphological Fidelity in Uralic NLP: A Cross-Lingual Evaluation
[NO] 41/200 | Post-Quantum Identity-Based TLS for 5G Service-Based Architecture and Cloud-Native Infrastructure
[NO] 42/200 | GeoLanG: Geometry-Aware Language-Guided Grasping with Unified RGB-D Multimodal Learning
[NO] 43/200 | Validating Causal Message Passing Against Network-Aware Methods on Real Experiments
[NO] 44/200 | Quantum fields from real-time ensemble dynamics
[NO] 45/200 | Sampled-Data Wasserstein Distributionally Robust Control of Multiplicative Systems: A Convex Relaxation with Performance Guarantees
[NO] 46/200 | Fine-Grained Frame Modeling in Multi-head Self-Attention for Speech Deepfake Detection
[NO] 47/200 | Unclustered tracers remain unclustered: the lack of primordial non-Gaussianity response of bias-zero tracers
[NO] 48/200 | LinGO: A Linguistic Graph Optimization Framework with LLMs for Interpreting Intents of Online Uncivil Discourse
[NO] 49/200 | HFMCA: Orthonormal Feature Learning for EEG-based Brain Decoding
[NO] 50/200 | LID Framework: A new method for geospatial and exploratory data analysis of potential innovation deter-minants at the neighborhood level
[NO] 51/200 | Pre-optimization of quantum circuits, barren plateaus and classical simulability: tensor networks to unlock the variational quantum eigensolver
[NO] 52/200 | A Parameterized Physics Informed Neural Network Solver for the Navier Stokes Equations Across Reynolds Numbers
[NO] 53/200 | Estimation of reliability and accuracy of models of $\varphi$-sub-Gaussian process using generating functions of polynomial expansions
[NO] 54/200 | Polygons and multi-product of eigenfunctions
[NO] 55/200 | Rethinking the Design Space of Reinforcement Learning for Diffusion Models: On the Importance of Likelihood Estimation Beyond Loss Design
[NO] 56/200 | Wide binaries without viable bound Newtonian orbits
[NO] 57/200 | Approaches to Semantic Textual Similarity in Slovak Language: From Algorithms to Transformers
[NO] 58/200 | PIO-FVLM: Rethinking Training-Free Visual Token Reduction for VLM Acceleration from an Inference-Objective Perspective
[NO] 59/200 | L^2-Betti numbers in prime characteristic and a conjecture of Wise
[NO] 60/200 | On the density of rational lines on diagonal cubic hypersurfaces
[NO] 61/200 | The Most Dispersed Subset of Random Points in $\mathbb{R}^d$
[NO] 62/200 | A labeled dataset of simulated phlebotomy procedures for medical AI: polygon annotations for object detection and human-object interaction
[NO] 63/200 | Total Variation Sparse Bayesian Learning for Block Sparsity via Majorization-Minimization
[NO] 64/200 | Resilient Load Forecasting under Climate Change: Adaptive Conditional Neural Processes for Few-Shot Extreme Load Forecasting
[NO] 65/200 | RexBERT: Context Specialized Bidirectional Encoders for E-commerce
[NO] 66/200 | AI in Education Beyond Learning Outcomes: Cognition, Agency, Emotion, and Ethics
[NO] 67/200 | A principled framework for uncertainty decomposition in TabPFN
[NO] 68/200 | Nonreciprocal topological kink-wave propagation in mechanical metamaterials
[NO] 69/200 | Entanglement improves coordination in distributed systems
[NO] 70/200 | Real-time processing of analog signals on accelerated neuromorphic hardware
[NO] 71/200 | AIANO: Enhancing Information Retrieval with AI-Augmented Annotation
[NO] 72/200 | Optical signatures of -1/3 fractional quantum anomalous Hall state in twisted MoTe2
[NO] 73/200 | Fermi surface geometry and momentum dependent electron-phonon coupling drive the charge density wave in quasi-1D ZrTe$3$
[NO] 74/200 | Landscape-aware Automated Algorithm Design: An Efficient Framework for Real-world Optimization
[NO] 75/200 | A simple means for deriving quantum mechanics
[NO] 76/200 | TACO: Temporal Consensus Optimization for Continual Neural Mapping
[NO] 77/200 | BrainVista: Modeling Naturalistic Brain Dynamics as Multimodal Next-Token Prediction
