[2026-08-27 19:22:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-26
正在获取论文...
[arXiv] 2026-08-26 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[arXiv] 2026-08-26 | Candidate supply and answer selection shape the value of LLM judging in multi-agent systems
[arXiv] 2026-08-26 | When Composition Doesn't Add Up: Humans Identifying Defects in AI-Generated Images
[arXiv] 2026-08-26 | A place for stabilization alongside tipping cascades: the AMOC-cryosphere system
[arXiv] 2026-08-26 | An Inverse Lyth Bound for Non-Attractor Inflation
[arXiv] 2026-08-26 | Forecasting Multiple Observables with SCROLL: Score-Trained Uncertainty for Stochastic Dynamics
[arXiv] 2026-08-26 | The Cœuré-Loeb example as an open subset of a Stein space
[arXiv] 2026-08-26 | A Hybrid Security Framework for Mini-Programs: Visual UI Compliance and Network Risk Assessment
[arXiv] 2026-08-26 | Mode stability for the scalar wave equation on subextremal Kerr-de Sitter spacetimes
[arXiv] 2026-08-26 | Instability of Böhm's Einstein metrics
[arXiv] 2026-08-26 | A unified approach to the divergence equation and related functional inequalities
[arXiv] 2026-08-26 | Vacuum energy problem in anti-de Sitter space
[arXiv] 2026-08-26 | Precipitation Downscaling Using Foundation Model-Conditioned Diffusion
[arXiv] 2026-08-26 | Hard-Constrained Sampling on Embedded Riemannian Manifolds via Adjoint Schrödinger Bridges
[arXiv] 2026-08-26 | Adaptive Nesterov Momentum Method for Electrical Impedance Tomography with the Complete Electrode Model
[arXiv] 2026-08-26 | Skill Issue: Are Skills Language-Invariant in LLMs?
[arXiv] 2026-08-26 | Mass-anisotropy driven stripe pattern formation and directional modulational instability in polariton condensate
[arXiv] 2026-08-26 | Localize-Then-Decide Guarantees for LLM Judgments
[arXiv] 2026-08-26 | Regularity, quantitative deviation, and non-rigidity of a lacunary skew product
[arXiv] 2026-08-26 | Canalization Before Generalization: Grokking as a Dynamical Probe
[arXiv] 2026-08-26 | Beyond Minimum Distance: The Optimal Leading Coefficient in the High-SNR Error-Probability Expansion for AWGN Spherical Codes
[arXiv] 2026-08-26 | STXM-XANES and TEM analysis of UltraCarbonaceous Antarctic MicroMeteorites (UCAMMs)
[arXiv] 2026-08-26 | Asymptotic enumeration of minimally transitive permutation groups
[arXiv] 2026-08-26 | Sequential Stability of the Value Function and the Solution Mapping in Berge's Maximum Theorem via Variational Convergence
[arXiv] 2026-08-26 | Quantum sampling in hybrid light-matter systems with mixed statistics
[arXiv] 2026-08-26 | UNION: A Unified AC-OPF Framework for Topology-Varying Real-Time Grid Operation
[arXiv] 2026-08-26 | LocalLSTC: A Long Short-Term Control Architecture for Locally Deployed GUI Agents
[arXiv] 2026-08-26 | Pooling Mobility Obscures Epidemic Invasion Routes
[arXiv] 2026-08-26 | Can circumbinary discs produce the eccentricities of shell-burning stripped giant binaries?
[arXiv] 2026-08-26 | Learning from waste: Machine Learning for health risk prediction and computer vision-based sorting in Ghana
[arXiv] 2026-08-26 | Quantum Blackhole Learning-Optimized Hadamard Neural Network Model for Dynamic Resource Reservation in Industry Clouds
[arXiv] 2026-08-26 | Lipid Hydrocarbon Tail Structure Governs Interfacial Anchoring and Stripe Morphology in Cholesteric Liquid Crystals
[arXiv] 2026-08-26 | Error Analysis of the Inverse Conductivity Problem with Scattered Measurements
[arXiv] 2026-08-26 | MIMONet: Multi-scale Input and Multi-scale Output Network for Salient Object Detection
[arXiv] 2026-08-26 | Agnostic Sequential Rationality
[arXiv] 2026-08-26 | From Verdict to Diagnosis: Attributable Security Review of Pull Requests
[arXiv] 2026-08-26 | Observation of thermal Hall effect in diamond
[arXiv] 2026-08-26 | Lower bounds on the spatial decay of the ground state of the Pauli-Fierz model
[arXiv] 2026-08-26 | Estimation of a regression function from dependent data by over-parametrized deep neural networks learned by gradient descent
[arXiv] 2026-08-26 | GLOSS: Geometric Local Self-Similarity Learning for Faithful Reference-Guided Texture Fill
[arXiv] 2026-08-26 | Training Alignment Auditors via Reinforcement Learning
[arXiv] 2026-08-26 | A calibrated dust-trail model of the Leonid meteoroid stream and forecasts of the 2031-2035 encounters
[arXiv] 2026-08-26 | Competing Soft Modes and Tunable Multicriticality in a Generalized Two-Mode Quantum Rabi Model
[arXiv] 2026-08-26 | Characterization of Maximal Left-Compressed Intersecting Families Generated by a Single Generator
[arXiv] 2026-08-26 | VGA-BenchV2: An Expanded Unified Benchmark and Multi-Model Framework for Evaluating Video Aesthetics and Generation Quality
[arXiv] 2026-08-26 | Assessing the Climate and Habitability of Tidally Locked Rocky Exoplanets
[arXiv] 2026-08-26 | Energy Yield and Lifetime Climate Classification via Machine Learning for Optimizing Photovoltaic Module Design and Materials
[arXiv] 2026-08-26 | Tautological Pushforwards of Hilbert Schemes of Points on Curves and Surfaces
[arXiv] 2026-08-26 | Continuous Computational Social Choice: A Case Study in Bribery
[arXiv] 2026-08-26 | Saliency-Depth Conditioning for Zero-Shot Segmentation of Communication-Tower Components in Cluttered UAV Imagery
[arXiv] 2026-08-26 | BeamGuard: Risk-Aware Multimodal Beam Forecasting and Adaptive Virtual Beamwidth Control for 6G mmWave V2I Links
[arXiv] 2026-08-26 | Distance Is Not Enough: Forget-Retain Alignment Gap Predicts LLM Relearning Robustness
[ACM] 2026-8-26 | Play as Interrogation in GenAI Use
[IEEE] 2026-8-26 | FusionEar: Toward High-Fidelity and Unconstrained Speech Eavesdropping via Multi-Modal Motion Sensor Fusion
[IEEE] 2026-8-26 | Multifocus Image Fusion via LS-DTNP in the NSST Domain
[IEEE] 2026-8-26 | Practical Tracking Control for Amphibious Uncrewed Aerial Vehicles With Prescribed Performance: Theory and Experimentation
[IEEE] 2026-8-26 | Image-Guided Robotic Surgery System to Eliminate Drill Bit Skiving During Pedicle Screw Placement – Concept Validation
[IEEE] 2026-8-26 | Dual-Layer LEO Mega-Constellation Topology Optimization Based on an Improved Slime Mould Algorithm with Feasible Projection_supp1-3727534.pdf
[IEEE] 2026-8-26 | ShadowBlock: Efficient Dynamic Anonymous Blocklisting and Its Cross-chain Application
[IEEE] 2026-8-26 | Frequency Doublet Resonance Detection Electronic Circuit for Piezoelectric Flexural Plate Wave MEMS Transducer
[IEEE] 2026-8-26 | Table of Contents
[IEEE] 2026-8-26 | Keynote: Emerging Approaches to Resource Management and Scheduling in the Mist—Fog—Cloud Continuum
[IEEE] 2026-8-26 | Electrical Engineering Powering Energy Transition: Beyond generation, the future of our grid relies on how we control energy.
[IEEE] 2026-8-26 | Message from Congress 2026 Program Chairs
[IEEE] 2026-8-26 | Fractional-N Frequency Synthesis Based on Ring-
                    <i>LC</i>
                    Cascaded PLL With Calibration-Free Noise Cancellation Techniques
[IEEE] 2026-8-26 | GlyphTSR: Text-rich Scene Image Super-Resolution beyond Glyph Priors
[IEEE] 2026-8-26 | An Optoelectronic MXene/HfO
                    <sub>2</sub>
                    Memristor for In-Sensor Neuromorphic Visual Computing
[IEEE] 2026-8-26 | PointSR++: Self-Regularized Point Supervision with Spatial-Structural Constraints for Drone-View Object Detection
[IEEE] 2026-8-26 | Technical Communication and the Discipline of Content: Considerations for Research: Rebekka Andersen and Carlos Evia: [Book Review]
[IEEE] 2026-8-26 | The Brain–Computer Interfaces Race: Capital, Policy, and the Battle for Commercialization
[IEEE] 2026-8-26 | Unsupervised Learning for Weighted Resource Allocation in RIS-Assisted mmWave MIMO Systems
[IEEE] 2026-8-26 | SwitchNN: In-Network CNN Inference for Edge-Assisted Smart Roadside Networks
[IEEE] 2026-8-26 | AuEx: Automatic Exploration for Fresh Creative Ads via Large-Scale Deep Reinforcement Learning
[IEEE] 2026-8-26 | A Large Language Model Assisted Fault Diagnosis Framework for Power Equipment in New Power Systems
[IEEE] 2026-8-26 | A Causal-Driven Hierarchical Decentralised Federated Learning Framework for Resilient Load Forecasting in Distributed Microgrids
[IEEE] 2026-8-26 | Entangled Photon Source Pooling and Entanglement Distribution for Quantum Networks
[IEEE] 2026-8-26 | Hierarchical access control scheme for educational data based on blockchain and attribute-based encryption
[IEEE] 2026-8-26 | Risk-Stratified CQI in Engineering Education: Six-Cohort Validation of a Registry-Only Early-Warning Rule
[IEEE] 2026-8-26 | Bias in the Shadows: Explore Shortcuts in Encrypted Network Traffic Classification
[IEEE] 2026-8-26 | Lightweight AAC-YOLO Algorithm for Railway Foreign Object Intrusion Detection
[IEEE] 2026-8-26 | Study on the Influence of Stacked Polyhedral Structure of Microphone Array on UAV Sound Source Direction Finding
[IEEE] 2026-8-26 | CyberAI (AICyber) Framework for Digital Health Applications: A Position Paper
[IEEE] 2026-8-26 | PRO: Deterministic Load Balancing for AI Datacenter Network
[IEEE] 2026-8-26 | Dual Adaptive Noise Cancellation and Enhancement (DANCE) for Real-Time One-Dimensional Signal Denoising
[IEEE] 2026-8-26 | Self-Adaptive Governance for Elastic Privacy in Mental Health Digital Phenotyping
[IEEE] 2026-8-26 | Design Flexibility in Infrastructure Projects: Integrating Means-Ends Analysis and Real Options Reasoning
[IEEE] 2026-8-27 | An Advanced Modulating Signal-Based PWM Strategy for Three-Phase Voltage Source Inverters with Scalar Control for Induction Motor Drives
[IEEE] 2026-8-27 | Virtual Space Switching: Fast Mobility Handoffs for Situated Intelligence
[IEEE] 2026-8-27 | Research on Deep Optimization of Cogeneration of Heat and Power in Steam Turbines Based on Low-Pressure Exhaust Heat Utilization
[IEEE] 2026-8-27 | Edge-Based Multimodal Driver Monitoring System on Raspberry Pi
[IEEE] 2026-8-26 | Graph Neural Network Enabled Resource Optimization for Tethered UAV Networks With Rotatable Directional Antennas
[IEEE] 2026-8-27 | Research on Defect Identification and Intelligent Diagnosis of Power Equipment Based on Knowledge Graph
[IEEE] 2026-8-27 | Energy-optimal control considering thermal effects of UAV motors
[IEEE] 2026-8-27 | Suppression of Stray Radiation in Five-Axis Rotary Table CATR System
[IEEE] 2026-8-27 | An Energy-Storage Investment Risk Quantification Method Based on a t-Copula and Conditional Value-at-Risk
[IEEE] 2026-8-27 | Dual-Loop PID Control Method for Front-End Hydraulic Speed Regulation Based on Frequency Domain Theory
[IEEE] 2026-8-27 | Reliable Unreliability in Edge Deployments
[IEEE] 2026-8-27 | A Pixel-Based FAS with 6-bit Reconfigurability Deployed at Both Transmitter and Receiver for Interference Mitigation
[IEEE] 2026-8-26 | A Lightweight ML Framework for Crop Selection and Yield Estimation on Low-End Devices
[IEEE] 2026-8-26 | Count-Rate Modeling and Compensation for Photomultiplier Tubes Under High-Voltage Ripple Disturbances
[IEEE] 2026-8-26 | Performance of a hybrid ARIMA-LSTM-Transformer model in influenza-like illness forecasting: A comparative study
[IEEE] 2026-8-26 | RAPIDS: Reliable Adaptive Priority-based Intelligent Delivery Streaming for Enhanced Error Resilience in Real-time Video
[IEEE] 2026-8-26 | Decentralized But Not Immune: Empirical and Formal Security Analysis of Messaging Networks
[IEEE] 2026-8-26 | PalmShield: A Climate-Smart AI Mobile Platform for Sustainable Date Palm Health Monitoring
[IEEE] 2026-8-26 | CANListener: A Lightweight and Adaptive Intrusion Detection System for In-vehicle CAN Bus
[IEEE] 2026-8-26 | Development of Fiber Optic Sensors, Their Principles, and Algorithm Optimization Research for Intraoperative Navigation
[IEEE] 2026-8-26 | Research on Intelligent Electronic Load Control System and Computational Optimization Method for High-Speed OSFP Optical Module Testing
[IEEE] 2026-8-26 | UAV Acoustic Source Direction Finding Based on Generalized Likelihood Ratio Test
[IEEE] 2026-8-26 | Modeling Short-Term Cognitive State Transitions Using EEG and Lifestyle Features
[IEEE] 2026-8-26 | MAGNet: Physics-Informed Multiscale Attention and Gated Recurrent Network for Filter Inverse Design
[IEEE] 2026-8-26 | Cloud-Compatible and Scalable Private Messaging via Authentication Piggybacking
[IEEE] 2026-8-26 | Disjoint Simulatability and Security Reduction of a Class of Lattice-Based Schemes
[IEEE] 2026-8-26 | A Cross-Sector Measurement Study of Internet-Exposed IoT Devices
[IEEE] 2026-8-26 | MUFFLe: Efficient Model Update Compression via Generalized Deduplication for Federated Learning
[IEEE] 2026-8-26 | Real-Time PH Monitoring and Alerting System for Wastewater Management
[IEEE] 2026-8-26 | Extended Reality for Agricultural Supply Chain Education: A Systematic Review of Effectiveness, Implementation Challenges, and Future Directions
[IEEE] 2026-8-26 | VectorSec: A Web-Based AI Security Scanner for Systematic Evaluation of LLM Vulnerabilities
[IEEE] 2026-8-26 | Physics-Guided Temporal Graph Attention Network for Early Fault Diagnosis of Spacecraft Thermal Control Systems
[IEEE] 2026-8-26 | Evaluating DL Test Adequacy Metrics: A Correlation Study with DeepCrime’s Mutation Score
[IEEE] 2026-8-26 | Perspective on Bias in Biomedical AI: Preventing Downstream Healthcare Disparities
[IEEE] 2026-8-26 | UAVchain: Blockchain Technology Applications for Unmanned Aerial Vehicles
[ACM] 2026-8-26 | Complementary Asymmetric Representation Learning for Exemplar-Free Class-Incremental Learning
[IEEE] 2026-8-26 | A 3D Stackable 1T2C DRAM with Sidewall Storage Capacitors for High-Density Memory
[IEEE] 2026-8-26 | Interference-Aware Instantaneous Frequency and Amplitude Estimator for Multicomponent Signals
[IEEE] 2026-8-26 | WTM-YOLOv11: A Small Target Detection Model for Complex Scenes in UAV Applications
[IEEE] 2026-8-26 | IEEE Transactions on Sustainable Computing
[IEEE] 2026-8-26 | Front Cover
[IEEE] 2026-8-26 | A Current-Mode Non-Destructive Circuit Readout Scheme for High-Density 3D Ferroelectric Memory
[ACM] 2026-8-26 | When AI Becomes the First Listener: A Conversation with Joanne Cheung on How AI Soothes and Shapes Our Thoughts
[IEEE] 2026-8-26 | Center-Aware Pairwise Learning for Deep Semi-supervised Anomaly Detection
[IEEE] 2026-8-26 | Kendall’s Tau Based Robust Spectrum Sensing Under Colored Gaussian Noise With Impulsive Interference
[IEEE] 2026-8-26 | Compressive Toeplitz Covariance Estimation From Few-Bit Quantized Measurements With Applications to DOA Estimation
[IEEE] 2026-8-26 | Flexible and Optically Transparent Wideband Low-RCS Metasurface Based on Spin-Decoupled and Diffusion Scattering
[IEEE] 2026-8-26 | A Low-RCS Absorber-Radiator Antenna Array With Dual-CP and Multi-Beam Reconfigurability
[IEEE] 2026-8-26 | Layer-wise Principal Gradient Compression for Distributed Machine Learning
[IEEE] 2026-8-27 | Dementia Etiology Diagnosis via Collaborative Meta Knowledge Enhancement
[IEEE] 2026-8-27 | The Throughput Gain of Hypercycle-level Resource Reservation for Time-Triggered Communication_supp1-3727381.pdf
[IEEE] 2026-8-26 | Resilient Model Predictive Formation Control for Nonholonomic Multivehicles Under Mixed Attacks
[IEEE] 2026-8-27 | A Novel Adaptive Data-Driven Neural Dynamic Surface Control for Unknown Nonlinear Uncrewed Ground Vehicles With Input Saturation
[IEEE] 2026-8-26 | Advancing Integrated Communications and Stealth Via STAR-RIS for Low-Altitude Wireless Networks
[IEEE] 2026-8-26 | HLIPIA:Efficient LLM On-Device Deployment Optimization with Hybrid Layer-Importance Pruning and Improved Adaptive Low Rank Adaptation
[IEEE] 2026-8-27 | A Lightweight Framework for Multi-view Chest Radiograph Analysis using Augmented Metadata
[IEEE] 2026-8-27 | Design and Performance Analysis of a Compact FR-4-Based Antipodal Vivaldi Antenna for Ultra-Wideband and mmWave Applications
[IEEE] 2026-8-26 | LQG-Based Distributed Resilient Control for DC Microgrids Over Unreliable Communication Channel
[IEEE] 2026-8-26 | SyDRA: Dual-Stream Synergistic Learning for Interference-Robust Anomaly Localization on Structure-Dominant Industrial Surfaces
[IEEE] 2026-8-26 | A Solution for Efficient Cross-Cluster Communication in Multi-Kubernetes Clusters
[IEEE] 2026-8-26 | EpiCRISPR: Improving CRISPR/Cas9 on- and off-target prediction by flanking sequences, epigenetic marks, and high-throughput datasets
[IEEE] 2026-8-26 | Supervised Feature Selection via Collective First-Order Neural Dynamics
[IEEE] 2026-8-26 | The error estimation problem in machine learning surrogate models for engineering simulation
[IEEE] 2026-8-26 | Title Page iii
[IEEE] 2026-8-26 | HashVer: Low-Latency Consensus on Blockchain Networks with Heterogeneous Nodes
[IEEE] 2026-8-26 | IEEE Security &amp; Privacy
共写入 200 条记录，保存到 papers/paper2026-08-26.json。
论文获取成功，文件路径: papers/paper2026-08-26.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Reassembling Distributed Risk: Trajectory-Conditioned Action Generation for Multi-Turn Agent Safety
[NO] 2/200 | Difficulty-Aware Sample Allocation for Adaptive Data Augmentation in Semantic Segmentation
[NO] 3/200 | Fast rates in Bayesian online learning with approximate posteriors
[NO] 4/200 | Signal formation and induction-gap optimization in a THGEM coupled to a resistive plate anode
[NO] 5/200 | Stringent Constraints on Spin-Spin-Velocity-Dependent Exotic Interactions with a Levitated Magnet Force Sensor
[NO] 6/200 | Chirality-Selective Phonon Pumping by Ferroelectric Dynamics
[NO] 7/200 | The high dimensional monostable reaction-diffusion equation with free boundary and radial symmetry
[NO] 8/200 | Narcissus: Program Synthesis Using Context-Aware LLM Approximations
[NO] 9/200 | Phase calibration of quantum oscillations in the magnetostrictive coefficient using the topological antiferromagnet YbMnBi$_2$
[NO] 10/200 | Stable Symmetric Series, Differential Operators, and Jack Deformations
[NO] 11/200 | AutoVerifier: Residual-Guided Non-Parametric Optimization for Reference-Based Answer Verification
[NO] 12/200 | The integral homology of $\text{SL}_2(\mathbb{Z}[1/n])$
[NO] 13/200 | SeVeR: Selective Visual Exposure and Retrieval for 3D Medical Image Question Answering
[NO] 14/200 | Closed-form hard-sphere thermodynamics under nanoscale confinement: from equations of state to unmixing forces
[NO] 15/200 | Contravariantly finite resolving subcategories over commutative local rings are trivial ones
[NO] 16/200 | AWM: Answerable Working Memory for Long-Document VQA Agents
[NO] 17/200 | Nearly Isotropic Quantum-Critical Transport in Single-Crystal CeNiC2
[NO] 18/200 | Absolute colimits
[NO] 19/200 | Frequency-aware forecasting for short-term typhoon gust prediction
[YES] 20/200 | Multi-UE Networked Sensing: A New Paradigm for 6G Perceptive Mobile Networks
[NO] 21/200 | Development and Commissioning of the Cryogenic Target Detectors for the Technical Run of the NUCLEUS Experiment
[NO] 22/200 | RA-VLA: Retrieval-Augmented VLA for Test-Time Adaptation
[NO] 23/200 | GRIP: Granular Reward-Guided Parameter Interpolation for Efficient Reasoning
[NO] 24/200 | Threshold spectral transition for a fermion-boson pair on the one-dimensional lattice
[NO] 25/200 | Are Concept Bottleneck Models Effective as Decision-Support Systems?
[NO] 26/200 | DBcover: A White-box SQL Test Generation Framework for Coverage Improvement
[NO] 27/200 | Combined High-Dimensional and Reduced-Order Modeling Based on an Iterative Domain Decomposition Method
[NO] 28/200 | Physics-Informed Foresight Pruning for Sparse PINN Solvers of Nonlinear PDEs
[NO] 29/200 | EgoArgus: Benchmarking VLMs as Situational Assistants for Modality-Grounded User Supports
[NO] 30/200 | Sequential Magnetic Reconnections in a Fishbone-like Structure Leading to Recurrent Brightenings
[NO] 31/200 | A Hybrid Usability Approach for Rating Evaluation of M-Commerce Applications
[NO] 32/200 | Goodput Maximization for Large Language Model Edge Inference: A Two-Phase Maskable PPO Approach
[NO] 33/200 | Defect states in three-dimensional diamond photonic band gap crystals
[NO] 34/200 | Preconditioning for Diffuse Interface Tumor Growth Models
[NO] 35/200 | Video-IFBench: Evaluating Instruction Following of Multimodal LLMs in Video Understanding Scenarios
[NO] 36/200 | Rare Exclusive Top Decays t , b M and Vector-Meson Helicity
[NO] 37/200 | High-Fidelity Entangled States in a Connectivity-Four Fluxonium Quantum Processor
[NO] 38/200 | CaSKG: Counterfactual-Causal Skill Graphs for Scalable Agent Skill Retrieval
[NO] 39/200 | MMJailBench: A Factorized Benchmark for Disentangling Multimodal Jailbreak Vulnerabilities
[NO] 40/200 | Semi-Supervised Adaptation of Vision-Language Models for Image Classification
[NO] 41/200 | Gaussian Splatting Underwater: A Controlled Cross-Regime Study
[NO] 42/200 | Parity-controlled electron-hole interference in exciton-phonon coupling
[NO] 43/200 | Synthesis of Hopfield Neural Network: Novel Results
[NO] 44/200 | 4DStreamCtrl: Interactive Video Generation with Online 4D Control
[NO] 45/200 | Interpretable Activation-Selection Neural Networks for Symbolic Regression of Parameter-Dependent Hamiltonian Eigenvalues
[NO] 46/200 | Transient multimode heat transfer of an industrial automated tape laying process under rapidly changing conditions
[NO] 47/200 | Hierarchical Shared Memory-Aware Optimization for TRSM on GPU Platforms
[NO] 48/200 | Resolving Multi-Modal Regression by Difference-Quotient-Based Clustering:Fast Coarse Conditional-Label Assignment
[NO] 49/200 | Quasimaps to Nakajima varieties as critical loci
[NO] 50/200 | Candidate supply and answer selection shape the value of LLM judging in multi-agent systems
[NO] 51/200 | When Composition Doesn't Add Up: Humans Identifying Defects in AI-Generated Images
[NO] 52/200 | A place for stabilization alongside tipping cascades: the AMOC-cryosphere system
[NO] 53/200 | An Inverse Lyth Bound for Non-Attractor Inflation
[NO] 54/200 | Forecasting Multiple Observables with SCROLL: Score-Trained Uncertainty for Stochastic Dynamics
[NO] 55/200 | The Cœuré-Loeb example as an open subset of a Stein space
[NO] 56/200 | A Hybrid Security Framework for Mini-Programs: Visual UI Compliance and Network Risk Assessment
[NO] 57/200 | Mode stability for the scalar wave equation on subextremal Kerr-de Sitter spacetimes
[NO] 58/200 | Instability of Böhm's Einstein metrics
[NO] 59/200 | A unified approach to the divergence equation and related functional inequalities
[NO] 60/200 | Vacuum energy problem in anti-de Sitter space
[NO] 61/200 | Precipitation Downscaling Using Foundation Model-Conditioned Diffusion
[NO] 62/200 | Hard-Constrained Sampling on Embedded Riemannian Manifolds via Adjoint Schrödinger Bridges
[NO] 63/200 | Adaptive Nesterov Momentum Method for Electrical Impedance Tomography with the Complete Electrode Model
[NO] 64/200 | Skill Issue: Are Skills Language-Invariant in LLMs?
[NO] 65/200 | Mass-anisotropy driven stripe pattern formation and directional modulational instability in polariton condensate
[NO] 66/200 | Localize-Then-Decide Guarantees for LLM Judgments
[NO] 67/200 | Regularity, quantitative deviation, and non-rigidity of a lacunary skew product
[NO] 68/200 | Canalization Before Generalization: Grokking as a Dynamical Probe
[NO] 69/200 | Beyond Minimum Distance: The Optimal Leading Coefficient in the High-SNR Error-Probability Expansion for AWGN Spherical Codes
[NO] 70/200 | STXM-XANES and TEM analysis of UltraCarbonaceous Antarctic MicroMeteorites (UCAMMs)
[NO] 71/200 | Asymptotic enumeration of minimally transitive permutation groups
[NO] 72/200 | Sequential Stability of the Value Function and the Solution Mapping in Berge's Maximum Theorem via Variational Convergence
[NO] 73/200 | Quantum sampling in hybrid light-matter systems with mixed statistics
[NO] 74/200 | UNION: A Unified AC-OPF Framework for Topology-Varying Real-Time Grid Operation
[NO] 75/200 | LocalLSTC: A Long Short-Term Control Architecture for Locally Deployed GUI Agents
[NO] 76/200 | Pooling Mobility Obscures Epidemic Invasion Routes
[NO] 77/200 | Can circumbinary discs produce the eccentricities of shell-burning stripped giant binaries?
