[2025-12-31 09:14:28] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-30
正在获取论文...
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | Obstacles in Promoting Female Principals in Public Primary Schools to Leadership Positions and the Benefits of ICT in Education Management
[IEEE] 2025-12-30 | A 33-GW Pilgrimage to the Promised Land of Agent Workforce
[IEEE] 2025-12-30 | NaviMap: Partial Order-Guided Neural Architecture via Deep Q-Networks for Efficient CGRA Mapping
[IEEE] 2025-12-30 | MLOps for Advanced Metering Infrastructure Applications
[IEEE] 2025-12-30 | Embedded Real-Time Robotic Perception for Lightweight High-Resolution Weed Detection
[IEEE] 2025-12-30 | Deep Convolutional Neural Network Architectures for Detecting Fake Images
[IEEE] 2025-12-30 | New Methods to Reduce Errors in Precision Polarimetry
[IEEE] 2025-12-30 | Multimodal Dataset Development for Renewable Energy Hoax Detection
[IEEE] 2025-12-30 | Access Frequency-Aware Storage Reduction for Deep Learning Recommendation Model
[IEEE] 2025-12-30 | AI-Powered Comprehensive Code Quality Analyzer Tool
[IEEE] 2025-12-30 | A Behavioral Dynamic Nonlinear Model of ADC via Autoencoder and Fully Connected Neural Network
[IEEE] 2025-12-30 | Mechanism of Driver Emotion Impact on Driving Risk
[IEEE] 2025-12-30 | CogniDrive: A HAAR-Cascade Approach for Smart Driver Monitoring and Safety
[IEEE] 2025-12-30 | A Coordinated Perception Control Simulation Framework Based on Online Evolutive Learning
[IEEE] 2025-12-30 | Prioritisation of Smart Energy Services Integrating Novel Technologies: A Hybrid DEMATEL - Fuzzy VIKOR Approach
[IEEE] 2025-12-30 | A Multi-Agent AI Framework for Agile Workflow Automation, Issue Resolution, and Developer Performance Evaluation
[IEEE] 2025-12-30 | U2GAN: Mask-Weighted Cycle Consistency for Semantic-Preserving Pet Cartoonization
[IEEE] 2025-12-30 | Robust Intelligent Control Strategy Based on Fusion of Fuzzy Logic and Evolutionary Generative Optimization
[IEEE] 2025-12-30 | Consideration of Grid Interruptions in Day-ahead Planning of a Small PV Battery System
[IEEE] 2025-12-30 | Lightweight Neural Network for Real-Time Brain Tumour Identification on Low-Resource Medical Devices
[IEEE] 2025-12-30 | Design and Implementation of Low Power Pop Tracker Circuit
[IEEE] 2025-12-30 | Traveling Wave Propagation Characteristics Analysis And Fault Diagnosis of High Impedance Ground Faults in Traction Networks
[IEEE] 2025-12-30 | Problematic Video Gaming During the Covid-19 Pandemic: A Case Study of Greece
[IEEE] 2025-12-30 | A Wideband Proposal for SKA-Mid Band 345 Feed Package
[IEEE] 2025-12-30 | MAGE Simulations of Thermosphere and Ionosphere Responses to Subauroral Polarization Streams (SAPS)
[IEEE] 2025-12-30 | Research on Mitigation of Mobile Communication Interference at Radio Astronomy Observatories
[IEEE] 2025-12-30 | Discharge Control Strategy of FESS based on Improved Linear Active Disturbance Rejection
[IEEE] 2025-12-30 | Safe Reinforcement Learning Control of High-Speed Maglev Train Levitation System Considering Aerodynamic Lift Force
[IEEE] 2025-12-30 | AI-Enhanced Management of Standard Operating Procedures: An Innovative Approach Integrating Large Language Models and Knowledge Graphs
[IEEE] 2025-12-30 | A Multimodal AI System for Personalized Capsule Wardrobe Generation using Cultural, Climatic and Situational Contexts
[IEEE] 2025-12-30 | Space-Based Solar Power: Optimal Integration of Orbiting Solar Reflectors in Power Grids for Economic and Environmental Benefits
[IEEE] 2025-12-30 | Smart Cow Health Prediction Using IoT, CNN, and LSTM
[IEEE] 2025-12-30 | MALLS: Multi-Agent LLMs for Synthetic Hardware Vulnerability Generation and Detection
[IEEE] 2025-12-30 | Data-Driven Line Parameter Estimation for Unknown Customer Order considering Customer Connection Lines
[IEEE] 2025-12-30 | ATPG-Based Weighted Scan Chain Control for Programmable Low-Power LBIST
[IEEE] 2025-12-30 | Brain Tumor Classification with CNN and K-Means Segmentation
[IEEE] 2025-12-30 | Design and Optimization of a Bufferless On-Chip Network Architecture Based on Physically-Isolated Bidirectional Rings
[IEEE] 2025-12-30 | Design Challenges and Optimization Strategies for High-Speed Connector Test Fixtures
[IEEE] 2025-12-30 | FlexPhys: A Workshop Cookbook for Operationalizing Data Physicalization Research Questions
[IEEE] 2025-12-30 | A Novel Real-Time Dynamic DEA Approach for Decision Support Under Uncertain and Evolving Operational Conditions
[IEEE] 2025-12-30 | Sensitivity Analysis of a 300 MHz Twisted Pair RF Coil for Capturing Conductivity Changes in a Dynamic Anthropomorphic Head Phantom
[IEEE] 2025-12-30 | Dynamic Impact Assessment of Large-Scale Network Systems Based on Graph Convolutional Networks
[IEEE] 2025-12-30 | A Cost-Effective NFC-Based Tap-and-Pay Payment System
[IEEE] 2025-12-30 | Action Key Frame Compression and Accurate Decoding Algorithm Based on Complex Domain Residual Network and Number Theory Spectral Analysis
[IEEE] 2025-12-30 | A Technological Review of Digital Twin-based Co-Simulation Framework for Back Support Exoskeletons in Precision Agriculture
[IEEE] 2025-12-30 | Automatic Morphology Landmark Detection in Marine Biotas: A Systematic Literature Review
[IEEE] 2025-12-30 | Application Progress of Deep Learning Dynamic Pruning and Model Compression Techniques in Medical Image Analysis
[IEEE] 2025-12-30 | Group Identification of Electric Vehicle Users for Stimulating District-Scale Photovoltaic Surplus Power Utilization
[IEEE] 2025-12-30 | Stacking Ensemble Learning for High-Accuracy Classification and Analysis of Darknet Traffic using the CIC-Darknet2020 Dataset
[IEEE] 2025-12-30 | Research on Transformer Fault Diagnosis Method Based on Feature Optimization and SOA-BP Neural Network
[IEEE] 2025-12-30 | Enhanced Hybrid Clustering and BAT-Optimized Deep U-Net for Next-Generation E-Commerce Product Recommendation
[IEEE] 2025-12-30 | Optimal Scheduling of Battery Energy Storage Systems for Minimizing Voltage Violations and Line Congestion in a Distribution Network
[IEEE] 2025-12-30 | A Unified Hierarchical Digital Twin Platform for Synergistic Management of Low-voltage Electrical Network Components
[IEEE] 2025-12-30 | Carbon-Aware Computing: Redesigning Algorithms for a Greener Future
[IEEE] 2025-12-30 | The Lower Ionospheric Response to the Great American Solar Eclipse (April 8, 2024) from Observation by the VLF Receivers Network Deployed Across the Totality Path
[IEEE] 2025-12-30 | Traffic-Electricity Network Coupled Model for Optimal Scheduling of Electric Vehicles under High Penetration of Renewable Energy
[IEEE] 2025-12-30 | A Meta-Learning Framework for Short-Term Wind Power Forecasting with SCADA and Weather Data
[IEEE] 2025-12-30 | Optimization and Characteristic Analysis of Double Stator Magnetic Field Modulation Motor with Auxiliary Teeth and Split Teeth
[IEEE] 2025-12-30 | Design and Analysis of Low Power TSPC-based Serialiser and Deserialiser for On-Chip SerDes Transceivers
[IEEE] 2025-12-30 | Healthcare Security using Federated Learning and Explainable AI with Secure Aggregation
[IEEE] 2025-12-30 | MS-SegFormer: A Lightweight Road Image Segmentation Method Based on Improved SegFormer
[IEEE] 2025-12-30 | Optimal Virtual Power Plant Investment Planning via Time Series Aggregation with Bounded Error
[IEEE] 2025-12-30 | A Transient Stability Analysis Method for Grid-Following and Grid-Forming Hybrid Systems
[IEEE] 2025-12-30 | Adaptive Attention and Ensemble Learning in the Multi-Stage Classification of Alzheimer's Disease
[IEEE] 2025-12-30 | Design and Construction of a 200km/h DWPT System Circular Experimental Platform
[IEEE] 2025-12-30 | Research on Autonomous Line Patrol and Obstacle Avoidance of Robot Dogs Based on Multimodal Perception and Collaborative Grasping System of Robot Arm
[IEEE] 2025-12-30 | Few-shot Learning Diagnosis Method with Semantic of Composite Faults in RF Circuits
[IEEE] 2025-12-30 | Accelerating the take-up of LEVs in emerging markets. Findings from Southeast Asia
[IEEE] 2025-12-30 | Robust Monte Carlo Framework for Optimizing EV Fleet Maintenance: Balancing Stochastic Degradation and Lifecycle Cost
[IEEE] 2025-12-30 | Robust H
                    <sub>∞</sub>
                    Control of PMSG-based Wind Energy System Based on a Dual-purpose Kalman Filter
[IEEE] 2025-12-30 | A Comprehensive Data Model for Resilience Assessment in Industrial Production Systems
[IEEE] 2025-12-30 | A Semi-Analytical Multi-Objective Optimization of Outer-Rotor PM Machines for eVTOL Propulsion Systems
[IEEE] 2025-12-30 | A Comparative Study of SMOTE Preprocessing for Fraud Prediction in Mobile Banking Transactions
[IEEE] 2025-12-30 | MC-INR: Efficient Encoding of Multivariate Scientific Simulation Data using Meta-Learning and Clustered Implicit Neural Representations
[IEEE] 2025-12-30 | New Order Type and Benefit Compensation Model for Utilizing Energy Storage in European Day-Ahead Electricity Markets
[IEEE] 2025-12-30 | Crime Data Prediction using Machine Learning
[IEEE] 2025-12-30 | EMCA-CASNet: Integrating Multi-Scale Convolution and Attention for Multi-View 3D Perception
[IEEE] 2025-12-30 | Adaptive Inverter Frequency Support in Low-Inertia Grids with Varying Synchronous Generation Units
[IEEE] 2025-12-30 | An Amplitude-phase Consistency Test Method Based on apFFT and its Logic Implementation
[IEEE] 2025-12-30 | Calibration of simple transient electric field probe and circuit-based waveform reconstruction
[IEEE] 2025-12-30 | CLSHA-YOLOV8: YOLOV8 Based on Cross-Layer Single-Head Attention for Object Detection in UAV Images
[IEEE] 2025-12-30 | New Services Based on Remote Sensing for Improving Event Prediction and Resilience Enhancement of Critical Infrastructures
[IEEE] 2025-12-30 | TDI: A Trust-Based Distributed Incentive Scheme to Promote Information Propagation
[IEEE] 2025-12-30 | Quantifying the Impact of TLE Ageing on LEO IoT Link Reliability
[IEEE] 2025-12-30 | Learnable Temporal Sparse Memory iTransformer: Revisiting Sparsity and Memory in Transformers
[IEEE] 2025-12-30 | Conformalized Generative Bayesian Imaging: An Uncertainty Quantification Framework for Computational Imaging
[IEEE] 2025-12-30 | Message from the General Chair
[IEEE] 2025-12-30 | Quadrature System Fault-Tolerant Control Based on Dual Phase-Shifting of Current and BEMF for Position Sensorless PMSM Drives With Single-Phase Current Sensor
[IEEE] 2025-12-30 | RASSE 2025 Cover Page
[IEEE] 2025-12-30 | Integrated Minimum Mean Squared Error Algorithms for Combined Acoustic Echo Cancellation and Noise Reduction_supp1-3648802.pdf
[IEEE] 2025-12-30 | ISPCE-ASIA 2025 Cover Page
[IEEE] 2025-12-30 | Distributionally Robust Coordinated Road-Waterway Hydrogen Transport for Low-Carbon Energy Supply in Smart Cities
[IEEE] 2025-12-30 | ICOSST 2025 Author Index
[IEEE] 2025-12-30 | Deep Learning Approaches for Multi-Label Classification of Ophthalmic Diseases: A Systematic Review and Future Directions using Retinal Images
[IEEE] 2025-12-30 | AC-GAN-Based Efficient Image Transmission in the Noisy Channel
[IEEE] 2025-12-30 | Compact Dual-Cavity Horn Antenna for Ku-Band SatCom Systems
[IEEE] 2025-12-30 | Predicting EV Charging Station Load by Applying LSTM Techniques
[IEEE] 2025-12-30 | A Calderon Preconditioner for Large Ground Planes with Arbitrary Contours
[IEEE] 2025-12-30 | CyberHealth Blockchain-Enabled AI System for Securing and Sharing Patient Records in Multi-Hospital Environments
[IEEE] 2025-12-30 | Tool Life Prediction Method Based on TCN-Informer
[IEEE] 2025-12-30 | Towards Robust NILM: A Unified Seq2Point Benchmarking Framework with Balanced Model
[IEEE] 2025-12-30 | Design and Evaluation of Polarization Switching Reflective Electromagnetic Surfaces Across Microwave to Terahertz Bands
[IEEE] 2025-12-30 | Optimization of Mobile Energy Storage Vehicle Dispatch Based on EV Charging Load Prediction
[IEEE] 2025-12-30 | Scenario-Based Threshold Control of Energy Storage Systems for Peak Shaving
[IEEE] 2025-12-30 | Building AI-Ready DevOps Platforms: Operationalizing SageMaker and Bedrock in a Multi-Tenant Cloud
[IEEE] 2025-12-30 | Water Contamination Detection with Machine Learning and WSN
[IEEE] 2025-12-30 | Influence of the Operating Point Determination of Power Flow-Controlling Devices on Congestion Management
[IEEE] 2025-12-30 | Uncertainty Analysis of Relative Intrinsic Error for Non-invasive Tube Voltage Meter in Mammography Diagnosis
[IEEE] 2025-12-30 | Research on Physical Simulation Method for Broadband Impedance of Power Cables Based on LC Cascaded Circuit
[IEEE] 2025-12-30 | Benchmarking Neural Training Approaches for DCOPF: Supervised, Hybrid Physics-Informed, and Unsupervised Physics-Informed
[IEEE] 2025-12-30 | Explainable AI in Healthcare: A Systematic Review of Methods for Interpretable Machine Learning
[IEEE] 2025-12-30 | A Rule-based Algorithm for Cost Benefit Analysis of Household Photovoltaic Plant with Battery Energy Storage System
[IEEE] 2025-12-30 | Judgment as Coordination: A Joint Systems View of Visualization Design Practice
[IEEE] 2025-12-30 | Feature Engineering and Gradient Boosting for Fine-Grained Power Forecasting in Smart Cities
[IEEE] 2025-12-30 | Preservation of the Mechanical Properties of Multimodal Tissue-Mimicking Phantoms
[IEEE] 2025-12-30 | A Novel Detection Method of Rail Insulation Defects based on FFC-Swin-Transformer
[IEEE] 2025-12-30 | Decentralized Orchestration Framework for Distributed AI Deployments across Fluid Computing Environments
[IEEE] 2025-12-30 | TLV-HGNN: Thinking Like a Vertex for Memory-Efficient HGNN Inference
[IEEE] 2025-12-30 | Enhancing Acoustic Data Analysis with the Burg Method: Results and Implications
[IEEE] 2025-12-30 | Liver Tumor Classification in CT Images Using Prognostic Assimilate Learning Classifier (PALC)
[IEEE] 2025-12-30 | CSFS: Enhancing Industrial Threat Detection Performance with Covariate Shift Adaptation and Shap-Powered Feature Selection
[IEEE] 2025-12-30 | A Preliminary Study for a Compensated Large Spherical Reflector Antenna Using Sub-Reflectarrays
[IEEE] 2025-12-30 | GPU Side-Channel Attack Resilience: NIST 2.0 Risk Management and Governance Strategies Assessment
[IEEE] 2025-12-30 | Comparative Evaluation of Random Forest and KNN on Privacy Preserving Synthetic Medical Data Generated By CTGAN
[IEEE] 2025-12-30 | A Broadband Miniature TEM Cell for IC EMC Measurement over 8 GHz
[IEEE] 2025-12-30 | Knowledge-Data Dual-Guidance and Progressive Transfer: A Novel Method for Cross-Condition Fault Diagnosis of Diesel Engines
[IEEE] 2025-12-30 | Deep Learning-Based Classification Framework for Detection of Insomia Sleep Disorder
[IEEE] 2025-12-30 | Field Study of Network Impedance in the Range from 2 kHz to 9 kHz in Japan
[IEEE] 2025-12-30 | A Typology of Data Concepts and Contexts in Clinician-Patient Communication
[IEEE] 2025-12-30 | Speak to Write Assistive Device for People with Writing Disability
[IEEE] 2025-12-30 | Impact of storage systems participating in energy markets on distribution grids
[IEEE] 2025-12-30 | Interface for Operating a Parts Inspection Machine in the Automotive Industry
[IEEE] 2025-12-30 | Energy Planning the Efficient Way: A Multi-Criteria Tool Supporting EE1st-Compliant Regional Energy Planning
[IEEE] 2025-12-30 | Dynamic Matrix Headlight Illumination Strategy for Robust Object Detection in Automated Vehicles
[IEEE] 2025-12-30 | Advantages and FDTD Integration of Focused Beams for RCS Computations
[IEEE] 2025-12-30 | A Novel Approach for Facial Emotion Recognition: Deep CNN Feature Extraction Combined with ML Models
[IEEE] 2025-12-30 | Drone-based Agricultural Weed Detection and Growth Monitoring
[IEEE] 2025-12-30 | Modeling the Evolution of Plasma-Fragments Clouds from Hypervelocity Impacts for Remote Characterization of Small Space Debris
[IEEE] 2025-12-30 | Lightweight Deep Learning Framework for Energy-Efficient Intrusion Detection in Edge Computing Environments
[IEEE] 2025-12-30 | Early Stage Skin cancer Diagnosis with RBFNs: A Feature – based Segmentation and Classification using Deep Learning
[IEEE] 2025-12-30 | The Missing S: Securing the Model Context Protocol
[IEEE] 2025-12-30 | Attention-Enhanced DQN Scheduling for Multi-Link Devices in Synchronous N-STR Wi-Fi 7 Networks
[IEEE] 2025-12-30 | Optimization of the High-Speed Train Grounding System Under Lightning Strike Conditions
[IEEE] 2025-12-30 | Can Experiencing AI-Driven Service Bolster Trust and Engagement in E-Commerce
[IEEE] 2025-12-30 | Policy-Aware Generative AI for Safe, Auditable Data Access Governance
[IEEE] 2025-12-30 | Investigation of the Impact of Constant Magnetic Field on Fixed Balise
[IEEE] 2025-12-30 | Design and Analysis of MEMS Micro-electromagnetic Actuator Based on Genetic Algorithm
[IEEE] 2025-12-30 | A Web-Based Food Ordering Platform- Quickbites using MERN Stack
[IEEE] 2025-12-30 | Antenna Simulation Verification for Low-Frequency Radio Astronomy
[IEEE] 2025-12-30 | Reconfigurable Origami Nonlocal Scatterer for Analog Computing
[IEEE] 2025-12-30 | Interoperability of Grid-Forming Inverters in Microgrids During Faults
[IEEE] 2025-12-30 | Fault Ride-Through Control Strategies for 100% Converter-Based Power Systems in the Presence of Constant PQ Loads
[IEEE] 2025-12-30 | Green AI: A Dynamic Framework for Energy-Efficient Inference on Kubernetes
[IEEE] 2025-12-30 | A Real-Time System for Drowsy and Drunk Driver Detection
[IEEE] 2025-12-30 | Twinax Cables at 448 Gb/s: Challenges and Solutions
[IEEE] 2025-12-30 | AI Driven Self Healing Software Architectures for Automated Code Diagnostics and Repair
[IEEE] 2025-12-30 | Common Tropical Diseases Prediction by Using Machine Learning
[IEEE] 2025-12-30 | Inverse Problems and Qualitative Theory of Three-Dimensional Polynomial Dynamical Systems
[IEEE] 2025-12-30 | Quantum Convolutional Neural Network for Coffee Plant Disease Diagnosis
[IEEE] 2025-12-30 | Distributed Optimization Approaches for Coordinated T&amp;D Generation Expansion Planning
[IEEE] 2025-12-30 | A Wideband S-Domain Algorithm for Microwave Imaging Within Resonant Chambers Using Dispersive Eigenfunction Expansions
[IEEE] 2025-12-30 | Noise Tolerance of Scatterer Information Estimation Method Using the Numerical Data of Backward Transient Scattering Waves
[IEEE] 2025-12-30 | Research on Distributed Communication Algorithm Optimization of Urban Rail Transit CBTC System Simulation Test Platform
[IEEE] 2025-12-30 | Sediment Level Detection and Alert System for Reservoirs
[IEEE] 2025-12-30 | Research on Android Malware Detection Based on Deep Neural Networks
[IEEE] 2025-12-30 | Self-Evolving Middleware for Cyber Threat Detection in Smart IoT Ecosystems Using Cycle-GANs and Bio-Inspired Optimization
[IEEE] 2025-12-30 | Optimization-Based Design of Dielectric-Only Transparent Smart Electromagnetic Surfaces
[IEEE] 2025-12-30 | Comparison of MoM Solvers for Analysing Wire Coupling
[IEEE] 2025-12-30 | Comparative Study of Chatbot Architectures Using LLMs and RAG: Evaluating FAISS-Based Knowledge Retrieval Schemes
[IEEE] 2025-12-30 | Big Data-Driven Trip Duration Prediction in Urban Transportation Systems
[IEEE] 2025-12-30 | SCIGENT: Multi-agent for End-to-end Question Answering on Scientific Knowledge Graph
[IEEE] 2025-12-30 | Edge Computing-Oriented UAV Aerial Image Stitching Based on Adaptive ROI selection and Improved FLANN
[IEEE] 2025-12-30 | An Adaptive Hybrid Deep Learning Framework for Android Malware Detection
[IEEE] 2025-12-30 | Data-Driven Educational Management in Higher Education: Predictive Modeling of Student Learning Outcomes Using Artificial Intelligence
[IEEE] 2025-12-30 | Study on Contact Arc Suppression through Optimizing Catenary Structure
[IEEE] 2025-12-30 | Unsupervised Sparse Imaging in 3D mmWave SAR with Physical Priors
[IEEE] 2025-12-30 | CAMP: Consensus and Inference-driven Decentralized Multi-Agent Path Finding
[IEEE] 2025-12-30 | Robustness Analysis of MPC-based Voltage Control in Distribution Grids Under Uncertainties
[IEEE] 2025-12-30 | Factors Influencing the Success of Early-Stage Digital Startups in Indonesia
[IEEE] 2025-12-30 | Improving Minority Class Detection using Intelligent Undersampling Technique
[IEEE] 2025-12-30 | Research on the Fusion of Deep Learning Algorithms for Intelligent Control of Electromechanical Systems
[IEEE] 2025-12-30 | Research on Automatic Assembly Detection Algorithm of Mechanical Parts Based on Machine Vision
[IEEE] 2025-12-30 | Peak Power Demand in Apartment Buildings: Insights from Smart Meter Data and Building Characteristics
[IEEE] 2025-12-30 | A Novel Transformer-Based Fuzzing Framework for Industrial Control Protocols
[IEEE] 2025-12-30 | Blockchain-Enabled Energy Swarm Protocol for Peer-to-Peer Smart Grid Communications
[IEEE] 2025-12-30 | Market-Driven BESS Operation: Effects on Voltage Stability and Line Loadings in Distribution Grids
[IEEE] 2025-12-30 | IoT-Driven Machine Learning for Pharmaceutical Production Quality Indicators: A Comprehensive Survey
[IEEE] 2025-12-30 | Design and Performance Study of via Interconnection Structures in Multilayer Flexible LCP Circuits
[IEEE] 2025-12-30 | Addressing Uncertain Irrigation Decisions Through a Hybrid Rule and ANN-Based System
[IEEE] 2025-12-30 | Comparative Techno-Economical Analysis on the Effect of Smart and V2G-Enabled Charging Strategies in Transformer Aging
[ACM] 2025-12-30 | Ensembling Membership Inference Attacks Against Tabular Generative Models
[ACM] 2025-12-30 | THINKING ISSUES: An AI Useless Case: A Need for Curricular Cultural Computing Literacy
[IEEE] 2025-12-30 | An Efficient and High-Precision Video Sar Multi-Object Tracker
[IEEE] 2025-12-30 | LNet: Lightweight Network for Driver Attention Estimation via Scene and Gaze Consistency
[IEEE] 2025-12-30 | Zoomer: An APT TTP Recognition System Via Deep &amp; Wide Provenance Graph Learning
[IEEE] 2025-12-30 | Diffusion-Augmented Graph Contrastive Learning for Knowledge-Aware Recommendation
[IEEE] 2025-12-30 | A Fully Integrated Storage-Free Energy Harvesting System With Voltage Self-Regulation and Dual-Channel Power Extraction
[IEEE] 2025-12-30 | An Area-Efficient and Reconfigurable Accelerator for Massive MIMO Systems
[IEEE] 2025-12-30 | Influence of Flat-Wire Winding on Vibration of Permanent Magnet Synchronous Machines
[IEEE] 2025-12-30 | Table of Contents
[IEEE] 2025-12-30 | MSWiM 2025 Author Index
[IEEE] 2025-12-30 | An Autonomous Hexapod Robot With CPG NN- Based Terrain Adaptation Gait and Evolutionary Interpretable Fuzzy Wall-Following Control_supp1-3645588.docx
[IEEE] 2025-12-30 | Resource-Efficient Hybrid Machine Learning Model for IoT SMS Spam Detection
[IEEE] 2025-12-30 | ICoAIT 2025 Breaker Page
[IEEE] 2025-12-30 | Collaborator Selection and Paths to Enhance Exploratory Innovation: Should Inventor Collaboration Seek Common Ground or Preserve Differences?_supp1-3648655.pdf
[IEEE] 2025-12-30 | ICEMI 2025 Cover Page
[IEEE] 2025-12-30 | Table of Contents
[ACM] 2025-12-31 | A Hybrid Architecture for a Secured Health Information Exchange using FHIR, Blockchain, and IPFS
[IEEE] 2025-12-30 | EEG Artifact Detection in Epilepsy Using Hybrid Deep and Machine Learning
[IEEE] 2025-12-30 | Research on the Interpretability of a Mortality Prediction Model for Cardiac Arrest Patients Based on SHAP
[IEEE] 2025-12-30 | Grid-Aware Flexibility Operation of Behind-the-Meter Assets: A review of Objectives and Constraints
[IEEE] 2025-12-30 | SA-CVAE-WGAN: A Method for Simulated Galaxy Image Generation
[IEEE] 2025-12-30 | Synthetic Inertia by a Wind Farm-Electrolyzer Unit: Dynamic Optimal Sizing and Service Provision
[IEEE] 2025-12-30 | Comparative Study of Baseline CNNs and Meta-Learning Approaches on PathMNIST
[IEEE] 2025-12-30 | Goat Weight Recording System with Load Cell and RFID Sensors Using Iot Based Cloud Computing Technology
[IEEE] 2025-12-30 | Human Activity Recognition Leveraging UAV Imagery
[IEEE] 2025-12-30 | An AI-Driven Framework for Personalized Career Path Recommendations
[IEEE] 2025-12-30 | Image Steganography: A Comprehensive Review of Conventional and Modern Techniques
[IEEE] 2025-12-30 | Efficient Anomaly Detection in Big Data using Improved Random Forest Model
[IEEE] 2025-12-30 | Generative AI Performance with DeepSeek: Key Service Quality Attributes from Users
[IEEE] 2025-12-30 | Impact Mechanism and Mitigation Strategy of Pantograph-Catenary Separation on Fault Detection in the Single-Phase Cascaded H-Bridge Rectifier
[IEEE] 2025-12-30 | An Enhanced Convolutional Autoencoder for Multimodel Anomaly Detection
[IEEE] 2025-12-30 | AICAWS: Arithmetic Intensity Based Cache-Conscious Adaptive Warp Scheduler
[IEEE] 2025-12-30 | Unmanned Water Quality Monitoring System Based on Millimeter Wave Radar Obstacle Avoidance
[IEEE] 2025-12-30 | QUESTA: A Hybrid IRT-Thompson Sampling Algorithm for Adaptive Quizzes Applied to Career Recommendation
[IEEE] 2025-12-30 | Wireless Retina Stimulation with Magnetoelectric Nanoparticles
[IEEE] 2025-12-30 | 5G vs 6G: Advances in Cellular Planning and Their Impact on Population Exposure
[IEEE] 2025-12-30 | CNN-based Epileptic Seizure Detection from EEG Signals
[IEEE] 2025-12-30 | Model of Fabry-Perot Resonator with Flat Metal and Dielectric Mirrors
[IEEE] 2025-12-30 | Comparative Analysis of Individual and Collective Self-Consumption Strategies of PV Equipped Prosumers
[IEEE] 2025-12-30 | Fault Ride-Through for Hydrogen Electrolyzers
[IEEE] 2025-12-30 | Research on YOLOv9 Object Detection Algorithm Based on Multi-Attention
[IEEE] 2025-12-30 | Tips: Augment Memory Tagging to Defend Against Prefetcher Side Channels
[IEEE] 2025-12-30 | Design and Deployment of an Educational IoT-Based Micro Ecosystem with micro:bit Integration
[IEEE] 2025-12-30 | Deep Learning-Based Non-Intrusive Load Monitoring for Identification of Distributed Energy Resources in the Presence of Conventional Devices
[IEEE] 2025-12-30 | Secure File Exchange Privacy-Focused Secure File Exchange with Variable-Sized Chunking and Automated Expiry for Scalable Organizational Sharing
