[2026-05-14 11:10:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-13
正在获取论文...
[arXiv] 2026-05-13 | Machine-learning applications for weak-lensing cosmology
[arXiv] 2026-05-13 | Rethinking Generalization in Graph Neural Networks: A Structural Complexity Perspective
[arXiv] 2026-05-13 | Inducing Artificial Uncertainty in Language Models
[arXiv] 2026-05-13 | Benchmarking the Open Science Data Federation services to develop XRootD best practices
[arXiv] 2026-05-13 | Determinantal point processes associated with the Bochner-Schrödinger operator
[arXiv] 2026-05-13 | The number $4/9$ is a non-jump for $3$-graphs
[arXiv] 2026-05-13 | Spatiotemporal downscaling and nowcasting of urban land surface temperatures with deep neural networks
[arXiv] 2026-05-13 | Unexpected Marangoni Condensation in Negative Binary Mixtures
[arXiv] 2026-05-13 | UNIONS-3500 Weak Lensing: I. A Galaxy Shape Catalogue in the Northern Sky
[arXiv] 2026-05-13 | No evidence for phantom crossing: local goodness-of-fit improvements do not persist under global Bayesian model comparison
[arXiv] 2026-05-13 | Temper and Tilt Lead to SLOP: Reward Hacking Mitigation with Inference-Time Alignment
[arXiv] 2026-05-13 | Scaling Retrieval-Augmented Reasoning with Parallel Search and Explicit Merging
[arXiv] 2026-05-13 | Manifold-Aware Information Gain and Lower Bounds for Gaussian-Process Bandits on Riemannian Quotient Spaces
[arXiv] 2026-05-13 | Dependence functions based on Chatterjee's rank correlation
[arXiv] 2026-05-13 | Granite Embedding Multilingual R2 Models
[arXiv] 2026-05-13 | Perfect simulation for interacting Hawkes processes with reset-induced variable length memory
[arXiv] 2026-05-13 | The inertial Itô drift and its applications to particle collision
[arXiv] 2026-05-13 | COOL-LAMPS IX: A Rare Duo of Quasars Each Lensed by a Single Massive Galaxy Cluster
[arXiv] 2026-05-13 | Quantum resolution of the Schwarzschild singularity
[arXiv] 2026-05-13 | Gibbons-Tsarev type systems and Eventual identities
[arXiv] 2026-05-13 | Structural identifiability of partially-observed stochastic processes: from single-particle trajectories to total particle density data
[arXiv] 2026-05-13 | Reward-Weighted On-Policy Distillation with an Open Property-Equivalence Verifier for NL-to-SVA Generation
[arXiv] 2026-05-13 | Sustainable Graph Analytics Workload Scheduling with Evolutionary Reinforcement Learning in Edge-Cloud Systems
[arXiv] 2026-05-13 | Site-selective preparation of two-dimensional dipolar quantum gases in an optical beat-note lattice
[arXiv] 2026-05-13 | Neural Video Compression with Domain Transfer
[arXiv] 2026-05-13 | OSDN: Improving Delta Rule with Provable Online Preconditioning in Linear Attention
[arXiv] 2026-05-13 | DP-KFC: Data-Free Preconditioning for Privacy-Preserving Deep Learning
[arXiv] 2026-05-13 | LLMs as annotators of credibility assessment in Danish asylum decisions: evaluating classification performance and errors beyond aggregated metrics
[arXiv] 2026-05-13 | RotVLA: Rotational Latent Action for Vision-Language-Action Model
[arXiv] 2026-05-13 | Trajectory-Level Data Augmentation for Offline Reinforcement Learning
[arXiv] 2026-05-13 | PreFIQs: Face Image Quality Is What Survives Pruning
[arXiv] 2026-05-13 | Taming the Long Tail: Rebalancing Adversarial Training via Adaptive Perturbation
[arXiv] 2026-05-13 | Note on a magic rectangle set on dihedral group
[arXiv] 2026-05-13 | Tighter relaxations for MAP-MRF optimization via Singleton Arc Consistency
[arXiv] 2026-05-13 | BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning
[arXiv] 2026-05-13 | Retrieval-Augmented Tutoring for Algorithm Tracing and Problem-Solving in AI Education
[arXiv] 2026-05-13 | A Horn extension of DL-Lite with NL data complexity
[arXiv] 2026-05-13 | The Geno-Synthetic Algorithm: Type-Factored Coevolutionary Optimization for Heterogeneous Genotypes and Assembled Phenotypes
[arXiv] 2026-05-13 | Predicting Endocrine Disruptors: A Deep Learning QSAR Model for Estrogen Receptor Activity
[arXiv] 2026-05-13 | Galerkin Approximation of the Fractional Sobolev Constant
[arXiv] 2026-05-13 | Contextual Bandits for Resource-Constrained Devices using Probabilistic Learning
[arXiv] 2026-05-13 | Swarm Network-as-a-Service (SNaaS)
[arXiv] 2026-05-13 | Probing Persona-Dependent Preferences in Language Models
[arXiv] 2026-05-13 | What Limits Vision-and-Language Navigation ?
[ACM] 2026-5-13 | Development of interdigital electrodes for detecting skin impedance
[ACM] 2026-5-13 | Implementation of a Fast-Track Total Hip Replacement Pathway Using the M.A.S.T.E.R. Framework: A Multidisciplinary Quality Improvement Initiative
[ACM] 2026-5-13 | Statistical Modeling of MAternal and Child Health Outcomes in the Philippines:Assessing Socioeconomics and Environmental Determinants of Facilitry-Based Delivery
[ACM] 2026-5-13 | Modeling and Implementation of a Digital Twin System for CNC Machine Tools
[ACM] 2026-5-13 | Fat Block: Narrowing the Boundary of pWCET Analysis on GPU
[ACM] 2026-5-13 | Mobility-Aware Adaptive Access Protocol: A Cross-Layer Framework with Predictive Backoff Optimization for UAV Ad-Hoc Networks
[ACM] 2026-5-13 | Characterizing Digital DRAM PIM through Modeling and Benchmarking
[IEEE] 2026-5-13 | Memristor-Based Immune Neural Network Circuit With Neuromorphic Learning and Self-Repairing and its Application in Industrial Fault Diagnosis
[IEEE] 2026-5-13 | An SDMT-Based CMOS Voltage Reference With a Novel NCC Scheme for PSRR Bandwidth Enhancement
[ACM] 2026-5-14 | Deep Learning-Based Crop Disease Phenotypic Recognition and Resistant Variety Screening Method
[ACM] 2026-5-14 | Increasing Engagement with Med-Chat using Gamification
[ACM] 2026-5-13 | MPA-YOLO: An Automated Detection Algorithm for Asphalt Pavement Distresses on National and Provincial Roads
[ACM] 2026-5-13 | Genetic Synthesis of Compact Quaternary Reversible Comparators for Quantum Computing
[IEEE] 2026-5-13 | EAGLE: A Flexible Heterogeneous Analog Compute-In-Memory Architecture With RISC-V Programmable Multi-Core Accelerators
[ACM] 2026-5-14 | Virtual Reality and Digital Twins for Cyber-Physical Security Education
[ACM] 2026-5-13 | AI-Driven Intelligent Analysis and Narrative Structure Generation for Documentary Content
[ACM] 2026-5-13 | Design and Development of an OTA Remote Upgrade System: A Case Study on Fully Electric Autonomous Buses
[ACM] 2026-5-14 | Operationalising DAO Sustainability KPIs: A Multi-Chain Dashboard for Governance Analytics
[ACM] 2026-5-14 | Single-Cell Sequencing Reveals the Interplay Between Microbiota, Zinc Metabolism, and Immune Dysregulation in Pancreatic Ductal Adenocarcinoma
[ACM] 2026-5-13 | Proceedings of the 2025 9th International Conference on Computational Biology and Bioinformatics
[ACM] 2026-5-13 | Research on Anti-Jitter End-to-End Autonomous Driving Decision and Control Based on Policy Distillation
[ACM] 2026-5-13 | Research on Flexibility Resource Capacity Market Trading Mechanisms Based on Multi-Dimensional Classification
[ACM] 2026-5-13 | Knowledge Graph Construction and Applications for the Protection of the Ming Xianling Mausoleum
[ACM] 2026-5-13 | Software Fault Localization Method Based on Reinforcement Learning and Graph Neural Network
[ACM] 2026-5-14 | How Does Peer Tipping Affect Knowledge Contributions? Evidence from a Field Experiment on Stack Overflow
[ACM] 2026-5-13 | Emulation of the blood flow in the carotid, brachial, and coronary arteries by driving the pump of an emulator phantom using a system based on the mean flow velocity of arterial curves
[ACM] 2026-5-13 | Reduction of Episiotomies in the Birth Pathway: Application of the M.A.S.T.E.R. Methodology at the Evangelical Betania Hospital
[ACM] 2026-5-13 | Algorithm for Analyzing Spatial Heterogeneity in the Costs of Ecological Restoration Projects For Photovoltaic Power Stations
[ACM] 2026-5-13 | A Comparative Study of Multimodal Social Media Sentiment Analysis Across Different Fusion Strategies
[ACM] 2026-5-14 | Citizen Sentiment and Public Value in AI-Mediated Public Services: A Case Study of a Ministry Chatbot
[ACM] 2026-5-14 | Advancing LLM-Based Issue Report Classification with Explained Few-Shot Learning, Intent Extraction, Ensemble, and Summarization
[IEEE] 2026-5-13 | MeanCut: Greedy graph clustering by fast maximum spanning tree and degree descent criterion_supp1-3692651.pdf
[IEEE] 2026-5-13 | Nonparametric Control Koopman Operators
[ACM] 2026-5-13 | Egoism Unbound: Communication Corner No. 75
[ACM] 2026-5-13 | Bridging Code Property Graphs and Language Models for Program Analysis
[ACM] 2026-5-13 | Modeling the Transformation Path of the Accounting Profession under Artificial Intelligence: A Data-Driven and Explainable Learning Framework
[ACM] 2026-5-13 | A Resource-Efficient Canny Edge Detection Algorithm on FPGA for Railway Container Inspection
[ACM] 2026-5-13 | Proceedings of the 2026 IEEE/ACM 3rd International Flaky Tests Workshop
[IEEE] 2026-5-13 | A Compact Slew-Rate-Enhanced Class-AB Buffer Amplifier Using Internal Current Reuse for Display Column Drivers
[ACM] 2026-5-14 | Enhancing Learning Motivation of Engineering Students via Minecraft: Incorporating an Embedded AI Agent
[ACM] 2026-5-13 | A Modular Fusion Neural Network Approach to Efficiently Predict Multi-Metal Binding Sites in Protein Sequences
[ACM] 2026-5-13 | A Survey and Empirical Benchmarking of Grading Methods for Interactive Autonomous Driving Scenarios
[ACM] 2026-5-13 | LLMs in Code Vulnerability Analysis: A Proof of Concept
[IEEE] 2026-5-13 | In-Situ Electric Field-Assisted Preparation of SiC/Epoxy Composite Coatings with Oriented Filler Structure_supp1-3691698.mp4
[ACM] 2026-5-13 | Path planning for urban low-altitude drones based on deep reinforcement learning
[ACM] 2026-5-13 | Dynamic Preview Distance Based Trajectory Optimization for Lane Level Path Generation in Complex Intersections
[ACM] 2026-5-13 | A Hybrid Spatio-Temporal Traffic Monitoring System based on Optimized YOLOv8 and Virtual Induction Loops
[IEEE] 2026-5-13 | Parametric Modeling and GPR Imaging of Planetary Lava Tubes Constrained by Terrestrial Analogs_supp1-3692190.pdf
[ACM] 2026-5-13 | Face Recognition on Mask-Occluded Faces Using Periocular Trait and Eye Blinking as Identity Biometrics
[ACM] 2026-5-13 | M.A.S.T.E.R. Framework Applications for Enhancing Laparoscopic Surgery Efficiency
[ACM] 2026-5-13 | Transcriptomic profiling of immune cells in pancreatic cancer
[ACM] 2026-5-13 | From Metric-Driven Assessment to Ethics-Embedded Evaluation: A Computer-Aided AHP Framework for Restorative Design in Traditional Craft Villages
[ACM] 2026-5-13 | Proceedings of the 2026 International Conference on Artificial Intelligence and Digital Services
[IEEE] 2026-5-13 | Edge Feature Enhancement and Multi-scale Convolutional Kernel Selection Aggregation for Fine-grained Ship Detection
[ACM] 2026-5-13 | Simultaneous Reconstruction of Attenuation and Activity Images in TOF-PET Based on Adaptive Multi-Scale Median Root Prior
[ACM] 2026-5-13 | Reducing Time-to-Surgery in Elderly Patients with Proximal Femur Fractures: A Quality Improvement Initiative Using the M.A.S.T.E.R. Framework
[ACM] 2026-5-13 | Investigation on the influence of target parameters and interference on target detection using rose line scanning technique
[ACM] 2026-5-13 | Research on Digital Transformation of Tie-dye Fabric Based on Style3D and SVM Algorithm
[IEEE] 2026-5-13 | Game of Coding: Coding Theory in the Presence of Rational Adversaries, Motivated by Decentralized Machine Learning
[ACM] 2026-5-14 | Personalized Wellness at Scale: A Framework for Designing AI-Driven Feedback in mHealth
[ACM] 2026-5-14 | FURINA: A Multi-Agent Framework for Automated Patch Correctness Assessment
[ACM] 2026-5-13 | Neo-antigen prediction using Mixture of Experts for HLA-peptides interactions with multi-factors incorporated
[IEEE] 2026-5-13 | MG-HOF Net: Multi-Granularity and High-Order Fusion Network for Hyperspectral and LiDAR Classification_supp1-3691834.png
[ACM] 2026-5-13 | Iterative Interpolation Schedules for Quantum Approximate Optimization Algorithm
[ACM] 2026-5-13 | Research and Development of a Domestic Autonomous Driving Platform for Special Industrial Scenarios Driven by Multi - sensor Fusion
[ACM] 2026-5-14 | When AI Changes the Work: A Theory of Task Evolution
[ACM] 2026-5-14 | Creepy or Not: When AI Remember Too Much
[ACM] 2026-5-14 | EaSFE: Scalable and Efficient Feature Engineering for Boosting Machine Learning Performance
[ACM] 2026-5-13 | CMCF: A Confidence-aware Multi-feature Fusion Correlation Filter for Visual Tracking
[ACM] 2026-5-13 | Optimization of Postoperative Care and Discharge Process for Cesarean Sections with Complications
[ACM] 2026-5-13 | Texture-Aware Remeshing for Texture-aware Geometry Processing
[ACM] 2026-5-14 | Reconceptualizing Assessment for Human–AI Synergy in Information Systems Education
[ACM] 2026-5-14 | Memristive Binary Firefly Algorithm with Orthogonal Crossing
[ACM] 2026-5-14 | From Exploration to Revelation: App-Level Context-Aware Deceptive Pattern Detection for Mobile Applications
[ACM] 2026-5-13 | Analysis and Processing of Non-Contact Multimodal Physiological Signals for Sleep Monitoring
[ACM] 2026-5-13 | Tidal-Lane Adjustable Road Wrong-Way Driving Early Warning and Detection System
[ACM] 2026-5-13 | Research on the Reconstruction Mechanism of Typical Morphologies in Intelligent Vehicles
[ACM] 2026-5-13 | Conversational Agents in Augmented Reality: A Systematic Review
[IEEE] 2026-5-13 | Enhancing Blockchain Proof of Stake With Active Weighted Signatures: The ADAPT Framework
[IEEE] 2026-5-13 | Adversarial Domain Alignment Improves Root Biomass Prediction from SkySat Imagery
[IEEE] 2026-5-13 | Machine Learning and Deep Learning-Based Condition Assessment of Outdoor Ceramic Insulators: A Comprehensive Review
[ACM] 2026-5-14 | Understanding Motivation to Lead in IT through Individual Traits and Gender Policy Perceptions
[IEEE] 2026-5-13 | Advanced safety filter based on SOS Control Barrier and Lyapunov Functions
[ACM] 2026-5-13 | ADE-CAN: An Asymmetric Dual-Encoder Cross-Attention Network for Lung Nodule Malignancy Prediction by Fusing Nodule and Peri-nodular Features
[ACM] 2026-5-13 | Multimodal Graph Contrastive Learning for Paper Recommendation
[ACM] 2026-5-13 | Research on Pathways for Empowering Red Tourism E-Commerce in Jilin Province through Artificial Intelligence Recommendation Algorithms
[ACM] 2026-5-13 | A Vibrotactile Obstacle Avoidance System for Profound Blindness using Ultrasonic Rangefinders
[ACM] 2026-5-13 | A Wearable System for Real-Time Spinal Curvature Monitoring and Postural Correction Using Motion Sensors and Data-Driven Feedback
[IEEE] 2026-5-13 | A Study of the Removability of Speaker-Adversarial Perturbations
[IEEE] 2026-5-13 | Efficient NoC for Embedded Heterogeneous Multi-Core DSPs
[ACM] 2026-5-14 | Autistic Traits and IT Workforce Formation: A Large-Sample Study Across Business Majors
[ACM] 2026-5-14 | Project Management Maturity in Game Development
[ACM] 2026-5-13 | Using SynNotch CAR-T as A Shuttle Delivering Genetically Modified oHSV Leads to Expression of HAV Antigens on SCLCs to Redirect Vaccine Induced Memory T Cell Response to Tumors
[ACM] 2026-5-13 | Optimization Strategies in Deep Learning Models for ECG Classification
[ACM] 2026-5-13 | Proceedings of the 2026 International Conference on Cybersecurity and Edge Computing
[ACM] 2026-5-13 | A sparse point cloud semantic segmentation diffusion network based on mask guidance and window attention
[ACM] 2026-5-13 | Flaky Tests in a Large Industrial Database Management System: An Empirical Study of Fixed Issue Reports for SAP HANA
[ACM] 2026-5-14 | A Comparative Study of Bone Age Prediction: Traditional Regression Methods vs Convolutional Neural Networks
[IEEE] 2026-5-13 | An Event-Driven Dual-Mode 1280×1024 Cryogenic Infrared Vision Sensor for Adaptive Energy-Efficient Motion Perception
[IEEE] 2026-5-13 | SWD-Net: A Benchmark Dataset for Small Water Body Detection from Very High-Resolution Imagery
共写入 200 条记录，保存到 papers/paper2026-05-13.json。
论文获取成功，文件路径: papers/paper2026-05-13.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Machine-learning applications for weak-lensing cosmology
[NO] 2/200 | Quantifying LLM Safety Degradation Under Repeated Attacks Using Survival Analysis
[NO] 3/200 | A study on Type-2 isomorphic circulant graphs. Part 6: Abelian groups $(T2_{n,m}(C_n(R)), \circ)$ and $(V_{n,m}(C_n(R)), \circ)$
[NO] 4/200 | Eventual sign coherence
[NO] 5/200 | Wall accumulation of confined active Janus colloids due to effective active diffusivity
[NO] 6/200 | PRISM: Perinuclear Ring-based Image Segmentation Method for Acute Lymphoblastic Leukemia Classification
[NO] 7/200 | Commuting maps of inflated algebras
[NO] 8/200 | HE-PIM: Demystifying Homomorphic Operations on a Real-world Processing-in-Memory System
[NO] 9/200 | PROMETHEUS: Automating Deep Causal Research Integrating Text, Data and Models
[NO] 10/200 | State-of-art minibatches via novel DPP kernels: discretization, wavelets, and rough objectives
[NO] 11/200 | SECOND-Grasp: Semantic Contact-guided Dexterous Grasping
[NO] 12/200 | QCIVET: A Quantum--Classical Pipeline Integrity Framework with Contract-Based Subtype Verification and Hash-Chained Audit Traces
[NO] 13/200 | Orbits of subgroups of codimension one to four of the Iwahori group in the affine flag variety of $\text{SL}_2$
[NO] 14/200 | Apparent Ferroelectric Polarization Hysteresis and a Simple Method to Observe Piezoelectric Strain Loops with a Microphone
[NO] 15/200 | TouchAnything: A Dataset and Framework for Bimanual Tactile Estimation from Egocentric Video
[NO] 16/200 | Spectral Flattening Is All Muon Needs: How Orthogonalization Controls Learning Rate and Convergence
[NO] 17/200 | TruncProof: A Guardrail for LLM-based JSON Generation under Token-Length Constraints
[NO] 18/200 | HarmoGS: Robust 3D Gaussian Splatting in the Wild via Conflict-Aware Gradient Harmonization
[NO] 19/200 | FiTS: Interpretable Spiking Neurons via Frequency Selectivity and Temporal Shaping
[NO] 20/200 | Not All Anquan Is the Same: A Terminological Proposal for Chinese Computer Science and Engineering
[NO] 21/200 | Quantized Transport in Floquet Topological Insulators
[NO] 22/200 | Non-arithmeticity of length spectra of subgroups of mapping class groups
[NO] 23/200 | Rotational energy levels in the ground vibrational state of methane with kHz-level accuracy from comb-referenced double-resonance and Lamb-dip spectroscopies
[NO] 24/200 | BrainAnytime: Anatomy-Aware Cross-Modal Pretraining for Brain Image Analysis with Arbitrary Modality Availability
[NO] 25/200 | The Cost of Perfect English: Pragmatic Flattening and the Erasure of Authorial Voice in L2 Writing Supported by GenAI
[NO] 26/200 | Bridging Domain Gaps with Target-Aligned Generation for Offline Reinforcement Learning
[NO] 27/200 | Revealing the Gap in Human and VLM Scene Perception through Counterfactual Semantic Saliency
[NO] 28/200 | CoGE: Sim-to-Real Online Geometric Estimation for Monocular Colonoscopy
[NO] 29/200 | Local Conformal Calibration of Dynamics Uncertainty from Semantic Images
[NO] 30/200 | A General Bézier Tree Encoding Counterfactual Framework for Retinal-Vessel-Mediated Disease Analysis
[NO] 31/200 | Quantum dynamics of two $XX$ interacting PT-symmetric non-Hermitian qubits: enhancement of quantum annealing
[YES] 32/200 | Geometry-Aware Multi-Armed Bandits for Antenna Beam Selection on Spheres, Tori, $\SO(3)$, and Reconfigurable Intelligent Surfaces
[NO] 33/200 | A Persistence-Aware Framework for Age Violation Control in Wireless Status Update Systems
[YES] 34/200 | Grouped Annulus-Modulated Transceiver Is Almost Full DoF-Achieving for RIS-Assisted Symbiotic Radios Over Spatial-Correlated Channels
[NO] 35/200 | Implicit Behavioral Decoding from Next-Step Spike Forecasts at Population Scale
[NO] 36/200 | Protocol-Driven Development: Governing Generated Software Through Invariants and Evidence
[NO] 37/200 | Distributionally Robust Safety Under Arbitrary Uncertainties: A Safety Filtering Approach
[NO] 38/200 | A Spatially Resolved HI Survey of Seyfert Galaxies: the Role of AGN Feedback in Shaping Atomic Gas Reservoirs
[NO] 39/200 | Revisiting Reinforcement Learning with Verifiable Rewards from a Contrastive Perspective
[NO] 40/200 | DiM\textsuperscript{3}: Bridging Multilingual and Multimodal Models via Direction- and Magnitude-Aware Merging
[NO] 41/200 | Discovery-Oriented Faceting: From Coverage to Blind-Spot Discovery
[NO] 42/200 | Terahertz detection within charge density wave state
[NO] 43/200 | From Compression to Accountability: Harmless Copyright Protection for Dataset Distillation
[NO] 44/200 | DirectTryOn: One-Step Virtual Try-On via Straightened Conditional Transport
[NO] 45/200 | CRePE: Curved Ray Expectation Positional Encoding for Unified-Camera-Controlled Video Generation
[NO] 46/200 | AuraMask: An Extensible Pipeline for Developing Aesthetic Anti-Facial Recognition Image Filters
[NO] 47/200 | Jets from Scratch: A 3D Dynamo Origin of Long Gamma-Ray Burst Jets
[NO] 48/200 | The Efficiency Gap in Byte Modeling
[NO] 49/200 | ThermalTap: Passive Application Fingerprinting in VR Headsets via Thermal Side Channels
[NO] 50/200 | MIRACLE_Multi-Agent Intelligent Regulation to Advance Collaborative Learning Environment
[NO] 51/200 | GuardMarkGS: Unified Ownership Tracing and Edit Deterrence for 3D Gaussian Splatting
[NO] 52/200 | Revisiting DAgger in the Era of LLM-Agents
[NO] 53/200 | A Bayesian Adaptive Latent Mixture Model for Zero-Inflated Weighted Brain Connectome Analysis
[NO] 54/200 | Large Language Models for AI-Assisted Radiotherapy Scheduling: A Feasibility Study Under Realistic Operational Constraints
[NO] 55/200 | Tensor-Lifted Multivariate Functional Calculus Beyond Commutativity and Boundedness
[NO] 56/200 | Competing Effect of Biquadratic and Heisenberg Coupling on Magnetic Tunnel Junction Molecular Spintronics Devices
[NO] 57/200 | Mixing and Small-Scale Formation in a Passive Divergence-Free Vector Field
[NO] 58/200 | Rethinking Generalization in Graph Neural Networks: A Structural Complexity Perspective
[NO] 59/200 | Inducing Artificial Uncertainty in Language Models
[NO] 60/200 | Benchmarking the Open Science Data Federation services to develop XRootD best practices
[NO] 61/200 | Determinantal point processes associated with the Bochner-Schrödinger operator
[NO] 62/200 | The number $4/9$ is a non-jump for $3$-graphs
[NO] 63/200 | Spatiotemporal downscaling and nowcasting of urban land surface temperatures with deep neural networks
[NO] 64/200 | Unexpected Marangoni Condensation in Negative Binary Mixtures
[NO] 65/200 | UNIONS-3500 Weak Lensing: I. A Galaxy Shape Catalogue in the Northern Sky
[NO] 66/200 | No evidence for phantom crossing: local goodness-of-fit improvements do not persist under global Bayesian model comparison
[NO] 67/200 | Temper and Tilt Lead to SLOP: Reward Hacking Mitigation with Inference-Time Alignment
