[2026-04-16 10:11:40] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-15
正在获取论文...
[arXiv] 2026-04-15 | A lower bound on the Calabi functional for a degeneration of polarized varieties
[arXiv] 2026-04-15 | Gradient Descent's Last Iterate is Often (slightly) Suboptimal
[arXiv] 2026-04-15 | Robust parameter inference for Taiji via time-frequency contrastive learning and normalizing flows
[arXiv] 2026-04-15 | Dark energy, spatial curvature, and star formation efficiency from JWST photometric and spectroscopic high-redshift galaxies
[arXiv] 2026-04-15 | "AI Psychosis" in Context: How Conversation History Shapes LLM Responses to Delusional Beliefs
[arXiv] 2026-04-15 | On phase separation and crystallization of Ge-rich GeSbTe alloys from atomistic simulations with a machine learning interatomic potential
[arXiv] 2026-04-15 | Gravitational emissions and light curves of quasi-periodic orbits in Schwarzschild spacetime embedded in a Dehnen-type dark matter halo
[arXiv] 2026-04-15 | Mumford vanishing for threefolds in positive characteristic
[arXiv] 2026-04-15 | UI-Copilot: Advancing Long-Horizon GUI Automation via Tool-Integrated Policy Optimization
[arXiv] 2026-04-15 | Cognitive Offloading in Agile Teams: How Artificial Intelligence Reshapes Risk Assessment and Planning Quality
[arXiv] 2026-04-15 | A Universal Textual Merge Strategy Based on Tokens for Version Control Systems
[arXiv] 2026-04-15 | Symbolic computation in cubic Jordan matrix algebras and in related structures
[arXiv] 2026-04-15 | Uplink Single-Snapshot Frugal SLAM in Phase-Coherent Distributed MIMO Systems
[arXiv] 2026-04-15 | Gaslight, Gatekeep, V1-V3: Early Visual Cortex Alignment Shields Vision-Language Models from Sycophantic Manipulation
[arXiv] 2026-04-15 | EmbodiedClaw: Conversational Workflow Execution for Embodied AI Development
[arXiv] 2026-04-15 | QuantileMark: A Message-Symmetric Multi-bit Watermark for LLMs
[arXiv] 2026-04-15 | On the discrete Painlevé equivalence problem, non-conjugate translations and nodal curves
[arXiv] 2026-04-15 | On Exponentially Long Prethermalization Timescales in Isolated Quantum Systems
[arXiv] 2026-04-15 | JOYS$+$: A JWST/MIRI survey of the evolution of H$_2$ winds and jets from low-mass protostars
[arXiv] 2026-04-15 | Design and Behavior of Sparse Mixture-of-Experts Layers in CNN-based Semantic Segmentation
[arXiv] 2026-04-15 | MedRCube: A Multidimensional Framework for Fine-Grained and In-Depth Evaluation of MLLMs in Medical Imaging
[arXiv] 2026-04-15 | A representation and comparison of three cubic macro-elements
[arXiv] 2026-04-15 | Critical point search and linear response theory for computing electronic excitation energies of molecular systems. Part II. CASSCF
[arXiv] 2026-04-15 | A Generalized Method for Spatial Operations on Physical Properties of Matter
[arXiv] 2026-04-15 | A Variable-Spot-Size and Multi-Frequency Square-Pulsed Source (SPS) Approach for Comprehensive Characterization of Anisotropic Thermal Transport Properties in Multilayered Thin Films
[arXiv] 2026-04-15 | OffloadFS: Leveraging Disaggregated Storage for Computation Offloading
[arXiv] 2026-04-15 | Universal thermometry of solid-liquid interfacial thermal conductance
[arXiv] 2026-04-15 | Online learning with noisy side observations
[arXiv] 2026-04-15 | ReConText3D: Replay-based Continual Text-to-3D Generation
[arXiv] 2026-04-15 | Hybrid Retrieval for COVID-19 Literature: Comparing Rank Fusion and Projection Fusion with Diversity Reranking
[arXiv] 2026-04-15 | Granularity-Aware Transfer for Tree Instance Segmentation in Synthetic and Real Forests
[arXiv] 2026-04-15 | Context-Aware CSI Prediction for Access Point Selection Utilizing Conditional VAEs
[arXiv] 2026-04-15 | Adaptive Sample Size Simulations with R package adsasi
[arXiv] 2026-04-15 | Data-Driven Probabilistic Finite $\mathcal{L}_2$-Gain Stabilization of Stochastic Linear Systems
[arXiv] 2026-04-15 | Precision tests of analytical tail-term approximations for radiation reaction in Schwarzschild spacetime
[arXiv] 2026-04-15 | From Pixels to Nucleotides: End-to-End Token-Based Video Compression for DNA Storage
[arXiv] 2026-04-15 | Automatically Inferring Teachers' Geometric Content Knowledge: A Skills Based Approach
[arXiv] 2026-04-15 | Vision-and-Language Navigation for UAVs: Progress, Challenges, and a Research Roadmap
[arXiv] 2026-04-15 | Precision Studies of the $η_c$ decay at BESIII
[arXiv] 2026-04-15 | Figma2Code: Automating Multimodal Design to Code in the Wild
[arXiv] 2026-04-15 | Strain-Mediated Lattice Reconstruction Enhances Ferromagnetism in Cr2Ge2Te6/WTe2 van der Waals Heterobilayers
[arXiv] 2026-04-15 | Topology Estimation for Open Multi-Agent Systems
[arXiv] 2026-04-15 | Fast Neutrino-Flavor Conversion with Attenuation and Global Lepton Gradient
[arXiv] 2026-04-15 | V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution
[arXiv] 2026-04-15 | What Are We Really Measuring? Rethinking Dataset Bias in Web-Scale Natural Image Collections via Unsupervised Semantic Clustering
[arXiv] 2026-04-15 | Golden Handcuffs make safer AI agents
[arXiv] 2026-04-15 | On the Design of Stochastic Electricity Auctions
[arXiv] 2026-04-15 | Unfolding unstable skyrmionic polarization textures
[arXiv] 2026-04-15 | SAKURAONE: An Open Ethernet-Based AI HPC System and Its Observed Workload Dynamics in a Single-Tenant LLM Development Environment
[arXiv] 2026-04-15 | Enhancing Reinforcement Learning for Radiology Report Generation with Evidence-aware Rewards and Self-correcting Preference Learning
[arXiv] 2026-04-15 | Efficient Multi-View 3D Object Detection by Dynamic Token Selection and Fine-Tuning
[arXiv] 2026-04-15 | SocialMirror: Reconstructing 3D Human Interaction Behaviors from Monocular Videos with Semantic and Geometric Guidance
[arXiv] 2026-04-15 | Investigating the effect of sensitivity of KAGRA on sky localization of gravitational-wave sources from compact binary coalescences
[arXiv] 2026-04-15 | From Transfer to Collaboration: A Federated Framework for Cross-Market Sequential Recommendation
[arXiv] 2026-04-15 | Active Beyond-Diagonal Reconfigurable Intelligent Surface with Hybrid Transmitting and Reflecting Mode
[arXiv] 2026-04-15 | Semidefinite relaxations for nonlinear elasticity with energies convex in the Cauchy-Green strain tensor
[arXiv] 2026-04-15 | Covariance-Informed Subspace: an Adaptive Gradient-Free Input Dimension Reduction Method for Bayesian Inference
[arXiv] 2026-04-15 | Training-Free Test-Time Contrastive Learning for Large Language Models
[arXiv] 2026-04-15 | Damped nonlinear Ginzburg-Landau equation with saturation. Part I. Existence of solutions on general domains
[arXiv] 2026-04-15 | Reconstructing inflationary features on large scales using genetic algorithm
[arXiv] 2026-04-15 | Relative plausibility versus probabilism: A level-of-analysis error in juridical proof
[arXiv] 2026-04-15 | Synthesizing Instruction-Tuning Datasets with Contrastive Decoding
[arXiv] 2026-04-15 | Racing to Release: Priority, Congestion, and Community Recognition in Open-Source LLM Ecosystems
[arXiv] 2026-04-15 | Don't Let AI Agents YOLO Your Files: Shifting Information and Control to Filesystems for Agent Safety and Autonomy
[IEEE] 2026-4-15 | Beyond Convolutions: a Performance-Efficiency Analysis of Vision Transformers for Skin Lesion Classification
[IEEE] 2026-4-15 | HRNG and Hard Haptic Response Based Personalized PIN System Immune to Shoulder Surfing
[IEEE] 2026-4-15 | ScaffSmart: Deep Learning Based Real-Time Scaffolding Inventory Management
[IEEE] 2026-4-15 | A Novel UAV Formation Control Strategy: Combining Virtual Target Points and Auxiliary Forces
[IEEE] 2026-4-15 | Optimized Adaptive Multiobjective Evolutionary Algorithm for Cognitive Radio Resource Scheduling Using Deep Neural Network
[IEEE] 2026-4-15 | Copyright Page
[IEEE] 2026-4-15 | AI-Driven Personal Finance Systems: Methods, Limitations, and Open Challenges
[IEEE] 2026-4-15 | Optimization of EKF Noise Covariance Matrix and PMSM Parameter Identification Based on Firefly Optimization Algorithm
[IEEE] 2026-4-15 | Smart Energy Monitoring: A Case Study on PLC Based Data Acquisition and Python Analytics
[IEEE] 2026-4-15 | A Metadata Driven Approach to Quantify and Overcome Data Fragmentation in Crop Models
[IEEE] 2026-4-15 | Analyzing Bitcoin's Intraday Variance Using LSTM, GARCH and Hybrid Model
[IEEE] 2026-4-15 | Optimized Fault Location in STATCOM-Integrated Transmission Networks Using Binary Quantum Walrus Optimizer (BQWO)
[IEEE] 2026-4-15 | Hybrid Deep Learning Framework for ECG Based Human Identification
[IEEE] 2026-4-15 | XAI for Agriculture: Low-Complexity AI Solutions for Real-Time Plant Health Monitoring
[IEEE] 2026-4-15 | CrimeSketch AI: Text-To-Image Synthesis for Criminal Identification Using Deep Learning
[IEEE] 2026-4-15 | Risks Associated with Cloud Computing and Data Security: A Comprehensive Analysis
[IEEE] 2026-4-15 | A Review on AI-Based Cyber Threat Detection in Internet of Medical Things (Io-MT) Networks
[IEEE] 2026-4-15 | Analysis of Solar Based Domestic Induction Heating Using Class D Converter
[IEEE] 2026-4-15 | Smart Illumination: Utilizing AI for Early Fault Detection in Lighting Systems
[IEEE] 2026-4-15 | A Novel Fastening Device with Precision Adjustment for Drainage Lines in Electric Power Systems: Precision-Adjustable Fastener for Power System Drainage Lines
[IEEE] 2026-4-15 | Fault Diagnosis and Identification for Stator Winding Faults of Induction Motor using Wavelet-Alienation based Algorithm
[IEEE] 2026-4-15 | Radiative Cooling for Enhanced Efficiency in Outdoor LED Lighting Systems
[IEEE] 2026-4-15 | Fast and Memory-Efficient 4SQR-Code Decoding Using Histogram Analysis
[IEEE] 2026-4-15 | Exploring Factors Affecting Entrepreneurs' Intention towards Adoption of Artificial Intelligence (AI): Using an Extended TOE Framework
[IEEE] 2026-4-15 | Forecast-Driven Gait Cycle Analysis and Performance Monitoring Using a CNN-Based Intelligent Framework
[IEEE] 2026-4-15 | High-Resolution Spectral Construction and Separation from Low-Cost, Low-Resolution Sensor Data
[IEEE] 2026-4-15 | Dual Boost Modified DC-DC Converter for Fuel Cell Fed PMSM Application
[IEEE] 2026-4-15 | Coordinated Interaction Strategy of Source-Grid-Load-Storage Based on Transformer Stability
[IEEE] 2026-4-15 | Integrating Deep Reinforcement Learning with AI Algorithms for Optimal Path Planning of Indoor Handling Robots
[IEEE] 2026-4-15 | Design and Implementation of a Line Array CMOS High-Speed Acquisition System Using FPGA
[IEEE] 2026-4-15 | Dynamic Calibration Method of Torque Sensor Based on Parameter Identification Technology
[IEEE] 2026-4-15 | Detecting PMSM Current-Sensor Offset Faults from the Battery Current Signature
[IEEE] 2026-4-15 | Research on Deep Learning-Based Methods for Detecting Broken Strand Defects in Ground Wires
[IEEE] 2026-4-15 | FedFall: A Federated Transfer Learning Framework for Privacy-Aware Fall Detection in Elderly Care using IoT-Edge Devices
[IEEE] 2026-4-15 | BhashaHMPV: Multilingual HMPV News Articles Dataset for Indian Regional Languages
[IEEE] 2026-4-15 | Front Cover Page
[IEEE] 2026-4-15 | Global Path Planning for Unmanned Surface Vehicles Based on Line-of-Sight Guidance
[IEEE] 2026-4-15 | Early Detection of Varicose Veins Using Vision Transformers in Deep Learning
[IEEE] 2026-4-15 | Blockchain-Enabled Multi-Dimensional Trust Evolution and Adversarial Resilience Mechanisms in Flying Ad Hoc Networks
[IEEE] 2026-4-15 | An Explainable Machine Learning Approach for Agricultural Crop Recommendation
[IEEE] 2026-4-15 | Frequency Response Modeling and Analysis of Variable Speed Pumped Storage
[IEEE] 2026-4-15 | An Implementation Framework for Application Aware CDN
[IEEE] 2026-4-15 | Fault Diagnosis Model for Photovoltaic Arrays Using an Improved Particle Swarm Optimization Algorithm
[IEEE] 2026-4-15 | Improving Hardware and Software Systems for Monitoring Geomechanical Characteristics of Rocks in Boulder-Sand-Gravel Quarries
[IEEE] 2026-4-15 | An Assessment of Rural Consumer Shopping Orientation Towards FMCG
[IEEE] 2026-4-15 | Dynamic Modeling and Performance Analysis of PEM Electrolyzer–Fuel Cell Systems for Sustainable Power Generation
[IEEE] 2026-4-15 | Adaptive Window-Length Adjustment and Feature Fusion for Enhanced CFAR Detection
[IEEE] 2026-4-15 | AI Regulation in the U.S.: Lessons from Commodity Futures Legislative Journey and a Perspective CFTC-NFA Model for AI
[IEEE] 2026-4-15 | Reducing Middleware Latency in Telecom CRMs Using Deep Reinforcement Learning Focus: Optimizing API Call Paths and System Queues Dynamically
[IEEE] 2026-4-15 | Hybrid Quantum-Machine Learning Framework for Precision Farming: Optimizing Crop Yield and Profitability
[IEEE] 2026-4-15 | Energy-efficient Silicon Nitride Optical Switching
[IEEE] 2026-4-15 | High-Stability and High-Charge-Density HfZrO
                    <sub>2</sub>
                    MFM Capacitors With In Situ CF
                    <sub>4</sub>
                    Plasma at TiN Electrode
[IEEE] 2026-4-15 | Research on Control of an Electro-Hydraulic Active Suspension System
[IEEE] 2026-4-15 | An Intelligent Type-2 Fuzzy Logic Framework for High-Accuracy Power Quality Disturbance Classification
[IEEE] 2026-4-15 | Federated Intrusion Detection for VANETs under Byzantine Model Poisoning Attacks
[IEEE] 2026-4-15 | A Drone Shape Substrate Integrated Waveguide Backed Self-Quardruplexing Antenna for C-Band Applications
[IEEE] 2026-4-15 | Intelligent and Optimized Fraud Detection Framework for UPI Transactions
[IEEE] 2026-4-15 | Energy-Aware Hybrid Localization in IoT and WSNs Using Multilateration and Grey Wolf Optimization
[IEEE] 2026-4-15 | Comparative Evaluation of Blockchain-Fog Vs Cloud-Based Models for Real-Time Health Monitoring
[IEEE] 2026-4-15 | A Space-Efficient Multi Rotor Wind Turbine System for Decentralized Power
[IEEE] 2026-4-15 | Intelligent Merging Unit Enabled Substation Automation: A Critical Survey and Laboratory Setup
[IEEE] 2026-4-15 | Comparative Analysis of Vanilla Reinforcement Learning vs Q-Learning in Smooth Path Planning Strategies for Mobile Robots
[IEEE] 2026-4-15 | FedSiaNet: A Privacy Preserving Federated Siamese Network for Real-Time ECG Based Stress Anamoly Detection
[IEEE] 2026-4-15 | Cyberbully Detection using Improved RoBERTa and Deep Learning based ResNet50
[IEEE] 2026-4-15 | A Multi-Modal AI and Blockchain-Based Framework for Automated Academic Certificate Authentication
[IEEE] 2026-4-15 | Feature Engineering with Long Short-Term Memory Approach for Malicious Risk Identification in Mobile P2P
[IEEE] 2026-4-15 | CFD: A Browser-Based Tool for Real-Time Carbon Emission Awareness
[IEEE] 2026-4-15 | Detection of Fraudulant Transaction Over Credit Card Using Ensemble Learning
[IEEE] 2026-4-15 | Real-Time Cyber Threat Intelligence Detection and Response Using Deep Learning for Advanced Threat Classification
[IEEE] 2026-4-15 | Performance Enhancement of Average Current Control of Boost PFC Converter for Electric Vehicle Charging Applications
[IEEE] 2026-4-15 | A Novel Combined Control Structure for an Isolated Wind System with Reduced Turbine and Battery Sizing
[IEEE] 2026-4-15 | Design and Fabrication of an Optical Pancreatic Phantom for Fibrosis Assessment
[IEEE] 2026-4-15 | Demonstration of the Diagnostic Potentiality of the Anti-Tetracycline Aptamer on Screen-Printed Electrodes for Detection of Tetracycline
[IEEE] 2026-4-15 | Hybrid Microgrid Stabilization Through Adaptive Virtual Inertia and Nonlinear Compensation-Based Control Architecture
[IEEE] 2026-4-15 | Leveraging Transfer Learning for Efficient Plant Pathology on Mobile Devices
[IEEE] 2026-4-15 | Design of Self-Charging Fibrous Power System by Integrating Tribovoltaic Nanogenerator and Supercapacitor
[IEEE] 2026-4-15 | Decentralized Cloud Storage Systems Using Blockchain Technology
[IEEE] 2026-4-15 | Vastu Generative Framework (VGF): A Hybrid AI Framework for Vastu-Compliant Architectural Layout Generation
[IEEE] 2026-4-15 | Ensemble Regression Approach to Predict Students' Performance Using Pearson Correlation Feature Selection
[IEEE] 2026-4-15 | National Data Centres and Sovereign AI Infrastructure: Designing Scalable Platforms for Jordan and Beyond
[IEEE] 2026-4-15 | Numerical Design and Optimization of a Medium Temperature Difference Gamma Stirling Engine for Power Generation Based on Renewable Energy
[IEEE] 2026-4-15 | Ultraviolet Aging Effects on the Dielectric Properties of PVC/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Nanocomposites Cables Insulation
[IEEE] 2026-4-15 | Integrated Federated Multimodal AI for Early Cancer Detection Using Radiology, Pathology, and Genomic Signals
[IEEE] 2026-4-15 | Swarm Robotics for Precision Agriculture: Overcoming Coordination Scalability Limits
[IEEE] 2026-4-15 | Tracking the Dieback of Palm and Olive Groves in The Skoura Oase (Morocco): A Spatio-Temporal Approach Using Remote Sensing and Machine Learning
[IEEE] 2026-4-15 | Enhancing Precision Agriculture With Lightweight Object Detection of Date-Palm Flowers
[IEEE] 2026-4-15 | Mathematical Modelling and Drying Kinetic Assessment of Coconut Meat Under Infrared Drying
[IEEE] 2026-4-15 | A Systematic Literature Review on Cybersecurity Education: Trends, Challenges, and the Role of AI
[IEEE] 2026-4-15 | Scalable and Explainable Heart Disease Prediction on Imbalanced Data
[IEEE] 2026-4-15 | Cryptocurrency Volatility Forecasting Using Garch, LSTM, Hybrid GARCH-LSTM and Hybrid CNN-LSTM with Intraday Frequency
[IEEE] 2026-4-15 | Rest Allowance Models for Optimizing Task Scheduling and Worker Well-Being in Industry
[IEEE] 2026-4-15 | An Intelligent Dimension-Reduction Method for Emergency-Supplier Evaluation Indicators Based on Filter-Wrapper and PSO-BP
[ACM] 2026-4-15 | Selective Federated IDS Framework with Adaptation for Large-scale Segmented Industrial Networks
[IEEE] 2026-4-15 | A Hybrid Machine Learning and Deep Learning Framework for Early Detection of Depression from Social Media Text
[IEEE] 2026-4-15 | AgriShield: A Hybrid NLP and Machine Learning Framework for Plant Disease Prediction
[IEEE] 2026-4-15 | Smart Energy Communities: Business Models and P2P Trading for Sustainable Power
[IEEE] 2026-4-15 | Inventory Demand Forecasting Using Cat Boost Regression: A Machine Learning Method
[IEEE] 2026-4-15 | Brown Bear Optimization-Based Error Minimization for Reduced-Order Modeling of Off-Grid Microgrids
[IEEE] 2026-4-15 | HAR70+W: Cross-Dataset Alignment of Thigh Back and Wrist Sensors for Elderly Activity Monitoring
[IEEE] 2026-4-15 | MIMO-Enabled Robust Communication Architecture for Fault-Tolerant Smart Grids Under Renewable Uncertainties
共写入 200 条记录，保存到 papers/paper2026-04-15.json。
论文获取成功，文件路径: papers/paper2026-04-15.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | A lower bound on the Calabi functional for a degeneration of polarized varieties
[NO] 2/200 | First-See-Then-Design: A Multi-Stakeholder View for Optimal Performance-Fairness Trade-Offs
[NO] 3/200 | Large Language Models to Enhance Business Process Modeling: Past, Present, and Future Trends
[NO] 4/200 | On the divergence of the composition of irregular fields with BV functions
[NO] 5/200 | An ASIC Emulated Oscillator Ising/Potts Machine Solving Combinatorial Optimization Problems
[NO] 6/200 | RFID-based Real-Time Geriatric Gait Speed Monitoring System: Design, Implementation and Clinical Evaluation
[NO] 7/200 | Stochastic Trust-Region Methods for Over-parameterized Models
[NO] 8/200 | Memory Transfer Learning: How Memories are Transferred Across Domains in Coding Agents
[NO] 9/200 | Spin-mediated hysteretic switching of unidirectional charge density waves by rotating magnetic fields
[NO] 10/200 | Diffusion Language Models for Speech Recognition
[NO] 11/200 | Remote Sensing Image Super-Resolution for Imbalanced Textures: A Texture-Aware Diffusion Framework
[NO] 12/200 | Analysis of Lyman-beta and Lyman-gamma Lines in a Pre-Eruptive and Eruptive Prominence with Solar Orbiter SPICE Observations
[NO] 13/200 | Redefining the limits of real-time noise cancellation in optical fiber links
[NO] 14/200 | BOAT: Navigating the Sea of In Silico Predictors for Antibody Design via Multi-Objective Bayesian Optimization
[NO] 15/200 | Max Cut with Small-Dimensional SDP Solutions
[NO] 16/200 | A class of locally differentially $4$-uniform power functions with Niho exponents
[NO] 17/200 | A generative model for bipartite gene-sharing networks
[NO] 18/200 | Early Exiting U-Net for Efficient Processing on UAVs: A Case Study in Environmental Monitoring
[NO] 19/200 | Block-Based Pathfinding: A Minecraft System for Visualizing Graph Algorithms
[NO] 20/200 | Creo: From One-Shot Image Generation to Progressive, Co-Creative Ideation
[NO] 21/200 | HINTBench: Horizon-agent Intrinsic Non-attack Trajectory Benchmark
[NO] 22/200 | Causal Drawbridges: Characterizing Gradient Blocking of Syntactic Islands in Transformer LMs
[NO] 23/200 | General formulas for the instability minimum of Chip-firing games
[NO] 24/200 | AI-Assisted Peer Review at Scale: The AAAI-26 AI Review Pilot
[NO] 25/200 | Measurement of jet quenching in O+O collisions at $\sqrt{s_\mathrm{NN}}=200$ GeV by the STAR experiment at RHIC
[NO] 26/200 | Towards Enabling An Artificial Self-Construction Software Life-cycle via Autopoietic Architectures
[NO] 27/200 | Bayesian Analysis of Gravitational Wave Microlensing Effects from Galactic Double White Dwarfs
[NO] 28/200 | Three-dimensional photon transport in spinodal photocatalytic aerogels: how bicontinuous morphology controls kinetic rate constants
[NO] 29/200 | Unsupervised Anomaly Detection in Process-Complex Industrial Time Series: A Real-World Case Study
[NO] 30/200 | Experimental Quantification of Nonlinear Mode Coupling in Nanomechanical Resonators using Multi-tone Excitation
[NO] 31/200 | PartNerFace: Part-based Neural Radiance Fields for Animatable Facial Avatar Reconstruction
[NO] 32/200 | Anchored Spectral Estimator for Rigid Motion Synchronization
[NO] 33/200 | Rethinking Image-to-3D Generation with Sparse Queries: Efficiency, Capacity, and Input-View Bias
[NO] 34/200 | Beyond Conservative Automated Driving in Multi-Agent Scenarios via Coupled Model Predictive Control and Deep Reinforcement Learning
[NO] 35/200 | GeoAgentBench: A Dynamic Execution Benchmark for Tool-Augmented Agents in Spatial Analysis
[NO] 36/200 | Some remarks on the orbit dimension of transitive groups and on the metric dimension of Johnson graphs
[NO] 37/200 | Interferometer observations of pulse pairs in an interstellar communication experiment
[NO] 38/200 | Gradient Descent's Last Iterate is Often (slightly) Suboptimal
[NO] 39/200 | Robust parameter inference for Taiji via time-frequency contrastive learning and normalizing flows
[NO] 40/200 | Dark energy, spatial curvature, and star formation efficiency from JWST photometric and spectroscopic high-redshift galaxies
[NO] 41/200 | "AI Psychosis" in Context: How Conversation History Shapes LLM Responses to Delusional Beliefs
[NO] 42/200 | On phase separation and crystallization of Ge-rich GeSbTe alloys from atomistic simulations with a machine learning interatomic potential
[NO] 43/200 | Gravitational emissions and light curves of quasi-periodic orbits in Schwarzschild spacetime embedded in a Dehnen-type dark matter halo
[NO] 44/200 | Mumford vanishing for threefolds in positive characteristic
[NO] 45/200 | UI-Copilot: Advancing Long-Horizon GUI Automation via Tool-Integrated Policy Optimization
[NO] 46/200 | Cognitive Offloading in Agile Teams: How Artificial Intelligence Reshapes Risk Assessment and Planning Quality
[NO] 47/200 | A Universal Textual Merge Strategy Based on Tokens for Version Control Systems
[NO] 48/200 | Symbolic computation in cubic Jordan matrix algebras and in related structures
[NO] 49/200 | Uplink Single-Snapshot Frugal SLAM in Phase-Coherent Distributed MIMO Systems
[NO] 50/200 | Gaslight, Gatekeep, V1-V3: Early Visual Cortex Alignment Shields Vision-Language Models from Sycophantic Manipulation
[NO] 51/200 | EmbodiedClaw: Conversational Workflow Execution for Embodied AI Development
[NO] 52/200 | QuantileMark: A Message-Symmetric Multi-bit Watermark for LLMs
[NO] 53/200 | On the discrete Painlevé equivalence problem, non-conjugate translations and nodal curves
[NO] 54/200 | On Exponentially Long Prethermalization Timescales in Isolated Quantum Systems
[NO] 55/200 | JOYS$+$: A JWST/MIRI survey of the evolution of H$_2$ winds and jets from low-mass protostars
[NO] 56/200 | Design and Behavior of Sparse Mixture-of-Experts Layers in CNN-based Semantic Segmentation
[NO] 57/200 | MedRCube: A Multidimensional Framework for Fine-Grained and In-Depth Evaluation of MLLMs in Medical Imaging
[NO] 58/200 | A representation and comparison of three cubic macro-elements
[NO] 59/200 | Critical point search and linear response theory for computing electronic excitation energies of molecular systems. Part II. CASSCF
[NO] 60/200 | A Generalized Method for Spatial Operations on Physical Properties of Matter
[NO] 61/200 | A Variable-Spot-Size and Multi-Frequency Square-Pulsed Source (SPS) Approach for Comprehensive Characterization of Anisotropic Thermal Transport Properties in Multilayered Thin Films
[NO] 62/200 | OffloadFS: Leveraging Disaggregated Storage for Computation Offloading
[NO] 63/200 | Universal thermometry of solid-liquid interfacial thermal conductance
[NO] 64/200 | Online learning with noisy side observations
[NO] 65/200 | ReConText3D: Replay-based Continual Text-to-3D Generation
