[2026-07-10 11:45:07] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-09
正在获取论文...
[arXiv] 2026-07-09 | Wat3R: Underwater 3D Geometry Learning without Annotations
[arXiv] 2026-07-09 | Spherically symmetric Finsler metrics satisfying the $σ$T-condition
[arXiv] 2026-07-09 | Diarization-Guided Qwen-ASR Adaptation for Multilingual Two-Speaker Conversational Speech
[ACM] 2026-7-9 | “I like using GenAI as a tool, but with the feeling that I’m better than it”: Exploring How Students Negotiate Computing Identity in the Age of GenAI
[ACM] 2026-7-9 | Luma
[ACM] 2026-7-9 | Empowering Job Recommendation with Large Language Models: A Generative and Attentive Approach
[ACM] 2026-7-9 | Likelihood Correspondence of Toric Statistical Models
[IEEE] 2026-7-9 | Fully Screen-Printed Flexible Electrochemical Sensor Based on TiCT-CuO Nanocomposite for Simultaneous Determination of Dopamine and Uric Acid_supp1-3709062.docx
[IEEE] 2026-7-9 | Wireless-Powered Flexible Bioelectronic Implants with Deformation-Aware Optimization
[IEEE] 2026-7-9 | Building Minimum-Power Digital Circuits With Sub-Femtowatt Dynamic Leakage-Suppression Logic Standard Cells
[IEEE] 2026-7-9 | IEEE Computer Science and Engineering Awards
[IEEE] 2026-7-9 | Enhancing Generalization for Blurred UAV Images: An Improved Method for Forest Pest and Disease Detection
[IEEE] 2026-7-9 | Estimating Tropospheric Delay in Spotlight Mode InSAR Data Using Multi-Squint Processing_supp1-3711538.pdf
[IEEE] 2026-7-9 | Deep Learning-based Filtering for Video Coding: A Survey on Architectures, Algorithms, and Complexity Analysis
[IEEE] 2026-7-9 | Energy-Optimal Spatial Iterative Learning within a Virtual Tube
[IEEE] 2026-7-9 | Technical Program Committee
[IEEE] 2026-7-9 | Author Index
[IEEE] 2026-7-9 | Multiobjective Optimal Synthesis of Transmitting Antennas for Microwave Wireless Power Transmission
[IEEE] 2026-7-9 | Multi-timescale Energy Coordination And Multi-objective Impulse-like Cooperative Control Method For Virtual Asynchronous Machines Under Complex Dynamic Conditions
[IEEE] 2026-7-9 | Scenario Forecasting of Wind–Solar–Load and Ramping Demand Assessment Based on Key Meteorological-State Labels Under Limited Explicit Weather Data
[IEEE] 2026-7-9 | A Two-Dimensional Partial Element-Based Formulation for the Per-Unit-Length Parameter Calculation of Conductors
[IEEE] 2026-7-9 | A Conformal Transmit-Array Antenna with High Gain and 2-D Steerable Beam for UAV Radar
[IEEE] 2026-7-9 | A Genetic Algorithm-Based Optimization Method for Antenna Positioning in Transcranial Electromagnetic Stimulation
[IEEE] 2026-7-9 | Optimization Scheduling Method for Renewable Energy Accommodation in Power Grids with Deep Participation of Electrified Heating Systems
[IEEE] 2026-7-9 | X-Band Miniaturized High-Integrated Eight-Channel T/R Module Based on BGA Solder Ball Technology
[IEEE] 2026-7-9 | A Review of Air Conditioning Load Modeling, Short-Term Forecasting and Ultra-Short-Term Forecasting
[IEEE] 2026-7-9 | Intent-Based Security for Edge Applications: Distributed Orchestration with Over-the-Air Updates
[IEEE] 2026-7-9 | New Fault Protection Method for Photovoltaic Access Distribution Network based on Composite Voltage Dynamic Change Index
[IEEE] 2026-7-9 | Design of an S-Band Dual-Polarized Phased Array Element
[IEEE] 2026-7-9 | Design of Coaxial-Fed Energy Selective Electromagnetic Protective Antenna
[IEEE] 2026-7-9 | SCA-Net: Spectral Cross-Channel Attention Network for Carbon Emission Prediction
[IEEE] 2026-7-9 | Modeling and Stability Analysis of Photovoltaic Quasi-Z-Source Inverters
[IEEE] 2026-7-9 | Real-Time Feedback-Enabled LSTM Controller for Boiler Combustion Optimization in Thermal Power Plants
[IEEE] 2026-7-9 | High-Selectivity on-Chip Wideband Bandpass Filter Based on Hybrid Resonator with Controllable Transmission Zeros
[IEEE] 2026-7-9 | Hybrid Electrolytic Cell Power Allocation and Hydrogen Production Optimization based on Deep Reinforcement Learning
[IEEE] 2026-7-9 | Transfer Learning and Partial Attention-Enhanced MADRL for Large-Scale P2P Energy Scheduling
[IEEE] 2026-7-9 | Design of an Angle-Selective Surface for All-Angle High-Power Microwave Protection
[IEEE] 2026-7-9 | Modulating Muscle Activation via Exoskeleton-Applied Resistive Loading During Rodent Locomotion
[IEEE] 2026-7-9 | Voltage and Frequency Control of Off-grid Multi-microgrid Based on Security Baseline and Improved PPO
[IEEE] 2026-7-9 | Enhanced EEG-Based Tracking of DMN Activity Using ICA and EEG Source Localization for a VR Psychedelic Environment
[IEEE] 2026-7-9 | Considering Spatiotemporal Mutual Support in Island Microgrid Cluster Shared Electricity-Ammonia Energy Storage Double-Layer Optimal Scheduling
[IEEE] 2026-7-9 | A Polarization Rotation Reflective Surface Based on Dielectric Resonator
[IEEE] 2026-7-9 | Evaluation of a Novel Endovascular Electrode Array for Long-Term Cortical Recording and Stimulation
[IEEE] 2026-7-9 | Research on Electromagnetic Coupling Prediction Method of Shielding Enclosures with Aperture Based on Conditional Forward Mapping Network
[IEEE] 2026-7-9 | A Small-AC-Signal Injection Based Decentralized Secondary Voltage Control Method for Multi-Bus AC Microgrids
[IEEE] 2026-7-9 | Multi-Objective Capacity Optimization of Off-Grid Multi-Energy Microgrids Based on NSGA-II
[IEEE] 2026-7-9 | 2-D Beam-Scanning Rinehart-Luneburg Lens Antenna Fed by Butler Matrix
[IEEE] 2026-7-9 | Explainable Detection and Trust-Aware Mitigation of Malicious IRS Behavior in Multi-IRS 6G Networks
[IEEE] 2026-7-9 | All-Metal Circularly Polarized Filtering Transmitarray
[ACM] 2026-7-10 | Privacy-Preserving GAN for Synthetic Data against Membership Inference Attack
[ACM] 2026-7-10 | Poulpe: a software-hardware toolchain to clone legacy digital circuit boards
[ACM] 2026-7-10 | Systematic Comparison and Improvement of Pre-silicon Leakage Analysis Tools
[ACM] 2026-7-10 | Compiling Linear Algebra Workloads from C to Quantum Circuits via Multi Level Intermediate Representation
[ACM] 2026-7-9 | Research to Reality: Scaling Generative AI for The Sphere's “Wizard of Oz"
[IEEE] 2026-7-9 | Backlash-Like Hysteresis Estimation in Antagonistic Tendon–Sheath Mechanisms Using Proximal-Force Plateau Signatures
[IEEE] 2026-7-9 | Distributed Algorithms for Time-Varying Resource Allocation Problems with Nonlinear Inequality Constraints
[IEEE] 2026-7-9 | Cryogenic Model-Guided All-CMOS Voltage Reference and LDO for 30-to-298 K Operation with a 34.5 ppm/K Temperature Coefficient
[IEEE] 2026-7-9 | An Equivalent Terminal-Matched Impedance Spectrum from Pulse Truncation for Cable Defect Localization
[IEEE] 2026-7-9 | A Quantum-Inspired Multiple Description Coding Framework for Robust Image Transmission
[IEEE] 2026-7-9 | Organizing Committee
[IEEE] 2026-7-9 | 2026 IEEE 3rd International Conference on Electrical Power Systems and Intelligent Control (EPSIC)
[IEEE] 2026-7-9 | DepressLLM: Interpretable Domain-Adapted Language Model for Depression Detection from Real-World Narratives
[IEEE] 2026-7-9 | Masthead
[IEEE] 2026-7-9 | A DCT-LMS Algorithm With Per-Coefficient Variable Step-Sizes_supp1-3711535.pdf
[IEEE] 2026-7-9 | Technical Program Committee
[IEEE] 2026-7-9 | A High-Repeatability φ-OTDR Framework for Road-Traffic Vibration Monitoring via Enhanced Wavelet Denoising and Lightweight 2D-CNN
[IEEE] 2026-7-9 | Ocean's Duality: Physics-Driven Dual-Branch Framework for Underwater Vision Enhancement
[IEEE] 2026-7-9 | Comparative Analysis of the Microwave Properties of MOD-Deposited and Commercial YBCO Thin Films for 5G Frequencies
[IEEE] 2026-7-9 | An ESPAR Antenna With Digital Control and Low-Correlated Reconfigurable Patterns for Air-Ground Links
[IEEE] 2026-7-9 | Distinguished Lecturer Program
[IEEE] 2026-7-9 | EPSIC 2026 Cover Page
[IEEE] 2026-7-9 | FlowCrypt: Flow-Based Lightweight Encryption with Near-Lossless Recovery for Cloud Photo Privacy
[IEEE] 2026-7-9 | Shared Trajectory Based Multi-Policy Decision-Making for Socially Compliant Robot Navigation in Dense Crowds
[IEEE] 2026-7-9 | Toward a Consistent Arctic Sea Ice Albedo Record from FengYun-3 Satellites
[IEEE] 2026-7-9 | Enhanced Greedy Detection for OTFS-IM: A Low-Complexity and High-Performance Approach
[ACM] 2026-7-9 | Computing Submatrices of the Hermite Normal Form of a Structured Polynomial Matrix
[IEEE] 2026-7-9 | Design of UWB Antenna Based on Modal Significance Neural Network
[IEEE] 2026-7-9 | Physics-Constrained Spatio-Temporal Graph Transformer for Distribution System State Estimation with Missing Measurements
[IEEE] 2026-7-9 | Volt-VAR Optimization in Distribution Networks via Hierarchical Deep Reinforcement Learning and Dynamic Horizon Truncation
[IEEE] 2026-7-9 | Quantum Current Detection and State Monitoring Technology for Power Grid Energy Storage Batteries Based on NV Centers
[IEEE] 2026-7-9 | An Anchor-Free Detection Network for Power System Electronic Components via Edge-Enhanced Preprocessing
[IEEE] 2026-7-9 | Research on Day-ahead Optimal Scheduling and Robustness of Large-scale Industrial and Virtual Power Plants Based on Deep Reinforcement Learning
[IEEE] 2026-7-9 | Cortical Dynamics Underlying Team Performance in Human-Robot Collaborative Work Under Varying Task Demand
[IEEE] 2026-7-9 | Sub-Synchronous Oscillation Suppression Strategy for Direct-Drive Wind Power Grid-Connected System Based on Passivity Shortage Theory
[IEEE] 2026-7-9 | An Additively Manufactured Wideband and High-Gain Circularly Polarized Magneto-Electric Dipole Antenna for V-Band Applications
[IEEE] 2026-7-9 | Research on Adaptive Dual-Terminal Differential Protection for Distribution Networks Integrated with Distributed Generators
[IEEE] 2026-7-9 | A Service-Based Management Architecture for Intelligent Cross-Domain Orchestration in 6G Networks
[IEEE] 2026-7-9 | Efficient Many-to-Many MRI Modality Translation via a Latent-Conditioned Vector-Quantized Network*
[IEEE] 2026-7-9 | Capacity Configuration Planning of a Photovoltaic–Storage–Hydrogen Integrated Energy System Based on Game Theory
[ACM] 2026-7-10 | Proceedings of the 23rd ACM International Conference on Computing Frontiers: Workshops and Special Sessions
[IEEE] 2026-7-9 | A D-Band Circularly Polarized Monopulse Antenna Array with High Polarization Purity
[IEEE] 2026-7-9 | A Wideband Circularly Polarized Antenna with Chamfered Patches Parasitic Loading
[IEEE] 2026-7-9 | Design and Implementation of a Mixed Reality Simulation Platform for Power Systems
[IEEE] 2026-7-9 | Decoding Turn-Taking State Transitions in Conversational Speech from Motor Cortex Ensemble Activity
[IEEE] 2026-7-9 | A Strongly Coupled Hexagonal Frequency Selective Surface with Insensitivity for Any Angle of Incidence
[IEEE] 2026-7-9 | Active Balance Control Strategy for Medium and Low Voltage Distribution Networks and Typical Cases
[IEEE] 2026-7-9 | Deep Learning Reduced-Order Modeling and Fast Evaluation for Electromagnetic Simulation Data
[IEEE] 2026-7-9 | Dynamic Wildfire Spread Prediction and Warning Method for Power Corridors Considering Satellite Observation Data and Parameter Updating
[IEEE] 2026-7-9 | Fully Automated Thermal-Aware Trace Routing for Chip-on-Film Designs
[IEEE] 2026-7-9 | Evaluation and Analysis of Measurement Uncertainty for Carbon Metering System in Electric Power Grids
[IEEE] 2026-7-9 | Development of K-Band Solid-State Power Amplifier Based on Spatial Synthesis of Polar Fin-Lines
[IEEE] 2026-7-9 | A Framework for Reliable Cell-Free mmWave Massive MIMO Networks Under Human Blockage
[IEEE] 2026-7-9 | From Theory to Application: Fine-Tuning Large Eeg Model with Real-World Stress Data
共写入 200 条记录，保存到 papers/paper2026-07-09.json。
论文获取成功，文件路径: papers/paper2026-07-09.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Wat3R: Underwater 3D Geometry Learning without Annotations
[NO] 2/200 | Plaquette: A hardware-aware design platform for fault-tolerant quantum computers
[NO] 3/200 | Irreducible Geometry of Higher-Order Correlator Families
[NO] 4/200 | Decoupling Limit of Quiver Theories and the Angular Spectra of Extreme C-metrics
[NO] 5/200 | Tilted thin accretion disks in the full Kerr spacetime and their implications
[NO] 6/200 | Force convergence in Monte Carlo Lyman-alpha radiative transfer
[NO] 7/200 | Deep Learning for Joint Narrowband Interference Cancellation and Soft Demodulation in OFDM Systems
[NO] 8/200 | Asymmetric high-harmonic generation from subwavelength bianisotropic resonators
[NO] 9/200 | Approaching Carnot Efficiency at Finite Power in an Experimentally Feasible Quantum Heat Engine
[NO] 10/200 | Robust One-Sided Device-Independent Quantum Key Distribution via High-Dimensional Steering
[NO] 11/200 | Directional AI Advice: Experimental Evidence from Healthcare
[NO] 12/200 | MPFlow: Learning Budgeted Max-Flow Optimization on the Lightning Network with Deep Graph Reinforcement Learning
[NO] 13/200 | Entanglement Wedge Reconstruction without Holographic Quantum Error Correction
[NO] 14/200 | Multi-Resolution Feature Stem for Diabetic Retinopathy lesion segmentation
[NO] 15/200 | Drift of interfaces in forced stably-stratified turbulence and the role of vertically-sheared helical structures
[NO] 16/200 | Microwave Studies of Single Crystal TeO2 at Cryogenic Temperatures
[NO] 17/200 | Best Practices for First-Principles Modeling of Amorphous Oxide Semiconductors: A Statistical Framework and Application to Zn-Sn-O
[NO] 18/200 | Resample or Reroute? Budget-Aware Test-Time Model Selection for Large Language Models
[NO] 19/200 | WebSwarm: Recursive Multi-Agent Orchestration for Deep-and-Wide Web Search
[NO] 20/200 | Cantor measures with odd base do not admit Fourier frames
[NO] 21/200 | Temperature Beyond Equilibrium in Isolated Quantum Many-Body Systems and Their Subsystems
[NO] 22/200 | Can Distance Duality Violation Save Late-time Solutions to the Hubble Tension?
[NO] 23/200 | Extracting conformal data from Loschmidt echoes after critical quenches
[NO] 24/200 | Multi-Modal, Multi-Environment Machine Teaching for Robust Reward Learning
[NO] 25/200 | DominoTree: Conditional Tree-Structured Drafting with Domino for Speculative Decoding
[NO] 26/200 | A Design-Based Approach to Testing and Inference in (Quasi-)Experiments with Spillovers
[NO] 27/200 | Perfect Matchings with Prescribed Differences Beyond Hall: The Two-Hole Problem
[NO] 28/200 | Lectures on lepton-nucleus quasielastic scattering with relativistic models
[NO] 29/200 | Stochastic dynamics of particles in correlated fields
[NO] 30/200 | The Three Hundred Project: validating $H_0$ inference from mock X-ray and millimetre analyses of galaxy clusters
[NO] 31/200 | Adaptive Wavelet Division Multiplexing for Heterogeneous Mobility Users
[NO] 32/200 | An Efficient Method for Gibbs Free Energy Evaluation under Volume Compression
[NO] 33/200 | Localized gradient enhancement near anisotropic scatterers
[NO] 34/200 | Classification of blazars based on data-driven approaches
[NO] 35/200 | Why Do You Say It Like That? A Phoneme-Level Framework for Explainable Speech Deepfake Detection
[NO] 36/200 | DP vertex-arboricity of sparse graphs
[NO] 37/200 | Spectral Stability of Pseudoinverse-Based Extreme Learning Machine
[NO] 38/200 | Unconstrained Scheme for Geometrically Constrained Gradient Flows
[NO] 39/200 | Disentangling the dark and stellar mass through precise lens modelling of the JWST observation of lensed quasar WFI2033--4723
[NO] 40/200 | Renormalization flows for 1D mixed states and a quantum Goursat lemma
[NO] 41/200 | SMetric: Rethink LLM Scheduling for Serving Agents with Balanced Session-centric Scheduling
[NO] 42/200 | XShooter DESI Lens Program: Sample characterization
[NO] 43/200 | Broadband silicon photonic phase shifters driven by gradient optical forces
[NO] 44/200 | Heterostructuring as Gateway to Electron Doping of Nickelate Superconductors
[NO] 45/200 | ESBMC-Arduino: Closing the Deployment Gap for Formal Verification of Open-Hardware PLCs
[NO] 46/200 | Potential Functions as Types
[NO] 47/200 | Soft edge limit of the Laguerre beta-ensemble at the lower edge
[NO] 48/200 | When the Judge Changes, So Does the Measurement: Auditing LLM-as-Judge Reliability
[NO] 49/200 | Open-source MRI-informed computational model of human cortical folding
[NO] 50/200 | Log-Insight: Automating Microservice Incident Diagnosis via Neuro-Symbolic Log Analysis
[NO] 51/200 | A Quantized Native Runtime for On-Device Semantic Audio Generation
[YES] 52/200 | Fundamental Sensing Limits of 6G Cooperative MIMO-ISAC Networks: Joint Position-Velocity CRLB and Decoupling Analysis
[NO] 53/200 | Cross-seed explainability using Procrustes-conditioned Joint End-to-end Top-K Sparse Autoencoders
[NO] 54/200 | The Fock Space Dynamics of Causal Fermion Systems: Non-Abelian Gauge Fields
[NO] 55/200 | Quantum corrections to the near-extremal thermodynamics of (warped) BTZ black holes
[NO] 56/200 | Multiplicity of negative one of independence polynomials of graphs
[NO] 57/200 | Charge radii of calcium isotopes within relativistic configuration-interaction density functional theory
[NO] 58/200 | The charge density fluctuations and the Shrinking Fermi Liquid scenario for strange metallicity in cuprates
[NO] 59/200 | Layer-resolved Electronic Structure and Correlation of Low-$n$ Square-planar Nickelates: A DFT+DMFT Prediction of Superconducting Candidates
[NO] 60/200 | Charge carrier flow through trimmed graphene nanoribbon junctions
[NO] 61/200 | Long-term speckle interferometric monitoring of binary systems II: 2007-2025 positional measurements and improvement of orbits
[NO] 62/200 | Search for strong lensing of gravitational waves in the binary black hole events from O1-O4a
[NO] 63/200 | HETDEX [OII] galaxies at $z \le 0.48$: Volume-limited samples and their power spectra
[NO] 64/200 | Does online sustainability communication shape public discourse? Insights from six years of tenant-housing provider interactions
[NO] 65/200 | Quantum and Classical Potts Criticality in Driven-Dissipative Bosonic Lattices
[NO] 66/200 | Fourier imaging of collective spontaneous emission modes in superradiant cold atomic clouds
[NO] 67/200 | Efficient photo-ionizing elimination of detrimental electric fields for Rydberg atoms
[NO] 68/200 | Relativistic Mean Field Approach with Chiral Symmetry Breaking and Quark Confinement in the light of Astrophysical Observations
[NO] 69/200 | Beyond Backpropagation: Monte Carlo Method Can Train Deep Neural Networks
[NO] 70/200 | Prompt Compression via Activation Aggregation
[NO] 71/200 | Joint Discrete-Continuous Flow Matching for Open-Vocabulary Inverse Design of Multilayer Optical Coatings
[NO] 72/200 | Splitting methods for nonlinear Schrödinger equation without order reduction
[NO] 73/200 | Classical versus Deep Mirror-Symmetry Scoring: A Benchmark of Thirteen Methods
[NO] 74/200 | Roman domination on subclasses of bipartite graphs
[NO] 75/200 | Certified Interventional Fidelity: Anytime-Valid, Adaptive Evaluation of Causal Claims in Mechanistic Interpretability
[NO] 76/200 | Grounded Event Extraction from SEC 8-K Filings with a Fine-Grained Taxonomy
[NO] 77/200 | Spectral Analysis of Dueling Q-Learning
[NO] 78/200 | Intrinsic Instantaneous Coarse-to-Fine Recoverability in the Lorenz-96 System
[NO] 79/200 | Approximate eigenfunctions for some aperiodic crystals
[NO] 80/200 | Magnetic control of Goos-Hänchen shifts and group delay time in monolayer WSe$_2$
