[2026-06-06 10:50:39] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Seeing in the Dark with Ambient Guidance
[IEEE] 2026-6-5 | Traffic Routing &amp; Prediction Using Optimized ACO-PSO
[IEEE] 2026-6-5 | Context-Aware Semantic Classification of Digital News Headlines Using Transformer-Based Models
[IEEE] 2026-6-5 | An Improved SMS Security Technique to Avoid Plaintext and Dictionary Attacks
[IEEE] 2026-6-5 | Secure and Privacy-Preserving Frameworks for IoMT: A Survey of Cryptographic and Blockchain-Enabled Approaches
[IEEE] 2026-6-5 | A Jitter-Driven Hardware Hybrid Random Number Generator (HHRNG) Using Nonlinear Feedback and Feedforward Processing
[ACM] 2026-6-6 | Research on Mammographic Mass Classification Based on Improved Stacking Algorithm
[ACM] 2026-6-6 | Practice and Development of Large Language Model in Command and Control
[ACM] 2026-6-6 | Cooperative Grasping and Collision Avoidance Planning for Mobile Manipulators in Dynamic Environments
[IEEE] 2026-6-5 | RWW 2027 Call for Papers WISnet
[IEEE] 2026-6-5 | 2026 EuMW Registration Announcement
[IEEE] 2026-6-5 | AaSHM: Unsupervised Bearing Fault Detection Using an Anomaly-Aware Spatiotemporal Hypergraph
[IEEE] 2026-6-5 | IEEE Antennas and Propagation Society—Advancing Forward! [President’s Message]
[IEEE] 2026-6-5 | Cross-Scenario Deraining Adaptation with Unpaired Data: Superpixel Structural Priors and Multi-Stage Pseudo-Rain Synthesize
[IEEE] 2026-6-5 | Multi-View Depth Estimation With Uncertainty Constraints for Virtual-Real Occlusion
[IEEE] 2026-6-5 | 3D Localization of In-Service Deep-Buried PE Pipelines via ELF Magnetic Matching: System Design and Field Validation
[IEEE] 2026-6-5 | A Deep Neural Network-Based Adaptive Gamification Approach for Virtual Learning_supp1-3700399.docx
[IEEE] 2026-6-5 | Real-time Measurement of Transition Resistance and Full-time Fault Feeder Selection for Random Arc Fault in Active Distribution Networks
[IEEE] 2026-6-5 | Learning Optimal Crew Dispatch for Grid Restoration Following an Earthquake
[IEEE] 2026-6-5 | High-Order CBF-Compatible Semantics and Hierarchical Synthesis for Bounded-Time STL
[IEEE] 2026-6-5 | Physics-Informed Learning for Multiplayer Differential Games
[IEEE] 2026-6-5 | BhashaBluff: A Dataset and Benchmark for Detecting Bilingual, Noisy, Compressed Deepfakes and Synthetic Audio
[IEEE] 2026-6-5 | Real-Time Radar Hand Motion Recognition Using a Hybrid CNN–SVM Framework With FPGA Acceleration
[IEEE] 2026-6-5 | Decentralized and Lightweight Server-Aided Revocable Attribute-Based Encryption for Mobile Cloud Computing_supp1-3696736.pdf
[IEEE] 2026-6-5 | Adaptive Sensor Fault-Tolerant Tracking Control for State-Constrained Uncertain Nonlinear Systems
[IEEE] 2026-6-5 | Mental Health Prediction System Using Artificial Intelligence
[IEEE] 2026-6-5 | Architectural Patterns and Security: Cloud Based IoT in Smart City Operations
[IEEE] 2026-6-5 | Adaptive Quality of Experience Optimization in Wireless Multimedia Sensor Networks: A Cross-Layer Analytical Approach
[IEEE] 2026-6-5 | IoT-Enabled Omnidirectional Surveillance Robot with Cloud-Based Face Recognition
[IEEE] 2026-6-5 | IoT-Vision System for Human Identification and Presence Counting Using Deep Learning
[IEEE] 2026-6-5 | Towards Smart Manufacturing: AI-Driven Prediction and Analysis of Surface Roughness in Machined Components
[IEEE] 2026-6-5 | Evaluating Fog Simulators for Real-Time IoT Deployment: Towards Smart Parking System
[ACM] 2026-6-6 | Toward Schema-Based BI for Cleanroom Experimental Metadata: Organization, Visualization, and a Beta-Stage Case Study
[IEEE] 2026-6-5 | Energy-Saving Control of DC Motor Speed via Adaptive Fixed-Time Sliding Mode
[IEEE] 2026-6-5 | Can Vibration Patterns Identify Users? Authentication for Smartphone-Watch Collaboration
[IEEE] 2026-6-5 | MS-SwinNet: Early Fusion of RGB and Multispectral Imagery for Post-Earthquake Building Damage Segmentation
[IEEE] 2026-6-5 | Enhancing Path Following of Underactuated Water-Cleaning ASVs Using Adaptive MPC: Real-Time Parameter Estimation and Sensitivity Analysis in Dynamic Marine Environments
[IEEE] 2026-6-5 | Artificial Intelligence and Microwave Engineering: From Tools to Transformation [President’s Column]
[IEEE] 2026-6-5 | BrachyUtils: A High-throughput and Modular Brachytherapy Treatment Planning System Built for Python Scripting
[IEEE] 2026-6-5 | IEEE Connects
[IEEE] 2026-6-5 | Dielectric Characterization of Hard Dental Tissues at Microwave Frequencies: Experimental Validation of First-Order Debye Behavior
[IEEE] 2026-6-5 | MSCAC-TCAM: An Interpretable Fault Diagnosis Method for Rolling Bearings Based on Multisensor Data Fusion
[IEEE] 2026-6-5 | Pinching-Antenna System Design under Random LoS and NLoS Channels
[IEEE] 2026-6-5 | Society Officers &amp; Administrative Committee
[IEEE] 2026-6-5 | An IRS Assisted Flexible Space Shift Keying Scheme with Pattern Modulation
[IEEE] 2026-6-5 | Accurate and Robust: Dynamic Image Refinement for Remote Sensing Visual Grounding
[IEEE] 2026-6-5 | “The Last Human Will See What We Saw”: The Test of the World's First Atomic Bomb Left its Observers Stupefied
[IEEE] 2026-6-5 | Theoretical Model for the Rate-Constrained Multichannel Wiener Filter in Binaural Hearing Aid Applications
[IEEE] 2026-6-5 | Beyond One-Layer Decision: Hierarchical Multi-view Clustering with Progressive Cross-Layer Fusion
[IEEE] 2026-6-5 | An Overview of Microwave Two-Port Measurement Methods for Absorber Materials
[IEEE] 2026-6-5 | Diverse-Input Yield Prediction (DIYP) Model Applied Across Different Years with Variable Input Days
[IEEE] 2026-6-5 | A Comparative Study of Attention-Based Transformer and Deep CNN Architectures for Lithography Hotspot Detection in Advanced Process Nodes
[IEEE] 2026-6-5 | Idle Nodes Detection and Reactivation Aware-Buffer Management in Delay Tolerant Network Using Iemata and Spko
[IEEE] 2026-6-5 | PROMEOS: Protein-protein interaction prediction using a Mixture of Experts and multimodal learning by integrating Ontology and Sequences
[IEEE] 2026-6-5 | EEG-Based ADHD Classification Using Machine Learning and Boosting Algorithms
[IEEE] 2026-6-5 | Applications and Limitations of Large Language Models in Digital Forensics: A Survey
[IEEE] 2026-6-5 | Chennamane: The Historiography, Gameplay, and Cultural Revival of an Obscure Folk Game from Southern India
[IEEE] 2026-6-5 | Hair Baldness Progression Prediction Using XGBoost: Risk Forecasting Model
共写入 100 条记录，保存到 papers/paper2026-06-05.json。
论文获取成功，文件路径: papers/paper2026-06-05.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Seeing in the Dark with Ambient Guidance
[NO] 2/100 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[NO] 3/100 | Physics-constrained Real-time Hand Grasping in VR/AR via Force Closure Stability Judgment
[NO] 4/100 | IEEE Access
[NO] 5/100 | Towards Immersive Volumetric Space: Capture, Reconstruction, and Application
[NO] 6/100 | Table of Contents
[YES] 7/100 | Improving the Performance of Next-Generation Vehicular Safety Messages Communication With Relay-Assisted Protocol
[NO] 8/100 | Startup Success Predictor: A Machine Learning-Based Forecasting Framework for Early-Stage Venture Assessment
[NO] 9/100 | Building a Multilingual, Voice-First Banking Assistant: Architecture and Implementation for the Mifos Ecosystem
[NO] 10/100 | Education Committee News: IEEE MTT-S Webinars [Education News]
[NO] 11/100 | Learning External Point-Set Context for Point Cloud Segmentation
[NO] 12/100 | Indoor 5.8 GHz dc-dc Wireless Power Transfer at a Distance Capable of Attitude and Range Optimization
[NO] 13/100 | A DRL-based Energy-Efficient and Mobility-aware SFC Embedding Strategy in 6G SAGINs
[NO] 14/100 | Arc Behavior and Surface Evolution Under Targeted Current Conditioning
[NO] 15/100 | Table of Contents
[NO] 16/100 | An Electromechanical Coupling Model and Analysis for In-wheel Motor Considering Transient Multi-dimension Eccentricity
[NO] 17/100 | Front Cover
[NO] 18/100 | Using a Scale Testbed: Controller Design and Evaluation [25 Years Ago]
[NO] 19/100 | Stateless Per-Packet IoT Authentication Framework Using Machine Learning
[NO] 20/100 | Financial IoT Smishing Detection: Challenges, Gaps, and Research Roadmap
[NO] 21/100 | Integrating Machine Learning and Deep Learning for Robust and Privacy-Preserving Intrusion Detection: A Unified Framework and Experimental Study
[NO] 22/100 | Intelligent Crop Protection: AI Powered Detection and Diagnosis of Plant Diseases
[NO] 23/100 | A Hybrid Stylometric and Transformer-Based Framework for Detecting AI-Generated Text
[NO] 24/100 | Proactive Approaches to Vulnerability Assessment and Mitigation
[NO] 25/100 | A Trojan Attack on TDMA Synchronization in Energy-Harvesting Wireless Networks
[NO] 26/100 | Credit Score Simulator and Coaching Module for Intelligent Credit
[NO] 27/100 | A Multimodal Retrieval-Augmented Generation System for Intelligent Document Processing and Study Assistance
[NO] 28/100 | IoT and Machine Learning-Based Road Condition Monitoring and Pothole Detection System
[NO] 29/100 | A Two-Stage Multi-modal Fusion Framework for Robust Key-point Detection of Wisdom Teeth with Panoramic Radiographs
[NO] 30/100 | Smart Hydroponic Control Framework Based on Generative AI and Machine Learning for pH and Nutrient Optimization
[NO] 31/100 | Sea-Trial Characterization of the Spatial Self-Interference in In-Band Full-Duplex Underwater Acoustic Systems: A Validated Finite-Element Model and Receive-Array Design
[NO] 32/100 | Two-Stage Delay-Doppler Aided 6D Beamspace Tensor Channel Estimation for High-Mobility mmWave MIMO-OFDM
[NO] 33/100 | IEEE Transactions on Electron Devices Information for Authors
[NO] 34/100 | IEEE CSS Technical Committee on Discrete Event Systems [Technical Activities]
[NO] 35/100 | Robot of the Month: Flapper Nimble+
[NO] 36/100 | MMIFN: A Multi-Modal Interactive Fusion Network for Omnidirectional Image Quality Assessment
[NO] 37/100 | Edge-Wise Lie-Group Masking for Secure and Opaque Consensus
[NO] 38/100 | Multi-Scale Residual Shrinkage Network with Adaptive Thresholding for Noise-Robust EEG Sleep Staging
[YES] 39/100 | 3D Reflectarray Antenna Design for Ku Application using 3D Printer Technology
[NO] 40/100 | RWW 2027 Call for Papers PAWR
[NO] 41/100 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp3-3683248.mp4
[NO] 42/100 | Neural Representation Learning and Privacy-preserving Cloud-Edge Collaboration for Next-Generation Financial Wealth Management Platforms
[NO] 43/100 | K-Means Based Tinyml Anomaly Detection and Distributed Model Reuse via the Distributed Internet of Learning (DIoL)
[NO] 44/100 | Traffic Routing &amp; Prediction Using Optimized ACO-PSO
[NO] 45/100 | Context-Aware Semantic Classification of Digital News Headlines Using Transformer-Based Models
[NO] 46/100 | An Improved SMS Security Technique to Avoid Plaintext and Dictionary Attacks
[NO] 47/100 | Secure and Privacy-Preserving Frameworks for IoMT: A Survey of Cryptographic and Blockchain-Enabled Approaches
[NO] 48/100 | A Jitter-Driven Hardware Hybrid Random Number Generator (HHRNG) Using Nonlinear Feedback and Feedforward Processing
[NO] 49/100 | Research on Mammographic Mass Classification Based on Improved Stacking Algorithm
[NO] 50/100 | Practice and Development of Large Language Model in Command and Control
[NO] 51/100 | Cooperative Grasping and Collision Avoidance Planning for Mobile Manipulators in Dynamic Environments
[NO] 52/100 | RWW 2027 Call for Papers WISnet
[NO] 53/100 | 2026 EuMW Registration Announcement
[NO] 54/100 | AaSHM: Unsupervised Bearing Fault Detection Using an Anomaly-Aware Spatiotemporal Hypergraph
[NO] 55/100 | IEEE Antennas and Propagation Society—Advancing Forward! [President’s Message]
[NO] 56/100 | Cross-Scenario Deraining Adaptation with Unpaired Data: Superpixel Structural Priors and Multi-Stage Pseudo-Rain Synthesize
[NO] 57/100 | Multi-View Depth Estimation With Uncertainty Constraints for Virtual-Real Occlusion
[NO] 58/100 | 3D Localization of In-Service Deep-Buried PE Pipelines via ELF Magnetic Matching: System Design and Field Validation
[NO] 59/100 | A Deep Neural Network-Based Adaptive Gamification Approach for Virtual Learning_supp1-3700399.docx
[NO] 60/100 | Real-time Measurement of Transition Resistance and Full-time Fault Feeder Selection for Random Arc Fault in Active Distribution Networks
[NO] 61/100 | Learning Optimal Crew Dispatch for Grid Restoration Following an Earthquake
[NO] 62/100 | High-Order CBF-Compatible Semantics and Hierarchical Synthesis for Bounded-Time STL
[NO] 63/100 | Physics-Informed Learning for Multiplayer Differential Games
[NO] 64/100 | BhashaBluff: A Dataset and Benchmark for Detecting Bilingual, Noisy, Compressed Deepfakes and Synthetic Audio
[NO] 65/100 | Real-Time Radar Hand Motion Recognition Using a Hybrid CNN–SVM Framework With FPGA Acceleration
[NO] 66/100 | Decentralized and Lightweight Server-Aided Revocable Attribute-Based Encryption for Mobile Cloud Computing_supp1-3696736.pdf
[NO] 67/100 | Adaptive Sensor Fault-Tolerant Tracking Control for State-Constrained Uncertain Nonlinear Systems
[NO] 68/100 | Mental Health Prediction System Using Artificial Intelligence
[NO] 69/100 | Architectural Patterns and Security: Cloud Based IoT in Smart City Operations
[NO] 70/100 | Adaptive Quality of Experience Optimization in Wireless Multimedia Sensor Networks: A Cross-Layer Analytical Approach
[NO] 71/100 | IoT-Enabled Omnidirectional Surveillance Robot with Cloud-Based Face Recognition
[NO] 72/100 | IoT-Vision System for Human Identification and Presence Counting Using Deep Learning
[NO] 73/100 | Towards Smart Manufacturing: AI-Driven Prediction and Analysis of Surface Roughness in Machined Components
[NO] 74/100 | Evaluating Fog Simulators for Real-Time IoT Deployment: Towards Smart Parking System
[NO] 75/100 | Toward Schema-Based BI for Cleanroom Experimental Metadata: Organization, Visualization, and a Beta-Stage Case Study
[NO] 76/100 | Energy-Saving Control of DC Motor Speed via Adaptive Fixed-Time Sliding Mode
[NO] 77/100 | Can Vibration Patterns Identify Users? Authentication for Smartphone-Watch Collaboration
[NO] 78/100 | MS-SwinNet: Early Fusion of RGB and Multispectral Imagery for Post-Earthquake Building Damage Segmentation
[NO] 79/100 | Enhancing Path Following of Underactuated Water-Cleaning ASVs Using Adaptive MPC: Real-Time Parameter Estimation and Sensitivity Analysis in Dynamic Marine Environments
[NO] 80/100 | Artificial Intelligence and Microwave Engineering: From Tools to Transformation [President’s Column]
[NO] 81/100 | BrachyUtils: A High-throughput and Modular Brachytherapy Treatment Planning System Built for Python Scripting
[NO] 82/100 | IEEE Connects
[NO] 83/100 | Dielectric Characterization of Hard Dental Tissues at Microwave Frequencies: Experimental Validation of First-Order Debye Behavior
[NO] 84/100 | MSCAC-TCAM: An Interpretable Fault Diagnosis Method for Rolling Bearings Based on Multisensor Data Fusion
[YES] 85/100 | Pinching-Antenna System Design under Random LoS and NLoS Channels
[NO] 86/100 | Society Officers &amp; Administrative Committee
[YES] 87/100 | An IRS Assisted Flexible Space Shift Keying Scheme with Pattern Modulation
[NO] 88/100 | Accurate and Robust: Dynamic Image Refinement for Remote Sensing Visual Grounding
[NO] 89/100 | “The Last Human Will See What We Saw”: The Test of the World's First Atomic Bomb Left its Observers Stupefied
[NO] 90/100 | Theoretical Model for the Rate-Constrained Multichannel Wiener Filter in Binaural Hearing Aid Applications
[NO] 91/100 | Beyond One-Layer Decision: Hierarchical Multi-view Clustering with Progressive Cross-Layer Fusion
[NO] 92/100 | An Overview of Microwave Two-Port Measurement Methods for Absorber Materials
[NO] 93/100 | Diverse-Input Yield Prediction (DIYP) Model Applied Across Different Years with Variable Input Days
[NO] 94/100 | A Comparative Study of Attention-Based Transformer and Deep CNN Architectures for Lithography Hotspot Detection in Advanced Process Nodes
[NO] 95/100 | Idle Nodes Detection and Reactivation Aware-Buffer Management in Delay Tolerant Network Using Iemata and Spko
[NO] 96/100 | PROMEOS: Protein-protein interaction prediction using a Mixture of Experts and multimodal learning by integrating Ontology and Sequences
[NO] 97/100 | EEG-Based ADHD Classification Using Machine Learning and Boosting Algorithms
[NO] 98/100 | Applications and Limitations of Large Language Models in Digital Forensics: A Survey
[NO] 99/100 | Chennamane: The Historiography, Gameplay, and Cultural Revival of an Obscure Folk Game from Southern India
[NO] 100/100 | Hair Baldness Progression Prediction Using XGBoost: Risk Forecasting Model
筛选完成：共 100 篇；Yes = 4 篇；已保存到 papers/select_paper2026-06-05.json。
邮件发送成功！
[2026-06-06 11:09:37] 任务执行成功！
