[2026-08-21 09:29:21] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-20
正在获取论文...
[arXiv] 2026-08-20 | Learning When to Think: Adaptive Reasoning for Test-Time Compute Allocation
[arXiv] 2026-08-20 | Symmetry-guided modal control in elliptical femtosecond-laser-written photonic waveguides
[arXiv] 2026-08-20 | Worst-Case Probability Bounds for Finite-Horizon Safety under Moment Uncertainty
[arXiv] 2026-08-20 | Performance-Guaranteed Reference Tracking With Power Directionality Constraints: Application to Controlled Stochastic Watersheds
[arXiv] 2026-08-20 | Planning-Oriented End-to-End Autonomous Driving: Architectures, Evaluation, and Emerging Paradigms
[arXiv] 2026-08-20 | Superconvergence and aliasing saturation in Sloan iteration for spherical integral equations
[arXiv] 2026-08-20 | Mid-infrared distributed-feedback lasing from black phosphorus under nanosecond excitation
[arXiv] 2026-08-20 | Backstepping-Guided Reinforcement Learning for Wide-Range Saint-Venant Canal Regulation
[arXiv] 2026-08-20 | Squeezed- and coherent-state quantum key distribution over a deployed hybrid fibre-free-space channel
[arXiv] 2026-08-20 | Effective Field Theory for Freezing Gravity with Minimally Coupled Matter
[arXiv] 2026-08-20 | Scattering for the focusing $H^{1/2}$-critical nonlinear Schrödinger equation with large data
[arXiv] 2026-08-20 | Singularity-Rank Signatures in Generalized Dirac Oscillators near a BTZ Horizon
[arXiv] 2026-08-20 | Toward Operational Solar Flare Peak Flux Nowcasting: A Strategy Combining Real-Time Data, Machine Learning, and NOAA Flare Detection Criteria
[arXiv] 2026-08-20 | Velocity Index Modulation for Movable Antenna Systems
[arXiv] 2026-08-20 | What You Can't See Is What You Learn: Restricted Evidence Visibility Favors Compositional Generalization in Shared-Genome Language-Model Societies
[arXiv] 2026-08-20 | A Canonical m-Atomic Decomposition of Bipartite Graphs via a Grid Model
[arXiv] 2026-08-20 | Radial Convex Geometry of Quantum States and Its Relation to Best Separable Approximation
[arXiv] 2026-08-20 | A dichotomy for the number of vertex-critical ($P_5$, $H$)-free graphs when $H$ is bipartite
[arXiv] 2026-08-20 | Symmetry-agnostic stellarators for collisionless confinement
[arXiv] 2026-08-20 | A three-dimensional typology of agency for advanced AI systems
[arXiv] 2026-08-20 | Anomalous behavior of native point defects in C2-ordered antiferromagnet $α$-MnO$_2$
[arXiv] 2026-08-20 | Positive scalar curvature Kähler metrics and shifted $K$-stability
[arXiv] 2026-08-20 | From Street View Imagery to Street Quality Indicators: Vision Language Inference for the Suburban 15-minute City
[arXiv] 2026-08-20 | Exact Fluctuation-Response Relations for Underdamped Langevin Dynamics
[arXiv] 2026-08-20 | Manifold Drift in Flow Preference Optimization: A Root Cause of Reward Hacking
[arXiv] 2026-08-20 | A Fully Automated, Deployment-Aware Testing Pipeline for IoT-Based Automotive Applications
[arXiv] 2026-08-20 | Causal Survival Forests with Negative Controls
[arXiv] 2026-08-20 | Gallileo-4D: Frozen Backbone Ensemble for Dynamic 4D Reconstruction
[arXiv] 2026-08-20 | Ribet Points, geometric divisibility sequence and order of reductions on semiabelian varieties
[arXiv] 2026-08-20 | Tri-Hybrid Beamforming for T-RIS-Enabled Base Station
[arXiv] 2026-08-20 | Improved quantitative stability for the critical Hardy inequality
[arXiv] 2026-08-20 | Well-Posedness for Cauchy Problems with Singular Time-Measurable Pseudo-Differential Operators in Quasi-decreasing Weighted $\mathrm{L}_2$-Spaces
[arXiv] 2026-08-20 | RFWM: Physics-Guided World Model for Dynamic Wireless Radiance Field Generation
[arXiv] 2026-08-20 | Minimal Quark-Lepton Complementarity from a Rigid Deformation of Tri-Bimaximal Mixing
[arXiv] 2026-08-20 | Learning Deterministic and Stochastic Forced Hamiltonian Systems
[arXiv] 2026-08-20 | Tight Entropy Contraction of Generalized Quantum Depolarization
[arXiv] 2026-08-20 | Learning Hierarchical Skill Policies with Offline Quality-Diversity Reinforcement Learning
[arXiv] 2026-08-20 | Cavity-Enhanced Activation of Radiatively Suppressed Light-Hole Exciton Emission in Colloidal Nanoplatelets
[arXiv] 2026-08-20 | Frequency-Aware Continual Learning for Smart Contract Vulnerability Detection with Large Language Models
[arXiv] 2026-08-20 | The Asymmetric Harms of LLM Compression
[arXiv] 2026-08-20 | FleetSieve: Decision-Critical Profiling for SLO-Aware LLM Fleet Configuration
[arXiv] 2026-08-20 | Differential Privacy in Feature Reconstruction Aided Federated Learning for Agent's Semantic Communication Model Update
[arXiv] 2026-08-20 | S$^2$GS: Structured Sparse Gaussian Streaming for Efficient Free-Viewpoint Video Reconstruction on Edge-IoT Devices
[arXiv] 2026-08-20 | Magnetically Self-Sealed MR Haptic Actuator With PWM-Based Excitation and High-Fidelity Torque Control
[arXiv] 2026-08-20 | Variational Goal-Oriented Optimal Experimental Design for Mixed-Distribution Quantities of Interest: Application to Ship Roll Safety
[arXiv] 2026-08-20 | Vorticity Dissipation Based Routing: A Fluid-Kinetic Framework for Loop-Free Transport in Ultra-Dense Networks
[arXiv] 2026-08-20 | Shift or curtail? How much data-center flexibility is worth depends on the host power grid
[arXiv] 2026-08-20 | Homoclinic Intersections and the Macroscopic Observability of Arnold Tongues in the Forced-Dissipative Duffing System
[arXiv] 2026-08-20 | Adaptive Time Windows for Discrete Adjoint Topology Optimization of Unsteady Flows
[arXiv] 2026-08-20 | IRIS: Navigating and Reflecting on Writing Traces Using Intelligent Document Histories
[arXiv] 2026-08-20 | What Matters for Latent Actions in Robot Learning
[arXiv] 2026-08-20 | Forking Fast: Efficiently Estimating Uncertainty Dynamics in Text Generation
[arXiv] 2026-08-20 | Tau-Rho Equality and Other Dependence Measures of a Subclass of Factorizable Copulas
[arXiv] 2026-08-20 | Universality of long-wavelength behavior of composite-fermion Fermi liquid
[arXiv] 2026-08-20 | Proton emission half-lives and shape coexistence for $71 \leq Z \leq 83$ odd-$Z$ nuclei
[arXiv] 2026-08-20 | PEA-DPO: Perception-Enhanced Alignment Direct Preference Optimization for MLLMs Alignment
[arXiv] 2026-08-20 | Martingale R-learner: Estimating Time-varying Heterogeneous Treatment Effects for Time-to-event Outcomes
[arXiv] 2026-08-20 | Loss-Resilient Semantic Communication over Packet-Loss Networks at Extreme-Low Bandwidth
[arXiv] 2026-08-20 | OrthoSkillVLA: Continual Skill Learning via Gradient-Informed Skill Subspace Adaptation
[arXiv] 2026-08-20 | Kähler landscapes for complex neural network descents and guarantees including a search and destroy of the Calabi-Yau manifold
[arXiv] 2026-08-20 | Physics-guided machine learning for sim-to-real calibration of NV diamond magnetometers
[arXiv] 2026-08-20 | A Two-Stage Time-Aware Transformer for Short-Horizon AECOPD Risk Prediction
[arXiv] 2026-08-20 | The minimum number of Dehn $\mathbb Z$-colors of any nonsplittable $\mathbb Z$-colorable link is three
[arXiv] 2026-08-20 | Reliable Financial Named Entity Recognition under Domain Shift
[arXiv] 2026-08-20 | The VariableTNG project: mass-dependent regulation of galaxy morphology by baryonic feedback
[arXiv] 2026-08-20 | Multimodal Trajectory Planning for Surface Vehicles using Turning Circle-based Control Barrier Functions
[arXiv] 2026-08-20 | Quantum Energy Storage versus Heat-to-Work Conversion in an Interacting Spin System
[arXiv] 2026-08-20 | On the Value Function of Infinite-Horizon Optimal Control of Piecewise Affine Systems
[arXiv] 2026-08-20 | When Machines Speak: A Unified Generative Framework for Integrating Machine-Native Symbols into Pretrained Large Language Models
[arXiv] 2026-08-20 | Physics-Based versus Data-Driven Classification of Single-Photon Quantum Emitters from Sparse Autocorrelation Data
[arXiv] 2026-08-20 | Beyond Integrability Preserving Renormalization-Group Protocol in Non-Hermitian Hamiltonians with Time-Dependent Interaction Strengths
[arXiv] 2026-08-20 | Hear2Act: Benchmarking When Prosody Should Change What an Assistant Does
[arXiv] 2026-08-20 | The Normal Procrustes Problem: A Riemannian Optimization Approach
[arXiv] 2026-08-20 | Symposium: Trust via Auditable Records for Communities of AI Scientist Agents
[arXiv] 2026-08-20 | Trace-Based Execution-Level Observability of VDM-SL Specifications
[arXiv] 2026-08-20 | Sets of nice recurrence are partition regular
[arXiv] 2026-08-20 | The Forward-Backward Disconnect: State Dynamics, Credit Assignment, and Biological Grounding in Neural Computation
[arXiv] 2026-08-20 | Internal numerical semigroups
[arXiv] 2026-08-20 | Explicit birational models of marked elliptic surfaces of relative degree two
[ACM] 2026-8-20 | Turning Students into Neurons — Evaluating an Embodied CS Unplugged Learning Activity on Neural Networks
[ACM] 2026-8-20 | Beyond Manipulation: How Users Perceive Harmful AI Chatbot Interactions
[ACM] 2026-8-20 | From Interview to Persona: A Transparent Workflow for Learner-Centered Educational Technology Design
[ACM] 2026-8-20 | Intent-Aware Backchanneling for Active Listening in Human-Robot Interaction
[ACM] 2026-8-20 | “Let Me Take That Back”: Designing and Testing Deletion Interfaces for Human-AI Interaction
[IEEE] 2026-8-20 | Decentralized Federated Learning for Heterogeneous Multi-Task Semantic Communication
[IEEE] 2026-8-20 | Hierarchical Biomarker Modeling for Facial Paralysis Assessment and Rehabilitation Monitoring
[IEEE] 2026-8-20 | User Mobility Demands Near-Field Communications in Terahertz-Band Wireless Networks Beyond 6G
[IEEE] 2026-8-20 | Boundary-Evolved Optimization for Compliant Mechanism Design: Principles, Verification, and Applications
[IEEE] 2026-8-20 | Energy-Efficient State Estimation with 1-Bit Sensing: A Bussgang-Kalman Framework for Internet of Things
[IEEE] 2026-8-20 | A Compensation Algorithm Based on Dual-Threshold Differential Peak Detection for Wide-Range Neutron Measurement with Proportional Counters
[IEEE] 2026-8-20 | Joint Average Fusion and Spatial Registration: GA-Based Distributed Multi-Target Tracking
[IEEE] 2026-8-20 | Design, Analysis, and Demonstration of a Low-Profile Dual-Polarized Millimeter-Wave Liquid Crystal-Based Phased Array with Fast Response Based on Corporate-Series Feeding Strategy
[IEEE] 2026-8-20 | IEEE Member Discounts Program
[IEEE] 2026-8-20 | Self-Powered High-Performance Solar-Blind/Near Ultraviolet Dual-Band Photodetector Based on
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /CuAlO
                    <sub>2</sub>
                    Heterojunction
[IEEE] 2026-8-20 | Hybrid Modeling Approach for Multicoil Torque Prediction of Spherical Reluctance Motor
[IEEE] 2026-8-20 | Data-Driven Lagrangian Optimization for O-RAN Efficiency
[IEEE] 2026-8-20 | Dynamic Multi-View Semi-Supervised Classification via ODE-Enhanced Graph Convolutional Networks
[IEEE] 2026-8-20 | SEP Analysis of a Low-Resolution SIMO System with
                    <i>M</i>
                    -PSK over Fading Channels
[IEEE] 2026-8-20 | Multi-category Cross-subject Hand Gesture Recognition Based on Spatiotemporal Decoding via A-mode Ultrasound Sensing
[IEEE] 2026-8-20 | Transformer-based Offline Reinforcement Learning for Intelligent Torpedo Evasion in Autonomous Underwater Vehicles
[IEEE] 2026-8-20 | TraceStructRepair: Effective Diagnostic Representation for Context-Limited Automated Program Repair
[IEEE] 2026-8-20 | LLM-Based Data Generation and Augmentation for Rust Vulnerability Detection
[IEEE] 2026-8-20 | Understanding Stylistic and Syntactic Backdoor Attacks in Text Classification
[IEEE] 2026-8-20 | A Deterministic PPG-Based Algorithm for Obstructive Sleep Apnea Detection
[IEEE] 2026-8-20 | Development of a High-Voltage Gain DC-DC Converter with Integrated Three-Winding Coupled Inductor for Low-Power Renewable Energy Applications
[IEEE] 2026-8-20 | Impact of Smartphone Use on Health and Academic Performance Among University Students: Evidence from the University of Sharjah
[IEEE] 2026-8-20 | Cloud-Assisted Zero Trust Architecture for CPS Actuators Using a Trust-Lease Extension of ZeTiots-FW
[IEEE] 2026-8-20 | Sliding Mode-based Position Control of Wave Propelled Platforms
[IEEE] 2026-8-20 | Transferability of the GCG Attack Across LLMs: Correlation with Attention Similarity and Transfer Rate Prediction
[IEEE] 2026-8-20 | Statistically Optimal First-Order Sliding-Mode Control under Gaussian Measurement Noise
[IEEE] 2026-8-20 | Decentralized Intent-Based Multi-Robot Task Planner with LLM Oracles on Hyperledger Fabric
[IEEE] 2026-8-20 | An Efficient High-Frequency Isolated Buck DC-DC Converter for DC-DVR Applications
[IEEE] 2026-8-20 | Aperiodic Frequency-Agile Signal Generation Based on Optoelectronic Hybrid Oscillator
[IEEE] 2026-8-20 | Analysis of Super-Gaussian Cascaded WSS Filter Transfer Functions for 400 and 800 Gbit/s Coherent Metro Networks
[IEEE] 2026-8-20 | Finite time observers using integrations for sensorless control of electrical machines
[IEEE] 2026-8-20 | Orthodontic Extraction Decision Support Using Deep Learning on Lateral Cephalometric Radiographs
[IEEE] 2026-8-20 | Intelligent Path Planning and Robust Tracking of Microrobots in Complex Vascular Networks
[IEEE] 2026-8-20 | Identification of Clutch Pressure Plate Types Using Computer Vision
[IEEE] 2026-8-20 | Toward Large-Scale and Interoperable Smart Home Emulator with Cyreal Framework
[IEEE] 2026-8-20 | Data-driven Estimation of Force and Location along FBG-integrated Flexible Instruments
[IEEE] 2026-8-20 | A New Configuration for a Solid-State Bipolar Nano-Second Pulse Generator
[IEEE] 2026-8-20 | CUBIC++: Empirical Fine-Tuned CUBIC
[IEEE] 2026-8-20 | Large-Range XY Compliant Platform Decoupled based on Reinforcement Learning*
[IEEE] 2026-8-20 | Dual-Constrained Compliant Assembly Strategy for Micro Thin-Walled Parts Based on Gripping and Contact Forces
[IEEE] 2026-8-20 | Sliding Mode Control on Time Scales: Graininess-Induced Quasi-Sliding Under Asynchronous Sensing
[IEEE] 2026-8-20 | Designing LLM Agents for Output Checking in Research Data Centers: Disclosure Risk and Output Validation
[IEEE] 2026-8-20 | Design and Fabrication of Slotted Surface-Grating DFB Lasers at 1550 nm
[ACM] 2026-8-20 | Combining Thinking Aloud and Eye Tracking
[ACM] 2026-8-20 | Inclusive CS Education in K-12 Classrooms: A Seminar for Prospective CS Teachers
[IEEE] 2026-8-20 | A Biomimetic Human-Robot Interface for Natural Cooperative Ankle Movement in Healthy and Post-Stroke Subjects
[IEEE] 2026-8-20 | RV-KEM: A RISC-V ISE-Accelerator for ML-KEM on Lightweight IoT Cores
[IEEE] 2026-8-20 | Wavelength-shift-free reconfigurable multilevel optical switching using a SbSe-based nanobeam cavity_supp1-3723082.docx
[IEEE] 2026-8-20 | Local Frequency-Guided Peak Extracting Transform for Reflection Interface Identification in Deep Carbonate Reservoirs
[IEEE] 2026-8-20 | DP
                    <sup>2</sup>
                    -RAG: An Efficient Full-Process Differential Privacy Implementation in Retrieval-Augmented Generation
[IEEE] 2026-8-20 | Largely Constrained Noise-guessing Decoding of Short LDPC codes
[IEEE] 2026-8-20 | Position Estimation via a Single LEO Satellite based on Pseudorange and Doppler Measurements
[IEEE] 2026-8-20 | 3D Channel Spatial Selectivity Analysis of LEO Satellite-Vehicle Communication
[IEEE] 2026-8-20 | Table of Contents
[IEEE] 2026-8-20 | Relative Navigation and Dynamic Target Tracking for Autonomous Underwater Proximity Operations
[IEEE] 2026-8-20 | FreqPath-Net: Frequency-Aware Spectral–Orthogonal Network for Histopathological Nuclei Segmentation
[IEEE] 2026-8-20 | Risk Occupancy: A New and Efficient Paradigm Through Vehicle-Road-Cloud Collaboration
[IEEE] 2026-8-20 | Standardisation Insights from IMT-2020 Evaluation of EUHT-5G: Reliability and Spectral Efficiency in Mobile Scenarios
[IEEE] 2026-8-20 | EEG Connectomics in Rotator Cuff Injury: Central Network Reorganization During Three-Plane Antagonistic Shoulder Tasks
[IEEE] 2026-8-20 | Research on Optimization and Control Strategies of Sliding Pressure Operation of Steam Turbine under Deep Peak Regulation Conditions
[IEEE] 2026-8-20 | High-Stability Laser Driving and Temperature Control System for Sensing Applications
[IEEE] 2026-8-20 | Engineered miRNA Feature–Driven Machine Learning Models for Risk Stratification in Lung Adenocarcinoma
[IEEE] 2026-8-20 | From SAINT to COMPSAC: A Quarter Century of Partnership between IEEE-CS and IPSJ
[IEEE] 2026-8-20 | Online Power Coefficient Estimation in Wind Turbines via Adaptive Sliding-Mode Observers
[IEEE] 2026-8-20 | Application of Machine Learning Techniques on Prostate Cancer Genomics Data for Clustering and Classification
[IEEE] 2026-8-20 | LPTV Structure-Constrained Kalman Filter for OFDM Channel Estimation in Power Line Communications
[IEEE] 2026-8-20 | SemTFT: When Semantics Meet Intermittent Demand Forecasting
[IEEE] 2026-8-20 | Stable Handoff Method using Staged Decisions for Wireless LAN Systems
[IEEE] 2026-8-20 | Two-Stage Pattern-Based Fast Reconfiguration for Optical-Switched AI Datacenter Networks
[IEEE] 2026-8-20 | Engineering Guided Determinism in Neuro-Symbolic Agents: A Comparative Study of Orchestration Strategies for Supply Chain Replenishment
[IEEE] 2026-8-20 | Location-Based Wi-Fi AP Discovery Optimization for Vehicle-to-Infrastructure Communication
[IEEE] 2026-8-20 | An Ultra High Gain Double-Dual-Boost DC–DC Converter Based on Switched Inductor Cells and Ripple Mitigation Technique
[IEEE] 2026-8-20 | Auditing Training Data in Domain-adapted LLMs: LoRA-MINT
[IEEE] 2026-8-20 | Synthetic Data Augmentation via Class-Conditional Latent Diffusion Models for Fundus Image Quality Assessment
[IEEE] 2026-8-20 | A Web-Based Pipeline for Ontology-Free Biomedical Knowledge Graph Construction and Exploration
[IEEE] 2026-8-20 | Performance Analysis of AFDM-IM LiDAR-ISAC Waveforms under Composite FSO Channels
[IEEE] 2026-8-20 | High-efficiency edge coupler for hybrid integration of distributed feedback lasers
[IEEE] 2026-8-20 | Voltage-Frequency Control of Standalone Single-Phase Inverter Based on Adaptive Backstepping Controller with State and Nonlinear Disturbances Observers: An Experimental Validation
[IEEE] 2026-8-20 | Synthetic Versus Real-World Traffic: An Empirical Evaluation of Machine Learning–Based DDoS Detection
[IEEE] 2026-8-20 | Performance Analysis of NOMA-Based Ultraviolet Communication Systems with Imperfect SIC
[IEEE] 2026-8-20 | ABCD: Active Buildings with Computing, Distributed Sensing, and Secure Edge Collaboration for Autonomous Hazard Mitigation
[IEEE] 2026-8-20 | Evaluating Gesture Recognition Robustness on Smartwatches: A Comparison Between User-Dependent and User-Independent Protocols
[IEEE] 2026-8-20 | Secure and Scalable Dynamic Blockchain Sharding via a Multi-Granularity Reputation Model
[IEEE] 2026-8-20 | Dual Point Temperature Sensing Using Cascaded Phase-shifted Fiber Bragg Gratings and A Convolutional Neural Network
[IEEE] 2026-8-20 | On the adaptive stabilization of MIMO systems with uncertain control direction
[IEEE] 2026-8-20 | Collaborative Management Optimization Method of Energy Storage + Data Center Flexible Load Based on Computing Scheduling
[IEEE] 2026-8-20 | Knowledge Graph-Based AI Framework for Predicting Nutritional and Health Impacts of Food Ingredients
[IEEE] 2026-8-20 | Design of a Compact XYZ Flexure-Based Nanopositioning Stage for Silicon Photonic Coupling with a Large Moving Platform and Low Cross-Axis Coupling
[IEEE] 2026-8-20 | Usability Study of AI-Based Stress Management Support Among College Students
[IEEE] 2026-8-20 | Temporal Decomposition with Selective Fixing and Relaxation for Fast Distributionally Robust Unit Commitment
[IEEE] 2026-8-20 | Robust High-Performance Control using Nonlinear Sliding Surface: A Case Study on Depth Control of an Autonomous Underwater Vehicle
[IEEE] 2026-8-20 | Effect of Weakly Correlated Crystallizations: Quantitative Characterization in GaAs/Si Heteroepitaxial material
[IEEE] 2026-8-20 | Accurate Demodulation in MEMS Fabry-Perot Pressure sensor via Autoencoder-Based Spectral Learning and Temporal Convolutional Networks
[IEEE] 2026-8-20 | Performance Analysis of LMS Adaptive Equalizer for Optical Communication in Three Typical Scenarios
[IEEE] 2026-8-20 | Graph Orientation for Efficient Multi-Agent Pickup and Delivery Using Genetic Algorithm
共写入 200 条记录，保存到 papers/paper2026-08-20.json。
论文获取成功，文件路径: papers/paper2026-08-20.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Learning When to Think: Adaptive Reasoning for Test-Time Compute Allocation
[NO] 2/200 | Notes on Hydrodynamic Limits and Related Topics
[NO] 3/200 | Logarithmic depth compression of Heisenberg Hamiltonian simulation by fan-out parallelization, with built-in error detection
[NO] 4/200 | Boundary layers and vanishing diffusivity in run-and-tumble models
[NO] 5/200 | Intersecting families of permutations with a fixed number of cycles
[NO] 6/200 | A Bayesian Edge-Space Framework for Whole-Connectome Inference in Multisite Autism Neuroimaging
[NO] 7/200 | Directional Subdifferentials of the Value Function in Asplund Spaces
[NO] 8/200 | SPT-3G+: A Cosmic Microwave Background Experiment for the South Pole Telescope
[NO] 9/200 | Novel models of trait evolution via an expansion of Lande's fitness function: The Ornstein-Uhlenbeck process meets the Little Prince's boa
[NO] 10/200 | Intensity-based scattering correction enables in vivo two-photon imaging beyond 1 mm
[NO] 11/200 | Electronic Navigational Chart Change Classification
[NO] 12/200 | On the proof of Bray's conjecture
[NO] 13/200 | Explainability by Design: Structured Kolmogorov-Arnold Networks over Probabilistic Attributes for Speech Deepfake Source Tracing
[NO] 14/200 | A Computationally Efficient Likelihood Approximation for Target Tracking in Time-Varying Multipath Channels
[NO] 15/200 | A note on 4-forms in 8-dimensions
[NO] 16/200 | Floquet Theory for Light-Driven Rotation of Dipolar and Multipolar Particles
[NO] 17/200 | From Agent Behaviour to Agent-Friendly Documentation: An Empirical Study of How Coding Agents Discover, Read, and Write Technical Documentation
[NO] 18/200 | A Unified Theoretical Framework for Photoemission and Its Inverse: Reciprocity, Spin, and Photon Polarization
[NO] 19/200 | An Analytical Two Incompressible Fluid Star with a Mixed Ordinary Dark Matter Core and an Ordinary Matter Envelope
[NO] 20/200 | Exact Algebraic Computation of Learning Coefficients for Two-Dimensional Singular Models
[NO] 21/200 | Ask Self, Ask Others: Relation Is All You Need
[NO] 22/200 | FormalTCS: Benchmarking End-to-End Frontier Formal Theoretical Computer Science Research of Large Language Models
[NO] 23/200 | Symmetry-guided modal control in elliptical femtosecond-laser-written photonic waveguides
[NO] 24/200 | Worst-Case Probability Bounds for Finite-Horizon Safety under Moment Uncertainty
[NO] 25/200 | Performance-Guaranteed Reference Tracking With Power Directionality Constraints: Application to Controlled Stochastic Watersheds
[NO] 26/200 | Planning-Oriented End-to-End Autonomous Driving: Architectures, Evaluation, and Emerging Paradigms
[NO] 27/200 | Superconvergence and aliasing saturation in Sloan iteration for spherical integral equations
[NO] 28/200 | Mid-infrared distributed-feedback lasing from black phosphorus under nanosecond excitation
[NO] 29/200 | Backstepping-Guided Reinforcement Learning for Wide-Range Saint-Venant Canal Regulation
[NO] 30/200 | Squeezed- and coherent-state quantum key distribution over a deployed hybrid fibre-free-space channel
[NO] 31/200 | Effective Field Theory for Freezing Gravity with Minimally Coupled Matter
[NO] 32/200 | Scattering for the focusing $H^{1/2}$-critical nonlinear Schrödinger equation with large data
[NO] 33/200 | Singularity-Rank Signatures in Generalized Dirac Oscillators near a BTZ Horizon
[NO] 34/200 | Toward Operational Solar Flare Peak Flux Nowcasting: A Strategy Combining Real-Time Data, Machine Learning, and NOAA Flare Detection Criteria
[NO] 35/200 | Velocity Index Modulation for Movable Antenna Systems
[NO] 36/200 | What You Can't See Is What You Learn: Restricted Evidence Visibility Favors Compositional Generalization in Shared-Genome Language-Model Societies
[NO] 37/200 | A Canonical m-Atomic Decomposition of Bipartite Graphs via a Grid Model
[NO] 38/200 | Radial Convex Geometry of Quantum States and Its Relation to Best Separable Approximation
[NO] 39/200 | A dichotomy for the number of vertex-critical ($P_5$, $H$)-free graphs when $H$ is bipartite
[NO] 40/200 | Symmetry-agnostic stellarators for collisionless confinement
[NO] 41/200 | A three-dimensional typology of agency for advanced AI systems
[NO] 42/200 | Anomalous behavior of native point defects in C2-ordered antiferromagnet $α$-MnO$_2$
[NO] 43/200 | Positive scalar curvature Kähler metrics and shifted $K$-stability
[NO] 44/200 | From Street View Imagery to Street Quality Indicators: Vision Language Inference for the Suburban 15-minute City
[NO] 45/200 | Exact Fluctuation-Response Relations for Underdamped Langevin Dynamics
[NO] 46/200 | Manifold Drift in Flow Preference Optimization: A Root Cause of Reward Hacking
[NO] 47/200 | A Fully Automated, Deployment-Aware Testing Pipeline for IoT-Based Automotive Applications
[NO] 48/200 | Causal Survival Forests with Negative Controls
[NO] 49/200 | Gallileo-4D: Frozen Backbone Ensemble for Dynamic 4D Reconstruction
[NO] 50/200 | Ribet Points, geometric divisibility sequence and order of reductions on semiabelian varieties
[YES] 51/200 | Tri-Hybrid Beamforming for T-RIS-Enabled Base Station
[NO] 52/200 | Improved quantitative stability for the critical Hardy inequality
[NO] 53/200 | Well-Posedness for Cauchy Problems with Singular Time-Measurable Pseudo-Differential Operators in Quasi-decreasing Weighted $\mathrm{L}_2$-Spaces
[NO] 54/200 | RFWM: Physics-Guided World Model for Dynamic Wireless Radiance Field Generation
[NO] 55/200 | Minimal Quark-Lepton Complementarity from a Rigid Deformation of Tri-Bimaximal Mixing
[NO] 56/200 | Learning Deterministic and Stochastic Forced Hamiltonian Systems
[NO] 57/200 | Tight Entropy Contraction of Generalized Quantum Depolarization
[NO] 58/200 | Learning Hierarchical Skill Policies with Offline Quality-Diversity Reinforcement Learning
[NO] 59/200 | Cavity-Enhanced Activation of Radiatively Suppressed Light-Hole Exciton Emission in Colloidal Nanoplatelets
[NO] 60/200 | Frequency-Aware Continual Learning for Smart Contract Vulnerability Detection with Large Language Models
[NO] 61/200 | The Asymmetric Harms of LLM Compression
[NO] 62/200 | FleetSieve: Decision-Critical Profiling for SLO-Aware LLM Fleet Configuration
[NO] 63/200 | Differential Privacy in Feature Reconstruction Aided Federated Learning for Agent's Semantic Communication Model Update
[NO] 64/200 | S$^2$GS: Structured Sparse Gaussian Streaming for Efficient Free-Viewpoint Video Reconstruction on Edge-IoT Devices
