[2026-03-01 09:23:54] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-28
正在获取论文...
[ACM] 2026-2-28 | Designing a Question-Asking AI to Cultivate Epistemic Curiosity in Information Seeking
[ACM] 2026-2-28 | Designing for Complex Information Needs: A Case Study in Special Education Health Services and Future Information Retrieval Systems
[ACM] 2026-2-28 | Rare but Respected: Sustainable Intent in Online Product Search
[ACM] 2026-2-28 | Length Effects in Conversation-Style Sustainability Information for Ethical Consumption: An Eye-tracking Study
[ACM] 2026-2-28 | Beyond the Query: A Survey Design for Eliciting Underlying Motivations in Web Search
[ACM] 2026-2-28 | Complementary and Alternative Medicine (CAM) Information Seeking Behavior for Menopause Amongst Migrant Women
[ACM] 2026-2-28 | Workshop on Generative AI and Academic Search (GAI&amp;AS)
[ACM] 2026-2-28 | In-Browser Agents for Search Assistance
[ACM] 2026-2-28 | SearchPath: A Visual Reminder of Past Search Activity to Support Students with Dyslexia when Undertaking Exploratory Searches
[ACM] 2026-2-28 | Understanding the Effects of Conversational Agent Personality on the Credibility of LLM-Based Conversational Search
[ACM] 2026-2-28 | Beyond KAN: Introducing KarSein for Adaptive High-Order Feature Interaction Modeling in CTR Prediction
[ACM] 2026-2-28 | Dynamic De-Redundancy and Modality-Guided Feature De-Noisy for Multimodal Recommendation
[ACM] 2026-2-28 | Multi Omics Data Integration and Clustering for Disease Subtype Discovery Using SNF and NEMO Algorithms
[ACM] 2026-2-28 | Enhancing Low-Resource Joint Entity and Relation Extraction Using Large Language Models within Semi-Supervised Learning
[ACM] 2026-2-28 | From Principles to Practice: A Design Framework for Patient-Centered Conversational AI in Digital Medicine
[ACM] 2026-2-28 | Comparison of YOLOv5 and YOLOv8 in Mycobacterium Tuberculosis Detection
[ACM] 2026-2-28 | Label-Free 3D Virtual Staining of Urine Cytology Using Holotomography and GAN-Based Deep Learning
[ACM] 2026-2-28 | Witness Generation for Classical JSON Schema
[ACM] 2026-2-28 | Navigating an Evolving Landscape: Exploring Researchers' Interactions with AI-Enhanced Academic Search Systems
[ACM] 2026-2-28 | Tip-of-the-Tongue Search in the Wild: Analyzing Human and LLM Performance and Success Factors on Complex Search Requests
[ACM] 2026-2-28 | A Multi-Year Survey of Use and Perceptions of Generative AI in Higher Education
[ACM] 2026-2-28 | Retrieval-Augmented Search for Large-Scale Map Collections with ColPali
[ACM] 2026-2-28 | Interest-Driven Search in AI-Mediated Information Environments: An Audio Diary Study
[ACM] 2026-2-28 | Electromagnetic Diagnosis of First Stage Breast Cancer
[ACM] 2026-2-28 | Classifying More Rectangle Regions of Bacteria in Gram Stained Smears Images
[ACM] 2026-2-28 | Bridging Classification and Localization in X-Ray Fracture Diagnosis via Weakly-Supervised Vision Transformers
[ACM] 2026-2-28 | Chinese Implicit Offensive Speech Detection Based on Knowledge Graph and Fuzzy Semantic
[ACM] 2026-2-28 | Don't Break the Flow: Supporting Deferral and Review of Potentially Serendipitous Information in Library Search
[ACM] 2026-2-28 | Can Instructed Retrieval Models Really Support Exploration?
[ACM] 2026-2-28 | A Questionnaire for Capturing Perceptions of Self-Regulated Learning Processes during Information Seeking
[ACM] 2026-2-28 | Bias or Balance? Analyzing Stance in Google and Bing Results for the 2024 EU Parliament Election
[ACM] 2026-2-28 | AskAda: An AI-Anchored Conversational Agent for Scholarly Information Seeking in Educational Contexts to Improve Learning
[ACM] 2026-2-28 | Autonomy in Older Adults' Information Seeking with Information Agents
[ACM] 2026-2-28 | Do LLMs Understand Collaborative Signals? Diagnosis and Repair
[ACM] 2026-2-28 | Proceedings of the 2026 Conference on Human Information Interaction and Retrieval
[ACM] 2026-2-28 | Object Detection for “Clinical Bacterial Dataset”
[ACM] 2026-2-28 | A Formal Lens on Android Permissions System: Modeling, Verification, and Exploitation Using LLMs and Model Checking
[ACM] 2026-2-28 | Does It Still Make Sense? Organizing and Summarizing Resources in Cross-Session Aggregated Search
[ACM] 2026-2-28 | Information Farming
[ACM] 2026-2-28 | Bayesian Inference Reuse in Multilevel Models
[ACM] 2026-2-28 | Detecting Bacteria from Gram Stained Smears Images by SODIC-YOLO, YOLO-TLA and Mamba YOLO
[ACM] 2026-2-28 | From SERPs to Sound: How Search Engine Result Pages and AI-generated Podcasts Interact to Influence User Attitudes on Controversial Topics
[ACM] 2026-2-28 | An Exploration of Conversation Enhanced Browsing with Hypergraph of Text
[ACM] 2026-2-28 | Characterizing Personality from Eye-Tracking: The Role of Gaze and Its Absence in Interactive Search Environments
[ACM] 2026-2-28 | CollabSearch: A Study of User-LLM Collaboration in Task-Based Search
[ACM] 2026-2-28 | What Were You Thinking? An LLM-Driven Large-Scale Study of Refactoring Motivations in Open-Source Projects
[ACM] 2026-2-28 | Measuring the credibility of generative AI-produced information: An exploratory factor analysis
[ACM] 2026-2-28 | CHARISMA: Character-Based Interaction Simulation with Multi-LLM Agents Toward Computational Social Psychology
[ACM] 2026-2-28 | Workshop on Human-Centered Proactive and Personalized Agents for Interactive Information Access
[ACM] 2026-2-28 | Building Conversational Information Sources as Human-Centered Digital Persona Twins for Probation Officer Training
[ACM] 2026-2-28 | Cooking Up Politeness in Human–AI Information Seeking Dialogue
[ACM] 2026-2-28 | Effects of Working Memory Capacity and Search Task Complexity on Cognitive Load
[ACM] 2026-2-28 | Measuring What Matters: Aligning System-Level RAG Metrics with User Trust in a High-Stakes Compliance Domain
[ACM] 2026-2-28 | From Raw Waveforms to on-device Earthquake Detection: Real-Time Seismic Data Analysis for MCUs
[ACM] 2026-2-28 | Humility Is Not Optional: When Teaching Shades Into Pastoral Care
[ACM] 2026-2-28 | MPGNet: Multi-Prompt Guided Diffusion Network for All-In-One Image Restoration
[ACM] 2026-2-28 | A Critical Reflection on the State of Data Analysis in Empirical Software Engineering
[ACM] 2026-2-28 | Does Cognitive Load Affect Human Accuracy in Detecting Voice-Based Deepfakes?
[ACM] 2026-2-28 | Expanded Tag Genomes for Cross-Domain Recommendation
[ACM] 2026-2-28 | Technology Use in Community Work: Operational Realities and Implications for Smart Cities
[ACM] 2026-2-28 | Linear Formal Verification of Sequential Circuits using Weighted-AIGs
[ACM] 2026-2-28 | Hierarchies of Minion Tests for PCSPs through Tensors
[ACM] 2026-2-28 | A Method for Improving the Accuracy of Biomagnetic Signal Inversion under Limited Field of View
[ACM] 2026-2-28 | An Execution Controller Enabling Autonomic Features in the Cloud-Native Environment
[ACM] 2026-2-28 | Realistic Adversarial Attacks for Robustness Evaluation of Trajectory Prediction Models via Future State Perturbation
[ACM] 2026-2-28 | VoxVista: Enhancing Screen Reading Experience for Online User Comments
[ACM] 2026-2-28 | Cleo: A Transparent and Controllable Chatbot for Conversational Commerce
[ACM] 2026-2-28 | From Tool to Teacher: Rethinking Search Systems as Instructive Interfaces
[ACM] 2026-2-28 | Not All Transparency Is Equal: Source Presentation Effects on Attention, Interaction, and Persuasion in Conversational Search
[ACM] 2026-2-28 | The effects of goal-setting on learning during information seeking with generative AI
[ACM] 2026-2-28 | Fair and Direct Exchange of Non-Fungible Tokens: The ExNFT Approach
[ACM] 2026-2-28 | "Although Powerful, it's not Infallible": Investigating Academic Researchers' Verification Challenges with LLMs
[ACM] 2026-2-28 | Integration of CT Imaging and CFD-DEM for Predictive Modelling of Bio-Particle Dynamics in a Stenosed Coronary Artery
[ACM] 2026-2-28 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'LpBound: Pessimistic Cardinality Estimation Using ?
                    <sub>p</sub>
                    -Norms of Degree Sequences'
[ACM] 2026-2-28 | Modelling and Visualizing Flows of Objects from Museums
[ACM] 2026-2-28 | A Contactless and non-invasive Analysis of Meibomian Gland Cyst Eye Disease Using Hyperspectral Imaging Camera
[ACM] 2026-2-28 | Proceedings of the 2025 8th International Conference on Digital Medicine and Image Processing
[ACM] 2026-2-28 | Building a Test Collection for Social Science Dataset Retrieval
[ACM] 2026-2-28 | Result Assessment Tool (RAT): An Open-Source Toolkit for Conducting Studies based on Search Results
共写入 100 条记录，保存到 papers/paper2026-02-28.json。
论文获取成功，文件路径: papers/paper2026-02-28.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | Designing a Question-Asking AI to Cultivate Epistemic Curiosity in Information Seeking
[NO] 2/100 | "I don't know anything about laptops!" – User Perception of Digital Product Advisors Adapting to Their Knowledge Levels
[NO] 3/100 | The Bayesian Storyteller: An Interactive System for Human-AI Collaborative Pitch Book Narrative Generation
[NO] 4/100 | From SERPs to Agents: A Platform for Comparative Studies of Information Interaction
[NO] 5/100 | Information Overload in Information Seeking with Conversational Agents: A Survey and Design Considerations
[NO] 6/100 | High-Efficiency Bidirectional Translator between SystemC and Verilog
[NO] 7/100 | Quantification of dissimilarity between valued directed networks
[NO] 8/100 | Rethinking Human-AI Collaboration in Information Seeking: Why Epistemic Incompatibility Demands New Design Paradigms
[NO] 9/100 | The Influence of the Communication Medium on Data Storytelling
[NO] 10/100 | Supporting Humans in Evaluating AI Summaries of Legal Depositions
[NO] 11/100 | ImmiGo - An Adaptive Multilingual Chatbot for Immigration Assistance
[NO] 12/100 | Exploring Art through Internet Aesthetics
[NO] 13/100 | Implicit Humanization in Everyday LLM Moral Judgments
[NO] 14/100 | Improving Data Reusability in Interactive IR: Insights from the Community
[NO] 15/100 | Seek and You Shall Find: Design &amp; Evaluation of a Context-Aware Interactive Search Companion
[NO] 16/100 | Privacy Discourse and Emotional Dynamics in Mental Health Information Interaction on Reddit
[NO] 17/100 | Confirmation, Framing, and Position Biases in LLM Responses
[NO] 18/100 | The impact of generative AI search result design on user perceptions and information adoption
[NO] 19/100 | Motion Intention Decoding and Training Effect Evaluation in Robot-assisted Upper Limb Rehabilitation based on MR-BCI
[NO] 20/100 | The Effects of Thinking Aloud on Participants during Search and Sensemaking
[NO] 21/100 | Simulation of Interactive Information Retrieval: A Guided Tour
[NO] 22/100 | Hyperspectral Pansharpening using 3D VolumeNet and 2.5D Texture Transfer
[NO] 23/100 | Designing for Complex Information Needs: A Case Study in Special Education Health Services and Future Information Retrieval Systems
[NO] 24/100 | Rare but Respected: Sustainable Intent in Online Product Search
[NO] 25/100 | Length Effects in Conversation-Style Sustainability Information for Ethical Consumption: An Eye-tracking Study
[NO] 26/100 | Beyond the Query: A Survey Design for Eliciting Underlying Motivations in Web Search
[NO] 27/100 | Complementary and Alternative Medicine (CAM) Information Seeking Behavior for Menopause Amongst Migrant Women
[NO] 28/100 | Workshop on Generative AI and Academic Search (GAI&amp;AS)
[NO] 29/100 | In-Browser Agents for Search Assistance
[NO] 30/100 | SearchPath: A Visual Reminder of Past Search Activity to Support Students with Dyslexia when Undertaking Exploratory Searches
[NO] 31/100 | Understanding the Effects of Conversational Agent Personality on the Credibility of LLM-Based Conversational Search
[NO] 32/100 | Beyond KAN: Introducing KarSein for Adaptive High-Order Feature Interaction Modeling in CTR Prediction
[NO] 33/100 | Dynamic De-Redundancy and Modality-Guided Feature De-Noisy for Multimodal Recommendation
[NO] 34/100 | Multi Omics Data Integration and Clustering for Disease Subtype Discovery Using SNF and NEMO Algorithms
[NO] 35/100 | Enhancing Low-Resource Joint Entity and Relation Extraction Using Large Language Models within Semi-Supervised Learning
[NO] 36/100 | From Principles to Practice: A Design Framework for Patient-Centered Conversational AI in Digital Medicine
[NO] 37/100 | Comparison of YOLOv5 and YOLOv8 in Mycobacterium Tuberculosis Detection
[NO] 38/100 | Label-Free 3D Virtual Staining of Urine Cytology Using Holotomography and GAN-Based Deep Learning
[NO] 39/100 | Witness Generation for Classical JSON Schema
[NO] 40/100 | Navigating an Evolving Landscape: Exploring Researchers' Interactions with AI-Enhanced Academic Search Systems
[NO] 41/100 | Tip-of-the-Tongue Search in the Wild: Analyzing Human and LLM Performance and Success Factors on Complex Search Requests
[NO] 42/100 | A Multi-Year Survey of Use and Perceptions of Generative AI in Higher Education
[NO] 43/100 | Retrieval-Augmented Search for Large-Scale Map Collections with ColPali
[NO] 44/100 | Interest-Driven Search in AI-Mediated Information Environments: An Audio Diary Study
[NO] 45/100 | Electromagnetic Diagnosis of First Stage Breast Cancer
[NO] 46/100 | Classifying More Rectangle Regions of Bacteria in Gram Stained Smears Images
[NO] 47/100 | Bridging Classification and Localization in X-Ray Fracture Diagnosis via Weakly-Supervised Vision Transformers
[NO] 48/100 | Chinese Implicit Offensive Speech Detection Based on Knowledge Graph and Fuzzy Semantic
[NO] 49/100 | Don't Break the Flow: Supporting Deferral and Review of Potentially Serendipitous Information in Library Search
[NO] 50/100 | Can Instructed Retrieval Models Really Support Exploration?
[NO] 51/100 | A Questionnaire for Capturing Perceptions of Self-Regulated Learning Processes during Information Seeking
[NO] 52/100 | Bias or Balance? Analyzing Stance in Google and Bing Results for the 2024 EU Parliament Election
[NO] 53/100 | AskAda: An AI-Anchored Conversational Agent for Scholarly Information Seeking in Educational Contexts to Improve Learning
[NO] 54/100 | Autonomy in Older Adults' Information Seeking with Information Agents
[NO] 55/100 | Do LLMs Understand Collaborative Signals? Diagnosis and Repair
[NO] 56/100 | Proceedings of the 2026 Conference on Human Information Interaction and Retrieval
[NO] 57/100 | Object Detection for “Clinical Bacterial Dataset”
[NO] 58/100 | A Formal Lens on Android Permissions System: Modeling, Verification, and Exploitation Using LLMs and Model Checking
[NO] 59/100 | Does It Still Make Sense? Organizing and Summarizing Resources in Cross-Session Aggregated Search
[NO] 60/100 | Information Farming
[NO] 61/100 | Bayesian Inference Reuse in Multilevel Models
[NO] 62/100 | Detecting Bacteria from Gram Stained Smears Images by SODIC-YOLO, YOLO-TLA and Mamba YOLO
[NO] 63/100 | From SERPs to Sound: How Search Engine Result Pages and AI-generated Podcasts Interact to Influence User Attitudes on Controversial Topics
[NO] 64/100 | An Exploration of Conversation Enhanced Browsing with Hypergraph of Text
[NO] 65/100 | Characterizing Personality from Eye-Tracking: The Role of Gaze and Its Absence in Interactive Search Environments
[NO] 66/100 | CollabSearch: A Study of User-LLM Collaboration in Task-Based Search
[NO] 67/100 | What Were You Thinking? An LLM-Driven Large-Scale Study of Refactoring Motivations in Open-Source Projects
[NO] 68/100 | Measuring the credibility of generative AI-produced information: An exploratory factor analysis
[NO] 69/100 | CHARISMA: Character-Based Interaction Simulation with Multi-LLM Agents Toward Computational Social Psychology
[NO] 70/100 | Workshop on Human-Centered Proactive and Personalized Agents for Interactive Information Access
[NO] 71/100 | Building Conversational Information Sources as Human-Centered Digital Persona Twins for Probation Officer Training
[NO] 72/100 | Cooking Up Politeness in Human–AI Information Seeking Dialogue
[NO] 73/100 | Effects of Working Memory Capacity and Search Task Complexity on Cognitive Load
[NO] 74/100 | Measuring What Matters: Aligning System-Level RAG Metrics with User Trust in a High-Stakes Compliance Domain
[NO] 75/100 | From Raw Waveforms to on-device Earthquake Detection: Real-Time Seismic Data Analysis for MCUs
[NO] 76/100 | Humility Is Not Optional: When Teaching Shades Into Pastoral Care
[NO] 77/100 | MPGNet: Multi-Prompt Guided Diffusion Network for All-In-One Image Restoration
[NO] 78/100 | A Critical Reflection on the State of Data Analysis in Empirical Software Engineering
[NO] 79/100 | Does Cognitive Load Affect Human Accuracy in Detecting Voice-Based Deepfakes?
[NO] 80/100 | Expanded Tag Genomes for Cross-Domain Recommendation
[NO] 81/100 | Technology Use in Community Work: Operational Realities and Implications for Smart Cities
[NO] 82/100 | Linear Formal Verification of Sequential Circuits using Weighted-AIGs
[NO] 83/100 | Hierarchies of Minion Tests for PCSPs through Tensors
[NO] 84/100 | A Method for Improving the Accuracy of Biomagnetic Signal Inversion under Limited Field of View
[NO] 85/100 | An Execution Controller Enabling Autonomic Features in the Cloud-Native Environment
[NO] 86/100 | Realistic Adversarial Attacks for Robustness Evaluation of Trajectory Prediction Models via Future State Perturbation
[NO] 87/100 | VoxVista: Enhancing Screen Reading Experience for Online User Comments
[NO] 88/100 | Cleo: A Transparent and Controllable Chatbot for Conversational Commerce
[NO] 89/100 | From Tool to Teacher: Rethinking Search Systems as Instructive Interfaces
[NO] 90/100 | Not All Transparency Is Equal: Source Presentation Effects on Attention, Interaction, and Persuasion in Conversational Search
[NO] 91/100 | The effects of goal-setting on learning during information seeking with generative AI
[NO] 92/100 | Fair and Direct Exchange of Non-Fungible Tokens: The ExNFT Approach
[NO] 93/100 | "Although Powerful, it's not Infallible": Investigating Academic Researchers' Verification Challenges with LLMs
[NO] 94/100 | Integration of CT Imaging and CFD-DEM for Predictive Modelling of Bio-Particle Dynamics in a Stenosed Coronary Artery
[NO] 95/100 | Reproducibility Report for ACM SIGMOD 2025 Paper: 'LpBound: Pessimistic Cardinality Estimation Using ?
                    <sub>p</sub>
                    -Norms of Degree Sequences'
[NO] 96/100 | Modelling and Visualizing Flows of Objects from Museums
[NO] 97/100 | A Contactless and non-invasive Analysis of Meibomian Gland Cyst Eye Disease Using Hyperspectral Imaging Camera
[NO] 98/100 | Proceedings of the 2025 8th International Conference on Digital Medicine and Image Processing
[NO] 99/100 | Building a Test Collection for Social Science Dataset Retrieval
[NO] 100/100 | Result Assessment Tool (RAT): An Open-Source Toolkit for Conducting Studies based on Search Results
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-02-28.json。
邮件发送成功！
[2026-03-01 09:38:01] 任务执行成功！
