[2026-06-20 11:11:13] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-19
正在获取论文...
[ACM] 2026-6-19 | OZZ: Identifying Kernel Out-of-Order Concurrency Bugs with In-Vivo Memory Access Reordering
[IEEE] 2026-6-19 | AI-based Ensemble Model for Real-Time Bus Estimated Time of Arrival Prediction and Urban Transit Optimization
[IEEE] 2026-6-19 | Weighted Ensemble of Deep Architectures for SAR-Based Target Classification
[IEEE] 2026-6-19 | Breaking Down Silos: A Federated Approach to Collaborative Threat Detection Using Privacy-Preserving Machine Learning
[IEEE] 2026-6-19 | CyberKahoot: A Gamified Cybersecurity Awareness Platform For Students
[IEEE] 2026-6-19 | Intelligent Short-Term Load Forecasting for Renewable Power Grids Using Attention-Based Hybrid Deep Learning
[IEEE] 2026-6-19 | SignGPT: Real-Time ASL Keyword Recognition with LLM-Guided Sentence Completion
[IEEE] 2026-6-19 | Path Planning in Dynamic Environments: A Comparison of Algorithms in the RoboCup SSL
                    <sup>*</sup>
[IEEE] 2026-6-19 | Lung Disease Classification from Chest X-Rays using ConvNeXt with Coordinate Attention on the COVID-19 Radiography Dataset
[IEEE] 2026-6-19 | IEEE Guide for System Commissioning of Medium and Low (750 V to ±50 kV) Voltage Direct Current Distribution Network
[IEEE] 2026-6-19 | Evaluating Classical and Deep Learning Approaches for improving Honeypot-Informed Network Intrusion Detection
[IEEE] 2026-6-19 | An Attentive Multi-Scale Approach for Semantic Segmentation
[IEEE] 2026-6-19 | An Intelligent ML-Driven IoT Framework for Real-Time Water Quality Monitoring in Shrimp Aquaculture
[IEEE] 2026-6-19 | Smart Aquaculture: Water Quality Forecasting using a CNN-BILSTM Attention Hybrid Architecture
[IEEE] 2026-6-19 | Adaptive Risk-Constrained Energy Scheduling of Microgrids Under Renewable Uncertainty
[IEEE] 2026-6-19 | Solar Sweepnet Autonomous Road Cleaning Machine
[ACM] 2026-6-20 | Trellising as a Design Metaphor to Support Organic Learning Interactions
[ACM] 2026-6-20 | Digital Inequality in the Age of GenAI: How Rural versus Urban Parents Differ in AI Perceptions and Adoption
[ACM] 2026-6-20 | Rhyme Island: A Multi-Sensory Tangible Interface for Young Children's Music Learning
[ACM] 2026-6-20 | FM4EAD: Towards Training-Free Energy Anomaly Detection with Large Language Models and Time-Series Foundation Models
[ACM] 2026-6-20 | Bayesian Experimental Design-Guided LLM for Active Trainset Selection in Model Fine-Tuning for Energy Prediction
[ACM] 2026-6-20 | Supporting Parents’ Playfulness With Their Preschool Children Using Generative AI
[ACM] 2026-6-20 | STEM Charades: encouraging reflection on the role of gesture in early years science
[ACM] 2026-6-19 | CONFINE: Confidence-Gated Coarse-to-Fine Neural Inference for Energy-Efficient Edge Classification
[ACM] 2026-6-19 | Neuromorphic Dendrites for Energy-Efficient Computation
[ACM] 2026-6-19 | To Overlay or to Customize? Revisiting Architectural Choices in Heterogeneous Systems
[ACM] 2026-6-19 | T-Gated: A Scene-Aware Framework for Occlusion-Resilient Passenger Analytics in Bus Interiors
[ACM] 2026-6-19 | The Price to Site: Cost-Effective Incentives for Solar Deployment
[IEEE] 2026-6-19 | Protecting Against Unauthorized Dataset Use in Fine-Tuning Text-to-Image Diffusion Models
[IEEE] 2026-6-19 | Rapid State Estimation and Screening for Retired 18650 Lithium-Ion Batteries Based on Machine Learning via Ultrasound Technology
[IEEE] 2026-6-19 | Deadbeat Weighting-Free Model Predictive Torque Control for OW-PMSM based on Resonant Extended State Observer
[ACM] 2026-6-19 | "If You're Very Clever, No One Knows You've Used It": The Social Dynamics of Developing Generative AI Literacy in the Workplace
[IEEE] 2026-6-19 | Exploring Cross-Domain Transferable Attacks via Decoupling Features_supp1-3705137.pdf
[IEEE] 2026-6-19 | An Automated Scheduling Framework for Event Extraction
[IEEE] 2026-6-19 | A 10-Gb/s NRZ/PAM-4 Compatible Transceiver Using 8b/10b Recovery for Automotive Applications
[IEEE] 2026-6-19 | Interpreting Moment Matrix Blocks Spectra using Mutual Shadow Area
[IEEE] 2026-6-19 | Skills for the Artificial Intelligence Era: Analysis from Colombian Engineering with Mixed Approach and Integrative Theoretical Framework
[IEEE] 2026-6-19 | CROS 2026 Cover Page
[IEEE] 2026-6-19 | An Efficient Low-Power Reconfigurable System Design for Smart Signal Processing
[IEEE] 2026-6-19 | Multilingual Agricultural Advisory System Using Fine-Tuned LLM-Driven Recommendation Models
[IEEE] 2026-6-19 | Metaheuristic-Based UAV Charging Scheduling for Wireless Rechargeable Mobile IoT Networks for Disaster Response Applications
[IEEE] 2026-6-19 | Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots
[IEEE] 2026-6-19 | Adaptive Swarm Navigation: Dynamic Switching Between Behaviors for Congestion Avoidance in Cluttered Environments
[IEEE] 2026-6-19 | A Wearable Sweat Relief System with Herbal Intelligence for Palmar Hyperhidrosis
[IEEE] 2026-6-19 | A reproducible engineering and economic framework for evaluating digital twin projects at the asset level
[IEEE] 2026-6-19 | A Vector Field–Based Path-Following Approach for Ackermann-Steered Vehicles
[IEEE] 2026-6-19 | Wearable IOP Monitoring System with Ocular Geometric Analysis
[IEEE] 2026-6-19 | Design and Implementation of a Quantum Reversible Full Adder-Subtractor
[IEEE] 2026-6-19 | A Non-Isolated LUO-Type High Step Up DC-DC Converter for on Board EV
[IEEE] 2026-6-19 | Intelligent Cloud-Connected IoT System for Monitoring and Control of Power Electronic Converters
[IEEE] 2026-6-19 | Design and Validation of High-Performance Low-Power Parallel Prefix Adders
[IEEE] 2026-6-19 | Matrix-based perspective to quantum multiplication
[ACM] 2026-6-20 | Engagement Is Not Transfer: A Withdrawal Study of a Consumer Social Robot with Autistic Children at Home
[ACM] 2026-6-20 | Child-Involved Group Prioritization: Effects of Group Composition on Experience, Participation Level, and Interaction
[ACM] 2026-6-20 | Inside Voice, Outside Voice
[ACM] 2026-6-20 | Navigating the AI Era: A Multi-Step Approach to Family AI Literacy and Mediation for Young Children
[ACM] 2026-6-20 | ABODES: An Agent-Based Framework for Evaluating Hybrid Work Policies Across Energy and Social Infrastructure
[ACM] 2026-6-19 | Mobile Phone Color Accuracy for Practical Cultural Heritage Imaging
[IEEE] 2026-6-19 | CoNR-Miner: Self-Adaptive Co-Occurrence Nonoverlapping Sequential Rule Mining
[IEEE] 2026-6-19 | CubeSat Cybersecurity: An Overview
[IEEE] 2026-6-19 | Author Index
[IEEE] 2026-6-19 | ICIICE 2026 Copyright Page
[IEEE] 2026-6-19 | Hardware-Aware Model Design and Training of Silicon-based Analog Neural Networks
[IEEE] 2026-6-19 | Slice-Aware Digital Twin Virtualization With RAG Assistant for O-RAN in Internet-of-Vehicles
[IEEE] 2026-6-19 | A Minimal Cross-Section Planar Microwave Ablation Antenna with Choke Structure
[IEEE] 2026-6-19 | Hardware-Efficient Nonlinear Voltage Threshold Estimation for NAND Flash Memory via Lightweight Deep Learning
[IEEE] 2026-6-19 | GradVision: Affordable and Explainable MobileNetV2-based Diabetic Retinopathy Detection via Optoretinal Imaging
[IEEE] 2026-6-19 | Reinforcement Learning and Generative AI in Autonomous Robotics with LLM Integration
[IEEE] 2026-6-19 | Performance Assessment of CMOS and Pass-Transistor Logic based Full Adder Architectures for Low-Power Digital Systems
[IEEE] 2026-6-19 | Comparative Analysis of Deep Learning Models and Optimization Strategies for Li-Ion Battery SOH Prediction
[IEEE] 2026-6-19 | Non-Intrusive Motor Shaft Fault Detection using Thermal Images and Hybrid Deep Learning Techniques
[IEEE] 2026-6-19 | An Integrated Vision-Based Automated Detection and Monitoring System for Out-Cabin ADAS in Intelligent Transportation Systems
[IEEE] 2026-6-19 | HybridFibroNet: Dual-Branch CNN-Transformer Architecture for Joint Liver Fibrosis Staging and Etiology Classification from B-Mode Ultrasound Images
[IEEE] 2026-6-19 | Advanced Deep Learning Architectures for Sign Language Recognition, Translation, and Multimodal Gesture Processing: A Comprehensive Survey
[IEEE] 2026-6-19 | LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks
[IEEE] 2026-6-19 | Probabilistic Analysis Application in Early Design of Multi-Component Technical Systems with Metrological Support
[IEEE] 2026-6-19 | A Modular Retrieval-Augmented Architecture for Multilingual Voice-Based Intelligent Assistant
[IEEE] 2026-6-19 | ReMindAR: An Adaptive Augmented Reality System for Face Recognition based Memory Assistance for Dementia Patients
[IEEE] 2026-6-19 | Agentic AI for the proactive identification of unforsseen disruptions in manufacturing supply chains
[IEEE] 2026-6-19 | Using the Physarum polycephalum model to build and optimize transport networks in the Arctic
[IEEE] 2026-6-19 | Miniaturized Mobile Robot for Educational Applications in Logistics
[IEEE] 2026-6-19 | Closed-loop grasp verification via structured multi-sensor reasoning under occlusion
共写入 100 条记录，保存到 papers/paper2026-06-19.json。
论文获取成功，文件路径: papers/paper2026-06-19.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | OZZ: Identifying Kernel Out-of-Order Concurrency Bugs with In-Vivo Memory Access Reordering
[NO] 2/100 | Embodied Safety Control for Flapping-Wing Robotic Aircraft Systems Under Dynamic Event-Triggered Mechanism
[NO] 3/100 | A Multimodal Gas-and-Vision Sensor System with Machine Learning for Early Food Spoilage Detection and Ventilation-Based Mitigation
[NO] 4/100 | KLI-Fusion: Tightly-coupled Kinematic-LiDAR-Inertial Odometry with Contact Foot Position Enhancement for Point-foot Biped Robots_supp2-3701770.mp4
[NO] 5/100 | Localization Techniques for Intelligent Vehicles based on Multi-Sensor Fusion: A Review
[NO] 6/100 | Sensitivity Analysis and Detuned Design of LCC-LCC Network for Inductive Power Transfer System with Wide Coupling Variation
[NO] 7/100 | <i>Perspicio</i>
                    : Safeguarding Against Non-consensual Photo Sharing over Social Networks
[NO] 8/100 | Easy3D-Labels: Supervising Semantic Occupancy Estimation with 3D Pseudo-Labels for Automotive Perception
[NO] 9/100 | Counterfactual Modeling with Fine-Tuned LLMs for Health Intervention Design and Sensor Data Augmentation_supp1-3697994.pdf
[NO] 10/100 | Feedback-Loop Pulsed Eddy Current Testing with Adaptive Excitation for Corrosion Detection
[NO] 11/100 | Structure-Consistent Complex-Representation Graph Network for Fast Prediction of Surface Currents and Scattering of 3-D PEC Targets
[NO] 12/100 | PalmIR: Blind Palmprint Image Restoration with Palm-oriented Mixture-of-Experts and Downstream Alignment for Robust Identification
[NO] 13/100 | Voltage Channel: Exploiting GPU Voltage Noise for Covert and Side Channel Attacks
[NO] 14/100 | Fixed-Time Inverse Reinforcement Learning Based Human–Machine Autonomous Game Control
[NO] 15/100 | High Performance Broadband Photodetector Based on a p-Borophene/n-MoS&amp;#x2082; Heterojunction_supp1-3705061.pdf
[NO] 16/100 | Toward Sustainable Computing with FPGAs and Chiplets
[NO] 17/100 | Cyber Physical Fusion Framework for Drift Reduced Indoor Localization
[NO] 18/100 | Real-Time Intravenous Infusion Monitoring using a Multi-Sensor IoT Framework
[NO] 19/100 | Smart EV Charging Scheduler using Machine Learning
[NO] 20/100 | AI-based Ensemble Model for Real-Time Bus Estimated Time of Arrival Prediction and Urban Transit Optimization
[NO] 21/100 | Weighted Ensemble of Deep Architectures for SAR-Based Target Classification
[NO] 22/100 | Breaking Down Silos: A Federated Approach to Collaborative Threat Detection Using Privacy-Preserving Machine Learning
[NO] 23/100 | CyberKahoot: A Gamified Cybersecurity Awareness Platform For Students
[NO] 24/100 | Intelligent Short-Term Load Forecasting for Renewable Power Grids Using Attention-Based Hybrid Deep Learning
[NO] 25/100 | SignGPT: Real-Time ASL Keyword Recognition with LLM-Guided Sentence Completion
[NO] 26/100 | Path Planning in Dynamic Environments: A Comparison of Algorithms in the RoboCup SSL
                    <sup>*</sup>
[NO] 27/100 | Lung Disease Classification from Chest X-Rays using ConvNeXt with Coordinate Attention on the COVID-19 Radiography Dataset
[NO] 28/100 | IEEE Guide for System Commissioning of Medium and Low (750 V to ±50 kV) Voltage Direct Current Distribution Network
[NO] 29/100 | Evaluating Classical and Deep Learning Approaches for improving Honeypot-Informed Network Intrusion Detection
[NO] 30/100 | An Attentive Multi-Scale Approach for Semantic Segmentation
[NO] 31/100 | An Intelligent ML-Driven IoT Framework for Real-Time Water Quality Monitoring in Shrimp Aquaculture
[NO] 32/100 | Smart Aquaculture: Water Quality Forecasting using a CNN-BILSTM Attention Hybrid Architecture
[NO] 33/100 | Adaptive Risk-Constrained Energy Scheduling of Microgrids Under Renewable Uncertainty
[NO] 34/100 | Solar Sweepnet Autonomous Road Cleaning Machine
[NO] 35/100 | Trellising as a Design Metaphor to Support Organic Learning Interactions
[NO] 36/100 | Digital Inequality in the Age of GenAI: How Rural versus Urban Parents Differ in AI Perceptions and Adoption
[NO] 37/100 | Rhyme Island: A Multi-Sensory Tangible Interface for Young Children's Music Learning
[NO] 38/100 | FM4EAD: Towards Training-Free Energy Anomaly Detection with Large Language Models and Time-Series Foundation Models
[NO] 39/100 | Bayesian Experimental Design-Guided LLM for Active Trainset Selection in Model Fine-Tuning for Energy Prediction
[NO] 40/100 | Supporting Parents’ Playfulness With Their Preschool Children Using Generative AI
[NO] 41/100 | STEM Charades: encouraging reflection on the role of gesture in early years science
[NO] 42/100 | CONFINE: Confidence-Gated Coarse-to-Fine Neural Inference for Energy-Efficient Edge Classification
[NO] 43/100 | Neuromorphic Dendrites for Energy-Efficient Computation
[NO] 44/100 | To Overlay or to Customize? Revisiting Architectural Choices in Heterogeneous Systems
[NO] 45/100 | T-Gated: A Scene-Aware Framework for Occlusion-Resilient Passenger Analytics in Bus Interiors
[NO] 46/100 | The Price to Site: Cost-Effective Incentives for Solar Deployment
[NO] 47/100 | Protecting Against Unauthorized Dataset Use in Fine-Tuning Text-to-Image Diffusion Models
[NO] 48/100 | Rapid State Estimation and Screening for Retired 18650 Lithium-Ion Batteries Based on Machine Learning via Ultrasound Technology
[NO] 49/100 | Deadbeat Weighting-Free Model Predictive Torque Control for OW-PMSM based on Resonant Extended State Observer
[NO] 50/100 | "If You're Very Clever, No One Knows You've Used It": The Social Dynamics of Developing Generative AI Literacy in the Workplace
[NO] 51/100 | Exploring Cross-Domain Transferable Attacks via Decoupling Features_supp1-3705137.pdf
[NO] 52/100 | An Automated Scheduling Framework for Event Extraction
[NO] 53/100 | A 10-Gb/s NRZ/PAM-4 Compatible Transceiver Using 8b/10b Recovery for Automotive Applications
[NO] 54/100 | Interpreting Moment Matrix Blocks Spectra using Mutual Shadow Area
[NO] 55/100 | Skills for the Artificial Intelligence Era: Analysis from Colombian Engineering with Mixed Approach and Integrative Theoretical Framework
[NO] 56/100 | CROS 2026 Cover Page
[NO] 57/100 | An Efficient Low-Power Reconfigurable System Design for Smart Signal Processing
[NO] 58/100 | Multilingual Agricultural Advisory System Using Fine-Tuned LLM-Driven Recommendation Models
[NO] 59/100 | Metaheuristic-Based UAV Charging Scheduling for Wireless Rechargeable Mobile IoT Networks for Disaster Response Applications
[NO] 60/100 | Deep Learning-Based Estimation of Slip and Skidding for Wheeled Robots
[NO] 61/100 | Adaptive Swarm Navigation: Dynamic Switching Between Behaviors for Congestion Avoidance in Cluttered Environments
[NO] 62/100 | A Wearable Sweat Relief System with Herbal Intelligence for Palmar Hyperhidrosis
[NO] 63/100 | A reproducible engineering and economic framework for evaluating digital twin projects at the asset level
[NO] 64/100 | A Vector Field–Based Path-Following Approach for Ackermann-Steered Vehicles
[NO] 65/100 | Wearable IOP Monitoring System with Ocular Geometric Analysis
[NO] 66/100 | Design and Implementation of a Quantum Reversible Full Adder-Subtractor
[NO] 67/100 | A Non-Isolated LUO-Type High Step Up DC-DC Converter for on Board EV
[NO] 68/100 | Intelligent Cloud-Connected IoT System for Monitoring and Control of Power Electronic Converters
[NO] 69/100 | Design and Validation of High-Performance Low-Power Parallel Prefix Adders
[NO] 70/100 | Matrix-based perspective to quantum multiplication
[NO] 71/100 | Engagement Is Not Transfer: A Withdrawal Study of a Consumer Social Robot with Autistic Children at Home
[NO] 72/100 | Child-Involved Group Prioritization: Effects of Group Composition on Experience, Participation Level, and Interaction
[NO] 73/100 | Inside Voice, Outside Voice
[NO] 74/100 | Navigating the AI Era: A Multi-Step Approach to Family AI Literacy and Mediation for Young Children
[NO] 75/100 | ABODES: An Agent-Based Framework for Evaluating Hybrid Work Policies Across Energy and Social Infrastructure
[NO] 76/100 | Mobile Phone Color Accuracy for Practical Cultural Heritage Imaging
[NO] 77/100 | CoNR-Miner: Self-Adaptive Co-Occurrence Nonoverlapping Sequential Rule Mining
[NO] 78/100 | CubeSat Cybersecurity: An Overview
[NO] 79/100 | Author Index
[NO] 80/100 | ICIICE 2026 Copyright Page
[NO] 81/100 | Hardware-Aware Model Design and Training of Silicon-based Analog Neural Networks
[NO] 82/100 | Slice-Aware Digital Twin Virtualization With RAG Assistant for O-RAN in Internet-of-Vehicles
[NO] 83/100 | A Minimal Cross-Section Planar Microwave Ablation Antenna with Choke Structure
[NO] 84/100 | Hardware-Efficient Nonlinear Voltage Threshold Estimation for NAND Flash Memory via Lightweight Deep Learning
[NO] 85/100 | GradVision: Affordable and Explainable MobileNetV2-based Diabetic Retinopathy Detection via Optoretinal Imaging
[NO] 86/100 | Reinforcement Learning and Generative AI in Autonomous Robotics with LLM Integration
[NO] 87/100 | Performance Assessment of CMOS and Pass-Transistor Logic based Full Adder Architectures for Low-Power Digital Systems
[NO] 88/100 | Comparative Analysis of Deep Learning Models and Optimization Strategies for Li-Ion Battery SOH Prediction
[NO] 89/100 | Non-Intrusive Motor Shaft Fault Detection using Thermal Images and Hybrid Deep Learning Techniques
[NO] 90/100 | An Integrated Vision-Based Automated Detection and Monitoring System for Out-Cabin ADAS in Intelligent Transportation Systems
[NO] 91/100 | HybridFibroNet: Dual-Branch CNN-Transformer Architecture for Joint Liver Fibrosis Staging and Etiology Classification from B-Mode Ultrasound Images
[NO] 92/100 | Advanced Deep Learning Architectures for Sign Language Recognition, Translation, and Multimodal Gesture Processing: A Comprehensive Survey
[NO] 93/100 | LIBRAS Alphabet Recognition System Based on Landmarks and Artificial Neural Networks
[NO] 94/100 | Probabilistic Analysis Application in Early Design of Multi-Component Technical Systems with Metrological Support
[NO] 95/100 | A Modular Retrieval-Augmented Architecture for Multilingual Voice-Based Intelligent Assistant
[NO] 96/100 | ReMindAR: An Adaptive Augmented Reality System for Face Recognition based Memory Assistance for Dementia Patients
[NO] 97/100 | Agentic AI for the proactive identification of unforsseen disruptions in manufacturing supply chains
[NO] 98/100 | Using the Physarum polycephalum model to build and optimize transport networks in the Arctic
[NO] 99/100 | Miniaturized Mobile Robot for Educational Applications in Logistics
[NO] 100/100 | Closed-loop grasp verification via structured multi-sensor reasoning under occlusion
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-06-19.json。
邮件发送成功！
[2026-06-20 11:25:39] 任务执行成功！
