[2026-06-14 11:25:44] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-13
正在获取论文...
[ACM] 2026-6-13 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[ACM] 2026-6-13 | Global and Local Attention Fusion Transformer for Robust Human Pose Estimation
[ACM] 2026-6-13 | Fine-Tuning Effects of Low-Cost Object Detection Models for SNS Plush Toy Detection
[ACM] 2026-6-13 | Adaptive Risk Classification in Microservice Architectures: A GMM-Based Approach with Historical Data Normalization
[ACM] 2026-6-13 | A Survey of Threats and Defense Mechanisms in the Control Plane of Polymorphic Smart Network
[ACM] 2026-6-13 | Advancing Arabic Reverse Dictionary Systems: A Transformer-Based Approach with Novel Dataset Construction
[ACM] 2026-6-13 | Multispecies Response-ability in More-than-human Design Practice: Fabulation with Tides
[ACM] 2026-6-13 | TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework
[ACM] 2026-6-13 | Metaverse-Enabled Collaborative Platforms for Palm Oil Industry Stakeholders: A Review of Interdisciplinary Innovation and Challenges
[ACM] 2026-6-13 | Potato Late Blight Disease Segmentation Based on Salient Object Detection
[ACM] 2026-6-14 | Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
[ACM] 2026-6-13 | Tangible Co-Ideation: Designing Embodied Prompting for Creative Thinking with Large Language Models
[ACM] 2026-6-13 | Exploring a Multimodal Chatbot as a Facilitator in Therapeutic Art Activity
[ACM] 2026-6-13 | Supporting Speculative Design Thinking through User Journey Mapping Tools
[ACM] 2026-6-13 | A Training-Free Approach to Long-Tail Object Detection for Autonomous Driving
[ACM] 2026-6-13 | An Accuracy Compensation Method for Lightweight Pose Estimation
[ACM] 2026-6-13 | AI Agent Case Study Generating High-Level Test Cases from Requirements
[ACM] 2026-6-13 | EH-ZigBeeNet: An Energy-Harvesting ZigBee IoT Network Dataset to Develop Intelligent Energy-Aware Routing Protocols
[ACM] 2026-6-13 | Dynamic Function Configuration and its Management in Serverless Computing: A Taxonomy and Future Directions
共写入 100 条记录，保存到 papers/paper2026-06-13.json。
论文获取成功，文件路径: papers/paper2026-06-13.json
正在筛选、翻译并发送邮件...
[NO] 1/100 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[NO] 2/100 | How Older Adults Enact Values Through Technology
[NO] 3/100 | NomadicPerch: More-Than-Human Co-Design of a Shared Perch
[NO] 4/100 | Human Experience in AI-Mediated Worlds
[NO] 5/100 | Unified Detection of Synthetic and Manipulated Images via Dual-Stream Artifact Fusion
[NO] 6/100 | A Processual Model of Artifact-Mediated Controversy in Public Speculative Design
[NO] 7/100 | The Matter of Making: Designing Embodied Interaction Tools for Visual Creation with Generative AI
[NO] 8/100 | Wolfborn: Silent Emotional Catharsis and Empathy via Pseudo-Vocalized Embodiment
[NO] 9/100 | From Guided Tours to BYOD Self-Guides in Living Heritage: A Service Design Framework and Longitudinal Field Deployment
[NO] 10/100 | When Acceptance Doesn’t Travel: Measurement (Non-)Invariance in Acceptance Models of AI Assistants for Privacy Management
[NO] 11/100 | Reinforcement Learning-Based Clustered Multi-Application Charging Optimization for Underwater Wireless Sensor Networks
[NO] 12/100 | Cluster-wise Analysis of 3D Gaussian Splatting Point Clouds Using Spherical Harmonics and Attribute Features
[NO] 13/100 | Performance Estimation of IPFS-based Distributed Storage Using Idle Computing Resources and Secret Sharing
[NO] 14/100 | Physio-Digital Twin for Human-Centered IoT Mobility: A Proof-of-Concept Implementation on the E-Bike Platform
[NO] 15/100 | Personal 3D Printing without Visual Dependency in the Generative AI Era: Opportunities and Challenges
[NO] 16/100 | Fovy: Spatializing the "Work-to-Learn" Ecology through Interactive Skill Topologies
[NO] 17/100 | Empathy Illusion: Behavioral Contingency and the Feeling of Being Understood in AI-Responsive Spaces
[NO] 18/100 | Can Robots Be Azatoi?: Designing Calculatedly Cute Social Robot Behaviors through Cross-Cultural Participatory Visualization
[NO] 19/100 | Analysis and Optimization of Leakage Magnetic Field Shielding for Wireless Charging of Electronic Gadgets
[NO] 20/100 | Artificial Intelligence (AI) Adoption in Higher Education: A New Perspective, AI Adoption Concern, and Influences of AI Characteristics
[NO] 21/100 | Virtual Ambidextrous Hand Control: An Interaction Framework for Amplified Bimanual Coordination in Virtual Reality
[NO] 22/100 | Sensing Wishlists: A Prospective Design Approach to the Making of Fashion Consumption Technologies
[NO] 23/100 | Yuno: Augmenting Human Memory in Social Contexts Through Real-Time Face Recognition and Contextual Recall
[NO] 24/100 | Geometry-Driven Triangulation and Differentiable Semantic Gaussian Refinement for 3D Grape Bunch Model Reconstruction in the Field
[NO] 25/100 | All-Weather Image Restoration with MobileViT and Multi-Scale FiLM Modulation
[NO] 26/100 | RoomAuth: Learned Ultrasonic Room Identity for Context-Aware Authentication
[NO] 27/100 | Optimal Control Policy for Dynamic Thread Pool Sizing in Time-Constrained Batch Workloads
[NO] 28/100 | RepoGuard: Harmonising Security and Functional Correctness in LLM-Guided Repository-Level Code Generation
[NO] 29/100 | Picnic: Playful Music-Making with Everyday Objects and Machine Learning
[NO] 30/100 | Splash into Bubbles: Designing Somatic Immersion for Sleep Onset through Progressive Sensory Fading
[NO] 31/100 | Designing Multimodal XR Systems for Enhancing Remote Social Connectedness and   Emotional Well-Being in Older Adults
[NO] 32/100 | Chasing Play Potentials in Place for Innovative Mobile Crowdsensing
[NO] 33/100 | Humanoid and Socially Assistive Robots in Mental Health Care: A PRISMA Guided Systematic Review of Therapeutic and Emotional Outcomes (2021C2025)
[NO] 34/100 | Comparative Analysis of Machine Learning Models for Detecting Stego Image: A Steganalysis Approach
[NO] 35/100 | An Explainable Feature-Embedded ML &amp; DL Pipeline for Breast Cancer Classification with XAI (SHAP and LIME)
[NO] 36/100 | Efficient Video-to-Audio Generation via Multiple Foundation Models Mapper
[NO] 37/100 | Automated In-the-Wild Data Collection for Continual AI Generated Image Detection
[NO] 38/100 | The Cosmogenic Relation: From Interaction to World-Conditioning
[NO] 39/100 | Sufi Poetry and Introspection with Generative Verse
[NO] 40/100 | Pixellated Identity: A Child-Centered Frictional Encounter with GenAI
[NO] 41/100 | Beyond Interfaces: the Future of Edible Interactions
[NO] 42/100 | Interactive Rehab Carpet: A Dual-Sensing Modular Floor for Gamified Pediatric Rehabilitation
[NO] 43/100 | Human-Centered AI for Expressive Arts Therapy: Designing for Mental Well-Being and Creativity
[NO] 44/100 | Healthcare information collection from evacuation shelters during disasters using NAMI—narrow area communication system
[NO] 45/100 | Evaluation of Apparel Feature Reproduction in Text-to-Image Generation for Clothing Design Assistance
[NO] 46/100 | Toward EEG-Based Characterization of Cognitive Coordination in Collaborative Software Implementation: A Pilot Study
[NO] 47/100 | CALICE: Continuous bitrate control with Adapted LIC modEl
[NO] 48/100 | Navigating the Challenges of AI-Generated Image Detection in the Wild: What Truly Matters?
[NO] 49/100 | DiaryContainer: Designing Slowness and Minimal Presence in Reflective Journaling
[NO] 50/100 | Heartbeats in Motion: Co-Designing Wearables for Healthy Ageing
[NO] 51/100 | From Voting to Veto: GenAI Placemaking under Accountability
[NO] 52/100 | Sentence to Scent: A Computational Pipeline Transforming NLP into Scent Sequence
[NO] 53/100 | Structured Interpretation Differences in Immersive Artworks
[NO] 54/100 | EchoMemo: A Proactive AI Digital Persona Device
[NO] 55/100 | Let's Get Talking: A Conversational Card Game to Engage Men in Infertility Dialogue
[NO] 56/100 | Body Through Time: A process of one's Inner Healing
[NO] 57/100 | You and Your Teacher Identity: Strengthening teacher identity to elevate teaching presence in online classrooms
[NO] 58/100 | Proceedings of the 2026 9th International Conference on Information and Computer Technologies
[NO] 59/100 | The Case for Repeatable, Open, and Expert-Grounded Hallucination Benchmarks in Large Language Models
[NO] 60/100 | Ebbinghaus Forgetting Curve and Large Language Model Memory Management: A Cognitive Science-Driven Long-Context Enhancement Framework Design and Prospects
[NO] 61/100 | Using Extraction and Evaluation of Explanations for Drug-Repurposing on Knowledge Graphs
[NO] 62/100 | Detecting Audio-Text Decontextualization through Entailment and Semantic Analysis
[NO] 63/100 | Margin: A Set of Lightweight Robots for Intervening in Child Dark Phobia via Embodied Interaction in Darkness
[NO] 64/100 | Turn on the Flashlight: Revealing a Full Picture of Modified Tricycles in Food   Streets
[NO] 65/100 | Becoming a Tree: Digital-Avatar VR Body Scan for the Menopausal Transition
[NO] 66/100 | RecallMe: Designing a Rotary Phone Artifact for Immersive Reflection with the Past Self
[NO] 67/100 | Designing Sound Interactions in Spaces
[NO] 68/100 | When Drawing Is Not Enough: Exploring Spontaneous Speech with Sketch for Intent Alignment in Multimodal LLMs
[NO] 69/100 | The Whispering Interface: Intuition as a Resonance Space Between Human and World – A Speculative Critique of Contemporary Interface Paradigms
[NO] 70/100 | Hidden in Plain Sight: Occlusion Edge Blur as a Perceptual Blind Spot in Multimodal LLMs
[NO] 71/100 | "Like a shadow": Deconstructing How Anti-TFSV Activists in South Korea Fill Data Stewardship Gaps through Emotional Labor
[NO] 72/100 | Acts of Configuration: Rethinking Provenance, Temporality and Legitimacy in Post-Mortem Agents
[NO] 73/100 | Reimagining Digital Grievance Redressal Systems for Better Participatory Governance In India
[NO] 74/100 | Dream Brush: Generative Painting with Chinese Calligraphy
[NO] 75/100 | AttentionGo: Designing Tangible Neurofeedback Tools for Children with ADHD through a Holistic Well-being Lens
[NO] 76/100 | Intelligent Detection and Response System for Attacks on Unmanned Aerial Vehicles Based on Hybrid AI Models
[NO] 77/100 | A Proposal of a Two-Part Lead Sentence Generation Method for Manuals Using Large Language Models
[NO] 78/100 | High Awareness, Persistent Vulnerability: Youth Cybersecurity Risk Perception and Behavior
[NO] 79/100 | Beyond Recognition: A Hybrid Semantic-Vision Framework for Intent-Aware Gesture Recognition on Pepper in Dementia Care
[NO] 80/100 | Trust Deviation Metrics (TDM) for AI-Driven Cloud Orchestration
[NO] 81/100 | AID: Lightweight Disassembly via Learning-Superset-Learning-Recursive Algorithm
[NO] 82/100 | AR-FedKD: A Robust Federated Knowledge Distillation Framework with Performance-Aware Adaptive Differential Privacy
[NO] 83/100 | Global and Local Attention Fusion Transformer for Robust Human Pose Estimation
[NO] 84/100 | Fine-Tuning Effects of Low-Cost Object Detection Models for SNS Plush Toy Detection
[NO] 85/100 | Adaptive Risk Classification in Microservice Architectures: A GMM-Based Approach with Historical Data Normalization
[NO] 86/100 | A Survey of Threats and Defense Mechanisms in the Control Plane of Polymorphic Smart Network
[NO] 87/100 | Advancing Arabic Reverse Dictionary Systems: A Transformer-Based Approach with Novel Dataset Construction
[NO] 88/100 | Multispecies Response-ability in More-than-human Design Practice: Fabulation with Tides
[NO] 89/100 | TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework
[NO] 90/100 | Metaverse-Enabled Collaborative Platforms for Palm Oil Industry Stakeholders: A Review of Interdisciplinary Innovation and Challenges
[NO] 91/100 | Potato Late Blight Disease Segmentation Based on Salient Object Detection
[NO] 92/100 | Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
[NO] 93/100 | Tangible Co-Ideation: Designing Embodied Prompting for Creative Thinking with Large Language Models
[NO] 94/100 | Exploring a Multimodal Chatbot as a Facilitator in Therapeutic Art Activity
[NO] 95/100 | Supporting Speculative Design Thinking through User Journey Mapping Tools
[NO] 96/100 | A Training-Free Approach to Long-Tail Object Detection for Autonomous Driving
[NO] 97/100 | An Accuracy Compensation Method for Lightweight Pose Estimation
[NO] 98/100 | AI Agent Case Study Generating High-Level Test Cases from Requirements
[NO] 99/100 | EH-ZigBeeNet: An Energy-Harvesting ZigBee IoT Network Dataset to Develop Intelligent Energy-Aware Routing Protocols
[NO] 100/100 | Dynamic Function Configuration and its Management in Serverless Computing: A Taxonomy and Future Directions
筛选完成：共 100 篇；Yes = 0 篇；已保存到 papers/select_paper2026-06-13.json。
邮件发送成功！
[2026-06-14 11:42:05] 任务执行成功！
