[2026-09-11 13:09:33] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-10
正在获取论文...
[arXiv] 2026-09-10 | Qubit-Qutrit Quantum Tomography of hadronic $Λφ$ and $ΛK^{\ast 0}$ systems
[arXiv] 2026-09-10 | Harness Robotic OS: A Unified Embodied-Agent Runtime for Closed-Loop Quadruped Inspection
[arXiv] 2026-09-10 | Constraining Modified Mass-to-Horizon Cosmology Through Primordial Inflationary Observables
[arXiv] 2026-09-10 | REVA: Reusable Evidence View Aggregation for Context-Efficient RAG Serving
[arXiv] 2026-09-10 | Convex Optimization with Nested Evolving Feasible Sets (CONES) under Time-Varying Loss Functions
[arXiv] 2026-09-10 | Two-step high-accuracy microwave frequency measurement and time-frequency analysis based on optical frequency combs
[arXiv] 2026-09-10 | Automated Identification of Competing Narratives in Political Discourse on Social Media
[arXiv] 2026-09-10 | CEM-TUDASR: Computationally efficient multi-modality transformer based unsupervised domain adaptive super-resolution approach
[arXiv] 2026-09-10 | Optimal Control for Cancer Chemotherapy Using Hybrid Quantum Particle Swarm Optimization
[arXiv] 2026-09-10 | FlexComp: One Model for Every Ratio in Context Compression
[arXiv] 2026-09-10 | Debate-to-Skill: Capability-Bound Process Supervision for Industrial Query-to-Agent Annotation
[arXiv] 2026-09-10 | A Four-Valued Graph Model for Conflict Resolution: Core Framework and a Machine-Checked Formalization in Lean 4
[arXiv] 2026-09-10 | Semi-Tensor Product-Based Multi-Term Randomized T-SVD and Its Visual Applications
[arXiv] 2026-09-10 | When does a spectral prior help graph learning? Connectivity-loss estimation under road-network disruptions
[arXiv] 2026-09-10 | Multimodal Temporal Modeling for Continuous Group Emotion Recognition in Multi-party Dialogues
[arXiv] 2026-09-10 | LILA: Calibration-Free Structured Pruning of Large Language Models via Latent Spectral Geometry
[arXiv] 2026-09-10 | Small noise asymptotics for linear parabolic SPDEs in two space dimensions with unknown damping factors
[arXiv] 2026-09-10 | Saturation and Localization Results for Max-product Generalized Sampling Operators based on Centered Bell-shaped Kernels
[arXiv] 2026-09-10 | From Grid to Chip: Power Architecture, Stability, and Flexibility of AI Data Centers
[arXiv] 2026-09-10 | Effective Dynamics of Inflationary End-of-the-World Branes in AdS$_3$
[arXiv] 2026-09-10 | Certifying Adversarial Robustness of Quantum Classifiers under Known-Readout Query Access
[arXiv] 2026-09-10 | A Training-Free, Alignment-Free Approach to Corporate Intelligence: Application to SEC Filings
[arXiv] 2026-09-10 | Sharp unconditional moment bounds for products of L-functions
[arXiv] 2026-09-10 | Distributed Optimization of Modular Production Systems using Model-based Reinforcement Learning with Inverse Models
[arXiv] 2026-09-10 | PHAT: PHotonic Accelerator for TFHE
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[IEEE] 2026-9-10 | A Low-Complexity Joint Fractional Delay and Doppler Frequency Estimator for AFDM-Enabled Vehicular LEO-ICAN Systems
[IEEE] 2026-9-10 | DRCMDA: A Dual-View Drug Repositioning Framework with Cluster-Aware Structured Masked Reconstruction and Diffusion-Based Metapath-Graph Augmentation
[IEEE] 2026-9-10 | A Systematic Review of Non-Invasive Methods for Utility-Side Harmonic Impedance Determination
[IEEE] 2026-9-10 | Achieving a 155× Speedup in a LiDAR Data Processing Pipeline
[IEEE] 2026-9-10 | Before the First Token: Characterizing Affective Modality Conflict through Pre-generation State Patterns
[IEEE] 2026-9-10 | SP-VoxelDet: Channel-Efficient Fully Sparse 3D Object Detection Via Partial Convolution
[IEEE] 2026-9-10 | Continual Deterministic Learning and Control of Unknown Nonlinear Systems With Knowledge Reuse
[IEEE] 2026-9-10 | Differentiated Prototype Guided Weakly Supervised Semantic Segmentation
[IEEE] 2026-9-10 | Joint Hierarchical Image Encryption and Compression Based on Diffusion Models
[IEEE] 2026-9-10 | A Power-Decoupled Three-Phase Current Source Inverter for Low-Voltage-Ride-Through of Wind Power Generators
[IEEE] 2026-9-10 | Joint Trajectory and Fluid Antenna Design for Secure UAV-Enabled ISAC
[IEEE] 2026-9-10 | Non-Stationary THz Channel Characterization for S2A Communications: A Trajectory-Aware Doppler Analysis
[IEEE] 2026-9-10 | Ultra-Wideband 2-Bit Reconfigurable Phased Array Antenna with Improved Side Lobe Level
[IEEE] 2026-9-10 | Deep Tactile Learning for Tumor Detection and Depth Classification in Robot-Assisted Surgery
[IEEE] 2026-9-10 | The Future of Integrated Bidirectional Energy and Transport Systems [From the Editor]
[IEEE] 2026-9-10 | 2026 7th International Conference on Big Data Analytics and Practices (IBDAP)
[IEEE] 2026-9-10 | Design of C-band High-Efficiency Relativistic Klystron Oscillator with a Low-magnetic Field
[IEEE] 2026-9-10 | MGF-PEFT: Multi-Granularity Feature Fusion for Efficient Large Language Model Tuning
[IEEE] 2026-9-10 | Optically Transparent Millimeter-Wave Wideband Reflective Metasurface Antenna
[IEEE] 2026-9-10 | A YOLO11 Object Detection Algorithm Based on ResNet18 Backbone Optimization for UAV Small Targets
[IEEE] 2026-9-10 | High-Efficiency Bilateral Cosecant-Squared Beamforming Antenna Based on Substrate Integrated Coaxial Line
[IEEE] 2026-9-10 | Bi-Level Routing and Sparse Spatial Attention based Multi-View BEV 3D Object Detection for Autonomous Driving
[IEEE] 2026-9-10 | Multi-Scale Time-Frequency Collaborative Attention Network for Speech Emotion Recognition
[IEEE] 2026-9-10 | Conformal Tapered Periodic Sheet for Edge Scattering Suppression
[IEEE] 2026-9-10 | Two-Stage Delay-Doppler Estimation for OTFS Systems via Off-Grid Sparse Bayesian Learning
[IEEE] 2026-9-10 | H-GRPO: An Asymmetric Hierarchical Group Relative Policy Optimization Framework for Constrained Multi-Objective Control
[IEEE] 2026-9-10 | A Comparative Study of AI Models for EEG-Based Cognitive Confusion Detection
[IEEE] 2026-9-10 | An Improved Schiffman Phase Shifter Based on an L-Shaped Network
[IEEE] 2026-9-10 | FDFD Solution for the Crosstalk of Multi-Conductor Transmission Lines
[IEEE] 2026-9-10 | Parametric Optimization Design of Microwave Sensor Based on Interdigitated Spoof Plasmons
[IEEE] 2026-9-10 | The Study of Learning Outcomes using the Role-Play Method of Human Augmentation Simulation Learning System to Enhance Digital Content Creator
[IEEE] 2026-9-10 | Millimeter-Wave Wideband Large-Spacing Wide-Angle Scanning Magnetoelectric Dipole Phased Array Antenna
[IEEE] 2026-9-10 | Arabic Text Detection and Classification in News Video Based on Vision Transformer
[IEEE] 2026-9-10 | Research on Staged Single-Image Deraining Algorithm
[IEEE] 2026-9-10 | Design of a Ka-band Three-Way Power Combining Structure in Rectangular Waveguide
[IEEE] 2026-9-10 | Experimental Study on Electromagnetic Susceptibility of ZigBee-Based Cabin Internet of Things Systems under Radiated Interference
[IEEE] 2026-9-10 | Integrating Active Problem-Based Learning through Generative AI to Enhance Students’ Understanding of AI Ethics
[IEEE] 2026-9-10 | Design of High-Efficiency and Boardband Concurrent Dual-Band Power Amplifier
[IEEE] 2026-9-10 | Delay-Consistent Cross-Traffic Generation for Extending Network Digital Twins to Unidentified Networks
[IEEE] 2026-9-10 | Machine Learning for Inflation Forecasting: Can High-Dimensional Macro Indicators Beat the Phillips Curve?
[IEEE] 2026-9-10 | A Method for Design of Heterogeneous Arrays With Broadband Circular Polarization
[IEEE] 2026-9-10 | A Five-Beam Fresnel Lens Antenna with High Gain for mmWave Wind Profile Radar
[IEEE] 2026-9-10 | Social CRM for Stakeholder Engagement and Social Innovation in the Circular Economy
[IEEE] 2026-9-10 | A Fast Update Method for Calibration Data of Phased Array Antennas
[IEEE] 2026-9-10 | Cognitive Offloading in the Age of AI: Investigating the Influence of AI Dependence on Students' Critical Thinking Skills
[IEEE] 2026-9-10 | A Simplified Design Method for 27-30 GHz GaN MMIC Load-Modulated Balanced Amplifier
[IEEE] 2026-9-10 | Adaptive Genetic Optimization of Sparse Arrays for Millimetre-Wave MIMO Radar
[IEEE] 2026-9-10 | A Small-Sample Learning Method for Risk Management Evaluation of Power Grid Engineering Investment Execution
[ACM] 2026-9-11 | RealityCraft: Automated Synthesis of Extended Reality Device Interaction Scripts from Natural Language Instructions
[ACM] 2026-9-11 | From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging
[ACM] 2026-9-11 | Demystifying the CVE Ecosystem: Community-Perceived Impacts and Problems
[ACM] 2026-9-11 | Remediating Superfluous Re-Rendering in React Applications
[ACM] 2026-9-10 | Design of a Multimodal Intelligent Analysis and Generation System for University Brand Communication Videos
[ACM] 2026-9-10 | Q-DRFormer: Query-Position Mapping Flow Prediction with Progressive Refinement for Document Rectification
[IEEE] 2026-9-10 | A Language Model-Based Method for Malicious Threat Analysis in Industrial Control Networks
[IEEE] 2026-9-10 | CMT-Net: Cross-Modal Multi-Task Learning for Automated Inspection of Integrated Circuits in Printed Circuit Boards
[IEEE] 2026-9-10 | Physical Reservoir Computing with Electric Double Layer Transistors for Anomaly Detection using Power Analysis
[IEEE] 2026-9-10 | Experimental Evaluation of Polarization-Graded AlGaN/GaN HEMTs With Electric Field Management and Improved Breakdown Performance
[IEEE] 2026-9-10 | Variable-structure Soft Actuator for Multi-mode Grasping
[IEEE] 2026-9-10 | Characterization of Beam-Squint and Beam-Split Effects in RIS-assisted Multi-Frequency Networks
[IEEE] 2026-9-10 | Analytical Model for Electromagnetic-Vibration Prediction in Inverter-Fed Synchronous Reluctance Motor
[IEEE] 2026-9-10 | Adaptive Radar for Uncooperative Spectrum Sharing: GLRT Asymptotic Performance
[IEEE] 2026-9-10 | FluidTac: A Vision-Based Arrayed Artificial Lateral Line Sensor for Underwater Ego-Motion Estimation
[IEEE] 2026-9-10 | FlowVLA: Visual Chain of Thought-Based Motion Reasoning for Vision-Language-Action Models
[IEEE] 2026-9-10 | Early sound-based meal onset detection using Hidden Markov Models (HMMs)
[IEEE] 2026-9-10 | A Physics-Guided Message Passing Neural Network for Mesh Smoothing in Moving Conductor Eddy Current Simulations
[IEEE] 2026-9-10 | Prescribed-Time Tracking Control of Linear Motors with Guaranteed Performance under Uncertainties
[IEEE] 2026-9-10 | Phase-Shifted DR Based HVDC Link Dedicated to Filter-Free Distant Offshore Wind Farms
[IEEE] 2026-9-10 | Input-Data Information Preservation and Protocol-Specific Error Mitigation in Noisy Fixed-Parameter Quantum Front Ends: A Reproducible Simulation Study
[IEEE] 2026-9-10 | AutoNet: A Two-Stage Router Configuration Recommendation Framework Integrating Structured Semantic Modeling and Constraint Solving
[IEEE] 2026-9-10 | Efficient Electro-Thermal Co-Analysis of GaN HEMTs Based on Neural Network
[IEEE] 2026-9-10 | Design and Implementation of System-Independent Data Encryption Software: Case Study of Exploration and Development Data Lake
[IEEE] 2026-9-10 | A Wide Dynamic Range Efficiency-Enhanced Class-D Power Amplifier Using Hybrid Power Control Techniques for LPWAN Applications
[IEEE] 2026-9-10 | Physics-Informed Generative Beamforming for Terahertz Holographic Metasurface Antennas
[IEEE] 2026-9-10 | WVES: A Weighted Ensemble Framework for Student Mental Health Assessment
[IEEE] 2026-9-10 | Design of Ultrawideband Dual-Polarized Base Station Antenna for 2/3/4/5G
[IEEE] 2026-9-10 | A Highly Integrated Quantum Wide- field Microscope Based on NV Centers
[IEEE] 2026-9-10 | An Accelerated MUSIC Algorithm for GTD Scattering Center Parameter Estimation
[IEEE] 2026-9-10 | Long-Horizon Load Stability Testing and Degradation Forecasting for High-Concurrency Cloud Storage
[IEEE] 2026-9-10 | A Voltage-Mode Schmitt Trigger Based on A Single VCII and Its Application to A Square/Triangular Wave Generator
[IEEE] 2026-9-10 | A 2D Inverse Scattering Method for Metallic Targets Based on the Finite-Difference Frequency-Domain
[IEEE] 2026-9-10 | Design of Ku-band Microwave Driver Amplifier for Microwave Photonic Radar Imaging
[IEEE] 2026-9-10 | LFFN: A Locality-Aware Feed-Forward Network for Efficient Transformer Architectures
[IEEE] 2026-9-10 | GS-YOLO: Lightweight Weed Detection via a Shared Convolutional Detection Head
[IEEE] 2026-9-10 | Compact Broadband 2×2 MIMO Array Based on Multi-Mode Resonance for Wireless Communication Systems
[IEEE] 2026-9-10 | A Resistorless Electronically Tunable Grounded Inductance Simulator Using Voltage Conveyor Transconductance Amplifiers
[IEEE] 2026-9-10 | Texture Attribute-Based Classification of GPR Data Recorded Along Railway Tracks
[IEEE] 2026-9-10 | Real-Time Network IDS for SOHO Using Hybrid Edge Machine Learning Techniques
[IEEE] 2026-9-10 | Optimizing Structural MRI for Alzheimer's Diagnosis: A Preprocessing Approach Using FSL
[IEEE] 2026-9-10 | Factors Influencing the Success of Instructional Management in the Metaverse: A Structural Equation Modeling Approach
[IEEE] 2026-9-10 | Design of a Dual-Band Bandpass Filter Based on Spoof Surface Plasmon Polaritons
[IEEE] 2026-9-10 | An ultra-wideband tightly coupled phased array antenna with low-profile and wide-angle scanning
[IEEE] 2026-9-10 | A Miniaturized Atomic Clock with Low-Power Mode and Adjustable-Precision 1PPS Synchronization
[IEEE] 2026-9-10 | An Ultra-Wideband LDMOS Power Amplifier Based on Filter Network Synthesis Technology
[IEEE] 2026-9-10 | Tighter Security Proof for IBE from MP-LWE Assumption in the Random Oracle Model
[IEEE] 2026-9-10 | VeriRAG-Agent: A Retrieval-Augmented Agent Framework with Dynamic Tool Calling for Smart Contract Auditing
[IEEE] 2026-9-10 | A High Frequency-Selectivity Polarization Converter for X-Band Applications
[IEEE] 2026-9-10 | Agentic AI and LLMs for Dynamic Content Generation: an Architectural and Communication Framework for Carbon Footprint Management
[IEEE] 2026-9-10 | Multi-Objective Optimization Using LSTM and Genetic Algorithm with Multi-Agent Simulation: Application to Glacier Conservation Planning
共写入 200 条记录，保存到 papers/paper2026-09-10.json。
论文获取成功，文件路径: papers/paper2026-09-10.json
正在筛选、翻译并发送邮件...
[NO] 1/200 | Qubit-Qutrit Quantum Tomography of hadronic $Λφ$ and $ΛK^{\ast 0}$ systems
[NO] 2/200 | Radio Map Construction with Post-Hoc Location Calibration under Quasi-Static Positioning Errors: Joint Estimation, Performance Bounds, and GNSS-Based Evaluation
[NO] 3/200 | Fingerprints of Excitonic Collective Modes in the Two-Dimensional Electron Gas
[NO] 4/200 | LAION-Mobile: Evaluating Deepfake Detectors On One Million Smartphone Photos
[NO] 5/200 | Beyond Benchmarks: Using VLMs to Reveal Systematic Classification Failures Under Real World Conditions
[NO] 6/200 | Cooperative Integer Programming Games: Core Stability and Optimal Coalition Structures
[NO] 7/200 | A Novel Multi-fidelity Surrogate for Efficient Turbine Design Optimization
[NO] 8/200 | But How Would AI Agents Run a Town's Economy?
[NO] 9/200 | The two-dimensional Matkowski--Sutô equation with holomorphic and strictly increasing generators
[NO] 10/200 | Modified wave operators for nonlinear Schrödinger equations in the full subcritical long range regime
[NO] 11/200 | Visual-Motion-Induced Modulation of Pedestrian Trajectories Using Spatially Distributed Multi-Display Signage in Public Spaces
[NO] 12/200 | A Framework for Discharge Time Prediction of Energy Storage Units Based on Coupled Dynamics and Multi-Factor Aging Models
[NO] 13/200 | A counterexample to the wrapping number conjecture
[NO] 14/200 | TailProp: content-adaptive light- and heavy-tailed propagation for vision
[NO] 15/200 | X-Hinges: 3D Printing Self-Sensing Compliant Mechanisms for Continuous and Multi-DOF Motion Sensing
[NO] 16/200 | EMMI: Edge Multi-Modal Intelligence for Communication-Efficient MLLM Inference via Fused Representation Compression
[NO] 17/200 | Search for the process $e^+e^-\to f_1(1285)$ at the SND detector
[NO] 18/200 | Ordinary 3-Isogeny Graphs and Improvement of Supersingularity Testing for Twisted Hessian Curves over Prime Fields
[NO] 19/200 | Load Balancing in Multi-Shell LEO Satellite Networks with Successive Interference Cancellation
[NO] 20/200 | Admissible Fourier Lengths, KAM Reducibility, and Spectral Applications
[NO] 21/200 | Work, Wellbeing, and Choice: Empirical Lessons for AI Futures
[NO] 22/200 | Spectral properties of Random Matrices
[NO] 23/200 | Bar cohomology of links: beyond Milnor invariants
[NO] 24/200 | The Cartan-Hadamard conjecture in dimension five
[NO] 25/200 | ShellVis: Sandboxed Live Programming for Shell Scripts
[NO] 26/200 | Science operation, data handling, and ground support system of the SOLAR-C mission
[NO] 27/200 | Importance Weighting for Unlabeled-unlabeled Learning under Distribution Shift
[NO] 28/200 | Full Inseparability and Genuine Multipartite Entanglement Coincide for Finite-Mode Gaussian States
[NO] 29/200 | Thompson Sampling for Non-Monotone Convex Ridge Bandits: Monotonicity Is Not Needed for Polynomial Regret
[NO] 30/200 | Timelike Entanglement from Spacetime Density Matrices: A Lattice Realization
[NO] 31/200 | Low-cost algorithm-to-execution framework for surface-code quantum computing
[NO] 32/200 | MMS Allocation for Chores with Online Agent Arrivals
[NO] 33/200 | CamPilot: A Multi-Agent Cinematic Assistant for Camera-Controlled Movie Generation
[NO] 34/200 | "Coder first, advocate second, college student third": The Liminality of Going to College as a Blind Computing Student
[NO] 35/200 | Well-posedness of the two-dimensional unsteady Prandtl system in Sobolev space with degenerate critical points
[NO] 36/200 | Empirical Evaluation of Membership Inference Attacks on NLP Text Classifiers: A Baseline Study on SST-2
[NO] 37/200 | Improving the Sensitivity of Gravitational Wave Detection with Weighted Conformal Prediction
[NO] 38/200 | TransClean: A Benchmark for Detecting and Extracting Clean Translations from Large Language Model Outputs
[NO] 39/200 | Influence of magnetic fields on the performance of spin-orbit torque magnetic random-access memory
[NO] 40/200 | Buyer Artificial Intelligence-Enabled Environmental Governance and Supplier Environmental Controversies: An Organizational Information Processing and Signaling
[NO] 41/200 | Delay-engineered dynamical phases in a programmable non-Markovian spin oscillator
[NO] 42/200 | DINO-Med: A Unified Patch-Based Adaptation Framework for Multi-Modal Medical Image Analysis Applied to Liver Fibrosis Staging
[NO] 43/200 | Generic vanishing conjecture for divisors
[NO] 44/200 | Deep operator learning for efficient sampling from invariant measures of stochastic differential equations
[NO] 45/200 | The tubal Arnoldi method for tensor function approximation
[NO] 46/200 | A Tight Second-Order Converse Bound for Variable-Length Feedback Codes
[NO] 47/200 | GeoTrussRover: Morphological Computation with Contact-Semantic Control Primitives
[NO] 48/200 | Taming Bitwise Behavior in GPU Kernels with Tensor Core: Black-Box Reconstruction, Compiler Enforcement, and Static Verification
[NO] 49/200 | Correlation enhanced altermagnetism mediated by spin-lattice coupling in CrSb
[NO] 50/200 | InFlow: entropic stochastic dual dynamic programming with HJB cross-certification for seasonal energy storage
[NO] 51/200 | E-CONAN (Entailment, CONtradition And Neutral) Benchmarks: Arabic Textual Entailment and Natural Inference Datasets
[NO] 52/200 | Estimating Inconsistency Response Surfaces under Uncertainty in Cyber-Physical System Development
[NO] 53/200 | Mr.LHDR: A Benchmark for Multimodal Real-World Long-Horizon Deep Research Agents
[NO] 54/200 | Your Model Already Knows Don't Teach It, Learn to Ask It: Soft Prompting for Few-Shot Adaptation of Vision-Language Models
[NO] 55/200 | Byzantine-tolerant distributed learning of finite mixture models under partial corruptions
[NO] 56/200 | Broad p-Wave Sommerfeld Resonances From Dimensional Deconstruction
[NO] 57/200 | Fold First, Detect Directly: Communication Symbol Detection Without Unfolding for Low-Bitrate Modulo-ADCs
[NO] 58/200 | Geometric Analysis of Doppler-Based Navigation with Low Earth Orbit Satellites
[NO] 59/200 | Bio-inspired Learning and Decision-Making with Probabilistic In-Memory Computing Hardware: Part 2
[NO] 60/200 | Bio-inspired Learning and Decision-Making with Probabilistic In-Memory Computing Hardware: Part 1
[YES] 61/200 | Predicting Train Delays in Finland Using Machine Learning and Weather Data
[NO] 62/200 | Order-Aware 2.5D Multiple Instance Learning for Preoperative MRI-Based Perineural Invasion Risk Assessment in Intrahepatic Cholangiocarcinoma
[NO] 63/200 | Beyond Noise Steering: Dual-Latent Space Reinforcement Learning for Generative Robot Policy
[NO] 64/200 | Scientific Promise
[NO] 65/200 | AI-Powered Flare Combustion Efficiency Estimation
